issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/death-funeral/176327,مردہ انسان کی تصویر کو پھولو کا ہارپہنانا,کیا فرما تے ہیں مفتیان کرام ،کیا مردہ انسان کی تصویر کو پھلوں کا ہار پہناناکیسا ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:454-346/B=5/1441</span></p><p dir=""RTL"">
	مردہ انسان کی تصویر کو ہار پہنانا، یہ اس تصویر کی تعظیم واکرام ہے، جو اسلام میں جائز نہیں، ہم مسلمانوں کو اس سے اجتناب کرنا واجب ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",176327,deoband,عبادات,احکام میت
01-Sep-2020,https://darulifta-deoband.com/home/ur/death-funeral/176283,میت كا چہرہ دیكھنے كے بارے میں كیا حكم ہے؟,حضرت زیادہ تر لوگ میت کی صورت دیکھنا ضروری سمجھتے ہیں، اس کا کیا حکم ہے ؟ آپ واضح فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p class=""urdu"" dir=""RTL"" style=""color: rgb(0, 0, 0); font-size: medium; text-align: justify;"">
	<span dir=""LTR"">Fatwa:519-417/L=6/1441</span><span lang=""AR-SA"" style=""font-size: 14pt;""><o:p></o:p></span></p><p class=""urdu"" dir=""RTL"" style=""color: rgb(0, 0, 0); font-size: medium; text-align: justify;"">
	<span lang=""AR-SA"" style=""font-size: 14pt;"">میت کی صورت دیکھنے میں مضائقہ نہیں، دیکھ سکتے ہیں ؛لیکن دیکھنا کوئی لازم اور ضروری نہیں ہے ۔<o:p></o:p></span></p><p class=""urdu"" dir=""RTL"" style=""color: rgb(0, 0, 0); font-size: medium; text-align: justify;"">
	<span lang=""AR-SA"" style=""font-size: 14pt;"">عائشة رضی اللہ عنہا، زوج النبی صلی اللہ علیہ وسلم أخبرتہ، قالت: أقبل أبو بکر رضی اللہ عنہ علی فرسہ من مسکنہ بالسنح حتی نزل، فدخل المسجد، فلم یکلم الناس حتی دخل علی عائشة رضی اللہ عنہا، فتیمم النبی صلی اللہ علیہ وسلم وہو مسجی ببرد حبرة، فکشف عن وجہہ، ثم أکب علیہ، فقبلہ.( صحیح البخاری،رقم الحدیث: 1241،باب الدخول علی المیت بعد الموت إذا أدرج فی أکفانہ)<o:p></o:p></span></p><p class=""urdu"" dir=""RTL"" style=""color: rgb(0, 0, 0); font-size: medium; text-align: justify;"">
	<span lang=""AR-SA"" style=""font-size: 14pt;"">نوٹ: اگر میت عورت ہو تو غیر محرم مرد کے لیے اس کا دیکھنا اسی طرح اگر مرد ہو تو غیرمحرم عورت کے لیے اس کا دیکھنا جائز نہ ہوگا۔<o:p></o:p></span></p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",176283,deoband,عبادات,احکام میت
01-Sep-2020,https://darulifta-deoband.com/home/ur/death-funeral/176191,میت کے گھر کھانا بنانا,جس گھر میں موت ہو جاے َ اس میں تین دن کھانا بنانا جائز نہیں یا آگ لگانا جائز نہیں؟اور کیا گھر سے باہر کھانا بنا سکتا ہے ؟ براہ کرم رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 508-347/SN=05/1441</span></p><p dir=""RTL"">
	جس گھر میں میت ہو جائے اس میں تین دن کھانا بنانا ناجائز نہیں ہے؛ بلکہ بلاشبہ جائز ہے، اسی طرح اس گھر میں تین دن چولہا جلانا بھی ناجائز نہیں ہے؛ بلکہ بلاشبہ جائز ہے، کھانا گھر کے اندر بھی بنا سکتے ہیں، شرعاً اس میں کچھ ممانعت نہیں ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",176191,deoband,عبادات,احکام میت
01-Sep-2020,https://darulifta-deoband.com/home/ur/death-funeral/175916,جنازہ كی نماز كی وجہ سے صحیح نہ ہوئی تو كیا تدفین كے بعد دوبارہ پڑھ سكتے ہیں؟,اگرکسی سبب سے جنازہ کی نمازصحیح نہ ہوی اور تدفین بھی ہوگئی تو اب کیا کریں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:456-399/L=6/1441</span></p><p dir=""RTL"">
	اس صورت میں جب تک میت کے پھول پھٹ جانے کا ظن غالب نہ ہو قبر پر نماز جنازہ پڑھی جاسکتی ہے۔ (وإن دفن) وأہیل علیہ التراب (بغیر صلاة) أو بہا بلا غسل أو ممن لا ولایة لہ (صلی علی قبرہ) استحسانا (ما لم یغلب علی الظن تفسخہ) من غیر تقدیر ہو الأصح․ (الدر المختار وحاشیة ابن عابدین (رد المحتار) ۳/۱۲۵، ط: زکریا دیوبند)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",175916,deoband,عبادات,احکام میت
01-Sep-2020,https://darulifta-deoband.com/home/ur/death-funeral/175580,میت کو قبر میں اتارنے سے پہلے قبر میں خوشبو ڈالنا,کیا فرما تے ہیں علماء دین و مفتیان شرع متین مسئلہ ذیل کہ بارے میں کہ ہماری بستی واطراف میں میت کو قبر میں اتار نے سے پہلے قبر میں عطر چندن کا بُرادہ اور گلاب کا عرق ڈالا جاتا ہے کیا یہ عمل درست ہے کیا شریعت میں اس کی کوء اصل ہے ۔شرعا رہنماء فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:216-186/SD=4/1441</span></p><p dir=""RTL"">
	میت کو قبر میں اتارنے سے پہلے قبر میں خوشبو ڈالنا جائز ہے؛ البتہ قبر میں میت کو رکھ کر میت پر عرق گلاب وغیرہ چھڑکنا بدعت ہے۔ دیکھیے: فتاوی محمودیہ : ۱۰۳/۹، ڈھابیل ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",175580,deoband,عبادات,احکام میت
01-Sep-2020,https://darulifta-deoband.com/home/ur/death-funeral/175542,کیا میت کی تدفین سے پہلے دعائے مغفرت جائز ہے ؟,کیا میت کی تدفین سے پہلے دعائے مغفرت جائز ہے یا ناجائز؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 486-367/B=05/1441</span></p><p dir=""RTL"">
	نماز جنازہ بذات خود دُعا ہے، نماز کے بعد تدفین سے پہلے مستقلاً دعاکرنا ثابت نہیں؛ بلکہ کتب فقہ میں اس کو منع کیا گیا ہے۔ قال الشامي: فقد صرحوا عن آخرہم بأن صلاة الجنازة ہيالدعاء للمیت إذ ہو المقصود منہا ۔ (ردالمحتار، باب صلاة الجنازة: ۳/۱۰۶، زکریا دیوبند) ولا یقوم بالدّعاء في قراء ة القرآن لأجل المیت بعد صلاة الجنازة وقبلہا ۔ (خلاصة الفتاوی، کتاب الصلاة، الفصل الخامس والعشرون في الجنائز، نوع منہ ، ۱/۳۲۵، أشرفي دیوبند)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",175542,deoband,عبادات,احکام میت
01-Sep-2020,https://darulifta-deoband.com/home/ur/death-funeral/175462,میت كا رخ الٹا ركھ كر نماز جنازہ ادا كرلیں تو كیا حكم ہے؟,حضرات مسئلہ یہ ہے کہ اگر میت کا رخ الٹا ہو جائے اور لوگ نماز ادا کرلے تو کیا نماز ہو جائے گی؟ رہبری فرمائیں نوازش ہو گی۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:376-315/L=5/1441</span></p><p dir=""RTL"">
	نمازِ جنازہ کے صحیح ہونے کے لیے میت کا سامنے ہونا ضروری ہے، اگر میت سامنے ہو تو نماز درست ہوجاتی ہے خواہ میت کا رخ الٹا ہو۔ ومن الشروط حضور المیت ووضعہ وکونہ أمام المصلي (الفتاوی الہندیة: ۱/۱۶۴)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",175462,deoband,عبادات,احکام میت
01-Sep-2020,https://darulifta-deoband.com/home/ur/death-funeral/175425,موت کے بعد نعش کو کیسے لٹایا جائے,موت کے بعد جسم کو کیسے لٹانا چاہئے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:400-452/sn=7/1441</span></p><p dir=""RTL"">
	جب کسی پرموت کے آثار ظاہر ہونے لگیں تو قریب کے لوگوں کو چاہیے کہ اسے دائیں کروٹ قبلہ رو لٹا دیں، یہی مسنون وافضل ہے نیز اس کی بھی گنجائش ہے کہ چت لٹا کر اس کے پاؤں قبلہ کی طرف کردیں اور سر کے نیچے کوئی تکیہ وغیرہ رکھ کر ذرا اونچا کردیں؛ تاکہ سر کچھ نہ کچھ قبلہ رخ ہوجائے۔ اس سلسلے میں مزید تفصیل کے لیے دیکھیں ” احکام میت“(ص: 25 وبعدہ) اور روح پرواز کرجانے کے بعد جس طرح سہولت ہو اس طرح لٹادیا جائے، اس سلسلے میں صحیح ترین قول یہی ہے۔ (البحر۲/۳۰۰، زکریا)</p><p dir=""RTL"">
	(یوجہ المحتضر) وعلامتہ استرخاء قدمیہ، واعوجاج منخرہ وانخساف صدغیہ (القبلة) علی یمینہ ہو السنة (وجاز الاستلقاء) علی ظہرہ (وقدماہ إلیہا) وہو المعتاد فی زماننا (و) لکن (یرفع رأسہ قلیلا) لیتوجہ للقبلة (وقیل یوضع کما تیسر علی الأصح) صححہ فی المبتغی إلخ(الدر المختار وحاشیة ابن عابدین 3/77، باب صلاة الجنائز، ط: مکتبة زکریا، دیوبند)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",175425,deoband,عبادات,احکام میت
01-Sep-2020,https://darulifta-deoband.com/home/ur/death-funeral/175411,كیا میت كے مصنوعی دانت نكالنا ضروری ہے؟,حضرت میری خالہ کے 3 دانت ہل گئے تہے توانہوں نے ان دانتوں کی جگہ دوسرے دانت لگوائے جو کہ فکس ہوتے ہیں یعنی انہیں اتارا نہیں جا سکتا. اب وہ کہتی ہیں کہ یہ بتا دیں کہ آیا ایسا کرنا صیح ہے. نیز انہیں اتارا نہیں جاسکتا تو مرنے کے وقت ان دانتوں کا کیا حکم ہے؟ انہوں نے توبہ استغفار بہی کی ہے لیکن انہیں اس بات کی پریشانی ہے کہ موت ہونے کی صورت میں بہی دانت اتر نہیں سکتے کیا اس صورت میں مردے کا غسل ہوجاتا ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 424-341/H=03/1441</span></p><p dir=""RTL"">
	فکس دانت لگوانے میں بھی کچھ حرج نہیں بلکہ بلاکراہت جائز ہے وفات ہو جانے پر ان دانتوں کو نکالنے کا حکم نہیں ہے ان دانتوں کے لگے ہوئے ہونے کی حالت میں زندہ اور میت دونوں کا غسل درست ہو جاتا ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",175411,deoband,عبادات,احکام میت
01-Sep-2020,https://darulifta-deoband.com/home/ur/death-funeral/175344,قبرستان میں تدفین کے بعد ہاتھ اٹھاکر دعا مانگنے کا حکم,محترم مفتی صاحب، کیا تدفین کے بعد میت کی قبر پر ہاتھ اٹھا کر دعا کرسکتے ہیں اور اس کا طریقہ کیا قرآن وحدیث کی روشنی میں جواب عنایت فرمائیں عین نوازش ہوگی ۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:315-256/N=4/1441</span></p><p dir=""RTL"">
	فقہاء نے فرمایا: مستحب ہے کہ تدفین سے فارغ ہوکر قبر کے پاس ( کم از کم) اتنی دیر ٹھہرا جائے کہ ایک اونٹ ذبح کرکے اس کا گوشت تقسیم کیا جاسکے اور اس دوران میت کے لیے منکر نکیر کے سوالات کے جواب میں ثبات قدمی اور مغفرت کی دعا کی جائے اور قرآن پاک پڑھا جائے، جیسے: میت کے سرہانے سور بقرہ کی ابتدائی آیتیں اور پائینتی جانب سورہ بقرہ کی آخری آیتیں پڑھی جائیں۔ اور اس موقع پر جب دعا کی جائے تو اس میں ہاتھ اٹھاکر دعا کرسکتے ہیں؛ بلکہ حضرت نبی کریم صلی اللہ علیہ وسلم نے اس موقع پر قبلہ رو ہوکر اور ہاتھ اٹھاکر دعا فرمائی ہے؛ اس لیے اس موقع پر ہاتھ اٹھاکر قبلہ رو ہوکر دعا کرنا نہ صرف جائز؛ بلکہ مستحب ہے (احسن الفتاوی ۴: ۲۳۳، ۲۳۴، مطبوعہ: ایچ ایم سعید کمپنی کراچی) ؛ البتہ دعا میں کوئی ایسا طریقہ نہ اختیار کیا جائے کہ کسی دیکھنے والے کو صاحب قبر سے دعا کرنے کا شبہ ہو، نیز اجتماعی طور پر جہری دعا بھی نہ کی جائے؛ بلکہ ہر شخص انفرادی طور پر سری دعا کرے۔</p><p dir=""RTL"">
	عن عثمان<span dir=""LTR""></span>قال: کان النبي صلی اللہ علیہ وسلم إذا فرغ من دفن المیت وقف علیہ فقال: ”استغفروا لأخیکم ثم سلوا لہ بالتثبیت فإنہ الآن یسأل“، رواہ أبو داود (مشکاة المصابیح، کتاب الإیمان، باب إثبات عذاب القبر، الفصل الثاني، ص ۲۶، ط: المکتبة الأشرفیة دیوبند)، وعن عبد اللہ بن عمر<span dir=""LTR""></span>قال: سمعت النبي صلی اللہ علیہ وسلم یقول: ”إذا مات أحدکم فلا تحبسوہ وأسرعوا بہ إلی قبرہ ولیقرأ عند رأسہ فاتحة البقرة وعند رجلیہ بخاتمة البقرة“، رواہ البیھقي فی شعب الإیمان وقال: والصحیح أنہ موقوف (المصدر السابق، کتاب الجنائز، باب دفن المیت، الفصل الثالث، ص ۱۴۹، وانظر مرقاة المفاتیح أیضاً)، وعن عمرو بن العاص<span dir=""LTR""></span>قال لابنہ وھو في سیاق الموت: إذا أنا مت فلا تصحبني نائحة ولا نار فإذا دفنتموني فشنوا علی التراب شناً ثم أقیموا حول قبري قدر ما ینحر جزور ویقسم لحمھا حتی أستأنس بکم وأعلم ماذا أراجع بہ رسل ربي؟ رواہ مسلم (المصدر السابق)، ویستحب ……بعد دفنہ لدعاء وقراء ة بقدر ما ینحر الجزور ویفرق لحمہ (الدر المختار مع رد المحتار، کتاب الصلاة، باب صلاة الجنازة، ۳: ۱۴۳، ط: مکتبة زکریا دیوبند)، وانظر رد المحتار أیضاً، وفي حدیث ابن مسعود<span dir=""LTR""></span>:رأیت رسول اللہ صلی اللہ علیہ وسلم في قبر عبد اللہ ذی النجادین “ الحدیث، وفیہ: فلما فرغ من دفنہ استقبل القبلة رافعاً یدیہ ، أخرجہ أبو عوانة في صحیحہ (في، کتاب الدعوات، باب الدعاء مستقبل القبلة، ۱۱: ۱۷۳، ط:دار السلام الریاض)۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",175344,deoband,عبادات,احکام میت
