issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/zakat-charity/67321,کیا چھ سو چونتیس گرام چاندی پر زکاة واجب ہے؟,اگر کسی کے پاس 634 گرام یا 612.34چاندی ہواور دہلی میں چاندی کی موجودہ قیمت 42.24 ہے تو نصاب کا حساب اس طرح ہوگا 634*42.24=26780۔ کیا یہ نصاب درست ہے؟اور کیا مجھے زکاة دینی ہوگی اگر اس نصاب کے علاوہ میرے پاس نقد ہو یا کوئی دھات کا سامان ہو ؟ براہ کرم، وضاحت فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>
	Fatwa ID: 1090-1118/N=10/1437<br>
	<br>
	&nbsp;(۱، ۲) : جی ہاں! اگر کسی کے پاس 634/ گرام چاندی ہے اور مارکیٹ میں فی گرام چاندی کا ریٹ 42.24 (بیالیس روپے، چوبیس پیسے ) ہے تو اس صورت میں چاندی کی کل قیمت: 26,780.16 ہوگی اور زکوة واجب ہوگی ؛ کیوں کہ چاندی کا نصاب ساڑھے باون تولہ، یعنی: 612/ گرام اور 360/ ملی گرام چاندی موجود ہے۔ اور اگر کسی کے پاس 612/گرام اور 34/ ملی گرام چاندی ہے تو اس کی کل مالیت 25,865.24 ہوگی ۔ اور چوں کہ یہ مقدار نصاب سے کم ہے؛ لہٰذا اس کے ساتھ اگر نصاب کی تکمیل کے لیے کچھ کرنسی یا سونا چاندی یا مال تجارت بھی ہے تو زکوة واجب ہوگی، ورنہ نہیں۔ نوٹ: آپ نے چاندی کا ریٹ فی گرام 42.24لکھا ہے اورمیں نے تین چار روز پہلے معلوم کیا تھا تو فی گرام 45.50معلوم ہوا ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",67321,deoband,عبادات,زکاة و صدقات
01-Sep-2020,https://darulifta-deoband.com/home/ur/zakat-charity/67293,کیا علاج کے لیے زکاة دے سکتے ہیں؟,کیا فرماتے ہیں مفتیان کرام اس مسئلہ کے بارے میں ایک شخص کو کینسر ہوا ہے اس کے علاج میں آپریشن کروانے کے لئے ایک لاکھ پچاس ہزار روپے کا خرچ ہے اور اس شخص کے پاس اتنی رقم دستیاب نہیں ہے اور ہونا بھی ناممکن ہے کیونکہ ان کا کاروبار زیادہ بڑا نہیں ہے بس جو کمایا وہی کہالیا تو دریافت طلب یہ ہے کہ کیا ایسے شخص کو علاج کروانے کے لئے زکوٰة دے سکتے ہیں یا نہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 973-956/N=10/1437

کینسر یا اس جیسے کسی اور مہنگے علاج والی بیماری کا مریض اگر مستحق زکوة ہو تو اسے زکوة دے سکتے ہیں، البتہ اسے بیماری کا علاج: آپریشن وغیرہ سے پہلے یک مشت بقدر نصاب یا اتنی زکوة نہ دی جائے کہ وہ شخص صاحب نصاب ہوجائے، یعنی: مستحق زکوة نہ رہے؛ کیوں کہ یہ مکروہ ہے ؛ بلکہ علاج: آپریشن وغیرہ کے بعد جب مستحق زکوة پر ڈاکٹر کی فیس اور اسپتال کا چارج وغیرہ دین ہوجائے یا فیس کا پیشگی مطالبہ کیا جائے تو دین یا پیشگی مطالبہ اور دیگر متعلقہ اخراجات کے بقدر نصاب یا اس سے زائد زکوة دی جائے، اس صورت میں نصاب کے بقدر یا اس سے زائد زکوة دینے میں کچھ حرج نہ ہوگا ۔ اور اگر کسی غریب کو صاحب نصاب ہوجانے کے بعد زکوة دی گئی تو زکوة لینے والے کے لیے زکوة لینا اور دینے والا کا دینا جائز نہ ہوگا؛ اس لیے اس کا خاص خیال رکھا جائے، قال محمد فی الأصل إذا أعطی من زکاتہ مأتي درہم أو ألف درہم إلی فقیر واحد، فإن کان علیہ دین مقدار ما دفع إلیہ، وفی الخانیة: أو یبقی دون المائتین،م : أو کان صاحب عیال یحتاج إلی الإنفاق علیہم فإنہ یجوز ولایکرہ، وإن لم یکن علیہ دین ولا صاحب عیال، فإنہ یجوز عند أصحابنا الثلاثة ویکرہ الخ (الفتاوی التاتار خانیة،کتاب الزکاة، الفصل الثامن ۲: ۲۲۱، ۲۲۲،ط: مکتبة زکریا دیوبند)،(وکرہ إعطاء فقیر نصابا ) أو أکثر (إلا إذا کان) المدفوع إلیہ (مدیوناً، أو)کان (صاحب عیال) بحیث (لو فرقہ علیہم لایخص کلا)، أو لا یفضل بعد دینہ (نصاب) فلا یکرہ فتح (الدر المختار مع رد المحتار، کتاب الزکاة، باب المصرف ۳: ۳۰۳، ۳۰۴، ط: مکتبة زکریا دیوبند)، قولہ:(وکرہ إعطاء فقیر نصابا أو أکثر): ……دفع ما یکمل النصاب کدفع النصاب، قال فی النھر: والظاھر أنہ لا فرق بین کون النصاب نامیاً أو لا حتی لو أعطاہ عروضاً تبلغ نصاباً فکذلک ولا بین کونہ من النقود أو من الحیوانات الخ۔(رد المحتار)،وانظر مراقی الفلاح وحاشیتہ للطحطاوي (ص ۷۲۱، ۷۲۲، ط: دار الکتب العلمیة بیروت) أیضاً۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",67293,deoband,عبادات,زکاة و صدقات
01-Sep-2020,https://darulifta-deoband.com/home/ur/zakat-charity/67251,جس رقم پر سال نہیں گزرا اس کی زکات؟,میں تین رمضان کو ہر سال اپنی زکاة کا حساب کرتاہوں ،الحمد للہ، میرے پاس پورے سال پانچ لاکھ کی ملکیت رہتی ہے، رمضان سے دس مہینے پہلے میری نوکرلگی۔ سوال یہ ہے کہ زکاة کے لیے سال گذارنا ضروری ہے اور پھر ہر مہینے کی تنخواہ کو ایک مہینے بعد ایک سال ہوگا تو پھر زکاة کیسے نکالیں؟ اور کس کس پیسہ پر زکاة دینی ہوگی ؟ جزاک اللہ خیرا۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1234-1352/N37=1/1438
وجوب زکوة کے لیے جو سال گذرنا شرط ہے، اس کا مطلب یہ ہے کہ آدمی کے پاس کم از کم نصاب کے بقدر مال زکوة سال کے شروع میں اور سال کے اخیر میں پایا جائے اور درمیان سال میں اس کا کچھ حصہ، مثلاً دو چار روپے باقی رہے، مکمل طور پر نصاب ختم نہ ہوجائے ، پس اگر سال کے کسی مہینہ یا تاریخ میں کچھ بھی نصاب باقی نہیں رہا، یعنی: ایک دو روپے بھی باقی نہیں رہے تو سال کا حساب ختم ہوجائے گا اور دوبارہ نصاب مکمل ہونے کے بعد سال کا حساب شروع ہوگااور نصاب یا اس کا کچھ حصہ باقی رہتے ہوئے درمیان سال میں موجود نصاب کی جنس کا جو نیا مال آئے گا ، اس پر الگ سے سال کا حساب نہیں ہوگا؛ بلکہ وہ پہلے موجود نصاب کے ساتھ شامل ہوجائے گا اور اُس کا سال مکمل ہونے پر اِس نئے مال پر بھی حکماً سال مکمل شمار کیا جائے گا ، پس جس تاریخ میں آپ کی زکوة کا سال مکمل ہوتا ہے (مثلاً ۳/ رمضان)، اس تاریخ میں آپ کے پاس سونا، چاندی، کرنسی اور مال تجارت میں سے جو کچھ موجود ہو، اس کی کل مالیت کا چالیسواں حصہ زکوة میں دیدیا کریں اور جو مال اس تاریخ سے پہلے آپ یا آپ کے بچوں وغیرہ کی ضروریات میں خرچ ہوکر ختم ہوگیا، زکوة میں اس کا حساب لگانے کی ضرورت نہیں۔ وشرط کمال النصاب … في طرفي الحول فی الابتداء للانعقاد وفی الانتھاء للوجوب فلا یضر نقصانہ بینھما، فلو ھلک کلہ بطل الحول (الدر المختار مع رد المحتار، کتاب الزکاة، باب زکاة المال، ۳: ۲۳۳، ۲۳۴، ط: مکتبة زکریا دیوبند)، قولہ:”فلو ھلک کلہ“: أي: في أثناء الحول بطل الحول، حتی لو استفاد فیہ غیرہ استأنف لہ حولاً جدیداً (رد المحتار)،ونقصان النصاب فی الحول لا یضر إن کمل في طرفیہ، أي: إذا کان النصاب کاملاً فی ابتداء الحول وانتھائہ فنقصانہ فیما بین ذلک لا یسقط الزکاة،…… إلا أنہ لا بد من بقاء شیٴ من النصاب الذي انعقد علیہ الحول لیضم المستفاد إلیہ؛ لأن ھلاک الکل یبطل انعقاد الحول؛ إذ لا یمکن اعتبارہ بدون المال (تبیین الحقائق۱: ۲۸۰، ط: المکتبة الإمدادیة، ملتان، باکستان)، قولہ:”إلاإلا أنہ لا بد من بقاء شیٴ من النصاب الخ “:حتی لو بقي درھم أو فلس منہ ثم استفاد قبل فراغ الحول حتی تم علی نصاب زکاہ اھ، فتح (حاشیة الشلبي علی التبیین)، والمستفاد ولو بھبة أو إرث وسط الحول یضم إلی نصاب من جنسہ فیزکیہ بحول الأصل (لدر المختار مع رد المحتار، کتاب الزکاة، باب زکاة الغنم، ۳: ۲۱۴)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",67251,deoband,عبادات,زکاة و صدقات
01-Sep-2020,https://darulifta-deoband.com/home/ur/zakat-charity/67249,چار تولہ سونا،دو تولہ چاندی اور چالیس ہزار کا ایک پرائز بونڈ ہے کیا اس پر زکاة ہے؟,ہم میاں بیوی کے زکاة کے بارے میں تذبذب میں ہیں۔ براہ کرم، رہنمائی فرمائیں۔ (۱) میرے پاس کوئی نقد نہیں ہے، صرف میری تنخواہ ہے۔ (۲) دو جنوری 2014کو ہماری شادی کے دن میری بیوی کے پاس ساڑھے چھ تولہ سونا اور دو تولہ چاندی تھی، اس کے علاوہ کچھ نہیں تھا، اور یہ اس کے ساتھ دو سال تک رہا اس سال، مارچ میں، اس نے کچھ زیوارت بیچ دیئے، اب اس کے چار تولہ سونا،دو تولہ چاندی اور چالیس ہزار کا ایک پرائز بونڈ ہے تو کیا اس پر زکاة ہے یا نہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>
	Fatwa ID: 967-1039/N=10/1437<br>
	<br>
	&nbsp;اگر آپ کی ملکیت میں نصاب کے بقدر کوئی کرنسی،سونا، چاندی یا مال تجارت میں سے کچھ نہیں ہے اور ماہانہ جو تنخواہ ملتی ہے وہ بھی ہر مہینہ یا دو چار مہینہ میں ختم ہوجاتی ہے توآپ پر کوئی زکوة واجب نہیں ۔ البتہ آ پ کی بیوی چوں کہ صاحب نصاب ہے؛ اس لیے اس پر ہر سال زکوة واجب ہوگی، پس شادی کی تاریخ (۲/ جنوری ۲۰۱۶ء مطابق ۲۹/ صفر ۱۴۳۵ھ پنجشنبہ) سے یا اس سے پہلے جب سے وہ صاحب نصاب ہوئی ہے، اس پر اس وقت سے اس کے زیورات اور کرنسی کی زکوة واجب ہے، ہر سال اس کے پاس جتنے زیورات اور کرنسی موجود رہے، ان کی موجودہ مالیت کا اندازہ لگاکر کل مالیت کا چالیسواں حصہ ادا کردیا جائے، البتہ اس سال چوں کہ کچھ زیور فروخت کردیا گیا ہے؛ اس لیے سال مکمل ہونے پر جتنا زیور موجود رہے گا، صرف اس کی زکوة واجب ہوگی اور سال کے دوران جو زیور فروخت کردیا گیا، اس کی زکوة واجب نہ ہوگی،اور اگر اب تک کسی سال کی زکوة ادا نہیں کی ہے تو ہر سال گذشتہ سالوں میں واجب ہونے والی زکوة کی الگ سے زکوة واجب نہ ہوگی، پس ہر سال زکوة کا حساب لگانے میں گذشتہ سالوں کی زکوةالگ کرلی جائے۔<br>
	نوٹ:۔ پرائز بانڈ میں قرعہ میں نام آنے پر انعام کے نام سے جو رقم دی جاتی ہے، شریعت کی روشنی میں وہ خالصتاً سود ہے؛ کیوں کہ انعامی بانڈز میں جمع کردہ رقم پر سود چڑھتا ہے جو قرعہ اندازی کے ذریعے قمار (جوے) کے طریقہ پر تقسیم کی جاتی ہے،اور مذہب اسلام میں سود وقمار دونوں قطعی طور پر حرام وناجائز ہیں ؛ اس لیے آپ کی بیوی کے پرائز بانڈ میں صرف جمع کردہ رقم جائز ہوگی، مزید ملنے والی رقم جائز نہ ہوگی، وہ (پاکستان میں ) وصول ہی نہ کی جائے۔اور زکوة میں صرف اصل رقم کا حساب لگایا جائے گا؛ کیوں کہ انعام کے نام سے مزید ملنے والی رقم پر زکوة واجب نہ ہوگی۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",67249,deoband,عبادات,زکاة و صدقات
01-Sep-2020,https://darulifta-deoband.com/home/ur/zakat-charity/67166,وجوب زکاة کے لیے کتنے دنوں تک پیسہ قبضہ میں رہنا چاہئے؟,میں زکاة کے بارے میں ہر چیز جاننا چاہتاہوں۔ (۱) کب زکاة واجب ہوتی ہے؟ (۲) کم سے کم کتنی رقم ہے؟اور (۳) وجوب زکاة کے لیے کتنے دنوں تک پیسہ قبضہ میں رہنا چاہئے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>
	Fatwa ID: 1002-987/N=10/1437<br>
	<br>
	(۱- ۳): جس آدمی میں درج ذیل شرطیں پائی جائیں اس پر زکاة فرض ہوتی ہے: ۱:۔ مسلمان ہونا ۔۲:۔عاقل ہونا ۔ ۳:۔بالغ ہونا۔ ۴:۔آزاد ہونا، یعنی غلام یا باندی نہ ہو۔ ۵:۔ بقدر نصاب ایسے مال کا مالک ہونا جو نامی ہو، حوائج اصلیہ سے زائد ہو، دین سے فارغ ہو، اس پر ملکیت ملکیت تامہ ہو اور قمری سال بھی گذرچکا ہو۔<br>
	&nbsp;اور مال نامی یہ ہیں: سونا، چاندی خواہ زیورات وغیرہ کسی شکل میں ہوں، کرنسی، سوائم (سال کا اکثر حصہ عام چراگاہوں میں چرنے والے اونٹ، گائے بھینس وغیرہ) اور مال تجارت، ان کے علاوہ کسی اور مال میں زکاة واجب نہیں۔<br>
	&nbsp;اور سونے کا نصاب ۷۸/ گرام ۴۸۰/ ملی گرام اور چاندی کا نصاب ۶۱۲/ گرام ۳۶۰/ ملی گرام ہے، اور کرنسی اور مال تجارت کا مستقل کوئی نصاب نہیں، ان میں چاندی اور سونے میں سے کم مالیت والا نصاب (جو اس دور میں چاندی کا نصاب ہے )معتبر ہوتا ہے، پس جب وہ (آج کل)چاندی کے نصاب کو پہنچ جائے تو اُن میں زکاة واجب ہوگی اور سوائم کے نصاب میں تفصیل ہے اور ہندوستان وغیرہ میں عام طور پر یہ نصاب لوگوں کے پاس پایا بھی نہیں جاتا۔<br>
	اور زکوة واجب ہونے کے لیے نصاب مکمل ہونے کے بعد چاند کے حساب سے سال گذرنا شرط نہیں، پس اگر سال گذرنے سے پہلے نصاب ختم ہوگیا تو زکوة واجب نہ ہوگا؛ بلکہ نصاب مکمل ہونے کے بعد از سر نو سال شروع ہوگا۔<br>
	اور چاندی سونے کا ریٹ گھٹتا بڑھتا رہتا ہے اس لیے ہم نے اوپرگرام اور ملی گرام کی شکل میں دونوں کے نصاب کی مقدار لکھ دی ہے، آپ جب رقم کی شکل میں اس کی مقدار جاننا چاہیں تو مارکیٹ سے دونوں میں سے کم مالیت والے نصاب(یعنی: چاندی کے نصاب) کا ریٹ معلوم کرلیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",67166,deoband,عبادات,زکاة و صدقات
01-Sep-2020,https://darulifta-deoband.com/home/ur/zakat-charity/67157,صرف 6.86 تولے سونے پر زكاۃ فرض ہے یا نہیں؟,آج کے دور میں بازار میں دس گرام کا ایک تولہ ہوتاہے جب کہ اصل میں ایک تولہ 11.66گرام ہوتاہے۔ اب میرا سوال یہ ہے کہ میرے پاس ۸ تولہ سوناہے جو کہ بازار کے حساب سے ۸۰گرام ہے اور اگر حقیقی تولہ کے اعتبار سے وزن کیا جائے تو وہ قریب 6.86 تولہ ہوتاہے تو میرے اوپر زکاة کیا فرض ہوگی یا نہیں؟ براہ کرم، پوری رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 841-630/D=9/1437

موجود گرام کے اعتبار سے سونے کا نصاب 87.480گرام ہوتا ہے اگر آپ کے پاس موجود سونا 6.86ہے تو وہ تنہا نصاب کے برابر نہیں ہوا اور صرف اس کے ہونے سے آپ پر زکوة فرض نہ ہوگی۔ 
-------------------------
نوٹ: جواب درست ہے البتہ اگر آپ کے پاس سونے کے علاوہ نقدی یا سامان تجارت بھی ہے تو نصاب میں ان کا بھی اعتبار ہوگا۔ (ل)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",67157,deoband,عبادات,زکاة و صدقات
01-Sep-2020,https://darulifta-deoband.com/home/ur/zakat-charity/67155,صاحب نصاب ہونے كے دو مختلف پیمانے کیوں ہیں,(۱)صاحب حیثیت ہونے کے بعد دو مختلف پیمانے کیوں ہیں کہ یا تو ساڑھے سات تولہ سونا یا ساڑھے باون تولہ چاندی یا اس کے برابر نقد رقم ہو تو اس پر زکاة فرض ہے جب کہ سونے اور چاندی کی قیمتوں میں زمین و آسمان کا فرق ہوتاہے؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 841-630/D=9/1437

شریعت نے اسی طرح دونوں نصابوں کی مقدار مقرر کی ہے جس میں حکمتیں ہیں۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",67155,deoband,عبادات,زکاة و صدقات
01-Sep-2020,https://darulifta-deoband.com/home/ur/zakat-charity/67122,سونا چاندی میں سے بیچ کر اپنا قرض اور تمام سالوں کی زکوة اداء کردینا چاہئے,زکاة سے متعلق میرا سوال ہے۔ میرے پاس کل ۱۸ تولہ سونا اور ۷۵۰گرام چاندی ہے، لیکن میری آمدنی ۳۰۰۰ روپئے ہے، اور مہینے کے آخر میں میری کوئی بچت نہیں ہوتی ہے، بیس پچیس ریال میں نے اپنے دوست سے قرض لیا تھا جسے واپس کرنا ہے ، اس کو لیے ہوئے پانچ سال ہوگئے ہیں، میں ان کو واپس نہیں کرسکتا، کیوں کہ وہ میری اس حالت میں بہت ہی مدد گار ہیں تو مجھے کیا کرنا چاہئے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>
	Fatwa ID: 986-960/H=10/1437<br>
	<br>
	سونا چاندی میں سے بیچ کر اپنا قرض اور تمام سالوں کی زکوة اداء کردینا چاہئے اگر آپ کے دوست آپ کے بہت ہی مددگار ہیں اور وہ قرض لے جاکر دے دینے کے باوجود واپس کرتے ہوئے کہہ دیں کہ ہم کو یہ ریال نہیں چاہئے ہم نے اپنا قرض معاف کردیا تو ایسی صورت میں قرض ختم ہوجائے گا۔ اگر زکوة ہر سال کی پابندی سے اداء کرتے ہیں تو صرف اِس سال کی ادائیگی کا واجب ہونا ظاہر ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",67122,deoband,عبادات,زکاة و صدقات
31-Aug-2020,https://darulifta-deoband.com/home/ur/zakat-charity/67121,غیر مسلم مصارفِ زکوة نہیں ہیں ان کو زکوة دینے سے زکوة ادا نہ ہوگی,میری ایک دکان ہے، علاقے کے غیر مسلم صفائی کرنے والے میرے پاس آتے ہیں اور رمضان کے پیسے مانگتے ہیں، وہ بہت سارے ہیں تو میں نے سوچاکہ کیا میں ان کو زکاة کی رقم دے سکتاہوں؟براہ کرم، جواب دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>
	Fatwa ID: 987-961/H=10/1437<br>
	<br>
	غیر مسلم مصارفِ زکوة نہیں ہیں ان کو زکوة دینے سے زکوة ادا نہ ہوگی۔ ہکذا في أول کتاب الزکوة من الفتاوی الہندیہ وغیرہ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",67121,deoband,عبادات,زکاة و صدقات
01-Sep-2020,https://darulifta-deoband.com/home/ur/zakat-charity/67029,آج کل کے دور میں زکاة کے واجب ہونے کا تناسب کیا ہے؟,میں نے آپ سے یہ پوچھنا تھا کہ زکاة ساڑھے سات تولہ سونا اور ساڑھے باؤن تولہ چاندی پر فرض ہے تو کیا آج کل کے دور میں بھی یہی تناسب رہے گا ؟یا آج کل کے دور کے حساب سے یہ تناسب بدل جاتاہے؟ براہ کرم، اس پورے مسئلے کی وضاحت فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>
	Fatwa ID: 1164-1235/L=11/1437<br>
	<br>
	آج کل کے دور میں بھی تناسب یہی ہے اگر کسی کے پاس ساڑھے سات تولہ سونا (۸۷/ گرام ۴۷۹/ ملی گرام) یا ساڑھے باون تولہ چاندی (۶۱۲/ گرام ۳۶۰/ ملی گرام ) ہو اور اس کے علاوہ اموالِ زکوة، نقدی، سامانِ تجارت بالکل ہی نہ ہوں تو جب تک ان دونوں میں سے ہر ایک کا نصاب مکمل نہ ہوجائے زکوة واجب نہیں؛ البتہ اگر یہ دونوں ہوں یا ان کے ساتھ اموالِ زکوة، نقدی یا سامانِ تجارت بھی ہوں تو پھر قیمت کا اعتبار ہوتا ہے اور قیمت میں چاندی یا سونے جس کے نصاب کے اعتبار سے نصاب کو پہنچ جائے اس کی قیمت کا اعتبار کرتے ہوئے زکوة کی ادائیگی کا حکم ہوگا، اس زمانے میں چاندی کی مالیت کم ہے اس لیے اگر کسی کے پاس اموالِ زکوة سونا، چاندی، روپئے اور سامانِ تجارت میں سے کسی دو (اگر دو قسم کے اموالِ زکوة ہوں ) یا کل کی مالیت (اگر ہر طرح کے اموالِ زکوة ہوں ) چاندی کے نصاب کو پہنچ جاتی ہے تو اس پر بشرائط زکوة زکوة کی ادائیگی واجب ہوگی۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",67029,deoband,عبادات,زکاة و صدقات
