issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
31-Aug-2020,https://darulifta-deoband.com/home/ur/hajj-umrah/152359,عمرہ میں طواف کے دوران وضو ٹوٹ جانے كے بعد بھی طواف وسعی كرلے تو كیا حكم ہے؟,عمرہ میں طواف کے تین چکر لگانے کے بعد وضو ٹوٹ جاتا ہے پھر بھی طواف مکمل کر لیتا ہے اور سعی بھی کر لیتا ہے تو کیا دوبارہ طواف کرنے کی صورت میں پھر سعی کر ے گا؟ اور کیا طواف اور سعی میں ترتیب واجب ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"" style=""text-align: justify;"">
	<span dir=""LTR"">Fatwa ID: 897-750/D=9/1438</span></p><p dir=""RTL"" style=""text-align: justify;"">
	عمرہ میں دورانِ طواف حدث لاحق ہونے کے باوجود طواف پورا کرلے تو دم واجب ہوتا ہے اور اگر طواف کا اعادہ کرلے تودم ساقط ہو جاتا ہے۔ صورتِ مسئولہ میں اگر دوبارہ طواف کیا جاتا ہے تو دم ساقط ہو جائے گا؛ لیکن طواف کے ساتھ سعی بھی دوبارہ کرنی پڑے گی؛ کیونکہ طوافِ عمرہ کو عمرہ کی سعی پر مقدم کرنا صحتِ سعی کے لیے شرط ہے۔ ولو طاف للعمرة کلہ أو أکثرہ أقلہ ولو شوطاً جنباً أو حائضاً أو نفساء أو محدثاً فعلیہ شاة ․․․․․․․ وکذا لو ترک الأول منہ ولو شوطاً لزمہ دم ولو أعادہ سقط عنہ الدم۔ (غنیة الناسک: ۲۷۶)</p><p dir=""RTL"" style=""text-align: justify;"">
	حاصل یہ کہ طواف اور سعی میں ترتیب ضروری ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",152359,deoband,عبادات,حج وعمرہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/hajj-umrah/151954,حج کا مسنون طریقہ کیا ہے؟,(۱) حج کا مسنون طریقہ کیا ہے؟ حج کے لیے کتنے دن پہلے نکلنا ضروری ہے؟ کیا کوئی شخص پانچ دن میں حج مکمل کرکے آسکتا ہے؟ (۲) میں نے اپنے ایک ساتھی کو قرآن کی تلاوت کرتے ہوئے دیکھا، میں ان کے نزدیک کھڑا ہو گیا، اچانک انہوں نے ایک ایسی آیت تلاوت کی، جس کا ترجمہ میں جانتا تھا، اور ماضی میں تلاوت کرنے والے ساتھی کے ساتھ اس آیت کے ضمن میں میرا ان سے ایک مرتبہ مکالمہ ہوا تھا تو میں نے انہیں اشارةً کہا کہ یہ وہی آیت ہے، یہ دیکھ کر ہمارے قریب بیٹھے ایک دوسرے ساتھی نے مجھے یہ کہتے ہوئے ٹوک دیا کہ میں نے بزرگوں سے سنا ہے کہ یہ شریعت اور ادب کے خلاف ہے کہ دورانِ تلاوت تم کسی کو اس طرح سے اشارہ کرو۔ میں یہ جاننا چاہتا ہوں کہ کیا واقعی میرا وہ عمل ادب اور شریعت کے برخلاف تھا۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa: </span>990-943<span dir=""LTR"">/B=</span>11/1438</p><p dir=""RTL"">
	(۱) ’حج کا مسنون طریقہ ‘اس نام سے سفر حج میں کتابیں ملتی ہیں، انھیں دیکھ لیا جائے۔ اور اصل حج کے پانچ ہی دن ہیں۔</p><p dir=""RTL"">
	(۲) تلاوت کے درمیان میں کسی سے کوئی بات کرنا یہ ادب کے خلاف ہے، آپ کو تلاوت سے فارغ ہونے کے بعد کہنا چاہیے تھا۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",151954,deoband,عبادات,حج وعمرہ
31-Aug-2020,https://darulifta-deoband.com/home/ur/hajj-umrah/151805,غیر محرم کے ساتھ عمرہ کرنا,کیا فرماتے ہیں مفتیان کرام مسئلہ ذیل کے بار میں، میرے بھائی کا انتقال ہوگیا ہے اورمیری سترسال کی بھابھی ہیں جو عمرہ کرنا چاہتی ہیں اور ان کو سفر کے لئے کوئی محرم نہیں مل رہا ہے اور میں عمرہ کرنے جا رہا ہوں اپنی اہلیہ کے ساتھ کیا میری بھابھی میرے ساتھ عمرہ کرنے جاسکتی ہیں؟ قرآن وحدیث کی روشنی میں جواب عنایت فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa: 1292-1264/L=10/1438</span></p><p dir=""RTL"">
	اگر آپ کی بھابھی کی عمر سترسال یا اس سے زائد ہے توآپ اپنی بھابھی کو اپنے ساتھ عمرہ پر لے جاسکتے ہیں،آپ کی بیوی کے ساتھ وہ افعالِ عمرہ اداکرسکتی ہیں،البتہ بہتر یہی ہے کہ وہ کسی محرم کا انتظام کرکے پھر عمرہ کو جائیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",151805,deoband,عبادات,حج وعمرہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/hajj-umrah/151689,طواف کے دوران بیت اللہ کو چومنا,میرا آپ سے سوال تھا کہ عمرے کا طواف کرتے ہوئے کیا بیت اللہ شریف کو دیکھ سکتے ہیں؟ کیا عمرے کا طواف کرتے ہوئے حجر اسود اور غلافِ کعبہ کو چوم سکتے ہیں؟ عمرے کا طواف کرتے ہوئے کسی جگہ رک کر بیت اللہ شریف کو چمٹ کر دعا مانگ سکتے ہیں؟کیا یہ تمام سوال بغیر عمرہ کے طواف کرنے والوں کیلئے بھی ضروری ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa: 968-1014/N=10/1438</span></p><p dir=""RTL"">
	(۱):عمرے کا طواف ہو یا حج کا یا کوئی نفلی طواف ہو، کسی بھی طواف میں طواف کے دوران بیت اللہ شریف کی طرف دیکھنا خلاف ادب اور خلاف مستحب ہے، طواف کے وقت آدمی کی نظر چلنے کی جگہ (پیروں کی طرف اور اس سے کچھ آگے) رہنی چاہیے۔اور اگر بیت اللہ شریف کو دیکھتے ہوئے سینہ بیت اللہ کی طرف ہوجائے تو یہ مکروہ تحریمی ہے اور اگر اسی حالت میں کچھ فاصلہ طے کیا گیا تو اس حصہ طواف کا اعادہ ضروری ہوگا(احسن الفتاوی ۴: ۵۵۷، ۵۵۸، مطبوعہ: ایچ، ام سعید کمپنی، کراچی)۔</p><p dir=""RTL"">
	وکذا - أعاد- لو استقبل البیت بوجھہ أو استدبرہ وطاف معترضاً کما في شرح اللباب وغیرہ (رد المحتار، کتاب الحج ۴: ۵۰۶، ط: مکتبة زکریا دیوبند)، لو استقبلہ بصدرہ أو استدبرہ بظھرہ فطاف معترضاً أو طاف کیفما کان صح طوافہ واعتد بہ في ثبوت التحلل عندنا ولکنہ ترک الواجب فعلیہ موجبہ، تنبیہ: لیس شییٴ من الطواف یجوز عندنا مع استقبال البیت الخ (غنیة الناسک ص ۶۰، ط: قدیم)، وصون النظر عن کل ما یشغلہ ، وینبغي أن لا یجاوز بصرہ محل مشیہ کالمصلي لا یجاوز بصرہ محل سجودہ؛ لأنہ الأدب الذي یحصل بہ اجتماع القلب(المصدر السابق ص ۶۵)۔</p><p dir=""RTL"">
	(۲): طواف کے دوران غلاف کعبہ کو چومنا ثابت نہیں؛ البتہ طواف کے شروع میں اور ہر چکر میں حجر اسود کے پاس پہنچ کر اور ختم طواف پر حجر اسود پر دونوں ہاتھ رکھ کردونوں ہاتھوں کے درمیان حجر اسود کو (آواز کے بغیر )بوسہ لینا سنت ہے بہ شرطیکہ بوسہ لینے میں کسی دوسرے کو کوئی تکلیف واذیت نہ دی جائے ورنہ حجر اسود کو صرف ہاتھ لگاکر یا اس کی طرف ہاتھوں سے اشارہ کرکے ہاتھوں کو چوم لیا جائے۔</p><p dir=""RTL"">
	فاستقبل الحجر مکبراً مھللاً رافعاً یدیہ کالصلاة واستلمہ بکفیہ وقبلہ بلا صوت ……وإلا یمکنہ ذلک یمس بالحجر شیئاً في یدہ ولو عصاً ثم قبلہ أي: الشیٴ، وإن عجز عنھما أي: الاستلام والإمساس استقبلہ مشیراً إلیہ بباطن کفیہ کأنہ واضعھما علیہ وکبر وھلل وحمد اللہ تعالی وصلی علی النبي صلی اللہ علیہ وسلم ثم یقبل کفیہ (الدر المختار مع رد المحتار، کتاب الحج، ۳:۵۰۴، ۵۰۵، ط: مکتبة زکریا دیوبند)، وکلما مر بالحجر فعل ما ذکر من الاستلام ……وختم الطواف باستلام الحجر استناناً (المصدر السابق، ص ۵۱۱-۵۱۲)۔</p><p dir=""RTL"">
	(۳): طواف کے دوران کسی جگہ رک کر دعا مانگنا یا بیت اللہ سے چمٹ کر دعا مانگنا مکروہ ہے ، طواف تسلسل کے ساتھ ہونا چاہیے ۔اور اگر آپ دوران طواف دعا مانگنا چاہتے ہیں تو اس کے لیے رکنے کی ضرورت نہیں، طواف جاری رکھنے کے ساتھ دعا مانگتے رہیں۔ اور طواف کے علاوہ عام حالات میں اگر موقع ملے تو ملتزم سے چمٹ کر دعا کرنی چاہیے، وہ قبولیت دعا کی جگہ ہے۔</p><p dir=""RTL"">
	وأما مکروھاتہ - مکروہات الطواف- الوقوف للدعاء في أثناء الطواف فی الأرکان أو في غیرہ؛ لأن الموالاة بین الأشواط وأجزاء الأشواط سنة موٴکدة (غنیة الناسک، ص ۶۷، ط: قدیم)، وانظر البحر العمیق (ص ۱۲۳۴، ۱۲۳۵، ط: المکتبة المکیة) أیضاً۔</p><p dir=""RTL"">
	(۴):اوپر ذکر کردہ احکام ہر طواف کے لیے ہیں خواہ وہ عمرے کا طواف ہو یا حج کا یا کوئی نفلی طواف ہو۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",151689,deoband,عبادات,حج وعمرہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/hajj-umrah/151627,لاٹری کے ذریعہ حج یا عمرہ کرنا,لاٹری کے ذریعہ یا کسی انعام کی صورت میں عمرہ یا حج کرنا جائز ہے؟ کیوں کہ ہم نے اپنے بزرگوں سے سنا ہے کہ اس طرح سے جائز نہیں ہے، کیونکہ اس میں خود کے پیسے یا استطاعت شامل نہیں ہوتی، آپ کیا فرماتے ہیں؟ مہربانی فرماکر آسان سا جواب دیجئے گا۔ شکریہ,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa: </span>489-647<span dir=""LTR"">/D=</span>9/1438</p><p dir=""RTL"">
	لاٹری یا انعام کی جو صورت پیش نظر ہے اس کی پوری تفصیل لکھ کر حکم معلوم کریں۔</p><p dir=""RTL"">
	لاٹری کی مختلف شکلیں ہوتی ہیں او راکثر شکلیں جوے (قمار) پر مشتمل ہوتی ہیں جو بلاشبہ ناجائز اور حرام ہیں، انعام تو اچھی اور جائز صورتوں پر بھی صادق آتا ہے بلکہ اصل کے اعتبار سے انعام کی اکثر شکلیں جائز ہوتی ہیں بعض ناجائز بھی ہوسکتی ہیں۔</p><p dir=""RTL"">
	لہٰذا جس صورت واقعہ کا حکم معلوم کرنا چاہتے ہیں اس کی پوری تفصیل لکھیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",151627,deoband,عبادات,حج وعمرہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/hajj-umrah/151505,حج میں حلق نہیں کیا تو کیا حکم ہے,حضرت صاحب، آپ سے میرا سوال ہے کہ حج میں حلق نہیں کیا تو کیا حکم ہے شریعت میں؟ براہ کرم، دلیل کے ساتھ جواب دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa: 1028-1387/H=1/1439</span></p><p dir=""RTL"">
	اگر حاجی ابھی مکہ المکرمہ میں ہی ہو اور ایام نحر بھی باقی ہوں تو حلق کرلے یا کرالے اور ایسی صورت میں تاخیر ہونے کی وجہ سے کوئی دم وغیرہ واجب نہیں، اگر ایام نحر گذرجانے کے بعد حلق کرائے گا تو ایک دم واجب ہوگا اور اگر ایام نحر بھی گذرگئے اور حرم سے باہر آگیا اور پھر حلق کرایا تو دو دم واجب ہوگئے اورحلق کرالینے پر حلال بہرحال ہوجائے گا۔ وفي الدر المختار أو حلق في حل بحج في أیام النحر فلو بعدہا فدمان اھ قولہ (فدمان) دم للمکان ودم للزمان․ ط قولہ: (لاختصاص الحلق) أي لہما بالحرم وللحج في أیام النحر․ ط اھ (باب الجنایات في کتاب الحج من رد المحتار ج۳ص ۹۱۵مطبوعہ المکتبة الأشرفیہ)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",151505,deoband,عبادات,حج وعمرہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/hajj-umrah/151469,بینک کی ملازمت سے ریٹأئر ہونے كے بعد ملنے والے فنڈ سے حج ؟,حضرت! میں یہاں انڈیا میں ایک سرکاری بینک میں ملازمت کرتا ہوں اب کچھ دنوں میں میں ریٹائر ہونے والا ہوں، ریٹائرمنٹ کے بعد جو فنڈ اور پیسہ مجھے ملے گا اس سے میں حج کرنے کا ارادہ رکھتا ہوں۔ مہربانی کرکے بتائیں کہ کیا اس پیسے سے حج کیا جاسکتا ہے؟ شکریہ,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa: </span>1250-1187<span dir=""LTR"">/L=</span>9/1438</p><p dir=""RTL"">
	حج پاکیزہ آمدنی سے کرنا چاہیے ،بینک میں ایسے کام کی ملازمت جس میں سود لکھنے وغیرہ کے اعتبار سے سود پر تعاون ہو جائز نہیں اور اس سے حاصل آمدنی بھی پاکیزہ نہیں ہے؛البتہ اگر آپ کو رٹائر کے بعد پینشن ملے توآپ اس رقم سے حج کر سکتے ہیں؛کیونکہ یہ کسی عمل کا بدل نہیں ہے بلکہ تبرع محض ہے اور حلال ہے،اسی طرح اگر فنڈ کی رقم سے حج کریں تو اس کی بھی گنجائش ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",151469,deoband,عبادات,حج وعمرہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/hajj-umrah/151461,بغیر احرام باندھے عمرہ کی نیت کیے بغیر میقات سے گذرنا؟,(۱) میں مدینہ طیبہ میں رہتاہوں، شیخ مکی الحجازی کے مطابق ، جب بھی ان سے کسی نے سوال کیا کہ مدینہ سے مکہ واپسی کے وقت ہر مرتبہ احرام باندھنا ضروری ہے تو ان کا جواب تھا کہ ہاں ضروری ہے، یہاں سے لوگ احرام کے بغیر مکہ جاتے ہیں اور میں نے اپنے دوستوں سے کہا کہ حرم کعبہ کے ضابطے کی خلاف ورزی نہ کرو، مگر وہ جواب دیتے ہیں کہ یہ حکم ان لوگوں کے لیے جن کا ارادہ عمرہ کرنے کا ہو، جن کا اراہ عمرہ کرنے کا نہ ہو تو ان کے لیے یہ حکم نہیں ہے۔ (۲) میر ا سوال یہ ہے کہ کیا کوئی شخص احرام کے بغیر میقات کے راستے سے مکہ جاسکتاہے؟ (۳) اگر کوئی مکہ جارہا ہو کسی رشتہ دار سے ملاقات کرنے یا اپنے کسی کام کے لیے تو اس کے لیے کیا احرام باندھنا اور عمرہ کرنا ضروری ہے؟ (۴) مکہ میں کچھ لوگوں کے رشتہ دار ہیں اور ان کا ارادہ عمرہ کرنے کا نہیں ہوتاہے اور مدینہ میں احرام نہیں باندھتے ہیں، وہ گاڑی چلا کر جاتے ہیں اور مکہ سے باہر گاڑی کھڑی کردیتے ہیں، اپنے رشتہ داروں کا انتظا ر کرتے ہیں اور پھر واپس ہوجاتے ہیں تو کیا اس کی اجازت ہے؟ (۵) کیا ہم کسی بھی کام کے لیے مکہ سے مدینہ عمرہ کی نیت کے بغیر اور احرام باندھے بغیر جاسکتے ہیں، جیسے کہ تراویح پڑھنے، یا جمعہ کی نماز پڑھنے جب کہ عمرہ کرنے کی نیت نہ ہو ،؟ (۶) کیا مدینہ کے باشندگان کے لیے عمرہ کرنا ضروری ہے اگر وہ کسی کام کے لیے مکہ جارہے ہیں؟ براہ کرم، جواب دیں ۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa: 958-1033/N=10/1438</span></p><p dir=""RTL"">
	(۱): شیخ مکی حجازی نے جو مسئلہ بتایا، احناف کے نزدیک وہی صحیح ہے، یعنی: مدینہ منورہ یا آفاق میں کہیں اور کا باشندہ جب مکہ مکرمہ کے ارادے سے میقات سے گذرے گا تو اس پر حج یا عمرے کا احرم باندھنا ضروری ہوگا خواہ اس کا بنیادی ارادہ حج یا عمرے کا نہ ہو؛ بلکہ مکہ مکرمہ میں کسی رشتہ دار سے ملاقات کا ہو یا کوئی اور ضرورت ہو۔ اور حنفیہ کے علاوہ دیگر مسلک کے لوگ اپنے مسلک کے مطابق عمل کریں گے، حنفیہ کو ان سے کچھ تعرض کرنے کی ضرورت نہیں۔</p><p dir=""RTL"">
	وحرم تأخیر الإحرام عنھا کلھا لمن أي: لآفاقي قصد دخول مکة یعنی: الحرم ولو لحاجة غیر الحج(الدر المختار مع رد المحتار، کتاب الحج، ۳:۴۸۲، ط: مکتبة زکریا دیوبند)، من أتی میقاتاً بنیة الحض أو العمرة أو دخول مکة أو دخول الحرم لا یجوز لہ أن یجاوزہ إلا بإحرام (البحر العمیق، ص ۶۱۷)۔</p><p dir=""RTL"">
	(۲): مدینہ منورہ یا آفاق میں کسی اور جگہ سے مکہ مکرمہ جانے والا احرام کے بغیر میقات سے نہیں گذرسکتا، ورنہ اس پر ایک دم اور ایک حج یا عمرہ واجب ہوگا؛ البتہ اگر دوبارہ میقات واپس آکر حج یا عمرے کا احرام باندھ کر مکہ مکرمہ گیا تو دم ساقط ہوجائے گا۔</p><p dir=""RTL"">
	آفاقي مسلم بالغ یرید الحج ولو نفلاًأو العمرة …… وجاوز وقتہ …ثم أحرم لزمہ دم کما إذا لم یحرم فإن عاد إلی میقات ما ثم أحرم ……سقط دمہ الخ (الدر المختار مع رد المحتار، کتاب الحج، باب الجنایات، ۳:۶۲۰- ۶۲۲، ط: مکتبة زکریا دیوبند)،فالمراد بقولہ:”إذا أراد الحج أو العمرة“ إذا أراد مکة اھ ملخصاً عن الشرنبلالیة، ولیس المراد بمکة خصوصھا؛ بل قصد الحرم مطلقاً موجب للإحرام کما مر قبیل فصل الإحرام وصرح بہ فی الفتح وغیرہ (رد المحتار، ۴:۶۲۱)، وإذا جازو المحرم أحد المواقیت علی الوجہ الذي ذکرنا ودخل مکة بغیر إحرام فعلیہ حجة أو عمرة قضاء ما علیہ ودم لترک الوقت (البحر العمیق، ص ۶۶۲)۔</p><p dir=""RTL"">
	(۳): جی ہاں! جیسا کہ اوپر نمبر ایک میں لکھا گیا۔</p><p dir=""RTL"">
	(۴): اگر میقات سے گذرتے وقت ان کا ارادہ حرم شریف کی حدود میں جانے کا نہ ہو؛ بلکہ ان کا ارادہ یہ ہو کہ حدود حرم سے باہر رہ کر رشتہ دار کو وہیں بلالیں گے اور ملاقات کرکے واپس آجائیں گے تو ان کے لیے احرام کے بغیر میقات سے گذرنا جائز ہوگا؛ کیوں کہ جو شخص مکہ مکرمہ ، یعنی: حدود حرم کے ارادے سے میقات سے گذرے ، اس پر حج یا عمرے کا احرام ضروری ہوتا ہے، اور جس کا ارادہ حدود حرم میں جانے کا نہ ہو ؛ بلکہ حدود حرم سے باہر حل ہی میں رہنے کا ہو تو وہ حل کے لیے میقات سے بلا احرام گذرسکتا ہے۔</p><p dir=""RTL"">
	أما لو قصد موضعاً من الحل کخلیص وجدة الخ (الدر المختار مع رد المحتار، کتاب الحج، ۳:۴۸۲، ط: مکتبة زکریا دیوبند)، قولہ: ”أما لو قصد موضعاً من الحل“: مما بین المیقات والحرم (رد المحتار)۔</p><p dir=""RTL"">
	(۵): جی ! نہیں، جیسا کہ اوپر نمبر ایک میں ذکر کیا گیا۔</p><p dir=""RTL"">
	(۶):اس کا جواب بھی اوپر آگیا ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",151461,deoband,عبادات,حج وعمرہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/hajj-umrah/151436,میرا حرم میں اعتکاف کرنے کا بہت ہی ارمان ہے پر کوئی محرم اس وقت ساتھ نہیں جاسکتا,میرا حرم میں اعتکاف کرنے کا بہت ہی ارمان ہے پر کوئی محرم اس وقت ساتھ نہیں جاسکتا۔ والد اور والدہ ابھی واپس آئے ہیں۔ معلوم یہ کرنا ہے کہ ٹریول ایجنٹ کاغذات میں کسی اور کو میرا محرم بنا دیں تو اس میں کوئی حرج ہے؟ کیا اس سے عمرہ کی ادائیگی میں کوئی فرق پڑے گا؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"" style=""text-align: justify;"">
	<span dir=""LTR"">Fatwa: 762-635/D=9/1438</span></p><p dir=""RTL"" style=""text-align: justify;"">
	سوال سے معلوم ہوتا ہے کہ سائلہ مسماة (خاتون) ہیں جواب یہ ہے کہ خاتون کے ساتھ سفر حج یا عمرہ میں اس کا محرم ہونا ضروری ہے، بغیر محرم کے سفر کرنا جائز نہیں اور بغیر محرم کے خاتون کو پریشانی اوردقت کا سامنا بھی کرنا پڑجاتا ہے لہٰذا بغیر محرم کے انتظام ہوئے آپ سفر نہ کریں، ٹریول ایجنٹ اگر کاغذات میں اجنبی شخص کو محرم دکھلادے تو ایسا کرنا شرعاً بھی گناہ ہے کہ جھوٹ اور دھوکہ ہے نیز قانوناً بھی جرم ہے اور خاتون کا ایسا کروانا اس کے حق میں گناہ اور جرم ہوگا، جس سے عمرہ کے ثواب میں کمی اور جھوٹ اور دھوکہ کا گناہ لازم ہوگا۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",151436,deoband,عبادات,حج وعمرہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/hajj-umrah/151394,اگر کوئی شخص مکہ سے جدہ جائے ایک دن کے لیے اور پھر مکہ واپس آجائے تو کیا اس کو عمرہ دہرانا پڑے گا؟,اگر کوئی شخص مکہ سے جدہ جائے ایک دن کے لیے اور پھر مکہ واپس آجائے تو کیا اس کو عمرہ دہرانا پڑے گا؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"" style=""text-align: justify;"">
	<span dir=""LTR"">Fatwa: 897-837/sd=9/1438</span></p><p dir=""RTL"" style=""text-align: justify;"">
	<span dir=""LTR""><o:p>&nbsp;</o:p></span>جی نہیں ! صورت مسئولہ میں مذکورہ شخص کے لیے دوبارہ عمرہ کرنا ضروری نہیں ہے۔ أما لو قصد موضعاً من الحل کخلیص وجدہ حل لہ مجاوزتہ بلا إحرام۔ (درمختار <span lang=""FA"" style=""font-size: 12px;"">۳/۴۸۲</span><span lang=""FA"" style=""font-size: 12px;""> </span><span lang=""AR-SA"" style=""font-size: 12px;"">زکریا، ومثلہ فی البحر الرائق </span><span lang=""FA"" style=""font-size: 12px;"">۳/۴۹</span><span lang=""FA"" style=""font-size: 12px;""> </span><span lang=""AR-SA"" style=""font-size: 12px;"">کراچی، الدر المنتقی </span><span lang=""FA"" style=""font-size: 12px;"">۱/۳۹۳)</span><span lang=""AR-SA"" style=""font-size: 12px;"">ومن جاوز وقتہ یقصد مکاناً فی الحل، ثم بدأ لہ أن یدخل مکة فلہ أن یدخلہا بلا إحرام۔ ( الفتاویٰ التاتارخانیة </span><span lang=""FA"" style=""font-size: 12px;"">۳/۵۵۳</span><span lang=""AR-SA"" style=""font-size: 12px;"">، منحة الخالق </span><span lang=""FA"" style=""font-size: 12px;"">۲/۵۵۲</span><span lang=""FA"" style=""font-size: 12px;""> </span><span lang=""AR-SA"" style=""font-size: 12px;"">زکریا، غنیة الناسک </span><span lang=""FA"" style=""font-size: 12px;"">۵۷)&nbsp;</span></p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",151394,deoband,عبادات,حج وعمرہ
