issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/innovations-customs/48398,میں نے پڑھا ہے کہ اللہ کے نام کے علاوہ کسی دوسرے کے نام کا کھانا حرام ہے ،دوسرے کے نام پر کیسا جیسے تیجا، چالیسواں قل یا مزاروں کا یہ دیگر تفصیل سے بتائیں۔,میں نے پڑھا ہے کہ اللہ کے نام کے علاوہ کسی دوسرے کے نام کا کھانا حرام ہے ،دوسرے کے نام پر کیسا جیسے تیجا، چالیسواں قل یا مزاروں کا یہ دیگر تفصیل سے بتائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1546-1030/L=1/1435-U

اللہ کے نام کے علاوہ دوسرے کے نام کا کھانا حرام ہے اس سے مراد وہ کھانا جو غیر اللہ کے لیے چڑھایا گیا ہو، یا غیر اللہ کے نام پر نذر مانی گئی ہو، ایسا کھانا حرام ہے، اگر کھانا ایصالِ ثواب کے لیے بنایا گیا ہو تو فی نفسہ یہ طعام مباح اور صدقہ ہوگا اس کا کھانا حرام نہ ہوگا، مگر ایصالِ ثواب کے لیے دن وغیرہ کی تعیین ثابت نہیں، یہ بدعت ہے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",48398,deoband,عقائد و  ایمانیات,بدعات و رسوم
01-Sep-2020,https://darulifta-deoband.com/home/ur/innovations-customs/47671,اپنے سے بڑے كا ہاتھ چومنا,ممبئی میں ایک برادری ہے میمن، اس برادری میں ہر چھوٹا اپنے سے بڑے کو عزت دینے کے لیے اپنے سے بڑے کا ہاتھ چومتے ہیں ، کیا یہ جائز ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1236-1236/M=11/1434-U

اگر کوئی عادل بادشاہ ہو، یا بزرگ ہو یا دینی وعلمی شرف والا ہو تو تعظیم وتکریم کے طور پر ان کا ہاتھ چوم سکتے ہیں بشرطیکہ شہوت سے امن ہو، اورجن کا ہاتھ چوما جائے ان کے اندر عُجب اور کبر پیدا نہ ہو۔ اگر کسی کے اندر مذکورہ اوصاف نہ ہوں تو وہاں اجتناب کرنا چاہیے۔ اسی طرح اگر برادری میں اس کا عام رواج ہوگیا ہو کہ ہرچھوٹا اپنے بڑے کا ہاتھ چومتا ہو تو اس رواج کو بھی ختم کرنا چاہیے۔ تفصیل کے لیے دیکھئے حضرت مفتی شفیع صاحب کا رسالہ بعنوان ”دست بوسی اور قدم بوسی“ جواہر الفقہ جلد اول۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",47671,deoband,عقائد و  ایمانیات,بدعات و رسوم
01-Sep-2020,https://darulifta-deoband.com/home/ur/innovations-customs/47584,اذان واقامت سے پہلے درود پڑھنا كیسا ہے؟,﴿۱﴾ اذان اور اقامت سے پہلے درود شریف یا سلام پڑھنا کیسا ہے؟ اس کا کوئی شرعی حکم ہے ؟ ہمارے علاقے کی مسجدوں میں اذان اور اقامت سے پہلے درود و سلام پڑھتے ہیں۔ ﴿۲﴾ اگر یہ غلط ہے تو کیا ان کے پیچھے میں نماز پڑھ سکتا ہوں؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1373-1051/H=11/1434-U

﴿۱﴾ مروجہ صلاۃ وسلام اذان واقامت سے پہلے پڑھنا ، نہ قرآنِ کریم اور حدیث شریف سے ثابت ہے اور نہ ہی اس کی اصل یا ترغیب حضرت سید الاولین والآخرین احمد مجتبیٰ محمد مصطفی صلی اللہ علیہ وسلم اور جان نثار صحابۂ کرام رضی اللہ عنہم اجمعین سے ثبوت ملتا ہے، متبع سنت اکابرِ دین اولیائ اللہ سے بھی اس رسم مروجہ کا ثبوت نہیں ہے، پس یہ خلافِ سنت اور بدعات سیئہ کے قبیل سے ہے۔
﴿۲﴾ بہتر یہ ہے کہ ان لوگوں کے پیچھے نماز پڑھنے سے احتیاط رکھیں، نماز ان کے پیچھے مکروہ ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",47584,deoband,عقائد و  ایمانیات,بدعات و رسوم
01-Sep-2020,https://darulifta-deoband.com/home/ur/innovations-customs/46710,مزار اور ولیوں کی قبر پر جانے کی کیا شرط ہے؟,مزار اور ولیوں کی قبر پر جانے کی کیا شرط ہے؟ (۱) چادر وغیرہ چڑھانا کیا شریعت کے خلاف ہے؟ (۲)ان سے دعا کرنی ہو تو کیا کریں؟ (۳) یہاں فاتحہ کیسے پڑھا جائے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 103-804/D=10/1434

قبروں کی زیارت جائز ہے، بالخصوص عامة المومنین کے قبروں کی زیارت افضل ہے، کیونکہ زیارت قبور سے مقصد موت اور آخرت کی تذکیر ہے، یہ مقصد عام موٴمنین کے قبروں کی زیارت سے زیادہ حاصل ہوتا ہے۔
بزرگوں اور ولیوں کے قبروں کی زیارت بھی جائز ہے مگر جن جگہوں میں بدعات اور خلاف شرع امور کا ارتکاب ہوتا ہو یا عورتوں کا اجتماع ہوتا ہو وہاں جانے سے احتراز کرے کہ نیکی برباد گناہ لازم کا مصداق ہوگا۔
(۲) شریعت سے اس کا کوئی ثبوت نہیں ائمہ مجتہدین، صحابہ، تابعین رضوان اللہ علیہم اجمعین کے عمل سے ثابت نہیں ہے، پس یہ خلاف شریعت اور بدعت ہے۔
(۳) جو کچھ مانگنا ہو اللہ سے مانگے، بزرگوں سے مانگنا شرک ہے، البتہ اللہ تعالی سے یہ دعا کرسکتے ہیں کہ اے اللہ ان بزرگ کی برکت سے اور ان کے طفیل میں ہماری دعا قبول فرمالے۔
درود شریف پڑھ کر سورہٴ فاتحہ پھر چاروں قل پڑھیں پھر آخر میں درود شریف پڑھ کر اللہ تعالی سے دعا کریں کہ اے اللہ جو کچھ ہم نے پڑھا ہے اس کا جو ثواب آپنے اپنے فضل سے ہمیں عطا فرمایا یہ ثواب آپ ہماری طرف سے فلاں فلاں بزرگان دین یا ہمارے فلاں فلاں رشتہ داروں کو پہنچادیجیے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",46710,deoband,عقائد و  ایمانیات,بدعات و رسوم
31-Aug-2020,https://darulifta-deoband.com/home/ur/innovations-customs/46554,نكاح كے موقع كی رسمیں,میں یہ جاننا چاہتاہوں کہ نکاح میں درج ذیل چیزوں کی اجازت ہے یا نہیں؟ (۱) گھر کو چراغاں کرنا(۲) مہندی رسم(دولہے کے ہاتھوں میں مہندی لگائی جاتی ہے)(۳) ہلدی لگانا (دولہے کے بازؤں میں عورتوں کا ہلدی لگانا(۴) سہرا باندھنا (۵) ویڈیو گرافی کرنا۔ ہر پوائنٹ میں متخصر وجہ بتائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1207-813/L=11/1434-U

(۱) یہ بے جا اسراف میں داخل ہے جس کی ممانعت قرآن میں آئی ہے۔
(۲) مرد کے لیے اپنے ہاتھ یا پیر میں مہندی لگانا مکروہ ہے: ویکرہ للإنسان أن یخضب یدیہ ورجلیہ (شامي: ۹/۵۲۲) لہٰذا ایسی رسم لائق ترک ہے۔
(۳) ہلدی لگانے سے مقصود اگر بدن کی صفائی ہو تو اس میں مضائقہ نہیں؛ مگر آج کل اس کو بھی رسم بنالیا گیا ہے، پھر اگر لگانے والی عورتیں غیر محرم ہیں تو اس کا حرام ہونا ظاہر ہے، بہرحال موجودہ حالات کے پیش نظر اس رسم سے گریز کرنے کی ضرورت ہے۔
(۴) سہرا باندھنا ہندوانی رسم ہے، جس سے احتراز ضروری ہے۔
(۵) ویڈیو گرافی کرنا حرام ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",46554,deoband,عقائد و  ایمانیات,بدعات و رسوم
01-Sep-2020,https://darulifta-deoband.com/home/ur/innovations-customs/46532,شب برأت كی حقیقت كیا ہے؟,میرا سوال یہ ہے کہ شب برأت کی حقیقت کیا ہے ؟ کیا اس رات کو جاگنا صحیح حدیث سے ثابت ہے یا نہیں؟ اور اس رات کو اس سال سے لے کر آنے والے سال تک سب کچھ اس رات میں لکھ دیا جاتاہے؟ کیا یہ صحیح ہے ؟ براہ کرم، اس پر روشنی ڈالیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1187-1189/N=10/1434

(۱-۲) شب براء ت ایک فضیلت وعبادت کی رات ہے، اس رات میں جاگ کر انفرادی طور پر عبادت کرنا، نفلیں پڑھنا، قرآن پاک کی تلاوت کرنا، ذکر واذکار کرنا اور اپنے لیے اور والدین اور دیگر تمام مسلمان مردوں ور عورتوں کے لیے مغفرت و رحمت وغیرہ کی دعائیں کرنا مستحب ہے، مختلف احادیث میں اس رات کا ذکر آیا ہے، مجمع الزوائد (۸:۱۲۶، حدیث نمبر: ۱۲۹۶۰) میں ہے: ”عن معاذ بن جبل عن النبي صلی اللہ علیہ وسلم قال: یطلع اللہ إلی جمیع خلقہ لیلة النصف من شعبان فیغفر لجمیع خلقہ إلا لمشرک أو مشاحن“، رواہ الطبراني في الکبیر والأوسط ورجالہما ثقات“ اھ․
(۳) جی ہاں! بعض روایات میں اس کا تذکرہ آیا ہے، تحفة الاحوذی (۳: ۴۴۲، ۴۴۳، مطبوعہ دارالفکر) میں ہے بحوالہ مرقاة المفاتیح: ولا نزاع في أن لیلة نصف شعبان یقع فیما فرق کما صرح بہ الحدیث وإنما النزاع في أنہا الرادة من الآیة، والصواب أنہا لیس مرادة منہا وحینئذ یستفاد من الحدیث والآیة وقوع ذلک الفرق في کل من اللیلتین إعلاما لمزید شرفہما․․․ اھ
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",46532,deoband,عقائد و  ایمانیات,بدعات و رسوم
01-Sep-2020,https://darulifta-deoband.com/home/ur/innovations-customs/46504,شب برأت منانا,میرا سوال یہ ہے کہ شب برأت منانا چاہئے مطلب روزہ رکھنا، رات کو عبادت کرنا، کھانا تقسیم کرنا، کیوں کہ میں نے مختلف تقریر میں سنا ہے کہ قرآن شریف میں شب برأت کا کوئی ذکر نہیں ہے، یہاں تک کہ برأت لفظ صرف سورةتوبہ میں استعمال ہواہے جس کا مطلب بھی ہے نفرت۔ تو میں یہ جاننا چاہتاہوں کہ ہم دیوبندی شب برأت کو ہی کیوں رات جاگ کر عبادت کرتے ہیں جب کہ یہ رات بھی ہر رات کے برابر ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1179-1187/N=10/1434

شب براء ت عام راتوں کے مانند نہیں ہے بلکہ بہت سی احادیث سے اس رات کا فضیلت وعبادت کی رات ہونا ثابت ہے اس لیے اس رات میں جاگ کر انفرادی طور پر عبادت کرنا: نفلیں پڑھنا، قرآن پاک کی تلاوت کرنا اور ذکر واذکار میں مشغول رہنا اور اپنے لیے اور اپنے والدین اور تمام مسلمان مردوں اور عورتوں کے لیے مغفرت کی دعا کرنا اور دینی ودنیوی جو بھی ضرورت ہو اللہ تعالی سے اس کا سوال کرنا وغیرہ مستحب ہے۔ اس کے علاوہ اس رات میں دیگر خرافات جو عوام میں رائج ہیں جیسے: چراغاں کرنا، قسم قسم کے کھانے پکانا اور انھیں تقسیم کرنا اور نئے کپڑوں کا اہتمام کرنا وغیرہ بے اصل ہیں، شریعت سے ان کا کوئی تعلق نہیں بلکہ ناجائز وبدعت ہیں۔ 
اور ۱۵/ شعبان کو روزہ رکھنا یہ ایک ضعیف حدیث سے ثابت ہے، لیکن اس کا ضعف اس درجہ کا نہیں ہے کہ فضائل کے باب میں اس پر عمل جائز نہ ہو اس لیے اکثر علمائے کرام کی تحقیق کے مطابق ۱۵/ شعبان کو روزہ رکھنا مستحب ہے یعنی: رکھنے کی صورت میں ثواب ہوگا اور نہ رکھنے کی صورت میں کوئی گناہ وغیرہ نہ ہوگا۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",46504,deoband,عقائد و  ایمانیات,بدعات و رسوم
31-Aug-2020,https://darulifta-deoband.com/home/ur/innovations-customs/46495,شب برأت کا روزہ رکھنا چاہئے؟ اور کتنے نفل ہوں گے اور کیا عبادت کرنی چاہئے؟,شب برأت کا روزہ رکھنا چاہئے؟ اور کتنے نفل ہوں گے اور کیا عبادت کرنی چاہئے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 985-749/D=9/1434

۱۵/ شعبان کا روزہ فرض وواجب نہیں، مستحب ہے، یعنی عام نفل روزوں سے اسکا ثواب کچھ زیادہ ہے، صرف ایک دن کا رزہ ہے۔ ۱۵/ شعبان کی رات میں نفل عبادت مثلاً نمازیں، تلاوت قرآن درود شریف وغیرہ جس قدر ہوسکے پڑھا جائے پوری رات جاگنا ضروری نہیں، نیز اس رات میں پٹاخے بجانا، ناجائز ہے قبرستان جانے کو ضروری سمجھنا، قبرستان میں چراغاں کرنا، اگربتی موم بتی جلانا۔ یہ سب امور بدعت ہیں، حاصل یہ کہ رات میں عبادت کرنا دن میں روزہ رکھنا اسکی فضیلت احادیث سے ثابت ہے، بس، اسی کو کرنا چاہیے اور انفرادی طور پر کرنا چاہیے، اسکے لیے اجتماع کرنا ثابت نہیں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",46495,deoband,عقائد و  ایمانیات,بدعات و رسوم
01-Sep-2020,https://darulifta-deoband.com/home/ur/innovations-customs/46494,شب برأت کے بارے میں قرآن وحدیث کی روشنی میں کیا حکم ہے؟,شب برأت کے بارے میں قرآن وحدیث کی روشنی میں کیا حکم ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 986-750/D=9/1434

شعبان کی پندرہویں شب اور آنے والے دن کے بعض فضائل احادیث سے ثابت ہیں، مثلاً اللہ تعالیٰ کی طرف سے اس رات منادی ہونا، بندوں کی مغفرت وبخشش ہونا، روزہ کا مستحب ہونا، اسی طرح آنحضرت صلی اللہ علیہ وسلم کا اس شب میں بقیع قبرستان تشریف لیجانا اور مُردوں کے لیے دعائے مغفرت کرنا حدیث سے ثابت ہے، اس لیے کبھی کبھار اس رات میں قبرستان چلے جانا مستحب ہوا، لیکن قبرستان جانے کو ضروری سمجھنا اس کے لیے چراغاں کرنا مسجد میں لوگوں کو اکٹھا کرکے عبادت کا اہتمام کرنا، پٹاخا بجانا، حلوا پکانا یہ امور شریعت سے ثابت نہیں، ان سے احتراز کرنا واجب وضروری ہے۔ 
بس جس قدر فضائل واعمال احادیث سے ثابت ہیں انھیں ماننا چاہیے اور حسب توفیق نیک اعمال میں انفرادی طور پر لگنا چاہیے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",46494,deoband,عقائد و  ایمانیات,بدعات و رسوم
01-Sep-2020,https://darulifta-deoband.com/home/ur/innovations-customs/46359,بدعت کے اقسام بتائیں اور کونسی بدعت جائز ہے جس کا کرنا باعث ثواب ہے وہ بھی بتائیں۔,بدعت کے اقسام بتائیں اور کونسی بدعت جائز ہے جس کا کرنا باعث ثواب ہے وہ بھی بتائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1113-270/B=9/1434

ایسا فعل دین کا کام ضروری اور ثواب سمجھ کر کرنا جو قرآن وحدیث سے ثابت نہ ہو ارو نہ کرنے والوں گو برا سمجھنا، یہ بدعت سیئہ ہے۔ یہ کفر شرک کے بعد سب سے بڑا گناہ ہے۔ اور ایسا کام جو نیا تو ہے یعنی قرآن وحدیث میں نہیں آیا ہے مگر وہ نیک کام میں معاون بنتا ہو تو ایسا نیک کام لغت کے اعتبار سے تو بدعت ہے مگر حقیقت کے اعتبار سے وہ بدعت بمعنی گناہ کا کام نہیں بلکہ وہ نیک کام میں تعاون کی وجہ سے جائز ہوگا بلکہ اجر وثواب کا باعث بنے گا۔ جیسے مدرسہ کا پختہ عمارت بنانا پختہ او ر مضبوط مسجدیں بنانا، قرآن پاک پر زیر وزبر لگانا، یہ بدعت حسنہ ہے یہ بلاشبہ جائز ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",46359,deoband,عقائد و  ایمانیات,بدعات و رسوم
