issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
10-Nov-2021,https://darulifta-deoband.com/home/ur/oaths-vows/607210,کسی چیز کو اپنے اوپر حرام کرلینے سے کیا وہ چیز حقیقت میں حرام ہوجاتی ہے؟,کسی شخص نے کہا کہ میں فلاں شخص کے گھر میں کھانا نہیں کھاؤں گا ،اگر کھاؤں گا تو میرے لئے کھانا حرام ہوگا ،مگر اس شخص نے اس کے گھر میں کھانا کھا لیا ، اسی طرح کسی شخص نے کہا کہ تیرے گھر میں کھانا کھانا میرے لئے حرام ہے ، اب اس شخص نے کھانا کھا لیا ، تو کیا اس شخص پر دونوں صورتوں میں قسم کا کفارہ لازم ہے ؟ جبکہ اس نے قسم کا لفظ استعمال نہیں کیا۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:57-29/H-Mulhaqa=4/1443</p><p>&nbsp;کھانے پینے وغیرہ کی کوئی چیز حرام کرنے سے وہ چیز شرعاً حرام نہیں ہوتی؛ البتہ قسم ہوجاتی ہے اور خلاف ورزی کی صورت میں قسم کا کفارہ واجب ہوتا ہے ( مدلل ومکمل اختری بہشتی زیور، ۳: ۵۲، قسم کھانے کا بیان، مسئلہ: ۸، مطبوعہ: کتب خانہ اختری متصل مظاہر علوم سہارن پور)، پس سوال میں ذکر کردہ دونوں صورتوں میں قسم ہوگئی اور جب اُس کی خلاف ورزی کی گئی تو کفارہ واجب ہوگیا۔</p><p>(ومن حرم) أي: علی نفسہ ……(شیئاً) ولو حراما أو ملک غیرہ ……(ثم فعلہ) بأکل أو نفقة ……(کفر) لیمینہ لما تقرر أن تحریم الحلال یمین (الدر المختار مع رد المحتار، کتاب الأیمان، ۵: ۵۰۸، ۵۰۹، ط: مکتبة زکریا دیوبند، ۱۱: ۲۹۹ - ۳۰۲، ت: الفرفور، ط: دمشق)۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",607210,deoband,عبادات,قسم و نذر
01-Jul-2021,https://darulifta-deoband.com/home/ur/oaths-vows/605355,قسمیہ وعدہ توڑنے كا حكم؟,قسم کھا کر کوئی وعدہ کرکے پھر قسم کو توڑ دینا اس بارے میں شریعت میں کیا حکم ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 1177-747/B=11/1442</p><p>&nbsp;قسم کھانے کے بعد اسے توڑ دینے پر قسم کا کفارہ اس کے ذمہ واجب ہوجاتا ہے۔ قسم کا کفارہ یہ ہے کہ دس مسکینوں کو دونوں وقت پیٹ بھر کر کھانا کھلائے۔ اور اگر وہ غریب ہے کھانہ کھلانے کی طاقت نہیں رکھتا ہے تو پھر متواتر تین دن روزے رکھے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",605355,deoband,عبادات,قسم و نذر
04-Jul-2021,https://darulifta-deoband.com/home/ur/oaths-vows/604992,قسم توڑنے والے كے لیے كیا حكم ہے؟,میرے یو نیورسٹی میں دو دوست ہیں، ان کے درمیان کسی وجہ سے لڑائی ہوئی۔ اب ایک نے مجھے بتا دیا کہ اگر آپ اس دوسرے سے تعلق رکھتے ہو تو پھر مجھ سے رابطہ مت کرنا ۔ میں نے کہا ٹھیک ہے نہیں کروں گا ۔ اس نے کہا کہ آپ قسم سے کہے کہ آپ کسی قِسم کا رابطہ نہیں کریں گے ۔ میں نے قسم کھا کر کہا کہ نہیں کروں گا لیکن میں چپکے سے رابطہ رکھتا ہوں ۔ اس طرح قسم کھانے اور توڑنے کے بارے میں رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:878-294T/sn=11/1442</p><p>&nbsp;صورت مسئولہ میں چونکہ آپ نے قسم کھاکر توڑدی ہے ؛ اس لئے آپ پر قسم کا کفارہ اداکرنا ہوگا، قسم کا کفارہ یہ ہے کہ دس مسکینوں کو دو وقت پیٹ بھر کر کھانا کھلائیں یا دس مسکینوں کو کپڑا پہنائیں ، اگر ان میں سے کسی کی استطاعت نہ ہو تو پھر تین روزے رکھیں۔ واضح رہے کہ ایک ہی کفارہ ادا کرنا آپ کے حق میں کافی ہے ، متعدد مرتبہ رابطہ کی وجہ سے متعدد کفارے لازم نہ ہوں گے ۔</p><p>لَا یُؤَاخِذُکُمُ اللَّہُ بِاللَّغْوِ فِی أَیْمَانِکُمْ وَلَکِنْ یُؤَاخِذُکُمْ بِمَا عَقَّدْتُمُ الْأَیْمَانَ فَکَفَّارَتُہُ إِطْعَامُ عَشَرَةِ مَسَاکِینَ مِنْ أَوْسَطِ مَا تُطْعِمُونَ أَہْلِیکُمْ أَوْ کِسْوَتُہُمْ أَوْ تَحْرِیرُ رَقَبَةٍ فَمَنْ لَمْ یَجِدْ فَصِیَامُ ثَلَاثَةِ أَیَّامٍ ذَلِکَ کَفَّارَةُ أَیْمَانِکُمْ إِذَا حَلَفْتُمْ وَاحْفَظُوا أَیْمَانَکُمْ کَذَلِکَ یُبَیِّنُ اللَّہُ لَکُمْ آیَاتِہِ لَعَلَّکُمْ تَشْکُرُونَ․ (المائدة: 89)</p><p>(وتنحل) الیمین (بعد) وجود (الشرط مطلقا) ؛لکن إن وجد فی الملک طلقت وعتق وإلا لا (الدرالمختاروحاشیة ابن عابدین (رد المحتار) 4: 609، مطبوعة: مکتبة زکریا، دیوبند، الہند)</p><p>&nbsp;</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",604992,deoband,عبادات,قسم و نذر
19-Aug-2021,https://darulifta-deoband.com/home/ur/oaths-vows/604627,كسی نے قسم كھائی كہ اگر گالی دی تو پانچ روزے ركھوں گا، وہ اگر كبھی گالی دیدے تو كیا حكم ہے؟,مجھے گالی دینے کی عادت تھی، اس لیے میں نے قسم کھائی تھی کہ اگر میں کسی کو گالی دوں تو میں پانچ دن کے روزے رکھوں گا، الحمد للہ، میری یہ عادت چھوٹ گئی ، لیکن یہ قسم کھانے کے بعد کئی مرتبہ گالی دی ہے اور مجھے یاد نہیں ہے کہ کتنی مرتبہ گالی دی ہے، اورمجھے یہ بھی یاد نہیں ہے کہ میں نے کب یہ قسم کھائی تھی اور کب گالی دی تھی، تو میں کیسے اپنی قسم پوری کروں؟ کیا اس کو پورا کرنے کا کوئی دوسرا طریقہ ہے یا نہیں؟ اور جب میں نے قسم کھائی تھی تو مجھے معلوم نہیں تھا کہ اس کو پورا کرنا واجب ہے، نیز اگر میں مستقبل میں کسی کو گالی دوں تو مجھے پانچ دن کے روزے رکھنے ہوں گے۔ براہ کرم، رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 1028-843/M=01/1443</p><p>&nbsp;آپ نے اگر جب جب کا لفظ نہیں کہا تھا تو صورت مسئولہ میں صرف ایک کفارہ واجب ہے۔ قسم کا کفارہ دس مسکینوں کو دو وقت پیٹ بھر کر کھانا کھلانا یا کپڑے پہنانا ہے، اگر اس پر قدرت نہ ہو تو لگاتار تین روزے رکھنا ہے۔ آپ کو قسم کا حکم پتہ نہ رہا ہو تب بھی یہی حکم ہے کہ حانث ہونے پر قسم کا کفارہ لازم ہے۔ مستقبل میں اگر کسی کو گالی دیں گے تو سابقہ قسم کی وجہ سے دوسرا کفارہ واجب نہیں ہوگا ہاں اگر پہلی قسم کا کفارہ ادا کردینے کے بعد پھر قسم کھائیں اور حانث ہوجائیں تو پھر سے کفارہ ادا کرنا ہوگا، اس لیے آئندہ احتیاط کریں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",604627,deoband,عبادات,قسم و نذر
19-Aug-2021,https://darulifta-deoband.com/home/ur/oaths-vows/604190,اللہ تعالیٰ سے بات کرنے کی قسم كھانا؟,اگر کوئی شخص قسم کھائے کہ اللہ تعالیٰ کی قسم میں اللہ تعالیٰ سے باتیں کروں گا تو اس کا کیا حکم ہے ،نیز یہ شخص حانث ہونے سے کس طرح بچ سکتا ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:709-755/N=1/1443</p><p>&nbsp;(۱، ۲): اگر کوئی شخص قسم کھاتے ہوئے یہ کہے کہ اللہ تعالی کی قسم! میں اللہ تعالی سے باتیں کروں گا تو اس کی یہ قسم منعقد ہوجائے گی اور جب وہ نماز پڑھے گا، قرآن پاک کی تلاوت کرے گا یا اللہ تعالی سے دعا ومناجات کرے گا تو اُس کی قسم پوری ہوجائے گی اور وہ حانث ہونے سے بچ جائے گا ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",604190,deoband,عبادات,قسم و نذر
03-Apr-2021,https://darulifta-deoband.com/home/ur/oaths-vows/604175,منت ماننا کیسا ہے ؟,کیا ہم منت مانگ سکتے ہیں کہ مجھے بیٹا ہوگا تو روذہ رکھوں گا ، کیا یہ منت مانگنا جائز ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 930-692/H=08/1442</p><p>&nbsp;اس طرح منت مان سکتے مثلاً یہ الفاظ زبان سے کہیں اگر میرے یہاں بیٹا پیدا ہوگا تو میں اللہ کے لئے اتنے روزے رکھوں گا۔ وان کان (النذر) معلقا بشرط نحو أن یقول: إن شفی اللہ مریضي أو إن قدم فلان الغائب فللہ عليّ أن أصوم شہرا، أو أصلي رکعتین، أو أتصدق بدرہم، ونحو ذالک فوقتہ وقت الشرط اھ بدائع: 5/93۔ اگر صورت مسئولہ میں بیٹا پیدا ہوگا تو روزوں کا رکھنا واجب ہوگا ورنہ نہیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",604175,deoband,عبادات,قسم و نذر
27-May-2021,https://darulifta-deoband.com/home/ur/oaths-vows/604124,قسم كن چیزوں كی كھاسكتے ہیں؟,شریعت میں جائز اور شرعی قسم الحلف کونسا ہے آیا خانہ کعبہ ،قرآن اور دوسری چیزوں پر حلف جائز ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:827-728/L=10/1442</p><p>&nbsp;حتی الامکان بلاضرورت قسم سے بچنا چاہیے ؛تاہم ضرورت کے وقت قسم کھانے کی گنجائش ہے ؛ البتہ قسم اللہ تعالیٰ کے ذاتی اور صفاتی ناموں کی کھانی چاہیے ،قرآن اللہ کا کلام اور صفت ہے ؛ لہذا قرآن کی قسم کھانے کی بھی گنجائش ہے ۔ مگرغیراللّہ مثلأ نبی، رسول، کعبہ،باپ،بیٹے کی قسم کھانا جائز نہیں۔</p><p>الیمین باللہ تعالیٰ لا تکرہ ولکن تقلیلہ أولی من تکثیرہ (الہندیة ۲ /۸۵)الیمین باللہ تعالیٰ لایکرہ وتقلیلہ أولی (شامی جلد۵ص۴۷۴)والیمین باللہ تعالیٰ أو باسم آخر من اسماء اللہ کالرحمن والرحیم........أوبصفة من صفاتہ التی یحلف بہا عرفاً کعزة اللہ وجلالہ وکبریائہ و عظمتہ و قدرتہ (الہندیة:۲ /۹۵) والقسم باللہ تعالیٰ أو باسم من أسمائہ کالرحمن والرحیم والحق او بصفة من صفاتہ تعالی کعزة اللہ وجلالہ وکبریائہ و عظمتہ و قدرتہ ولا یقسم بغیر اللہ تعالیٰ کالنبی والقرآن والکعبة قال الکمال: ولایخفی أن الحلف بالقرآن الآن متعارف فیکون یمیناً وأما الحلف بکلام اللہ تعالیٰ فیدور مع العرف وقال العینی: عندی أن المصحف یمین لا سیما فی زماننا.(درمختار۲ /۱۹۲)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",604124,deoband,عبادات,قسم و نذر
03-Sep-2021,https://darulifta-deoband.com/home/ur/oaths-vows/604002,رمضان میں اعتکاف کی نذر مان کر شعبان میں اعتکاف کرنا ؟,"گزشتہ سال میں نے یہ نذر مانی تھی کہ میرا فلاں کام ہو گیا تو میں رمضان کے پورے مہینے کا اعتکاف کرونگا لیکن لاک ڈاؤن کی وجہ سے یہ ممکن نہ ہو سکا ۔امسال میں اپنی اس نذر کو پورا کرنا چاہتا ہوں لیکن پریشانی یہ ہے کہ میں بارہویں کلاس کا اسٹوڈینٹ (student) بھی ہوں ۔اور 20 اپریل سے ہمارے پرکٹیکل(practical)ہوں گے اور 5 mayسے ہمارے امتحان شروع ہو جائیں گے ۔اور یہ دونوں چیزیں رمضان کے درمیان ہی شروع ہو جائیں گی۔
اب سوال یہ ہے کہ کیا میں دوران اعتکاف پیکٹیکل اور امتحان کے لئے جا سکتا ہوں؟ اگر جا سکتا ہوں تو مجھے کن کن شرائط پر عمل کرنا پڑے گا۔باہر اگر ضرورةً مجھے کسی سے بات چیت کرنی پڑ جاے تو کیا اس کی اجازت ہوگی ۔نیز میں نے قسم میں یہ کہا تھا کہ رمضان کے پورے مہینے کا اعتکاف کروں گا اب اگر شعبان کے پورے مہینے اعتکاف کر لوں تو کیا نذر پوری ہو جاءَ گی اور کیا اعتکاف کے ساتھ روزے بھی رکھنے ہوں گے ۔تسلی بخش جواب دیکر شکریہ کا موقع عنایت فرمائیں۔","<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 832-173T/B=01/1443</p><p>&nbsp;صورت مذکورہ میں آپ شعبان کے تیس دن روزے رکھ کر اعتکاف کریں اور اپنی نذر پوری کرلیں۔ شعبان میں اعتکاف کرنے سے بھی نذر پوری ہوجائے گی۔ اعتکاف کے لئے دن میں روزے رکھنا اور دن و رات مسجد میں قیام ضروری ہوگا۔ بہت ضروری بات کرنی ہو تو حالت اعتکاف میں کرسکتے ہیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",604002,deoband,عبادات,قسم و نذر
11-Apr-2021,https://darulifta-deoband.com/home/ur/oaths-vows/603998,بار بار قسم توڑنے پر كتنے كفارے واجب ہوں گے؟,اگر کسی کام کی تکمیل پر قسم کھائی جائے کہ کوئی عمل کسی خاص مدت تک نہیں کروں گا ، اگر خاص مدت میں وہ عمل کئی بار دہرایا جائے تو کفارہ ایک بار دینا پڑے گا یا جتنی پر وہ عمل دہرایا جائے اُتنی بار ادا کرنا ہوگا ۔ براہ کرم رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:802-623/L=8/1442</p><p>&nbsp;مذکورہ بالا صورت میں اگر خاص مدت میں کئی مرتبہ بھی اس کا صدور ہوجائے تو چونکہ پہلی مرتبہ اس کام کے کرنے کی صورت میں یمین منحل ہوگئی ؛لہذا صرف پہلی مرتبہ حانث ہونے کی وجہ سے کفارہ دینا ہوگا اس کے بعد دوبارہ یا سہ بارہ حانث ہونے کی صورت میں کوئی کفارہ لازم نہ ہوگا ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",603998,deoband,عبادات,قسم و نذر
03-Apr-2021,https://darulifta-deoband.com/home/ur/oaths-vows/603602,ماضی كے كسی مشتبہ معاملے پر قسم كھالی تو كیا اس پر كفارہ دینا ہوگا؟,کچھ سال پہلے اک دوست سے موبائل خرید اور اس کی قیمت بھی ادا کی کچھ وقت بعد لیکن وہ دوست کہتا قیمت زیادہ طے ہوئی تھی مجھے یاد نہیں کہ قیمت کیا طے ہوئی تھی اس بات پر قرآن کی قسم کھائی کہ جو قیمت ادا کی وہی طے ہوئی تھی لیکن وہ دوست کہتا قسم کھاو کیا وہ اس قسم پر کفارہ بنتا کوئی جسں کا پتہ نہ ہو سچ ہے کہ جھوٹ رہنمائی فرمائیں۔ شکریہ,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:706-587/L=8/1442</p><p>&nbsp;اس قسم پر کفارہ کا حکم نہیں ہے، قسم کا کفارہ اس وقت واجب ہوتا ہے جب کہ آدمی مستقبل میں کسی چیز کے کرنے یا نہ کرنے کی قسم کھائے اور حانث ہوجائے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",603602,deoband,عبادات,قسم و نذر
