issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2021,https://darulifta-deoband.com/home/ur/qurbani-slaughtering/605857,جس جانور کے پاؤں انسانوں کے مشابہ ہوں اس کی قربانی کرنا کیسا ہے؟,اگرقربانی کے جانورکے پاؤں انسان کے پاؤ ں کے مشابہ ہوتواس کی قربانی کرنا کیساہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:1019-746/sd=1/1443</p><p>&nbsp;تلاش بسیار کے باوجودد اس بارے میں کوئی صریح جزئیہ تو نہیں مل سکا؛ البتہ فقہاء نے مانع قربانی کے جو عیب شمار کرائے ہیں، ان کی رو سے یہی ظاہر ہوتا ہے کہ مذکورہ جانور کی قربانی درست ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",605857,deoband,عبادات,ذبیحہ وقربانی
07-Aug-2021,https://darulifta-deoband.com/home/ur/qurbani-slaughtering/605845,کیا غریب پر ایام نحر سے پہلے جانور خریدنے کی وجہ سے قربانی واجب ہوگی؟,اگر کوئی غریب 10 ذی الحجہ سے پہلے کوئی جانور خریدے اور پھر کسی مجبوری سے بیچ دے تو یہ درست ہوگا یا نہیں؟ نیز کیا صرف خریدنے سے قربانی واجب ہوجائے گا یا ایام نحر میں خریدنے سے قربانی واجب ہوجائے گی؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 1025-343T/SN=12/1442</p><p>&nbsp;</p><p>اس سلسلے میں راجح یہی ہے کہ ایام نحر میں خریدنے سے غریب پر قربانی واجب ہوگی، پہلے خریدنے سے نہیں۔ حضرت مولانا مفتی عزیز الرحمن صاحب رحمہ اللہ نے بھی متعدد فتاوی میں یہی بات تحریر فرمائی ہے، نیز بعض دیگر کبارِ مفتین نے بھی یہی بات لکھی ہے۔ دارالافتاء دارالعلوم دیوبند سے بھی یہ حکم تحریر کیا جاتا ہے۔ سابق میں جاری شدہ ایک فتوی ارسال ہے، اسے ملاحظہ فرمالیں۔</p><p>--------------------------------</p><p>کیا فرماتے ہیں مفتیان کرام درج ذیل مسئلہ کے بارے میں:</p><p>شراء الفقیر بنیة التضحیة موجب قربانی ہے، فقہ حنفی کی معتبر کتابوں میں مثلاً بدائع الصنائع (4/202)، عالمگیری (5/294)، البحر الرائق (8/175)، النہر الفائق، المحیط البرہانی (6/472) اسی طرح اُردو کتابوں میں مثلاً بہشتی زیور (3/129) احسن الفتاوی وغیرہ میں یہ مسئلہ مطلقاً بیان کیا گیا ہے (یعنی اس میں قبل ایام النحر یا فی ایام النحر کی قید نہیں ہے) صرف تاتارخانیہ میں اس قید کو (فی ایام النحر) ذکر کیا گیا ہے اور وہاں سے صاف ردالمحتار (9/465) نے اس قید کو نقل کیا لیکن انہوں نے اخیر میں فرمایا: ولم أرہ صریحا فلیراجع (فیہ مالا یخفی) اور صاحب احسن الفتاوی نے تاتارخانیہ کی عبارت میں چند مناسب تاویلیں کرکے فرمایا کہ بشراء الفقیر مطلقاً واجب ہے خواہ ایام نحر سے پہلے ہو یا ایام نحر کے اندر (احسن الفتاوی: 7/529) نیز جب نذر حقیقی مطلقاً موجب ہے تو شراء الفقیر جو کہ نذر معنوی ہے یہ بھی مطلقاً موجب ہو لیکن فتاوی دارالعلوم (15/520) اور اسی کے حوالہ سے فتاوی رحیمیہ میں نقل کیا گیا ہے شراء الفقیر ایام نحر سے پہلے موجب نہیں ہے اور اگر ایام نحر کے اندر ہو تو موجب ہے۔</p><p>اب دریافت طلب امر یہ ہے کہ واضح فرمائے کہ مسئلہ کی اصل صورت کیا ہے، آیا اس مسئلے میں فقہاء کی دو رائے ہے یا کچھ اور؟</p><p>Fatwa : 171-150/SN=02/1437</p><p>آپ کی بات صحیح ہے کہ یہ مسئلہ عربی اُردو کی اکثر کتب فقہ و فتاوی میں مطلقاً لکھا گیا ہے، جس کا متبادر مفہوم یہی ہے کہ اگر کسی غیر صاحب نصاب نے قربانی کی نیت سے جانور خرید لیا تو اس کی قربانی اس پر بہرحال واجب ہے خواہ ایام اضحیہ سے پہلے خریدا ہو یا ایام اضحیہ میں، عربی کتب فقہ میں سے صرف ”تاتارخانیہ“ میں ایام اضحیہ کی قید ملتی ہے، اسے علامہ شامی رحمہ اللہ نے بھی نقل کرکے تردد کا اظہار فرمایا؛ لیکن دوسری طرف اکابر ارباب افتاء میں سے حضرت مفتی عزیز الرحمن صاحب عثمانی رحمہ اللہ نے فتاوی دارالعلوم دیوبند میں دو مقامات (15/500، سوال: 43، 15/520, سوال: 90) پر ایام اضحیہ کی قید کے ساتھ یہ مسئلہ ذکر کیا ہے، نیز عزیز الفتاوی (ص: 720، سوال: 307) میں بھی ایک جواب اس قید کے ساتھ مذکور ہے اور عزیز الفتاوی کے مرتب حضرت مولانا مفتی محمد شفیع صاحب رحمہ اللہ نے اس پر کوئی حاشیہ یا استدراک بھی تحریر نہیں فرمایا، اسی طرح فتاوی محمودیہ (17/315، سوال: 8385، ط: ڈابھیل) میں بھی یہ مسئلہ ایام اضحیہ کے ساتھ مقید کرکے لکھا گیا؛ ان اکابر کے فتاوی سے معلوم ہوتا ہے کہ ان حضرات نے ”تاتارخانیہ“ کی عبارت ہی کو ترجیح دی ہے اور دیگر مطلق عبارات کو اس پر محمول کیا ہے اور دارالافتاء دارالعلوم دیوبند سے بھی فتاوی دارالعلوم، عزیز الفتاوی اور فتاوی محمودیہ کے مطابق ہی فتوی دیا جاتا ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",605845,deoband,عبادات,ذبیحہ وقربانی
07-Aug-2021,https://darulifta-deoband.com/home/ur/qurbani-slaughtering/605840,ایام اضحیہ سے قبل قربانی کی نیت سے جانور خرید نے سے قربانی واجب ہوتی ہے یا نہیں؟,کیا فرماتے ہیں مفتیان کرام اس مسئلہ کے بارے میں کہ اگر کوئی شخص ماہ محرم میں قربانی کی نیت سے قربانی کا جانور خرید لے تو کیا اس پر قربانی واجب ہو جاتی ہے نیز مالدار اور غریب کا حکم یکساں ہے یا کچھ الگ ہے اگر الگ ہو تو اس کی طرف بھی رہنمائی فرمائیں۔ نیز یہ بھی بتائیں کہ مذکورہ بالا صورت میں قربانی کے جانور کا دودھ اور گوبر خود استعمال کرسکتے ہیں یا صدقہ کرنا ضروری ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 1026-344T/SN=12/1442</p><p>&nbsp;(۱) صورت مسئولہ میں مالدار پر تو بالاتفاق قربانی واجب نہیں ہوتی، رہا غریب تو راجح قول کے مطابق اس پر بھی واجب نہیں ہوتی، غریب کے حق میں وجوب کا تعلق ایام اضحیہ سے ہے، پہلے سے نہیں۔ اس سلسلے میں دارالافتاء دارالعلوم دیوبند سے جاری شدہ ایک فتوی ارسال ہے، اسے ملاحظہ فرمالیں۔</p><p>(۲) خود استعمال نہیں کرسکتے، تصدق ضروری ہے؛ البتہ اگر جانور کو چارہ وغیرہ خرید کر کھلانا پڑتا ہوتو اس کے بدلے میں دودھ وغیرہ خود بھی استعمال کرسکتے ہیں۔ فإن کان یَعْلفہا فما اکتسب من لبنہا أو انتفع من روثہا فہو لہ، ولا یتصدق بشيءٍ، کذا فی محیط السرخي الخ (ہندیة: 5/301، مطبوعة: زکریا، دیوبند)۔</p><p>------------------------</p><p>کیا فرماتے ہیں مفتیان کرام درج ذیل مسئلہ کے بارے میں:</p><p>شراء الفقیر بنیة التضحیة موجب قربانی ہے، فقہ حنفی کی معتبر کتابوں میں مثلاً بدائع الصنائع (4/202)، عالمگیری (5/294)، البحر الرائق (8/175)، النہر الفائق، المحیط البرہانی (6/472) اسی طرح اُردو کتابوں میں مثلاً بہشتی زیور (3/129) احسن الفتاوی وغیرہ میں یہ مسئلہ مطلقاً بیان کیا گیا ہے (یعنی اس میں قبل ایام النحر یا فی ایام النحر کی قید نہیں ہے) صرف تاتارخانیہ میں اس قید کو (فی ایام النحر) ذکر کیا گیا ہے اور وہاں سے صاف ردالمحتار (9/465) نے اس قید کو نقل کیا لیکن انہوں نے اخیر میں فرمایا: ولم أرہ صریحا فلیراجع (فیہ مالا یخفی) اور صاحب احسن الفتاوی نے تاتارخانیہ کی عبارت میں چند مناسب تاویلیں کرکے فرمایا کہ بشراء الفقیر مطلقاً واجب ہے خواہ ایام نحر سے پہلے ہو یا ایام نحر کے اندر (احسن الفتاوی: 7/529) نیز جب نذر حقیقی مطلقاً موجب ہے تو شراء الفقیر جو کہ نذر معنوی ہے یہ بھی مطلقاً موجب ہو لیکن فتاوی دارالعلوم (15/520) اور اسی کے حوالہ سے فتاوی رحیمیہ میں نقل کیا گیا ہے شراء الفقیر ایام نحر سے پہلے موجب نہیں ہے اور اگر ایام نحر کے اندر ہو تو موجب ہے۔</p><p>اب دریافت طلب امر یہ ہے کہ واضح فرمائے کہ مسئلہ کی اصل صورت کیا ہے، آیا اس مسئلے میں فقہاء کی دو رائے ہے یا کچھ اور؟</p><p>Fatwa : 171-150/SN=02/1437</p><p>آپ کی بات صحیح ہے کہ یہ مسئلہ عربی اُردو کی اکثر کتب فقہ و فتاوی میں مطلقاً لکھا گیا ہے، جس کا متبادر مفہوم یہی ہے کہ اگر کسی غیر صاحب نصاب نے قربانی کی نیت سے جانور خرید لیا تو اس کی قربانی اس پر بہرحال واجب ہے خواہ ایام اضحیہ سے پہلے خریدا ہو یا ایام اضحیہ میں، عربی کتب فقہ میں سے صرف ”تاتارخانیہ“ میں ایام اضحیہ کی قید ملتی ہے، اسے علامہ شامی رحمہ اللہ نے بھی نقل کرکے تردد کا اظہار فرمایا؛ لیکن دوسری طرف اکابر ارباب افتاء میں سے حضرت مفتی عزیز الرحمن صاحب عثمانی رحمہ اللہ نے فتاوی دارالعلوم دیوبند میں دو مقامات (15/500، سوال: 43، 15/520, سوال: 90) پر ایام اضحیہ کی قید کے ساتھ یہ مسئلہ ذکر کیا ہے، نیز عزیز الفتاوی (ص: 720، سوال: 307) میں بھی ایک جواب اس قید کے ساتھ مذکور ہے اور عزیز الفتاوی کے مرتب حضرت مولانا مفتی محمد شفیع صاحب رحمہ اللہ نے اس پر کوئی حاشیہ یا استدراک بھی تحریر نہیں فرمایا، اسی طرح فتاوی محمودیہ (17/315، سوال: 8385، ط: ڈابھیل) میں بھی یہ مسئلہ ایام اضحیہ کے ساتھ مقید کرکے لکھا گیا؛ ان اکابر کے فتاوی سے معلوم ہوتا ہے کہ ان حضرات نے ”تاتارخانیہ“ کی عبارت ہی کو ترجیح دی ہے اور دیگر مطلق عبارات کو اس پر محمول کیا ہے اور دارالافتاء دارالعلوم دیوبند سے بھی فتاوی دارالعلوم، عزیز الفتاوی اور فتاوی محمودیہ کے مطابق ہی فتوی دیا جاتا ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",605840,deoband,عبادات,ذبیحہ وقربانی
24-Sep-2021,https://darulifta-deoband.com/home/ur/qurbani-slaughtering/605793,بے سینگ کے جانور کی قربانی / صدقہ کا حکم ؟,قربانی کے بڑے جانوروں کی خوبصورتی اور مہنگے فروخت کرنے کے لئے ان کے سینگ جڑ سے اکھاڑ دئیے جاتے ہیں۔کبھی زخم بھرتے بھی نہیں ۔ہر صورت حال میں کیا ایسے جانوروں کی قربانی کرنا جائز ہے؟ مزید یہ کہ جو قربانی اور عقیقے کے لئے جانور کی عمر وغیرہ کی شرائط ہے ان کا اطلاق صدقے کے جانور پر بھی ہوگا؟اس کے بغیر صدقہ نہیں ہوگا؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:1276-964/B=2/1443</p><p>&nbsp;(۱) اگر سینگ جڑ سے اکھاڑنے کی صورت میں زخم دماغ تک پہنچتا ہے تو ایسے جانور کی قربانی درست نہیں ہوگی۔</p><p>(۲) عام نفلی صدقہ کسی بھی عمر کے جانور کا کیا جاسکتا ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",605793,deoband,عبادات,ذبیحہ وقربانی
16-Aug-2021,https://darulifta-deoband.com/home/ur/qurbani-slaughtering/605788,حرام ذبیحہ کا گوشت پاک ہے یا ناپاک,"سوال : کیا فرماتے ہیں مفتیانِ کرام مسألة ذیل کے بارے میں؛
(۱)اگر کسی حلال جانور کو غیر شرعی طور پر(جھٹکے سے)ذبح کیا گیا تو اسکا گوشت ناپاک ہوگا یا نہیں؟
(۲)اور اگر اس گوشت کو برتن میں پکا لیا گیا پھر اسی برتن میں گوشت کے بعد دوسری سبزی بنا لی گئی تو وہ سبزی ناپاک ہو گئی یا نہیں؟","<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 1281-867/B=01/1443</p><p>&nbsp;اگر کسی حلال جانور کو غیرشرعی طریقہ پر (جھٹکے سے) ذبح کیا گیا تو وہ جانور پاک نہ ہوگا، نہ ہی حلال ہوگا؛ بلکہ اس کا گوشت حرام اور ناپاک ہوگا۔ ایسا گوشت اگر کسی برتن میں پکایا گیا تو وہ برتن بھی ناپاک ہوجائے گا۔ اور اسے دھوئے بغیر اگر دوسری چیز پکائی جائے گی تو وہ برتن اور اس میں پکائی گئی دوسری سبزی ناپاک ہوجائے گی۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",605788,deoband,عبادات,ذبیحہ وقربانی
07-Aug-2021,https://darulifta-deoband.com/home/ur/qurbani-slaughtering/605774,جانور كی کتنی بینائی چلی جانے سے قربانی درست نہیں ہوتی؟,سوال نمبر 1 ۔ اگرقربانی کے جانور کی ایک آنکھ سے کم نظر آتا ہو تو کیا یہ عیب ہے نیز بتایں کی کتنی بینائی چلے جانے سے قربانی درست نہیں ہوتی ؟ مع دلائل وضاحت فرمادیں۔ سائل نظام الدین مظاہری,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 1179-829/D=12/1442</p><p>&nbsp;اگر آنکھ کی روشنی ایک تہائی یا اس سے کم چلی گئی تو اس کی قربانی جائز ہے۔ اور اگر ایک تہائی یا اس سے زیادہ چلی گئی تو اس کی قربانی جائز نہیں ہے۔</p><p>قال فی الدر: ومقطوع أکثر العین أي التي ذہب أکثر نور عینہا فأطلق القطع علی الذہاب مجازاً۔ قال الشامی والصحیح انہ الثلث وما دونہ قلیل وما زاد علیہ کثیر وعلیہ الفتوی (ج: 9/468)</p><p>وفی الہدایة معرفة المقدار فی غیر العین متیسرة وفی العین قالوا: تُشَدّ المعیبة بعد أن لا تعتلف الشاة یوماً أو یومین ثم یقرب العلف الیہا قلیلا قلیلا فإذا رأتہ من موضع أعلم علیہ ثم تُشد الصحیحة وقرب علیہ العلف کذالک فإذا رأتہ من مکان أعلم علیہ ثم ینظر إلی تفاوت ما بینہما فإن کان ثلثاً فالذاہب ہو الثلث وإن نصفا فالنصف الخ (الدر مع الرد: 9/469)۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",605774,deoband,عبادات,ذبیحہ وقربانی
07-Aug-2021,https://darulifta-deoband.com/home/ur/qurbani-slaughtering/605772,سینگ ٹوٹے جانور كی قربانی درست ہے یا نہیں؟,"سوال۔1.نذر یا منت کی قربانی سے پہلے کیا واجب قربانی کی جاسکتی ہے یا نہیں؟
سوال۔2۔اگر قربانی مشترک ہو تو کیا ہر ایک کی اجازت یا ہر ایک کی موجودگی ضروری ہے؟
سوال۔3۔اگر قربانی کے جانور کی ایک سنگ یا دو سنگ ٹوٹ جائے تو ایسے جانور کی قربانی کرسکتے ہیں یا نہیں؟
نوٹ۔۔تمام سوالوں کا جواب مع دلائل عنایت فرمائیں عین نوزش ہوگی۔","<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 1178-828/D=12/1442</p><p>&nbsp;(۱) واجب قربانی پہلے کرسکتے ہیں۔</p><p>(۲) مشترک قربانی میں سب شراء کا قربانی کے وقت موجود ہونا ضروری نہیں؛ البتہ بہتر ہے لیکن قربانی کے وقت موجود نہ ہونے کی صورت میں ان کی طرف سے قربانی کرنے کی اجازت ہونا ضروری ہے۔ سینگ ٹوٹنے کا اثر اگر دماغ تک نہیں پہنچا تو اس کی قربانی درست ہے یعنی سرکے اوپری حصہ تک ٹوٹا ہے یا صرف خول اترا ہے۔</p><p>اور اگر سینگ ٹوٹنے کا اثر دماغ تک پہنچ گیا یعنی دماغ کی ہڈی میں سوراخ ہوگیا تو پھر اس کی قربانی درست نہیں۔</p><p>ویضحي بالجماء ہی التی لا قرن لہا خلقة وکذا العظماء الذی ذہب بعض قرنہا بالکسر أو لغیرہ فإن بلغ الکسر إلی المخ لم یجز (شامی: 9/467)۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",605772,deoband,عبادات,ذبیحہ وقربانی
07-Aug-2021,https://darulifta-deoband.com/home/ur/qurbani-slaughtering/605766,غریب آدمی نے قربانی کا دوسرا جانور خریدلیا، پھر پہلا گمشدہ مل گیا، تو قربانی ایك كی ضروری ہے یا دونوں كی؟,"فتاویٰ محمودیہ میں ایک مسئلہ اس طرح ہے جسکا عنوان یہ ہے""قربانی کا دوسرا جانور خریدنے پر پہلا گمشدہ مل گیا"" اس کے جواب میں فرمایا کہ. اگر وہ غریب ہے تو اس پر دونوں کی قربانی واجب ہوگی، ہاں اگر اسنے دوسرا جانور خریدتے وقت یہ نیت کی ہے کہ پہلا جانور جوگم ہوا ہے اس جگہ پر خریدتا ہوں، تو اس پر ایک ہی کی قربانی واجب ہوگی-فقط واللہ اعلم"" اس میں جو یہ لکھا ہے کہ اگر یہ نیت ہو کہ پہلے گمشدہ جانور کی جگہ خریدے ا ہوں تو اس پر ایک ہی کی قربانی واجب ہوگی.یہ بات درست ہے؟ اگر غریب جس کا جابور گم ہوجائے اور وہ اس کی جگہ نیت کرکے دوسرا خریدے اور پھر پہلا بھی مل جائے تو ایک کی قربانی کافی ہوجائے گی؟","<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 1175-825/D=12/1442</p><p>&nbsp;جی ہاں، یہ مسئلہ درست ہے کہ اگر پہلے گمشدہ جانور کی جگہ خریدنے کی نیت ہو تو غریب پر بھی ایک ہی کی قربانی واجب ہوگی، دونوں جانوروں کی نہیں، جیسا کہ حضرت نے اس سلسلے میں سکب الأنہر کی صریح عبارت کا حوالہ بھی دیا ہے۔ وإن سرقت أو ضلت فشری أخری، ثم وجدہا في أیام النحر، ذبح إحداہما لو غنیاً، وکلاہما لو فقیراً، إلا إذا نواہا عن الأولی لعدم تعدد الالتزام بالشراء حینئذ۔ (مجمع الأنہر مع سکب الأنہر: 4/172، ط: مکتبة فقیہ الأمة)۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",605766,deoband,عبادات,ذبیحہ وقربانی
07-Aug-2021,https://darulifta-deoband.com/home/ur/qurbani-slaughtering/605757,اگر غریب ایام قربانی سے پہلے جانور خریدلے پھر اسے بیچ دے تو كیا یہ درست ہے؟,"فتاویٰ محمودیہ جلد17 صف 315 ط اشرفی دیوبند میں ایک مسئلہ درج ہے """" جو شخص غریب ہے کیا صرف جانور خریدنے سے اس کے ذمے قربانی واجب ہوجاتی ہے؟ الجواب :اگر وہ قربانی کے دنوں میں قربانی کی نیت سے جانور خریدے گا تب اس کے ذمے قربانی واجب ہوگی-فقط واللہ اعلم. تو کیا اس مسئلے کی رو سے اگر کوئی غریب 10 ذی الحجہ سے پہلے کوئی جانور خریدے اور پھر کسی مجبوری سے بیچ دے تو یہ درست ہوگا ہا نہیں؟؟ کیا محض خریدنے سے قربانی کا وجوب ہوجائے گا یا نہیں؟ یا ایام قربانی میں خریدنے سے وجوب ہوگا؟","<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 1176-826/D=12/1442</p><p>&nbsp;قربانی کا جانور خریدنے سے، غریب شخص پر قربانی کا وجوب اس وقت ہوتا ہے جب وہ ایام اضحیہ یعنی قربانی کے دنوں میں جانور خریدے، لہٰذا اگر وہ ایام اضحیہ سے پہلے جانور خریدے اور زبان سے قربانی کی نذر نہ مانے، تو اس پر قربانی کا وجوب نہیں ہوگا اور اس جانور کا بیچنا بھی اس کے لئے درست ہوگا۔ (فتاوی دارالعلوم دیوبند: 15/500، سوال: 43، 15/520، سوال: 90؛ فتاوی محمودیہ: 17/315، سوال: 8385، تحقیق جدید؛ فتاوی رحیمیہ: 5/398-399، سوال: 2408، مکتبہ الاحسان؛ فتاوی دارالعلوم زکریا: 6/320، ط: اشرفیہ)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",605757,deoband,عبادات,ذبیحہ وقربانی
07-Aug-2021,https://darulifta-deoband.com/home/ur/qurbani-slaughtering/605729,كسی مالدار كی طرف سے دئے ہوے جانور میں غریب كا اپنی رقم شامل كرنا؟,ایک شخص ہے جو اپنی طرف سے اور صحابہ کی طرف سے قربانی کرتا ہے لیکن اس جانور کا گوشت خود نہیں کھاتا ہے بلکہ جانور غریبوں میں تقسیم کر دیتا ہے اور وہ جانور(گائے) دو سال کی تو ہوتی ہے لیکن دکھنے میں زیادہ موٹی اور تازی نہیں ہوتی ہے اسلئے غریب شخص، صاحب مال سے گائے کی قیمت لیکر اس میں خود کچھ رقم کا اضافہ کر کے گائے خریدنا چاھتا ہے تو کیا اس طرح کرنے سے صاحب قربانی کی طرف قربانی درست ہوگی۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 1177-827/D=12/1442</p><p>&nbsp;آپ کا سوال واضح نہیں ہے، اس لئے جس صورت کے بارے میں سوال کرنا چاہتے ہیں اس کو بوضاحت ذکر کریں۔ اور جب مالدار شخص گوشت غرباء میں تقسیم کر رہا ہے تو غریب اس سے زیادہ قیمت کا جانور کیوں لینا چاہتا ہے؟ اور اپنی طرف سے پیسہ کس حیثیت سے ملانا چاہتا ہے؟</p><p>امیر جو قربانی کر رہا ہے جب جانور دوسال کا ہے تو ا س کی قربانی درست ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",605729,deoband,عبادات,ذبیحہ وقربانی
