issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/nikah-marriage/37942,مس بالشهوة,ایک آدمی نے ایک عورت سے ہاتھ ملایا ہو اور اسکے دل میں خواہش اس عورت کو گلے لگانے اور بوسہ دینیکی خواہش رہی ہو۔ اس عورت کی بیٹی سے اس آدمی کا نکاح ہو سکتا ہے یا نہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 80-78/N=5/1433

اگر اس آدمی نے شہوت کے ساتھ بغیر کسی ایسے حائل کے عورت سے ہاتھ ملایا ہے جو ایک دوسرے کے ہاتھ کی حرارت دوسرے تک پہنچنے سے مانع ہو تو اس عورت کی بیٹی سے ہاتھ ملانے والے آدمی کا نکاح درست نہیں ”قال في الدر (مع الرد، کتاب النکاح فصل في المحرمات: ۴/۱۰۷، ۱۰۸) وحرم أیضًا بالصہریة․․․ أصل ممسوستہ بشہوة ․․․ بحائل لا یمنع الحرارة ․․․ وفروعہن مطلقا إھ“

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",37942,deoband,معاشرت,نکاح
01-Sep-2020,https://darulifta-deoband.com/home/ur/nikah-marriage/37834,کیا اس آدمی کا اپنی بیوی ساتھ نکاح ٹوٹ گیا کہ نہیں؟,میرا سوال یہ ہے کہ ایک آدمی نے مجھ سے کہا کہ تم میری بیوی کے ساتھ اگر زنا کرنا چاہو تو کر سکتے ہو اور میں نے اس کی بیوی کے ساتھ کافی دفع غلط کام کیا۔اس کی بیوی کو بھی سب معلوم تھا ، وہ مجھ سے پیار کرنے لگی۔ ایک بچے کی پیدائش کے بعد بھی میں نے اس سے ۲ دفع زنا کیا۔ اب میں نے اللہ سے سچے دل سے رو رو کر توبہ کر لی ہے، کیا اللہ مجھ معاف کر دے گا؟ اور کیا اس آدمی کا اپنی بیوی ساتھ نکاح ٹوٹ گیا کہ نہیں؟ جلدی جواب دیں۔ میں بہت پریشان ہوں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 556-470/B=5/1433

زنا بہت بڑا گناہ کبیرہ ہے، قرآن پاک سے اس کی حرمت ثابت ہے، اکر کوئی شوہر اپنی بیوی کے ساتھ زنا کرنے کی اجازت دے تو اس سے زنا کرنا جائز نہیں ہوکا۔ آپ نے دوسرے کی بیوی کے ساتھ زنا کرکے عظیم جرم کیا ہے، اور اب آپ نے سچے دل سے توبہ کرلی ہے تو یہ اچھا کیا، برابر صدق دل سے توبہ کرتے رہیں، امید ہے کہ اللہ تعالیٰ اس جرم عظیم کو معاف کردے گا۔ آپ کے اس فعل سے اُس آدمی کا نکاح اپنی بیوی کے ساتھ نہیں ٹوٹا بلکہ ان دونوں کا نکاح پہلے کی طرح اب بھی باقی ہے۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",37834,deoband,معاشرت,نکاح
01-Sep-2020,https://darulifta-deoband.com/home/ur/nikah-marriage/37775,ماہ کی عمرمیں غلطی سے اپنی خالہ کے دودھ کے ۲ یا ۳ قطرے پی لیا,ایک شخص نے چھ ماہ کی عمرمیں غلطی سے اپنی خالہ کے دودھ کے ۲ یا ۳ قطرے پی لیا۔ کیا وہ اس کی والدہ ہو گئیں؟ فتویٰ دیجئے۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 480-399/B=5/1433

جی ہاں صورت مذکورہ میں وہ خالہ اس کی رضاعی ماں ہوگئی۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",37775,deoband,معاشرت,نکاح
01-Sep-2020,https://darulifta-deoband.com/home/ur/nikah-marriage/37773,عقیقہ کے گوشت کا اصل مصرف کہاں ہے؟ کسی کی شادی میں گوشت کا استعمال کرسکتے ہیں ؟حدیث کی روشنی میں جواب تحریر فرمائیں۔,عقیقہ کے گوشت کا اصل مصرف کہاں ہے؟ کسی کی شادی میں گوشت کا استعمال کرسکتے ہیں ؟حدیث کی روشنی میں جواب تحریر فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 481-400/B=5/1433

عقیقہ کے گوشت کا وہی حکم ہے جو قربانی کے گوشت کا حکم ہے یعنی اس کے تین حصے کیے جائیں ایک حصہ غریبوں محتاجوں میں تقسیم کردیا جائے۔ دوسرا حصہ اپنے اعزہ اوقرباء اور دوست واحباب میں تقسیم کردیا جائے اور تیسرا حصہ اپنے کھانے کے لیے رکھ لیا جائے، دوسروں کی شادی میں عقیقہ کا گوشت استعمال کرنے کی ضرورت نہیں، گو فی نفسہ یہ جائز ہے۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",37773,deoband,معاشرت,نکاح
31-Aug-2020,https://darulifta-deoband.com/home/ur/nikah-marriage/37764,بیوی بد كردار ہو تو,میرا سوال ہے کہ ایک صاحب نے شادی کی اور ان کی بیوی بد کردار تھی جس کا ان صاحب کو پتہ تھا کہ خاتون بری عورت ہے اور اب بھی ہر ہفتہ خاوند اور غیر مردوں کے پاس جاتی ہے جس کا ان صاحب کو پتہ ہے۔ کافی لوگوں نے طلاق ہی کا کہا لیکن یہ حضرت کہتے ہیں کہ یہ بدکردار نہیں اور پردہ ڈالتے ہیں کیوں کہ یہ ۷۳/ سال کے ہیں اور خاتون ۲۶/ سال کی او رحضرت نے ان سے نکاح کے وقت بنگلہ کا وعدہ کیا تھالیکن اب نہیں دے رہے۔ ذرا رہنمائی فرمائیں ۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 626-626/M=4/1433

اس بارے میں ہم سے کیا راہنمائی چاہتے ہیں،اس کے متعلق کوئی سوال ہی قائم نہیں کیا؟ جب حضرت کے نزدیک اس کی بیوی بدکردار نہیں ہے تو آپ لوگوں کو اس عورت کے بدکردار ہونے پر کیا ثبوت ہیں؟ نکاح کے وقت بنگلہ دینے کا وعدہ اگر مہر کے طور پر تھا تو وہ معجل تھا یا موٴجل؟ اور نہ دینے کا مطلب انکار ہے یا ٹال مٹول ہے؟ صاحب معاملہ خود ان چیزوں کی وضاحت فرماکر سوال کرلے۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",37764,deoband,معاشرت,نکاح
27-Aug-2020,https://darulifta-deoband.com/home/ur/nikah-marriage/37754,ہل یجوز للرّجل أن ینکح امرء ة ترید الإسلام فی السنة القابل ؟,ہل یجوز للرّجل أن ینکح امرء ة ترید الإسلام فی السنة القابل ؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 473-418/B=4/1433

في مذہب الإسلام ینکح الموٴمن موٴمنة وتنکح الموٴمنة موٴمنا، ولا یجوز أن ینکح الموٴمن کافرة، ولا أن تنکح الموٴمنة کافرا، والمرأة التي لم تسلم حتی الآن بل ترید الإسلام في السنة القابلة فہي کافرة لا یجوز لموٴمن أن ینکح تلک المرأة، بل یجوز النکاح بعد ما أسلمت صحیحة کاملة․

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",37754,deoband,معاشرت,نکاح
30-Aug-2020,https://darulifta-deoband.com/home/ur/nikah-marriage/37728,رشتہ آپ دونوں کے والدین کی پسند سے طے ہوا ہے تو اس سے شادی کرسکتے ہیں، جائز اور درست ہے۔,میں انجینئرنگ کے تیسرے سال کا طالب علم ہوں۔ میرے والدین نے میری شادی میری کزن(رشتہ میں بہن )کے ساتھ طے کردی ہے۔ مجھے ا س بارے میں کوئی جانکاری نہیں تھی مگر حالات سے معلوم ہوگیا کہ میری شادی کی بات چل رہی ہے اور والدہ کے ذریعہ اپنے موبائل میں کچھ ریکارڈ کیااور پھر اس لڑکی سے رابطہ کیا ایس ایم ایس سے چونکہ میرے پاس ا س کا نمبر تھا ۔ میں نے یہ نمبر لیا تھا اسے یہ بتانے کے لئے کہ دسویں کے بعد اعلی تعلیم حاصل کرنا اسلام میں درست نہیں ہے۔ اب وہ گیارہویں درجہ میں ہے اور اس کے والدین نے اس کا رشتہ طے کردیاہے۔ میں نے اس سے پوچھا کہ کیا تمہیں یہ رشتہ پسند ہے؟ اس نے کہا کہ نہیں۔ جب میں نے اس سے پوچھا کہ کیوں ؟ تو اس نے یہ وجہ بتائی کہ میں آپ کو بڑا بھائی مانتی ہوں۔ میں نے اس سے کہا کہ میں نے یہ رشتہ طے نہیں کیا ہے بلکہ ہم دونوں کے والدین نے کیا ہے۔ میرے کہنے پر کہ کیا میں یہ رشتہ ختم کردوں جو ان شاء اللہ دو تین سال کے بعد ہوگا؟تو اس نے کہا کہ ہاں۔پھر میر ے سوال پر کہ دو سال کے بعد جب تمہارے والدین تم سے اس رشتہ کے بارے میں پوچھیں گے تو کیا کہوگی تو اس نے کہا کہ میں اگر وہ راضی ہیں تو میں کچھ نہیں کہوں گی مطلب قبول ہے۔اس نے بھی مجھ سے یہی سوال کیا تو میں نے جواب دیا کہ مجھے یہ رشتہ پسند ہے اور میں نے ہر دعا میں اللہ سے نیک بیوی مانگی ہے۔ نیک عورت ہو اور اللہ سے اسے نیک بنانے دعا مانگی ہے۔ مگر اس نے کہا کہ یہ رشتہ ختم کردو ۔ جب میں نے اس سے کہا کہ یہ رشتہ ختم کرنے پر تمہارے والدین کو تکلیف ہوگی اور میں اس کے دادا دادی کے بارے میں نہیں بتاسکتاکہ ان پر کیا گذرے گا جب ان کو اس بارے میں علم ہوگا، کیوں کہ وہ اس رشتہ سے بہت خوش ہیں۔ پھر اس نے کہا کہ ختم مت کرو۔ الحمد للہ ، میں اسلام پر عمل پیرا ہوں، سنتی لباس پہنتاہوں ، جماعت میں جاتاہوں مگر میں یہ نہیں کہتا کہ میں نیک ہوں۔ جب میں کسی غیر محرم کو دیکھتاہوں تو نظر جھکا لیتاہوں، چھ مہینے پہلے میں نے اسے دیکھا ہے۔ اس کے گھر جاتے وقت جب بھی اتفاقاًوہ سامنے ہوتی ہے تو میں نظر جھکا لیتاہوں۔مجھے یہ رشتہ پسند ہے۔ اب میں یہ جاننا چاہتاہوں کہ کیا میں اس سے شادی کرسکتاہوں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""rtl"" style=""text-align: justify;"">
	فتوی: 698-698/M=5/1433</p><p dir=""rtl"" style=""text-align: justify;"">
	صورت مسئولہ میں جب آپ کی کزن نے رشتہ برقرار رکھنے پر آمادگی ظاہر کردی اور آپ کو بھی رشتہ پسند ہے، مزید یہ کہ رشتہ آپ دونوں کے والدین کی پسند سے طے ہوا ہے تو اس سے شادی کرسکتے ہیں، جائز اور درست ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",37728,deoband,معاشرت,نکاح
01-Sep-2020,https://darulifta-deoband.com/home/ur/nikah-marriage/37645,انٹر نیت پر کئے ہوے نکاح کا حکم,آپ سے آن لائن انٹر نیت پر نکاح کرنے کے بارے میں پوچھا تھا اپ نے جواب دیا کہ جائز نہیں ہے، تو اب عرض یہ ہے کہ جن لوگوں کے نکاح انٹر نیت پر ہو چکے ہیں ان کے نکاح کا کیا حکم ہے ؟ کیا وہ دوبارہ نکاح کریں ؟ اگر انٹر نیت پر نکاح نہیں ہوا تھا تو اس اولاد کا کیا حکم ہو گا ؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 652-350/L=4/1433

انٹرنیٹ پر کیا ہوا نکاح شرعاً درست نہیں تھا؛ اس لیے ان لوگوں کو چاہیے کہ گواہوں کی موجودگی میں شرعی طریقے پر دوبارہ نکاح کریں اور جو وطی ہوئی وہ چوں کہ وطی بالشبہہ ہے؛ اس لیے اس کے نتیجے میں جو اولاد پیدا ہوئی وہ ثابت النسب ہوگی․․․․ فإنہ وطئ بشبہة فیثبت بہ النسب (الرد: ۵/۲۵۲، ط: زکریا، فصل في ثبوت النسب)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",37645,deoband,معاشرت,نکاح
01-Sep-2020,https://darulifta-deoband.com/home/ur/nikah-marriage/37636,مہر معجل اور مؤجل,پاکستان میں جو نکاح فارم استعمال ہوتاہے اس میں حق مہر کی دو قسم لکھی جاتی ہے، ایک معجل اور دوسری غیرمعجل ۔ شرع محمدی میں حق مہر اداکرنے کے سلسلے میں کیا حکم ہے؟ آیا بیوی معاف کرسکتی ہے یا اس کا ادا کرنا ضروری ہے؟اور غیر معجل کے بارے میں کیا حکم ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 52-43/N=4/1433

(۱) مہر عورت کا حق ہے، اس کی ادائیگی واجب ہے، اگر عورت، شوہر کی طرف سے کسی قسم کے دباوٴ اور اصرار کے بغیر اپنی مرضی وخوش دلی سے معاف کردے تو معاف بھی ہوجاتا ہے، عام طور پر عورتیں مہر اس لیے معاف کرتی ہیں کہ معاف نہ کرنے کی صورت میں شوہر تکلیف پہنچائے گا یا پوری محبت نہیں کرے گا وغیرہ، اس لیے بہتر یہ ہے کہ شوہر پورا مہر بیوی کے حوالے کردے، اس کے بعد بیوی اگر اپنی مرضی وخوش دلی سے مہر واپس کردے تو شوہر کے لیے اُسے قبول کرنے میں کوئی حرج نہیں۔
(۲) مہر معجل اور غیرمعجل دونوں ہی واجب الاداء ہیں، البتہ مہر معجل کی ادائیگی پر رخصتی کو موقوف کیا جاسکتا ہے اور اس کی ادائیگی جلد از جلد ہونی چاہیے، اور مہر غیرمعجل کی ادائیگی اس وقت واجب ہوتی ہے جب وہ وقت آجائے جو ادائیگی کے لیے مقرر کیا گیا۔ اور اگر ادائیگی کے لیے کوئی وقت مقرر نہیں کیا گیا تو طلاق یا انتقال پر اس کی ادائیگی واجب ہوتی ہے۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",37636,deoband,معاشرت,نکاح
01-Sep-2020,https://darulifta-deoband.com/home/ur/nikah-marriage/37619,رافضی کی نماز جنازہ میں شرکت,کسی اہل تشیع کی نماز جنازہ اگر پڑھی تو اسکے بارے میں کیا حکم ہے ؟ ایک مفتی نے کہا ہے کہ نکاح ٹوٹ جاتا ہے اور ایک نے کہا ہے کہ توبہ استغفار کرلے۔ اس بارے میں آپ کا فتویٰ درکار ہے۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 570-282/L=4/1433

اہل تشیخ کی نماز پڑھنے والے کا نکاح اس کی بیوی سے نہیں ٹوٹتا دوسرے مفتی صاحب کی بات درست ہے۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",37619,deoband,معاشرت,نکاح
