issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/talaq-divorce/61970,اس قسم کی طلاق کا حکم,ایک آدمی نکاح سے پہلے اگرکسی کو بذریعہ میسج یہ پیغام لکہے کہ میں کبہی بہی تم سے نکاح کروں تم اسی وقت مجھ پہ تین دفعہ طلاق ہو اور یہ پیغام لکہنے کے بعد وہ سوچنے لگ جائے کہ بہیجوں یا نہیں اور اسکا دل ودماغ متفق ہو جائے کہ نہیں بہیجتا یہ میسج اور وہ کینسل کرنا چاہتا ہے اور کینسل اور بہیجنے والا بٹن اوپر نیچے اک ساتھ ملے ہوئے ہیں وہ کینسل والا بٹن دبانا چاہتا ہے مگرغلطی سے بھیجنے والے بٹن پہ ہاتہہ لگ جاتا ہے اور میسج چلا جاتا ہے بندہ کوشس کرتا ہے کہ نہ جائے پر چلا جاتا ہے لیکن جسکو بہیجاگیا اس سیپوچھا گیاتو اس نے کہا کہ اس نے جب میسج دیکہا تو پڑہنا شروع کیا( میں جب بہی تم سے نکاح) اتنا پڑہہ کے میں نے چہوڑ دیا اس سیآگے نہیں پڑھا ،نہ مجھے پتا کہ اس سے آگے کیا لکھا گیا تھااور میسج ڈیلیٹ کر دیا تو آیا اس صورت میں اب نکاح کے بعد طلاق ہو جائے گی یا نہیں آگاہ فرما دیں جزاک اللہ,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 38-38/H=1/1437-U

(۱) ”میں کبھی بھی تم سے نکاح کروں تم اسی وقت مجھ پہ تین دفعہ طلاق ہو“
(۲) ”بعد وہ سوچنے لگ جائے کہ بھیجوں یا نہیں“۔
(۳) جس کے پاس میسیج گیا اس نے پڑھنا شروع کیا تو اس میں لکھا تھا (میں جب بھی تم سے نکاح) اتنا پڑھ کر چھوڑدیا اس سلسلہ میں عرض ہے کہ نمبر ایک کے تحت جو جملہ استفتاء سے ہم نے نقل کیا ہے اس کا مضمون صاف وواضح نہیں ہے۔ نمبر (۲) کے تحت جملہ سے ثابت ہوتا ہے کہ اگر بھیجا جائے تو کیا حکم ہوگا اور نمبر (۳) سے معلوم ہوتا ہے کہ بھیج دیا پھر نمبر ایک اور نمبر تین میں میسیج کے جو الفاظ ہیں وہ بھی الگ الگ ہیں یہ سب سقم آپ کے استفتاء میں ہیں بہتر یہ ہے کہ جس کا معاملہ ہے اُسی سے کہدیں کہ وہ صاف صحیح واضح لکھ کر سوال کرے۔  
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",61970,deoband,معاشرت,طلاق و خلع
01-Sep-2020,https://darulifta-deoband.com/home/ur/talaq-divorce/61899,اگر کوئی مرد عورت کو کہے کہ اگر تم نے یہ کام نا کیا تو تم مجھ پر حرام ہوجبکہ اس کاابھی نکاح نہیں ھوا ھے لیکن بعد میں نکاح ھو گیا تو کیا اس سے طلاق ہو گی یا نہں؟؟,اگر کوئی مرد عورت کو کہے کہ اگر تم نے یہ کام نا کیا تو تم مجھ پر حرام ہوجبکہ اس کاابھی نکاح نہیں ھوا ھے لیکن بعد میں نکاح ھو گیا تو کیا اس سے طلاق ہو گی یا نہں؟؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1221-1199/H=12/1436-U

نکاح سے پہلے اگر یہ کہہ دیا کہ ”اگر تم نے یہ کام نہ کیا تو تم مجھ پر حرام ہو“ تو اس کی وجہ سے کسی قسم کی طلاق واقع نہ ہوئی نکاح سے پہلے طلاق واقع نہ ہونا تو بالکل ظاہر ہے بعد نکاح بھی طلاق واقع نہ ہوگی، البتہ اگر بعد نکاح بھی کہہ دیا ہو تو ایسی صورت میں سوال دوبارہ کریں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",61899,deoband,معاشرت,طلاق و خلع
01-Sep-2020,https://darulifta-deoband.com/home/ur/talaq-divorce/61841,ایک شخص جو دبئی میں سیکوریٹی ملازمت کرتاہے ، پاکستان میں اپنی بیوی کے موبائل نمبر پر مسیج بھیجتاہے جس میں تین بار یہ لکھتاہے کہ میں تمہیں طلاق دیتاہوں ،طلاق دیتاہوں، طلاق دیتاہوں، اور پھر کچھ دن بعد کہتاہے کہ مجھے تو پتا نہیں تھا کہ س طرح طلاق ہوسکتی ہے ، وہ شخص یہ بات حلفاً کہتاہے کہ میں اس وقت بالکل بھی ہوش و حواس میں نہیں تھا اور مجھے کچھ یاد نہیں اور نہ پتاکہ میں نے اس وقت مسیج میں کیا کچھ لکھ دیا۔ اس صورت میں طلاق ہونے یا نہ ہونے کا کیا حکم ہے؟,ایک شخص جو دبئی میں سیکوریٹی ملازمت کرتاہے ، پاکستان میں اپنی بیوی کے موبائل نمبر پر مسیج بھیجتاہے جس میں تین بار یہ لکھتاہے کہ میں تمہیں طلاق دیتاہوں ،طلاق دیتاہوں، طلاق دیتاہوں، اور پھر کچھ دن بعد کہتاہے کہ مجھے تو پتا نہیں تھا کہ س طرح طلاق ہوسکتی ہے ، وہ شخص یہ بات حلفاً کہتاہے کہ میں اس وقت بالکل بھی ہوش و حواس میں نہیں تھا اور مجھے کچھ یاد نہیں اور نہ پتاکہ میں نے اس وقت مسیج میں کیا کچھ لکھ دیا۔ اس صورت میں طلاق ہونے یا نہ ہونے کا کیا حکم ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1139-1137/N=1/1437-U

شخص مذکور کے کلام میں تضاد ہے ، ایک طرف وہ کہتا ہے کہ مجھے تو پتہ نہیں تھا کہ اس طرح طلاق ہوجاتی ہے۔ جس کا مطلب یہ ہے کہ اس نے اپنی بیوی کو طلاق کا میسیج ہوش وحواس میں بھیجا، جب کہ دوسری طرف وہ یہ کہتا ہے کہ میں اس وقت بالکل ہوش وحواس میں نہیں تھا، بظاہر ایسا معلوم ہوتا ہے کہ یہ شخص دوسری بات میں غلط بیانی سے کام لے رہا ہے ، پس اگر صورت حال یہی ہے تو سوال میں درج میسیج کی وجہ سے اس کی بیوی پر تین طلاقیں واقع ہوگئیں، وہ حرمت غلیظہ کے ساتھ اس پر حرام ہوگئی اور اب حلالہ شرعی سے پہلے کسی صورت میں دونوں کا آپس میں دوبارہ کا نکاح درست نہیں قال اللہ تعالی: فإن طلقھا فلا تحل لہ من بعد حتی تنکح زوجاغیرہ الآیة( سورہ بقرہ آیت: ۲۳۰)،وجاء عند أبي داود في سننہ في روایة عیاض بن عبد اللہ الفھري وغیرہ عن ابن شھاب عن سھل بن سعد قال: فطلقھا ثلاث تطلیقات عند رسول اللہ صلی اللہ علیہ وسلم، فأنفذہ رسول اللہ صلی اللہ علیہ وسلم،وکان ما صنع عند النبي صلی اللہ علیہ وسلم سنة(سنن أبي داود،کتاب الطلاق،باب فی اللعان ص۳۰۶،ط: المکتبة الأشرفیة، دیوبند)۔وقال في بدائع الصنائع(کتاب الطلاق۳: ۲۹۵ ط: مکتبة زکریا دیوبند):وأما الطلقات الثلاث فحکمھا الأصلي ھو زوال الملک وزوال حل المحلیة أیضاً حتی لا یجوز لہ نکاحھا قبل التزوج بزوج آخر لقولہ عز وجل ﴿ فإن طلقھا فلا تحل لہ من بعد حتی تنکح زوجاً غیرہ ﴾،وسواء طلقھا ثلاثا متفرقاً أو جملة واحدة الخ۔وقال الجصاص الرازي في أحکام القرآن (۲: ۸۵ط:دار إحیاء التراث العربي، بیروت، لبنان): …فالکتاب والسنة وإجماع السلف توجب إیقاع الثلاث معاً وإن کانت معصیة اھ، وجاء في مجلة البحوث الإسلامیة(المجلد الأول العدد الثالث سنة ۱۳۹۷الھجریة، حکم الطلاق الثلاث بلفظ واحد ص ۱۲۴- ۱۳۹):المسألة الثانیة فیما یترتب علی إیقاع الطلاق الثلاث بلفظ واحد؛ وفیہ مذاھب:المذھب الأول أنہ یقع ثلاثا وھو مذھب جمھور العلماء من الصحابة والتابعین ومن بعدھم، وقد استدلوا لذلک بأدلة من الکتاب والسنة والآثار والإجماع والقیاس … اھ،وقال فی الفتاوی الھندیة( کتاب الطلاق، باب فی الرجعة، فصل في ما تحل بہ المطلقة ومایتصل بہ۱: ۴۷۳، ط: مکتبة زکریا دیوبند):وإن کان الطلاق ثلاثاً فی الحرة…لم تحل لہ حتی تنکح زوجا غیرہ نکاحا صحیحا ویدخل بھا ثم یطلقھا أو یموت عنھا کذا فی الھدایة اھ، قال في رد المحتار (۴: ۴۵۶ ط مکتبة زکریا دیوبند) عن الھندیة: وإن کانت مرسومة یقع الطلاق نوی أو لم ینو الخ۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",61841,deoband,معاشرت,طلاق و خلع
01-Sep-2020,https://darulifta-deoband.com/home/ur/talaq-divorce/61830,بابت وقوع طلاق,ایک شادی شدہ عورت نے طلاق کے بغیر ایک مرد سے نکاح کرلیا.ایک عرصہ کے بعد جب شوھر کو معلوم ھوااور عورت نے طلاق کا مطالبہ کیا تو اس کے شوھر نے کہا کہ جب تم نے نکاح کر لیا ھے تو طلاق بھی ھو گئی ہے ۔تو شوھر کے اس جملہ سے کیاطلاق ھوگئی؟کیا اس کو اقرار طلاق مانا جاے گا؟ جس مرد سے عورت نے نکاح کر لیا تھا اس سے اولاد بھی ھوگئی ھے ، نیز شوھر عرصہ طویل سے غائب والا پتہ ھے ۔براہ کرم رہنمای فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1208-1200/H=12/1436-U

صورت مسئولہ میں یہ معاملہ دارالافتاء سے حل نہ ہوگا، محکمہٴ شرعیہ ممبئی میں اس کو مرافعہ کردیں وہاں سے تمام امور کی تحقیق شرعی کرکے جو فیصلہ نافذ کردیا جائے اس کے مطابق عمل کریں، محکمہٴ شرعیہ ممبئی کا پتہ معلوم کرنے کے لیے دفتر جمعیة علمائے ہند آئی ٹی یو بہادر شاہ ظفرمارگ نئی نئی دلی میں حضرت مولانا معز الدین صاحب سے معلومات کرلیں وہ ان شاء اللہ پوری رہنمائی فرمادیں گے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",61830,deoband,معاشرت,طلاق و خلع
01-Sep-2020,https://darulifta-deoband.com/home/ur/talaq-divorce/61666,امی لڑائی کے وقت مسلسل کہتی کہ مجھے طلاق دو,امی لڑائی کے وقت مسلسل کہتی کہ مجھے طلاق دو ، مجھے طلاق دو ، دیتے کیوں نہیں مجھے طلاق دو ، مجھے طلاق دو۔ 2014میں لڑائی جھگڑوں میں شدت آگئی اور چھ اگست 2015کو امی نے لڑتے وقت پھر کہا کہ ، دو مجھ طلاق، مجھے طلاق چاہئے، دو مجھے طلاق ، اس پر میرے ابو شدید غصے کی حالت میں یہ الفاظ یہ کہے:” دی تم کو طلاق، دی تم کو طلاق، دی تم کو طلاق۔ قارر حفیظ محمد داؤد نے تصدیق کی کہ میرے امی ابو پر کسی نے اثرات ، تعویذات وغیرہ کروائے ہیں جس کی وجہ سے میری امی ابو کے درمیان ہمیشہ لڑائی جھگڑے ہوتے تھے، اور طلاق بھی انہیں تعویذات ، اثرات کی وجہ سے ہوئی ہے، ہمارے پورے گھر پہ کسی نے تعویذات ، جادو کروایا ہے۔ میری شادی بھی پانچ مہینے کے بعد ٹوٹ گئی ، جادو تعویذ کی وجہ سے ۔ امی ابو دونوں پر تعویذات ، اثرات ، جادو کا اثر تھا، دونوں کا غصہ انتہا کا ہوتا تھا، امی نے جادو کے اثر کی وجہ سے طلاق مانگی اور ابو نے تعویذات ، اثرات ، جادو کے اثر کی وجہ سے طلاق دی، تعویذات ، اثرات ، جادو کے اثر سے دی گئی طلاق کے بارے میں فتوی دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1274-1270/H=12/1436-U

(۱) صورت مسئولہ میں تین طلاق واقع ہوگئیں۔
(۲) اول تو یہی شرعی اعتبار سے ثابت نہیں کہ طلاق جادو کے اثر سے دی ہے پھر یہ کہ اگر اثر تھا تو وہ کس درجہ میں تھا؟ نیز قاری حفیظ محمد داوٴد سے ہم واقف نہیں، معلوم نہیں کہ کن الفاظ میں کس طرح تصدیق کی ہے؟ اگر ایسا ہے تو آپ یہ معاملہ کوئٹہ کے مفتیان حضرات کے سامنے پیش کردیں، وہ حضرات آپ کے امی ابو کو بلاکر بیان لے لیں گے، نیز ضرورت سمجھیں گے تو قاری حفیظ محمد داوٴد صاحب کا بھی بیان لے لیں گے، اس کے بعد حکم شرعی بتلادیں گے، جو کچھ وہ حضرات بتلادیں اس کے مطابق عمل کرلیا جائے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",61666,deoband,معاشرت,طلاق و خلع
01-Sep-2020,https://darulifta-deoband.com/home/ur/talaq-divorce/61643,سؤال في الطلاق,أرجو من سماحتكم أن تجيبوا عليه بنوع من التفصيل مع بيان آراء الأئمة والفقهاء الراجحة. ====================================== لو تزوجت المطلقة ثلاثا؛ وفي نيتها أن تحلل نفسها لزوجها الأول فنشزت على الزوج الجديد وطلبت منه الطلاق فطلقها بعد الجماع ـــــــــــــــــــــــــ 1) فما الحكم؟ 2) هل تكون آثمة وإن كانت نيتها جمع شملها والندم على فراقها لزوجها الأول؟ الذي يمكن أن يكون قد وقع الطلاق بحالة غير متوازنة من الشجار والخلاف ؟ 3) كيف تكون آثمة وهي تريد أن تعود لأولادها لتربيهم ؟ 4) وهل للزوج الأول أن يتزوج منها من جديد؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 75-75/Sd=2/1437-U

لو تزوجت المطلقةُ ثلاثاً، و ھي تنوي أن تحلِّل نفسَہا لزوجہا الأول، ولا تقصدُ بالنکاح الثانی الا التحلیلَ للزوج الأول، من أجل ذلک نشزت علیہ، وطلبت منہ الطلاقَ، وما أدَّت حقوقَ الزّوج الثاني، فطَلَّقَہا بعدَ الجِماع، فہي تحلُّ للزوج الأول، و یجوز لہ النکاحُ معہا بعدَ مضيّ العدة؛ لکنہا تأثم؛ لأنہا تخدعُ الزوجَ الثاني، أما ما یقال من أن قصدہا بالنشوز علی الزوج الثاني ومطالبتہا منہ الطلاقَ تربیةُ أولادہا، فہو لا یُعتَبَرُ؛ لأنہا بعدَ الطلاق تستحقُّ الحضانةَ، و تربیةَ الأولاد للصّبي لسبع سنة و للصّبیة لتسع سنة فقط، و بعدَ ذلک لا تجبُ علیہا مراقبة الأولاد و حضانتہا۔ قال في الہندیة: واذا کان الطلاق ثلاثاً في الحرة و ثنتین في الأمة، لم تحل لہ حتی تنکح زوجاً غیرہ نکاحاً صحیحاً، و یدخل بہا، ثم یطلقہا، أو یموت عنہا۔ (الفتاوی الہندیة: ۱/ ۴۷۳، کتاب الطلاق، الباب السادس في الرجعة، فصل فیما تحل بہ المطلقة) وقال الحصکفي: والحاضنُ أماً أو غیرہ أحق بہ أي: بالغلام، حتی یستغني عن النساء، وقدر بسبع وبہ یفتی؛ لأنہ الغالب۔۔۔۔۔ والأم والجدة۔۔ أحق بھا، أي: الصغیرة حتی تحیض۔۔۔۔۔۔ وغیرہما أحق بھا حتی تشتھي و قدر بتسع، و بہ یفتی۔۔۔۔ الخ۔ (الدر المختار مع رد المحتار: ۵/ ۲۱۵۔۔ ۲۱۶، ط: دار احیاء التراث العربي، بیروت، وکذا في الفتاوی الہندیة: ۱/ ۴۵۲، کتاب الطلاق، الباب السادس عشر في الحضانة، و مجمع الأنہر: ۱/ ۴۸۱، کتاب الطلاق، باب الحضانة، ط: دار احیاء التراث العربي، بیروت)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",61643,deoband,معاشرت,طلاق و خلع
27-Aug-2020,https://darulifta-deoband.com/home/ur/talaq-divorce/61586,مجھے یہ پوچھنا ہے کہ اگر گھر والوں کے ناجائز زور زبردستی اور لڑکے پر غلط کیس کرکے لڑکی کو ڈرا دیا جائے اور ایسے میں لڑکی خلع مانگ لے شوہر سے اور شوہربھی صرف ڈر سے دستخط کردے نیز اس کے ماموں اور خالہ وغیرہ اس کی ماں کو گھر سے نکال دے اور ان سے دستخط کرالے تو کیا ایسے میں نکاح ختم ہوجاتاہے ؟,مجھے یہ پوچھنا ہے کہ اگر گھر والوں کے ناجائز زور زبردستی اور لڑکے پر غلط کیس کرکے لڑکی کو ڈرا دیا جائے اور ایسے میں لڑکی خلع مانگ لے شوہر سے اور شوہربھی صرف ڈر سے دستخط کردے نیز اس کے ماموں اور خالہ وغیرہ اس کی ماں کو گھر سے نکال دے اور ان سے دستخط کرالے تو کیا ایسے میں نکاح ختم ہوجاتاہے ؟ کیوں کہ لڑکا اور لڑکی ایک ہونا چاہ رہے ہیں ، کیوں کہ اب لڑکا اس کو اور اس کی امی کو اپنے ساتھ الگ رکھ سکتاہے ۔ براہ کرم، بتائیں کہ کیا یہ رشتہ جاری رہ سکتاہے؟یہ بہت ضروری ہے کیوں کہ لڑکی نے پھر کبھی کسی سے شادی نہ کرنے کی قسم کھائی ہے اور اس کے گھر والے بہت ظالم اور جاہل ہیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 280-280/B=4/1437-U

اگر ایسی ناجائز زور زبردستی کی ہے یا ایسا غلط کیس کیا ہے جس کی وجہ سے شوہر کو اپنی جان کا خطرہ لاحق ہوگیا یا سخت بے عزتی کا معاملہ سامنے آگیا تو ایسی حالت میں شوہر نے محض اپنی جان اور عزت وآبرو بچانے کے لیے طلاق نامہ پر دستخط کیا ہے تو ایسے سنگین خطرے سے چھٹکارا حاصل کرنے کے لیے تحریری طلاقنامہ پر دستخط کرنے سے کوئی طلاق واقع نہ ہوگی۔ اگر آپ ناجائز زور زبردستی اور غلط کیس کی وضاحت فرماتے تو زیادہ اچھی بات ہوتی۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",61586,deoband,معاشرت,طلاق و خلع
31-Aug-2020,https://darulifta-deoband.com/home/ur/talaq-divorce/61547,طلاق دیئے بغیر محض دور رہنے اور نان ونفقہ اداء نہ کرنے سے طلاق واقع نہیں ہوتی,میری شادی کو ۱۶ سال ہوگیا ہے، دو لڑکا اور دو لڑکی پیدا ہوئی ہے، میرا شوہر مولوی ہے ، آج سے چار سال پہلے ہم دونوں میں بات بڑھ گئی ، میرے شوہر نے اپنے تمام سامان بٹور کر چلے گئے ، اس چار سال میں انہوں نے نہ مجھے نفقہ دیا اور نہ بچوں کی ضروریات پوری کی، کچھ لوگ میرے شوہر سے مل کر آپس میں جڑنے کو کہا تو میرے شوہر نے بتایا کہ چھ مہینے تک میں نے کچھ نہیں دیا ، اس لیے ہم دونوں کو طلاق ہوچکی ہے۔ براہ کرم، بتائیں کہ اس بارے میں شریعت کیا کہتی ہے؟کیا ہم دونوں کی جدائیگی ہوگئی ہے؟چار سال سے ہ مجھے کچھ دیا ہے نہ اولاد کو دیا ہے۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1290-1027/D=12/1436-U
	
طلاق دیئے بغیر محض دور رہنے اور نان ونفقہ اداء نہ کرنے سے طلاق واقع نہیں ہوتی، وقوعِ طلاق کے لیے صراحةً یا کنایةً طلاق دینا ضروری ہے، تاہم ان ایام کا نفقہ ادا نہ کرنے کی وجہ سے شوہر گناہ گار ہوگا، لوگوں کو چاہیے کہ شوہر کو سمجھاکر ان کے مابین دوری ختم کرنے کی کوشش کریں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",61547,deoband,معاشرت,طلاق و خلع
01-Sep-2020,https://darulifta-deoband.com/home/ur/talaq-divorce/61488,وکیل نے بتایا کہ کاغذ پہنچتے ہی طلاق ہو چکی ہے,ابھی میں نے اپنی بیوی کو طلاق دی ہے وکیل کے ذریعہ، ،مگر وکیل نے طلاق کے کاغذات مجھے ہی پوسٹ کرنے کو کہا جو میں نے کیا ہے اور ہمارے وکیل بتارہے ہیں کہ ایک ہی طلاق کا کاغذ کافی ہے جو میں نے پوسٹ کیا، اس کاغذ سے نہ تو پکارنے کی ضرورت ہے طلاق تین مرتبہ، نہ تو تین بار ہر مہینہ طلاق کاکاغذ بھیجنے کی ضرورت ہے، اس طلاق کو طلاق بدعت کہتے ہیں۔ میرے وکیل نے بتایا کہ کاغذ پہنچتے ہی طلاق ہو چکی ہے ، اس کو بھیجنے کے بعد منسوخ نہیں کرسکتے ہیں۔ براہ کرم، بتائیں کہ کی اس سے میری طلاق ہوچکی یا نہیں؟میں نے عدت کے پیسے بھی ڈی ڈی کے ذریعہ بھیج دیئے ہیں اور مہر بھی ادا کردیا ہے۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""rtl"" style=""text-align: justify;"">
	Fatwa ID: 1324-1058/D=12/1436-E (۱)</p><p dir=""rtl"" style=""text-align: justify;"">
	آپ نے وکیل کو کس طرح کی طلاق لکھ کر بھیجنے کو کہا تھا؟ (۲) وکیل کا تیار کردہ جو طلاق نامہ آپ نے بھیجا ہے اس میں جو کچھ لکھا تھا اسے آپ نے پڑھ کر دستخط کیے تھے یا اس کا مضمون وکیل نے آپ کو بتلایا اور آپ نے اسے منظور کیا؟ (۳) طلاق نامہ کی کاپی (اگر اردو کے علاوہ زبان میں ہو تو اس کا ترجمہ) منسلک کرکے بھیجیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",61488,deoband,معاشرت,طلاق و خلع
01-Sep-2020,https://darulifta-deoband.com/home/ur/talaq-divorce/61463,طلاق کے لیے صراحتاً یا کنایةً ایسے الفاظ کا تلفظ کرنا ضروری ہے جن سے قطع کرنے اور باہم مربوط رشتہ کے ختم ہوجانے کا پتہ چلے,"اگر شوہر نے اپنی بیوی کے بارے میں یہ الفاظ کہے ۔ ""قیامت تک اسکو گھر نہیی بلانی "" یا ""نہیں بلاؤں گا"" مذکورہ الفاظ سے بہ وقت مذاکرئہ طلاق اور بہ نیت طلاق اور عدم مذاکرئہ طلاق و عدم نیت طلاق سے طلاق کا کیا حکم ہوگا؟ نیز عرف میں ان الفاظ سے طلاق مراد ہونے اور نہ ہونے سے حکم کیا ہوگا؟ جواب شافی مرحمت فرماکر ماجور ہو۔ جزاکم اللہ فی دارین و زادکم اللہ علما","<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1385-1449/L=1/1437-U

طلاق کے لیے صراحتاً یا کنایةً ایسے الفاظ کا تلفظ کرنا ضروری ہے جن سے قطع کرنے اور باہم مربوط رشتہ کے ختم ہوجانے کا پتہ چلے ”قیامت تک اس کو گھر نہیں بلانی“ یا ”نہیں بلاوٴں گا“ یہ طلاق کے الفاظ نہیں ہیں، اس لیے ان الفاظ سے کوئی طلاق بیوی پر واقع نہیں ہوئی، عرف کی وجہ سے اس مسئلہ پر کوئی فرق نہیں آئے گا۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",61463,deoband,معاشرت,طلاق و خلع
