issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
30-Aug-2020,https://darulifta-deoband.com/home/ur/food-drinks/27496,(۱) مرغی ذبح کرنے کے بہت طریقے آگئے ہیں، اس میں کون کون سے طریقے جائز اور کون سے طریقے ناجائز ہیں؟(۲)مشین کے بلیٹ کے اوپر بسم اللہ لکھ کر ذبح کرایاجائے تو کیا حکم ہے؟(۳) مشین کا بٹن دباتے وقت بسم اللہ پڑھ کر ذبح کیا جائے تو کیا حکم ہے؟,(۱) مرغی ذبح کرنے کے بہت طریقے آگئے ہیں، اس میں کون کون سے طریقے جائز اور کون سے طریقے ناجائز ہیں؟(۲)مشین کے بلیٹ کے اوپر بسم اللہ لکھ کر ذبح کرایاجائے تو کیا حکم ہے؟(۳) مشین کا بٹن دباتے وقت بسم اللہ پڑھ کر ذبح کیا جائے تو کیا حکم ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(ھ): 2701=1089-12/1431<br><br>(۱) جو جو طریقے آپ کے یہاں رائج ہیں اُن کو پوری وضاحت سے لکھ کر بھیجئے۔<br>(۲) صرف بلیڈ پر بسم اللہ لکھا ہوا ہونا کافی نہیں، اگر بغیر بسم اللہ اللہ اکبر زبان سے پڑھے اس بلیڈ سے ذبح کردیا تو جانور حلال نہ ہوگا، بلکہ مردار وحرام ہوگا۔<br>(۳) بسم اللہ اللہ اکبر زبان سے پڑھ کر بٹن دبایا اور مشین کے چلنے سے جانور ذبح ہوگیا اور جو عروق (رگیں) کٹنا ضروری ہیں وہ کٹ گئیں تو ذبح درست ہوگیا، اس کے بعد مشین بند ہوگئی اور پھر بسم اللہ اللہ اکبر پڑھ کر بٹن دبایا اور جانور ذبح ہوگیا تو یہ بھی درست ہوگیا، الغرض ہرجانور کو بسم اللہ اللہ اکبر پڑھ کر بٹن دباکر ذبح کیا جاتا رہا تو ذبح درست ہوتا رہے گا، بشرطیکہ بٹن دبانے والا مسلمان ہو اور شرعی طریق پر ذبح ہو، اگر بٹن دبانے کے بعد مشین چلتی رہی اور جانور بلیڈ کے نیچے آکر ذبح ہوتے رہے تو پہلی مرتبہ جتنے جانور چھری کے نیچے آئے ان کا ذبح درست ہوگیا اور بعد میں جو ذبح ہوئے وہ مردار اور حرام ہیں۔<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",27496,deoband,معاشرت,ماکولات ومشروبات
01-Sep-2020,https://darulifta-deoband.com/home/ur/food-drinks/27432,غیر اللہ کے نام کا چڑھاہوا کھانا کیساہے؟براہ کرم، مکمل دلیل کے ساتھ جواب دیں۔,غیر اللہ کے نام کا چڑھاہوا کھانا کیساہے؟براہ کرم، مکمل دلیل کے ساتھ جواب دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(م): 1648=1648-11/1431<br><br>غیر اللہ کے نام کا چڑھاوا چڑھانا حرام وناجائز ہے اور ایسا کھانا کھانا جائز نہیں۔<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",27432,deoband,معاشرت,ماکولات ومشروبات
01-Sep-2020,https://darulifta-deoband.com/home/ur/food-drinks/27392,ہم لوگ مرغی ذبح کرتے ہیں،سوال یہ ہے کہ اس کے گلے میں گدی ہوتی ہے ، بعض لوگوں کا کہنا ہے کہ گدی حرام ہے اور اس کا کھانا حرام ہے۔ براہ کرم، قرآن وحدیث کی روشنی میں جواب دیں۔,ہم لوگ مرغی ذبح کرتے ہیں،سوال یہ ہے کہ اس کے گلے میں گدی ہوتی ہے ، بعض لوگوں کا کہنا ہے کہ گدی حرام ہے اور اس کا کھانا حرام ہے۔ براہ کرم، قرآن وحدیث کی روشنی میں جواب دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(ب): 1968=1572-11/1431<br><br>گدی کھانا حرام نہیں ہے۔ بعض لوگوں کا کہنا صحیح نہیں ہے۔<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",27392,deoband,معاشرت,ماکولات ومشروبات
01-Sep-2020,https://darulifta-deoband.com/home/ur/food-drinks/27382,میں بیلجیم میں رہتاہوں، کچھ عرصے سے میں سسرال والوں کے ساتھ ہوتاہوں اور بریڈ اور گوشت استعمال کرتے ہیں، سارے لوگ کثرت سے یہ سب دکانوں سے لیتے ہیں، لیکن کچھ لوگ بریڈ نہیں لیتے ہیں کہ اس میں جو E482/ کوڈ ہے وہ حرام ہے۔اب میرا اس وجہ سے دل نہیں کرتا، یہ کوڈ بیکری کی چیزوں میں استعمال ہوتا ہے اور E471/کوڈ مکن میں استعمال ہوتاہے ، سوال یہ ہے کہ کیا ان کوڈ والی چیزوں کو استعمال کرنی چاہئے یا نہیں؟ یہاں کچھ مسلمان اس سے اجتناب کرتے ہیں اور کچھ نہیں کرتے ہیں۔,میں بیلجیم میں رہتاہوں، کچھ عرصے سے میں سسرال والوں کے ساتھ ہوتاہوں اور بریڈ اور گوشت استعمال کرتے ہیں، سارے لوگ کثرت سے یہ سب دکانوں سے لیتے ہیں، لیکن کچھ لوگ بریڈ نہیں لیتے ہیں کہ اس میں جو E482/ کوڈ ہے وہ حرام ہے۔اب میرا اس وجہ سے دل نہیں کرتا، یہ کوڈ بیکری کی چیزوں میں استعمال ہوتا ہے اور E471/کوڈ مکن میں استعمال ہوتاہے ، سوال یہ ہے کہ کیا ان کوڈ والی چیزوں کو استعمال کرنی چاہئے یا نہیں؟ یہاں کچھ مسلمان اس سے اجتناب کرتے ہیں اور کچھ نہیں کرتے ہیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(ب): 1970=1574-11/1431<br><br>اگر اس کوڈ کے مال میں حرام چیز ملی ہوئی آپ کے نزدیک یقینی ہے، آپ نے یا آپ کے معتبر اشخاص نے حرام مال کی آمیزش کو اپنی آنکھوں سے مشاہدہ کیا ہے تو پھر اس کا کھانا واقعی جائز نہ ہوگا، لیکن محض شک وشبہ کی بنا پر اس کو حرام سمجھنا جائز نہیں۔ البتہ اگر شک ہو تو اس سے احتیاط کرسکتے ہیں۔ دَع ما یُریبُک إلی ما لا یُریبُک․<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",27382,deoband,معاشرت,ماکولات ومشروبات
31-Aug-2020,https://darulifta-deoband.com/home/ur/food-drinks/27297,سانڈے جس کی چربی کا تیل بھی نکالا جاتاہے ، کیا اس کا گوشت کھاسکتے ہیں یا بطور دوا استعمال کیا جاسکتاہے؟,سانڈے جس کی چربی کا تیل بھی نکالا جاتاہے ، کیا اس کا گوشت کھاسکتے ہیں یا بطور دوا استعمال کیا جاسکتاہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(ل): 1768=1282-12/1431<br><br>&nbsp;سانڈے جس کی چربی کا تیل نکالا جاتا ہے خبیث جانوروں میں سے ہے، لہٰذا اس کا گوشت کھانا جائز نہیں، البتہ اگر اس کا تیل بطور دوا استعمال کیا جائے تو اس کی گنجائش ہے، بشرطیکہ نماز سے پہلے اس کو دھولیا جائے۔<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",27297,deoband,معاشرت,ماکولات ومشروبات
01-Sep-2020,https://darulifta-deoband.com/home/ur/food-drinks/27225,میں حدیث کے مطابق پانی پینے کے طریقے کے بارے میں الجھن میں پڑ گیا ہوں۔ مسلم شریف کی حدیث ہے ؛ اگر تم کھڑے ہو کر پانی پیو تو تمہیں قے کرنا چاہئے۔ جب کہ میں نے موٴطا امام مالک میں پڑھا ہے کہ کچھ جلیل القدر صحابہ کھڑے ہو کر پانی پیتے تھے۔ براہ کرم، اس بارے میں میری رہنمائی فرمائیں۔,میں حدیث کے مطابق پانی پینے کے طریقے کے بارے میں الجھن میں پڑ گیا ہوں۔ مسلم شریف کی حدیث ہے ؛ اگر تم کھڑے ہو کر پانی پیو تو تمہیں قے کرنا چاہئے۔ جب کہ میں نے موٴطا امام مالک میں پڑھا ہے کہ کچھ جلیل القدر صحابہ کھڑے ہو کر پانی پیتے تھے۔ براہ کرم، اس بارے میں میری رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(ل): 1814=1317-1/1432<br><br>حدیث شریف کے عموم سے یہی پتہ چلتا ہے کہ پانی بیٹھ کر پیا جائے: کما ورد النہي عن الشرب قائمًا، البتہ اگر کبھی کھڑے ہوکر پینے کی ضرورت پڑجائے تو بحالت مجبوری کھڑے ہوکر بھی پی سکتے ہیں، آپ صلی اللہ علیہ وسلم اور صحابہٴ کرام رضی اللہ عنہم سے کھڑے ہوکر جو پانی پینا ثابت ہے، وہ بیانِ جواز کے لیے یا مائے زم زم اور وضو کے بچے ہوئے پانی کے ساتھ خاص ہے۔<br>علمائے کرام نے اس قسم کی متعارض حدیثوں میں اسی طرح تطبیق دی ہے، یعنی اصل عمل مسلم شریف میں موجود حدیث پر کرنا چاہیے، باقی بوقت ضرورت ومجبوری کھڑے ہوکر پینے کی گنجائش ہوگی۔ والأحوط الاجتناب عن الشرب قائمًا سیما إذا لم یکن یشتد إلیہ حاجتہ کذا في شرح الشمائل لعصام (قوت المغتذي علی الترمذي: ۲/۱۰)<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",27225,deoband,معاشرت,ماکولات ومشروبات
01-Sep-2020,https://darulifta-deoband.com/home/ur/food-drinks/27091,"(۱) ہماری کمپنی میں کچھ غیر مسلم کام کرتے ہیں، ان کا سال میں ایک تہوار آتاہے جس کو وہ دسہراہ بولتے ہیں ، وہ اس میں بکرا کاٹتے ہیں وہ بھی بت کے نام ، لیکن بات یہ ہے کہ وہ لوگ کبھی مسلمانوں کو کہتے ہیں کہ آپ لوگ کاٹیں، مسلمان بسم اللہ پڑھ کر کاٹتے ہیں، مگر غیر مسلم کی نیت بت کے نام ہوتی ہے، سوال یہ ہے کہ کیا مسلمان اس کا گوشت کھاسکتے ہیں؟
(۲) کمپوٹر ، ڈی وی ڈی، لیپ ٹاپ میں سی ڈی یا انٹر نیٹ میں کسی عالم کا بیان ہورہا ہو تو کیا مستورات اسے دیکھ سکتی ہیں؟","(۱) ہماری کمپنی میں کچھ غیر مسلم کام کرتے ہیں، ان کا سال میں ایک تہوار آتاہے جس کو وہ دسہراہ بولتے ہیں ، وہ اس میں بکرا کاٹتے ہیں وہ بھی بت کے نام ، لیکن بات یہ ہے کہ وہ لوگ کبھی مسلمانوں کو کہتے ہیں کہ آپ لوگ کاٹیں، مسلمان بسم اللہ پڑھ کر کاٹتے ہیں، مگر غیر مسلم کی نیت بت کے نام ہوتی ہے، سوال یہ ہے کہ کیا مسلمان اس کا گوشت کھاسکتے ہیں؟
(۲) کمپوٹر ، ڈی وی ڈی، لیپ ٹاپ میں سی ڈی یا انٹر نیٹ میں کسی عالم کا بیان ہورہا ہو تو کیا مستورات اسے دیکھ سکتی ہیں؟","<p>بسم الله الرحمن الرحيم</p><p> فتوی(ل): 1739=1270-12/1431<br><br>(۱) اگر غیر مسلم کی نیت بت کے نام ذبح کرنے کی ہو تو مسلمان کے بسم اللہ پڑھ کر اس کو ذبح کرنے سے جانور حلال نہیں ہوگا، اور نہ ہی اس جانور کے گوشت کا کھانا کسی مسلمان کے لیے جائز ہوگا۔<br>(۲) جس طرح مرد کے لیے عورت کی تصویر دیکھنا جائز نہیں اسی طرح عورت کے لیے بھی مرد کی تصویر دیکھنا جائز نہیں، خواہ وہ تصویر کسی عالم کی ہو یا کسی اور کی۔<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",27091,deoband,معاشرت,ماکولات ومشروبات
31-Aug-2020,https://darulifta-deoband.com/home/ur/food-drinks/25561,"میں حلال گوشت (بڑے کا گوشت اورمٹن ،بکرے کا کوشت) ایک چنیی دکاندار سے خریدتاہوں ، وہ مسلمان نہیں ہے، لیکن وہ کہتاہے کہ میں صرف حلال گوشت ہی بیچتاہوں، ہم نے کسی حدتک میں معاملہ کی چھان بین کرنے کی کوشش کی اور اس سے پوچھا کہ تم کہاں سے یہ گوشت لاتے ہو، اس نے ہمیں ہوسیلر ڈیلر کا پتا دیا اور کہا کہ آپ لوگ اس شخص سے اس کی تصدیق کرسکتے ہیں۔ بعد ازاں ، ہم گوست فراہم کرنے ہوسیلر کے پاس گئے، وہ چینی مسلمان ہے اور اس کا بزنس صوبائی مسلم کانگریس (انجمن )سے تصدیق شدہ ہے، اس نے یہ بھی کہا کہ میں صرف حلال گوشت ہی کا کاروبار کرتاہوں، اس نے گارنٹی دینے کی بات بھی کہی کہ وہ دکاندار صرف یہیں سے گوشت لیتاہے، اس لیے یہ غالب گمان ہے کہ وہ حلال گوشت کے ساتھ حرام گوشت نہیں ملاتاہے۔ براہ کرم، مشورہ دیں کہ کیا اس چینی غیرمسلم دکاندار سے گوشت خریدنا جائز ہے جو صرف حلال گوشت بیچنے کا دعوی کرتاہے؟
واضح رہے کہ میں چین میں رہتاہوں اور یہاں چینی زبان میں رابطہ کرنا ایک مشکل امر ہے۔ حلال گوشت کے دیگر ذرائع بھی ہوسکتے ہیں، لیکن ان دکانوں سے ان کے مختلف سامانوں کی وجہ سے نیز زیادہ مسافت کی وجہ سے خریدنازیادہ مناسب نہیں ہے۔ براہ کرم، اس بارے میں ہماری رہنمائی فرمائیں۔","میں حلال گوشت (بڑے کا گوشت اورمٹن ،بکرے کا کوشت) ایک چنیی دکاندار سے خریدتاہوں ، وہ مسلمان نہیں ہے، لیکن وہ کہتاہے کہ میں صرف حلال گوشت ہی بیچتاہوں، ہم نے کسی حدتک میں معاملہ کی چھان بین کرنے کی کوشش کی اور اس سے پوچھا کہ تم کہاں سے یہ گوشت لاتے ہو، اس نے ہمیں ہوسیلر ڈیلر کا پتا دیا اور کہا کہ آپ لوگ اس شخص سے اس کی تصدیق کرسکتے ہیں۔ بعد ازاں ، ہم گوست فراہم کرنے ہوسیلر کے پاس گئے، وہ چینی مسلمان ہے اور اس کا بزنس صوبائی مسلم کانگریس (انجمن )سے تصدیق شدہ ہے، اس نے یہ بھی کہا کہ میں صرف حلال گوشت ہی کا کاروبار کرتاہوں، اس نے گارنٹی دینے کی بات بھی کہی کہ وہ دکاندار صرف یہیں سے گوشت لیتاہے، اس لیے یہ غالب گمان ہے کہ وہ حلال گوشت کے ساتھ حرام گوشت نہیں ملاتاہے۔ براہ کرم، مشورہ دیں کہ کیا اس چینی غیرمسلم دکاندار سے گوشت خریدنا جائز ہے جو صرف حلال گوشت بیچنے کا دعوی کرتاہے؟
واضح رہے کہ میں چین میں رہتاہوں اور یہاں چینی زبان میں رابطہ کرنا ایک مشکل امر ہے۔ حلال گوشت کے دیگر ذرائع بھی ہوسکتے ہیں، لیکن ان دکانوں سے ان کے مختلف سامانوں کی وجہ سے نیز زیادہ مسافت کی وجہ سے خریدنازیادہ مناسب نہیں ہے۔ براہ کرم، اس بارے میں ہماری رہنمائی فرمائیں۔","<p>بسم الله الرحمن الرحيم</p><p> فتوی(ھ): 2664=1048-11/1431<br><br>آپ کا دل اگر پوری طرح مطمئن ہے کہ وہ غیرمسلم حلال گوشت ہی مسلمان ہول سیلر سے خریدکر بیچتا ہے، حرام گوشت کا کاروبار اس کا نہیں، نہ ہی حرام گوشت کی آمد کا اس کی دوکان میں اندیشہ ہے، تاہم ایسی دوکان سے خریدنا کہ ذبح ہونے سے فروخت ہونے تک تمام کا تمام کام مسلمان کے ہاتھ میں ہو احوط اور بہتر ہے، خواہ اس میں قدرے مشقت اٹھانی پڑے۔ اصل یہ ہے کہ گوشت کا معاملہ بڑا نازک اور اہمیت کا حامل ہے، مسلمان کو حتی المقدرت احتیاط پر عمل کرنے میں سعی کرنا چاہیے۔<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",25561,deoband,معاشرت,ماکولات ومشروبات
01-Sep-2020,https://darulifta-deoband.com/home/ur/food-drinks/25450,کیا سگریٹ، نسواراور چرس حرام ہیں؟ جب کہ چرس پینے والا ہوش وہواس میں رہتاہے۔ براہ کرم، رہنمائی فرمائیں۔,کیا سگریٹ، نسواراور چرس حرام ہیں؟ جب کہ چرس پینے والا ہوش وہواس میں رہتاہے۔ براہ کرم، رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(ھ): 2254=1455-10/1431<br><br>سگریٹ پینا سخت مکروہ ہے، نسوار اور چرس میں نشہ ہوتا ہے، پس ان کا استعمال بھی ناجائز ہے اور بعض لوگوں کو جو نشہ نہیں ہوتا وہ عادی ہوجانے کی وجہ سے ایسا ہوتا ہے، جس طرح شراب کے عادی لوگوں کو بھی بسا اوقات بہت زیادہ نشہ نہیں ہوتا، مگر اس کی وجہ سے حرام ہونے کا حکم ساقط نہیں ہوتا، نیز ان جیسی چیزوں (سگریٹ، نسوار، چرس، شراب) سے اعضائے رئیسہ دل ودماغ پھیپھڑوں وغیرہ میں خطرناک امراض پیدا ہوتے ہیں یا پیدا ہونے کا اندیشہ غالب ہوتا ہے، اس لیے بھی ان چیزوں کے استعمال کا ناجائز و گناہ ہونا ظاہر ہے۔<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",25450,deoband,معاشرت,ماکولات ومشروبات
30-Aug-2020,https://darulifta-deoband.com/home/ur/food-drinks/25162,اگر پالٹری فارم میں مرغیوں کو خنزیر کی چربی یا اس طرح کی چیزوں سے تیارشدہ کھانا کھلایا جائے تو کیامسلمانوں کے لیے اس کا کھانا حرام ہوگا یاکھانا مناسب نہیں ہوگا؟,اگر پالٹری فارم میں مرغیوں کو خنزیر کی چربی یا اس طرح کی چیزوں سے تیارشدہ کھانا کھلایا جائے تو کیامسلمانوں کے لیے اس کا کھانا حرام ہوگا یاکھانا مناسب نہیں ہوگا؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(ل): 1400=997-9/1431<br><br>ایسی مرغیوں کو کھاسکتے ہیں، البتہ اگر ان مرغیوں سے خنزیز کی بو آرہی ہو تو عارضی طور پر ان کو کچھ دن الگ رکھ کر حلال غذا کھلائی جائے اور جب ان سے بو زائل ہوجائے اس وقت ان کو ذبح کرکے کھایا جائے۔<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",25162,deoband,معاشرت,ماکولات ومشروبات
