issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
26-Aug-2020,https://darulifta-deoband.com/home/ur/clothing-lifestyle/45971,libas waza'a qata'a,کیا مردوں کے لیے ’ لنن کے کپڑے “ پہننا جائز ہے جو کہ راحت بخش اور گرمیوں میں ٹھنڈے ہوتے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 985-635/L=8/1434

مردوں کے لیے ”لنن کے کپڑے“ پہننے میں مضائقہ نہیں۔
================
اگر وہ ریشم کے قسم سے نہیں ہے تو جواب درست ہے۔(د)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",45971,deoband,معاشرت,لباس و وضع قطع
01-Sep-2020,https://darulifta-deoband.com/home/ur/clothing-lifestyle/43954,کیا مرد اپنے سینے کے بال نکال سکتے ہیں، کیا اسکی اجازت ہے؟,کیا مرد اپنے سینے کے بال نکال سکتے ہیں، کیا اسکی اجازت ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 367-214/L=3/1434

سینے کے بال نکالنے کی اجازت ہے، البتہ بہتر نہیں ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",43954,deoband,معاشرت,لباس و وضع قطع
01-Sep-2020,https://darulifta-deoband.com/home/ur/clothing-lifestyle/43858,سیاہ رنگ كا خضاب,میری ملازمت ایسی ہے کہ اس میں اچھا نظر آنا بہت ضروری ہے، سوال یہ ہے کہ داڑھی اور سر کے بال وقت سے پہلے سفید ہو گئے ہیں تو انکو کالا کرانا کیسا ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 279-279/M=3/1434

سفید بالوں میں بالکلیہ سیاہ کلرکرنا تو ممنوع ہے، حدیث میں اس پر وعید آئی ہے، ہاں ایسی سرخی جو سیاہی مائل ہو اس کی گنجائش ہے، اگر ملازمت کے دستور میں خالص سیاہ خضاب کرنا لازمی ہوتا ہو تو ایسی ملازمت کو ترک کرنے کی کوشش میں رہیں، اور جب تک متبادل بے غبار ملازمت کا نظم نہ ہوجائے تب تک مجبوری میں بادل نخواستہ ارتکاب کرلیں اور اس پر توبہ واستغفار بھی کرتے رہیں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",43858,deoband,معاشرت,لباس و وضع قطع
01-Sep-2020,https://darulifta-deoband.com/home/ur/clothing-lifestyle/43820,کیا گہرا براؤن خضاب لگانا جائز ہے یا کالے رنگ کی طرح اس کا بھی حکم ہے ؟,کیا گہرا براؤن خضاب لگانا جائز ہے یا کالے رنگ کی طرح اس کا بھی حکم ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 374-164/L=3/1434

کالے رنگ کے خضاب کے علاوہ دوسرے کلر کے خضاب کا استعمال جائز ہے اس لیے گہرا براوٴن خضاب لگانا جائز ہے، البتہ خالص حنا (منہدی) کا سرخ خضاب مسنون ہے اتفق المشائخ رحمہم اللہ تعالی: أن الخضاب في حق الرجال بالحمرة سنة وأنہ من سیما المسلمین وعلاماتہم (عالمگیري: ۵/۳۵۹)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",43820,deoband,معاشرت,لباس و وضع قطع
01-Sep-2020,https://darulifta-deoband.com/home/ur/clothing-lifestyle/43735,کیا عورت کو چوڑی (پلاسٹک کی چوڑی) پہننا جائز ہے؟,کیا عورت کو چوڑی (پلاسٹک کی چوڑی) پہننا جائز ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 251-166/L=3/1434

جی ہاں! عورت پلاسٹک کی چوڑی پہن سکتی ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",43735,deoband,معاشرت,لباس و وضع قطع
30-Aug-2020,https://darulifta-deoband.com/home/ur/clothing-lifestyle/43601,بیوی کا دودھ پینا خواہ ایک قطرہ ہو حرام ہے,میں ایک پریشانی میں مبتلا ہوں اور آپ سے رہنمائی چاہتا ہوں . کچھ دن پہلے جب میں اپنی اہلیہ کے ساتھ ہم بستری کرنے کی تیاری میں تھا اور ہم خوش طبع کے لئے چوم رہے تھے، تبھی میں نے محسوس کیا کہ میری اہلیہ کے سینے سے کچھ دودھ کا مزہ میرے حلق کو محسوس ہوا. وہ صرف ایک ہلکا سا مزہ تھا جسکو میں نے تب ہی تھوک دیا. مقدار ایک قطرے سے بھی کم ہوگی . مہربانی کرکے صحیح رہنمائی فرمائیں اس بارے میں . کیا میں کوئی گناہ کر گیا اور اب بھی اس گناہ میں ہوں ؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 256-188/D=2/1434

بیوی کا دودھ خواہ ایک قطرہ ہو حرام ہے، آپ نے تھوک دیا ٹھیک کیا، لہٰذا جب دودھ جانے کا احتمال ہو تو پستان چوسنے سے احتراز کریں۔ نکاح پر البتہ ا س سے کوئی فرق نہیں پڑے گا۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",43601,deoband,معاشرت,لباس و وضع قطع
01-Sep-2020,https://darulifta-deoband.com/home/ur/clothing-lifestyle/43597,سینہ وغیرہ كے بال صاف كرنا,۱- کیا مرد ران، سینہ بازو وغیرہ سے بال صاف کر سکتا ہے؟ ۲- کیا مرد بیوی سے زیر ناف بال صاف کر وا سکتا ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 255-186/D=2/1434

(۱) جائز ہے، خلاف ادب ہے۔
(۲) کرواسکتا ہے لیکن بہتر نہیں ہے، اورمجبور کرنا جائز نہیں ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",43597,deoband,معاشرت,لباس و وضع قطع
31-Aug-2020,https://darulifta-deoband.com/home/ur/clothing-lifestyle/43577,ڈاڑھی رنگنے كا حكم,میرا آپ سے سوال ہے کہ داڑھی رنگنے کے بارے میں ہماری شریعت کی کیا رائے ہے ؟آیااس سے وضو اور غسل وغیرہ ہو سکتا ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 244-244/M=2/1434

داڑھی کے سفید بال کو سیاہ رنگ سے رنگنا تو منع ہے، سیاہ رنگ کے علاوہ کی اجازت ہے، بشرطیکہ اس میں نجس چیز شامل نہ ہو، سرخ منہدی کا خضاب مستحب ہے، اگر خضاب میں کوئی ذی جرم مادّہ پانی پہنچنے سے مانع نہیں ہے، صرف رنگ ابھرا ہے تو اس پر وضو اور غسل درست ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",43577,deoband,معاشرت,لباس و وضع قطع
30-Aug-2020,https://darulifta-deoband.com/home/ur/clothing-lifestyle/43527,داڑھی کو ایک مٹھی سے معمولی سے کم کرنا گناہ کبیرہ ہے یا نہیں ؟اور کیا یہ شروع سے ہی گناہ کبیرہ ہوتا ہے یا بار بار کرنے سے گناہ کبیرہ بن جاتا ہے؟,داڑھی کو ایک مٹھی سے معمولی سے کم کرنا گناہ کبیرہ ہے یا نہیں ؟اور کیا یہ شروع سے ہی گناہ کبیرہ ہوتا ہے یا بار بار کرنے سے گناہ کبیرہ بن جاتا ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 262/B=2/1434

جی ہاں یہ کبیرہ گناہ ہے، اس کا مرتکب گنہ گار ہوگا، شروع ہی سے ایسا کرنا گناہ کبیرہ ہے، اس سے احتراز کرنا چاہیے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",43527,deoband,معاشرت,لباس و وضع قطع
01-Sep-2020,https://darulifta-deoband.com/home/ur/clothing-lifestyle/43502,داڑھی کا مسلہ,میرا سوال یہ ہے کہ کیا ایسا شخص جس کی داڑھی ایک مٹھی سے کم ہو اذان یا اقامت کہہ سکتا ہے ؟ حلا نکہ یہ شخص اپنی مسجد میں سب سے پہلے مسجد میں آتا ہے اور سب سے آخر میں مسجد سے جاتا ہے اعمال میں سارے نمازیوں میں سب سے زیادہ نیک معلوم ہوتا ہے قرآن اور نماز کے علاوہ کوئی کام نہیں کرتا .مسجد میں داڑھی والے بھی موجود ہوتے ہیں ان داڑھی والے افراد کی موجودگی میں ایسا شخص اذان یا اقامت کہہ سکتا ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 261-210/B=2/1434

اسے آپ کتنا بھی نیک سمجھتے ہوں وہ شریعت میں فاسق اور اللہ کا نافرمان ہے، اس کی اذان واقامت مکروہ تحریمی ہے، اس سے اذان واقامت نہیں کہلوانی چاہیے، اس شخص کو اذان واقامت کہنے کا شوق ہے تو پوری ڈاڑھی رکھے، حضور صلی اللہ علیہ وسلم کی سنت سے اور ان کی صورت سے کیوں دشمنی رکھتا ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",43502,deoband,معاشرت,لباس و وضع قطع
01-Sep-2020,https://darulifta-deoband.com/home/ur/clothing-lifestyle/43500,کیا مرد اپنے لمبے بالوں کو بندواسکتے ہیں ؟,میں ۲۶ سال کا ہوں اور الحمدللہ با شرع داڑھی ایک مشت ، دل چاہا کہ لمبے بال رکھوں، اب اس وقت میرے بال کندھے تک ہیں، کیا میں اسے صاف رکھنے کے لئے اسے بینڈ-موڑ - سکتا ہوں ؟ میں نے دکھاوئے اور فیشن کے لیے نہیں بلکہ اپنی خوشی کے لیے لمبے بال رکھے ہیں۔ لڑکیوں کی چوٹی کی طرح نہیں بلکہ صرف ایک کالے ربڑ بینڈ سے بینڈ سکتا ہوں یا نہیں ؟ مجھے پتا ہے کہ مردوں کو عورتوں کی مشابہات نہیں کرنی ہے، اللہ کی لعنت ہے ایسے مردوں پہ۔ لیکن آج کے زمانے میں تو ہر ایک چیز ملتی جلتی ہے، جیسے کپڑے اور وغیرہ چیزیں، یہ ضرور بتادیجیئے کہ ایسے بال باندھنے کی اجازت ہے یا حرام ہے یا صرف منع ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 260-197/B=2/1434

مردوں کے لیے اپنے بالوں کو ربڑ بینڈ سے بینڈ کرنا درست نہیں، اس میں عورتوں کے ساتھ مشابہت ہے، یہ جائز نہیں۔ کپڑوں کے ساتھ مشابہت اختیار کرنے سے بچنا چاہیے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",43500,deoband,معاشرت,لباس و وضع قطع
