issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/rights-etiquettes/145407,خانہٴ کعبہ کی طرف پیر کر کے سونا ؟,کیا خانہٴ کعبہ کی طرف پیر کر کے سونا حرام ہے؟اگر بستر کی سمت ہی ایسی ہو کہ پائے تانہ پر قبلہ ہو تو کیا کرنا چاہئے؟ مہربانی کرکے مجھے رہنمائی فرمائیں اور سونے کی سنتیں بھی بتائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: 19-17/Sd=2/1438</span></p><p dir=""RTL"">
	&nbsp;</p><p dir=""RTL"">
	قبلہ کی طرف پیر کرنا مکروہ ہے، اس لیے سونے میں بھی قبلہ کی طرف پیر نہیں کرنا چاہیے،بستر کی سمت بدلی جاسکتی ہے، اور سونے کی چند اہم سنتیں یہ ہیں : سوتے وقت سرمہ لگانا، باوضو ہونا، داہنی کروٹ پر لیٹنا، بستر کو جھاڑنا وغیرہ ۔ قال الحصکفي: وکذا یکرہ ۔۔۔۔مد رجلہ الیہا ۔۔۔۔۔ ( الدر المختار مع رد المحتار : ۳/۵۵، فصل : الاستنجاء ) عن ابن عباس رضي اللّٰہ عنہما قال: کان النبي صلی اللّٰہ علیہ وسلم یکتحل قبل أن ینام بالإثمد ثلاثًا في کل عینٍ۔ (شمائل ترمذي / باب ما جاء في کحل رسول اللّٰہ صلی اللّٰہ علیہ وسلم ص: ۴)عن البراء بن عازب رضي اللّٰہ عنہ قال: قال لي النبي صلی اللّٰہ علیہ وسلم: إذا أتیت مضجعک فتوضأ وضوء ک للصلاة۔ (صحیح البخاري، کتاب الوضوء / باب فضل من بات علی الوضوء ۱/۳۸رقم: ۲۴۷دار الفکر بیروت، سنن أبي داؤد، کتاب الأدب / باب ما یقول عند النوم ۲/۶۸۸رقم: ۵۰۴۶دار الفکر بیروت)عن البراء بن عازب رضي اللّٰہ عنہما قال: کان رسول اللّٰہ صلی اللّٰہ علیہ وسلم إذا اٰوی إلی فراشہ نام علی شقہ الأیمن۔ (صحیح البخاري، کتاب الدعوات / باب النوم علی الشق الأیمن ۲/۹۳۴رقم: ۶۳۱۵دار الفکر بیروت)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",145407,deoband,معاشرت,اخلاق و آداب
01-Sep-2020,https://darulifta-deoband.com/home/ur/rights-etiquettes/145388,کیا مسجد میں داخل ہونے کے بعدسلام کرنا جائز ہے؟,(۱) کیا مسجد میں داخل ہونے کے بعدسلام کرنا جائز ہے؟ (۲) کیا مسجد میں داخل ہونے کے بعد گلے ملنا جائز ہے؟ (۳) کیا فرض نماز کے بعد گلے ملنا جائز ہے؟ (۴) کیا مسجد یا عیدگاہ میں نماز کے بعد سلام کرنا جائز ہے؟ (۵) اگر کوئی غلط اذان دے تو کیا حکم ہوگا؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: 126-109/M=2/1438</span></p><p dir=""RTL"">
	&nbsp;</p><p dir=""RTL"">
	(۱) جائز ہے لیکن اگر لوگ نماز تلاوت وغیرہ میں مشغول ہوں تو ان کو سلام کرنا مکروہ ہے۔</p><p dir=""RTL"">
	(۲، ۳) گلے ملنا یعنی معانقہ کرنا بہت دنوں کی ملاقات کے بعد ثابت ہے اس لیے یہ ناجائز نہیں ہاں تخصیص و التزام بدعت ہے جیسے عید کے دن کی نماز کے بعد گلے ملنا، اسی طرح کسی خاص نماز مثلاً عصر یا فجر کے بعد گلے ملنے کو ضروری سمجھنا یہ مکروہ ہے۔</p><p dir=""RTL"">
	(۴) تخصیص و التزام کے بغیر ہو تو ناجائز نہیں۔</p><p dir=""RTL"">
	(۵) غلطی کی نوعیت واضح کرکے سوال کریں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",145388,deoband,معاشرت,اخلاق و آداب
01-Sep-2020,https://darulifta-deoband.com/home/ur/rights-etiquettes/69872,پانچ سال بڑا بھائی بغیر کسی وجہ اور قصور کے مجھ پر ہاتھ اٹھائے تو میں کیا کروں؟,اگر مجھ سے پانچ سال بڑا بھائی بغیر کسی وجہ اور قصور کے مجھ سے لڑے جھگڑے اور ہاتھ اٹھائے تو میں کیا کروں؟ کیا میں اس کے ہاتھ کا جواب دوں؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1063-1026/Sd=1/1438

آپ کا بڑا بھائی بغیر کسی وجہہ کے آپ سے کیوں لڑتا جھگڑتا ہے اور آپ پر کیوں ہاتھ اٹھاتا ہے ؟ اُس کو ایسا نہیں کرنا چاہیے ، یہ ظلم ہے ، جس کی احادیث میں سخت وعید آئی ہے ، تاہم اگر وہ کبھی لڑائی کرے اور آپ پر ہاتھ اٹھائے ، توآپ کی طرف سے حسن اخلاق اور صبر ہی کا معاملہ رہنا چاہیے ۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",69872,deoband,معاشرت,اخلاق و آداب
01-Sep-2020,https://darulifta-deoband.com/home/ur/rights-etiquettes/69831,ملازمت کے احکام کیا ہیں؟,حضرت مجھے یہ بتائیے کہ تاجر تجارت کا دین سیکھتا ہے۔ مجھے یہ پوچھنا ہے کہ میں جس کے پاس ملازمت کرتا ہوں کس طرح سے پورے حقوق کی پابندی حاصل کرنے کے ساتھ میں حلال کمائی کماوٴں؟ میری نوکری حلال ہے بس ،کس طرح امانت داری سے کام کیا جائے؟ قرآن و حدیث کی روشنی میں جواب دیں۔ اگر کسی صحابی نے ملازمت کی ہے تو ان کے حوالے سے سمجھائیے یا ان کا واقعہ بتلا دیجئے۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>
	Fatwa ID: 1365-1375/N=1/1438<br>
	آپ جس شخص کے پاس حلال ملازمت کرتے ہیں، اس کی جانب سے آپ کو معاہدہ کے تحت جو ذمہ داریاں دی گئی ہیں، آپ انھیں حسن وخوبی اور دیانت وامانت داری کے ساتھ انجام دینے کی کوشش کریں، اوقات ملازمت میں کوئی ذاتی کام نہ کریں اور اوقات ملازمت کی پابندی کریں۔<br>
	(۲): کسی صحابی کی ملازمت کا کوئی خاص واقعہ فی الحال ذہن میں نہیں ہے ، البتہ شریعت کے عام احکام کی روشنی میں آپ کی ذمہ داری وہ ہے جو اوپر نمبر ایک میں ذکر کی گئی۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",69831,deoband,معاشرت,اخلاق و آداب
30-Aug-2020,https://darulifta-deoband.com/home/ur/rights-etiquettes/69789,ماں باپ كی ضعیف العمری كی حالت میں بیوی کا علیحدہ مکان میں رہنے کا مطالبہ,میری والدہ ضعیف ہوچکی ہیں، وہ خود سے چل نہیں سکتی ہیں، واٹر فلٹر سے ایک گلاس پانی لینے کے لیے ان کو مدد کی ضرورت پڑتی ہے، میری بیوی ، میری والدہ اور میرے بچے ایک بلڈنگ میں رہتے ہیں ، لیکن الگ الگ فلور میں، ہمارا کھانا ایک ہی کچن میں بنتاہے، میری بیوی میری والدہ کا خیال نہیں رکھتی ہے، میں بھی اس سے اس کی امید نہیں رکھتاہوں، کیوں کہ یہ اس کی ڈیوٹی نہیں ہے، والدہ کی دیکھ ریکھ کرنے کے لیے ایک نوکرانی ہے، مگر بغیر کسی نگرانی کے والدہ کی دیکھ ریکھ صحیح سے نہیں ہوپاتی ہے، میری بیوی الگ جگہ میں علیحدہ مکان کا مطالبہ کررہی ہے، مگر میں اس کے مطالبے پر زیادہ دھیان نہیں دیتاہوں، اس لیے کہ الگ الگ دونوں مکانوں کو سنبھالنا میرے لیے آسان نہیں ہوگا، مزید یہ کہ والدہ کا خیال صحیح سے نہیں ہوپائے گا۔ براہ کرم، بیوی کے مطالبہ اور اس کوپورا نہ کرنے کے بارے میں بتائیں۔ کوئی حل بھی بتائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>
	Fatwa ID: 1087-1067/B=12/1437<br>
	<br>
	ایسی حالت میں بیوی کا علیحدہ مکان میں رہنے کا مطالبہ بڑی بے مروتی اور غیر ہمدردانہ مطالبہ ہے، نوکرانی کی نگرانی کے لیے بیوی سے ہی درخواست کریں کہ وہ تھوڑی بہت نگرانی کردیا کرے، یا آپ خود تھوڑا وقت قربان کرکے نوکرانی کی نگرانی اور والدہ کی خدمت میں تعاون کردیا کریں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",69789,deoband,معاشرت,اخلاق و آداب
30-Aug-2020,https://darulifta-deoband.com/home/ur/rights-etiquettes/69736,والد کی طرف سے معمولی باتوں پر پٹائی,میں اپنی آٹھ سال کی عمر سے ان کی پٹائی برداشت کررہی ہوں اور مختف مواقع پر ان کا غصہ برداشت کررہی ہوں، میں والد صاحب سے بہت محبت کرتی تھی، مگر ان کی پٹائی کرنے وے میرا دل ٹوٹ گیا، میں نے اپنے آپ کو سمجھایا کہ ٹھیک ہے ، وہ میرے والد ہیں۔والد صاحب جن باتوں پر میری پٹائی کرتے ہیں وہ چھوٹی چھوٹی باتیں ہیں ، جیسے کہ میں باتھ روم سے باہر آتی ، تو میرے سرپر دوپٹہ نہیں ہوتا، کیوں کہ میں باتھ روم میں جانے سے پہلے اس اتار دیتی ہوں، یا جیسے کہ میں اپنا ہاتھ دھوتی ہوں اور مجھے والد صاحب کی موجودی گی کا پتا نہیں ہوتا، تو سرپہ اسکارف نہ ہونے کی وجہ سے وہ میری پٹائی کردیتے ہیں، میں نے ان کو بتانے کی کوشش کی مگر وہ میری سنتے ہی نہیں،والد صاحب کی وجہ سے میں گیارہ سال کی عمر میں ڈپریشن کی شکار ہوگئی ، اب میں چودہ سال کی ہوں، اب جب وہ پٹائی کرتے ہںا جسم پر چوٹ لگتی ہے دماغ میں نہیں،دماغ میں چوٹ نہ لگنے کی یہ وجہ یہ ہے کہ میں اب میں ان کا خیال نہیں رکھتی، مجھے ان سے دل سے بہت زیادہ نفرت ہوگیل ہے، مجھے ڈر لگنے لگا ہے کہ یہ غلط ہے، مجھے ان کا چہرہ دیکھنا پسند نہیں، اور نہ میں ان سے بات کرتی ہوں،جب وہ مجھ سے بات کرتے ہیں تو میں ان کو نظر انداز کردیتی ہوں،میں چاہوں گی کہ میں کبھی ان کو نہ دیکھوں اورجب میں کالج جاتی ہوں تو ان کو دوبارہ نہ دیکھنے کا پلان بناتی ہوں۔ کیا میرے لیے ان سے نفرت کرنا غلط ہے؟ براہ کرم، مجھے مشورہ دیں کہ میں کیا کروں؟ والدین سے نفرت کرنا بہت غلط ہے،لیکن جب چاہیں وہ اپنے بچوں کی پٹائیں کریں یہ بھی درست نہیں ہے۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>
	Fatwa ID: 040-058/M=2/1438<br>
	والدین سے نفرت کرنا بہت برا ہے، شریعت اسلام میں ماں باپ کا درجہ بہت بلند ہے قرآن میں ہے کہ : ”تم والدین کو اُف بھی نہ کہو اور ان کو نہ جھڑکو“ اور حدیث میں فرمایا گیا کہ باپ کی خوشی میں اللہ کی خوشی ہے اور باپ کی ناراضگی میں اللہ کی ناراضگی ہے اور ایک روایت میں ہے کہ: ”باپ جنت کے دروازوں میں سے بیچ کا درواوزہ ہے تم چاہے اس کی حفاظت کرلو یا اس کو ضائع کردو“ ماں باپ کو محبت و عظمت کی نظر سے دیکھنا بھی کار ثواب ہے اس لیے آپ نے اپنے والد کے تئیں اپنے دل میں جو نفرت بٹھائی ہے اس کو نکال دیں، ان کو محبت کی نظر سے دیکھیں، جس کام سے ان کو غصہ آتا ہو اس سے بچیں، جائز اور مباح امور میں ان کی اطاعت کو لازم سمجھیں، سر پر دوپٹہ یا اسکارف نہ ہونے کی بنا پر والد صاحب پٹائی کردیتے ہیں تو آپ سر پر دوپٹہ وغیرہ رکھنے کا اہتمام کریں یہ صحیح ہے کہ والد صاحب کو معمولی معمولی باتوں پر پٹائی نہیں کرنی چاہئے بسا اوقات اس کا اولاد پر منفی اثر پڑتا ہے لیکن جب آپ کو والد صاحب کا مزاج معلوم ہے تو ان کے مزاج کے خلاف کرکے اپنے لیے پریشانی نہ مول لیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",69736,deoband,معاشرت,اخلاق و آداب
01-Sep-2020,https://darulifta-deoband.com/home/ur/rights-etiquettes/69143,ميرے گھر والے مجھے كچھ دیں تو كیا میں اكیلے كھاسكتی ہوں؟,حدیث شریف ہے کہ بہن کے گھر جاوٴ تو اپنی استطاعت کے مطابق کچھ لے کر جاوٴ کیونکہ بہنوں کا تم پر حق ہے، اگر میرے بھائی یا والدین آکر مجھے پیسے دیں عیدی وغیرہ تو ان پر صرف میرا حق ہے یا ساس، سسر اور شوہر کا بھی حق ہے؟ اگر کوئی کھانے پینے کی چیز لے کر آئے جیسے برگر وغیرہ جوکہ وہ جانتے ہوں کہ مجھے پسند ہے لیکن میرے گھر والے مجھے لاکر نہیں دیتے، تو ایسی چیزیں اگر وہ کبھی کبھار میرے لیے لے آئیں تو کیا یہ غلط ہے؟ اور کیا اگر وہ میں اکیلے کھانا چاہوں تو اس پر میرا حق ہے یا نہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 957-771/D=11/1437

حدیث شریف میں صلہ رحمی کی ترغیب آئی ہے جس میں بھائی بہن بھی شامل ہیں، البتہ سوال میں مذکورہ الفاظ میری نظر سے نہیں گذرے۔ 
آپ کے بھائی یا والدین آپ کو جو کچھ عیدی پیسے وغیرہ دیں اس پر آپ ہی کا حق ہے کسی اور کا نہیں، اور جو چیز وہ آپ کے لیے لائیں وہ بھی آپ ہی کی ہے آپ تنہاء اس کو استعمال کرسکتی ہیں البتہ اگر اخلاقا شوہر وغیرہ کو بھی دیدیں تو کوئی حرج نہیں، بلکہ بہتر ہے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",69143,deoband,معاشرت,اخلاق و آداب
01-Sep-2020,https://darulifta-deoband.com/home/ur/rights-etiquettes/69085,اذان کے وقت بستر پر لیٹ کے اس کا جواب دے سکتے ہیں کیا؟,میرا سوال یہ ہے کہ اذان کے وقت بستر پر لیٹ کے اس کا جواب دے سکتے ہیں کیا؟ یا بستر سے اٹھ کر بیٹھ کے اذان کا جواب دینا چاہئے؟ آپ ذرا حدیث کی روشنی میں بتائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>
	Fatwa ID: 944-764/D=11/1437<br>
	<br>
	لیٹ کر بھی اذان کا جواب دے سکتے ہیں جائز ہے قرآن میں ہے اَلَّذِیْنَ یَذْکُرُوْنَ اللّٰہَ قِیَاماً وَّقُعُوْداً وَّعَلیٰ جُنُوْبِہِمْ الایة (پ: ۴/ آل عمران: ۱۹۱) البتہ بیٹھ کر جواب دینا بہتر اور ادب کے موافق ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",69085,deoband,معاشرت,اخلاق و آداب
30-Aug-2020,https://darulifta-deoband.com/home/ur/rights-etiquettes/69039,كیا بیت الخلاء میں دل ہی دل میں استغفار کرسکتے ہیں؟,میرے ایک دوست نے یہاں کی کسی بھری جامع مسجد میں وہاں کے خطیب سے بیان میں سنا کہ بیت الخلاء میں دل ہی دل میں استغفار کرسکتے ہیں، کیا ایسا کرنا جائز ہے؟ برائے مہربانی رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>
	Fatwa ID: 1233-1199/H=11/1437<br>
	<br>
	خطیب صاحب نے ٹھیک کہا جامع الفتاوی مدلّل جلد ثالث میں ہے ”دل میں خیال سے ذکر کر سکتا ہے اھ “ ص/۱۲۰ (مطبوعہ مکتبہ رائیونڈ لاہور) اور بجائے دل دل میں ذکر کرکے اگر اپنے اندر عیوبِ باطنہ کی گندگی کا استحضار ذہن میں جمایا کرے تو بہتر معلوم ہوتا ہے تاکہ تکبر بڑے پن جیسے امراض سے نجات حاصل کرنے میں یہ استحضار معین بن جائے، اِس استحضار سے ان شاء اللہ فائدہ کی توقع زیادہ ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",69039,deoband,معاشرت,اخلاق و آداب
01-Sep-2020,https://darulifta-deoband.com/home/ur/rights-etiquettes/67118,میری ساس کا بیٹا بہت بد اخلاقی سے پیش آتاہے كیا قطع تعلق كی گنجائش ہے؟,میری ساس جو میری سگی خالہ بھی لگتی ہیں ان سے ان کا بیٹا بہت بد اخلاقی سے پیش آتاہے ، اپنی امی کو خنزیر تک کہہ دیتاہے ، میں نے اسے بہت سمجھانے کی کوشش کی کہ آخرت میں بہت پکڑ ہوگی مگر اس کی بد اخلاقی بڑھتی جارہی ہے ، اب مجبوراً میں نے اور میری بیوی نے اس سے قطع تعلق کرلیا ہے کہ جب تک ماں سے معافی نہیں مانگتا ، کیا اس طرح قطع تعلق جائز ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1153-1230/L=11/1437

صورت مسئولہ میں اگر آپ کے خالہ کا لڑکا واقعی بد اخلاق ہے اور سمجھانے پر بھی وہ اصلاح نہیں کرتا تو اصلاح کی نیت سے عارضی طور پر اس سے قطع تعلق کی گنجائش ہے․ قال تعالی: ولا ترکنوا إلی الذین ظلموا فتمسکم النار الآیة 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",67118,deoband,معاشرت,اخلاق و آداب
