issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/the-holy-quran/174275,"सूरह अत तौबा [9], आयत - 5","अतः जब सम्मानित महीने बीत जायें, तो मिश्रणवादियों (मुश्रिकों) का वध करो, उन्हें जहाँ पाओ और उन्हें पकड़ो और घेरो और उनकी घात में रहो। फिर यदि वे तौबा कर लें और नमाज़ की स्थापना करें तथा ज़कात दें, तो उन्हें छोड़ दो। वास्तव में, अल्लाह अति क्षमाशील, दयावान् है। यह आयत का जिसने भी तर्जुमा किया हे उसे मे पेह्ले कहा हे के (अतः जब सम्मानित महीने बीत जायें, तो मिश्रणवादियों (मुश्रिकों) का वध करो,) आप ह्मे ये बताए के अगर वध कर दे तो बाद मे जो कहा गया हे उस्का कुच्छ मतलब नहि हो ता हे (क्या वध के बाद यह हो सक्ता हे ? (उन्हें जहाँ पाओ और उन्हें पकड़ो और घेरो और उनकी घात में रहो। फिर यदि वे तौबा कर लें और नमाज़ की स्थापना करें तथा ज़कात दें, तो उन्हें छोड़ दो। वास्तव में, अल्लाह अति क्षमाशील, दयावान् है।))","<p>بسم الله الرحمن الرحيم</p><p> </p><p>
	<strong>Fatwa ID: 221-87T/SN=04/1441</strong></p><p>
	आयत का आख़री हिस्सा शुरू हिस्से की ग़ायत है यानी आयत में जो क़त्ल वगैरा का हुक्म दिया गया है यह हुक्म उस वक़्त तक जारी रहेगा जब तक उनकी तरफ से तौबा वगैरा ना पाई जाए, अगर वह तौबा कर लेते हैं और नमाज़ पढ़ने लगते हैं तो फिर यह हुक्म उनके हक़ में बाक़ी ना रहेगा;जैसे कोई बादशाह यह हुक्म सादिर करे कि बाग़ियों को जहाँ पाओ क़त्ल करो;हाँ अगर कोई हथियार डाल दे तो फिर उसे छोड़ दो, ज़ाहिर है कि इस कलाम के शुरू और अख़ीर में कोई तआरुज़ (टकराव) नहीं है, यह एक मुहावरा है। वाज़ेह रहे कि यह आयतें उन कुफ्फार व मुश्रिकीन के हक़ में नाज़िल हुई हैं, जिन्होंने मुसलमानों के साथ मुआहिदा करने के बाद मुआहिदा तोड़ा था;लिहाज़ा मुआहिद या मुस्तामिन कुफ्फार व मुश्रिकीन को इस पर क़्यास न किया जाए।</p><p>
	आयत की मज़ीद तफसील के लिये मुआरिफुल क़रआन (4/304, प्रकाशित:कराची) से मुतल्लिक़ा आयत की तफसीर देख लें, इंशाअल्लाह मुकम्मल तशफ्फी हो जाएगी।</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",174275,deoband,عقائد و  ایمانیات,قرآن کریم
01-Sep-2020,https://darulifta-deoband.com/home/ur/the-holy-quran/174257,قرآن دکان میں رکھا تھا ، وہ مل نہیں رہا ہے ، اس کا فدیہ کیا بنتاہے؟,قرآن دکان میں رکھا تھا ، وہ مل نہیں رہا ہے ، اس کا فدیہ کیا بنتاہے؟ براہ کرم، رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 186-115/SN=02/1441</span></p><p dir=""RTL"">
	صورت مسئولہ میں آپ پر کوئی فدیہ وغیرہ واجب نہیں ہے، آپ غور کریں کہ کسی نے دکان سے قرآن اٹھایا تو نہیں ہے، نیز یہ بھی ممکن ہے کہ بے خیالی میں کوئی سامان اس کے اوپر رکھ دیا گیا ہو؛ اس لئے وہ نظر نہ آرہا ہو، بہرحال اچھی طرح تلاش کرلیں، اگر اس سلسلے میں آپ کو اپنی کوئی کوتاہی سمجھ میں آئے تو اس پر توبہ و استغفار کرلیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",174257,deoband,عقائد و  ایمانیات,قرآن کریم
01-Sep-2020,https://darulifta-deoband.com/home/ur/the-holy-quran/174221,تین مرتبہ سورہٴ اخلاص پڑھنے كا ثواب ایك ساتھ پڑھنے میں ہے یا الگ الگ پڑھنے سے بھی حاصل ہوجائے گا؟,امید ہے مزاج بخیر ہوں گے۔ مولانا میں یہ جاننا چاہ رہا تھا سورہ اخلاص کے تعلق سے کہ تین مرتبہ سورہ اخلاص پڑھنے کے بعد ایک قرآن مجید پڑھنے کا ثواب حاصل ہوتا ہے اس تعلق سے میرا پہلا سوال یہ ہے کہ کیا ایک وقت میں تین مرتبہ سورہ اخلاص پڑھنے سے ہی ایک قرآن مجید پڑھنے کا ثواب ملتا ہے یا الگ الگ وقت میں پڑھنے سے بھی یہ ثواب حاصل ہوتا ہے؟ دوسرا سوال یہ ہے کہ کیا الگ الگ نمازوں میں بھی سورہ اخلاص پڑھنے پر ایک قران مجید پڑھنے کا فائدہ حاصل ہوگا؟ برائے مہربانی جلد جواب سے مطمئن فرمائی۔ شکریہ نیز مولانا میرے اور میرے خاندان بھائی بہنوں وسبھی جملہ رشتہ داروں نیز دوستوں کی صحت وعافیت نیز پریشانیوں سے بچنے کے لئے اور سبھی کے ایمان کی سلامتی کے لئے خصوصی دعا کی درخواست ہے۔ ساتھ ہی والد صاحب کی صحت اور والدہ محترمہ کی مغفرت کے ساتھ ساتھ دادا دادی نانا نانی نیذ تمام مرحومین کی مغفرت کے لئے خصوصی دعا کی بھی درخواست ہے۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:155-131/N=3/1441</span></p><p dir=""RTL"">
	(۱): سورہ اخلاص کا مذکورہ بالا ثواب دونوں صورتوں میں حاصل ہوگا۔</p><p dir=""RTL"">
	عن ابن عباس وأنس بن مالک رضي اللہ عنھم قالا: قال رسول اللہ صلی اللہ علیہ وسلم: ”إذا زلزلت تعدل نصف القرآن وقل ھو اللہ أحد تعدل ثلث القرآن وقل یا أیھا الکفرون تعدل ربع القرآن“، رواہ الترمذي (مشکاة المصابیح، کتاب فضائل القرآن، ص: ۱۸۸، ط: المکتبة الأشرفیة، دیوبند)۔</p><p dir=""RTL"">
	(۲): جی ہاں! یہاں بھی دونوں صورتوں میں مذکورہ ثواب حاصل ہوگا۔</p><p dir=""RTL"">
	(۳): اللہ تعالی آپ کے جملہ مقاصد حسنہ میں کام یابی عطا فرمائیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",174221,deoband,عقائد و  ایمانیات,قرآن کریم
01-Sep-2020,https://darulifta-deoband.com/home/ur/the-holy-quran/174214,۳/ بار سورہ اخلاص پڑھنے كی فضیلت ایک ساتھ پڑھنے کی صورت میں ہے یا الگ الگ اوقات میں بھی؟ اگر الگ الگ نمازوں میں تین مرتبہ سورہ اخلاص پڑھی جائے تو ایک قرآن کا ثواب ملے گا یا نہیں؟,امید ہے مزاج بخیر ہوں گے، مولانا میں یہ جاننا چاہ رہا تھا سورہ فلق کے تعلق سے کہ تین مرتبہ سورہ فلق پڑھنے کے بعد ایک قرآن مجید پڑھنے کا ثواب حاصل ہوتا ہے اس تعلق سے میرا پہلا سوال یہ ہے کہ کیا ایک وقت میں تین مرتبہ سورہ فلق پڑھنے سے ہی ایک قرآن مجید پڑھنے کا ثواب ملتا ہے یا الگ الگ وقت میں پڑھنے سے بھی یہ ثواب حاصل ہوتا ہے؟ دوسرا سوال یہ ہے کہ کیا الگ الگ نمازوں میں بھی سورہ فلق پڑھنے پر ایک قران مجید پڑھنے کا فائدہ حاصل ہوگا؟ برائے مہربانی جلد جواب سے مطمئین فرمائیں۔ شکریہ نیز مولانا میرے اور میرے خاندان بھائی بہنوں وسبھی جملہ رشتہ داروں نیز دوستوں کی صحت وعافیت نیز پریشانیوں سے بچنے کے لئے اور سبھی کے ایمان کی سلامتی کے لئے خصوصی دعا کی درخواست ہے۔ ساتھ ہی والد صاحب کی صحت اور والدہ محترمہ کی مغفرت کے ساتھ ساتھ دادا دادی نانا نانی نیذ تمام مرحومین کی مغفرت کے لئے خصوصی دعا کی بھی درخواست ہے۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:154-130/N=3/1441</span></p><p dir=""RTL"">
	(۱): تہائی قرآن کے ثواب کی فضیلت سورہ اخلاص کے بارے میں ہے نہ کہ سورہ فلق کے بارے میں، آپ نے سورہ فلق کا نام کہاں پڑھ لیا؟ بہر حال سورہ اخلاص فضیلت میں ایک تہائی قرآن کے برابر ہے؛ لہٰذا اگر کوئی شخص تین بار سورہ اخلاص پڑھے گا تو اُسے تین تہائی یعنی: ایک قرآن کا ثواب ملے گا۔ اور یہ فضلیت ایک وقت میں پڑھنے اور الگ الگ اوقات میں پڑھنے دونوں کو شامل ہے۔</p><p dir=""RTL"">
	عن ابن عباس وأنس بن مالک رضي اللہ عنھم قالا: قال رسول اللہ صلی اللہ علیہ وسلم: ”إذا زلزلت تعدل نصف القرآن وقل ھو اللہ أحد تعدل ثلث القرآن وقل یا أیھا الکفرون تعدل ربع القرآن“، رواہ الترمذي (مشکاة المصابیح، کتاب فضائل القرآن، ص: ۱۸۸، ط: المکتبة الأشرفیة، دیوبند)۔</p><p dir=""RTL"">
	(۲): جی ہاں! اگر الگ الگ نمازوں میں سورہ اخلاص پڑھی جائے تو بھی ہر مرتبہ ایک تہائی قرآن کا ثواب ملے گا اور ۳/ تعداد پوری ہونے پر مکمل ایک قرآن کا ثواب ہوجائے گا۔</p><p dir=""RTL"">
	(۳): اللہ تعالی آپ کے جملہ مقاصد حسنہ میں کام یابی عطا فرمائیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",174214,deoband,عقائد و  ایمانیات,قرآن کریم
01-Sep-2020,https://darulifta-deoband.com/home/ur/the-holy-quran/174094,سورہ الکوثر کے كیا فضائل ہیں؟,امید ہے مزاج بخیر ہوں گے۔ مولانا میں سورہ الکوثر کے تمام منقول فضائل جاننا چاہتا ہوں ۔برائے مہربانی مجھے تمام فضائیل سے آگاہ کریں بڑی نوازش ہوگی۔ شکریہ,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 166-134/D=03/1441</span></p><p dir=""RTL"">
	قرآن کریم کی تمام آیتوں اور تمام سورتوں سب سے بڑی فضیلت یہ ہے کہ وہ اللہ تعالی کاکلام ہے کلام الملوک ملوک الکلام۔ احادیث شریف میں قرآن کریم کی ہر آیت یا ہر سورت کے فضائل منقول نہیں ہیں اسی بنا پر سورہ کوثر کے بھی فضائل الگ سے نہیں منقول ہیں پورے قرآن کے جو فضائل ہیں وہ اس سورت کے لئے بھی ہیں۔</p><p dir=""RTL"">
	البتہ اس سورت کی شان نزول کے سلسلہ میں وارد ہے کہ آنحضرت صلی اللہ علیہ وسلم کی پسری (نرینہ) اولاد نہ رہنے کے سبب بعض کفار نے آپ کو العیاذ باللہ! ابتر مقطوع النسل ہونے کا طعنہ دیا تو اللہ تعالی نے اس سورت کے ذریعہ رسول اللہ صلی اللہ علیہ وسلم کو آخرت میں خیر کثیر یا حوض کوثر دیئے جانے کی بشارت سنائی۔</p><p dir=""RTL"">
	اور دنیا میں بھی یہ بشارت دی گئی کہ صرف نرینہ اولاد کے نہ رہنے سے آپ کو مقطوع النسل یا مقطوع الذکر کہنے والے حقائق سے بے خبر ہیں آپ کی نسل نسبی بھی ان شاء اللہ دنیا میں تاقیامت باقی رہے گی اگرچہ دختری اولاد سے ہو اور نسل معنوی یعنی آپ صلی اللہ علیہ وسلم پر ایمان لانے والے مسلمان جو درحقیقت نبی کی اولاد معنوی ہوتے ہیں وہ تو اس کثرت سے ہوں گے کہ پچھلے تمام انبیاء کی امتوں سے بڑھ جائیں گے اور اس میں رسول اللہ صلی اللہ علیہ وسلم کا اللہ کے نزدیک مقبول اور مکرم و معظم ہونا بھی مذکور ہے۔ مزید تفصیل کے لئے معارف القرآن آخری جلد کا مطالعہ کریں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",174094,deoband,عقائد و  ایمانیات,قرآن کریم
30-Aug-2020,https://darulifta-deoband.com/home/ur/the-holy-quran/173991,سورة طلاق کی آیت نمبر ۲ اور۳ کو اکثر لوگ انٹرنیٹ میں ہزاردینار والی آیتیں کہتے ہیں، كیا یہ صحیح ہے؟,سورة طلاق کی آیت نمبر ۲ اور۳ کو اکثر لوگ انٹرنیٹ میں ہزاردینار والی آیتیں کہتے ہیں، کہتے ہیں کہ اس آیت کے ورد کرنے سے ساری مشکل حل ہوسکتی ہے؟کیا یہ درست ہے؟ اور اس کی تعداد اوروظیفہ کے حوالے سے رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p align=""right"">
	Fatwa : <span dir=""RTL"">206-167</span>/H=<span dir=""RTL"">02/1441</span></p><p dir=""RTL"">
	انٹرنیٹ کے حوالہ سے جو کچھ آپ نے نقل کیا ہے ہم نے وہ کسی کتاب میں نہیں دیکھا۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",173991,deoband,عقائد و  ایمانیات,قرآن کریم
01-Sep-2020,https://darulifta-deoband.com/home/ur/the-holy-quran/173967,کسی آیت کا ترجمہ وتفسیر وہاٹس ایپ وغیرہ پر شیئر کرنے کا حکم,مولانا تقی عثمانی کی قرآن شریف کی لکھی ہوئی تفسیر انٹرنیٹ سے لے کر کسی آیت کا ترجمہ اور تفسیر انہی کی لکھی ہوئی واٹس ایپ پر شیئر کرسکتے ہیں؟ میں اس کے لیے اسلام 360اپلیکیشن استعمال کرتاہوں، کیایہ عام مسلمانوں کے لیے جائز ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:133-185/N=3/1441</span></p><p dir=""RTL"">
	(۱): حضرت مولانا محمد تقی عثمانی مدظلہ ، پاکستان کے ایک معتبر عالم دین ہیں؛ لہٰذا آپ ، کسی آیت کا ترجمہ وتفسیر، موصوف کے آسان ترجمہ قرآن پاک یا معارف القرآن کے انگلش ترجمہ سے وہاٹس ایپ وغیرہ پر شیئر کرسکتے ہیں؛ البتہ صرف ترجمہ شیئر نہ کریں۔</p><p dir=""RTL"">
	(۲): اسلام ۳۶۰نامی ایپ میں مختلف مکاتب فکر کی چیزیں جمع کی گئی ہیں، جن میں صحیح مکتب فکر کی تعیین عوام کے لیے آسان نہیں، نیز اس میں بہت سی چیزیں ویڈیو کی شکل میں ہیں؛ اس لیے اسلام ۳۶۰نامی ایپ سے علی الاطلاق استفادے کی حمایت نہیں کی جاسکتی بالخصوص عام مسلمانوں کے حق میں، جو صحیح اور غلط میں بآسانی امتیاز نہیں کرسکتے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",173967,deoband,عقائد و  ایمانیات,قرآن کریم
01-Sep-2020,https://darulifta-deoband.com/home/ur/the-holy-quran/173913,بستے یا جزدان میں قرآن ركھ كر پیچھے یا نیچے ٹكانا,بعض حضرات کو دیکھا کے وہ قرآن شریف کو بستے میں رکھتے ہیں اور اس بستے کو پیٹھ کے پیچھے رکھتے ہیں ایسا کرنا کیسا ہے ؟ قرآن کو بستے کے اندر پیٹھ کے پیچھے رکھنا؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 161-127/M=02/1441</span></p><p dir=""RTL"">
	قرآن شریف کا جس قدر احترام کیا جائے، بہتر ہے، بوقت ضرورت و عذر قرآن شریف کو بستے میں رکھنا اور اس بستے کو پیٹھ کے پیچھے رکھنا، ناجائز نہیں ہے، لیکن عام حالات میں قرآن شریف کو پیٹھ پیچھے رکھنے سے بچنا چاہئے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",173913,deoband,عقائد و  ایمانیات,قرآن کریم
01-Sep-2020,https://darulifta-deoband.com/home/ur/the-holy-quran/173903,بچے کے حافظ قرآن ہونے پر دعوت کا حکم,آپ حضرات میں بڑا کام کررہے ہیں، ماشاء اللہ، اللہ جزائے خیر دے۔ (۱) میرا بیٹا حافظ قرآن بننے والا ہے ، ان شاء اللہ، حافظ بننے کی خوشی میں (استعداد ہے) رشتہ داروں کو بلا کر دعوت کرنا چاہتے ہیں ، کیا یہ جائز ہے؟ اگر کرسکتے ہیں تو کونسی چیزوں سے پرہیز کرنا چاہئے؟ (۲) میرے ایک دوست کو الحمد للہ، ایک بیٹی ہوئی ہے، عظمی صدیقہ نام رکھاہے، اس کا معنی بتادیں، نیز بتائیں کہ یہ نام کیسا ہے؟ اس نوزائدہ بچی کے لیے دعا کی درخواست ہے۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:172-146/N=3/1441</span></p><p dir=""RTL"">
	(۱): جی ہاں! بچے کے حافظ قرآن ہونے پر خوشی ومسرت میں دوست واحباب اور رشتہ داروں کو بلاکر کھانے کی دعوت کرسکتے ہیں، فی نفسہ اس میں کچھ حرج نہیں ؛ البتہ اس میں درج ذیل باتوں کا خیال رکھیں:</p><p dir=""RTL"">
	الف:صرف استطاعت کے بہ قدر لوگوں کو مدعو کریں۔</p><p dir=""RTL"">
	ب: غریب لوگوں کو بھی مدعو کریں، مثلاً کسی مدارس کے غریب طلبہ۔</p><p dir=""RTL"">
	ج: کھانے میں اسراف نہ کیا جائے۔</p><p dir=""RTL"">
	د: اگر عورتیں بھی مدعوہوں تو ان کا مردوں سے الگ باپردہ انتظام کیا جائے۔</p><p dir=""RTL"">
	ھ: دعوت میں آنے والے حضرات سے کوئی ہدیہ یا تحفہ قبول نہ کیا جائے۔</p><p dir=""RTL"">
	اور اگر آپ دعوت کے بجائے صرف مٹھائی تقسیم کرادیں تو یہ زیادہ بہتر ہے؛ کیوں کہ عام طور پر لوگ طبیعت کے کچے ہوتے ہیں اور استطاعت نہ ہونے کے باوجود محض دیکھا دیکھی یا شرما حضوری وغیرہ میں اس طرح کی دعوتوں کا اہتمام والتزام شروع کردیتے ہیں، پھر اس طرح کی دعوتیں رسم بن کر مصیبت ہوجاتی ہیں۔</p><p dir=""RTL"">
	(۲): عظمی صدیقہ، اچھا نام ہے، اس کے معنی ہیں: (دین کے اعتبار سے) بڑی شان والی اور خوب سچ بولنے والی۔ اللہ تعالی آپ کے دوست کی بیٹی کو ماں باپ کے لیے آنکھوں کی ٹھنڈک اور امت کے لیے دین کا داعیہ بنائے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",173903,deoband,عقائد و  ایمانیات,قرآن کریم
01-Sep-2020,https://darulifta-deoband.com/home/ur/the-holy-quran/173573,کسی سورت کے بیچ میں سے تلاوت شروع کرتے وقت صرف تعوذ پڑھنا؟,قرآن میں جو یہ آیت ہے فَإِذَا قَرَأْتَ الْقُرْآنَ فَاسْتَعِذْ بِاللَّہِ مِنَ الشَّیْطَانِ الرَّجِیمِ اس میں تلاوت سے پہلے تعوذ پڑھنے کی تلقین ہے ، میرا سوال یہ ہے کہ جب ہم قرآن کی کسی سورت کے بیچ میں سے تلاوت شروع کرتے ہیں تو پہلے تعوذ پڑھتے ہیں پھر بسم اللہ الرحمن الرحیم پڑھتے ہیں۔ تو کیا قرآن کی سورت کے بیچ میں بسم اللہ پڑھنا غلط ہے ؟ کیا اس میں کو گناہ یا بدعت کا پہلو تو نہیں ؟ میں نے عرب کے قاریوں کوایسا کرتے دیکھا ہے یعنی جب وہ سورت کے بیچ سے تلاوت کرتے ہیں تو صرف تعوذ پڑھتے ہیں بسم اللہ نہیں پڑھتے ۔ وہ صرف سورت کے شروع میں ہی بسم اللہ پڑھتے ہیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p align=""right"">
	Fatwa : <span dir=""RTL"">109-134</span>/M=<span dir=""RTL"">02/1441</span></p><p dir=""RTL"">
	سورت کے بیچ سے تلاوت شروع کرنے کی صورت میں تعوذ (أعوذ باللہ من الشیطان الرجیم) پڑھنا کافی ہے اس کے بعد تسمیہ (بسم اللہ الرحمن الرحیم) پڑھنا لازم نہیں، اگر پڑھ لے تو اس میں کوئی گناہ نہیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",173573,deoband,عقائد و  ایمانیات,قرآن کریم
