issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/education-upbringing/40269,نو مولود بچے كے كا میں اذان و اقامت كہنا؟,کیا نومولود بچے کے دائیں کان میں اذان اور بائیں کان میں اقامت کہنا سنّت ہے؟ اگر یہ سنّت ہے تو اذان و اقامت کہنے کا طریقہ کیا ہو گا؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1149-1149/M=8/1433

جی ہاں! نومولود بچے کے دائیں کان میں اذان اور بائیں کان میں اقامت کہنا مسنون ہے، اور اس کا مستحب طریقہ یہ ہے کہ بچے کو نہلاکر اس کے کان میں نماز کی اذان واقامت کی طرح اذان واقامت کہہ دی جائے۔ ہکذا في الدر المختار وغیرہ
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",40269,deoband,معاشرت,تعلیم و تربیت
01-Sep-2020,https://darulifta-deoband.com/home/ur/education-upbringing/39465,دین كی بنیادی باتوں كے لیے كتاب كی رہنمائی,حضرت مجھے یہ بتا دیں کہ بنیادی علم جیسے پاکی ناپاکی حلال حرام جائز ناجائز جاننے کے لئے اچھی کتاب کونسی ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 991-991/M=7/1433

تعلیم الاسلام (موٴلفہ حضرت مفتی کفایت اللہ صاحب رحمہ اللہ) دین کی باتیں اور بہشتی زیور (از حضرت مولانا اشرف علی تھانوی رحمہ اللہ) ان کتابوں کا مطالعہ کیجیے اور جو مسئلہ سمجھ میں نہ آئے اسے مقامی کسی مستند معتبر عالم ومفتی صاحب سے سمجھ لیجیے۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",39465,deoband,معاشرت,تعلیم و تربیت
31-Aug-2020,https://darulifta-deoband.com/home/ur/education-upbringing/39321,كم عمر بچے كو تعلیم دلانے كا مسئلہ,کم عمرکے بچہ کو کیسے تعلیم دلائی جائے؟ تفصیل سے بتائیں ۔ یہ بہت اہم بات ہے۔ مجھے کسی کو پڑھانا ہے تو ان کو کیسے پڑھاؤں چونکہ اسلام کے بارے میں بہت تھوڑا جانتاہوں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 965-965/M=6/1433

پہلے دینی تعلیم دلائی جائے، یعنی قرآن ناظرہ وغیرہ پڑھایا جائے، ماثور دعائیں یاد کرائی جائیں، اور اسلامی آداب سکھائے جائیں۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",39321,deoband,معاشرت,تعلیم و تربیت
01-Sep-2020,https://darulifta-deoband.com/home/ur/education-upbringing/39168,بالغہ لڑكیوں كو مرد پڑھا سكتا ہے یا نہیں؟,حضرت میں یہ جان نہ چاہتا ہوں کہ میں گرل اسکول کھولنا چاہتا ہوں جس میں صرف مسلمان بچیوں کو تعلیم دی جائیگی لیکن اس میں جو پڑھانے والے ہونگے وہ مسلم مرد استاد ہونگے کیونکہ مرد کی شکل میں مجھے اچھے استاد آسانی سے مل سکتے ہیں کیوں کہ ہمارے بہار میں اس چیز کی تھوری دقّت ہوتی ہے اچھی عورت ٹیچر کا ملنا۔ اس لئے آپ سے گزارش ہے ہے کہ آپ مجھے قران و حدیث کی روشنی میں جواب مرحمت فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1175-985/B=6/1433

بالغہ لڑکیوں کو پڑھانے کے لیے مردوں کو استاذ رکھنا جائز نہیں ہے، اگر پردہ کے اہتمام کے ساتھ ممکن ہو تو کرسکتے ہیں، اگر معلمات کو آپ تلاش کریں گے تو مل جائیں گی۔ آپ معلمات ہی کے ذریعہ پڑھانے کی کوشش کریں۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",39168,deoband,معاشرت,تعلیم و تربیت
30-Aug-2020,https://darulifta-deoband.com/home/ur/education-upbringing/38883,علم دین حاصل کرنے والا ہی عالم کہلانے کا حق دار ہے,ایک عالم صاحب کے بیان میں میں نے سنا تھا کہ علم صرف دین کا ہوتا ہے۔ دنیا کا علم معلومات اور فنون ہے اس لئے اسے علم نہیں کہنا چاہے۔ جنگ بدر میں جو قیدیوں کو کہا گیا تھا کہ وہ مسلمانوں کو تعلیم دیں۔ چونکہ وو لوگ کفّار تھے تو کیا اس تعلیم سے مراد دنیاوی فنون ہے؟ایک حدیث مشہور ہے کہ علم حاصل کرو خواہ تمھیں چین جانا پڑے، کیا واقعی میں یہ ایک حدیث ہے یا کسی کا قول ہے۔ برایے مہربانی حوالہ دے دیجئے۔ جزاک اللہ,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1001-826/B=6/1433

عالم صاحب نے جو بیان میں کہا وہ بالکل صحیح ہے، علم دین حاصل کرنے والا ہی عالم کہلانے کا حق دار ہے، دنیوی علوم حاصل کرنے والا عالم نہیں ہے، وہ دانشور کہا جاتا ہے۔
جنگ بدر کے قیدی صرف زبان پڑھنا لکھنا سکھاتے تھے، علم دین، یا دنیا کا علم بھی نہیں سکھاتے تھے۔ علم حاصل کرو اگرچہ تمھیں چین جانا پڑے، اس کے بارے میں راجح قول یہی ہے کہ یہ حدیث ہے اگرچہ ضعیف ہے، مطلب یہ ہے کہ چاہے دور جانا پڑے جب بھی علم حاصل کرو اور طلب علم کے لیے سفر طویل کی صعوبت برداشت کرو۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",38883,deoband,معاشرت,تعلیم و تربیت
01-Sep-2020,https://darulifta-deoband.com/home/ur/education-upbringing/38857,حقوق اولاد اور سما جی فرائض,صوم و صلاة کے ساتھ اولاد کے جا ئز حقوق کو ادا نہ کرنا کیا صحیح ہے؟صوم و صلاةکے ساتھ سماجی فرائض کو نظراندازکرناکہاں تک صحیح ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1027-851/B=6/1433

شریعت اسلام میں جہاں صوم وصلاة کی پابندی ضروری ہے اسی طرح اپنی نابالغ اولاد کی پرورش اور ان کے نفقہ کی ادائیگی پھر ان کی شادی کرنا بھی ضروری ہے۔ سماجی فرائض کا مفہوم بہت وسیع ہے ان فرائض کی نشاندہی فرمائیں تو اس کی بابت کچھ تحریر کیا جائے۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",38857,deoband,معاشرت,تعلیم و تربیت
01-Sep-2020,https://darulifta-deoband.com/home/ur/education-upbringing/38455,بچچہ گود لینا,میں انڈیا سے تعلق رکھتاہوں اور کچھ سالوں کے لئے کام کے سلسلے میں امریکا آیا ہوا ہوں، مجھے ایک ۴ سالہ لڑکی بھی ہے اور اب ہم میاں بیوی نے فیصلہ کیا ہے کی یہاں ایک لڑکا جس کو پرورش کی ضرورت ہو، آیا وہ یتیم ہو یا پھر لاوارث ہو، یا جس کے ماں باپ نے اسے پالنے سے انکار کر دیا ہو، گود لیا جائے چاہے کسی بھی مذہب سے تعلق رکھتا ہو، ثواب کی خاطر، اس بارے میں شریعت کی رائے جاننا چاہتا ہوں۔ مہر بانی فرما کر جواب دیں، جزاک اللہ.,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 848-699/B=5/1433

آپ کسی بھی یتیم، یا لاوارث کو گود لے سکتے ہیں، جب آپ مسلمان ہیں تو وہ بچہ بھی مسلمان ہوگا، آپ کی تربیت وہدایت میں رہے گا تو اسلامی زندگی اختیار کرے گا۔ ان شاء اللہ آپ کو ثواب ملے گا۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",38455,deoband,معاشرت,تعلیم و تربیت
01-Sep-2020,https://darulifta-deoband.com/home/ur/education-upbringing/38069,ایک سے زیادہ بچوں ہوں تو سب کے کانوں میں الگ الگ اذان کہی جائے گی، ایک مرتبہ کہنا کافی نہیں۔,۱-اگر ایک سے زائد بچے ہوں تو کیا سب کے کانوں میں الگ الگ اذان و اقامت کہی جائیگی یا ایک مرتبہ کافی ہوگا ؟ اگر ایک ہی کافی ہوگا تو اسکی کیا صورت ہوگی؟ ۲-اور ایک زیادہ مردے ہوں تو تو کیا سب کی نماز الگ الگ ہوگی یا ایک ساتھ ہی سب کی ہو جائیگی کس طرح ؟ ۳- اسی طرح ایک سے زائد نکاح ہو تو کیا سب کا الگ الگ خطبہ اور الگ الگ ایجاب و قبول ہوگا یا کس طرح ؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 599-508/B=5/1433

ایک سے زیادہ بچوں ہوں تو سب کے کانوں میں الگ الگ اذان کہی جائے گی، ایک مرتبہ کہنا کافی نہیں۔
(۲) ایک سے زیادہ جنازے ہوں تو بہتر یہ ہے کہ سب کی نماز جنازہ الگ الگ پڑھی جائے اور یہ بھی جائز ہے کہ ایک ہی ساتھ سب کی پڑھ لی جائے، امام کے سامنے پہلے مرد کا جنازہ اس کے آگے عورت کا جنازہ ہو، اس کے آگے بچے کا جنازہ ہو۔
(۳) ایک سے زائد نکاح ہو تو اس میں بھی بہتر یہ ہے کہ ہرایک کا خطبہ الگ الگ ہو، اور ایجاب وقبول بھی الگ الگ ہو۔ اور یہ بھی جائز ہے کہ خطبہ صرف ایک مرتبہ پڑھ دیا جائے اور ہرایک کا ایجاب وقبول الگ الگ ہو۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",38069,deoband,معاشرت,تعلیم و تربیت
01-Sep-2020,https://darulifta-deoband.com/home/ur/education-upbringing/37933,عقیقہ,مفتی صاحب آپ کے قاعدے کے مطابق آج تقریباً اس سوال کو ڈیڑھ مہینے ہونے جا رہے ہیں اور ابھی تک سوال کا جواب مجھے نہیں ملا ۔ اب میں دوبارہ سوال کر رہا ہوں ۔ امید ہے کہ جلد جواب دینگے۔ اگر کسی لڑکا یا لڑکی کا عقیقہ ۱۰ سال یا ۱۲ سال کی عمر میں کریں تو کیا اسے گنجا ہونا پڑیگا؟ یا اس کے بال کس طرح کاٹیں گے؟ بال کاٹ کر یعنی گنجا کرنا اور اسکے بال کے برابر چاندی صدقہ کرنا ضروری ہے کیا؟ یا اس کی کیا صورت ہوگی؟عقیقہ کے بارے میں پوری طرح وضاحت فرمائیں۔ یعنی ۷ دن کا عقیقہ ہو یا پھر زندگی میں کبھی بھی؟ تو اس صورت میں بال کا کیا مسئلہ ہوگا ؟ مہربانی فرما کر جلد جواب دیں۔ نیز ۲ بچہ جڑوا پیدا ہوئے پھر ۲ مہینے بعد ۴ بکرا انکے عقیقہ کے لئے خرید کر لائے تو اگلے دن عقیقہ کا پروگرام رکھا اور اسی شام کو ۱ بچہ کا انتقال ہو گیا تو اب مردہ بچہ کے نام سے عقیقہ ہوگا یا نہیں؟ کیوں کہ اسی کے نام سے عقیقہ کے لئے بکرے لیے گئے تھے اور مردے کا عقیقہ تو ہوتا نہیں، اب اس صورت میں کیا مسئلہ ہے یعنی زندہ بچہ کا تو عقیقہ ہو جایگا اور باقی ۲ بکرے اپنے استعمال میں لیں یا صدقہ کرنا ضروری ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 705-162/D=5/1433

بچہ کی پیدائش کے ساتویں دن عقیقہ کرنا، اس کے بال اتروانا، اور اس کے بقدر چاندی یا سونا صدقہ کرنا مستحب ہے، واجب اور فرض نہیں۔ پھر چودہویں دن، پھر اکیسویں دن۔ اس کے بعد اگر کرنا ہے تو پیدائش سے ساتویں دن کی رعایت کرلی جائے، ساتویں دن کے بعد عقیقے کے لیے بال اتروانا ثابت نہیں، اگر عقیقے کے لیے جانور خریدا اور پھر بچہ مرگیا تو اس جانور کا جو چاہے کرے، خوداپنے استعمال میں بھی لاسکتا ہے، یستحب لمن وُلِد لہ وَلد أن یسمیہ یوم أسبوعہ ویحلق رأسہ ویتصدق بزنة شعرہ إلخ (شامي: ۹/۴۸۵، ط: زکریا) والعمل علی ہذا عند أہل العلم یستحبون ․․․ فإن لم یتہیأ یوم السابع․․․ وہکذا إلخ․ الترمذي باب ما جاء في العقیقة․

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",37933,deoband,معاشرت,تعلیم و تربیت
31-Aug-2020,https://darulifta-deoband.com/home/ur/education-upbringing/37852,اگر کسی یونیورسٹی میں لڑکیوں کا بالکل الگ سسٹم ہو، اس میں لڑکے نہ ہوں، پڑھانے والیاں بھی لیڈیز ڈاکٹرنی ہوں، تو پھر لیڈی ڈاکٹر بننے کی اجازت ہے۔,میں میڈیکل کالج میں پڑھتی ہوں اور الحمد للہ شرعی پردہ بھی کرتی ہوں، میڈیکل کالج کے ماحول برعکس میں کسی نامحرم سے بلا ضرورت بات نہیں کرتی ہوں، لیکن جب کچھ سمجھ نہیں آتا تو ڈاکٹروں سے پوچھ لیتی ہوں اور میری کوشش ہوتی ہے کہ آواز میں نرمی نہ ہو۔ اس کے علاوہ اگر کبھی پوری کلاس کے سامنے پریزنٹینش (پڑھائی سے متعلق کوئی چیز پیش کش کرنا) ہوتی ہے تو گروپ کی دو سری لڑکیاں دیتی ہیں مگر جب پریزنٹشن امتحان کا حصہ ہوتی ہے تو مجھے دینی پڑتی ہے۔ میں الحمد للہ ، اسلام پرچلنے کی پوری کوشش کرتی ہوں، لیکن میں اس بارے میں پریشانی کا شکار ہوں کہ ان تمام باتوں کے باوجود میرا یونیورسٹی میں پڑھنا جائز ہے ؟لیڈی ڈاکٹر بننے کے لئے میڈیکل کالج میں پڑھنا تو ہوگا۔ جزاک اللہ,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 580-492/B=4/1433

لیڈیز ڈاکٹر بننے کے لیے میڈیکل کالج میں مسلم لڑکیوں کا پڑھنا لڑکوں کے اختلاط کے ساتھ پروفیسروں سے بے پردگی کے ساتھ ہمارے مذہب اسلام میں اس کی اجازت نہیں۔ بے پردگی اور اختلاط سے بہت سارے فتنے کے دروازے کھلتے ہیں، اگر کسی لڑکی نے پڑھ لیا اور لیڈی ڈاکٹر بن گئی تو اپنی بے پردگی اور اختلاط کے باعث گنہ گار ہوکی۔ اگر کسی یونیورسٹی میں لڑکیوں کا بالکل الگ سسٹم ہو، اس میں لڑکے نہ ہوں، پڑھانے والیاں بھی لیڈیز ڈاکٹرنی ہوں، تو پھر لیڈی ڈاکٹر بننے کی اجازت ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",37852,deoband,معاشرت,تعلیم و تربیت
