issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/business/68096,منشیات کا کاروبار کرنا اسکی خرید و فروخت، اسکا منافع کیا حلال ہے ؟,میرا سوال یہ ہے کہ کیا اسلام میں منشیات کا کاروبار جاہز ہے ؟ منشیات میں چرس ہیروہین تریاق وغیرہ۔ اور کیا اسکا منافع جائزہے ؟اور کیا اس منافع سے مجاہدین اسلام کی مالی معاونت ٹھیک رہے گی؟ اگر کاروبار اس نیت سے کی جائے کہ میں صرف اسلام کے مجاہدین کی خدمت کروں گا؟ اللہ آپ لوگوں پر رحم کرے ۔ مہربانی کر کے اس کی تفصیل وضاحت کریں۔تاکہ ہمارا شبہ ختم ہوجائے ؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 982-1001/Sd=1/1438

منشیات، مثلا: چرس، ہیروہین وغیرہ کا کاروبار کرنا شرعا مکروہ ہے خواہ کسی بھی نیت سے کیا جائے اور اس کاروبار سے حاصل شدہ منافع پاکیزہ نہیں ہیں۔ وصح بیع غیر الخمر أي عندہ خلافًا لہما في البیع والضمان لکن الفتویٰ علی قولہ في البیع، ثم إن البیع وإن صح لکنہ یکرہ کما في الغایة۔ (شامي: ۱۰/۳۵ زکریا)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",68096,deoband,معاملات,بیع و تجارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/business/66612,اسلامی شرع کے مطابق خریدار سے کتنا منافع لینا جائز ہے؟,میری اوپٹیکل شاپ (چشمے کی دکان)ہے ، میرا یہ سوال ہے کہ اسلامی شرع کے مطابق خریدار سے کتنا منافع لینا جائز ہے؟ چونکہ گلاسس کے کام میں بہت منافع ہوتا ہے ۔ کیا اتنا منافع ٹھیک ہے ؟ برائے مہربانی میری اصلاح فرمائیں ۔ شکریہ,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 919-919/M=9/1437

شریعت میں نفع لینے کی کوئی حد متعین نہیں ہے جتنا چاہیں نفع لے سکتے ہیں بشرطیکہ جھوٹ نہ بولیں او رگاہک کو دھوکہ نہ دیں، ہاں کسی کی مجبوری سے فائدہ اٹھانا او راتنا زیادہ نفع لینا کہ جس کو عرف میں غبن فاحش سمجھا جاتا ہو یہ مروت کے خلاف ہے اس سے بچنا بہتر ہے۔ الثمن المسي ہو الثمن الذي یسمیہ و یعنیہ العاقدان وقت البیع بالتراضي سواء کان مطابقاً لقیمتہ الحقیقیة أو ناقصاً عنہا أو زائداً علیہا (شرح المجلہ رستم، ط: اتحاد ۱/۷۳) المرابحة بیع بمثل الثمن الأول وزیادة ربح ․․․․ والکل جائز (ہندیہ) 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",66612,deoband,معاملات,بیع و تجارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/business/66554,نیٹ ورکنگ مارکٹنگ کی شرعی حیثیت کیا ہے ؟,کمپنی کا طریقہ کار ، کمپنی کا ایجنٹ بننے کا حکم ،سوال…کیا فرماتے ہیں مفتیان عظام اس مسئلہ کے بارے میں کہ ہم DXN نامی ایک کمپنی میں بحیثیت ڈسٹری بیوٹر کام کر رہے ہیں جو ملائیشین کمپنی ہے اور 156 ممالک بشمول سعودی عرب اور دیگر اسلامی ممالک میں کام کررہی ہے جومختلف بیماریوں کے لیے Mushroom( کھمبی) سے دوائیاں تیار کرتی ہے جو اپنی پروڈکٹس خود تیار کرتی ہے ( کھمبی اگانے سے پیکنگ تک) جس میں کسی قسم کے ٹی وی یا اخبار میں اشتہار نہیں دیے جاتے اور کسی ہول سیلر کے ذریعے بھی سپلائی نہیں کرتے ،بلکہ ڈائریکٹ ڈسٹری بیوٹر تک پہنچاتے ہیں اور پیسے اشتہارات میں لگانے کے بجائے اپنے ڈسٹری بیوٹرمیں تقسیم کرتے ہیں۔ کمپنی کہتی ہے کہ آپ ایک چھوٹی سی خریداری سے ہمارے ڈسٹری بیوٹر بن سکتے ہیں، جس میں آپ کو کمپنی اپنی پروڈکٹ، کمپنی کا فولڈر، معلوماتیسی ڈی، ویلکم لیٹر اور کمپنی کا کارڈ دیتی ہے ۔کمپنی کہتی ہے کہ آپ پہلے خود پروڈکٹس استعمال کریں کہ آیا یہ فائدہ مند ہے یا نہیں؟ مطمئن ہونے کے بعد آپ دوسروں کو بتائیں۔ اگر کسی کو کوئی بیماری ہے ، جیسے کینسر، دل کی بیماری، شوگر اور ان جیسی تمام بیماریوں کا اپنے ذریعے علاج کراسکتے ہیں اور فائدہ حاصل کر سکتے ہیں او راگر کوئی بیروز گار ہے یا کم آمدن سے پریشان ہے تو آپ ان کو بھی اپنے ساتھ شامل کراسکتے ہیں اور جس میں کوئی ٹائم کی پابندی نہیں، آپ فل ٹائم بھی کر سکتے ہیں پارٹ ٹائم بھی۔ اگر کوئی ممبر کسی مریض کا علاج کروانا چاہتا ہے تو پہلے مریض کو ڈاکٹر سے یا کسی سینٹر سے چیک کرواتا ہے او رڈاکٹر سینٹر کی تجویز کردہ پروڈکٹ مریض کو اپنے کارڈ کے ذریعے دلواتا ہے ۔ DXN میں ڈاکٹر بھی موجود ہوتے ہیں او رڈاکٹر فری چیک اپ کرتا ہے ، صرف مریض کو دوائیوں کے پیسے دینے پڑتے ہیں اوراگر کوئی کام کرنا چاہتا ہے DXN کا Distributor بن کر تو اس کو یہ سارا طریقہ کار بتایاجاتا ہے اگر وہ راضی ہو جاتا ہے تو اس کو ممبر بنایا جاتا ہے اگر وہ راضی نہیں ہوتا تو کوئی زور زبردستی نہیں کرتا او رکمپنی ہفتے میں دو سے تین بار نئے آنے والوں کو ٹریننگ بھی دیتی رہتی ہے ، جس میں مارکیٹنگ کرنے کا طریقہ پروڈکس کی معلومات او ربیماریوں کے بارے میں بتایا جاتا ہے ٹرینر پاکستانی بھی ہوتے ہیں اور دیگر ملکوں کے بھی ہوتے ہیں جس میں ملیشیاء اور سعودی عرب کے ٹریز سر فہرست ہیں۔ کمپنی کا بونس دینے کا طریقہ آپ نے پہلی بار کمپنی سے خریداری کی اور 6%کے حصے دار بن گئے مثال کے طور پر ایک پروڈکٹ کی قیمت ہے 1500 اور اس کے پوائنٹ ہیں 20 اور سیل Value ہے 8.45 امریکی ڈالراب اس کی جو سیل Value ہے اس کا 6% آپ کو ملے گا، ہر پروڈکٹ کی الگ الگ قیمت اور سیل Value ہے ، جیسے جیسے آپ کے پوائنٹ پروڈکٹ کو سیل کرنے کی وجہ سے بڑھتے جائیں گے ، آپ کے بونس کا پرسنٹیج بھی بڑھتا جائے گا او رکمپنی ایک ٹارگٹ دیتی ہے کہ آپ نے 100 پوائنٹ ہر مہینے کرنے ہیں اگر 100 پوائنٹ آپ نہیں کر سکے تو آپ کو بونس نہیں ملے گا۔ پوائنٹ(PV) اور پرسنٹیج کی تفصیل 81PV سے 299PV تک 6% سیل Value بونس 300 سے 999 تک 9% 1000 سے 1999 تک 12٪ 2000 سے 3249 تک 15٪ 3250 سے 4449 تک 18٪ 4500 تک(Star Agent) 25% یہاں کمپنی ایک عہدہ دیتی ہے (اسٹار ایجنٹ) اگر اس کے علاوہ اور ترقی کرنا چاہتے ہیں تو اپنی ٹیم بنا کر اور آگیجاسکتے ہیں اگر آپ نے اپنے ساتھ کسی کو شامل کر لیا تو وہ جتنے پوائنٹ کرے گا اس کو بونس نہیں بلکہ اس کے پوائنٹ آپ کو بھی ملیں گے Group Point کی صورت میں ٹیم کی تفصیل آپ کے Team Members جتنے پوائنٹ کریں گے اتنے ہی آپ کے پاس add ہو جائیں گے ، مگر جب تک آپ کے ذاتی 100 پوائنٹ نہیں ہوں گے ، آپ کو بونس نہیں ملے گا۔ یہ ہے ہماری کمپنی کا طریقہ کار۔ برائے مہربانی راہ نمائی فرمائیں کہ یہ کار وبار کا طریقہ اسلام میں جائز ہے کہ نہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1215-1190/L=01/1438

فی نفسہ کمپنی سے جُڑ کر کام کرنے اور خریداری کی زیادتی کے سبب زیادہ سے زیادہ مراعات حاصل کرنے میں مضایقہ نہیں، اسی طرح اگر کمپنی زیادہ خریداری پر بونس پوائنٹ دے تو اس کے لینے میں بھی کوئی حرج نہیں یہ کمپنی کی طرف سے تبرع اور انعام شمار ہوگا؛ البتہ اس کاروبار میں کسی کو شامل کرنے کی صورت میں اس کی خریداری کا بونس خود اس کو نہ مل کر شامل کرنے والے کو ملنا یہ شرعی اصول کے خلاف ہے بالعموم اس طرح کی کمپنیوں کا طریقہ کار مخلوط جائز و ناجائز پر مشتمل ہوتا ہے اور ان کے ساتھ مل کر کام کرنے میں آدمی اصولِ شرع کی رعایت نہیں کر پاتا اس لیے احتیاط بچنے میں ہی ہے باقی اگر کوئی جُڑ کر کام کرے اور خلافِ شرع امور سے اجتناب کرے تو اس طرح کام کرنے میں کوئی حرج نہیں ہے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",66554,deoband,معاملات,بیع و تجارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/business/66531,کیا یہ بات درست ہے کہ ہمیں بلی خریدنا اور بیچنا نہیں چاہئے؟,(۱) کیا یہ صحیح بات ہے کہ نبی اکرم صلی اللہ علیہ وسلم کے پاس ایک بلی تھی جس کا نام معزہ تھا؟میں نے انٹرنیٹ میں تلاش کیا تھا تو مجھے اس بارے میں مختلف کہانیاں ملیں۔ میں جانتاہوں کہ آپ صلی اللہ علیہ وسلم بلی پسند کرتے تھے اور آپ نے عبدا لرحمن کا نام ابو ہریرہ رکھا۔ براہ کرم، اس بارے میں کچھ وضاحت فرمائیں۔ (۲) کیا آپ صلی اللہ علیہ معزہ نامی بلی رکھتے تھے؟اور یہ بلی کس نسل سے تھی تاکہ میں اس پر عمل کرسکوں؟ (۳) کیا یہ بات درست ہے کہ ہمیں بلی خریدنا اور بیچنا نہیں چاہئے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: 926-916/H=9/1437</span></p><p dir=""RTL"">
	&nbsp;</p><p dir=""RTL"">
	(۱،۲) معزہ نامی بلی کا اپنے پاس حضرت نبی اکرم صلی اللہ علیہ وسلم کا رکھنا نیز یہ کہ وہ بلی کس نسل سے تھی؟ ہمیں ان امور کی تحقیق کہیں دیکھنا مستحضر نہیں ہے آپ بلی پالنا چاہیں تو کسی بھی قسم کی بلی پال لیں ان شاء اللہ اپنی نیت کے اعتبار سے اجرو ثواب کے مستحق ہوں گے۔</p><p dir=""RTL"">
	(۳) فی نفسہ بلی کا خریدنا او ربیچنا ممنوع نہیں ہے بلکہ اس کی خریدو فروخت جائز ہے کتب فتاویٰ مثل فتاویٰ عالمگیری وغیرہ میں صراحت ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",66531,deoband,معاملات,بیع و تجارت
31-Aug-2020,https://darulifta-deoband.com/home/ur/business/66397,بیانہ واپس نہ کرنا,حضرت مفتی صاحب، میں نے ایک موٹر کار فروخت کی 715000 روپئے میں، خریدنے والے نے 10000 بیانہ دیکر 20دن کا وقت لیا جب 20 دن گزر گے تو اس نے 5 دن کا اور وقت مانگ لیا جب اور 5دن گزر گئے تو پھر آکر بہانے بنانے لگا اور کہنے لگا میں کار نہیں لیتا جب کہ ان دنوں میری کار کا اور جگہ بھی سوا ہونے والا تھا۔ اب پتہ یہ کرنا ہے کہ اس کو بیانہ 10000 واپس کرو یا نہیں یااس میں سے کچھ کاٹ لوں؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 747-601/D=9/1437

خریداری کا کوئی معاملہ کرلینے کے بعد اسے ختم کرنا دونوں فریق کی رضامندی سے جائز ہے شریعت کی اصطلاح میں اسے ” اقالہ“ کہتے ہیں۔ اگر خریدار کو اپنی خریداری پر افسوس ہورہا ہے یا بعد میں یہ محسوس ہو رہا ہے کہ ہمیں اس سامان کی ضرورت نہیں ہے اس لیے واپس کرنا چاہ رہا ہے تو ہمدردی کے جذبہ سے سامان واپس لینا مستحب اور بائع کے لیے باعث ثواب ہے۔ حدیث میں آتا ہے من أقال مسلما بیعتہ أقال اللہ عثرتہ رواہ ابوداوٴد، یعنی جس شخص نے کسی مسلمان کی بیع (سودا) واپس لے لیا اللہ تعالی اس کی لغزشوں کو معاف فرما دیں گے، لیکن بیانہ کے طور پر جو رقم لی گئی ہے اسے واپس کرنا ضروری ہوگا کل یا بعض کا رکھنا جائز نہیں۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",66397,deoband,معاملات,بیع و تجارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/business/65550,کام کرنے سے پہلے مزدوری دینا کیسا ہے؟,کسی پیشہ ور مزرور کو کسی طے شدہ کام کی اجرت اس کام کے کرنے سے پہلے دے دینا صحیح (جائز ) ہے یا نہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 843-832/H=8/1437

پہلے مزدوری دیدینا بلا کراہت درست ہے، کوئی اشکال ہوتو اس کو لکھ کر دوبارہ سوال کرلیں۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",65550,deoband,معاملات,بیع و تجارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/business/65444,مضاربت کی رقم ڈوب جانے کی وجہ سے شرعا مضارب پر کوئی ضمان واجب نہیں ہوگا,ایک شخص نے مضاربت کے طور پر کسی سے رقم لی اور وہ روپیہ ڈوب گیا جس کا ڈوبا وہ غریب ہے تو کیا مضارب اس غریب رب المال کی دوسروں کی زکات سے ماہانہ تعاون کرسکتاہے ؟ یہ جائز ہے یا ناجائز ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 601-601/Sd=7/1437

مضاربت کی رقم ڈوب جانے کی وجہ سے شرعا مضارب پر کوئی ضمان واجب نہیں ہوگا؛ ہاں اگر مضارب اپنے طور پر رب المال کی ضرورت کا خیال کرتے ہوئے دوسروں کی زکات کی رقم سے اس کی مدد کردے تو شرعاً اس میں کوئی حرج نہیں ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",65444,deoband,معاملات,بیع و تجارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/business/65247,کام کرنے والے کو زیادہ نفع ملنا ضروری ہے,ایک بزنس میں دو شرکاء ہیں، ایک شریک بزنس میں کچھ نہیں کرتاہے بلکہ صرف پیسہ لگاتاہے جب کہ دوسرا شریک متحرک ہے اور اپنے شریک کے برابر پیسہ بھی لگاتاہے اور بزنس کے کاروبار میں بہت زیادہ وقت بھی دیتاہے۔ شریعت کے مطابق اگر دونوں کی رقم نصف نصف ہو تو کیا وہ نفع میں کس طرح شریک ہوسکتے ہیں؟دونوں شرکاء کو کو کن شرائط پر عمل کرنا چاہئے؟جزاک اللہ ۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>
	Fatwa ID: 1117-1035/H=10/1437<br>
	<br>
	(۱) صورتِ مسئولہ میں دونوں شریک نفع میں برابر کے شریک ہوسکتے ہیں، اسی طرح نفع میں کمی بیشی کے ساتھ بھی شریک ہوسکتے ہیں، لیکن دوسری شکل میں کام کرنے والے کو زیادہ نفع ملنا ضروری ہے، اگر کام نہ کرنے والے کو زیادہ نفع ملے تو یہ جائز نہیں ہے۔<br>
	(۲) دونوں شریک کے لیے ضروری ہے کہ وہ ایسی چیز پر عقد کریں جو قابل وکالت ہو، اسی طرح ایسی چیز سے احتراز ضروری ہے جو قاطع عقدِ شرکت ہو، جیسے کسی ایک کے لیے نفع میں سے متعین دراہم کی شرط لگانا۔ تفصیل کے لیے کتب فتاویٰ کی مراجعت کریں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",65247,deoband,معاملات,بیع و تجارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/business/64748,کرنسی کی ادھار یعنی قسطوں پر خرید وفروخت,"مولانا صاحب کیا فرماتے ہیں علمائدین اس مسئلے کے بارے میں کہ زید اوربکر دو کاروباری حضرات ہیں،وہ اپنا کاروبار کچھ اس طرح کرتے ہیں کہ مثلا"" زید کو اپنے کاروبار کی ترقی کے لئے پیسے کی ضرورت ہے وہ بکر سے پیسے کا مطالبہ کرتا ہے بکر مارکیٹ سے دراہم خرید کر زید سے کچھ منافع کے ساتھ فروخت کرتا ہے ،زید کی خواھش کے مطابق وہ ٹوٹل رقم ماہانہ قسطوں کے حساب سے ادا کرے گا کیوں کہ قسط میں ان کو آسانی ہوگی،کیا یہ سودا شریعت میں جائز ہے ؟ مثال کے طور پر بکر ایک لاکھ روپئے پر چار ہزاردراھم خرید کر زید پر ایک لاکھ ستائس ہزار روپے پر فروخت کرتا ہے ، زید نے دراھم قبول کئے اور خوش بھی تھا لیکن اس نے بکر سے مطالبہ کیا کہ میرے لئے قسط مقررکریں۔ میں ماہانہ تین ھزار روپے ادا کروں گا۔اس طرح زید ایک لاکھ ستائس ھزار روپے ماہانہ تین ھزار قسط کے حساب سے ادا کرتا رہتا ہے ۔یہاں تک کہ رقم پوری ہو جائے ۔ کیا یہ سودا جائز ہے ؟ جنس مختلف ہو تو ہم ایک چیز کوقسطوں پر زیادہ قیمت پر فروخت کر سکتے ہیں۔کیا دراھم اور روپئے مختلف جنس نہیں؟ اس میں تفاضل کاکیا حکم ہے ؟اور قسط کا کیا حکم ہے ؟ مندرجہ بالا سودے میں بکر اگر دراھم کے بجائے موٹر کار خریدیں اور پھر زید پر ایک لاکھ ستائس ہزار روپے پر قسطوں کے حساب سے فروخت کر دیں۔تو زید کا اصل مقصد روپیہ ہے جو وہ کاروبار میں لگانا چاہتا ہے موٹر نہیں،لہذا اس صورت میں وہ اگر موٹر کی جگہ دراھم خریدیں تواس صورت میں زید کو کرنسی تبدیل کرنے میں آسانی ہے بجائے کہ وہ موٹر کار خریدے ۔لہذا دراھم کی صورت میں تفاضل اور قسط کا کیا حکم ہے ؟ مسئلے کی تفصیلی وضاحت فرمائیں۔","<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 560-560/Sd=7/1437

پیسے اور دراہم کی جنسیں الگ الگ ملکوں کی کرنسی ہونے کی وجہ سے مختلف ہیں، اس لیے ان دونوں کرنسیوں کا آپس میں کمی بیشی اور قسطوں پر ادھار کے ساتھ تبادلہ جائز ہے؛ البتہ دو باتوں کا لحاظ ہونا چاہئے: 
(۱) مجلس عقد میں بدلے میں دی جانے والی کرنسی کی مقدار طے ہوجائے، تاکہ آئندہ نزاع کا اندیشہ نہ رہے۔ 
(۲) ایک کرنسی پر مجلس عقد میں پوری طرح قبضہ پایا جائے؛ تاکہ اُدھار در اُدھار بیع کی حرمت متحقق نہ ہو، لہذا صورت مسئولہ میں بکر کا دراہم خرید کر نفع کے ساتھ زید کو قسطوں پر ادھار فروخت کرنا شرعا جائز ہے بشرطیکہ مجلس عقد میں زید دراہم پر قبضہ کرلے۔ قسطوں پر خرید فروخت کی صور ت میں نقد کے مقابلے میں قیمت زیادہ مقرر کرنا شرعا جائز ہوتا ہے، یہ سود کے دائرے میں نہیں آتا۔ وإذا عدم الوصفان والمعنی المضموم إلیہ حل التفاضل والنساء لعدم العلة المحرمة۔ (الہدایة / باب الربا ۳/۷۹، الفتاویٰ التاتارخانیة ۸/۳۴۸ زکریا) بیع الفلوس بمثلہا، کالفلس الواحد بالفلس الواحد الآخر، وہٰذا إنما یجوز إذا تحقق القبض في أحد البدلین في المجلس قبل أن یفترق المتبایعان؛ فإن تفرقا ولم یقبض أحد شیئًا فسد العقد؛ لأن الفلوس لا تتعین، فصارت دَینًا علی کل أحد، والافتراق عن دَین بدَین لا یجوز۔ (تکملة فتح الملہم ۱/۵۸۷) ۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",64748,deoband,معاملات,بیع و تجارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/business/64559,قسطوں پر زیادہ قیمت كے ساتھ خریداری درست ہے یا نہیں؟,مجھے یہ معلوم کرنا تھا کہ یہاں ایک ویب سائٹ ہے جو قسطوں پر موبائل، اے سی ، لیپ ٹاپ وغیرہ دیتی ہے اور جیسے موبائل کی قیمت مارکیٹ میں40000 کی ہے تو وہ 460000 لیتی ہے قسطوں پراور اگر نقد اس سے لیں تو وہ مارکیٹ ریٹ پر دیتی ہے تو کیا اس میں یہ سود ہوگیا نہیں؟ براہ کرم، جواب دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 544-544/Sd=7/1437

ادھار قسطوں پر موبائل خریدنے میں نقد کے مقابلے میں جو قیمت زیادہ ہوتی ہے، وہ سود نہیں ہے، عقد کے وقت اگر موبائل کی ایک قیمت متعین ہوجائے اور قسطوں کی ادائے گی کی تاریخ بھی طے ہوجائے، تو اس طرح قسطوں پرزیادہ قیمت میں موبائل خریدنا جائز ہے۔ یہ سود نہیں ہے۔ عن أبي ہریرة رضي اللّٰہ عنہ قال: نہی رسول اللّٰہ صلی اللّٰہ علیہ وسلم عن بیعتین في بیعة۔ (سنن الترمذي / باب النہي عن بیعین ۱/۲۳۳) وقال الإمام الترمذي: وقد فسر بعض أہل العلم قالوا بیعتین في بیع أن یقول: أبیعک ہٰذا الثوب بنقد بعشرة وبنسیئة بعشرین ولا یفارقہ علی أحد البیعین فإذا فارقہ علی أحدہما فلا بأس إذا کانت العقدة علی واحد منہما۔ (سنن الترمذي / باب النہي عن بیعین ۱/۲۳۳) ویزاد في الثمن لأجلہ إذا ذکرالأجل مقابلة زیادة الثمن قصدًا۔ (البحر الرائق ۶/۱۱۵، بدائع الصنائع ۴/۳۵۸ زکریا) إذا عقد العقد علی أنہ إلی أجل کذا بکذا، وبالنقدکذا، أو قال إلی شہرین بکذا فہو فاسدٌ … وہٰذا إذا افترقا علی ہٰذا؛ فإن کان یتراضیان بینہما ولم یتفرّقا حتّٰی قاطعہ علیٰ ثمن معلوم وإنما العقد علیہ فہو جائز … الخ۔ (المبسوط للسرخسي ۱۳/۸-۹ غفاریہ کوئٹہ) لأن للأجل شبہا بالمبیع ألا یری أنہ یزاد في الثمن لأجل الأجل۔ (الہدایة ۳/۷۸) سلعة یکون ثمنہا مائة دینار نقداً، وبمأة وخمسین إلی أجل، أن ہٰذا جائز۔ (کتاب الحجة علی أہل المدینة ۲/۶۹۴) أما الأئمة الأربعة وجمہور الفقہاء والمحدثین فقد أجازوا البیع المؤجّل بأکثر من سعر النقد بشرط أن یبتّ العاقدان بأنہ بیع مؤجّل بأجل معلوم بثمن متفق علیہ عند العقد۔ (بحوث في قضایا معاصرة ۷) 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",64559,deoband,معاملات,بیع و تجارت
