issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
18-Jan-2022,https://darulifta-deoband.com/home/ur/shares-investments/608882,(پے ٹی ایم گولڈ) کا استعمال کرنا جائز ہے یا ناجائز؟,سوال : کیا Paytm gold (پے ٹی ایم گولڈ ) کا استعمال اسلام میں جائز ہے ؟ ۱ اسمِ ۱ روپیہ کا سونا بھی خریدا کا سکتا ہے ۲ خریدنے پر فوراً خریدنے والے کے نام پر بل جنریٹ ہو جاتا ہے ۳ اسے بیچا بھی جا سکتا ہے ۴ خریدا ہو سونا کو آرڈر دینے پر میکینک چارج کے ساتھ سکّے کے روپ میں گھر تک ڈیلیوری کیا جاتا ہے ، ۵ خریدے گئے سونے کو کسی رشتے دار کے اکاؤنٹ میں ہدیے کے طور پر ٹرانسفر کیا جا سکتا ہے ، کیا اسمِ گولڈ خریدنے اور بیچنا جائز ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 708-588/B=06/1443</p><p>&nbsp;صورت مسئولہ میں حکم شرعی کا مدار اس پر ہے کہ پے ٹی ایم گولڈ کے توسط سے سونا خریدنے کے بعد اگر مشتری اس پر شرعاً قابض ہوجائے، اس طرح کہ وہ سونا اپنے قبضہ اور تحویل میں اس طور پر لے لے کہ جب چاہے اسے اپنے استعمال میں لاسکے، یا آگے فروخت کرسکے تو اس کا استعمال جائز ہے، نیز خرید وفروخت بھی درست ہے، اور اگر مذکورہ طریقہ پر قبضہ نہیں پایا جاتا ہے تو پھر اس کی خرید و فروخت جائز نہیں ہے۔ ثم التسلیم یکون بالتخلیة علی وجہ یتمکن من القبض بلا مانع ولا حائل ․․․․․ بأن یکون مفرزاً غیر مشغول بحق غیرہ۔ (درمختار مع الشامی: 7/94، ط: زکریا دیوبند)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",608882,deoband,معاملات,شیئرز وسرمایہ کاری
28-Jan-2022,https://darulifta-deoband.com/home/ur/shares-investments/608522,شیئرز خریدنے کی ایک شرط,شیرمارکیٹ میں انویسٹ کرنے کے حلال طریقے کونسے ہیں۔ کیا کس حلال کمپنی کے شٹاک میں انویسٹ کرنے کے لیے اس کمپنی کا قرض (debt) اس کے مارکیٹ کاپیٹل ( market capital ) سے 3 فیصد سے کم ہو تو اس کمپنی میں انویسٹ کرنا جایز ہے ۔ اگر زیادہ ہو تو اس شٹاک میں انویسٹ کرنا جایز نہین ہے۔ کیا یہ صحیح ہے؟ اور کونسے کونسے حالات (conditions) ہیں سب بتادیں۔ مہربانی کرکے اس سوال کا جواب دیں۔ اگر آپ کے پاس اس کے متعلق سے کوئی پرچہ ہو تو جواب میں اس پرچہ کو بھی درج کریں۔ تاکہ میں سارے شرائط سے واقف ہو جاوٴں۔ شکریہ۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:274-211/D-Mulhaqa=6/1443</p><p>&nbsp;کسی کمپنی کا شیئر خریدنے کی شرائط میں ایک شرط یہ بھی ہے کہ کمپنی کے مجموعی سرمایہ کے تناسب میں اس کمپنی کے سودی قرضوں کی مقدار تینتیس فیصد 33%سے زیادہ نہ ہو ، تین فیصد کی بات درست نہیں ہے،باقی شیئرز سے متعلق تفصیلات کے لیے آپ فقہی مقالات (افادات حضرت مولانا مفتی محمد تقی عثمانی مد ظلہ ) کی پہلی جلد دیکھیں ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",608522,deoband,معاملات,شیئرز وسرمایہ کاری
15-Dec-2021,https://darulifta-deoband.com/home/ur/shares-investments/607945,کیاشریک اجیر بن سکتا ہے ؟,میرا سوال یہ ہے کہ ہم تین ساتھیوں نے ایک سکول کھولا ہے ، شراکت کی بنیاد پر وقت اور پیسہ برابر لگانا ہوگا، اب دو فریق تو سکول چلا بھی رہے ہیں اور وقت بھی دے رہے ہیں لیکن تیسرا فریق صرف پیسے دے کر وقت نہیں دے رہا تو کیا اس طرح پہلے دو فریق اپنی ڈیوٹی کے لیے تنخواہ لے سکتے ہیں کہ نہیں ؟ جبکہ تیسرا فریق وقت نہیں دے رہا ہے ، اور شرکت بھی دونوں کی اس بنیاد پر تھی کہ وقت اور پیسہ برابر دیں گے ، براہ کرم، رہنمائی فرمائیں۔ باحوالہ۔۔۔ جزاک اللہُ,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:208-71T/D-Mulhaqa=5/1443</p><p>&nbsp;شرکت میں مقررہ نفع کے ساتھ کسی شریک کے لیے الگ سے تنخواہ متعین کرلینا اصولادرست نہیں ہے ، فقہائے احناف کے یہاں یہ مسئلہ مصرح ہے ، پس صورت مسئولہ میں اگر تینوں نے باہم شرکت کا معاملہ کیا ہے تو دو شریک کا الگ سے تنخواہ متعین کرنا جائز نہیں ہے ؛ البتہ باہمی رضامندی سے ان کے نفع کا تناسب بڑھایا جاسکتا ہے ؛اس لیے کہ شرکت میں سرمایہ برابر ہونے کے باجود نفع کے تناسب میں کمی بیشی کرنا جائز ہے ۔( امداد الاحکام:۶۱۴/۳، ۶۱۵،دار العلوم کراچی )</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",607945,deoband,معاملات,شیئرز وسرمایہ کاری
17-Dec-2021,https://darulifta-deoband.com/home/ur/shares-investments/607605,مضاربت کی ایک شکل اور اس کا حکم,"گذارش یہ ہے کہ فریق اول نے فریق دوم کو رقم مندرجہ ذیل نفع و نقصان کی شرائط پر دی. 1 فریق اول کی صرف رقم ہو گی کام نہیں کرے گا اور فریق دوم صرف کام کرے گا رقم نہیں ہو گی۔
(۲) رقم پر حاصل شدہ منافع سے فریق اول 25 فیصد لے گا جبکہ فریق دوم 75 فیصد لے گا. 3.کاروبار میں نقصان کی صورت میں رقم یا سرمایہ کا ذمہ دار فریق دوم ہو گا اور بنیادی رقم فریق اول کو واپس کرنے کا پابند ہو گا. 4.نفع نہ آنے کی صورت میں کوء بھی فریق نفع وصول کرنے کا حقدار نہیں ہو گا یہ شرائط دونوں فریقین میں باہمی رضا مندی کی بناء پر طے ہویئں. فریق دوم نے نقصان کی صورت میں سرمایہ کی ذمہ داری اس وجہ سے لی کہ ایک تو؛ کاروبار نوعیت کے مطابق نقصان کے خدشات بہت کم ہیں دوسرا یہ کہ اگر خدانخواستہ اگر نقصان ہو جائے تو فریق دوم چونکہ منافع کا 75 فیصد لے رہا ہے لہٰذا اسکو نقصان کا ازالہ کرنے میں کوئی مشکل نہیں. جبکہ فریق اول نقصان کا خدشہ اپنے سر نہیں لینا چاہتا اس لیے وہ کم منافع پر راضی ہوا . یعنی اس نے کہا کہ مجھے منافع کم دے دو لیکن رقم کی ذمہ داری آپ لو. کیا ان شرائط پر کاروبار کی شراکت داری اسلامی نقطہ نظر سے ٹھیک ہے ؟","<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:138-33T/H-Mulhaqa=5/1443</p><p>&nbsp;سوال میں مذکور سرمایہ کاری کی صورت شریعت کی اصطلاح میں عقد مضاربت ہے، اس میں رقم دینے والا رب المال اور کاروبار کرنے والا مضارب کہلاتا ہے، اور اگر مضاربت میں نقصان ہوجائے تو وہ نفع سے نکالا جاتا ہے، پھر مابقیہ نفع دونوں کے درمیان تقسیم کیا جاتا ہے، اور اگر نقصان نفع سے زیادہ ہو تو سرمایہ سے نکالا جاتا ہے، اور اس صورت میں کسی کو کچھ نفع نہیں ملتا؛ بلکہ رب المال کا نفع کے ساتھ کل یا بعض سرمایہ جاتا ہے اور مضارب کی محنت ضائع ہوتی ہے ، اور اگر دونوں نے کچھ نفع باہم تقسیم کرلیا ہو؛ لیکن مضاربت کا معاملہ باقی ہو، فسخ نہ کیا گیا ہو تو نقصان کی تلافی کے لیے دونوں کو وصول شدہ نفع واپس کرنا ہوگا، بہر حال کسی صورت میں نقصان مضارب پر نہیں ڈالا جاتا کہ وہ اپنی جیب سے ادا کرے، اور اگر مضارب پر نقصان کی شرط لگائی جائے تووہ شرط باطل وغیر معتبر ہوتی ہے اگرچہ مضارب راضی ہو، کاروبار میں نقصان کے امکانات برائے نام ہوں یا نقصان کی ذمے داری کی بنا پر مضارب کا حصہ بہت زیادہ رکھا گیا ہو۔</p><p>خلاصہ یہ کہ سوال میں مذکور سرمایہ کاری میں نقصان کی شرط جو مضارب پر لگائی گئی ہے، یہ درست نہیں؛ بلکہ باطل وغیر معتبر ہے۔</p><p>وفي الجلالیة: کل شرط یوجب جھالة في الربح أو یقطع الشرکة فیہ یفسدھا، وإلا بطل الشرط وصح العقد اعتباراً بالوکالة (الدر المختار مع رد المحتار، کتاب المضاربة، ۸: ۴۳۳، ۴۳۴، ط: مکتبة زکریا دیوبند، ۱۸: ۲۲۵، ۲۲۶، ت: الفرفور، ط: دمشق)۔</p><p>قولہ: ”بطل الشرط“: کشرط الخسران علی المضارب، س (رد المحتار)۔</p><p>(وما ھلک من مال المضاربة یصرف إلی الربح)؛ لأنہ تبع، (فإن زاد الھالک علی الربح لم یضمن) ۔ ولو فاسدة من عملہ؛ لأنہ أمین، (وإن قسم الربح وبقیت المضاربة، ثم ھلک المال أو بعضہ ترادا الربح؛ لیأخذ المالک رأس المال، وما فضل فھو بینھما، وإن نقص لم یضمن) ؛ لما مر(الدر المختار مع رد المحتار، کتاب المضاربة، ۸: ۴۴۵، ط: مکتبة زکریا دیوبند، ۱۸: ۲۵۴، ۲۵۵، ت: الفرفور، ط: دمشق)۔</p><p>قولہ: ”ولو فاسدة“: أي: سواء کانت المضاربة صحیحة أو فاسدة، وسواء کان الھلاک من عملہ أو لا، ح۔ قولہ: ”من عملہ“: یعني: المسلَّط علیہ عند التجار، وأما التعدي فیظھر أنہ یضمن، سائحاني۔ قولہ: ”فھو بینھما“: أي: بعد دفع النفقة۔ قولہ: ”لما مر“: من أنہ أمین؛ فلا یضمن (رد المحتار)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",607605,deoband,معاملات,شیئرز وسرمایہ کاری
05-Dec-2021,https://darulifta-deoband.com/home/ur/shares-investments/607405,شرکت کے شرائط دو شریک اور زیادہ شرکاء کے درمیان برابر ہیں,"کیا فرماتے ہیں مفتیان کرام کہ
(۱) کاروبار میں شراکت داری کی شرائط کیا ہیں؟
(۲) دو بندو کی شراکت داری ہو یا تین کی تو شراکت داری کی شرائط مختلف ہوں گی یا ایک جیسی ہی ہوں گی؟","<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:105-74/D-Mulhaqa=4/1433</p><p>&nbsp;شرکت خواہ دو کے درمیان ہو یا دو سے زائد کے درمیان ہو، شرکت کے شرائط یکساں اور برابرہیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",607405,deoband,معاملات,شیئرز وسرمایہ کاری
23-Jan-2022,https://darulifta-deoband.com/home/ur/shares-investments/607249,کمیٹی میں شرکت کا کیا حکم ہے؟,"سوال : کسی کمپنی میں شرکت کرنے کی ممانعت میں ایک یہ بات کہی جاتی ہے کہ بعد میں شریک ہونے والوں کی شرکت درست نہیں اس لیے کہ کمپنی میں فرنیچر وغیرہ ضرورت کا سامان جو پہلی مرتبہ خریدا گیا ہے، اور اسی طرح غیر فروختی ساز و سامان کا حساب نہیں لگایا جا سکتا، مشلا ایک شخص نے ایک لاکھ روپے انوسیٹ کیے تو اب یہ معلوم نہیں ہوسکتا کہ اسکا کل سرمایہ میں کتنی شرکت ہے، کیونکہ وہ سامان مجہول ہے جس کا اندازہ نہیں ہو سکتا اور نقد و چالو سرمایہ کا اندازہ ہوسکتا ہے۔
نوٹ؛ جاری کمیٹی میں شرکت کا کیا حکم ہے؟","<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 348-532/M=06/1443</p><p>&nbsp;جاری کاروبار میں شرکت اگر مندرجہ ذیل طریقے پر ہو تو گنجائش ہے کہ کمپنی کے سرمائے کی مکمل مقدار معلوم کی جائے، پھر جو شخص کمپنی میں شریک ہونا چاہتا ہے وہ کمپنی کے کل اثاثے کا آدھا حصہ یا جتنے حصے میں وہ شرکت کرنا چاہتا ہے اتنا حصہ مالک سے خرید لے، اس طرح وہ کمپنی کی ہر چیز میں اپنے حصے کے بقدر حصے دار ہوجائیں گے، پھر نقد سرمایہ بھی اپنے اپنے حصہ کے بقدر لگائیں اور پھر نفع نقصان میں دونوں شریک ہوکر کاروبار کریں۔ نیز نقصان کے صورت میں ہر فریق اپنے سرمایہ کی بقدر نقصان کا ذمہ دار ہوگا۔</p><p>وأما شرط جوازہا فکون رأس المال عیناً حاضراً أو غائباً عن مجلس العقد لکن مشاراً إلیہ، والمساواة فی رأس المال لیست بشرط ویجوز التفاضل فی الربح مع تساویہما فی رأس المال ․․․․․ فإن عملا وربحا فالربح علی ما شرطا، وإن خسرا فالخسران علی قدر رأس مالہما کذا فی المحیط ۔ (الہندیة: 2/336، کتاب الشرکة، الباب الثالث فی شرکة العنان، مطبوعہ: دار الکتب العلمیة، بیروت)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",607249,deoband,معاملات,شیئرز وسرمایہ کاری
19-Nov-2021,https://darulifta-deoband.com/home/ur/shares-investments/607242,نفع میں رقم متعین کرنا,کیا فرماتے ہیں مفتیان دین شرع متین درج ذیل مسئلہ کے بارے میں کہ ایک کمپنی زید سے کہتی ہے کہ تم میری کمپنی میں 4500 انویسٹ(Invest) کرو تم کو روزانہ کمپنی کی طرف سے 200 روپئے 45 دن تک ملتے رہیں گے ۔ (کمپنی کرتی یہ ہے کہ 4500 روپئے کا کوئی سامان لے کر کرائے پر دے دیتی ہے ۔تو یہ جائز ہے کہ نہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:81-48/D-Mulhaqa=4/1443</p><p>&nbsp;صورت مسئولہ میں نفع میں رقم متعین کرکے کمپنی میں رقم انویسٹ کرنا ناجائز ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",607242,deoband,معاملات,شیئرز وسرمایہ کاری
09-Nov-2021,https://darulifta-deoband.com/home/ur/shares-investments/607042,زمین میں پیسہ انویسٹ کرنا,سوال : ایک شخص نے 15 لاکھ کی رقم اپنے دوست کو زمین میں لگانے کو دی اور نفع و نقصان دونوں میں شریک ہونا طے پایا پِھر زمین پہ کچھ مسائل ہو گئے اور اس کا سودا نہیں ہو پایا کچھ عرصہ بعد وہ شخص اپنی اصل رقم واپس مانگنے لگا کہ میں نقصان میں شریک نہیں ہونا چاہتا تو میری رقم کو قرض سمجھا جائے اور اسے پورا واپس کر دیا جائے میں انویسٹ کرنے کا اِرادَہ ملتوی کرتا ہوں . . اس کے دوست نے اس وقت 450 ، 000 واپس کر دیئے پِھر اس کا انتقال ہو گیا، اب اس شخص نے اپنے دوست کی اولاد سے رقم کا مطالبہ کیا قرض کہہ کے جس یہ بچو ں نے بار بار پوچھا بھی کہ قرض ہے یا انویسٹ کیے تھے تو وہ شخص قرض ہی کہتا رہا جس پہ اس وقت اسے 1 لاکھ اور دیئے اور کہا گیا کہ جیسے ہی رقم کا انتظام ہو گا آپ کے بقیہ پیسے جو کہ اب 9 ، 50 ، 000 ہوتے ہوں دید یئے جائیں گے . . پِھر کچھ عرصہ بعد وہ زمین بک گئی اور فوراً اس شخص کے بقیہ رقم کی ادائگی بھی کر دی گئی . . . اب سال بھر گذرنے کے بعد وہ شخص واپس آکے کہتا ہے کہ میں نے تو قرض نہیں دیا تھا انویسٹ کیا تھا اِس لیے مجھے اب نفع بھی چاہیے جب کہ بچو ں کی یہ کنڈیشن نہیں ہے کہ ادا کر پائیں۔ اس بارے میں شریعت کیا کہتی ہے ؟ رہنمائی فرمائِیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 314-268/B=04/1443</p><p>&nbsp;اگر شریک اول نے معاہدہٴ شرکت کے کچھ عرصہ بعد زمین میں پیسے انویسٹ کرنے کا ارادہ ملتوی کردیا تھا، اور اس نے شرکت سے صاف منع کردیا تھا، تو فسخ کرنے کی وجہ سے یہ شرکت ختم ہوگئی۔ اب وہ رقم قرض ہوگئی۔ جب شریک اول نے اپنے قرض کی مکمل رقم وصول کرلی ہے، تو اب ایک سال کے بعد دوبارہ شرکت کا دعویٰ درست نہیں ہے، لہٰذا وہ نفع کا حقدار بھی نہیں ہوگا۔ قال في الدر: وتبطل أیضاً بإنکارہا وبفسخ أحدہما ولو المال عروضاً، قال ابن عابدین: قولہ: بإنکارہا، أی ویضمن حصة الأخر؛ لأنّ جحود الأمین غصب۔ الدر مع الرد: 6/504-505، ط: زکریا دیوبند۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",607042,deoband,معاملات,شیئرز وسرمایہ کاری
10-Nov-2021,https://darulifta-deoband.com/home/ur/shares-investments/606949,خطبے کے دوران چندہ کرنا؟,کیا فرماتے ہیں علماء اکرام کے جمعہ کے خطبے کے دوران ہماری مسجد میں عین عربی والے خطبے کے وقت چندہ مانگا جاتا ہے جس کی صورت یہ ہے کہ دو لڑکے کپڑا پکڑ کر صفوں میں چکر لگاتے ہیں کیا ایسا کرنا ٹھیک ہے ؟مولوی صاحب سے پوچھنے پر جواب ملا کہ مسجد کے خرچے کیسے پورے ہوں گے ، برائے مہربانی اس کا حل بتا دیں تاکہ ہم لوگو مولوی صاحب کو فتوی دکھا سکیں ۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:51-62/B-Mulhaqa=4/1443</p><p>&nbsp;خطبہ کے دوران چندہ کرنا شرعا جائز نہیں ہے ، مسجد کے اخراجات کے لیے چندہ کرنا ضروری ہوتو اذانِ خطبہ سے پہلے یا بعد نماز جب لوگ سنن سے فارغ ہوجائیں ، اس وقت کرلیا جائے ۔</p><p>(وکل ما حرم فی الصلاة حرم فیہا) أی فی الخطبة خلاصة وغیرہا فیحرم أکل وشرب وکلام ولو تسبیحا أو رد سلام أو أمرا بمعروف بل یجب علیہ أن یستمع ویسکت․ (الدر المختار) (قولہ: ولو تسبیحا) أی ولو کان الکلام تسبیحا، وفی ذکرہ فی ضمن التفریع علی ما فی المتن نظر لأنہ لا یحرم فی الصلاة تأمل (قولہ: أو أمر بمعروف) إلا إذا کان من الخطیب کما قدمہ الشارح (قولہ بل یجب علیہ أن یستمع) ظاہرہ أنہ یکرہ الاشتغال بما یفوت السماع إلخ (الدر المختار مع رد المحتار: 3/ 35، مطبوعة: مکتبة زکریا، دیوبند، الہند)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",606949,deoband,معاملات,شیئرز وسرمایہ کاری
23-Nov-2021,https://darulifta-deoband.com/home/ur/shares-investments/606814,ای مارجن کی سہولت پر مبنی خریداری کا حکم,سوال : میں شیئرز کی خرید و فروخت کرتا ہوں، میرا سوال ہے کہ کمپنی ای مارجن کی سہولت دیتی ہے مثال کے طور پر اگر آپ کے پاس تیس روپے ہے اور آپ سو روپے کا اسٹاک خریدنا چاہتے ہیں تو کمپنی ستر روپیہ اپنی طرف سے ملا کر اسٹاک خرید کر دیتی ہے کمپنی مجھے پیسہ نہیں دیتی بلکہ اپنی طرف سے ستر روپیہ ملا کر اسٹاک خریدنے دیتی ہے جسسے آپ 275 دن تک رکھ سکتے ہیں اس کے بعد اگر آپ چاہیں تو ستر روپیہ دے کر نقد میں تبدیل کر سکتے ہیں یا پھر کمپنی اپنا ستر روپے کا اسٹاک بیچ کر پیسہ لے لیتی ہے لیکن اس ٹرانزیکشنز میں وہ آپ سے 0.050 کا سود ستر روپیہ پر روزانہ لے لیتی ہے اس سو روپے پر جو نقصان ہوگا وہ آپ کا ہوگا اور جو فائدہ ہوگا وہ آپ کا ہوگا سوال یہ ہے کہ جو کمپنی ستر روپیہ ملا دیتی ہے ہمارے تیس روپے کے ساتھ اسٹاک خریدتے وقت اس پرسود دینا کیسا ہے ہمارے ہاتھ میں رقم نہیں اسٹاک ملتا ہے ہمیں رقم پر قبضہ نہیں ملتا اسٹاک پر ملتا ہے کیا یہ جائز ہے مہربانی کرکے شرعی اعتبار سے بتائیں عین نوازش ہوگی ۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 22-55T/B-Mulhaqa=04/1443</p><p>&nbsp;سوال میں جو صورت ذکر کی گئی ہے، اس میں ایک اہم خرابی یہ ہے کہ یہ سودی لین دین پر مشتمل ہے؛ کیونکہ کمپنی جو ستر روپئے دیتی ہے، یہ درحقیقت قرض ہے جو وہ براہ راست مقروض (مشتری) کو نہ دے کر، ا س کی اجازت سے بائع (جو مقروض کا قرض خواہ ہے) کو دیتی ہے اور بعد میں مقروض (مشتری) سے مع اضافہ (سود) وصول کرتی ہے، یہ گویا ایسے ہی ہے جیسا کہ فائنانس کمپنی کے واسطے سے گاڑی خریدنا کہ فائنانس کمپنی مشتری (خریدار) کے نام قرض جاری کرتی ہے؛ پر وہ رقم مشتری کو نہیں؛ بلکہ بائع جو مشتری کا قرض خواہ ہے، اسے دیتی ہے، پھر وہ (فائنانس کمپنی) مشتری سے مع سود قسطوار وصول کرتی ہے۔ اس لیے مذکور فی السوال طریقے پر معاملہ کرنا شرعاً جائز نہیں ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",606814,deoband,معاملات,شیئرز وسرمایہ کاری
