issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/interest-insurance/54491,پاسپورٹ آفس میں جرمانہ میں سود كی رقم استعمال كرنا,میں نے اپنی امی اور ابا کا پاسپورٹ ابھی بنوایا ہے ان ک پرانے پاسپورٹ میں نے فارم بھرتے وقت نہیں بتایا تھا، وہاں جانے پر انہوں نے دونوں پر ۲۰۰۰ ہزار رورپئے جرمانہ لگا دیا ، میں نے ان کے نام غلط ہونے کی وجہ سے پرانے نام پاسپورٹ کے بارے میں نہیں بتائے تھے ، کیا میں یہ پیسے اپنے بھائی کے بینک اکاؤنٹ کے سود سے بھر سکتاہوں؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1286-254/H=10/1435-U

 اگریہ جرمانہ والی رقم سرکاری کھاتہ میں پہنچ جائے گی تو اس میں بینک اکاوٴنٹ کے سود والی رقم دیدینے کی گنجائش ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",54491,deoband,معاملات,سود و انشورنس
01-Sep-2020,https://darulifta-deoband.com/home/ur/interest-insurance/54435,کیا بینک میں لاکر کھول سکتے ہیں؟ اپنے سامان کی حفاظت کے لیے لاکر کھولنے سے پہلے 50000 روپئے فکس ڈپوزٹ کرنا پڑتاہے ، کیا یہ جائز ہے، براہ کرم، جواب دیں۔,کیا بینک میں لاکر کھول سکتے ہیں؟ اپنے سامان کی حفاظت کے لیے لاکر کھولنے سے پہلے 50000 روپئے فکس ڈپوزٹ کرنا پڑتاہے ، کیا یہ جائز ہے، براہ کرم، جواب دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1140-977/D=11/1435-U

سامان کے حفاظت کی غرض سے بینک میں لاکر کھولنے کی گنجائش ہے، لیکن لاکر کھولنے کی سہولت ملنے کی جو شرط ہے یعنی پچاس ہزار فکس ڈپازٹ کرنا یہ گناہ پر مشتمل ہے، کیونکہ فکس ڈپازٹ میں سودی معاملہ کے تحت رقم جمع کرنا ہوتا ہے اور سودی معاملہ کرنا، معاملہ کے تحت رقم جمع کرنا گناہ کبیرہ اور حرام ہے جب کہ رقم فکس رہے گی حرام معاملہ کا گناہ ہوتا رہے گا۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",54435,deoband,معاملات,سود و انشورنس
01-Sep-2020,https://darulifta-deoband.com/home/ur/interest-insurance/54410,کیا بینک میں کسی بھی پوسٹ پر کام نہیں کرسکتے ہیں؟سبھی حرام ہے؟,کیا بینک میں کسی بھی پوسٹ پر کام نہیں کرسکتے ہیں؟سبھی حرام ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 36-36/Sn=11/1435-U

بینک کی ایسی ملازمت جس میں ملازم کو براہ راست ناجائز معاملات میں ملوث ہونا پڑتا ہو جیسے سودی دستاویزات تیار کرنا، انھیں چیک کرنا، سودی حساب کتاب لکھنا وغیرہ اس طرح کی ملازمت شرعاً جائز نہیں، رہی ایسی ملازمت جس میں براہ راست سودی معاملات میں ملوث نہیں ہونا پڑتا مثلاً کوئی شخص الیکٹریشین یا کمپیوٹر انجینئر کے عہدے پر ہے یا ڈرائیور ہے یا اس کے ذمہ حفاظت وصفائی سے متعلق کام ہے توایسی ملازمت شرعاً جائز ہے، اگرچہ اس سے بھی بچنا بہتر ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",54410,deoband,معاملات,سود و انشورنس
01-Sep-2020,https://darulifta-deoband.com/home/ur/interest-insurance/54228,ایک شخص کسی ادارے میں کامرس کی تعلیم حاصل کرتا ہے اور وہ ادارے والے پریکٹیکل کیلئے کسی بینک میں انٹرن شپ کیلئے بھیجتے ھیں تو اب اس شخص کیلئے بینک میں انٹرن شپ کرنا کیسا ہے اور بینک والے جو ماہانہ وظیفہ دینگے اسکا استعمال کرنا کیسا ہے ان پیسوں کا کیا کیا جائے؟,ایک شخص کسی ادارے میں کامرس کی تعلیم حاصل کرتا ہے اور وہ ادارے والے پریکٹیکل کیلئے کسی بینک میں انٹرن شپ کیلئے بھیجتے ھیں تو اب اس شخص کیلئے بینک میں انٹرن شپ کرنا کیسا ہے اور بینک والے جو ماہانہ وظیفہ دینگے اسکا استعمال کرنا کیسا ہے ان پیسوں کا کیا کیا جائے؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1188-1180/N=10/1435-U

(۱) اگر اس میں سودی حساب کتاب سے متعلق بھی کوئی کام ہوتا ہے تو بینک میں انٹرن شپ کرنا درست نہیں قال اللہ تعالی: ”وَلَا تَعَاوَنُوْا عَلٰی الْاِثْمِ وَالْعُدْوَانِ“ (سورہٴ مائدہ آیت:۲) وعن جابر رضي اللہ عنہ قال: لعن رسول اللہ صلی اللہ علیہ وسلم آکل الربا وموٴکلہ وکاتبہ وشاہدیہ وقال: ہم سواء رواہ مسلم (مشکاة شریف: ص۲۴۴)
(۲) اس میں سودی حساب کتاب کے کام پر بطور معاوضہ جو وظیفہ ملے گا وہ بھی حلال وجائز نہ ہوگا، بلکہ وہ پیسے بلانیت ثواب غربا ومساکین پر صدقہ کردیئے جائیں اور اگر مسلمانوں کی بینک ہو تو وصول ہی نہ کیے جائیں اور وصول کرلینے کی صورت میں واپس کردیجیے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",54228,deoband,معاملات,سود و انشورنس
01-Sep-2020,https://darulifta-deoband.com/home/ur/interest-insurance/54086,تکافل,ہماری کمپنی اپنے تمام ملا ز مین کو پاک قطر تکافل کی سہولت دے رہی ہے ، اور ملا ز مین کو انشورنس کمپنی کی طرف سے ایک کارڈ ملا ہے اور وو ایک مخصوص رقم تک کسی ہسپتال سے علاج کرا سکتا ہے . کیا اسس سہولت سے فائدہ اٹھانا جائز ہے یا پھر یہ حرام ہے پاک قطر تکافل کی ویب سائٹ درج ذیل ہے,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1175-1169/N=10/1435-U

”پاک قطر تکافل“ کے سلسلہ میں جملہ اہم وضروری معلومات تحریری شکل میں ارسال کی جائیں، کیوں کہ ویب سائٹ پر جو کچھ معلومات ہے وہ ختم کرکے دوسری ڈالی جاسکتی ہے، تحریری طور پر آپ ہمیں جو معلومات ارسال کریں گے اس کی بنیاد پر جواب لکھا جائے گا۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",54086,deoband,معاملات,سود و انشورنس
01-Sep-2020,https://darulifta-deoband.com/home/ur/interest-insurance/53818,کسانوں کوجو لون دی جارہی ہے مہاراشٹر گورنمنٹ نے اس پر سود معاف کیا ہے لیکن رقم لوٹاتے وقت وہ سود کی رقم وصول کرکے آنے والے سال واپس اپنے اکاوٴنٹ میں سود کی رقم آجاتی ہے۔ ایسی صورت میں جب کہ ہم کو سود کچھ دنوں تک سود کی رقم ادا کرنی پڑتی ہے۔,کسانوں کوجو لون دی جارہی ہے مہاراشٹر گورنمنٹ نے اس پر سود معاف کیا ہے لیکن رقم لوٹاتے وقت وہ سود کی رقم وصول کرکے آنے والے سال واپس اپنے اکاوٴنٹ میں سود کی رقم آجاتی ہے۔ ایسی صورت میں جب کہ ہم کو سود کچھ دنوں تک سود کی رقم ادا کرنی پڑتی ہے۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1533-1520/N=1/1436-U

آپ کے یہاں مہاراشٹر میں صوبائی حکومت کی جانب سے زراعت کی ترقی کے لیے کسانوں کے لیے لون کی جو اسکیم آئی ہے اس میں چوں کہ سود معاف کیا گیا ہے اس لیے یہ شرعی اعتبار سے غیرسودی قرض کی صورت ہے، اور اس میں رقم لوٹاتے وقت سود کے نام سے جو پیسہ لیا جاتا ہے وہ شرعی اعتبار سے سود اس لیے نہیں ہے کہ اس میں واپسی کی شرط ہوتی ہے پس وہ بحکم قرض ہے، سود نہیں، الحاصل سوال میں مذکور قرض کی اسکیم جائز ہے، اس سے نفع اٹھانے کی گنجائش ہے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",53818,deoband,معاملات,سود و انشورنس
31-Aug-2020,https://darulifta-deoband.com/home/ur/interest-insurance/53483,بہبود اکاوٴنٹ میں پیسہ جمع کرنے پر ہرماہ جو اضافی رقم ملتی ہے وہ كیا ہے؟,حضرت میرے والد صاحب نے اپنی ریٹائرمنٹ کا پیسہ نیشنل سیونگ بینک کے بہبود اکاوٴنٹ میں رکھوائے ہیں جس کا ہمیں ہر ماہ پیسہ ملتا ہے جس سے ہمارے گھر کا گزر بسر ہورہا ہے۔ لوگ کہتے ہیں یہ ناجائز ہے ۔میرا والد کا ماننا ہے کہ ہمارا پیسہ گورنمنٹ کے بہبود اکاوٴنٹ میں رکھوایا ہے جس کے بدلہ میں حکومت ہماری مدد کرتی ہے اس لیے یہ جائز ہے۔ اگر ہم یہ پیسہ نہ لیں تو ہمارا تو کھانا پینا دشوار ہوجائے گا۔ لہذا ہماری یہ مجبوری ہے اس کے علاوہ حکومت ہمیں تعلیم اور میڈیکل کی سہولت بھی نہیں دیتی ہے۔اگر ہم اپنے پیسہ کو نکال کر کھانے پینے میں لگا دیں تو ہم روڈ پر آجائیں گے۔ ہمارا بھائی بھی معذور ہے جس کے لیے ہمیں الگ سے پیسہ چاہیے ہوتا ہے۔ ایسی حالت میں اگر ہم بہبود اکاوٴنٹ سے ماہانہ متعین پیسہ لیتے ہیں تو کیا وہ ہمارے لیے جائز ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 965-740/D=9/1435-U

بہبود اکاوٴنٹ میں پیسہ جمع کرنے پر ہرماہ جو اضافی رقم ملتی ہے یہ یقینا سود ہے، اس طرح پیسے جمع کرکے سود حاصل کرنا اور اپنی ضروریات میں صرف کرنا جائز نہیں ہے، حکومت اگر مدد کرتی تو الگ سے کبرسنی یا غربت وافلاسکی بنا پر بطور وظیفہ دیتی یا رٹائرمنٹ کے بعد پنشن دیتی رقم جمع کرنے پر ملنے والی اضافی رقم کو مدد کہنا غلط ہے یہ سود ہے اس سے بچیں۔ چھوٹا موٹا کوئی جائز ذریعہ آمدنی اخیتار کرلیں اللہ تعالیٰ اس میں برکت دے گا یا جمع رقم سے کوئی اطمینان بخش کاروبار کرلیں۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",53483,deoband,معاملات,سود و انشورنس
31-Aug-2020,https://darulifta-deoband.com/home/ur/interest-insurance/53255,سود کے تعلق سے سوال,بینک میں مسجد کی جو رقم محفوظ ہے اس کے سود کے تعلق سے میں نے ایک سوال بھیجا تھا لیکن سوال تحریر کرنے میں کچھ کمی رہ گئ اس لیے دوبارہ سوال تحریر کر رہا ہوں براے مہربانی ضرور جو۱ب عنایت غرمائیں. کیا اس سودی رقم کو کسی گاوں کی مسجد کے طہارت خانہ کی تعمیر میں استعمال کیا جا سکتاہے .,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 937-937/M=8/1435-U

جی نہیں، اس سودی رقم کو مسجد کے طہارت خانہ کی تعمیر میں استعمال کرنا درست نہیں ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",53255,deoband,معاملات,سود و انشورنس
01-Sep-2020,https://darulifta-deoband.com/home/ur/interest-insurance/53226,کیا انسان کو اپنی انسورنش کروانا جائز ہے؟,میرا سوا ل انشورنس کے بارے میں ہے۔ کیا انسان کو اپنی انسورنش کروانا جائز ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 939-627/L=7/1435-U

لائف انشورنس سود وقمار پر مشتمل ہے اور سود وقمار (جوا) دونوں بنص قطعی حرام ہیں؛ اس لیے لائف انشورنس کرانا جائز نہیں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",53226,deoband,معاملات,سود و انشورنس
31-Aug-2020,https://darulifta-deoband.com/home/ur/interest-insurance/53154,میں بینک سے لیز پر ایک کار خریدنا چاہتاہوں۔ بینک کار خریدے گا او رمجھ کو فروخت کرے گا ایک متعین منافع کے ساتھ اور میں کل رقم قسطوں میں ادا کروں گا۔ یہ پچھلے فتوی کی روشنی میں درست لگتا ہے۔,میں بینک سے لیز پر ایک کار خریدنا چاہتاہوں۔ بینک کار خریدے گا او رمجھ کو فروخت کرے گا ایک متعین منافع کے ساتھ اور میں کل رقم قسطوں میں ادا کروں گا۔ یہ پچھلے فتوی کی روشنی میں درست لگتا ہے۔ میرا سوال یہ ہے کہ اگر میں وقت پر قسط ادا کرنے میں ناکام ہوجاتا ہوں اور بینک میرے اوپر کچھ متعین رقم کا جرمانہ لگاتا ہے (فیصد نہیں جیسے کہ ایک تاخیر پر ۱۰۰/ روپئے)، تو اس صورت میں یہ جائز ہوگا کہ نہیں؟ اگر مذکورہ بالا صورت درست نہیں ہے تو اس صورت میں اگر معاہدہ پر دستخط کرتا ہوں اور میں وقت پر قسطیں ادا کرنے کا اہل ہوں (بغیر کسی تاخیر کے)لیکن اصل معاہدہ میں یہ مذکور ہے کہ اگر میں قسطوں کو وقت پر ادا نہیں کرپاتا ہوں تو بینک مجھ پر جرمانہ عائد کرے گا اور چارج وصول کرے گا۔ تو کیا معاہدہ پر دستخط کرنا درست ہے یا نہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>
	Fatwa ID: 515-515/M=6/1436-U متعینہ وقت پر قسط ادا نہ کرنے کی صورت میں جرمانہ کی شرط لگانا اگر عقد بیع میں داخل ہے تو یہ مقتضائے عقد کے خلاف ہے؛ لہٰذا اس شرط کی وجہ سے بیع فاسد ہوجائے گی اور فاسد معاہدے پر دستخط کرنا صحیح نہیں ہے۔ قولہ (اعتیاض عن الأجل وہو حرام) وہذا لأن الأجل صفةٌ کالجودة والاعتیاض عن الجودة لا یجوز فکذا عن الأجل، ألا تری أن الشرع حرَّ ربا النسیئة ولیس فیہ إلا مقابلة المال بالأجل شبُبہة فلأن یکون مقابلة المال بالأجل حقیقةً حرامًا أولی․ (الکفایة شرح الہدایة ۷/۳۹۹-۳۹۷، کتاب الصلح، ط: رشیدیہ پاکستان) وکل شرطٍ لا یقتضیہ العقد وفی منفعة لأحد المتعاقدین أو المعقود علیہ وہو من أہل الاستحقاق یفسدہ (الہدایة شرح البدایة ج۳/۵۹، کتاب البیوع، باب البیع الفاسد)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",53154,deoband,معاملات,سود و انشورنس
