issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/other-transactions/23758,بینک جو گاڑیاں نیلام کرتاہے ، کیا اس کا خریدنا جائز ہے؟,بینک جو گاڑیاں نیلام کرتاہے ، کیا اس کا خریدنا جائز ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(د): 1070=829-7/1431<br><br>بینک اور گاڑی مالک کے مابین کیے گئے معاہدہ کے مطابق اگر بینک فروخت کرنے کا مجاز ہوگیا ہے تو اس کا خریدنا بھی جائز ہے۔<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",23758,deoband,معاملات,دیگر معاملات
01-Sep-2020,https://darulifta-deoband.com/home/ur/other-transactions/23744,"میں دہلی یونیورسٹی کا ریٹائرڈ استاذ ہوں، میں ایک معاملہ میں آپ کی رہنمائی چاہتا ہوں جس سے مجھے بہت زیادہ پریشانی ہوئی ہے۔کچھ عرصہ پہلے میں جے پور میں ایک پروپرٹی بیچنا چاہتاتھا اور اپنے ایک قریبی بھروسے مند رشتہ دار کو جو مقامی آدمی تھا، اس کی دیکھ بھال کے لیے کہا، اس نے کام کے لیے ایک دلال کو لگادیا اور پروپرٹی بیچ دی گئی۔خریدنے والے سے آخری قسط لیتے وقت اس نے 50,000/روپئے اپنے پاس رکھ لیے یہ کہتے ہوئے کہ یہ دلال کو دینا ہے، (معاملہ کو ڈیل کرنے میں دو فیصد) جو معمول کے مطابق ایک دلال کی فیس ہوتی ہیں۔بعد میں دلال نے شکایت کی کہ مجھے اپنے کام پر پوری فیس نہیں ملی، اس نے بتایا کہ آپ کے رشتہ دار نے منافع کی رقم کو تین حصوں میں تقسیم کردیا، ایک حصہ اپنے چھوٹے بھائی کو دیا ، دوسرا حصہ اپنے لیے رکھا اور بقیہ حصہ مجھے (دلال) کو دیا۔ دوسری طرف میری ذمہ داری پوری ہوچکی ہے اور دلال بھی یہ جانتا ہے کہ میں نے پوری رقم دیدی ہے۔(۱) کیا دلال اور میرے رشتہ دار کے درمیان معاملہ کے حل کرنے میں میرا خاموش رہنا منا سب ہوگا؟ (۲) کیا میری طرف سے کہ یہ خیال کرنا صحیح ہوگا کہ پورے کاروبار میں دھوکا سے کام لیا گیا ہے ؟ چونکہ کمیشن میں کسی طرح کی کٹوتی یا تبدیلی کی بات یا تو مجھ تک پہنچ جانی چاہئے یا پھر اس بارے میں مجھے اطلاع دی جانی چاہئے کہ انصاف کے ساتھ اس کی دوبارہ تقسیم کس طرح کی جائے ؟ (۳) کیا اس طرح سے حاصل شدہ منافع کو جائز آمدنی مانا جائے گا؟ اندرونی خلفشار کو حل کرنے میں آپ کی رہنمائی معاون ثابت ہوگی۔","میں دہلی یونیورسٹی کا ریٹائرڈ استاذ ہوں، میں ایک معاملہ میں آپ کی رہنمائی چاہتا ہوں جس سے مجھے بہت زیادہ پریشانی ہوئی ہے۔کچھ عرصہ پہلے میں جے پور میں ایک پروپرٹی بیچنا چاہتاتھا اور اپنے ایک قریبی بھروسے مند رشتہ دار کو جو مقامی آدمی تھا، اس کی دیکھ بھال کے لیے کہا، اس نے کام کے لیے ایک دلال کو لگادیا اور پروپرٹی بیچ دی گئی۔خریدنے والے سے آخری قسط لیتے وقت اس نے 50,000/روپئے اپنے پاس رکھ لیے یہ کہتے ہوئے کہ یہ دلال کو دینا ہے، (معاملہ کو ڈیل کرنے میں دو فیصد) جو معمول کے مطابق ایک دلال کی فیس ہوتی ہیں۔بعد میں دلال نے شکایت کی کہ مجھے اپنے کام پر پوری فیس نہیں ملی، اس نے بتایا کہ آپ کے رشتہ دار نے منافع کی رقم کو تین حصوں میں تقسیم کردیا، ایک حصہ اپنے چھوٹے بھائی کو دیا ، دوسرا حصہ اپنے لیے رکھا اور بقیہ حصہ مجھے (دلال) کو دیا۔ دوسری طرف میری ذمہ داری پوری ہوچکی ہے اور دلال بھی یہ جانتا ہے کہ میں نے پوری رقم دیدی ہے۔(۱) کیا دلال اور میرے رشتہ دار کے درمیان معاملہ کے حل کرنے میں میرا خاموش رہنا منا سب ہوگا؟ (۲) کیا میری طرف سے کہ یہ خیال کرنا صحیح ہوگا کہ پورے کاروبار میں دھوکا سے کام لیا گیا ہے ؟ چونکہ کمیشن میں کسی طرح کی کٹوتی یا تبدیلی کی بات یا تو مجھ تک پہنچ جانی چاہئے یا پھر اس بارے میں مجھے اطلاع دی جانی چاہئے کہ انصاف کے ساتھ اس کی دوبارہ تقسیم کس طرح کی جائے ؟ (۳) کیا اس طرح سے حاصل شدہ منافع کو جائز آمدنی مانا جائے گا؟ اندرونی خلفشار کو حل کرنے میں آپ کی رہنمائی معاون ثابت ہوگی۔","<p>بسم الله الرحمن الرحيم</p><p> فتوی(د): 1156=922-8/1431<br><br>(۱) دلال سے معاملہ آپ نے طے کیا تھا یا آپ کے درمیانی رشتہ دار نے؟ اگر انھوں نے طے کیاتھا تو آپ بری الذمہ ہیں۔<br>(۲) انھیں (درمیانی رشتہ دار کو) وضاحت کردینی چاہیے تھی کہ خود میں اور میرا چھوٹا بھائی بھی کچھ محنتانہ لیں گے، اب یہ کریں کہ درمیانی رشتہ دار نے جو معاملہ دلال سے طے کیا ہو یا جو اُجرت معروف ہو اس کے مطابق وہ دلال سے معاملہ صاف کرلیں اور خود انھوں نے اور ان کے بھائی نے کچھ محنت دوڑ دھوپ کی ہو تو حق المحنت کے طور پر آپ انھیں کچھ دیدیں یہ آپ کی طرف سے تبرع اورمعاملہ صاف کرنے کی صورت ہوگی ورنہ جب ان کے حق المحنت کی کوئی بات شروع میں طے نہیں ہوئی تھی نہ ہی مکان فروخت کرانا بطور پیشہ ان کا عمل ہے تو ان کا حق المحنت آپ پر واجب نہیں۔<br>(۳) ورنہ ان کا دلال کا حق دبا کر رکھ لینا یا بدون آپ سے معاملہ طے کیے از خود رکھ لینا درست نہیں۔<br><br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",23744,deoband,معاملات,دیگر معاملات
01-Sep-2020,https://darulifta-deoband.com/home/ur/other-transactions/23106,اٹلی میں میری پی سی او کی دوکان ہے، میں نے لائن لگوائی ہے جسے اوئپ کہتے ہیں، اگر کوئی گاہک کال کرتاہے اور یہاں سے ٹون (کال ) جارہی ہوتی ہے ، لیکن آگے اگر کوئی جواب نہیں دیتاہے تو میری لائن میں سے پیسے کٹ جاتے ہیں ، کیا میں گاہک سے اگلی دفعہ بات ہوجانے پر پیسے لے سکتاہوں؟ اور یاد رہے کہ یہ جو پیسے کٹ تے ہیں، میں یہ لائن والوں کو ادکرتاہوں۔,اٹلی میں میری پی سی او کی دوکان ہے، میں نے لائن لگوائی ہے جسے اوئپ کہتے ہیں، اگر کوئی گاہک کال کرتاہے اور یہاں سے ٹون (کال ) جارہی ہوتی ہے ، لیکن آگے اگر کوئی جواب نہیں دیتاہے تو میری لائن میں سے پیسے کٹ جاتے ہیں ، کیا میں گاہک سے اگلی دفعہ بات ہوجانے پر پیسے لے سکتاہوں؟ اور یاد رہے کہ یہ جو پیسے کٹ تے ہیں، میں یہ لائن والوں کو ادکرتاہوں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(ب): 1663=1305-9/1431<br><br>جی ہاں لے سکتے ہیں۔<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",23106,deoband,معاملات,دیگر معاملات
30-Aug-2020,https://darulifta-deoband.com/home/ur/other-transactions/22707,اسلام علیکم محترمین و مکرمین مفتیان کرام موضوع: مشترکہ جائیدات میں تقسیم۔ دو بھائی زید و عمر ہیں ان میں زید قریب ۴ سال بڑا ہے۔ تقریباً ۶ سال قبل زید کے کہنے پر مشورہ سے عمر اور اسکی بیوی نے حج مشترکہ کاروبار سے حاصل ہونے والی رقم سے کیا۔ پورا کاروبار زید کے ہاتھ میں اسکے سارے لین دین اور آمدنی و اخرجات بھی زید کے ہی ہاتھوں ہوتے ہیں۔ زید بھی شادی شدہ ہے اسکے ۴ بچّے ہیں بڑا لڑکا تقریبا ۱۶ سال کا مدرسہ پڑھتا ہے ۔لڑکی ۱۳ سالہ مدرسہ پڑھتی ہے لڑکی ۱۰ سالہ اسکول جاتی ہے لڑکا ۸ سالہ اسکول جاتا ہے۔ عمر کے دو لڑکیاں بڑی ۱۲ سالہ ذہنی و جسمانی معذور اسکول مدرسہ نہیں پڑھ سکتی چھوٹی ۴ سالہ بچوں کے اسکول میں ایک سال قبل داخلہ لیا ہے۔ ہر ایک کے اخراجات مشترکہ کاروبار سے بلا تفریق و حساب پورے کئے جاتے ہیں اب دونوں بھائی علاحیدہ ہونا چاہتے ہیں مسئلہ یہ ہے کہ عمر اور اسکی بیوی کے اخراجات حج کو کس مد میں لیا جائے ۔کیا تقسیم کے وقت اس پر خرچ ہونے والی رقم کو عمر کا خرچ مان کر اسکو اسکے حصہ سے منہاء کیا جائے زید تقسیم سے قبل حج کرنا چاہتا ہے مع اپنی بیوی کے اس بات کا پتہ جب عمر کو دوسروں کے ذریعے لگا تو اس نے زید کو کہا کہ تم پہلے تقسیم کا عمل پورا کرو پھر اپنے حصے میں آنے والی رقم و ملکیت میں جو چاہو کرو اس وقت مشترکہ ملکیت میں سے حج کرنے میں میری رضامندی نہیں زید کے اس کہنے پر کہ تم نے بھی تو مشترکہ ملکیت حج کیا عمر نے یہ استدلال دیا کہ وہ ہم دونوں کی رضامندی سے تھا اس مرتبہ یہ بات نہیں ہے۔ اور نہ ہی تم نے مجھ سے اس متعلق کوئی مشورہ کیا ہے ۔ مذکورہ بالا مسلہ میں حنفی مسلک کے مطابق شریعی حل عنایت فرمائیں اور یہ بھی کہ زید و عمر کے لئیے اس معاملہ میں مستحسن عمل کیا ہو الگ سے واضع فرمادیں.,اسلام علیکم محترمین و مکرمین مفتیان کرام موضوع: مشترکہ جائیدات میں تقسیم۔ دو بھائی زید و عمر ہیں ان میں زید قریب ۴ سال بڑا ہے۔ تقریباً ۶ سال قبل زید کے کہنے پر مشورہ سے عمر اور اسکی بیوی نے حج مشترکہ کاروبار سے حاصل ہونے والی رقم سے کیا۔ پورا کاروبار زید کے ہاتھ میں اسکے سارے لین دین اور آمدنی و اخرجات بھی زید کے ہی ہاتھوں ہوتے ہیں۔ زید بھی شادی شدہ ہے اسکے ۴ بچّے ہیں بڑا لڑکا تقریبا ۱۶ سال کا مدرسہ پڑھتا ہے ۔لڑکی ۱۳ سالہ مدرسہ پڑھتی ہے لڑکی ۱۰ سالہ اسکول جاتی ہے لڑکا ۸ سالہ اسکول جاتا ہے۔ عمر کے دو لڑکیاں بڑی ۱۲ سالہ ذہنی و جسمانی معذور اسکول مدرسہ نہیں پڑھ سکتی چھوٹی ۴ سالہ بچوں کے اسکول میں ایک سال قبل داخلہ لیا ہے۔ ہر ایک کے اخراجات مشترکہ کاروبار سے بلا تفریق و حساب پورے کئے جاتے ہیں اب دونوں بھائی علاحیدہ ہونا چاہتے ہیں مسئلہ یہ ہے کہ عمر اور اسکی بیوی کے اخراجات حج کو کس مد میں لیا جائے ۔کیا تقسیم کے وقت اس پر خرچ ہونے والی رقم کو عمر کا خرچ مان کر اسکو اسکے حصہ سے منہاء کیا جائے زید تقسیم سے قبل حج کرنا چاہتا ہے مع اپنی بیوی کے اس بات کا پتہ جب عمر کو دوسروں کے ذریعے لگا تو اس نے زید کو کہا کہ تم پہلے تقسیم کا عمل پورا کرو پھر اپنے حصے میں آنے والی رقم و ملکیت میں جو چاہو کرو اس وقت مشترکہ ملکیت میں سے حج کرنے میں میری رضامندی نہیں زید کے اس کہنے پر کہ تم نے بھی تو مشترکہ ملکیت حج کیا عمر نے یہ استدلال دیا کہ وہ ہم دونوں کی رضامندی سے تھا اس مرتبہ یہ بات نہیں ہے۔ اور نہ ہی تم نے مجھ سے اس متعلق کوئی مشورہ کیا ہے ۔ مذکورہ بالا مسلہ میں حنفی مسلک کے مطابق شریعی حل عنایت فرمائیں اور یہ بھی کہ زید و عمر کے لئیے اس معاملہ میں مستحسن عمل کیا ہو الگ سے واضع فرمادیں.,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(ب):1093=207tb-6/1431<br><br>معاملات کی صفائی شرعاً مطلوب ہے جیسا کہ میل جول اور باہمی الفت ومحبت مطلوب ہے، مذکورہ بالا صورت میں اگر پہلے سے نفع کی کوئی حد مقرر نہیں تو رفعِ نزاع وتطییبِ قلوب کے لیے مشترک کاروبار سے حاصل ہونے والے منافع کی تنصیف کردی جائے اور ہرایک بھائی کو نفع کا آدھا حصہ دے دیا جائے اور اب تک مشترک کاروبار سے جو اخراجات ہوئے ان میں طرفین کی جانب سے رضامندی پائی گئی لہٰذا وہ ہرایک کا دوسرے کے لیے تبرع ہے جس کو حصہٴ نفع سے منہا نہیں کیا جائے گا، چنانچہ عمر اور اس کی بیوی کے حج پر ہونے والے اخراجات زید کی جانب سے تبرع ہیں جن کو عمر کے حصہٴ نفع سے منہا نہیں کیا جائے گا، اب موجودہ صورت میں یا تو عمر بھی زید کو مشترک کاروبار سے حج کرنے کی اجازت دے دے اس صورت میں یہ اخراجات عمر کی جانب سے تبرع ہوجائیں گے جن کو زید کے حصہ سے منہا نہیں کیا جائے گا، یا پھر دونوں بھائی پہلے کاروبار کی تقسیم کرلیں اس کے بعد ہرایک اپنے حصہ میں با اختیار ہوگا دوسرے کی رضامندی کی ضرورت نہ ہوگی، حدیث شریف میں ہے کہ کسی کا مال طیبِ نفس کے بغیر دوسرے کے لیے حلال نہیں، لا یحل مال امرئ إلا بطیب نفس منہ․ (مشکاة: ۲۵۵)<br><br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",22707,deoband,معاملات,دیگر معاملات
01-Sep-2020,https://darulifta-deoband.com/home/ur/other-transactions/22481,ہماری ایک فیکٹری سعودی عرب میں ہے، اورہمارے یہاں بیس سال سے لوگ کام کررہے ہیں،ہم ان کو صرف بارہ مہینے کی تنخواہ دیتے ہیں، بیچ میں کچھ لوگ بارہ سال رہ کر اپنے ملک چلے گئے، لیکن ہم نے ان کو کوئی الگ سے معاوضہ نہیں دیا یعنی (نہایت الخدمت) کسی کو نہیں دیا۔ سب کو معلوم بھی ہے کہ الگ سے ہمارے یہاں کچھ نہیں ملتا۔ اب اگر کوئی اپنا معاوضہ مانگتا ہے تو ہمیں کیا کرنا چاہیے؟ برائے مہربانی اس کے جواب سے ہمیں مطلع کریں۔ اللہ آپ کواس کا اجرکریم عطا کرے۔,ہماری ایک فیکٹری سعودی عرب میں ہے، اورہمارے یہاں بیس سال سے لوگ کام کررہے ہیں،ہم ان کو صرف بارہ مہینے کی تنخواہ دیتے ہیں، بیچ میں کچھ لوگ بارہ سال رہ کر اپنے ملک چلے گئے، لیکن ہم نے ان کو کوئی الگ سے معاوضہ نہیں دیا یعنی (نہایت الخدمت) کسی کو نہیں دیا۔ سب کو معلوم بھی ہے کہ الگ سے ہمارے یہاں کچھ نہیں ملتا۔ اب اگر کوئی اپنا معاوضہ مانگتا ہے تو ہمیں کیا کرنا چاہیے؟ برائے مہربانی اس کے جواب سے ہمیں مطلع کریں۔ اللہ آپ کواس کا اجرکریم عطا کرے۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(ل):879=625-6/1431<br><br>اگر آپ نہایت الخدمت کے نام پر کسی کو کچھ نہیں دیتے اور سب کو اس بات کا علم بھی ہے تو کسی کے لیے ملازمت چھوڑنے پر بطورِ نہایت الخدمت کا مطالبہ کرنا درست نہیں۔ اگر کوئی مطالبہ کرتا ہے تو آپ اس کو دینے سے منع کرسکتے ہیں۔<br><br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",22481,deoband,معاملات,دیگر معاملات
01-Sep-2020,https://darulifta-deoband.com/home/ur/other-transactions/22470,میرا سوال ہے کہ قسطوں پر کار دینے والوں کو جب کار کی پوری قسط اپنے وقت پر نہیں ملتی ہے تو وہ لوگ کار زبردستی واپس لے لیتے ہیں اور اس کا پیسہ واپس نہیں کرتے ہیں۔ بعد میں اس کار کو دوسرے کے ہاتھ بیچ دیتے ہیں۔ اور اپنی بقایا رقم نکال لیتے ہیں۔ خریدنے والے کو یہ فائدہ ہوتا ہے کہ اسے کار سستی ملتی ہے۔ تو کیا یہ سودا حرام ہے یا حلال ہے؟,میرا سوال ہے کہ قسطوں پر کار دینے والوں کو جب کار کی پوری قسط اپنے وقت پر نہیں ملتی ہے تو وہ لوگ کار زبردستی واپس لے لیتے ہیں اور اس کا پیسہ واپس نہیں کرتے ہیں۔ بعد میں اس کار کو دوسرے کے ہاتھ بیچ دیتے ہیں۔ اور اپنی بقایا رقم نکال لیتے ہیں۔ خریدنے والے کو یہ فائدہ ہوتا ہے کہ اسے کار سستی ملتی ہے۔ تو کیا یہ سودا حرام ہے یا حلال ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(ب):936=748-6/1431<br><br>جب قسط وار ایک شخص کے ہاتھ فروخت کردی اور برابر قسط وار روپئے ادا کررہا ہے تو وہ کار اس کی ملک ہوگئی، ایک آدھ قسط کی عدم ادائیگی کی صورت میں کار کو خریدار سے زبردستی لے لینا پھر اس کار کا واپس نہ کرنا یہ بہت بڑے ظلم کی بات ہے، اور پھر اس کے پیسے واپس نہ کرنا یہ ظلم درظلم ہے پھر کسی اور کے ہاتھ فروخت کردینا یہ مزید ظلم کی بات ہے، پہلے خریدار سے بھی پیسے لیے اور دوسرے خریدار سے بھی پیسے لیے، یہ فعل قطعاً ناجائز وحرام ہے۔&nbsp;<br><br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",22470,deoband,معاملات,دیگر معاملات
01-Sep-2020,https://darulifta-deoband.com/home/ur/other-transactions/22295,"موجودہ سیونگ لمٹ جس کا حکومت ہند اعلان کیا ہے ،میں پی ایف میں 100,000/ڈپوزت( جمع ) کرسکتاہوں تاکہ انکم ٹیکس سے راحت ملے۔اگر یہ رقم ضروری ڈپوزٹ سے زیادہ ہو تو کیا میں اضافی ڈپوزٹ سے فائدہ اٹھا سکتاہوں؟ والسلام","موجودہ سیونگ لمٹ جس کا حکومت ہند اعلان کیا ہے ،میں پی ایف میں 100,000/ڈپوزت( جمع ) کرسکتاہوں تاکہ انکم ٹیکس سے راحت ملے۔اگر یہ رقم ضروری ڈپوزٹ سے زیادہ ہو تو کیا میں اضافی ڈپوزٹ سے فائدہ اٹھا سکتاہوں؟ والسلام","<p>بسم الله الرحمن الرحيم</p><p> فتوی(ل):885=632-6/1431<br><br>فی نفسہ اپنے اختیار سے رقم ڈپوزٹ کرنا جائز نہیں البتہ اگر صرف انکم ٹیکس سے بچنے کے لیے ایسا کریں اور اس سے حاصل شدہ سود بلانیت ثواب فقیروں وغیرہ پر صدقہ کردیں تو ممکن ہے کہ آپ پر وبال نہ ہو۔&nbsp;<br>&nbsp;”اگر یہ رقم ضروری ڈپوزٹ سے زیادہ ․․الخ“ کی پوری وضاحت کرکے سوال کریں، پھر ان شاء اللہ جواب دیا جائے گا۔<br><br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",22295,deoband,معاملات,دیگر معاملات
01-Sep-2020,https://darulifta-deoband.com/home/ur/other-transactions/22074,اگر میں نصف پیداوار پر اپنی زمین کاشت کار ی کے لیے دوں تو کسان نصف پیداوار نہیں دیتے ہیں۔کیا میں پیداوار(ہنڈا) کے متعین شیئر پر دے سکتاہوں؟ درج ذیل شرائط پر: (۱) ناگہانی حالات جیسے خشکی، قحط سالی وغیرہ کے موقع پر اپنا شیئر کم کرسکتا ہوں۔(۲) میں تمام مال گذاری، آب پاشی ٹیکس اداکروں گا ، (۳) پیداوار کے فیکس شیئرکا فیصلہ غور و فکر سے کیا جاتاہے ۔ کیا میں متعین رقم پر کاشت کار ی کے لیے زمیں دے سکتاہوں؟,اگر میں نصف پیداوار پر اپنی زمین کاشت کار ی کے لیے دوں تو کسان نصف پیداوار نہیں دیتے ہیں۔کیا میں پیداوار(ہنڈا) کے متعین شیئر پر دے سکتاہوں؟ درج ذیل شرائط پر: (۱) ناگہانی حالات جیسے خشکی، قحط سالی وغیرہ کے موقع پر اپنا شیئر کم کرسکتا ہوں۔(۲) میں تمام مال گذاری، آب پاشی ٹیکس اداکروں گا ، (۳) پیداوار کے فیکس شیئرکا فیصلہ غور و فکر سے کیا جاتاہے ۔ کیا میں متعین رقم پر کاشت کار ی کے لیے زمیں دے سکتاہوں؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(ل):774=605-6/1431<br><br>بہتر یہی ہے کہ متعین رقم یا متعین غلہ پر آپ زمین بطور کرایہ داری دیدیں اور غلہ میں یہ شرط نہ ہو کہ آپ کے ہی زمین کا پیدا شدہ ہو بلکہ کوئی بھی ہوسکتا ہے، البتہ اس کی قسم اور صفت متعین ہونی چاہیے۔<br>(۱) قحط سالی وغیرہ کی وجہ سے بخوشی آپ کم وصول کریں تو اس میں حرج نہیں بلکہ مستحسن ہے۔&nbsp;<br>(۲) درست ہے، البتہ مذکورہ شکل میں پانی کی قیمت بذمہ کرایہ دار ہوگی۔<br>(۳) اوپر جواب لکھ دیا گیا۔<br><br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",22074,deoband,معاملات,دیگر معاملات
01-Sep-2020,https://darulifta-deoband.com/home/ur/other-transactions/22064,قسط پر موٹر سائیکل خریدنا چاہتا ہوں۔ نقد قیمت ۳۸/ ہزار روپئے ہیں اور قسط پر ۵۰/ ہزارروپئے ہیں۔ کیا اس صورت میں قسط پر موٹرسائیکل خرید سکتا ہوں؟میر ی کوئی ملازمت نہیں ہے اور میں مصنوعات کی فروختگی کے لیے موٹر سائیکل استعمال کرنا چاہتا ہوں۔,قسط پر موٹر سائیکل خریدنا چاہتا ہوں۔ نقد قیمت ۳۸/ ہزار روپئے ہیں اور قسط پر ۵۰/ ہزارروپئے ہیں۔ کیا اس صورت میں قسط پر موٹرسائیکل خرید سکتا ہوں؟میر ی کوئی ملازمت نہیں ہے اور میں مصنوعات کی فروختگی کے لیے موٹر سائیکل استعمال کرنا چاہتا ہوں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p class=""MsoNormal"" dir=""rtl""><span lang=""AR-SA"" style=""FONT-FAMILY: 'Jameel Noori Nastaleeq'; mso-bidi-font-size: 12.0pt; mso-ansi-language: EN-IN"">فتوی(م): 722=722-5/1431</span></p><p class=""MsoNormal"" dir=""rtl""><span lang=""AR-SA"" style=""FONT-FAMILY: 'Jameel Noori Nastaleeq'; mso-bidi-font-size: 12.0pt; mso-ansi-language: EN-IN""><span>&nbsp;</span></span></p><p class=""MsoNormal"" dir=""rtl""><span lang=""AR-SA"" style=""FONT-FAMILY: 'Jameel Noori Nastaleeq'; mso-bidi-font-size: 12.0pt; mso-ansi-language: EN-IN"">قسط پر خریداری کا معاملہ صاف طور پر پہلے طے کرلیں، </span><span lang=""FA"" style=""FONT-FAMILY: 'Jameel Noori Nastaleeq'; mso-bidi-font-size: 12.0pt; mso-ansi-language: EN-IN; mso-bidi-language: FA"">۵۰</span><span lang=""AR-SA"" style=""FONT-FAMILY: 'Jameel Noori Nastaleeq'; mso-bidi-font-size: 12.0pt; mso-ansi-language: EN-IN""> ہزار میں قسط پر موٹر سائیکل کی خریداری کرسکتے ہیں بشرطیکہ الگ سے سود نہ بھرنا پڑے۔</span></p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",22064,deoband,معاملات,دیگر معاملات
01-Sep-2020,https://darulifta-deoband.com/home/ur/other-transactions/21982,براہ کرم، لیز کے بارے میں مسئلہ بتائیں۔ اس طریقے سے کہ دو یاتین سال کے لیے ایک بڑی رقم دے کر مکان یا دوکان لیتے ہیں اور مدت ختم ہونے پر مکان چھوڑ کر اپنی رقم واپس مل جاتی ہے ، کیایہ صورت جائز ہے؟یا کسی بڑی عمارت میں فلیٹ اسی طریقے سے لیتے ہیں ، لیکن عمارت کی دیکھ بھال کے نام سے ما ہانہ کچھ رقم دی جاتی ہے اور دو یا تین سال کی مدت ختم ہونے پر صرف لیز کی رقم واپس مل جاتی ہے ، تو کیا یہ صورت جائزہو سکتی ہے ؟,براہ کرم، لیز کے بارے میں مسئلہ بتائیں۔ اس طریقے سے کہ دو یاتین سال کے لیے ایک بڑی رقم دے کر مکان یا دوکان لیتے ہیں اور مدت ختم ہونے پر مکان چھوڑ کر اپنی رقم واپس مل جاتی ہے ، کیایہ صورت جائز ہے؟یا کسی بڑی عمارت میں فلیٹ اسی طریقے سے لیتے ہیں ، لیکن عمارت کی دیکھ بھال کے نام سے ما ہانہ کچھ رقم دی جاتی ہے اور دو یا تین سال کی مدت ختم ہونے پر صرف لیز کی رقم واپس مل جاتی ہے ، تو کیا یہ صورت جائزہو سکتی ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(ل):855=595-5/1431<br><br>لیز پر مکان یا دکان لینے کی مذکورہ بالا دونوں شکلیں ناجائز ہیں، کیوں کہ اس میں قرض سے نفع اٹھانا ہے جو شرعاً ناجائز وحرام ہے۔<br><br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",21982,deoband,معاملات,دیگر معاملات
