issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/hadith-sunnah/170357,نبی کریم علیہ السلام كا بغیر توقف جواب دینا كس زمرے میں آتا ہے؟,جن روایات میں ذکر ہے کہ نبی علیہ السلام سے کسی نے کوئی غیر معمولی سوال کیا اور آپ نے بغیر توقف کیے جواب عرض کر دیا (اور روایت میں وحی کے آنے کا ذکر بھی نہیں ) تو یہ جوابات حضور صلی اللہ علیہ وسلم نے کس علم کی بنیاد پر عرض فرمائے ؟ مثلاً بخاری میں ہے نبی علیہ السلام نے فرمایا کہ مجھ سے جو چاہے پوچھ لو ، یہ دعویٰ ہی علم کی دلیل ہے اور پھر عبداللہ بن حذافہ نے پوچھا کہ میرا باپ کون ہے تو آپ نے اسے بتا دیا ایک اور نے اپنے باپ کا پوچھا تو آپ نے بتایا کہ ابوک سالم مولیٰ شیبہ ۔ اس کے علاوہ بھی بے شمار روایات ہیں ۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:982-917/L=10/1440</span></p><p dir=""RTL"">
	آپ ﷺ کا اس طرح جواب دینا بربنائے وحی تھا یہ ممکن ہے کہ اس وقت حجابات منکشف ہوگئے ہوں ،اس کے علاوہ آپ ﷺ نے اپنے علم کے مطابق جو جوابات دیے ہیں ان کے بارے میں دو احتمال ہیں یا تو آپ ﷺ کی طرف اس کی وحی کی گئی ہو یا آپ ﷺ نے اجتہاداً بتلایا ہو؛ البتہ نبی کا اجتہاد بھی وحی ہوتا ہے،بایں طور اگر نبی سے اجتہاد میں چوک ہوتی ہے تو وحی سے اس کی اصلاح کردی جاتی ہے ۔</p><p dir=""RTL"">
	قولہ: (سلونی) جملة من الفعل والفاعل والمفعول. قال بعض العلماء: ہذا القول منہ، علیہ الصلاة والسلام، محمول علی أنہ أوحی إلیہ بہ، إذ لا یعلم کل ما یسأل عنہ من المغیبات إلا بإعلام اللہ تعالی.(عمدة القاری شرح صحیح البخاری 2/ 114) فإن قلت: من أین عرف رسول اللہ، علیہ الصلاة والسلام، أنہ ابنہ؟ قلت: إما بالوحی، وہو الظاہر، أو بحکم الفراسة، أو بالقیاس، أو بالاستلحاق.(عمدة القاری شرح صحیح البخاری 2/ 114)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",170357,deoband,عقائد و  ایمانیات,حدیث و سنت
01-Sep-2020,https://darulifta-deoband.com/home/ur/hadith-sunnah/170234,درود تنجینا پڑھنا درست ہے یا نہیں؟,اللہم صلی اعلی سیدنا محمد و علی آل سیدنا محمد صلوة تنجینا بہا من جمیع الاھوال و الآفات و تقضی لنا بہا جمیع الحاجات و تطہرنا بہا من جمیع السیات و ترفعنا بہا اعلی الدرجات و تبلغنا بہ اقصی الغایات من جمیع الخیرات فی الحیوة و بعد الممات انک علی کل شی قدیر ۔ اس درود کے بارے میں کہا جاتاہے کہ یہ درد تنجینا ہے، اس کی حقیقت کیا ہے؟ کیا یہ حدیثوں ے ثابت ہے؟ کیا اس کو پڑھنا ٹھیک ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:780-76T/sd=8/1440</span></p><p dir=""RTL"">
	یہ درود کسی حدیث میں ہمیں نہیں ملا؛ البتہ عبدالرحمن صفوری شافعی<span dir=""LTR""></span>نے اپنی مشہور کتاب نزہة المجالس میں اس درود کو ذکر فرمایا ہے۔ (نزہة المجالس ومنتخب النفائس: ۲/ ۸۶) اور معانی کے اعتبار سے اس میں کوئی سقم نہیں ہے، لہٰذا اس کو پڑھ سکتے ہیں۔ آپ کے مسائل اور ان کے حل میں ہے: سوال: میں نے پڑھا تھا کہ صلاة تنجینا ایک ہزار بار پڑھنے سے اللہ تعالیٰ ہرمشکل آسان کردیتا ہے؟ جواب: مجھے معلوم نہیں، بہرحال درود شریف اچھا ہے، اور اللہ تعالیٰ کے لیے کیا مشکل ہے کہ اللہ تعالیٰ اس درود شریف کی برکت سے مشکلات آسان کردے۔ (۴/ ۲۶۶) لیکن واضح رہنا چاہیے کہ درود شریف میں سب سے افضل اور بہتر وہ درود ہیں جن کے ا لفاظ احادیث میں منقول ہیں اور ایسے بعض درودوں کا مجموعہ بزرگوں نے رسالہ کی شکل میں جمع کردیا ہے مثلاً ”زاد السعید“، اس کو پڑھنے کا زیادہ اہتمام کرنا چاہیے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",170234,deoband,عقائد و  ایمانیات,حدیث و سنت
03-Nov-2021,https://darulifta-deoband.com/home/ur/hadith-sunnah/170108,حضورﷺ کی میراث کی تقسیم والی حدیث کی تشریح,طبرانی کی حدیث کہ حضرت ابو ہریرہ نے بازار میں جاکر اعلان کیا کہ مسجد میں نبی کی میراث تقسیم ہورہی ہے اس حدیث کی صحیح تشریں فرمائیں۔(۱) کیا ابو ہریرہ مسجد ہی سے بازار میں آئے تھے اس اعلان کے لیے؟ (۲) استقبال میں کسے کھڑا کیا تھا (کون تھا استقبال میں) ،(۳) کیا یہ عمل صرف دعوت تعلیم استقبال تھا ؟(۴) اس حدیث کی صحیح تشریح فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:881-143T/sn=9/1440</p><p>طبرانی کی اس حدیث کا متن یہ ہے:</p><p>حدثنا أحمد قال: نا علی بن محمد بن أبی المضاء قال: کتبت من کتاب خلف بن تمیم، عن علی بن مسعدة قال: نا عبد اللہ الرومی، عن أبی ہریرة، أنہ مر بسوق المدینة، فوقف علیہا، فقال:&nbsp; صلى الله عليه وسلم ”یا أہل السوق، ما أعجزکم“ قالوا: وما ذاک یا أبا ہریرة؟ قال:&nbsp; صلى الله عليه وسلم ”ذاک میراث رسول اللہ صلی اللہ علیہ وسلم یقسم، وأنتم ہاہنا لا تذہبون فتأخذون نصیبکم منہ“ قالوا: وأین ہو؟ قال:&nbsp; صلى الله عليه وسلم ”فی المسجد“ فخرجوا سراعا إلی المسجد، ووقف أبو ہریرة لہم حتی رجعوا، فقال لہم:&nbsp; صلى الله عليه وسلم ”ما لکم؟“ قالوا: یا أبا ہریرة فقد أتینا المسجد، فدخلنا، فلم نر فیہ شیئا یقسم. فقال لہم أبو ہریرة:&nbsp; صلى الله عليه وسلم ”أما رأیتم فی المسجد أحدا؟“ قالوا: بلی، رأینا قوما یصلون، وقوما یقرء ون القرآن، وقوما یتذاکرون الحلال والحرام، فقال لہم أبو ہریرة:&nbsp; صلى الله عليه وسلم ”ویحکم، فذاک میراث محمد صلی اللہ علیہ وسلم“ .&nbsp; صلى الله عليه وسلم ”لم یرو ہذا الحدیث عن عبد اللہ بن الرومی إلا علی بن مسعدة“(المعجم الأوسط 2/ 115)</p><p>اور مرقات شرح مشکات میں ایک جگہ ان الفاظ سے اس کی ترجمانی کی گئی ہے:</p><p>ویذکر عن أبی ہریرة - رضی اللہ عنہ - أنہ مر یوما فی السوق بقوم مشتغلین بتجاراتہم فقال: أنتم ہاہنا، ومیراث رسول اللہ - صلی اللہ علیہ وسلم - یقسم فی المسجد؟ فقاموا سراعا إلیہ فلم یجدوا فیہ إلا القرآن والذکر ومجالس العلم فقالوا: أین ما قلت یا أبا ہریرة؟ فقال: ہذا میراث محمد - صلی اللہ علیہ وسلم - یقسم بین ورثتہ ولیس بمواریثہ دنیاکم (وإنما ورثوا العلم) : لإظہار الإسلام ونشر الأحکام، أو بأحوال الظاہر والباطن علی تباین أجناسہ واختلاف أنواعہ إلخ(مرقاة المفاتیح شرح مشکاة المصابیح 1/ 297، دار الفکر، بیروت لبنان)</p><p>حدیث مذکور کا حاصل یہ ہے کہ ایک روز حضرت ابو ہریرہ رضی اللہ عنہ بازار سے گزر رہے تھے کہ دیکھا کہ کچھ لوگ اپنے کاروبار میں مصروف ہیں تو آپ نے ا ن سے فرمایا: تم لوگ یہاں ہواور مسجد میں اللہ کے رسول ﷺ کی میراث تقسیم ہورہی ہے، تو وہ لوگ مسجد کی طرف نکلے، وہاں جا کے دیکھا کہ کچھ لوگ نمازوں میں مشغول تھے تو کچھ تلاوت میں اور کچھ حضرات حلال وحرام کا مذاکرہ کررہے تھے یعنی شرعی مسائل کا مذاکرہ ہورا تھا، جب لوگوں نے حضرت ابو ہریرة&nbsp; رضی اللہ عنہ سے دریافت کیا کہ آپ نے جو کہا تھا یعنی تقسیم میراث کی بات وہ کہاں ہے؟ تو آپ&nbsp; رضی اللہ عنہ نے فرمایا : اللہ کے رسول صلی اللہ علیہ وسلم کی میراث یہی تو ہے یعنی نماز ، تلاوت، اوردینی مسائل کا مذاکرہ ۔ اس حدیث میں اس مشہور روایت کی تشریح بھی ہے جس میں کہا گیا ہے کہ علما انبیا کے وارث ہیں؛ لیکن وہ مال کے وارث نہیں ہیں ؛ بلکہ علم دین کے وارث ہیں ، اس کی نشر اشاعت انہی کی ذمے داری ہے، چناچہ صاحب مرقات نے اسی حدیث کی تشریح کے تحت اسے نقل کیا ہے۔</p><p>&nbsp;اس حدیث میں یہ مذکور نہیں ہے کہ استقبال کے لیے کسے کھڑا کیا گیا تھا اور نہ یہ مذکور ہے کہ حضرت ابو ہریرة&nbsp; رضی اللہ عنہ مسجد سے بازار گئے تھے، ممکن ہے وہ مسجد سے گیے ہوں، یہ بھی ممکن ہے کہ مسجد کے پاس سے جب وہ گز رہے تھے تب انھوں نے یہ معمول دیکھا نیز یہ بھی ہوسکتا ہے کہ روزانہ کے معمول کے پیشِ نظر انھوں نے یہ بات کہی ہو۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",170108,deoband,عقائد و  ایمانیات,حدیث و سنت
01-Sep-2020,https://darulifta-deoband.com/home/ur/hadith-sunnah/170056,كیا كھانا مسنون ہے؟,کیا فرماتے ہیں علمائے دین اِس مسئلہ میں کہ چاول کھانا سنت ہے اگر نہیں تو کیا کھانا مسنون ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 850-715/B=08/1440</span></p><p dir=""RTL"">
	چاول کھانے کا ذکر احادیث میں ہمیں نہیں ملا؛ البتہ آپ کا دو دو (۲-۲) ماہ تک کھجور اور پانی پر کفایت کرنا، جو کی روٹی کھانا، کبھی کبھی گوشت کھانا، کدو شوربے میں تلاش کر کر کے کھانا، ثرید کھانا (یعنی گوشت کے شوربے میں روٹی توڑ کر کھانا) پنیر کھانا، حلوہ کھانا شہد وغیرہ وغیرہ چیزوں کا احادیث میں ذکر ملتا ہے۔ مختلف ملکوں میں الگ الگ چیزیں کھائی جاتی ہیں۔ جو چیزیں جائز و حلال و پاک ہیں انہیں کھا سکتے ہیں۔ کھانے پینے میں نبی پاک صلی اللہ علیہ وسلم کی سنت پر ہمیں عمل کرنا بہت مشکل ہے۔ جہاں جو چیز رائج ہو اسے کھانا چاہئے۔ پس حلال و پاک ہونا چاہئے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",170056,deoband,عقائد و  ایمانیات,حدیث و سنت
01-Sep-2020,https://darulifta-deoband.com/home/ur/hadith-sunnah/170027,آپ صلی اللہ علیہ وسلم کے گڑ کے عادی ہونے کے سلسلے میں ایک واقعہ سے متعلق سوال,حضرت ایک واقعہ کہ ایک عورت نبی صلی اللّٰہ علیہ وسلم کے پاس آئی اپنے بچے کو لیکر کہ یہ گُڑ بہت کھاتا ہے اور آپ صلی اللّٰہ علیہ وسلم اس کو منع فرمادیں تاکہ یہ گُڑ نہ کھایا کرے آپ صلی اللّٰہ علیہ وسلم نے فرمایا کہ تم کل آنا جب وہ عورت کل آئی تو آپ صلی اللّٰہ علیہ وسلم نے فرمایا بیٹا تم نے آج کے بعد گُڑ نہیں کھانا اس پر عورت نے کہا یارسول اللّٰہ صلی اللّٰہ تعالیٰ علیہ وسلم اتنی سی بات اگر آپ صلی اللّٰہ تعالیٰ علیہ وسلم کل ہی اس کو فرمادیتے تو آپ صلی اللّٰہ تعالیٰ علیہ وسلم نے فرمایا کہ میں نے کل خود گُڑ کھایا تھا اس کے بعد اس نبی صلی اللّٰہ تعالیٰ علیہ وسلم نے ساری زندگی گُڑ نہیں کھایا یا کہ اس بچے نے نہیں کھایا اس بات کی وضاحت کردیں کہ پہلے نمبر پر یہ بات حدیث یا واقعہ صحیح ہے یانہیں اگر ہے تو برائے مہربانی پوری عربی عبارت کے ساتھ اور حوالہ کے ساتھ بتادیں کہ صحیح حدیث یا واقعہ کیا ہے مہربانی ہوگی اگر اس واقعہ کی مکمل تفصیل وحدیث سے آگاہ کر دیاجائے بہت ضروری ہے ۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:795-689/sn=8/1440</span></p><p dir=""RTL"">
	اس طرح کے کسی واقعے کا ذکر معتبر کتب احادیث وسیرمیں نہیں ملتا۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",170027,deoband,عقائد و  ایمانیات,حدیث و سنت
01-Sep-2020,https://darulifta-deoband.com/home/ur/hadith-sunnah/170016,حدیث میں آسیب كا علاج,ابولیلیٰ رضی اللہ عنہ کہتے ہیں کہ میں نبی اکرم صلی اللہ علیہ وسلم کے پاس بیٹھا ہوا تھا کہ آپ کے پاس ایک اعرابی نے آ کر کہا: میرا ایک بیمار بھائی ہے ، آپ صلی اللہ علیہ وسلم نے سوال کیا: تمہارے بھائی کو کیا بیماری ہے ؟ وہ بولا: اسے آسیب ہو گیا ہے ، آپ صلی اللہ علیہ وسلم نے فرمایا: جاؤ اسے لے کر آوٴ ، ابولیلیٰ کہتے ہیں کہ وہ ( اعرابی ) گیا اور اسے لے آیا، آپ صلی اللہ علیہ وسلم نے اسے اپنے سامنے بیٹھایا، میں نے آپ کو سنا کہ آپ نے اسے دم کیا، سورة فاتحہ، سورة البقرہ کی ابتدائی چار آیات اور درمیان کی دو آیتیں، اور وإلہکم إلہ واحد والی آیت، آیت الکرسی، پھر سورة البقرہ کی آخری تین آیات، آل عمران کی آیت ( جو میرے خیال میں ) شہد اللہ أنہ لا إلہ إلا ہو ہے ، سورة الاعراف کی آیت إن ربکم اللہ الذی خلق، سورة مومنون کی آیت ومن یدع مع اللہ إلہا آخر لا برہان لہ بہ، سورة الجن کی آیت وأنہ تعالی جد ربنا ما اتخذ صاحبة ولا ولدا اور سورة الصافات کے شروع کی دس آیات، اور سورة الحشر کی آخری تین آیات، سورة قل ہو اللہ أحد اور معوذتین کے ذریعے ، تو اعرابی شفایاب ہو کر کھڑا ہو گیا، اور ایسا لگ رہا تھا کہ اسے کوئی تکلیف نہیں ہے ۔ ان میں جو ایات ہیں ان کا آیت اور سورہ نمبر بھیج دیں اور اس ذرا تفصیل سے جواب دیں اللہ آپ کو جزائے خیر عطا فرمائے ۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:902-93T/L=8/1440</span></p><p dir=""RTL"">
	یہ روایت ابن ماجہ کی ہے الفاظ یہ ہیں :</p><p dir=""RTL"">
	عن عبد الرحمن بن أبی لیلی، عن أبیہ أبی لیلی قال: کنت جالسا عند النبی صلی اللہ علیہ وسلم إذ جاء ہ أعرابی فقال: إن لی أخا وجعا، قال: ”ما وجع أخیک؟“ قال: بہ لمم، قال: ”اذہب فأتنی بہ“ . قال: فذہب فجاء بہ، فأجلسہ بین یدیہ، فسمعتہ عوذہ بفاتحة الکتاب، وأربع آیات من أول البقرة، وآیتین من وسطہا، }وإلہکم إلہ واحد{ (البقرة: 163) ، وآیة الکرسی، وثلاث آیات من خاتمتہا، وآیة من آل عمران أحسبہ قال: }شہد اللہ أنہ لا إلہ إلا ہو{ (آل عمران: 18) وآیة من الأعراف: }إن ربکم اللہ الذی خلق{ (الأعراف: 54) الآیة، وآیة من المؤمنین، }ومن یدع مع اللہ إلہا آخر لا برہان لہ بہ{ (المؤمنون: 117) ، وآیة من الجن، }وأنہ تعالی جد ربنا ما اتخذ صاحبة ولا ولدا{ (الجن: 3) ، وعشر آیات من أول الصافات، وثلاث آیات من آخر الحشر، وقل ہو اللہ أحد، والمعوذتین، فقام الأعرابی، قد برأ لیس بہ بأس .(سنن ابن ماجہ: ،باب الفزع والأرق وما یتعوذ منہ)</p><p dir=""RTL"">
	اس میں ہر آیت کے ختم پر سورہ اور آیت نمبر کو لکھدیا گیا ہے اس سے آپ بآسانی قرآن شریف سے ان آیات کو نکال سکتے ہیں،واضح رہے کہ اس طرح کی احادیث کو سامنے رکھتے ہوئے شیخ الحدیث حضرت مولانا زکریا <span dir=""LTR""></span>نے ”منزل“کے نام سے ان آیات کو جمع کردیا ہے آپ اس (منزل)کو کسی کتب خانہ سے حاصل کرکے اس کا معمول بنالیں ان شاء اللہ آسیب سحر وغیرہ سے حفاظت ہوگی ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",170016,deoband,عقائد و  ایمانیات,حدیث و سنت
01-Sep-2020,https://darulifta-deoband.com/home/ur/hadith-sunnah/170000,چالیس تیس دجال آئیں گے ، کیا یہ بات درست ہے؟,میرا سوال یہ ہے کہ چالیس تیس دجال آئیں گے ، کیا یہ بات درست ہے؟ اور دجال آخری وہی ہوگا جو خدائی کا دعوی کرے گا یعنی چالیس یا تیس دجال کے بعد۔ دابة الارض کہنے سے نکلے گا حدیث کے مطابق؟ براہ کرم، رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:693-664/L=7/1440</span></p><p dir=""RTL"">
	حدیث شریف میں اس کی صراحت ہے کہ جب تک تقریباً تیس دجال کذاب جھوٹے مدعی نبوت ظاہر نہ ہوں اس وقت تک قیامت قائم نہ ہوگی اور دجال اکبر کا ظہور جو الوہیت کا دعوی کرے گا یہ قیامت کی علاماتِ کبری میں سے ہے۔</p><p dir=""RTL"">
	عن أبی ہریرة، عن النبی صلی اللہ علیہ وسلم، قال: لا تقوم الساعة حتی یبعث دجالون کذابون قریب من ثلاثین، کلہم یزعم أنہ رسول اللہ(صحیح مسلم :۲/397)</p><p dir=""RTL"">
	(۲) جس دن مغرب سے آفتاب طلوع ہوگا اسی دن یااگلے دن دابة الأرض (عجیب الخلقت جانور) زمین سے نکلے گا یا مکہ مکرمہ کا ایک پہاڑ جس کو کوہِ صفا کہتے ہیں وہ پھٹے گا اور اس میں سے یہ جانور نکلے گا اور لوگوں سے کلام کرے گا ۔(عقائدِ اسلام :۱/۱۱۳) وأما الدابة المذکورة فی ہذا الحدیث فہی المذکورة فی قولہ تعالی وإذا وقع القول علیہم أخرجنا لہم دابة من الأرض قال المفسرون ہی دابة عظیمة تخرج من صدع فی الصفا وعن بن عمرو بن العاص أنہا الجساسة المذکورة فی حدیث الدجال (شرح النووی علی مسلم :2/393)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",170000,deoband,عقائد و  ایمانیات,حدیث و سنت
01-Sep-2020,https://darulifta-deoband.com/home/ur/hadith-sunnah/169777,عمامہ كی چوڑائی كی مقدار كیا ہے؟,عمامہ کا کپڑا اگر چوڑائی میں کم ہو تو دو کپڑوں کی سلائی کرکے عمامہ کی چوڑائی بڑھائی جائے تو سنت ادا ہو جائے گی؟ اور عموماً عمامہ کی چوڑائی کتنی ہونی چاہیے یہ بھی ذرا بتائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:876-840/L=9/1440</span></p><p dir=""RTL"">
	عمامہ کی چوڑائی کسی صحیح حدیث سے ثابت نہیں،حسب ِ حال جس قدر عمامہ چوڑا رکھنے کا معمول ہو اسی قدر چوڑا رکھنا کافی ہے اور اس سے سنت کی ادائیگی ہوجائے گی ،چوڑائی کی کسی خاص مقدار کو سنت سمجھنا اور اس مقدار کو لازم سمجھنا درست نہیں،پس اگر عمامہ کی چوڑائی اتنی ہے کہ اس کو بآسانی سر پر باندھا جاسکتا ہے تو پھر اس کے ساتھ دوسرے کپڑے کو جوڑکر مزید چوڑا کرنے کی ضرورت نہیں ۔</p><p dir=""RTL"">
	قال الجزری فی تصحیح المصابیح قد تتبعت الکتب وتطلبت من السیر والتواریخ لأقف علی قدر عمامة النبی - صلی اللہ علیہ وسلم - فلم أقف علی شیء، حتی أخبرنی من أثق بہ أنہ وقف علی شیء من کلام النووی، ذکر فیہ أنہ ”کان لہ -صلی اللہ علیہ وسلم - عمامة قصیرة، وعمامة طویلة، وأن القصیرة کانت سبعة أذرع، والطویلة اثنی عشر ذراعا“ اہ.(مرقاة المفاتیح شرح مشکاة المصابیح:8/250،ط:أشرفیة دیوبند)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",169777,deoband,عقائد و  ایمانیات,حدیث و سنت
01-Sep-2020,https://darulifta-deoband.com/home/ur/hadith-sunnah/169685,اصحابی کالنجوم كا مطلب كیا ہے؟,اصحابی کالنجوم ۔ اس حدیث کا دائرہ کار کیا ہے ، کیا کسی بھی ایک صحابی کی رائے یا فتویٰ پر عمل کرنا درست ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 774-670/B=07/1440</span></p><p dir=""RTL"">
	اگر مسئلہ غیر مدرَک بالرای ہے یعنی عقل سے وہ نہیں سمجھا جا سکتا ہے تو ایسے مسئلہ میں کسی صحابی کے قول پر عمل کیا جا سکتا ہے اور اگر وہ مسئلہ مدرک بالرای ہے تو اکثر صحابہ جس طرف گئے ہیں اس قول پر عمل کرنا درست ہوگا۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",169685,deoband,عقائد و  ایمانیات,حدیث و سنت
01-Sep-2020,https://darulifta-deoband.com/home/ur/hadith-sunnah/169610,كیا عام آدمی بھی حدیث سنا سكتا ہے؟,حضرات میرا سوال یہ ہے کہ کیا کسی کو صحیح حدیث سنانا گناہ ہے جس سے کسی کی غلط فہمی دور ہو جائے اور حق بات ظاہر ہو جائے کیونکہ مجھے کسی نے کہا ہے کہ حدیث شریف صرف عالِم ہی سنا سکتا ہے کوئی آم مسلمان نہیں؟ براہ کرم جواب جلدی ہی فراہم کریں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:706-604/sn=8/1440</span></p><p dir=""RTL"">
	بہتر تو یہی ہے کہ حدیث عالم دین ہی بتلائے؛ باقی اگر کسی غیر عالم نے کسی معتمد عالم یا کسی معتبر کتاب میں کوئی حدیث صحیح صحیح سنی یا پڑھی ہے تو وہ اس معتبر کتاب یا عالم کے حوالے سے حدیث دوسروں کو بتاسکتا ہے، یہ گناہ نہیں ہے؛ البتہ حدیث سے از خود استنباط اور استخراج سے احتراز ضروری ہے، اسی طرح بلا حوالہ صرف یہ کہہ کر کہ بزرگوں سے سنا، بڑوں سے سنا، احادیث بیان کرنے سے احتراز ضروری ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",169610,deoband,عقائد و  ایمانیات,حدیث و سنت
