issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/dawah-tableeg/166132,دعوت و تبلیغ یا دین کے کسی اور شعبہ میں کسی ایک فرد کا امیر ہونا لازمی ہے ؟,میرا سوال یہ ہے کہ دعوت و تبلیغ یا دین کے کسی اور شعبہ میں کسی ایک فرد کا امیر ہونا لازمی ہے ؟ اور ایسی کوئی حدیث ہے کہ جس کا کوئی امیر نہیں ہوتا اس کا امیر شیطان ہوتا ہے ؟ نیز یہ کہ امیر بننے کے کیا شرعی اصول و قواعد ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 224-180/B=2/1440</span></p><p dir=""RTL"">
	کوئی جماعت یا قافلہ سفر میں جارہا ہے تو بہتر یہ ہے کہ ان میں سے کسی ایک کو اپنا امیر منتخب کر لیا جائے اور اس کے مشوروں سے کام کیا جائے، اور ایک امیر وہ ہوتا ہے کہ کسی ملک کے تمام مسلمان متفقہ طور پر کسی ایک شخص کو اپنا امیر المومنین ، اپنا حاکم اور اپنا بادشاہ مقرر کرلیں، یہ کام لازمی اور ضروری ہے۔ ہمارے ہندوستان میں تو ایسا ممکن نہیں ہے لیکن مسلم ممالک میں ایسا کرنا ضروری ہے اگر کوئی امیر و حاکم نہیں بنایا گیا تو اس کا امیر شیطان ہوتا ہے یعنی وہاں کے لوگ اپنی من مانی کام کرنے لگتے ہیں یہی شیطان کا عمل ہے پھر وہ لوگ کسی کی نہیں مانتے نہ سنتے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",166132,deoband,عقائد و  ایمانیات,دعوت و تبلیغ
01-Sep-2020,https://darulifta-deoband.com/home/ur/dawah-tableeg/166010,تبلیغ دین کے لیے ویڈیو سازی اور تصویر کشی کا حکم,کیا فرماتے ہیں مفتیان اکرام اس مسئلہ میں کہ فرقہ باطلہ(قادیانی، پرویزی، شکیلی، رافظی، غیر مقلد) کے رد میں کام کرنے والے حضرات اپنی بات کو ویڈیو کی شکل میں لوگوں تک پہنچاتے ہیں۔ کیونکہ لوگ اوڈیو پر زیادہ توجہ نہیں کرتے اور بات جو امت تک جانی چاہئے وہ نہیں جا پاتی اس لئے ویڈیو کا سہارا لیا گیا ہے اور ایسی ویڈیو جس میں ایک شخص کی جاندار تصویر چلتی ہیں، تو کیا ایسے کام کہ لئے ویڈیو بنا سکتے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:128-149/N=3/1440</span></p><p dir=""RTL"">
	&nbsp;اسلام میں انسان یا کسی بھی جان دار کی ویڈیو سازی اور تصویر کشی حرام وناجائز اور لعنت کا کام ہے اور احادیث میں اس پر سخت وعیدیں وارد ہوئی ہیں (تفصیل کے لیے حضرت مولانا مفتی محمد شفیع صاحب<span dir=""LTR"">&nbsp; رح </span>کا رسالہ تصویر کے شرعی احکام ملاحظہ فرمائیں) ۔ اور اکابر علمائے دیوبند کے فتاوی اور ان کی تصریحات کی روشنی میں ڈیجیٹل تصاویر، عام تصاویر ہی کے حکم میں ہیں، یعنی: نصوص شرعیہ دونوں ہی قسم کی تصاویر کو شامل ہیں۔</p><p dir=""RTL"">
	اور اہل علم، شریعت کی حدود اور دائرہ میں رہ کر ہی تبلیغ دین کے مکلف ہیں، اس سے آگے نہیں، یعنی: تبلیغ دین کے جتنے جائز ذرائع اور وسائل اہل علم کے بس میں ہیں، اہل علم ان ذرائع اور وسائل سے تبلیغ دین کے مکلف ہیں ، کسی ناجائز اور گناہ کے ذریعہ سے اہل علم تبلیغ کے مکلف نہیں ہیں؛ بلکہ اگر ناجائز ذرائع اور وسائل سے تبلیغ دین جائز ہی نہیں ہے ؛ کیوں کہ احکام دین کی پامالی کے ساتھ دین کی نہیں، کسی اور چیز کی تبلیغ ہوگی۔ نیز اسلام پھیلانے کے طریقے اور ہیں اور کفر وضلالت کے پھیلانے کے طریقے اور؛ اسی لیے دور اول سے اہل حق کی کسی جماعت نے تبلیغ دین کے لیے کوئی ناجائز اختیار نہیں کیا؛</p><p dir=""RTL"">
	&nbsp;اس لیے تبلیغ دین کے لیے (انسان یا کسی بھی جاندار کی) تصویر کشی اور ویڈیو سازی کا راستہ اختیار کرنا جائز نہ ہوگا۔</p><p dir=""RTL"">
	عن عبد اللہ بن مسعود رضی اللہ عنہ قال: سمعت رسول اللہ صلی اللہ علیہ وسلم یقول: ”أشد الناس عذاباً عند اللہ المصورون“، متفق علیہ، وعن ابن عباس رضی اللہ عنہما قال: سمعت رسول اللہ صلی اللہ علیہ وسلم یقول: ”کل مصور فی النار یجعل لہ بکل صورة صورھا نفسا فیعذبہ فی جھنم“، قال ابن عباس <span dir=""LTR"">رض</span>: فإن کنت لا بد فاعلاً فاصنع الشجر وما لا روح فیہ، متفق علیہ (مشکاة المصابیح، باب التصاویر، الفصل الأول، ص ۳۸۵، ۳۸۶، ط: المکتبة الأشرفیة دیوبند) ۔</p><p dir=""RTL"">
	وعن ابی ہریرة رضی اللہ عنہ قال: قال رسول اللہ صلی اللہ علیہ وسلم: یخرج عنق من النار یوم القیامة لہا عینان تبصران وأذنان تسمعان ولسان ینطق، یقول: إنی وکلت بثلاثة: بکل جبار عنید وکل من دعا مع اللہ إلہا آخر وبالمصورین“رواہ الترمذي (المصدر السابق، الفصل الثاني، ص ۳۸۶) ۔</p><p dir=""RTL"">
	وعن سعید بن أبی الحسن قال: کنت عند ابن عباس إذ جاء ہ رجل فقال: یا ابن عباس! إنی رجل إنما معیشتی من صنعة یدی، وإني أصنع ہذہ التصاویر، فقال ابن عباس: لاأحدثک إلا ما سمعت من رسول اللہ صلی اللہ علیہ وسلم، سمعتہ یقول: ”من صور صورة فإن اللہ معذبہ حتی ینفخ فیہ الروح ولیس بنافخ فیہا أبدا“فربا الرجل ربوة شدیدة واصفر وجہہ، فقال: ویحک إن أبیت إلا أن تصنع فعلیک بہذا الشجر وکل شی لیس فیہ روح۔ رواہ البخاري (المصدر السابق، الفصل الثالث) ۔</p><p dir=""RTL"">
	کل أمر بمعروف یتضمن منکراً یسقط وجوبہ کذا في الوجیز للکردري (الفتاوی الھندیة، کتاب الکراھیة، الباب الرابع في الصلاة والتسبیح الخ، ۵: ۳۱۷، ط: المطبعة الکبری الأمیریة، بولاق، مصر) ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",166010,deoband,عقائد و  ایمانیات,دعوت و تبلیغ
01-Sep-2020,https://darulifta-deoband.com/home/ur/dawah-tableeg/165946,دین کی تبلیغ و اشاعت کے لئے فیس بک کا استعمال کیسا ہے؟,میرا سوال یہ ہے کہ فیس بک کا استعمال دین کی تبلیغ و اشاعت کے لئے جائز ہے یا نہیں؟ فیس بک پر ایک طرف اگر کوئی اصلاح کی غرض سے پوسٹ دیتا ہے تو دوسری طرف فیس بک پر غیر اسلامی مواد بھی کثرت سے پایا جاتا ہے اور گویا کہ ایک بندہ دوسروں کو فیس بک استعمال کرنے کا جواز فراہم کرتا ہے کہ لوگ یہ کہیں کہ ہم تو دینی معلومات کی غرض سے استعمال کرتے ہیں حالانکہ اس میں بہت سارا فحش مواد بھی نہ چاہتے ہوئے بھی نظروں کے سامنے آتا ہے ۔ جس طرح لوگ مولانا طارق جمیل صاحب کے بیان کے بہانے ٹی وی کا استعمال اور گھر میں رکھنے کا جواز بناتے ہیں۔ اور کیا یہ بات بالکل ایسی نہیں کہ کوء سنیما حال میں دین کی تبلیغ کرے ؟ اس مسئلے پر علمائے دیوبند کی لکھی ہوئی کوئی تفصیلی کتاب ہو تو برائے کرم نشاندہی فرما دیجئے ۔ خیر,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:177-162/L=2/1440</span></p><p dir=""RTL"">
	جن امور کے انجام دینے میں ناجائز امور میں مبتلی ہوجانے کا اندیشہ ہو ایسے امور کے تعلق سے ہمارے اکابر کا موقف یہی رہاہے کہ ان کی انجام دہی سے گریز کیا جائے اور درحقیقت یہ ضابطہ ایک حدیث میں مذکور ہے ،آپ صلی اللہ علیہ وسلم کا ارشادِ گرامی ہے :الحلال بین والحرام بین وبینہما مشبہات لا یعلمہا کثیر من الناس فمن اتقی المشبہات استبرأ لدینہ وعرضہ ،ومن وقع في الشبہات کراع یرعی حول الحمی یوشک أن یواقعہ ألا وان لکل ملک حمی،ألا ان حمی اللہ في أرضہ محارمہ․․․(صحیح البخاری :۱/۱۳ط:أشرفی دیوبند )نیز فقہاء نے بھی صراحت کی ہے جو امر سنت اور بدعت کے درمیان دائر ہو اس میں سنت کا ترک بدعت کے ارتکاب سے راجح ہوتا ہے ۔قال في الشامی:َلأنہ اذا تردد الحکم بین سنة وبدعة کان ترک السنة راجحا علی فعل البدعة․(شامی:۲/ ۴۰۹ط: زکریا دیوبند) اور فقہاء کا یہ بھی ضابطہ ہے کہ جو محظور کا سبب ہو وہ بھی محظور ہی ہے ۔وماکان سبباً لمحظور فہو محظور․(شامی:۹/۵۰۴،کتاب الحظر والاباحة،ط:زکریا دیوبند )اس موضوع پر لکھی گئی کسی تفصیلی کتاب کا ہمیں علم نہیں ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",165946,deoband,عقائد و  ایمانیات,دعوت و تبلیغ
01-Sep-2020,https://darulifta-deoband.com/home/ur/dawah-tableeg/165917,تبلیغی جماعت میں كام كرنے والے علماء كی اصلاح كی فكر؟,ہم جب بھی کسی عالم جو دعوت و تبلیغ سے منسلک ہیں کے عقائد کو اہلسنت ولجماعت کے عقائد سے ہٹنے کی بات کرتے ہیں تو کچھ ساتھی کہتے ہیں کہ ہمیں ان چیزوں سے کیا کرنا ہمیں تو کام سے مطلب ہے ۔اس صورت میں ہم کیا جواب دیں ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 254-189/B=2/1440</span></p><p dir=""RTL"">
	بہتر یہ ہے کہ پہلے ہم اپنے عقائد اور اپنے گھر والوں کے عقائد کی اصلاح کریں، پھر عالموں کی اصلاح کی فکر کریں۔ علماء کی خدمت میں جایا کریں اور دینی احکام و مسائل اور عقائد اسلام کی معلومات حاصل کریں۔ علماء کرام وارثین انبیاء ہیں دین اسلام کی اصل جڑ یعنی قرآن و حدیث کو یہی سمجھتے ہیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",165917,deoband,عقائد و  ایمانیات,دعوت و تبلیغ
01-Sep-2020,https://darulifta-deoband.com/home/ur/dawah-tableeg/165883,مسجد میں جو بھی جماعت آتی ہے وہ ایک دن سے زیادہ رکتی ہے کیا یہ صحیح ہے,جناب میرا سوال یہ ہے کہ ہمارے گاؤں کی مسجد میں جو بھی جماعت آتی ہے وہ ایک دن سے زیادہ رکتی ہے کیا یہ صحیح ہے یا غلط ہے ؟ براہ مہر بانی قرآن اور حدیث کی روشنی میں رہ نمائی فرمائیں۔ شکریہ,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 182-130/B=2/1440</span></p><p dir=""RTL"">
	ویسے جماعت والوں کا عمل اب تک یہی دیکھنے میںآ یا ہے کہ وہ ایک مسجد میں ایک روز کے لئے رکتی ہے پھر اگلے روز دوسری مسجد میں چلی جاتی ہے۔ ایک سے زیادہ دن ٹھہرنا ہو تو مسجد کے متولی سے یا مسجد کی کمیٹی سے اجازت لے لی جائے تاکہ کسی کو اعتراض کا موقع نہ ہو۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",165883,deoband,عقائد و  ایمانیات,دعوت و تبلیغ
31-Aug-2020,https://darulifta-deoband.com/home/ur/dawah-tableeg/165819,فیس بک پر غلط فہمیوں كا ازالہ كرنا؟,کیا فیس بک پر اسلام کے بارے میں عیسائیوں کی غلط فہمیوں کو دور کرنے کے لیے بحث و مباحثة میں حصہ لینا جائز ہے؟گمراہ لوگ بہت سی بے بنیاد چیزوں کے سلسلے میں پروپیگنڈہ کرتے ہیں جیسے کہ نفرت انگیز باتیں اور پوسٹر وغیرہ ، بہت سے گروپ ہیں جیسے عیسائیت بمقالہ اسلام اور اس کے ایڈمن غیر مسلم ہیں، تو کیا عیسائیوں کی اصلاح کی غرض سے اس میں حصہ لینا جائز ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:151-121/L=2/1440</span></p><p dir=""RTL"">
	اگر آپ کو یہ غالب گمان ہو کہ میں اپنی ذات سے دینِ اسلام کا صحیح دفاع کرسکتاہوں اور ان کی طرف سے پھیلا ئے جارہے غلط پروپیگنڈوں کا جواب دے سکتاہوں ،نیز اس میں دیگر ناجائز امور مثلاً ویڈیوگرافی وغیرہ کی نوبت نہ آئے تو ان حدودوقیود کے ساتھ آپ فیس بک وغیرہ کے ذریعہ دین اسلام کا دفاع کرسکتے ہیں ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",165819,deoband,عقائد و  ایمانیات,دعوت و تبلیغ
31-Aug-2020,https://darulifta-deoband.com/home/ur/dawah-tableeg/165727,نماز کے کتنی دیر بعد فضائل اعمال اور منتخب احادیث کی تعلیم شروع کی جائے؟,کیا فرماتے ہیں مفتیان کرام درج ذیل مسئلوں کے بارے میں؛ (۱) ایک اکیلی اہل سنت و الجماعت (دیوبند مسلک) کی مسجد ہے جہاں ہرروز امام صاحب عصر کی فرض نماز کے فوراً بعد اور دعا سے پہلے پانچ منٹ کا مدرسہ (کتاب) باآواز بلند پڑھتے ہیں، امام صاحب کی آواز اتنی بلند ہوتی ہے کہ تیسری اور چوتھی صف تک جاتی ہے، جو لوگ فرض نماز میں دیر سے پہنچتے ہیں اور امام صاحب کے سلام پھیرنے کے بعد اپنی چھوٹی ہوئی رکعت پوری کرتے ہیں ٹھیک اسی وقت امام صاحب بلند آواز سے پانچ منٹ کا مدرسہ پڑھتے ہیں جس سے باقی نمازیوں کی نماز میں خلل پیدا ہونے کا غالب گمان ہے ، براہ کرم، بتائیں کہ شریعت کی نظر میں یہ عمل کیسا ہے؟ اور ہمیں جماعت کے ساتھیوں کو کیا کرنا چاہئے؟ (۲) یہی حال ہر روز عشاء کی نماز کے بعد بھی ہوتا ہے جب جماعت کے کچھ ساتھی عشاء کی نماز فوراً بعد بلند آواز سے منتخب احادیث اور فضائل اعمال پڑھتے ہیں جب کہ بہت سارے نمازی سنتوں کی نماز ، وتر کی نماز یا نفل نماز اور ذکر میں مشغول ہوتے ہیں، اس تعلیم کے عمل سے بھی نمازیوں کی نماز میں خلل پیدا ہوتاہے ، براہ کرم، بتائیں کہ شریعت کی نظر میں یہ تعلیم عمل ٹھیک اسی وقت اور اسی جگہ کرنا کیسا ہے جہاں باقی نمازیوں کی نماز میں خلل پیدا ہونے کا گمان ہو؟ اور ہمیں جماعت کے ساتھیوں کو کیا کرنا چاہئے؟ (۳)مسجد میں نمازیوں کی نماز سے زیادہ اور ذکر اذکار کرنے والوں کی عبادات سے زیادہ پانچ منٹ کا مدرسہ ، منتخب احادیث یا فضائل اعمال کا با آواز بلند پڑھنے کو ترجیح دینا شریعت کی نظر میں کیسا ہے؟ اور ایسا عمل کرنا جس سے مسجد میں دوسری عبادت کرنے والوں کی عبادت میں خلل پیدا ہو جائے کس گناہ میں شمار ہوگا ؟ اور کیا ایسے عمل کرنے والوں اور اس عمل میں بیٹھنے والوں پر آخرت میں دوسرے کی عبادات میں خلل پیدا کرنے کا وبال ہوگا؟ براہ کرم، اپنی رائے عنایت فرمائیں۔ مفتی صاحب، واضح رہے کہ میں بھی اہل سنت والجماعت (دیوبند) سے تعلق رکھتاہوں اور تبلیغ جماعت کا ہی ایک ساتھی ہوں ، آپ کی ویب سائٹ کا ہر روز مطالعہ کرتاہوں، الحمد للہ، مجھے اس سے بہت فائدہ حاصل ہوا ہے، اوپر لکھے سوال کے پوچھنے کی منشاء صرف اتنی ہے کہ اگر مسجد میں ہم لوگوں سے اگر کوئی غلط ہورہا ہے تو میں آپ کا جواب مسجد کے ذمہ داروں اور جماعت کے دیگر ساتھیوں تک نرمی اور حکمت سے پہنچا دوں اور اپنی اور اپنے دینی بھائیوں کی اصلاح کردوں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 167-36T/B=2/1440</span></p><p dir=""RTL"">
	نماز کے وقت کوئی بھی ایسا عمل کرنا جس سے نمازیوں کی نماز میں خلل پیدا ہو مکروہ ہے؛ اس لئے امام صاحب یا تو اتنی تاخیر سے کتاب پڑھیں کہ لوگ نماز سے فارغ ہو جائیں یا اتنی آہستہ آواز میں پڑھیں کہ نماز میں خلل پیدا نہ ہو۔</p><p dir=""RTL"">
	(۲) عشاء کی نماز کے بعد بھی یہی حکم ہے کہ فضائل اعمال اور منتخب احادیث کی تعلیم سے لوگوں کی سنتوں اور وتر میں خلل پیدا ہوتا ہو تو ایسا کرنامکروہ ہے، جب تمام نمازی نماز سے فارغ ہو جائیں پھر شروع کی جائے۔</p><p dir=""RTL"">
	(۳) اس جزء کا جواب اوپر کے جواب سے واضح ہوگیا۔ أجمع العلماء سلفاً وخلفاً علی استحباب ذکر الجماعة فی المساجد وغیرہا ، إلا أن یشوش جہرہم علی نائمٍ ، أو مصلٍ ، أو قاريء (شامی: ۲/۴۳۴، زکریا) ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",165727,deoband,عقائد و  ایمانیات,دعوت و تبلیغ
01-Sep-2020,https://darulifta-deoband.com/home/ur/dawah-tableeg/165537,اچھے کام کی دعوت حکمت اور اچھی نصیحت کے ذریعہ دینی چاہیے,میرا ایک دوست /رفیق کار ہے جس کے ساتھ کبھی کبھار میرا رویہ بہت سخت ہوجاتاہے کچھ معاملات میں جیسے کہ وقت پر نماز پڑھنا ، میرے یاد دلانے کے باوجود کام کی وجہ سے نماز قضا کرلینا، اور کچھ دوسرے اصولوں میں جیسے کہ میری گاڑی میں کوئی سامان رکھنے اور اس کو یاددلانے پر اس کو نہ نکالنے پر وغیرہ۔ وہ میرا بہت قریبی ہے اور میں اس کو حکمت سے بھی سمجھا تاہوں، لیکن اکثر اوقات میرا رویہ سخت ہوجاتاہے اور یہ میری عادت بن چکی ہے، کیا میں غلط کررہاہوں اگر چہ اس بارے میں میرے دوست کو برا لگے یا برا نہ لگے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:87-60/L=2/1440</span></p><p dir=""RTL"">
	اچھے کام کی دعوت حکمت اور اچھی نصیحت کے ذریعہ دینی چاہیے ،اللہ رب العزت کا ارشاد ہے:أدع الی سبیل ربک بالحکمة والموعظة الحسنة․؛اس لیے آپ بھی اپنے دوست کے ساتھ ویسا ہی برتاؤ کریں ،اکثر اوقات نصیحت میں سختی سے کام لینا مناسب نہیں ،اس کی بنا پر رفتہ رفتہ دوسرا شخص بھی سخت ہوجاتا ہے اور اس کو نصیحت کا اثر نہیں ہوتا ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",165537,deoband,عقائد و  ایمانیات,دعوت و تبلیغ
01-Sep-2020,https://darulifta-deoband.com/home/ur/dawah-tableeg/165458,مسجد میں تعلیم اور استقبال والا عمل کرنے کا مسئلہ,(۱) مسجد میں کسی ایک وقت نماز کے بعد حدیث کتاب (فضائل اعمال اور منتخب احادیث) ایک ساتھ ہی پڑھیں اور دوسرے اسے سنیں ، چند ساتھی مسجد کے باہر جاکر لوگوں سے ملاقات کرکر مسجد میں لاکر اس عمل میں بٹھانا، مسجدکی تعلیم استقبال والا عمل کہلایا جاتا ہے کیا اس عمل کو کر سکتے ہیں؟ اس میں آپ لوگوں کی کیا رائے ہے؟ (۲) اجتماع رکھنے کا کیا مقصد ہے شریعت میں ؟ (۳) کیا سچ میں حضرت جی الیاس رحمة اللہ علیہ، حضرت ابوبکر صدیق (رضی اللہ تعالی عنہ) کے خاندان سے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 111-165/B=2/1440</span></p><p dir=""RTL"">
	دعاء کے بعد اعلان کردینا مقتدیوں میں کافی ہے جس کا جی چاہے بیٹھے کتاب سنے، اور جس کا جی نہ چاہے وہ نہ بیٹھے۔ مباح چیز میں زیادہ اہتمام کرنا درست نہیں۔</p><p dir=""RTL"">
	(۲) زیادہ سے زیادہ اجتماع میں تشریف لائیں اور دین کے کام میں جڑیں۔</p><p dir=""RTL"">
	(۳) ہمیں ان کا نسبی شجرہ معلوم نہیں ، ان کے خاندان کے لوگوں سے معلوم کریں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",165458,deoband,عقائد و  ایمانیات,دعوت و تبلیغ
01-Sep-2020,https://darulifta-deoband.com/home/ur/dawah-tableeg/165359,تبلیغی جماعت كے بارے میں,مفتی صاحب میرا نام عبد المعز ہے اور میرا تعلّق ہندستان کے مظفر نگر علاقے سے ہے ۔ حضرت میرا سوال موجودہ دور میں آئے تبلیغی جماعت کے انتشار سے ہے ۔ اصل میں یہاں ہندستان میں حالات بگڑ تے ہی جا رہے ہیں۔ کام دو رخ پر تو پہلے ہی چلا گیا تھا اور اب تو شورائی نظام کی جماعتوں کو مسجد سے نکالا جانا بھی شروع ہو گیا ہے ۔ علماء حضرات دونوں ہی طرف ہے اور دلائل کے ساتھ اپنے آپ کو حق پر اور دوسری جماعت کو باطل بتانے کی کوشش میں لگے ہوئے ہیں۔ میری زندگی میں اسی محنت کے ذریعے دین آیا ہے اور میں اسی محنت کو اپنی آخری دم تک کرنا چاہتا ہو لیکن اب یہ بلکل بھی سمجھ نہیں آ رہا ک کس نظام کی تائید کرو شورائی نظام یا شخصی نظام پر ؟ آپ ہی رہبری فرمائے اور دعا کر ے کے اللّٰہ تعالیٰ جلد ہی اس فتنے سے اس کام کو پاک کردے ۔ آپ کی بہت مہربانی ہوگی۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 78-59/B=2/1440</span></p><p dir=""RTL"">
	دارالعلوم دیوبند، اور اس کے ذمہ داران اس مسئلہ میں غیرجانب دار ہیں، کسی ایک گروہ کی جانبداری میں نہیں ہیں۔ ہمارے مہتمم صاحب کا یہ کہنا ہے کہ جس طرح جماعت کے لوگ اللہ کے لئے دین کی دعوت و محنت کرتے چلے آئے ہیں اسی طرح اب بھی کام کریں، ایک دوسرے کی برائی بیان نہ کریں، تو خود ہی اختلاف دور ہو جائے گا۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",165359,deoband,عقائد و  ایمانیات,دعوت و تبلیغ
