issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/halal-haram/176745,جانور ذبح کرکے گوشت ہی سے اجرت لینے کا حکم,محترم میرا سوال یہ ہے کہ قصائی کسی متقی شخص سے گائے وغیرہ ذبح کراتے ہیں اور ذبح کرنے کی اجرت گوشت دیتے ہیں واضح رہے کہ اس اجرت سے دونوں خوش بھی رہتے ہیں تو کیا پیسے کے بجائے گوشت لینا جائز ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:526-429/N=7/1441</span></p><p dir=""RTL"">
	صورت مسئولہ میں اگر باقاعدہ اجارے کا معاملہ ہوتا ہے اور اجرت کے طور پر گوشت طے کیا جاتا ہے یا عرف ورواج یہی ہے تو اجارے کا یہ معاملہ شرعاً درست نہیں؛ بلکہ فاسد ہے۔</p><p dir=""RTL"">
	اور اگر کسی متقی شخص سے محض برکت کی غرض سے جانور ذبح کرایا جاتا ہے اور وہ مفت ذبح کرتا ہے، اجارے کے طور پر نہیں اور جانور کا مالک اپنی مرضی وخوشی سے ذبح کرنے والے کو ہدیہ کے طور پر گوشت دے دیتا ہے اور دونوں کے درمیان لینا دینا نہ پہلے سے طے ہوتا ہے اور نہ ہی اس کا عرف وواج ہے تو اس میں شرعاً کچھ مضائقہ نہیں، یہ محض ہدیہ کی شکل ہے۔</p><p dir=""RTL"">
	&nbsp;ولو دفع غزلا لآخر لینسجہ لہ بنصفہ أي: بنصف الغزل أو استأجر بغلا لیحمل طعامہ ببعضہ أو ثورا لیطحن برہ ببعض دقیقہ فسدت فی الکل لأنہ استأجرہ بجزء من عملہ والأصل في ذلک نھیہ صلی اللہ علیہ وسلم عن قفیز الطحان (الدر المختار مع رد المحتار،کتاب الإجارة، ۹:۷۸، ۷۹، ط: مکتبة زکریا دیوبند)۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",176745,deoband,متفرقات,حلال و حرام
01-Sep-2020,https://darulifta-deoband.com/home/ur/halal-haram/176733,کتنی مقدارڈاڑھی رکھنا واجب ہے، حرام آمدنی والے کے یہاں مزدوری کرنا,دین کے ان مسائل کے بارے میں کیا فرماتے ہیں؟ ۱ ۔کتنی مقدار ڈاڑھی رکہنا شریعت کی رو سے واجب ہے؟ اور کتنے مقدار مستحب ہے ۔مدلل جواب مرحمت فرمائیں۔ ۲.کوئی آدمی اگر کسی ایسے مالک کی مزدوری کرے جس کا اکثر حصہ یا تھوڑا حصہ حرام مال سے وابستہ ہے تو اس مالک سے مزدوری وصول کرنا شرعا کیا حکم ہے؟ دلائل سے روشناس فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:631-466/sn==7/1441</span></p><p dir=""RTL"">
	(1)کم از کم یکمشت ڈاڑھی رکھنا شرعا واجب ہے، اس سے زیادہ ہونے پر کٹوانا جائز ہے؛ بلکہ بعض حضرات نے اسے افضل قرار دیا ہے۔ (دیکھیں: احسن الفتاوی: 9/55، مسائل شتی، ط: دزکریا بکڈپو، دیوبند)۔ عن ابن عمر، قال: قال رسول اللہ صلی اللہ علیہ وسلم: احفوا الشوارب وأعفوا اللحی: ہذا حدیث صحیح (سنن الترمذی ت رقم: 2761) قال: قال رسول اللہ صلی اللہ علیہ وسلم: لا طاعة لمخلوق فی معصیة الخالق (مصنف ابن أبی شیبة ، رقم: 33717)وأما الأخذ منہا وہی دون ذلک کما یفعلہ بعض المغاربة ومخنثة الرجال فلم یبحہ أحد إلخ (فتح القدیر للکمال ابن الہمام 2/ 348، ط: بیروت)</p><p dir=""RTL"">
	(2) اگر تھوڑا بہت مال حرام ہے تب تو مزدوری وصول کرنے میں کوئی حرج نہیں ہے؛ لیکن اگر کسی مسلمان کی کل یا غالب آمدنی حرام ہو تو اس کے پاس مزدوری نہ کرنی چاہیے، اگر کرتا ہے تو اسے شروع ہی میں یہ کہہ دینا چاہیے کہ میری مزدوری حلال آمدنی سے دو یا پھر کسی سے قرض لے کر دو۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",176733,deoband,متفرقات,حلال و حرام
01-Sep-2020,https://darulifta-deoband.com/home/ur/halal-haram/176722,یوپی ورک ویب سائٹ میں اکاؤنٹ کھول کر کام کرنا,”یوپی ورک“ (Upwork ) ایک فرلانس ویب سائٹ ہے جہاں کوئی بھی اکاؤنٹ بنا کر کام کرسکتاہے، میرے دوست نے میر”ا یوپی ورک“ کااکاؤنٹ بنایا اور ایسے کوائلیفیکیشن(تعلیمی لیاقت) اور تجربہ جو جھوٹ تھا وہ ڈال کر اکاؤنٹ منظور کرالیا، میں نے بعد میں اپنی اس میں تمام صحیح جانکاری فراہم، کی، تو اب جو بھی مجھے کام دے گا میرے اس انفارمیشن پہ جو مجھ میں ہے تو کیا اب میری کمائی حلال ہے یا حرام؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:616-462/sn=7/1441</span></p><p dir=""RTL"">
	جب بعد میں آپ نے ویب سائٹ میں صحیح جانکاری دی تو اب یہ محظور تو نہ رہا کہ لوگوں کو دھوکے میں رکھ کر کام حاصل کررہے ہیں ؛ لیکن سوال میں یہ وضاحت نہیں ہے کہ اس اکاؤنٹ کے توسط سے آپ کس طرح کا کام کریں گے؟ بہر حال اگر وہ کام مباح ہو، کسی شرعی قباحت پر مشتمل نہ ہو تو آپ کی کمائی شرعا درست اور حلال ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",176722,deoband,متفرقات,حلال و حرام
01-Sep-2020,https://darulifta-deoband.com/home/ur/halal-haram/176693,سونوگرافی كے ذریعہ اگر بچے كا ایسا عیب معلوم ہو جس كی تلافی ممكن نہ ہو تو كیا حمل ضائع كیا جاسكتا ہے؟,حمل میں بچہ کو ضائع کر نے کے متعلق (آپ سے گزارش ہے کہ جواب فوری طور پر مطلوب ہے) میری اہلیہ پچھلے 6 ماہ اور چند دن سے حمل سے ہے، ڈاکٹر کے ذریعہ سے کی گئی سونوگرافی کی رپورٹ کے مطابق بچے کے سر کا اوپری حصہ بنا ہی نہیں (پیشانی سے لے کر گردن تک کا حصہ) اور ان کے مطابق اب وہ بنے گا بھی نہیں اور اگلے چند دنوں میں بچہ ضائع ہو جائے گا اور اسے رحم سے باہر نکالنے کے لیے سیزر کے ذریعہ سے ڈیلیوری کرنا ہوگا اور اگر ابھی بچہ کو ذائع کر دیا جاتا ہے تب سبھی نورمل طریقے سے ہو جائے گا ڈاکٹر ماں کی جان کو یقینی طور سے خطرہ نہیں بتا رہے ہیں مگر بچہ ضائع ہو جانے کے بعد کیا ہوگا وہ بھی نہیں بتایا جا سکتا کہہ رہے ہیں اور بہتر بتا رہے ہیں کہ ابھی بچہ کو ضائع کر دیا جائے میں اس کشمکش میں مبتلا ہوں کہ کیا کیا جائے۔ آپ سے گزارش ہے کہ جواب فوری طور پر مطلوب ہے۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 743-552/H=06/1441</span></p><p dir=""RTL"">
	حمل پر چھ ماہ سے اوپر کی مدت ہو چکی ہے اور اتنی مدت میں بچہ کے اندر جان پڑ چکی ہے اب اس حمل کو ساقط کرکے ضائع کرنا جائز نہیں بلکہ حرام ہے اب علاج معالجہ اور دعاء کا اہتمام جاری رکھیں اور اللہ پاک کی تقدیر و فیصلہ پر راضی رہیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",176693,deoband,متفرقات,حلال و حرام
01-Sep-2020,https://darulifta-deoband.com/home/ur/halal-haram/176692,حرام کمائی والوں سے ٹیوشن پڑھانے پر اجرت لینے کا حکم,ناجائز کاروبار کرنے والوں سے بچوں کو ٹیوشن پڑھانے کی اجرت لے سکتے ہے یا نہیں ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:514-419/N=6/1441</span></p><p dir=""RTL"">
	جس شخص کی کل یا اکثر آمدنی حرام ہو، اُس کے یہاں دعوت کھانا، اُس کا ہدیہ لینا یا مسجد ومدرسہ وغیرہ میں اُس کا چندہ قبول کرنا تو درست نہیں؛ البتہ خرید وفروخت اور کرایہ داری وغیرہ، یعنی: مالی معاملات میں امام کرخی<span dir=""LTR""></span>کے قول پر گنجائش ہے ؛ بہ شرطیکہ وہ حرام مال کی صراحت کے ساتھ اُسے متعین کرکے نہ دے؛ لہٰذاکل یا اکثر آمدنی حرام والوں کے بچوں کو ٹیوشن پڑھاکر اُن سے اجرت لے سکتے ہیں، گنجائش ہے۔ اور اگر کوئی شخص ذاتی طور پر احتراز کرے تو اِس کے افضل وبہتر ہونے میں کچھ شبہ نہیں۔ (مستفاد:در مختار وشامی ۹:۲۷۶، ۲۷۷،۷: ۴۹۰، ۴۹۱، مطبوعہ: مکتبہ زکریا دیوبند،امداد الفتاوی ۲:۱۰، ۱۱،۱۴، ۱۵، ۶۶۸،سوال: ۱۹، ۲۸،۷۷۴،مطبوعہ: مکتبہ زکریا دیوبند ، فتاوی محمودیہ جدید۱۵: ۹۵- ۹۹، سوال: ۷۲۶۶،۷۲۶۷،۱۸: ۴۱۰ - ۴۱۲، ۴۱۵ -۴۱۷،سوال: ۸۹۰۱ - ۸۹۰۳،۸۹۰۸، مطبوعہ: ادارہ صدیق ڈابھیل، فتاوی رحیمیہ جدید ۵: ۲۱۰، مطبوعہ: مکتبہ احسان دیوبند، منتخبات نظام الفتاوی ۲: ۲۷۰- ۲۷۲، مطبوعہ:ایفا پبلی کیشنز،دہلی، وغیرہ)۔</p><p dir=""RTL"">
	أھدی إلی رجل شیئا أو أضافہ إن کان غالب مالہ من الحلال فلا بأس إلا أن یعلم بأنہ حرام، فإن کان الغالب ھو الحرام ینبغي أن لا یقبل الھدیة ولا یأکل الطعام إلا أن یخبرہ بأنہ حلال ورثتہ أو استقرضتہ من رجل کذا فی الینابیع، ولا یجوز قبول ھدیة أمراء الجور؛لأن الغالب في مالھم الحرمة إلا إذا علم أن أکثر مالہ حلال بأن کان صاحب تجارة أو زرع فلا بأس بہ ؛لأن أموال الناس لا تخلو عن قلیل حرام فالمعتبر الغالب، وکذا أکل طعامھم کذا فی الاختیار شرح المختار (۴:۱۸۷ط دار الکتب العلمیة بیروت)(الفتاوی الھندیة، کتاب الکراھیة، الباب الثاني عشر فی الھدایا والضیافات، ۵:۳۴۲، ط: المطبعة الکبری الأمیریة۔ بولاق، مصر)۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",176692,deoband,متفرقات,حلال و حرام
01-Sep-2020,https://darulifta-deoband.com/home/ur/halal-haram/176691,امام كی تنخواہ میں بے نمازیوں کا پیسہ شامل كرنا؟,ہمارے مسجد کے امام صاحب کی تنخواہ محلہ کے ہر ساتھی سے جمع کرکے دیتے ہیں لیکن ان ساتھیوں میں کچھ بے نمازی بھی ہوتے ہیں ان بے نمازیوں کا پیسہ بھی شامل کرکے امام صاحب کو تنخوا دے سکتے ہیں یا نہیں؟ امام صاحب کے لیے ان بے نمازیوں کا پیسہ لینا جائز ہے یا نہیں؟ لیکن وہ بے نمازی لوگ مسجد کے ممبر ہیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:507-365/sd=6/1441</span></p><p dir=""RTL"">
	اگر بے نمازی کی آمدنی حلال ہو اور وہ اپنی خوشی سے چندہ دے، تو ایسے چندہ کی رقم امام کی تنخوا ہ میں استعمال کی جاسکتی ہے؛ لیکن نماز چھوڑنا بڑا گناہ ہے، ایسے افراد کو نماز کی طرف متوجہ کرنا چاہیے ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",176691,deoband,متفرقات,حلال و حرام
30-Aug-2020,https://darulifta-deoband.com/home/ur/halal-haram/176674,ذبح كے بعد مرغی کے گوشت میں جو خون رہ جاتا ہے اس كا كیا حكم ہے؟,اکثروبیشتر مرغی کی ران کے اندورنی حصے(ہڈی اور اس سے متصل گوشت) کا رنگ جامنی یا گہرا لال ہوتا ہے جو یقیناً اس بات کی علامت ہوتا ہے کہ مرغی کا خون اس حصہ سے مکمل طورپر نہیں نکلا اور پکانے کے دوران وہ اس ہی حصے میں جذب ہوگیا ہے، ایسی صورت میں اس حصے کا کھانا کیسا ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 591-538/M=06/1441</span></p><p dir=""RTL"">
	جانور ذبح کرتے وقت جو بہتا ہوا خون نکلتا ہے وہ خون ناپاک ہوتا ہے لیکن جانور ذبح ہو جانے کے بعد گوشت کاٹنے اور ہڈی توڑنے کے دوران ران کے اندرونی حصے سے یا دیگر حصے سے جو کچھ معمولی خون نکلتا ہے یا گوشت پر لگا ہوا ہوتا ہے وہ خون دم سائل نہیں اس لئے وہ ناپاک نہیں، لہٰذا شرعی طریقے پر جانور ذبح ہو جانے کے بعد جب دم مسفوح نکل جائے اور گوشت کو دھوئے بغیر پکا لیا جائے تو اس کو کھانے میں حرج نہیں، وہ گوشت و شوربہ پاک ہے تاہم پکانے سے پہلے گوشت کو اچھی طرح دھو لینا چاہئے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",176674,deoband,متفرقات,حلال و حرام
01-Sep-2020,https://darulifta-deoband.com/home/ur/halal-haram/176643,پراکسی مارکیٹنگ كا حكم كیا ہے؟,میرا سوال یہ ہے کہ آجکل آن لائن کمانے کے بہت سے طریقے متعارف ہورہے ہیں ان میں سے ایک پراکسی مارکیٹنگ بھی ہے۔ اس کا طریقہ کار یہ ہے کہ دنیا کی سب سے بڑی خرید و فروخت کی معروف امریکی ویب سائیٹ ایمزون کے اندر جس مالک کو اپنی چیز اوپر لانی ہوتی ہے وہ پراکسی مارکٹینگ کے ذریعہ لاتا ہے۔ یہ مختلف سوشل میڈیا کی ویب سائیٹ سے ہوتا ہے مثلا فیس بک وغیرہ۔ اس کے اندر مالک ایک شخص کو کمیشن کیلئے کام کرواتا ہے کہ میری یہ چیز بکوا کر دو ۔ اب وہ شخص گاہک کو ڈھونتا ہے اور اس کو اس چیز کی تصاویر دیکھاتا ہے جو کہ مالک دیتا ہے پھر اگر اس کو پسند آتی ہے تو لے لیتا ہے پھر جب اس کے پاس یہ چیز پہنچ جاتی ہے تو وہ چند دنوں کے بعد ایمزون کی ویب سائیٹ پر اس کا ۵ اسٹارز والا تجزیہ لکھتا ہے (واضح رہے کہ یہ سب سے اعلیٰ تجزیہ ہوتا ہے) پھر جب وہ کردیتا ہے تو گاہک کو ملک اس کی رقم بھی واپس لوٹا دیتا ہے اور ہمیں کمیشن مل جاتی ہے۔ اب اس کے اندر مالک چونکہ آن لائن کمیشن کیلئے مانگواتا ہے تو ہمارے سامنے اس چیز کی اصل معیار نہیں ہوتی بلکہ تصاویر ہوتی ہیں اگر خریدار ۵ اسٹارز سے کم یعنی ۴ یا ۳ اسٹارز کا تجزیہ کرتا ہے تو اس کو رقم واپس نہیں ملتی اور نہ ہی ہمیں اس کی کمیشن۔ واضح رہے کہ اس ویب سائیٹ کے اندر اکثر ایسی چیزیں ہوتی ہیں جو کہ ایک نمبر ہوتی ہیں اور اگر کوئی ۲ نمبر چیز کو بیچنے کی کوشش کرتا ہے تو ایم زون کی طرف سے اس مالک پر پابندی لگ جاتی ہے یعنی کہ اس کے اندر صرف بہترین معیار کی چیزیں ہوتی ہیں اس صورتحال میں اس کی کمیشن کا کیا حکم ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:627-112/L=7/1441</span></p><p dir=""RTL"">
	پراکسی مارکیٹنگ کا جو طریقہٴ کار آپ نے لکھا ہے وہ اجارہ کی ایک قسم ہے، اس میں خریدار ڈھونڈ کر سامان فروخت کروا دینا عمل ہے اور اس پرمقرر شدہ کمیشن عمل کی اجرت ہے،اور اجارہ میں اجرت کامتعین اور حتمی ہونا ضروری ہے، صورت مسئولہ میں اجرت حتمی نہیں بلکہ محتمل ہے، اگر خریدار 5 اسٹار تجزیہ کردے تو اجرت ملے گی ورنہ نہیں؛ لہذا پراکسی مارکیٹنگ کا مذکورہ طریقہٴ کار غرر اور دھوکہ پر مشتمل ہونے کی وجہ سے ناجائز ہے۔</p><p dir=""RTL"">
	وفی المبسوط: وإن تکاری دابة إلی بغداد علی أنہ إن رزقہ اللہ تعالی من بغداد شیئا، أو من فلان شیئا أعطاہ نصف ذلک فہذا فاسد لجہالة الأجر والغرر المتمکن بسبب الشرط فی أصل الأجر وعلیہ أجر مثلہا فیما یرکب، وإن تکاراہا إلی بغداد علی أنہا إن بلغتہ إلی بغداد فلہ أجر عشرة دراہم وإلا فلا شیء لہ فالإجارة فاسدة وعلیہ أجر مثلہا بقدر ما سار علیہا لمعنی المخاطرة والضمان، وقد تقدم نظیرہ فی مسألة الخیاطة واللہ أعلم بالصواب (المبسوط 16/46) وفی المحیط البرہانی: وإذا تکاری دابة بالکوفة إلی بغداد بخمسة دراہم إن بلغہ، وإلا فلا شیء لہ فالإجارة فاسدة، لأنہ شرط فیہا ما لا یقتضیہ العقد، ولأحدہما فیہ منفعة. (المحیط البرہانی 7/469)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",176643,deoband,متفرقات,حلال و حرام
01-Sep-2020,https://darulifta-deoband.com/home/ur/halal-haram/176556,تلاوت كی ویڈیو كلپ ڈلیٹ كرنا؟,موبائل میں بہت سارے ویڈیو تلاوت کے ہوتے ہیں گیلری میں کیا ان کو ڈیلیٹ کرنا گناہ ہے یا ڈیلیٹ کر سکتے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:403-277/sd=5/1441</span></p><p dir=""RTL"">
	جی ہاں! ڈلیٹ کرسکتے ہیں، کوئی گناہ نہیں ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",176556,deoband,متفرقات,حلال و حرام
31-Aug-2020,https://darulifta-deoband.com/home/ur/halal-haram/176551,رہن ركھی زمین سے فائدہ اٹھانا كیسا ہے؟,ارض مرہونہ سے انتفاع کا حکم کہا ہے؟ انتفاع کی کوئی جائز صورت ہے یا نہیں؟ اگر ہے تو وہ کیا ہے؟ جزاکم اللہ,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 569-409/SN=06/1441</span></p><p dir=""RTL"">
	(۱) ارضِ مرہونہ سے انتفاع شرعاً جائز نہیں ہے، مرہون سے انتفاع درحقیقت ”قرض“ سے انتفاع ہے اور ”قرض“ سے نفع حاصل کرنے کو احادیث میں ”ربو “ یعنی ”سود “ کہا گیا۔ کل قرض جرّ منفعة فہو ربا (مصنف ابن أبی شیبة) ۔ نیز دیکھیں، شامی: ۱۰/۸۳، ط: زکریا)</p><p dir=""RTL"">
	(۲) اس کی جائز صورت نہیں ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",176551,deoband,متفرقات,حلال و حرام
