issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/dua-supplications/155934,کیا میں اپنے بچوں پر دم کرسکتا ہوں؟,کیا میں اپنے بچوں وغیرہ پر دم، درود کرسکتا ہوں؟ کیونکہ میں نے ایک عالم سے پوچھا تو اُنہوں نے بتایا کہ ہر کوئی دم اور درود نہیں کرسکتا جب تک اُس کو اجازت نہ ہوں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:137-106/N=2/1439</span></p><p dir=""RTL"">
	قرآن وحدیث میں نظر بد، جنات وآسیب اور سحر وغیرہ سے حفاظت یا ان کے اثرات کے دفعیہ کے لیے جو مختلف سورتیں یا دعائیں وارد ہوئی ہیں، ان کے ذریعہ ہر شخص دم وغیرہ کرسکتا ہے؛ البتہ اگر کسی پر جنات کا اثر ہو تو عامل ہی سے رجوع کرنا چاہیے یا اس کی نگرانی اور رہنمائی میں کچھ کرنا چاہیے ورنہ بعض مرتبہ جنات جھاڑنے والے پر حملہ آور ہوجاتا ہے اور نقصان پہنچاتا ہے اور آدمی اس کا توڑ نہیں جانتا ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",155934,deoband,متفرقات,دعاء و استغفار
01-Sep-2020,https://darulifta-deoband.com/home/ur/dua-supplications/155895,کوئی ایسا عمل بتائیں جس سے مجھے اللہ کے رسول کی زیارت ہو جائے,کوئی ایسا عمل بتائیں جس سے مجھے اللہ کے رسول کی زیارت ہو جائے ۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:171-143/M=3/1439</span></p><p dir=""RTL"">
	نبی کی زیارت کا شوق مستحسن امر ہے، اپنی زندگی کو سنت کے مطابق گزارنے کی کوشش کریں، باوضو ہوکر سنت کے مطابق سویا کریں دل میں زیارت کی چاہت وتمنا لے کر اللہ سے دعا کرکے سوئیں، اللہ نے چاہا تو زیارت ہوجائے گی، تلاوت و درود شریف کی کثرت کا اہتمام کرتے رہیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",155895,deoband,متفرقات,دعاء و استغفار
01-Sep-2020,https://darulifta-deoband.com/home/ur/dua-supplications/155893,حضور صلی اللہ علیہ وسلم سے محبت پیدا ہونے كا وظیفہ,کوئی ایسا وظیفہ بتائیں جس سے میرے دل میں حضرت محمد صل اللہ علیہ و سلم کی محبت پیدا ہو جائے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:170-142/M=3/1439</span></p><p dir=""RTL"">
	ہرکام میں پیارے نبی محمد صلی اللہ علیہ وسلم کی سنت اور ان کا پاکیزہ طریقہ معلوم کرکے اس کے مطابق اپنی زندگی گزاریں اور کثرت سے درود شریف پڑھا کریں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",155893,deoband,متفرقات,دعاء و استغفار
01-Sep-2020,https://darulifta-deoband.com/home/ur/dua-supplications/155797,موٹابا ختم كرنے كے لیے كوئی دعا بتادیں,حضرت، میری عمر ۲۲/ سال ہے، میرا وزن بہت زیادہ ہے، اس کا علاج میں نے ڈاکٹروں سے کروایا پر میرا وزن کم نہیں ہو رہا، اس کے علاوہ آیورویدک اور ہومیوپیتھک کا علاج بھی کرایا لیکن مجھے کوئی فرق نہیں ہوا میرا وزن بڑھتا ہی جارہا ہے۔ موٹاپے کی وجہ سے مجھے بہت پریشانی ہے ہر اعتبار سے۔ دوا ہو چکی، اب بس دعا چاہئے۔ کوئی ایسا عمل یا کوئی ایسی دعا ہو جس سے میری یہ پریشانی دور ہو، مہربانی کرکے بتائیں یا کوئی مجرب عمل ہو جس سے یہ پریشانی پوری طرح سے ختم ہو جائے۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 148-81/SN=2/1439</span></p><p dir=""RTL"">
	آپ مایوس نہ ہوں حتی المقدور علاج و معالجے کا سلسلہ جاری رکھیں اور ساتھ یہ عمل بھی کریں: روزانہ کسی وقت اول و آخر سو سو مرتبہ درود شریف کے ساتھ پانچ سو مرتبہ ”لاحول ولا قوة إلا باللہ“ پڑھیں، پھر اللہ تعالی سے اپنی اس پریشانی کے ختم ہونے کے لیے دعا کیا کریں، ان شاء اللہ آپ کی پریشانی دور ہوگی اور آپ ایک نارمل آدمی کی طرح ہو جائیں گے۔ (ماخوذ مستند روحانی نسخے، ص: ۶،۶۱، ط: لاہور) ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",155797,deoband,متفرقات,دعاء و استغفار
01-Sep-2020,https://darulifta-deoband.com/home/ur/dua-supplications/155619,ٹینشن کیسے دور ہو,حضرت،مجھے بہت زیادہ ٹینشن ہوتا ہے۔ اگر کوئی چھوٹی بات بھی ہو جائے تو دماغ میں وہی خیال آتا رہتا ہے، نماز میں بھی دقت ہونے لگتی ہے۔ براہ کرم رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:92-56/N=2/1439</span></p><p dir=""RTL"">
	آپ استغفار کی کثرت کریں، إن شاء اللہ ٹینشن کا مزاج آپ کا آہستہ آہستہ ختم ہوجائے گا یا کم ہوجائے گا، حدیث پاک میں ہے: استغفار کی کثرت پر ہر قسم کی الجھن اور ٹینشن سے نجات کا وعدہ فرمایا گیا ہے، اللہ تعالی آپ کے ساتھ عافیت کا معاملہ فرمائیں:</p><p dir=""RTL"">
	عن ابن عباس<span dir=""LTR""></span>قال:قال رسول اللہ صلی اللہ علیہ وسلم:”من لزم الاستغفار جعل اللہ لہ من کل ضیق مخرجاً ومن کل ھم فرجاً ورزقہ من حیث لا یحتسب“، رواہ أحمد وأبو داود وابن ماجة (مشکاة المصابیح، ص ۲۰۴، ط: المکتبة الأشرفیة دیوبند)۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",155619,deoband,متفرقات,دعاء و استغفار
01-Sep-2020,https://darulifta-deoband.com/home/ur/dua-supplications/155611,میں استخارہ کرتا ہوں، خواب آتے ہیں لیکن یاد نہیں رہتے,حضرت، میں استخارہ کرتا ہوں، خواب آتے ہیں لیکن یاد نہیں رہتے پھر بھی میں اس نیت سے استخارہ کرتا رہتا ہوں کہ یہ چیز میرے لیئے اچھی ہوگی تو اللہ پاک موافقت اور آسانی فرمادیں گے ۔ اگر میرے لئے اچھی نہیں ہوگی تو اللہ پاک خود بخود کوئی رکاوٹ اور دوری پیدا کرد یں گے ۔ یا کم از کم اشارہ نہ بھی ملا مگر استخارہ کرنے کا نور مل جائے گا، کیا استخارہ میں اس طرح کی نیت رکھ سکتے ہیں؟ خیر,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:163-144/H=3/1439</span></p><p dir=""RTL"">
	بہشتی زیور کے حصہٴ اول میں استخارہ کی نماز اور دعا لکھی ہے اس میں استخارہ سے متعلقپورے بیان کو بغور پڑھ لیں اور نماز استخارہ پڑھ کر وہی منقول وماثور دعا پڑھ لیا کریں، ان شاء اللہ استخارہ کا فائدہ اور ثواب حاصل ہوگا۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",155611,deoband,متفرقات,دعاء و استغفار
01-Sep-2020,https://darulifta-deoband.com/home/ur/dua-supplications/155608,نئے کاروبار کے لیے کوئی دعا بتادیں,حضرت، میں نے نیا کاروبار شروع کیا ہے چاول اور دال کا۔ براہ کرم نئے کاروبار کے لیے کوئی دعا بتادیں تاکہ اللہ کے فضل و کرم سے چل پائے۔ شکریہ,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:181-161/H=3/1439</span></p><p dir=""RTL"">
	ہرنماز کے بعد اور سونے سے پہلے رات میں اول وآخر سات سات دفعہ درود شریف اور دمیان میں سات مرتبہ سورہٴ قریش پڑھ کر خیر وبرکت کی دعاء کیا کریں اور کاروبار کرنے میں دیانت امانت تقویٰ پرہیزگاری کو لازم پکڑلیں ان شاء اللہ کاروبار میں اعلیٰ ترقیات حاصل ہوں گی۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",155608,deoband,متفرقات,دعاء و استغفار
01-Sep-2020,https://darulifta-deoband.com/home/ur/dua-supplications/155500,حلال روزگار کے لیے وظیفہ,حضرت مفتی صاحب! جلدی کوئی اچھی نوکری مل جائے، اس کے لیے مجرب وظیفہ بتائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:83-84/D=2/1439</span></p><p dir=""RTL"">
	(۱) بعد نماز عشاء گیارہ سو گیارہ مرتبہ یَا لَطِیْفُ پڑھیں اور اول آخر درود شریف بھی گیارہ گیارہ مرتبہ پڑھیں پھر اللہ تعالیٰ سے دعا کریں۔ ان شاء اللہ مقصد پورا ہوگا۔</p><p dir=""RTL"">
	(۲) کسی وقت تازہ وضو کرکے دو رکعت صلاة الحاجة کی نیت سے پڑھیں پھر اللہ تعالیٰ سے اچھی نوکری ملنے کی دعا کریں، نیز تلاش بھی جاری رکھیں، ان شاء اللہ کامیابی ہوگی۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",155500,deoband,متفرقات,دعاء و استغفار
01-Sep-2020,https://darulifta-deoband.com/home/ur/dua-supplications/155481,اولاد كے لیے تعویذ حاصل كرنا؟,اگر کسی کا بچّہ نہیں ہورہاہے تو تو وہ اگر کسی عالم کے پاس جاکر دعا تعویذ کر لے بغیر کسی منت کے تو کیا یہ درست ہوگا؟ یا بدعات ہوگا؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:136-111/H=2/1439</span></p><p dir=""RTL"">
	بدعت نہیں اور بہتر یہ ہے کہ خود وہ شخص ہرنماز کے بعد اور سونے سے قبل سورہٴ مریم کا پہلا رکوع پڑھ کر دعا کا اہتمام کرے اور اس کی اہلیہ بھی اس کو معمول بنالے تو امید ہے کہ ان شاء اللہ جلد اولاد صالحہ اللہ پاک عطاء فرمائے گا۔ آمین</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",155481,deoband,متفرقات,دعاء و استغفار
01-Sep-2020,https://darulifta-deoband.com/home/ur/dua-supplications/155439,شراب چھڑانے کی دعا,حضرت، میری چھوٹی بہن کے شوہر جن کو شراب پینے کی عادت ہے، ان کو کچھ دماغی طور پر بھی سکون نہیں ہے۔ گھر پر رہ کر طرح طرح کی حرکتیں کرتے ہیں۔ (۱) ہر آدھے گھنٹے میں پانی کے ساتھ روٹی کھاتے ہیں۔ (۲) بار بار اپنا خود بی پی (BP) چیک کرتے ہیں۔ (۳) گھر سے باہر نہیں نکلتے۔ گھر سے باہر نکلنے پر گھبراہٹ ہو جاتی ہے۔ (۴) بیوی اور بچوں سے ہمیشہ غصہ کرتے ہیں۔ (۵) کاروبار بھی ٹھپ ہوگیا ہے، کیا اِن پر جادو کا اثر ہے؟ برائے مہربانی کوئی دعا یا وظیفہ بتائیں کہ جس سے شراب کی عادت بھی چھوٹ جائے اور دماغی طور سے بھی صحیح ہو جائیں۔ جلد از جلد جواب دیں، میری بہن بہت پریشان ہے۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p style=""text-align: right;"">
	<span dir=""LTR"">Fatwa : </span>123-100<span dir=""LTR"">/M=</span>1/1439</p><p dir=""RTL"">
	کسی اچھے ماہر ڈاکٹر سے چیک اَپ کرالیں اگر بیماری ہے تو اس کا علاج کرائیں، شراب کی عادت چھڑانے کی ہر جائز تدبیر جوممکن ہو اختیار کریں چاہے تدریجاً ہو۔ اس کی جگہ کوئی جائز مشروب متبادل کے طور پر پلانے کی کوشش کریں، صبح وشام یہ آیت کریمہ: قُلْ لَا یَسْتَوِی الْخَبِیْثُ وَالطَّیِّبُ وَلَو اَعْجَبَکَ کَثْرَةُ الْخَبِیْثِ، فَاتَّقُوا اللّٰہَ یٰاُولِی الألْبَابِ لَعَلَّکُمْ تُفْلِحُونَ (مائدہ: ۱۰۰) چائے یا پانی وغیرہ پر دم کرکے یا طشتری وغیرہ پر لکھ کر اور اس کو چائے وغیرہ میں گھول کر پلا دیا کریں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",155439,deoband,متفرقات,دعاء و استغفار
