issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/9599,اویس نام کے کیا معنی ہے؟,اویس نام کے کیا معنی ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p class=""MsoNormal"" dir=""rtl""><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""><font>فتوی: 2460=2037/ ب</font></span></p><p class=""MsoNormal"" dir=""rtl""><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""><o:p><font>&nbsp;</font></o:p></span></p><span lang=""ER"" dir=""rtl"" style="" ; mso-ansi-font-size: 12.0pt; mso-bidi-language: ER; mso-fareast-font-family: SimSun; mso-ansi-language: EN-US; mso-fareast-language: EN-US"">لغت میں اُوَیْس کے معنی بھیڑیا لکھے ہوئے ہیں۔</span><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",9599,deoband,متفرقات,اسلامی نام
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/9402,علیشہ نام کا معنی معلوم کرنا ہے نیز یہ بھی بتادیں کہ یہ نام رکھنا ٹھیک ہے کہ نہیں؟ اس کے علاوہ لڑکیوں کے کچھ اچھے نام جو صحابیات کے ہوں لیکن نئے لگیں وہ بھی ارسال فرمادیں۔ اللہ تعالی آپ کوجزائے خیر عطا فرمائے۔ مجھے اپنی قیمتی دعاؤں سے ضرور نوازیں۔,علیشہ نام کا معنی معلوم کرنا ہے نیز یہ بھی بتادیں کہ یہ نام رکھنا ٹھیک ہے کہ نہیں؟ اس کے علاوہ لڑکیوں کے کچھ اچھے نام جو صحابیات کے ہوں لیکن نئے لگیں وہ بھی ارسال فرمادیں۔ اللہ تعالی آپ کوجزائے خیر عطا فرمائے۔ مجھے اپنی قیمتی دعاؤں سے ضرور نوازیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p class=""MsoNormal"" dir=""rtl""><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""><font>فتوی: 1282=1282/ م</font></span></p><p class=""MsoNormal"" dir=""rtl""><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""><o:p><font>&nbsp;</font></o:p></span></p><p class=""MsoNormal"" dir=""rtl""><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""><font>علیشہ کے معنی بلند بادشاہ، عظیم المرتبت بادشاہ۔ علیشہ نام درست ہے۔ اس کے علاوہ لڑکیوں کے کچھ اچھے نام حسب ذیل ہیں: مریم، عائشہ، فاطمہ، خدیجہ، میمونہ، حفصہ، زینب، حبیبہ، رقیہ، اسماء، بریرہ، ریحانہ، وغیرہا۔</font></span></p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",9402,deoband,متفرقات,اسلامی نام
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/9387,کیا عبدالعیاض/عبدالایازنام صحیح ہے؟یا صرف عیاض/ایاز نام سے پکارنا چاہیے؟,کیا عبدالعیاض/عبدالایازنام صحیح ہے؟یا صرف عیاض/ایاز نام سے پکارنا چاہیے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p class=""MsoNormal"" dir=""rtl""><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""><font>فتوی: 2145=1972/د</font></span></p><p class=""MsoNormal"" dir=""rtl""><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""><o:p><font>&nbsp;</font></o:p></span></p><p class=""MsoNormal"" dir=""rtl""><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""><font>نہ عبدالعیاض نام رکھنا درست ہے نہ عبد الایاز، البتہ صرف عیاض، یا ایاز نام رکھ سکتے ہیں۔</font></span></p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",9387,deoband,متفرقات,اسلامی نام
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/9360,میری ایک بچی ہے جس کا نام صوفیہ رکھا ہے،کیا یہ نام صحیح ہے؟ اور اس کے معنی کیا ہوتے ہیں؟,میری ایک بچی ہے جس کا نام صوفیہ رکھا ہے،کیا یہ نام صحیح ہے؟ اور اس کے معنی کیا ہوتے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p class=""MsoNormal"" dir=""rtl""><span lang=""ER"" style="" mso-bidi-language: ER; mso-ansi-font-size: 12.0pt""><font>فتوی: 2390=1975/ ب</font></span></p><p class=""MsoNormal"" dir=""rtl""><span lang=""ER"" style="" mso-bidi-language: ER; mso-ansi-font-size: 12.0pt""><o:p><font>&nbsp;</font></o:p></span></p><p class=""MsoNormal"" dir=""rtl""><span lang=""ER"" style="" mso-bidi-language: ER; mso-ansi-font-size: 12.0pt""><font>جی ہاں یہ نام درست ہے، صوفیہ کا معنی ہے: نیک دل والی عورت۔</font></span></p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",9360,deoband,متفرقات,اسلامی نام
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/9281,برائے کرم مجھے شاہ زیب کا صحیح معنی بتائیں۔ نیز یہ بھی بتائیں کہ Mohammed کے بجائے mohd کا لکھنا درست ہے؟,برائے کرم مجھے شاہ زیب کا صحیح معنی بتائیں۔ نیز یہ بھی بتائیں کہ Mohammed کے بجائے mohd کا لکھنا درست ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p class=""MsoNormal"" dir=""rtl""><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""><font>فتوی: 1230=1230/م</font></span></p><p class=""MsoNormal"" dir=""rtl""><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""><o:p><font>&nbsp;</font></o:p></span></p><p class=""MsoNormal"" dir=""rtl""><font><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER"">(</span><span lang=""FA"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: FA"">۱) </span><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER"">شاہ زیب کا معنی، زینت و خوب صورتی کا بادشاہ۔</span></font></p><p class=""MsoNormal"" dir=""rtl""><font><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER"">(</span><span lang=""FA"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: FA"">۲) </span><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER"">درست ہے، پورا لکھنا اچھا ہے۔</span></font></p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",9281,deoband,متفرقات,اسلامی نام
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/9250,کیا اسلامی نام کے مطابق محمد اشہد نام درست ہے؟ حضرت مجھے پانچ دن کے اندر بتادیں کیوں کہ میں ہائی اسکول میں داخلہ لینے جارہا ہوں، اگر میں یہ نام اپنے بورڈ کے فارم میں لکھوادوں گا تو ہمیشہ یہی رہے گا۔,کیا اسلامی نام کے مطابق محمد اشہد نام درست ہے؟ حضرت مجھے پانچ دن کے اندر بتادیں کیوں کہ میں ہائی اسکول میں داخلہ لینے جارہا ہوں، اگر میں یہ نام اپنے بورڈ کے فارم میں لکھوادوں گا تو ہمیشہ یہی رہے گا۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p class=""MsoNormal"" dir=""rtl""><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""><font>فتوی: 2307=1897/ب</font></span></p><p class=""MsoNormal"" dir=""rtl""><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""><o:p><font>&nbsp;</font></o:p></span></p><p class=""MsoNormal"" dir=""rtl""><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""><font>جی ہاں محمد اشہد نام رکھنا از روئے شرع درست ہے، کوئی قباحت نہیں ہے۔ </font></span></p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",9250,deoband,متفرقات,اسلامی نام
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/9150,میری بیٹی کا نام نورین رکھنے کا ارادہ ہے۔ برائے مہربانی اس نام کے معانی بتادیں، اور یہ نام مناسب ہے یا نہیں؟ آپ کا قیمتی وقت لینے کے لیے معذرت خواہ ہوں، اللہ سبحانہ و تعالی آپ کو جزائے خیر عطا فرمائے۔ آمین۔,میری بیٹی کا نام نورین رکھنے کا ارادہ ہے۔ برائے مہربانی اس نام کے معانی بتادیں، اور یہ نام مناسب ہے یا نہیں؟ آپ کا قیمتی وقت لینے کے لیے معذرت خواہ ہوں، اللہ سبحانہ و تعالی آپ کو جزائے خیر عطا فرمائے۔ آمین۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p class=""MsoNormal"" dir=""rtl""><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""><font>فتوی: 1186=1186/ ل</font></span></p><p class=""MsoNormal"" dir=""rtl""><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""><o:p><font>&nbsp;</font></o:p></span></p><p class=""MsoNormal"" dir=""rtl""><font><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER"">نُوْرَین، نورٌ کا تثنیہ ہے جس کے معنی دو نور (دو روشنی</span><span lang=""AR-SA"" style="" mso-ansi-font-size: 12.0pt"">)</span><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""> کے ہیں، آپ اپنی بیٹی کا نام نورین کے بجائے ان ناموں میں سے کوئی نام رکھ لیں، زینب، رقیہ، فاطمہ، حفصہ، عائشہ وغیرہا۔</span></font></p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",9150,deoband,متفرقات,اسلامی نام
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/9125,کیا ہم لڑکی کا نام دعا رکھ سکتے ہیں؟,کیا ہم لڑکی کا نام دعا رکھ سکتے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p class=""MsoNormal"" dir=""rtl""><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""><font>فتوی: 1551=1294/ل</font></span></p><p class=""MsoNormal"" dir=""rtl""><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""><o:p><font>&nbsp;</font></o:p></span></p><p class=""MsoNormal"" dir=""rtl""><font><b><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER"">دعا</span></b><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""> معنی کے اعتبار سے اچھا نام نہیں ہے، اس لیے بہتر یہ ہے کہ اس کی جگہ ، خدیجہ، حفصہ، فاطمہ، مریم، عائشہ وغیرہ ناموں میں سے کوئی نام رکھ دیا جائے۔</span></font></p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",9125,deoband,متفرقات,اسلامی نام
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/9116,مجھے سمیرہ اور رشیدہ کے معنی بتادیں۔ اور اگر ان ناموں کو بدلنے کی ضرورت ہو تو کوئی اور نام بتادیں۔نیز کوئی دو نام لڑکے کے لیے اور دو نام لڑکی کے لیے بتادیں۔,مجھے سمیرہ اور رشیدہ کے معنی بتادیں۔ اور اگر ان ناموں کو بدلنے کی ضرورت ہو تو کوئی اور نام بتادیں۔نیز کوئی دو نام لڑکے کے لیے اور دو نام لڑکی کے لیے بتادیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p class=""MsoNormal"" dir=""rtl""><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""><font>فتوی: 1564=1317/ل</font></span></p><p class=""MsoNormal"" dir=""rtl""><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""><o:p><font>&nbsp;</font></o:p></span></p><p class=""MsoNormal"" dir=""rtl""><font><b><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER"">سمیرہ</span></b><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""> کے معنی ہیں: رات میں قصہ گوئی کرنے والی عورت اور <b>رشیدہ</b> کے معنی ہیں: ہدایت یافتہ، تعلیم یافتہ، تربیت یافتہ (فیروز اللغات) رشیدہ نام بہتر ہتے، البتہ سمیرہ بہتر نام نہیں ہے، اس کی جگہ خدیجہ نام رکھ دیا جائے۔ </span></font></p><p class=""MsoNormal"" dir=""rtl""><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""><font>لڑکے کے لیے بہترین نام: عبد اللہ ، عبدالرحمن، عبدالرحیم، ابراہیم، قاسم، طیب طاہر وغیرہ</font></span></p><span lang=""ER"" dir=""rtl"" style="" ; mso-ansi-font-size: 12.0pt; mso-bidi-language: ER; mso-fareast-font-family: SimSun; mso-ansi-language: EN-US; mso-fareast-language: EN-US"">لڑکی کے لیے بہترین نام: حفصہ، عائشہ، مریم، فاطمہ، کلثوم، زینب وغیرہ</span><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",9116,deoband,متفرقات,اسلامی نام
29-Aug-2020,https://darulifta-deoband.com/home/ur/islamic-names/8981,میں آپ کی توجہ اپنی پہلی درخواست بتاریخ ۲۵/ اکتوبر فتوی نمبر 8705 کی طرف دلانا چاہتا ہوں، جس کے جواب کا ابھی تک انتظار ہے۔ جناب میں اپنے گزشتہ سوال کے اندر مزید کچھ اضافہ کرنا چاہتا ہوں۔ گزارش یہ ہے کہ میں اکثر بیمار رہتا ہوں۔ طبیعت میں بے چینی اور بے سکونی رہتی ہے، پڑھائی کرنا چاہتا ہوں لیکن پڑھ نہیں پاتا جس کی وجہ سے مسلسل ناکامی سے دو چار ہونا پڑتا ہے۔ بہت سے لوگوں نے مشورہ دیا کہ نام تبدیل کرلوں۔ جیسا کہ آپ صلی اللہ علیہ وسلم نے بہت سارے لوگوں کے نام تبدیل فرمائے اورخود آپ صلی اللہ علیہ وسلم کے تقریباً ۹۹ اسمائے مبارک ہیں۔ میں گزشتہ ۳ سال سے اس مسئلے کے اندر مبتلا ہوں، اور ذہنی تکلیف کا شکار ہوں۔ بار بار دل میں یہ خیال آتا ہے کہ نام تبدیل کرلوں تو حالت بہتر ہوجائے گی۔ برائے مہربانی آپ اس سلسلے میں میری رہنمائی فرمائیں، قرآن وسنت کی روشنی میں کہ آیا ایسا کرنا بہتر ہوگا؟ موجود نام بدر محمد ہے، جو میں تبدیل کرکے اظہر محمد، بابر اللہ، بدرالدین یا بدرالدین محمد رکھنا چاہتا ہوں۔ ان چاروں ناموں میں سے کونسا نام تأثیر کے لحاظ سے بابرکت ہوگا۔ یا کوئی اور نام جو آپ حضرات بہتر سمجھئے۔ نام کی تبدیلی عدالت کے ذریعے ہوگی اس لیے تفصیل جواب جلد از جلد درکار ہے، تاکہ عدالت عالیہ مطمئن ہوجائے اور نام کی تبدیلی احسن طریقے سے ہوجائے، نیز اسلامی پہلا دن جمعہ سے یہ کافی سارے لوگوں کا خیال ہے کہ ہفتہ کے دن سے لیکن میں نے سنا ہے کہ اللہ پاک نے جمعہ کے دن اس دنیا کو بنایا اس لیا جمعہ کا دن پہلا دن ہے؟ اللہ پاک آپ لوگوں کو جزائے خیر عطا فرمائے۔ آمین۔,میں آپ کی توجہ اپنی پہلی درخواست بتاریخ ۲۵/ اکتوبر فتوی نمبر 8705 کی طرف دلانا چاہتا ہوں، جس کے جواب کا ابھی تک انتظار ہے۔ جناب میں اپنے گزشتہ سوال کے اندر مزید کچھ اضافہ کرنا چاہتا ہوں۔ گزارش یہ ہے کہ میں اکثر بیمار رہتا ہوں۔ طبیعت میں بے چینی اور بے سکونی رہتی ہے، پڑھائی کرنا چاہتا ہوں لیکن پڑھ نہیں پاتا جس کی وجہ سے مسلسل ناکامی سے دو چار ہونا پڑتا ہے۔ بہت سے لوگوں نے مشورہ دیا کہ نام تبدیل کرلوں۔ جیسا کہ آپ صلی اللہ علیہ وسلم نے بہت سارے لوگوں کے نام تبدیل فرمائے اورخود آپ صلی اللہ علیہ وسلم کے تقریباً ۹۹ اسمائے مبارک ہیں۔ میں گزشتہ ۳ سال سے اس مسئلے کے اندر مبتلا ہوں، اور ذہنی تکلیف کا شکار ہوں۔ بار بار دل میں یہ خیال آتا ہے کہ نام تبدیل کرلوں تو حالت بہتر ہوجائے گی۔ برائے مہربانی آپ اس سلسلے میں میری رہنمائی فرمائیں، قرآن وسنت کی روشنی میں کہ آیا ایسا کرنا بہتر ہوگا؟ موجود نام بدر محمد ہے، جو میں تبدیل کرکے اظہر محمد، بابر اللہ، بدرالدین یا بدرالدین محمد رکھنا چاہتا ہوں۔ ان چاروں ناموں میں سے کونسا نام تأثیر کے لحاظ سے بابرکت ہوگا۔ یا کوئی اور نام جو آپ حضرات بہتر سمجھئے۔ نام کی تبدیلی عدالت کے ذریعے ہوگی اس لیے تفصیل جواب جلد از جلد درکار ہے، تاکہ عدالت عالیہ مطمئن ہوجائے اور نام کی تبدیلی احسن طریقے سے ہوجائے، نیز اسلامی پہلا دن جمعہ سے یہ کافی سارے لوگوں کا خیال ہے کہ ہفتہ کے دن سے لیکن میں نے سنا ہے کہ اللہ پاک نے جمعہ کے دن اس دنیا کو بنایا اس لیا جمعہ کا دن پہلا دن ہے؟ اللہ پاک آپ لوگوں کو جزائے خیر عطا فرمائے۔ آمین۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p class=""MsoNormal"" dir=""rtl"" style=""MARGIN: 0in 0in 0pt""><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""><font>فتوی: 223=1815/ ب</font></span></p><p class=""MsoNormal"" dir=""rtl"" style=""MARGIN: 0in 0in 0pt""><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER""><o:p><font>&nbsp;</font></o:p></span></p><p class=""MsoNormal"" dir=""rtl"" style=""MARGIN: 0in 0in 0pt""><font><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER"">سب سے پسندیدہ نام اللہ کے نزدیک عبد اللہ اور عبدالرحمن ہے: احب الأسماء إلی اللہ عبد اللہ وعبدالرحمن (مشکاة:</span><span lang=""FA"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: FA"">۴۰۷) </span><span lang=""ER"" style="" mso-ansi-font-size: 12.0pt; mso-bidi-language: ER"">یہ نام آپ کے لیے مفید ہوگا، اسے تو بدر نام بھی ٹھیک ہے، لیکن جب آپ کو شک ہے تو اس مبارک نام کو رکھیں۔ </span></font></p><span lang=""ER"" dir=""rtl"" style="" ; mso-ansi-font-size: 12.0pt; mso-bidi-language: ER; mso-fareast-font-family: SimSun; mso-ansi-language: EN-US; mso-fareast-language: EN-US"">(</span><span lang=""FA"" dir=""rtl"" style="" ; mso-ansi-font-size: 12.0pt; mso-bidi-language: FA; mso-fareast-font-family: SimSun; mso-ansi-language: EN-US; mso-fareast-language: EN-US"">۲) </span><span lang=""ER"" dir=""rtl"" style="" ; mso-ansi-font-size: 12.0pt; mso-bidi-language: ER; mso-fareast-font-family: SimSun; mso-ansi-language: EN-US; mso-fareast-language: EN-US"">اسلامی اعتبار سے سنیچر سے ہفتہ شروع ہوتا ہے، جمعہ آخری دن ہوتا ہے، جس کے اندر چھٹی ہوا کرتی ہے۔</span><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",8981,deoband,متفرقات,اسلامی نام
