issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/tasawwuf/176148,تصوف میں لطیفہ جاری ہونے کا کیا مطلب ہے؟,تصوف میں لطیفہ جاری ہونے کا کیا مطلب ہے؟ اور اس کے سالک کو کس طرح پتا چلے گا کہ لطیفہ جاری ہوا ہے کہ نہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:434-295/sd=6/1441</span></p><p dir=""RTL"">
	ہمیں اس کا علم نہیں، مقامی معتبر دارالافتاء سے رجوع کریں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",176148,deoband,متفرقات,تصوف
01-Sep-2020,https://darulifta-deoband.com/home/ur/tasawwuf/175767,اسلام کے بارے میں غلط وساوس کا علاج,میں بہت پریشان ہوں، میرے دل میں اکثر یہ آتاہے کہ اسلام سچا مذہب نہیں ہے، جیسے کہ مرنے کے بعد کی زندگی، مگر میرا دل یہ نہیں کہتا، بلکہ صرف ذہن میں اس طرح کا خیال آتاہے، براہ کرم، جواب دیں۔ میں بہت شبہ میں ہوں۔ براہ کرم، جواب دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:340-277/L=4/1441</span></p><p dir=""RTL"">
	اسلام کے بارے میں اس طرح کا خیال آنا برا نہیں ہے ؛بلکہ اکثر لوگوں کو اس طرح کے خیالات آتے رہتے ہیں اور یہ آدمی کے مومن ہونے کی علامت ہے ،احادیث میں ہے حضراتِ صحابہ کرام رضوان اللہ علیہم اجمعین نے بھی اس طرح کی شکایت آپﷺ سے کی تھی ؛چنانچہ حضرت ابوہریرہ رضی اللہ عنہ فرماتے ہیں کہ ایک دن رسول اللہ صلی اللہ علیہ وسلم کے چند صحابی بارگاہ رسالت مآب صلی اللہ علیہ وسلم میں حاضر ہوئے اورعرض کیا کہ ہم اپنے دلوں میں بعض ایسی باتیں پاتے ہیں جس کا زبان پر لانا بھی ہم برا سمجھتے ہیں، آپ صلی اللہ علیہ وسلم نے پوچھا کیا تم واقعی ایسا پاتے ہو؟ صحابہ نے عرض کیا جی ہاں !تب آنحضرت صلی اللہ علیہ وسلم نے فرمایا یہ کھلا ہوا ایمان ہے۔ (مشکاة شریف: ۱۸، باب فی الوسوسة ) ایک اور حدیث میں ہے: حضرت ابوہریرہ رضی اللہ عنہ کہتے ہیں کہ رسول اللہ صلی اللہ علیہ وسلم نے فرمایا تم میں سے بعض آدمیوں کے پاس شیطان آتا ہے اور یہ کہتا ہے کہ فلاں فلاں چیز کو کس نے پیدا کیا تاآنکہ وہ پھر یوں کہتا ہے کہ تیرے پرودگار کو کس نے پیدا کیا جب نوبت یہاں تک آجائے تو اس کو چاہیے کہ اللہ تعالیٰ سے پناہ مانگے اور اس سلسلے کو ختم کردے۔(مشکاة شریف: ۱۹، باب فی الوسوسة) ایک اور حدیث میں ہے کہ شیطان جب اس طرح کا وسوسہ پیدا کرے تو آدمی کو چاہیے ﴿اللّٰہُ اَحَدٌ اللّٰہُ الصَّمَدُ لَمْ یَلِدْ وَلَمْ یُوْلَدْ وَلَمْ یَکُنْ لَہُ کُفُوًْا اَحَدٌ﴾ پڑھ کر تین مرتبہ بائیں طرف تھوک دے اور اعوذ باللہ من الشیطان الرجیم پڑھ لے، اور اس میں غور وفکر کرنے سے رک جائے۔</p><p dir=""RTL"">
	وعن أبی ہریرة قال لا یزال الناس یتساء لون حتی یقال ہذا خلق اللہ الخلق فمن خلق اللہ فإذا قالوا ذلک فقولوا اللہ أحد اللہ الصمد لم یلد ولم یولد ولم یکن لہ کفواً أحد ثم لیتفل عن یسارہ ثلاثا ولیستعذ باللہ من الشیطان الرجیم (مشکاة: ۱۹، باب فی الوسوسة)</p><p dir=""RTL"">
	اورایک دوسری روایت میں اس کا علاج یہ مذکور ہے کہ اس وقت اس کو چاہیے کہ یہ کہے کہ میں اللہ تعالیٰ اور اس کے رسول صلی اللہ علیہ وسلم پر ایمان لایا۔(مشکاة: ۱۸، باب فی الوسوسة)وسوسہ کی راہ روکنے کا ایک فوری مؤثر طریقہ علماء نے یہ بھی لکھا ہے کہ مجلس بدل دی جائے یعنی جس جگہ بیٹھے یا لیٹے ہوئے اس طرح کا وسوسہ پیدا ہو وہاں سے فوراً ہٹ جائے اور کسی دوسری جگہ جاکر کسی کام اور مشغلہ میں لگ جائے اس طرح دھیان فوری طور پر ہٹ جائے گا۔ آپ بھی ان تدابیر پر عمل کریں ان شاء اللہ غلط وسوسے آنے بند ہوجائیں گے اور اگر قریب میں کوئی متبع سنت بزرگ ہوں تو ان کی خدمت میں حاضری دیا کریں اور ان کے مشورے کے مطابق عمل کریں ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",175767,deoband,متفرقات,تصوف
01-Sep-2020,https://darulifta-deoband.com/home/ur/tasawwuf/175726,غلط وساوس كا علاج,مجھے زیادہ سوچنے کی عادت ہے، اس وجہ سے میں مایوس ہوجاتاہوں، اور گناہ کی طرف بڑھ جاتاہوں۔ براہ کرم، رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:440-353/L=5/1441</span></p><p dir=""RTL"">
	آپ اپنے آپ کو فارغ رکھنے کے بجائے کسی نیک کام ذکر تلاوت وغیرہ میں مشغول رکھنے کی کوشش کریں اور کبھی سوچنا ہو تو ادھر ادھر کی سوچ کے بجائے قبر ،حشر،آخرت وغیرہ کے بارے میں سوچا کریں ،غلط خیالات آئیں تو اعوذ باللہ من الشیطن الرجیم پڑھ لیا کریں ؛کیونکہ غلط خیالات شیطان کی طرف سے ہوتے ہیں ،اس میں ہرگز منہمک نہ ہوں بلکہ اس طرف سے توجہ پھیر کر کسی نیک کام میں مشغول ہوجائیں ،اللہ رب العزت آپ کی اس بیماری کو دور فرمائے ۔ قال تعالیٰ: (وَإِمَّا یَنْزَغَنَّکَ مِنَ الشَّیْطَانِ نَزْغٌ فَاسْتَعِذْ بِاللَّہِ إِنَّہُ سَمِیعٌ عَلِیمٌ) (الأعراف: 20)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",175726,deoband,متفرقات,تصوف
01-Sep-2020,https://darulifta-deoband.com/home/ur/tasawwuf/175245,ذکر اللہ کی کم سے کم اور زیادہ سے زیادہ كی كیا مقدار ہے؟,"کیا فرماتے ہیں علماء اکرام اس مسئلہ کے بارے میں قرآن مجید میں اللّہ عزوجل نے فرمایا ""یاایھا الذین آمنوا اذکروا اللّہ ذکرا کثیرا ""یہاں ذکر کثیر سے مراد کتنا ہے؟","<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 322-259/D=04/1441</span></p><p dir=""RTL"">
	آیت کریمہ میں ذکر اللہ کا جو حکم دیا گیا ہے، اس کی کوئی حد اور تعداد متعین نہیں، ہر وقت، ہر حال میں ذکر اللہ کثرت سے کرنے کا حکم ہے، سفر ہو یا حضر، بیماری ہو یا تندرستی اس کی کوئی تخصیص نہیں ہے، حاصل یہ ہے کہ: ذکر اللہ کی کم سے کم کوئی مقدار متعین نہیں ہے، اور زیادہ سے زیادہ ذکر اللہ یہ ہے کہ: ہر سانس میں نام پاک جاری رہے۔ ”معارف القرآن شفیعی“ میں اس آیت کے تحت حضرت ابن عباس رضی اللہ عنہما کا قول نقل فرمایا کہ: ”اللہ تعالیٰ نے اپنے بندوں پر ذکر اللہ کے سوا کوئی ایسی عبادت عائد نہیں کی جس کی کوئی خاص حد مقرر نہ ہو، نماز پانچ وقت کی اور ہر نماز کی رکعات متعین ہیں، حج بھی خاص مقام پر خاص اعمال مقررہ کرنے کا نام ہے، زکاة بھی سال میں ایک مرتبہ فرض ہوتی ہے، مگر ذکر اللہ ایسی عبادت ہے کہ نہ اس کی کوئی حد اور تعداد متعین ہے، نہ کوئی خاص وقت اور زمانہ مقرر ہے، نہ اس کے لیے کوئی خاص ہیئت قیام یا نشست کی مقرر ہے، نہ اس کے لئے ظاہر اور باوضو ہونا شرط ہے، بہرحال ذکر اللہ کرنے کا حکم ہے، سفر ہو یا حضر، بیماری ہو یا تندرستی، خشکی میں ہو یا دریا میں، رات ہو یا دن ہر حال میں ذکر اللہ کا حکم ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",175245,deoband,متفرقات,تصوف
01-Sep-2020,https://darulifta-deoband.com/home/ur/tasawwuf/175064,شیخ سے پہلے شیخ کے شیخ سے نیٹ پر کی گئی بیعت کا کیا حکم,میں ایک حضرت جی سے بیعت ہواتھا، جو نقشبندی سلسلے سے ہے اور میں ان کے بتائے ہوئے تسبیح کی پابندی کرنے لگا تھا - اسے پہلے میں پیر ذولفقار احمد نقشبندی DB کو سنتا تھا جو ان کے پیر تھے۔ پھر میں لائیو بیان جو ان کی ویب سائٹ پر آتی ہے اسے ان کے ساتھ بیعت کے الفاظ دوہرا کر بیعت ہو گیا ۔ اب مجھے یہ نہیں سمجھ آ رہا کہ میں نے صحیح کرا کہ غلط اور میرے پیر دونوں میں سے کون ہے۔ میں شرو ع سے۔ حضرت پیر ذولفقار احمد نقشبندی سے بیعت ہونا چاہتا تھا پر وہ پاکستان کے ہیں میں ہندوستان کا تو۔ ان کی۔ صحبت نہیں مل سکتی ۔ ۔ اب مجھے کس کو اپنا پیر ماننا چاہئے اصلاح فرما دیں ۔ جزاک اللّہ,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:261-217/N=4/1441</span></p><p dir=""RTL"">
	&nbsp;آپ جن صاحب سے فی الحال بیعت ہیں اور اُن کی بتائی ہوئی تسبیحات کی پابندی کررہے ہیں، آپ اُنہیں پوری صورت حال سے آگاہ کریں، پھر اس سلسلہ میں اُنہی سے رہنمائی لیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",175064,deoband,متفرقات,تصوف
31-Aug-2020,https://darulifta-deoband.com/home/ur/tasawwuf/174930,غیر اختیاری طور پر شہوت كا خیال آنا,اگر کسی شخص کو غیر اختیاری (نہ چاہتے ہوئے بھی) دماغ میں شہوت کا خیال آتا رہتاہے جس کی وجہ سے مذی نکلتی رہتی ہے اور نماز کا وقت ہوجاتاہے اور نماز میں بھی وہی خیالات آتے ہیں اور مذی نماز کے درمیان بھی نکلتی رہتی ہے اگر چہ اس کو دھل کر نماز شروع کریں، کتنی بھی کوشش کرے ، لیکن یہ چیز بند نہیں ہورہی ہے، کچھ دن ایسا ہونے کے بعد کچھ دن صحیح رہتاہے پھر ویسا ہی ہوجاتاہے ، میرا سوال یہ ہے کہ کیا وہ مذی نکلنے کی حالت میں نماز پڑھ سکتاہے جب کہ مذی کی مقدار ہاتھ کی لکیر کی گہرائی سے زیادہ ہو؟ اگر نہیں تو پھر کیا حکم ہے؟ اور اگر نماز نہ پڑھے تو نماز جان بوجھ کر چھوڑنے کا مجرم ہوگا۔ براہ کرم، تسلی بخش جواب دیں۔ اور اس بیمار ی سے کیسے بچا جائے اس کا طریقہ بھی بتادیں۔ جزاک اللہ,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 253-181/B=03/1441</span></p><p dir=""RTL"">
	آپ شرعی معذور نہیں ہیں اس لئے جب بھی نماز پڑھتے ہوئے مذی نکل جائے خواہ تھوڑی نکلے یا زیادہ ہر حال میں پاکی حاصل کرکے دوبارہ نماز ادا کرنی ہوگی۔ کسی اچھے حکیم سے آپ یونانی علاج کرائیں اور نیک لوگوں کی صحبت میں بیٹھا کریں۔ ان شاء اللہ یہ بیماری جاتی رہے گی۔ کثرت سے رَبِّ اَعُوْذُبِکَ مِنْ ہَمَزَاتِ الشَّیَاطِیْن وَاَعُوْذُبِکَ رَبِّ اَنْ یَّحْضُرُوْن پڑھتے رہیں، ان شاء اللہ یہ شہوانی خیالات ختم ہو جائیں گے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",174930,deoband,متفرقات,تصوف
01-Sep-2020,https://darulifta-deoband.com/home/ur/tasawwuf/174759,گناہ كا خیال آنے سے بچنے كا طریقہ اور اس كی دعا,میری عمر 30 سے زیادہ ہے جب میں 16 سال کا تھا تب سے ایسا ہو رہا ہے اور اس پہ میرا کوئی اختیار بھی نہیں ہے میں چاہتا ہوں آپ کوئی میری رہنمائی کریں میرے ذہن میں اکثر اپنی بہن سے زنا کرنے کا خیال آتے ہیں کئی بار وہ مجھ سے بال بال بچی میں سونے کے دوران اس کو چھیڑتا تھا جب وہ نیند میں ہوتی تھی ایک بار تو میں زنا کرنے ہی لگا تھا لیکن اس کی آنکھ کھل گئی اور بچ بچا ہو گیا اب ہم دونوں شادی شدہ ہیں لیکن میرے ذہنی خیال اپنی جگہ موجود ہیں اس کا کوئی حل بتائیں مسلک ک لحاظ سے میں سنی ہو امام ابو حنیفہ کو مانتا ہوں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 205-141/B=02/1441</span></p><p dir=""RTL"">
	آپ کا یہ خیال شیطانی خیال ہے۔ اپنی سگی بہن سے چھیڑ خوانی نہ کرنے کا عزم مصمم کرلیں، اور بہن سے بہت دور کسی جگہ رہیں۔ اور کثرت سے یہ دعا پڑھتے رہیں۔ رَبِّ اَعُوْذُبِکَ مِنْ ہَمَزَاتِ الشَّیَاطِیْنِ وَاَعُوْذُبِکَ رَبِّ أنْ یَّحْضُرُوْن ۔ اللہ تعالی آپ کو ناپاک خیالات اور وسوسوں سے دور رکھے۔ آمین ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",174759,deoband,متفرقات,تصوف
01-Sep-2020,https://darulifta-deoband.com/home/ur/tasawwuf/174671,كسی كے پاس وقت نہ ہو تو وہ بیعت سے فائدہ كس طرح اٹھائے؟,میرا سوال یہ ہے کہ اگر کوئی غیر عالم کسی بزرگ سے بیعت کرے ، لیکن وہ آدمی بہت مصروف رہتا ہو ان بزرگ کے پاس جاکے وقت نہ گذار سکے تو اس کوبیعت ہونے کا فائدہ کیسے ملے گا جب کہ وہ صرف کبھی کبھی شیخ سے ملتا ہو؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:327-244/B=3/1441</span></p><p dir=""RTL"">
	اپنی اصلاح کے لیے بیعت ہوجانا چاہیے، رہی مصروفیت کی بات تو اپنے حالات خط وکتابت کے ذریعہ بتائے جاسکتے ہیں اور اس کے ذریعہ بھی اصلاح کی جاسکتی ہے، اگر کبھی کبھی ملاقات کرلیا کرے تو یہ بھی کافی ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",174671,deoband,متفرقات,تصوف
01-Sep-2020,https://darulifta-deoband.com/home/ur/tasawwuf/174649,جنسی جذبات پر كیسے قابو پایا جائے,میں ایک اٹھائیس سال کی غیر شادی شدہ لڑکی ہوں۔ پچھلے کچھ عرصے سے مجھے اپنے جنسی جذبات پر قابو نہیں رہتا ہے۔ کبھی کبھی تو کئی کئی دن گزر جاتے ہیں اور کچھ نہیں ہوتا اور کبھی کبھی ایک ایک پل گزارنا مشکل ہو جاتا ہے۔ میرا خود پر اختیار نہیں رہتا اور پھر میرا دل کرتا ہے کہ میں مباشرت کروں۔ لیکن میں زنا کی حرمت کو جانتی ہوں اس لیے کوئی ایسا قدم نہیں اٹھا سکتی۔ جب یہ جنسی جذبات بڑھ جاتے ہیں تو پھر میں اپنی فرج کو مسل دیتی ہوں اور اس کی وجہ سے سیکسی کہانیوں کی عادت میں مبتلا ہو چکی ہوں۔ اگر ایسا نہ کروں تو پھر میں ذہنی اور جسمانی طور پر پریشان رہتی ہوں۔ غصہ بہت آتا ہے اور ٹانگوں میں درد بہت ہوتا ہے۔ ساتھ ہی ساتھ فرج میں جلن اور درد بھی۔ جسم اکڑ جاتا ہے اور کسی کام میں دل نہیں لگتا اور پھر میں یہ حرکت کر جاتی ہوں۔ اس کے بعد جسم تو نارمل ہو جاتا ہے لیکن ذہن میں ایک جنگ جاری رہتی ہے اور میں اپنی بے بسی پر رو دیتی ہوں کہ میں کس گناہ میں پڑ چکی ہوں۔ مجھے خود پر اختیار کیوں نہیں رہتا۔ میں جانتی ہوں کہ اس کا حل شادی ہے لیکن یہ بھی تو میرے اختیار میں نہیں ہے۔ میرا تعلق اس معاشرے سے ہے جہاں لڑکی کا خود سے شادی کا کہنا بے حیائی سمجھا جاتا ہے۔ اور اسے بدچلن کہا جاتا ہے۔ براہ مہربانی رہنمائی کیجیئے کہ اس سب عمل کے دوران نکلنے والا پانی ناپاک کر جاتا ہے کیا؟ پانی کا رنگ سفید اور بے بو ہوتا ہے۔ اگر نہ بھی کروں تو بھی پانی کے قطرے نکل آتے ہیں جو اکثر بے رنگ اور بے بو ہوتے ہیں۔ براہ مہربانی رہنمائی کیجیئے شکریہ,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:309-284/L=4/1441</span></p><p dir=""RTL"">
	جنسی جذبات پر قابو پانے کے لیے اولا آپ ہمت سے کام لیں اورروزہ کی کثرت کریں،حدیث شریف میں اس کا علاج روزہ کو لازم پکڑنا مذکور ہے ،اس کے علاوہ آپ فارغ اوقات میں غلط خیالات لے جانے یا سیکسی کہانیوں کے پڑھنے کے بجائے اپنے آپ کو ذکر تلاوت اور دینی کتابوں کے مطالعہ میں مشغول رکھیں اور اگر کبھی غلط خیالات آجائیں تو اللہ کے وعیدوں کا استحضار کریں نیز عشا کی نماز کے بعد اول وآخر گیارہ گیارہ مرتبہ درود شریف پڑھ کر گیارہ سو گیارہ مرتبہ ”یا ودود“ پڑھ لیا کریں ان شاء اللہ جلد شادی کا انتظام ہوجائے گا ۔جہاں تک اس عمل کے دوران نکلنے والی رطوبت کا مسئلہ ہے تو اگر شہوت کے ساتھ وہ رطوبت نکلتی ہے اور اس کے بعد اعضاء ڈھیلے پڑجاتے ہیں تو وہ منی ہے اس کے بعد غسل کرنا ضروری ہوجاتا ہے ،اس کے علاوہ جو رطوبت بلا شہوت نکلتی رہتی ہے وہ نجس ہے کپڑے یا بدن کے جس جگہ پر لگ جائے اس کا دھونا ضروری ہوتا ہے؛ لیکن اس کے نکلنے سے غسل واجب نہیں ہوتا۔ ومن وراء باطن الفرج فإنہ نجس قطعاً ککل خارج من الباطن کالماء الخارج مع الولد أو قُبَیْلہ الخ کما فی ردالمحتار</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",174649,deoband,متفرقات,تصوف
01-Sep-2020,https://darulifta-deoband.com/home/ur/tasawwuf/174317,كسی شیخ سے بیعت ہونے اور اس کے دیے وظائف پابندی سے پڑھنے كی شریعت میں كیا دلیل ہے؟,کسی شیخ کے ہاتھوں پر بیعت کرنا، اس کے دیے وظائف پابندی سے پڑھنا ان سب کی شریعت میں کیا دلیل ہے؟ کچھ لوگ کہتے ہیں کہ یہ چیزیں حضورﷺ کے زمانے میں نہیں تھیں، ان کی کوئی دلیل نہیں ہے اس لیے یہ بدعت ہے کیا یہ بات صحیح ہے؟ براہ کرم جواب عنایت فرماکر شکریہ کا موقع عنایت فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 270-220/H=03/1441</span></p><p dir=""RTL"">
	بیعت کرنا کرانا تو قرآنِ کریم سے ثابت ہے۔ اصل مقصود تو اصلاحِ نفس اور احکام شرعیہ پر کمال درجہ کا عمل ہے، ارتکابِ معاصی سے کامل اہتمام کے ساتھ اپنا تحفظ و بچاوٴ ہے اور اصل مقصود کو حاصل کرنے میں اگر بلحاظِ زمانہ کچھ چیزوں کی ضرورت ہو اور بغیر ان کو اختیار کئے مقصود حاصل نہ ہو سکے تو وہ چیزیں بھی ضروری ہو جاتی ہیں مثلاً مقصد تو حج کی ادائیگی ہے مگر آج کل ہوائی جہاز اور اس کے متعلقات کے بغیر حج کا سفر ممکن نہیں تو اگرچہ زمانہٴ خیر القرون میں ہوائی جہاز وغیرہ نہ تھا مگر اب اس کا اختیار کرنا لازم ہوگیا پس ہوائی جہاز سے سفر حج کو بدعت نہ کہا جائے گا؛ البتہ حج ہی کے احکام میں کوئی شخص کتربیونت یا کمی بیشی کرنے لگے تو یہ البتہ بدعت ہے ناجائز و حرام اور گناہ ہے۔ دوسرے الفاظ میں یوں سمجھ لیجئے کہ ایک احداث للدین ہے دوسرا احداث فی الدین ہے اہل حق متبع سنت شیخ کامل جو اَوراد و وظائف اور مجاہدات اختیار کرتے کراتے ہیں اور وہ اَوراد و مجاہدات قرآن و حدیث کے خلاف نہیں ہیں تو ان کی پابندی بدعت نہیں ہے جیسے اطباء اور ڈاکٹر جو دوائیں بطور معالجہ تجویز کرتے ہیں ان کا زمانہٴ خیر القرون میں ثابت ہونا ضروری نہیں بس اتنا کافی ہے کہ کتاب و سنت کے خلاف نہ ہوں ”شریعت و طریقت کا تلازم“ ایک کتاب ہے اس میں بہت عمدہ اور مدلل بحث اس کے متعلق مذکور ہے حضرت شیخ الحدیث مولانا محمد زکریا صاحب رحمہ اللہ تعالیٰ رحمة واسعہ کی تصنیف ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",174317,deoband,متفرقات,تصوف
