issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/history-biography/67794,مولانا امین صفدر اکاڑوی صاحب کی زندگی اور ان کی کتابوں کے سلسلے میں کچھ کتابیں بتاسکتے ہیں؟,میں نے مولانا امین صفدر اکاڑوی صاحب کی کچھ تقریریں سنیں اور میں تقلید کے سلسلے میں ان کی وضاحت سے بہت متأثر ہوں۔ کیا آپ ان کی زندگی اور ان کی کتابوں کے سلسلے میں کچھ کتابیں بتاسکتے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>
	Fatwa ID: 1001-947/SN=11/1437<br>
	<br>
	”تجلیاتِ صفدر“ حضرت مولانا امین صفدر صاحب مرحوم کی بہترین اور ضخیم کتاب ہے، سات جلدوں میں طبع ہوئی ہیں، اس کے شروع میں موٴلفِ کتاب کی سوانح عمری بھی شامل ہے، آپ اس کا مطالعہ کریں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",67794,deoband,متفرقات,تاریخ و سوانح
01-Sep-2020,https://darulifta-deoband.com/home/ur/history-biography/67349,مغل بادشاہ اکبر اور ابوالفضل کے متعلق سوال,مولانا یوسف صاحب کاندہلوی (رح) کے بیانات میں یہ بات پڑہی تہی کہ مغل بادشاہ اکبر کو گمراہ اس کے قریبی ابو الفضل اور فیضی نے کیا تھا، اسی گمراہی کی وجہ سے اکبر نے دین الہی جیسے ایک نئے مذہب کی ابتدا کی، ہمارے اکابرین کی کسی کتاب میں اس تعلق سے ذکر ہو تو بتائیں۔اور یہ کے مندرجہ بالا بات کہاں تک درست ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>
	Fatwa ID: 888-737/D=11/1437<br>
	<br>
	یہ بات سچ ہے اس کا ذکر اس دور کی تاریخ و سوانح کی کتابوں میں ملے گا مثلاً حضرت مجدد الف ثانی کی سوانح اور آپ کے مکاتیب یا حضرت خواجہ محمد معصوم صاحب رحمہ اللہ کی سوانح اور مکتوبات معصومیہ میں ملے گا۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",67349,deoband,متفرقات,تاریخ و سوانح
01-Sep-2020,https://darulifta-deoband.com/home/ur/history-biography/66007,شب معراج سن عیسوی کے حساب سے کب واقع ہوا؟,شب معراج سن عیسوی کے حساب سے کس دن اور کس ماہ اور کس تاریخ اور کس سال واقع ہوا۔ برائے کرم جواب ارسال فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 699-581/D=9/1437

شب معراج کی تاریخ اور ماہ کے سلسلے میں روایات مختلف ہیں، سن ۱۰/ نبوی میں آپ صلی اللہ علیہ وسلم کو معراج ہوئی، یعنی اس وقت آپ کی عمر مبارک تقریباً پچاس سال تھی، بعض روایات کے مطابق ہجرت سے چھ ماہ قبل یا آٹھ ماہ قبل ہوئی ہے، اور بعض روایات سے تین سال قبل ہونا ثابت ہے یہی راجح ہے۔ سن عیسوی کے اعتبار سے ۵۷۱ء میں آپ صلی اللہ علیہ وسلم کی ولادت شریفہ ہوئی، پس اس لحاظ سے معراج کا ۶۲۱ء میں ہونا معلوم ہوتا ہے، دن تاریخ اور مہینہ کے سلسلہ میں روایات مختلف ہیں بعض کتابوں سے سنیچر کا دن ہونا ثابت ہوتا ہے اور مہینہ کے سلسلہ میں ربیع الاول، ربیع الآخر، رجب، شوال ورمضان وغیرہ مختلف اقوال ہیں، زیادہ مشہور /۲۷ رجب ہے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",66007,deoband,متفرقات,تاریخ و سوانح
01-Sep-2020,https://darulifta-deoband.com/home/ur/history-biography/64885,سنی اور شیعہ اختلاف کب سے ہوئے ہیں ؟,(۱) سنی اور شیعہ اختلاف کب سے ہوئے ہیں ؟ ( ۲)کیا مسلمانوں کی ۲ قومیں ہیں اہل عرب اور اہل عجم؟ کیا اور بھی قوم ہے ان دو کے علاوہ ؟ (۳) کیا شیعہ میں بھی اہل عرب ہے کوئی؟ (۴) تمام اہل عرب سنی ہیں؟ جزاک اللہ,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 769-795/L=8/1437

(۱) حضرت عثمان غنی رضی اللہ عنہ کے آخری دور میں شیعہ سنی اختلافات رونما ہوئے اور آہستہ آہستہ اس نے جڑ پکڑ لی نتیجتاً بہت سے کفریہ وشرکیہ عقائد کے ساتھ یہ فرقہ اہل سنت والجماعت سے الگ رونما ہوا۔
(۲) عرب وعجم یہ خطہ کے اعتبار سے تقسیم ہے، عرب کے علاوہ پر عجم کا اطلاق ہوتا ہے چاہے وہ کہیں کا بھی ہو۔
(۳) (۴) اکثر اہل عرب اہل سنت والجماعت سے ہیں؛ البتہ بعض عرب شیعہ بھی ہیں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",64885,deoband,متفرقات,تاریخ و سوانح
01-Sep-2020,https://darulifta-deoband.com/home/ur/history-biography/64252,میں نے انٹرنیٹ میں دیکھا کہ شیعہ یہ کہتے ہیں کہ حضرت فاطمہ رضی اللہ عنہا کی وفات کے ذمہ دار حضرت عمر رضی اللہ عنہ ہیں؟,میں نے انٹرنیٹ میں دیکھا کہ شیعہ یہ کہتے ہیں کہ حضرت فاطمہ رضی اللہ عنہا کی وفات کے ذمہ دار حضرت عمر رضی اللہ عنہ ہیں، اور میں نے یہ سنا ہے کہ حضرت فاطمہ کا جب انتقال ہوگا تو انہوں نے وصیت کی تھی کہ ان کے جنازے میں حضرت ابو بکر اور حضرت عمر کو شریک نہ کیا جائے ۔ آخیر ایسا کیا واقعہ ہوا تھا کہ حضرت فاطمہ ان سے اتنی زیادہ ناراض تھیں کہ انہیں اپنے جنازے میں شریک بھی ہونے کی اجازت نہیں دی۔ براہ کرم، قرآن وحدیث کی روشنی میں جواب دیں۔ جزاک اللہ خیر,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 552-549/H=7/1437

امیر الموٴمنین حضرت عمر فاروق رضی اللہ عنہ کو شیعہ صاحبان کیوں ذمہ دار ٹھیراتے ہیں؟ حدیث شریف میں ہے کہ مرض الوفات میں حضرت نبی اکرم صلی اللہ علیہ وسلم نے سیدہ حضرت فاطمة الزہراء رضی اللہ عنہا کو بلایا اور ارشاد فرمایا کہ میں اس مرض میں وفات پاجاوٴں گا حضرت فاطمہ رضی اللہ عنہا رونے لگیں، پھر آپ نے ان سے فرمایا کہ میرے اہل میں سب سے پہلے (عالم برزخ میں) آکر تم مجھ سے ملوگی تو وہ ہنسنے لگیں بعض ازواجِ مطہرات (اور غالباً حضرت سیدہ عائشہ رضی اللہ تعالی عنہا) نے رونے اور ہنسنے کا سبب معلوم فرمایا تو حضرت فاطمہ رضی اللہ عنہا نے دونوں باتیں بتائیں۔ (مشکاة ص: ۵۴۹، باب وفاة النبی صلی اللہ علیہ وسلم) اس حدیث شریف سے تو معلوم ہوتا ہے کہ حضرت نبی اکرم صلی اللہ تعالی علیہ وسلم نے جلد وفات ہونے کی پیشین گوئی فرمائی تھی اور اس سے خوش ہوکر حضرت فاطمہ رضی اللہ عنہا ہنسنے لگی تھیں اگر کسی درجہ میں شیعہ صاحبان کو ذمہ داری کسی کے سر تھونپنی ہی تھی تو حضرت نبی اکرم صلی اللہ تعالی علیہ وسلم کو ذمہ دار ٹھیراتے بلکہ حضرت فاطمہ رضی اللہ تعالی عنہا اس پیشین گوئی سے خوش ہوئیں تو وہ خود ہی اپنی وفات کی ذمہ دار ٹھہریں ورنہ بجائے خوش ہونے کے ان کو چأہیے تھا کہ اس پیشین گوئی سے ناخوش ہوکر اس کو رد فرمادیتیں، اسی طرح حضراتِ شیخین (حضرت ابوبکر صدیق وحضرت عمر فاروق رضی اللہ عنہما) سے متعلق یہ وصیت فرمانا کہ ان کو جنازہ میں شریک نہ کیا جائے، سیدہ حضرت فاطمہ زہرا رضی اللہ عنہا پر تہمت ہے، حقیقت یہ ہے کہ حضرت سیدہ کے مرض الوفات میں حضرت ابوبکر صدیق رضی اللہ تعالیٰ عنہ کی زوجہٴ مطہرہ حضرت بنت عمیس رضی اللہ عنہا نے تیمار داری کے خصوصی فرائض انجام دیئے، حضرت سیدہ رضی اللہ عنہا نے یہ وصیت فرمائی تھی کہ میری وفات کے بعد مجھ کو غسل حضرت اسماء دیں گی، چنانچہ وصیت کے مطابق انھوں نے غسل دیا، ان جیسے امور سے ثابت ہوتا ہے کہ حضرت صدیق اکبر بلکہ ان کا گھرانہ آلِ رسول کے گھرانہ کے ساتھ دکھ درد میں شریک ایک دوسرے سے بہت قریب اور باہم شیر وشکر تھے اور یہی اوصافِ حمیدہ اور اخلاقِ فاضلہ تمام صحابہ وصحابیات رضی اللہ عنہم اجمعین کے تھے جو قرآنِ کریم احادیث مبارکہ اور صحیح تاریخ سے ثابت ہیں، اس کے برخلاف چیزیں جھوٹے راویوں کی روایتیں اور اہل باطل کے گھڑے ہوئے قصے کہانیاں، نرے افسانہ کے قبیل سے اور بالکل غیر معتبر ہیں یا پھر مأوّل ہیں۔ 
الغرض جب حضرت سیدہ فاطمة الزہراء رضی اللہ عنہا کا انتقال ہوگیا اور وصیت کے مطابق غسل وکفن دلاکر جنازہ تیار ہوگیا تو حضراتِ صحابہٴ کرام بشمول حضرت صدیق اکبر وفاروق اعظم رضی اللہ عنہما بھی جنازہ میں شریک ہوئے حضرت صدیق اکبر رضی اللہ نے حضرت علی کرم اللہ وجہ سے نماز پڑھانے کی درخواست کی اور کہا کہ چلئے آگے بڑھ کر نماز جنازہ پڑھائیے حضرت شیر خدا علی مرتضی رضی اللہ عنہ نے ارشاد فرمایا میں آگے نہیں بڑھ سکتا، آپ ہی آگے بڑھ کر نماز پڑھائیں ما کنت لأتقدم وأنت خلیفة رسول اللہ صلی اللہ علیہ وسلم فتقدم أبوبکر وصلّی علیہا (کنز العمال: ج۶ ص۳۶۶) تینوں خلفاء راشدین (صدیق اکبر، فاروقِ اعظم، عثمان غنی) رضی اللہ تعالیٰ عنہم کی اولاد اور اولاد کی حضرت علی رضی اللہ عنہ کی نسل پاک سے بکثرت رشتہ داریاں حتی کہ اپنے اپنے بچوں کے اسماء خلفائے راشدین کے اسماء کے مطابق رکھنا صاف دلالت کرتا ہے کہ یہ سب حضرات رحماء بینہم کا مظہر اتم تھے، جیسا کہ کتب حدیث وتواریخ اس پر شاہد عدل ہیں، اگر اس کی کچھ جھلک دیکھنا ہو تو حضرت اقدس الحاج مفتی محمد فاروق صاحب شہید رحمہ اللہ تعالیٰ کی کتاب ”امیرالموٴمنین خلیفة المسلمین سیدنا صدیق اکبر رضی اللہ عنہ“ (مطبوع مکتبہ محمودیہ میرٹھ) کا مطالعہ کریں۔ 
پس اہل تشیع خواہ روافض ہوں یا خوارج ان کی وہ روایات کہ جن سے خلفائے راشدین اور ان کی ازواجِ مطہرات بناتِ طاہرات یا دیگر صحابہٴ کرام اور ان کے سچے متبعین رضی اللہ عنہم اجمعین کی عیب جوئی ہوتی ہے وہ اکثر وبیشتر ناقابل اعتبار اور ہفوات کے قبیل سے ہیں، یا پھر بعض میں تاویل صحیح کی گنجائش ہے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",64252,deoband,متفرقات,تاریخ و سوانح
31-Aug-2020,https://darulifta-deoband.com/home/ur/history-biography/63779,حضرت علی رضی اللہ عنہ اور حضرت معاویہ رضی اللہ عنہ کے مابین تنازعہ کا سبب معلوم کرنا ہے ۔براہ کرم بتا دیں۔,حضرت علی رضی اللہ عنہ اور حضرت معاویہ رضی اللہ عنہ کے مابین تنازعہ کا سبب معلوم کرنا ہے ۔براہ کرم بتا دیں۔ عین نوازش ہو گی۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 305-305/Sd=5/1437

حضرت علی اور حضرت معاویہ رضی اللہ عنہما دونوں ہی حضور صلی اللہ علیہ وسلم کے صحابی تھی، دونوں ہی کے احترام اور عدالت کا قائل ہونا ضروری ہے، کسی پر طعن کرنا اور برائی کے ساتھ ذکر کرنا ہر گز جائز نہیں ہے، اس لیے کہ تمام صحابہ کرام کے بارے میں یہ عقیدہ رکھنا ضروری ہے کہ وہ سب اللہ کے نیک اور مقبول بندے تھے، اللہ تعالی نے قرآن میں اُن کے تعلق سے اپنی رضا کا اعلان فرمادیا، اُن کی زندگی بعد میں آنے والوں کے لیے نمونہ ہے، اُن کے درمیان جو کچھ اختلافات پیش آئے، اس میں اللہ کی بہت سی مصلحتیں اور حکمتیں پوشیدہ تھیں، ہم سے روز قیامت اختلافات کے بارے میں سوال نہیں کیا جائے گا، اُن کے اختلافات کی بحث میں نہ پڑنے ہی میں عافیت ہے، آپ ان مسائل میں نہ پڑیں ، اپنے اعمال کی فکر کریں۔ قال ابن الصلاح: للصحابة بأسرہم خصیصة، وہي أنہ لا یسأل عن عدالة أحد منہم؛ بل ذلک أمر مفروغ منہ، لکونہم علی الاطلاق معدلین بنصوص الکتاب، والسنة، واجماع من یعتد بہ في الاجماع من الأمة۔ ( علوم الحدیث ) وقال العراقي: ان جمیع الأمة مجمعة علی تعدیل من لم یلابس الفتن منہم، وأما من لابس الفتن منہم، وذلک حین مقتل ثمان رضي اللّٰہ عنہ، فأجمع من یعتد بہ أیضاً في الاجماع علی تعدیلہم احساناً للظن بہم، وحملاً لہم في ذلک علی الاجتہاد ( شرح ألفیة العراقي المسماة بالتبصرة والتذکرة للعراقي: ) وقال الامام الغزالي: والذي علیہ سلف الأمة و جماہیر الخلق أن عدالتہم معلومة بتعدیل اللّٰہ عز وجل ایاہم و ثنائہ علیہم في کتابہ، فہو معتقدنا فیہم۔۔۔۔۔(المستصفی ) وقال الامام أحمد بن حنبل رحمہ اللّٰہ لما سئل عن رجل تنقص معاویة و عمرو بن العاص، أیقال لہ رافضي؟ فقال: انہ لم یجتريء علیہما الا ولہ خبیئة سوء، ما انتقص أحد أحداً من الصحابة الا ولہ داخلة سوء۔ وفي روایة أخری: قال: اذا رأیت رجلاً یذکر أحداً من الصحابة بسوء، فاتہمہ علی الاسلام۔ ( البدایة والنہایة ) ویسئل الامام النسائي عن معاویة بن أبي سفیان رضي اللّٰہ عنہما فیقول: انما الاسلام کداار لہا باب، فباب الاسلام الصحابة، فمن آذی الصحابة، انما أراد الاسلام کمن نقر الباب أي: نقبہ انما یرید دخول الدار، قال: فمن أراد معاویة، فانما أراد الصحابة ( تہذیب الکمال ) وقال التفتازاني:ویکف عن ذکر الصحابة الا بخیرلما ورد من الأحادیث الصحیحة والحسنة في مناقبہم ووجوب الکف عن الطعن فیہم کقولہ علیہ الصلاة والسلام: لا تسبوا أصحابي، فلو أن أحدکم أنفق مثل أحد ذہباً، ما بلغ مد أحدہم، ولا نصیفہ، وکقولہ علیہ الصلاة والسلام: أکرموا أصحابي؛ فانہم خیارکم، وکقولہ علیہ الصلاة والسلام: اللّٰہ اللّٰہ في أصحابي، لا تتخذواہم غرضاً من بعدي، فمن أحبہم، فبحبي أحبہم، ومن أبغضہم، فببغضيأبغضہم، ومن آذاہم، فقد آذاني، ومن آذاني، فقد آذی اللّٰہ، ومن آذی اللّٰہ، فیوشک أن یأخذہ۔۔۔۔۔ وقال:وما وقع بینہم أي: بین الصحابة من المحاربات والمنازعات۔۔۔۔فلہ محامل أي: مواضع حمل وتاویلات، والمجمل أنہم کانوا یطلبون الحق؛ ولکن یصیب بعضہم في الاجتہاد، ویخطي بعضہم، والمخطي في الاجتہاد غیر ماخوذ؛ بل ماجور، وہکذا جرت عادة السلف الصالحین بحمل أفعال الصحابة علی مقاصد صحیحة۔۔۔۔وبالجملة لم ینقل عن السلف للمجتہدین والعلماء الصالحین جواز اللعن علی معاویة وأحزابہ۔۔۔۔۔۔۔۔۔قال صاحب النبراس: قد صرح علماء الحدیث بأن معاویة رضي اللّٰہ عنہ من کبار الصحابة، ونجبائہم و مجتھدیہم، ولو سلم أنہ من صغارہم، فلا شک فيأنہ دخل في عموم الأحادیث الصحیحة الواردة في تشریف الصحابة رضي اللأٰہ عنہم؛ بل قد ورد فیہ بخصوصہ أحادیث کقولہ علیہ الصلاة والسلام: اللّٰہم اجعلہ ہادیا و مہدیاً۔۔رواہ الترمذي، وقولہ علیہ الصلاة والسلام: اللّٰہم علم معاویة الحساب والکتاب، وقہ العذاب رواہ أحمد، وما قیل من أنہ لم یثبت في فضلہ حدیث، فمحل نظر، وکان السلف یغضبون من سبہ و طعنہ۔ وقیل لابن عباس: ان معاویة صلی الوتر رکعة واحدة، قال: وعہ؛ فانہ فقیہ صحب رسول اللّٰہ صلی اللّٰہ علیہ وسلم کما في الصحیح البخاري۔ وسبہ رجل عند خلیفة الراشد عمر بن عبد العزیز، فجلدہ۔ وقیل للامام الجلیل عبد اللّٰہ بن المبارک: أمعاویة أفضل أم عمر بن عبد العزیز؟ قال: غبار فرس معاویة اذا غزا مع رسول اللّٰہ صلی اللّٰہ علیہ وسلم أفضل من عمر۔ ( شرح العقائد مع النبراس، ص: ۵۴۶۔۔۔۵۵۱، ط: مکتبة رشیدیة، کوئٹہ )
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",63779,deoband,متفرقات,تاریخ و سوانح
01-Sep-2020,https://darulifta-deoband.com/home/ur/history-biography/63472,مولانا عنا یت اللّہ عمر اکھروی گجرات خلیفہ و مجاز حضرت مولانا قمرالزماں صاحب الٰہ آبادی ؟کے بارے میں آپ کی کیا رائے ہے ؟,(۱) مولانا عنا یت اللّہ عمر اکھروی گجرات خلیفہ و مجاز حضرت مولانا قمرالزماں صاحب الٰہ آبادی ؟کے بارے میں آپ کی کیا رائے ہے ؟ یہ اپنی مجالس میں ذکر بالجہر کرواتے ہے کیا یہ صحیح ہے ؟ (۲) اورنگ آ باد (مہاراشٹر)کے لیے کوئی ایسی شخصیت کے بارے میں بتائیں جن سے استفا دہ حاصل کیا جاسکے ؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 285-218/D=4/1437-U

(۱) ذکر بالجہر اگرچہ جائز ہے لیکن افضل ذکر خفی ہے اور جہراً ذکر کے لیے ضروری ہے کہ جہر مفرط نہ ہو نیز نمازی اور تلاوت قرآن کرنے والے یا سونے والے کی نیند میں خلل نہ پڑے اور یہ بھی ضروری ہے کہ کسی منکر اور بدعت کی راہ نہ اپنائی جائے۔
صورت مسئولہ میں شیخ موصوف ذکر بالجہر کس طرح اپنی مجالس میں کرواتے ہیں اس کی تفصیل لکھیں تو حکم لکھ دیا جائے گا۔
(۲) جن حضرت کی طرف اہل خیر وصلاح کا رجوع ہو ان میں سے کسی کی خدمت میں دوچار روز رہ کر دیکھیں جس کے پاس بیٹھنے سے توجہ الی اللہ اور فکر آخرت پیدا ہو اور دنیا سے بے رغبتی کے ساتھ دین کی طرف میلان بڑھے اس کے پاس استفادہ کے لیے آمد ورخت رکھیں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",63472,deoband,متفرقات,تاریخ و سوانح
01-Sep-2020,https://darulifta-deoband.com/home/ur/history-biography/62383,کچھ لوگ وید سے نبی کی پیشینگوئی کا حوالہ دیتے ہِیں ۔ کیا یہ صحیح ہے ؟ کیا غیر مسلموں(ہندو) کی کتابوں میں نبی کا زکر آیا ہے ؟,کچھ لوگ وید سے نبی کی پیشینگوئی کا حوالہ دیتے ہِیں ۔ کیا یہ صحیح ہے ؟ کیا غیر مسلموں(ہندو) کی کتابوں میں نبی کا زکر آیا ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 102-95/N=2/1437-U

(۱، ۲) جی ہاں! یہ صحیح ہے، ہندوٴوں کی بہت سی مذہبی کتابوں (رگ وید، یجر وید، اتھر وید، سام وید، الو اپنشد، بھوشیہ پران، کلکی پران، بھاگوت پران اور سنگرام پران وغیرہ) میں ایک ایسی شخصیت کابکثرت ذکر اور پیشین گوئی آئی ہے، جس کا مصداق حضرت نبی کریم صلی اللہ تعالی علیہ وسلم کے علاوہ اور کوئی نہیں ہوسکتاجیسا کہ بہت سے منصف غیر مسلموں (جن میں پنڈت وید پرکاش بطور خاص قابل ذکر ہیں) نے بھی تسلیم کیا ہے؛ بلکہ بعض دیگر انبیائے کرام علیہم الصلاة والسلام کا بھی ذکر آیا ہے (تفصیل کے لیے دیکھیں: محاضرہ علمیہ بسلسلہ ہندومت ۴، ہندو دھرم /سماج میں تصور رسالت، پیش کردہ جناب مولانا عبد الحمید نعمانی صاحب ناظم شعبہ نشر واشاعت جمعیة علمائے ہند، دہلی، ص ۲۷ - ۶۴)۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",62383,deoband,متفرقات,تاریخ و سوانح
01-Sep-2020,https://darulifta-deoband.com/home/ur/history-biography/62332,حضرت حسین رضی اللہ عنہ نے کربلا کی طرف قدم کیوں بڑھایا؟,میں کربلا کی تفصیلی تاریخ جاننا چاہتاہوں۔ نیز بتائیں کہ حضرت حسین رضی اللہ عنہ نے کربلا کی طرف قدم کیوں بڑھایا؟ براہ کرم،اس کی وجوہات بتاتے ہوئے کربلا کی تاریخ تفصیل سے بتائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 55-38/D=2/1437-U

دارالافتاء سے فقہی سوالات کے جوابات دیئے جاتے ہیں تاریخ کی باتیں صحیح تاریخی کتابیں پڑھنے سے معلوم ہوں گی لیکن تاریخی واقعات نگاری میں شیعہ یا شیعی رجحان رکھنے والے موٴرخین نے غیر تحقیقی باتیں بھی شامل کردی ہیں بلکہ شیعوں نے تو اپنے نظریات کی ترویج کا ذریعہ ہی اسے بنایا ہے۔ نیز غیرمستند اور مشکوک باتیں پڑھنے سے ذہن خواہ مخواہ بدگمانیوں میں مبتلا ہوتا ہے اور یہ مسئلہ ایسا نہیں ہے جس پر آخرت کی نجات موقوف ہو یا اس کے بارے میں آخرت میں سوال ہو، پس ان باتوں کو پڑھنے اور معلوم کرنے کی فکر کرنی چاہیے، جس پر دنیا کا فائدہ یا آخرت کی کامیابی موقوف ہو۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",62332,deoband,متفرقات,تاریخ و سوانح
01-Sep-2020,https://darulifta-deoband.com/home/ur/history-biography/62254,كیا یہ علماء رافضی تھے؟,میں سیرت کے مو ضوع پر ایک لیکچر میں سنا تھا کہ شروع زمانے یعنی پہلی اور دوسری صدی میں کچھ مسلمان علماء حدیث گھڑ تے تھے ، مجھے ان کے نام یاد نہیں آرہے ہیں (شاید، نون یا یوشع)یا کچھ اور ۔ جب ان سے کہا جا تا کہ ایسا کیوں کررہے ہیں تو وہ جواب دیتے کہ ہر کوئی فقہ سیکھ رہا ہے ، اس لیے ہم لوگوں کی قرآن سیکھنے کے لیے حوصلہ افزائی کرنے کی کوشش کرر ہے ہیں ، اس لیے ہم ایسا کرتے ہیں۔میں جاننا چاہتاہوں کہ اس طرح کے واقعات ہوئے بھی یا نہیں؟کیا یہ علماء مسلمان تھے ، یا رافضی تھے یا دوسرے تھے؟اور ہم کیسے جانیں کہ یہ حدیث موضوع ہے یا نہیں؟ براہ کرم، تفصیل سے بتائیں ، کیوں کہ یہ ایک عجیب بات ہے کہ مسلمانوں نے حدیثیں گھڑی ہیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 74-33/D=2/1437-U

حضرات محدثین (جنھوں نے حدیث کی کتابیں لکھی ہیں) کا یہ زبردست کارنامہ ہے کہ ہرہرحدیث کے بیا کرنے والے درمیانی راویوں کے پورے حالات کی تحقیق وتفتیش کرنے کے بعد کتابوں میں محفوظ کردیا ارو ان کی بیان کردہ حدیث کا حکم بھی ذکر کردیا کہ یہ حدیث ضعیف ہے یا حسن اور صحیح ہے یا کہ موضوع ہے جس فن میں اس طرح کے ہزاروں لوگوں کے حالات تفصیل کے ساتھ لکھے گئے اسے فن اسماء الرجال کہا جاتا ہے اور جس فن میں ان راویوں پر جرح وتعدیل کی گئی ہے اسے ”جرح وتعدیل“ کے نام سے جانا جاتا ہے، کتب احادیث کے علاوہ اسماء الرجال اور جرح وتعدیل کے عنوانات پر سیکڑوں کتابیں عربی میں موجود ہیں اور ہرہر حدیث کا حکم بھی کتابوں میں موجود ہے خود موضوعات پر متعدد کتابیں موجود ہیں؛ لہٰذا آج کوئی حدیث بیان کی جائے خواہ کسی کتاب کی ہو مذکورہ دو فنوں کی روشنی میں اس فن کے ماہرین آئینہ کی طرف اس حدیث کا حکم بتلادیں گے کسی حدیث کو ضعیف یا موضوع محض اٹکل سے کہنے کی ذرہ برابر گجائش باقی نہیں رہی۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",62254,deoband,متفرقات,تاریخ و سوانح
