issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-beliefs/55527,حضرت عیسیٰ علیہ السلام قیامت کے نزدیک امتی ہوں گے ، کیا وہ نبی نبی نہیں ہوں گے۔,حضرت عیسیٰ علیہ السلام قیامت کے نزدیک امتی ہوں گے ، کیا وہ نبی نبی نہیں ہوں گے۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1753-1478/B=11/1435-U

کسی نبی کو نبوت ملنے کے بعد اس سے نبوت سلب نہیں کی جاتی ہے بلکہ ہمیشہ کے لیے ان کی نبوت قائم رہتی ہے، اسی طرح حضرت عیسیٰ علیہ السلام کی نبوت بھی کبھی ختم نہ ہوگی۔ ہاں جب وہ قرب قیامت میں تشریف لائیں گے تو ہمارے آخری نبی حضرت محمد مصطفی صلی اللہ علیہ وسلم کی شریعت کے تابع ہوکر احکام اپنائیں گے اور فیصلے کریں گے۔ امتی ہونے کا یہی مطلب ہے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",55527,deoband,عقائد و  ایمانیات,اسلامی عقائد
31-Aug-2020,https://darulifta-deoband.com/home/ur/islamic-beliefs/55306,میت کو کیا قرآن پڑھ کر بخشنا درست ہے؟ اور کون سے کام اصل ثواب ہوسکتے ہیں؟,میت کو کیا قرآن پڑھ کر بخشنا درست ہے؟ اور کون سے کام اصل ثواب ہوسکتے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1182-942/D=11/1435-U

جی ہاں قرآن شریف یا اس کا کچھ حصہ مثلاً سورہٴ فاتحہ سورہٴ یایٰسین سورہٴ اخلاص وغیرہ پڑھ کر اس کا ثواب مرحوم کو پہنچایا جاسکتا ہے، اس کے علاوہ جو بھی مالی یا جسمانی عبادت کے کام ہیں مثلاً مالی صدقہ (کھانے، کپڑے، یا نقد جس شکل میں بھی ہو) حج عمرہ، قربانی، طواف کعبہ نماز روزہ نفلی طور پر کرکے ان کا ثواب مرحوم کو پہنچایا جاسکتا ہے، قال الشامي: یقرأ سورہٴ یٰسین کما ورد من دخل المقابر فقرأ سورة یٰسین خفف اللہ عنہم یومئذٍ وکان لہ بعدد من فیہا من الحسنات (الدر مع الرد ج۱ ص۶۶۶) وعن أنس قال یا رسول اللہ إنا نتصدق عن موتانا ونحج عنہم وندعو لہم فہل یصل ذلک لہم قال نعم إنہ یصل إلیہم وإنہم لیفرحون کما یفرح أحدکم بالطبق إذا أہدي إلیہ رواہ أبو حفص الکبیر (شامي: ۲/۲۵۷) قال في الدر: الأصل إن کل من أتی بعبادة مالہ جعل ثوابہا لغیرہ دون نواہا عند الفعل لنفسہ أي سواہ کنت صلاة أو صوما أو صدقةً أو قراء ةً أو ذکرًا أو طوافًا أو حجًا أو عمرةً أو غیر ذلک (شامي: ۲/۲۵۶)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",55306,deoband,عقائد و  ایمانیات,اسلامی عقائد
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-beliefs/55019,كیا جادو سے كسی كو نقصان پہنچایا جاسكتا ہے؟,میں جاننا چاہتاہوں کہ آج کل کے زمانے میں کیا کوئی کسی کو سحر /جادو کے ذریعہ کوئی فائدہ و نقصان پہنچا سکتا ہے ؟ اگر کسی پہ جادو اثر ہو تو اس کا پتا کیسے چلے گا کہ یہ جادو ہے ؟ روزمرہ کے معاملات ، حادثات ، بیماری ہے، اگر کسی پہ جادو کا اثر ہو تو اس کا علاج یا توڑ کیا ہوگا؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1388-932/L=11/1435-U

سحر کے ذریعے دوسرے کو نقصان پہنچایا جاسکتا ہے؛ البتہ اگر کسی کو کوئی حادثہ پیش آئے، یا وہ بیمار رہنے لگے تو اس کو جادو کا اثر ہی سمجھ لینا غلطی ہے، ہاں اگر واقعی سحر کا اندیشہ ہو تو کسی دین دار عامل سے اس کا علاج کروایا جائے، اگر نہار منھ ۲۱/ مرتبہ سورہٴ فاتحہ پڑھکر کسی چیز پر دم کرکے ایسے شخص کو کھلایا جائے تو یہ بیحد مفید ہوگا، ان شاء اللہ۔ اس کی وجہ سے روحانی یا جسمانی ہرطرح کی تکلیف سے راحت نصیب ہوگی۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",55019,deoband,عقائد و  ایمانیات,اسلامی عقائد
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-beliefs/55004,وسیلہ كی شرعی حیثیت كیا ہے؟,(۱) وسیلہ کی حقیقت قرآن وحدیث کی روشنی میں (۲) وسیلہ کی شرعی حیثیت,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1382-452/L=10/1435-U

انبیاء اولیاء یا نیک اعمال کے توسّل سے دعا کرنا جائز بلکہ اجابت دعا میں موٴثر ہے، دعا میں توسل کا ثبوت متعدد احادیث سے ہے۔ عن عثمان بن حنیف، أن رجلا ضریر البصر أتی النبي صلی اللہ علیہ وسلم فقال: ادع اللہ أن یعافیني قال: إن شئت دعوت، وإن شئت صبرت فھو خیر لک․ قال: فادعہ، قال: فأمرہ أن یتوضأ فیحسن وضوئہ ویدعو بھذا الدعاء: اللھم إني أسألک وأتوجہ إلیک بنبیک محمد نبي الرحمة، إني توجھت بک إلی ربي في حاجتي ھذہ لتقضی لی، اللھم فشفعہ فی : قال الترمذي: ھذا حدیث حسن صحیح غریب وزاد الحاکم في ہذہ الواقعة ”فدعا بہذا الدعاء فقام وقد أبصر“ (۱/۳۱۳، ۵۱۹، ۵۲۶) حضرت عمر رضی اللہ عنہ کا معمول تھا کہ جب قحط ہوتا تو حضرت عباس رضی اللہ عنہ کے توسل سے دعا مانگتے او رکہتے اللہم انا نتوسل إلیک بعمّ نبیّنا فاسقنا فیسقون (بخاری شریف: ۵۲۶۱) اے اللہ ہم آپ کے نبی کو وسیلہ بنایا کرتے تھے اوران کا واسطہ دے کر تجھ سے دعا کیا کرتے تھے، پس آپ بارش برسادیا کرتے تھے، اب آپ صلی اللہ علیہ وسلم کے چچا حضرت عباس رضی اللہ عنہ کے وسیلہ سے دعا کرتے ہیں کہ ہمیں سیراب کردیجیے نتیجةً یہ ہوتا کہ بارش ہوجاتی تھی، تاہم توسل کے ساتھ دعا کرنا لازم وضروری نہیں ہے، اس کے بغیر بھی دعا کرسکتے ہیں۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",55004,deoband,عقائد و  ایمانیات,اسلامی عقائد
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-beliefs/54763,ہمارے نبی نور تھے یا بشر ؟,ہمارے نبی نور تھے یا بشر ؟ قرآن میں میں نے پڑھا ہے کہ بشر ہیں، مگر کچھ علماء سے سنا ہے کہ حضور نور اوربشر ہیں ، کیوں کہ حضور صلی اللہ علیہ وسلم حضرت آدم علیہ السلام سے پہلے بھی نبی تھے، حضرت آدم علیہ السلام سے پہلے فرشتے وجود میں آئے تھے، کیا ایسی کوئی حدیث ہے؟کیا حضور صلی پوری امت محمدیہ کی شفاعت کریں گے؟ کیا اور کوئی شفاعت کرسکتا ہے؟ کیا نبی کریم روضہ مبارک کے سامنے کھڑے ہو کر سلام پیش کیا جائے تو سلام سنتے بھی ہیں اور جواب بھی دیتے ہیں؟اگر ہندوستان میں سلام پڑھا جائے تو کیا نبی وہاں حاضر ہوتے ہیں؟ اذان سے پہلے اور نماز کے بعد اجتماعی سلام پڑھنا کیسا ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1301-1365/N=11/1435-U

(۱) ہمارے نبی صلی اللہ علیہ وسلم اپنی نوع کے اعتبار سے بشر؛ بلکہ افضل البشر ہیں اور صفتِ ہدایت کے لحاظ سے ساری انسانیت کے لیے مینارہٴ نور ہیں، یہی وہ نور ہے جس کی روشنی میں انسانیت کوخدا تعالیٰ کا راستہ مل سکتا ہے اور جس کی روشنی تاقیامت درخشندہ وتابندہ رہے گی، پس آپ صلی اللہ علیہ وسلم نوع کے اعتبار سے بشر ہیں اور صفتِ ہدایت کے لحاظ سے نور ہیں۔ (اختلاف امت اور صراطِ مستقیم ص۳۷) اور یہ بات صحیح ہے کہ حضور صلی اللہ علیہ وسلم کا نبی ہونا حضرت آدم علیہ السلام کی تخلیق سے پہلے تجویز ہوچکا تھا اور یہ بات بھی صحیح ہے کہ فرشتے حضرت آدم علیہ السلام سے پہلے پیدا کیے جاچکے تھے مگر ان دونوں باتوں سے یہ اخذ کرنا کہ حضور صلی اللہ علیہ وسلم حضرت آدم علیہ السلام سے پہلے وجود پذیر ہوچکے تھے اور آپ اس وقت نور بمعنی فرشتہ تھے غلط ہے؛ کیونکہ حضور صلی اللہ علیہ وسلم کے حضرت آدم علیہ السلام سے پہلے پیدا کیے جانے کی روایت ضعیف ہے، البتہ نبی تجویز ہونے کی روایت صحیح ہے، امام احمد رحمہ اللہ کی کتاب السنة (ص۳۹۸ حدیث نمبر: ۸۶۴) میں ہے: عن میسرة الفجر قال: قلت یا رسول اللہ! متی کتبت نبیًا؟ قال: ”وآدم بین الروح والجسد“، اور حاشیہ میں ہے: ”وإسنادہ صحیح“۔
(۲) شفاعت کبری آپ صلی اللہ علیہ وسلم پوری انسانیت کے حق میں فرمائیں گے جو میدان محشر میں حساب وکتاب کا آغاز کرانے کے لیے ہوگی، باقی دیگر شفاعتیں امت محمدیہ میں سے بعض کے حق میں فرمائیں گے اور بعض کے حق میں نہیں۔
(۳) جی ہاں! اللہ تعالیٰ کی طرف سے بعض خاص خاص بندگانِ خدا کو بھی سفارش کرنے کا حق واختیار ملے گا جیسے حفاظ کرام اور ایمان والوں کے وہ بچے جو دنیا میں حالت نابالغی ہی میں انتقال کرگئے، وغیرہ۔ 
(۴،۵) جی ہاں! اگر حضور صلی اللہ علیہ وسلم کے روضہٴ مبارک کے پاس سلام پڑھا جائے تو آپ صلی اللہ علیہ وسلم سلام سنتے ہیں اور اس کا جواب دیتے ہیں۔ اوراگر دور سے سلام پڑھا جائے تو آپ صلی اللہ علیہ وسلم وہاں حاضر تو نہیں ہوتے، البتہ فرشتوں کے ذریعہ آپ صلی اللہ علیہ وسلم تک سلام پہنچادیا جاتا ہے، عن ابن مسعود رضي اللہ عنہ قال: قال رسول اللہ صلی اللہ علیہ وسلم: ”إن للّٰہ ملائکة سیّاحین في الأرض یبلّغوني من أمتي السلام“ رواہ النسائي والدارمي وعن أبي ہریرة رضي اللہ عنہ قال: قال رسول اللہ صلی اللہ علیہ وسلم: ”ما من أحد یسلّم عليّ إلا ردّ اللہ عليَّ روحي حتی أردّ علیہ السلام“ رواہ أبوداوٴد والبیہقي في الدعوات البیر، وفي روایة أخری عن أبي ہریرة : ”وصلّوا علي فإن صلاتکم تبلغني حیث کنتم“ رواہ النسائي (مشکاة شریف ص۸۶)، وعن أبي ہریرة رضي اللہ عنہ قال: قال رسول اللہ صلی اللہ علیہ وسلم: ”من صلّی عليّ عند قبري سمعتہ ومن صلّی علي نائیًا أُبلغتہ“ رواہ البیہقي في شعب الإیمان (حوالہ بالا ص۸۷)۔
(۶) اہل بدعت کے یہاں اذان سے پہلے اور نماز کے بعد جو اجتماعی سلام مروج ہے یہ نہ نبی کریم صلی اللہ علیہ وسلم سے ثابت ہے اور نہ صحابہٴ کرام رضی اللہ عنہم سے اور نہ تابعین اور تبع تابعین وغیرہم سے؛ بلکہ یہ مخصوص قیودات کے ساتھ ان اہل بدعت کی ایجادِ نو ہے؛ اس لیے یہ درست نہیں، بدعت ہے اور اِس سے احتراز واجب ہے، آدمی انفرادی طور پر صیغہٴ خطاب کے بغیر حضور صلی اللہ علیہ وسلم پر جس قدر چاہے درود شریف پڑھے اس میں کوئی حرج نہیں بلکہ یہ اس کے لیے عظیم سعادت ونیک بختی کی چیز ہے، عن عائشة قالت: قال رسول اللہ صلی اللہ علیہ وسلم: ”من أحدث في أمرنا ہذا ما لیس منہ فہو رد“ متفق علیہ (مشکاة شریف ص۲۷) وفي حدیث جابر قال: قال رسول اللہ صلی اللہ علیہ وسلم: ”وشر الأمور محدثاتہا وکل بدعة ضلالة“ رواہ مسلم (حوالہ بالا)۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",54763,deoband,عقائد و  ایمانیات,اسلامی عقائد
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-beliefs/54716,وسیلے سے دعا مانگنا,حضور صلی اللہ علیہ وسلم کے وسیلے سے دعا مانگنا کیسا ہے؟ جیسا کہ ذاکر نائک کی تقریر میں کہا گیا ہے کہ حضور صلی اللہ علیہ وسلم کے وسیلے سے دعا مانگنا صحیح نہیں ہے، کیوں کہ اس کا ذکر کسی بھی معتبر کتابوں سے نہیں ملتااور نہ ہی امت دعا یعنی کہ سورة فاتحہ میں کہیں آپ صلی اللہ علیہ وسلم کے وسیلے سے دعا نہیں مانگی گئی ہے، نہ ہی کسی صحابی سے کہیں ثابت ہے کہ صحابہ کرام نے کہیں آپ صلی اللہ علیہ وسلم کے وسیلے سے دعا مانگی ، اور بہت سے علماء کے یہ بات کہنے پر کہ حضرت آدم علیہ السلام نے آپ صلی اللہ علیہ وسلم کے وسیلہ سے دعا مانگی تھی ، جس پر ذاکر نائک نے کہا ہے کہ کسی بھی کتاب میں اس بات کا ذکر نہیں ہے کہ حضرت آدم علیہ السلام نے آپ صلی اللہ علیہ وسلم سے دعامانگی، اگر کوئی ایسا کہتاہے کہ ایسا لکھا ہے تو وہ حوالہ دیں۔ براہ کرم، جواب دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1263-1258/N=11/1435-U

حضور صلی اللہ علیہ وسلم کے وسیلہ سے یا کسی نیک وصالح شخص -خواہ وہ زندہ ہو یا مردہ- کے وسیلہ سے یا اعمال صالحہ کے وسیلہ سے دعا مانگنا جائز ودرست ہے اورمتعدد نصوص سے ثابت ہے، ان میں سے ایک دلیل یہ ہے: حضور صلی اللہ علیہ وسلم نے ایک نابینا صحابی کو بصارت کے لیے اپنے وسیلہ سے درج ذیل الفاظ میں دعا کرنے کی ہدایت فرمائی: ”اللَّھُمَّ إِنِّي أَسْأَلُکَ وَأَتَوَجَّہُ إِلَیْکَ بِنَبِیِّکَ مُحَمَّدٍ نَبِیِّ الرَّحْمَةِ، إِنِّي تَوَجَّھْتُ بِکَ إِلَی رَبِّي فِي حَاجَتِي ھَذِہِ لِتُقْضَی لِیَ، اللَّھُمَّ فَشَفِّعْہُ فِیَّ“ یہ روایت ترمذی شریف (۲:۱۹۸) میں ہے اور امام ترمذی نے اسے صحیح قرار دیا ہے، اور ابن ماجہ (ص۹۹) میں بھی ہے اور انھوں نے فرمایا:”قال أبو إسحاق: ہذا حدیث صحیح“، اور انجاح الحاجہ حاشیہ ابن ماجہ میں ہے: ”وصحہ البیہقي وزاد: فقام وقد أبصر“ اس لیے توسل کا انکار درست نہیں، یہ علامہ ابن تیمیہ رحمہ اللہ کی جمہور کے خلاف ذاتی تحقیق کی اندھی تقلید ہے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",54716,deoband,عقائد و  ایمانیات,اسلامی عقائد
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-beliefs/54438,جمعہ یا رمضان المبارک میں موت,رمضان المبارک یا جمعہ میں کسی فاسق مسلمان کی موت ہو تو کیا وہ شخص قیامت تک کے عذاب قبر سے محفوظ رہے گا یا صرف جمعہ ورمضان کے ایام تک۔ ان ایام میں کافر کی موت کا کیا مسئلہ ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1112-874/D=10/1435-U

اگر کسی فاسق مسلمان کی موت رمضان المبارک یا جمعہ میں ہوجائے تو اس کو ہلکا عذاب ہوگا اس کے بعد قیامت تک مرتفع ہوجاتا ہے اور وہ عذاب قبر سے محفوظ رہے گا، اور اگر کسی کافر کی موت ان ایام میں ہوجائے تو اس سے صرف رمضان المبارک اور جمعہ میں عذاب مرتفع ہوگا، رمضان وجمعہ گزرنے کے بعد پھر اس پر عذاب ہوگا اور اگلا رمضان وجمعہ آنے پر پھر اس سے عذاب اٹھالیا جائے گا، اور یہی سلسلہ جاری رہے گا۔
یہی تمام اہل السنة والجماعة کا عقیدہ ہے، چنانچہ رد المحتار میں ہے: قال أہل السنة عذاب القبر حق وسوٴال نکیر ومنکر حق وضغطة القبر حق لکن إن کان کافرا فعذابہ یدوم إلی یوم القیامة ویرفع عنہ یوم الجمعة وشہر رمضان․․․ والعاصي یعذب ویضغط لکن ینقطع عنہ العذاب یوم الجمعة ولیلتہا ثم لا یعود، وإن مات یومہا أو لیلتہا یکون العذاب ساعة واحدة وضغطہ القبر ثم یقطع(رد المحتار ج۳ ص۴۴ مکتہ زکریا دیوبند)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",54438,deoband,عقائد و  ایمانیات,اسلامی عقائد
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-beliefs/54302,روضئہ اقدس پر ہاتھ اٹھا کر دعا مانگنا کیسا ہے,کیا روضہٴ رسول صلی اللہ علیہ وسلم پر ہاتھ اٹھاکر دعا مانگنا جائز ہے؟ اور اگر کوئی اس طرح دعا کرے کہ اے اللہ کے رسول ہم تیرے روضے پر حاضر ہیں ہمارے سلام کو قبول فرمالیجیے بروز قیامت ہماری سفارش کردیجیے دنیا وآخرت کی مشکلات دور کردیجیے، کیا یہ دعا جائز ہے؟ اور روضے پر سب سے افضل عمل کیا ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1175-1175/M=10/1435-U

روضہٴ اقدس پر ہاتھ اٹھاکر دعا مانگی جاسکتی ہے اور نفس دعا ہاتھ اٹھائے بغیر بھی کی جاسکتی ہے، اگر ہاتھ اٹھاکر مانگنی ہو تو قبلہ رو ہوکر کرلے تاکہ یہ شبہ نہ ہو کہ صاحب روضہ سے دعا مانگ رہا ہے، روضہ پر کھڑے ہوکر اس طرح دعا کرنے میں حرج نہیں کہ اے اللہ کے رسول ہم تیرے روضے پر حاضر ہیں، ہمارے سلام کو قبول فرمالیجیے اور بروز قیامت ہماری سفارش کردیجئے، اس کے بعد والا جملہ (دنیا وآخرت کی مشکلات دور کردیجیے) اس طرح نہ کہے۔ روضہ پر درود وسلام پیش کرنا افضل عمل ہے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",54302,deoband,عقائد و  ایمانیات,اسلامی عقائد
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-beliefs/54219,اللہ کی ذات کہاں ہے؟کیا اللہ صرف عرش پر ہے؟,اللہ کی ذات کہاں ہے؟کیا اللہ صرف عرش پر ہے؟ اللہ کی حقیقت تو ہر جگہ ہے مگر کیا اللہ کی ذات کہیں بھی ہوسکتی ہے یا اللہ کی ذات صرف عرش پر ہی ہے؟ کوہ طورپرجو اللہ کی تجلی تھی کیا وہ اللہ کی ذات کی تجلی تھی ؟ میں آپ سے گذارش کرتاہوں کہ یہ جواب نہ دیں کہ اللہ کی ذات کے بارے میں سوال مت کرو۔ براہ کرم، جواب دیں، کیوں کہ میں تذبذب کا شکار ہوں؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 4-4/SD=10/1435-U

اللہ تعالیٰ ہرجگہ موجود ہے، کوئی ذرہ اس سے مخفی نہیں، بعض نصوص میں اللہ تعالیٰ کے عرش پر ہونے کی جو صراحت آئی ہے اس سے مراد یہ ہے کہ عرش پر اس کا خاس تسلط اور استیلاء ہے، جس کی کیفیت وہی خوب جانتا ہے کسی خاص مکان وجہت کے ساتھ اللہ کی ذات کو خاص کرنا ناجائز ہے، اس کی ذات مکان سے منزہ ہے۔ کوہِ طور پر اللہ تعالیٰ کی تجلی کی کیا کیفیت تھی، اس کی حقیقت وہی خوب جانتا ہے قال الملا علي القاري: ومجمل الکلام وزبدة المرام أن الواجب لایشبہ الممکن - ولا یوسف بالمائیة ولا بالماہیة ولا بالکیفیة من اللون والطعم - مما ہو من صافت الجسم، ولا متمکن في مکان علو ولا سفل ولا غیرہما (منح الروض الأزہر في شرح الفقہ الأکبر، ص: ۱۲۰، ط: دار البشائر الإسلامیة، بیروت، لبنان) قال اللہ تعالی: لا یعزب عنہ مثقال ذرة في السماوات ولا في الأرض ولا أصغر من ذلک ولا أکبر إلا في کتاب مبین (السبا: ۳) قال العیني: وجہ ذلک أن جہة العلو لما کانت أشرف أضیف إلیہا، والمقصود علو الذات والصفات ولیس ذلک باعتبار أنہ محلہ أو جہتہ تعالی اللہ عن ذلک عوا کبیرًا (عمدة القاري شرح صحیح البخاري، کتاب التوحید، باب: وکان عرشہ علی الماء، وہو رب العرش العظیم: ۲۵/ ۱۱۵)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",54219,deoband,عقائد و  ایمانیات,اسلامی عقائد
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-beliefs/54165,مرنے كے بعد روحیں كہاں رہتی ہیں؟,میں دیوبند کے مولانا سے ایک سوال پوچھنا چاہتاہوں، پچھلے کئی دنوں سے بڑا پریشان ہوں ، بہت سارے مولانا سے سوال کیا پر مطمئن نہیں ہو سکا۔ یہ سوال ایک ہندو بھائی نے مجھ سے کیا تھا پر میں جواب نہیں دے سکا۔ سوال یہ ہے کہ مرنے کے بعد روح کہاں جاتی ہے؟ روح کو دوبارہ کب جسم میں ڈالا جاتاہے؟ کیا روح کو دو قسم کی ہوتی ہے؟ روح حیات اور روح سرایات؟ کیا قبر میں دوبارہ روح کو ڈالا جاتاہے؟ عذاب روح کو ہوتاہے یا جسم کو ؟ اس بارے میں مجھے پوری تفصیل کی ضرورت ہے ۔ براہ کرم، جواب دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1426-464/L=11/1435-U

(۱) مرنے کے بعد نیکوں کی ارواح علیین میں اور بَدوں کی سجین میں جاتی ہیں، علیین نیکوں اور سجین بروں کا ٹھکانہ ہے، وقال کعب: أرواح الموٴمنین في علیین في السماء السابعة وأرواح الکفار في سجین في الأرض السابعة تحت جند إبلیس (کتاب الروح، المسئلة الخامسة عشرة، این مستقر الأرواح ما بین الموت إلی یوم القیامة)
(۲) دفن سے پہلے میت کے ساتھ جو کچھ غسل، کفن، رونا اور اظہار غم وغیرہ کا معاملہ کیا جاتا ہے، اس کو روح دیکھتی ہے اوراس وقت روح فرشتے کے قبضے میں رہتی ہے، اور میت کو جب قبر میں رکھا جاتا ہے تو روح بھی قبر میں داخل ہوکر دوبارہ میت کے جسم میں داخل ہوجاتی ہے: أخرج عن حذیفة قَالَ الرّوح بید ملک وَإِن الْجَسَد لیغسل وَإِن الْملک لیمشي مَعَہ إِلَی الْقَبْر فَإِذا سوي عَلَیْہِ سلک فِیہِ فَذَلِک حِین یُخَاطب (شرح الصدور للسیوطي باب معرفة المیت بمن یغسلہ ویجہزہ: بیروت)
(۳) انسان میں تین طرح کی روح ہوتی ہے (۱) روح طبعی (۲) نفس ناطقہ (۳) روح ملکوت۔
(۴) مرنے کے بعد روح کا تعلق کسی نہ کسی درجے میں جسم کے ساتھ ضرور رہتا ہے، اور جب روح کا تعلق بدن کے ساتھ ہے تو عذاب قبر روح اور جسم دونوں کو ہوتا ہے، چنانچہ روح کے ساتھ بدن کے اجزاء بھی عذاب قبر میں شامل ہوتے ہیں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",54165,deoband,عقائد و  ایمانیات,اسلامی عقائد
