issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/others/164631,پریشان کرنے والی چھچھوندر کو کیسے مارا جائے؟,ہمارے یہاں روز رات کو چھچھوندر آ جاتی ہیں۔گھر کے ایک فرد کو کاٹ بھی لیا اور بہت شور مچاتی ہیں۔ ان کو ہم چوھے دان میں پکڑ کر پانی میں ڈال دیتے ہیں جس سے وہ مر جاتی ہے ۔کیا اس طرح سے مارنے میں کوئی گناہ ہے ؟ اگر ہاں تو پھر اسے کیسے مارا جائے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:1331-1102/N=12/1439</span></p><p dir=""RTL"">
	اسلام میں موذی جانور کو اس کی ایذا سے بچنے کے لیے مارنا جائز ہے؛ البتہ کسی جانور کو تڑپاتڑپاکرنہیں مارنا چاہیے۔ آپ چھچھوندر کو تیز چھری یا چاقو سے ذبح کردیا کریں یا کسی لاٹھی یا لکڑی وغیرہ سے ایسی تیز مار ماریں کہ وہ فوراً مرجائے۔ اور اگر پانی میں ڈالنے سے جلد مرجاتی ہو تو پانی میں ڈال کر بھی مارسکتے ہیں۔</p><p dir=""RTL"">
	مستفاد: والھرة الموٴذیة لا تضرب ولا تعرک أذنھا بل تزبح بسکین حاد (رد المحتار، کتاب الحظر والإباحة، باب الاستبراء وغیرہ، ۹: ۵۵۸، ط: مکتبة زکریا دیوبند)۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",164631,deoband,متفرقات,دیگر
01-Sep-2020,https://darulifta-deoband.com/home/ur/others/164629,غرقد درخت کی پہنچان کیا ہے؟ اور یہ ہندوستان میں کہاں پایا جاتا ہے؟,غرقد درخت کی پہچان کیسے کریں؟ کیا یہ ہندوستان میں پایا جاتا ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:1330-1132/N=1/1440</span></p><p dir=""RTL"">
	(۱): غرقد: ایک کانٹے دار جھاڑی والے درخت کو کہتے ہیں۔ آپ گوگل پر سرچ کریں تو ایمیج میں آپ اس کی تصویر دیکھ سکتے ہیں۔</p><p dir=""RTL"">
	(۲): بعض لوگوں سے معلوم ہوا کہ غرقد درخت ہندوستان میں راجستھان کے بعض علاقوں میں پایا جاتا ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",164629,deoband,متفرقات,دیگر
01-Sep-2020,https://darulifta-deoband.com/home/ur/others/164627,دوسرے كی مسواك استعمال كرنا كیسا ہے؟,کسی دوسرے آدمی کا مسواک استعمال کرنے سے بیماریاں پھیلتی ہیں جبکہ دیکھنے میں آیا ہے مساجد میں ایسے مسواک ہوتے ہیں جو سب لوگ استعمال کرتے ہیں اس پر شریعت کا کیا حکم ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:1412-1208/D=12/1439</span></p><p dir=""RTL"">
	دوسرے کا مسواک بلا اجازت استعمال نہیں کرنا چاہیے، اور اگر اجازت ہو یا رفاہ عام کے مسواک رکھا ہے تو اچھی طرح دھوکر استعمال کرسکتے ہیں کسی کی طبیعت دوسرے کا مسواک استعمال کرنے کی نہ چاہے اور وہ پرہیز کرے کوئی حرج نہیں، لیکن استعمال کرنے والوں کو مرض کے تعدیہ سے ڈرانا ٹھیک نہیں اسلام نظافت، طہارت کا حکم دیتا ہے نفاست کو پسند کرتا ہے لیکن مرض کے تعدیہ کے عقیدہ سے منع کرتا ہے، اس لیے یہ کہنا بھی درست نہیں کہ دوسرے کا مسواک استعمال کرنے سے بیماری پھیلتی ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",164627,deoband,متفرقات,دیگر
31-Aug-2020,https://darulifta-deoband.com/home/ur/others/164573,کافر کو کافر کہنا,عرض یہ کرنا تھا کہ کیا کافر کو کافر کہنا ناجائز ہے جبکہ آیت قل یا ایہالکافرون سے صاف پتہ چلتا ہے کہ کافر کو کافر کہا جا سکتا ہے تبھی تو اللہ تعالیٰ آپ صلی اللہ علیہ وسلم سے فرما رہے کہ کہہ دیجئے اے کافروں ۔ براہ کرم اس کا جواب کیا ہوگا عنایت فرما دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:1426-1268/D=1/1440</span></p><p dir=""RTL"">
	جس کے کفریہ اعمال اقوال بر ملا ظاہر ہوتے ہوں اسے کافر کہنے کی گنجائش ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",164573,deoband,متفرقات,دیگر
01-Sep-2020,https://darulifta-deoband.com/home/ur/others/164572,مجھے خواب کی تعبیر پوچھی کہ میں چاند دیکھ رہا ہوں...,ایک شخص نے مجھے خواب کی تعبیر پوچھی کہ میں چاند دیکھ رہا ہوں یعنی چاند کو دیکھا نہیں بلکہ کوشش میں ہوں اور پھر میں کہتا ہوں کہ چاند وہاں سے دکھے گا جہاں سورج نکلتاہے ، اس لیے آ پ حضور والا سے درخواست ہے کہ خواب کی تعبیر بتاکر شکریہ کا موقع عنایت فرمائیں ۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:1428-1271/D=1/1440</span></p><p dir=""RTL"">
	خواب اچھا ہے اعمال صالحہ میں کوشش کریں کہ بہت سے اعمال صالحہ کی شروعات چاند دیکھ کر ہوتی ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",164572,deoband,متفرقات,دیگر
01-Sep-2020,https://darulifta-deoband.com/home/ur/others/164565,مسجد میں گالی گلوج كرنے والے كا حكم,کیافرماتے ہیں علماے دین اورشرع متین مسئلہ ذیل کے بارے میں اگرایک شخص مسجد میں گاکی گلوج کرتاہے اور کسی امام کے پیچھے نماز نہیں پڑتاہے کیاشریعت کی نظر میں اس کا کیا حکم ہے ؟کیا یہ فاسق وفاجر ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:1429-1272/D=1/1400</span></p><p dir=""RTL"">
	گالی گلوج یونہی برا عمل ہے اور مسجد میں ایسا کرنا سخت برا ہے اس سے آدمی فاسق ہوجاتا ہے تارک صلاة بھی فاسق ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",164565,deoband,متفرقات,دیگر
31-Aug-2020,https://darulifta-deoband.com/home/ur/others/164515,مکروہ تنزیہی اور مکروہ تحریمی میں کیا فرق ہے؟,مکروہ تنزیہی اور مکروہ تحریمی میں کیا فرق ہے؟ اور مکروہ کل کتنے قسم کے ہوتے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 1362-1259/M=12/1439</span></p><p dir=""RTL"">
	مکروہ دو قسم کا ہوتا ہے۔ (۱) مکروہ تنزیہی ۔ (۲) مکروہ تحریمی۔</p><p dir=""RTL"">
	دونوں میں فرق یہ ہے کہ مکروہ تنزیہی، حلّت کے قریب ہوتا ہے اور مکروہ تحریمی حرمت کے قریب۔ کل مکروہ ای کراہة تحریم ۔ (حرام) ای کالحرام فی العقوبة بالنار (عند محمد) وأما المکروہ کراہة تنزیہة فإلی الحل أقرب اتفاقاً (وعندھما) وہو الصحیح المختار ومثلہ البدعة والشبہة إلی الحرام أقرب (درمختار) ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",164515,deoband,متفرقات,دیگر
01-Sep-2020,https://darulifta-deoband.com/home/ur/others/164502,سورج کی تپش طلوع اور غروب کے وقت میں کمی وبیشی كیوں ہوتی ہے؟,سورج اورزمین کی ساخت جو بھی ہے سائنس دان گول کہتے ہیں اگر یہی مان لیں تو پھر سورج جو آگ کا گولہ ہے طلوع اور غروب پر اس تپش کم اور یہاں تک کہ انسانی آنکھ بھی چند لمحات کو دیکھ لیتی ہے وہی سورج روزانہ طلوع ہونے کے بعد آہستہ آہستہ جوبن دکھاتا نصف نہار پر شدید آتش گولہ بن جاتا ہے انسانی نظر سے دیکھنا مشکل ہو جاتا ہے پھر وہی سہ پہر کو کم ہوتا ہوتا بالآخر غروب آفتاب پر ٹھنڈا ہوجاتا ہے سوال یہ ہے کہ سورج کی یہ کیفیت قرآن و حدیث کی روشنی میں کیا ہے جب سورج قیامت تک دھکتا رہے گا تو طلوع و غروب کے وقت سورج کی شدت میں کمی کیوں؟ جبکہ سورج کی ساخت وہی ہے جو رب تعالیٰ نے تخلیق کی ۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:1410-185T/D=1/1440</span></p><p dir=""RTL"">
	ماہرین علم ہیئت کے مطابق زمین کی گردش دو طرح سے ہوتی ہے ایک اپنے مدار پر جسے 365 دن میں ایک چکر کے طور پر پوری کرتی جس سے سردی، گرمی کے موسم بنتے ہیں، اس بنا پر دونوں موسموں میں سورج کی تمازت (گرمی) کم اور کسی میں زیادہ محسوس کی جاتی ہے جو حصہ زمین کا سورج کے سامنے ہوتا ہے اس پر گرمی اور سخت دھوپ پڑتی ہے دوسرے حصہ اس کے برخلاف ہوتا ہے۔</p><p dir=""RTL"">
	اسی طرح زمین کی ایک گردش سورج کے سامنے اپنے محور پر ہوتی ہے جس سے دن اور رات بنتے ہیں زمین کا جو حصہ سورج کے سامنے ہوتا ہے اس میں دن ہوتا اور جو اس کے مخالف سمت میں ہوتا ہے اس میں رات ہوتی ہے۔</p><p dir=""RTL"">
	پھر سورج کے سامنے ہونے کا مطلب یہ نہیں پورے دن سورج کے سامنے ٹکا رہتا ہے بلکہ زمین کی حرکت کرنے کی وجہ سے بتدریج صبح سے شام تک کا وقت طے ہوتا ہے اس لیے زمین پر پڑنے والی روشنی (دھوپ) بتدریج گھٹتی اور بڑھتی رہتی ہے۔</p><p dir=""RTL"">
	ارشاد خداوندی ہے : تُولِجُ الَّیْلَ فِی النَّہَارِ وَتُولِجُ النَّہَارَ فِی الَّیْلِ (آل عمران) یعنی آپ چاہتے ہیں رات کے اجزاء دن میں داخل فرماکر دن کو بڑا کردیتے ہیں اور جب چاہتے ہیں ان کے اجزاء رات رات میں داخل کرکے رات بڑی کردیتے ہیں۔</p><p dir=""RTL"">
	اور یہ ظاہر ہے کہ رات اور دن کے بڑے چھوٹے ہونے کا مدار آفتاب کے طلوع وغروب اور اس کی حرکات پر ہے الخ (معارف القرآن: ۲/۴۶)</p><p dir=""RTL"">
	دوسری جگہ ارشاد ہے: یُقَلِّبُ اللَّہُ الَّیْلَ وَالنَّہَارَ (سورة النور، آیت: ۴۴)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",164502,deoband,متفرقات,دیگر
31-Aug-2020,https://darulifta-deoband.com/home/ur/others/164471,بخاری شریف كی بہترین شرح كونسی ہے؟,حضرت بخاری شریف کی سب سے بہترین کتابیں کونسی ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:1396-1205/D=12/1439</span></p><p dir=""RTL"">
	عربی کی مشہور شرح فتح الباری حافظ ابن حجر رحمة اللہ علیہ کی، عمدة القاری علامہ بدر الدین عینی رحمة اللہ علیہ کی، فیض الباری علامہ انور شاہ کشمیری رحمة اللہ علیہ کی ہے، اور اردو کی مشہور اور بہترین شرح تحفة القاری حضرت مفتی سعید احمد صاحب پالنپوری دامت برکاتہم کی، ایضاح البخاری افادات حضرت مولانا فخرالدین صاحب رحمة اللہ علیہ ہے، جس کے مرتب حضرت مولانا ریاست علی صاحب بجنوری رحمة اللہ علیہ ہیں، اور کشف الباری حضرت مولانا سلیم اللہ خان صاحب رحمة اللہ علیہ کی ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",164471,deoband,متفرقات,دیگر
31-Aug-2020,https://darulifta-deoband.com/home/ur/others/164434,میں نے خواب دیکھا: میں نے اپنے آپ کو کعبہ کے اندر پایا ...,میں اور میری بہن (نکاح ہوگیا ہے) اس سال حج کے لئے جانے والے ہیں حج کمیٹی انڈیا سے۔ جس دن سلیکشن تھا درخواستوں کا حج کے لئے، اسی صبح میں نے خواب دیکھا: میں نے اپنے آپ کو کعبہ کے اندر پایا ہرے قسم کا شرٹ پہنے ہوئے۔ پھر اسی بہن (جو حج میں میرے ساتھ ہے) کی بڑی بیٹی (۱۰/ سال کی ہے) دیکھا میری طرف روتے ہوئے آرہی ہے اور یہ رونا کسی پریشانی کی وجہ سے آنے والا رونا تھا۔ پھر میں نے اپنے چچا کو دیکھا (جن سے ہمارے والد صاحب کی لڑائی ہوئی ہے) اسی جگہ۔ وہ میری والدہ کا ہاتھ پکڑنے جارہے تھے تو میں نے ان کا ہاتھ پکڑ لیا غصے میں۔ پھر کعبہ شریف کے پاس میں کمرہ / ہال جیسا دیکھا جس میں قبر تھی، گولڈن کلر کا نظارہ تھا اور لوگ جمع تھے آس پاس۔ پھر میری نیند کھل گئی۔ اور اسی دن یہ خبر ملی کہ ہمارا سلیکشن ہوا ہے حج کے لئے۔ برائے مہربانی، خواب کی تعبیر بتائیں، جلد از جلد کیونکہ ایک ہفتہ میں میں سفر حج کے لئے روانہ ہونے والا ہوں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 1361-1241/M=12/1439</span></p><p dir=""RTL"">
	خواب عمدہ اور مبارک ہے، حج بیت اللہ کی ادائیگی نصیب ہوگی، والدہ کو تحفظ حاصل رہے گا، حج کے دوران حالت احرام میں ممنوعات احرام سے بچنے کا اہتمام کریں، اور ہر عمل سنت و شریعت کے مطابق انجام دیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",164434,deoband,متفرقات,دیگر
