issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/taharah-purity/58471,وضو كی ٹنكی میں چوہا گرگیا,عرض ہے کہ پانی کی ٹنکی میں ایک چھوٹا سا چوہا تقریباً ایک انچ تک کا ہے گر گیا ہے جب کہ اس علاقے میں پانی کا بھی مسئلہ ہے ، کبھی آتاہے ، کبھی نہیں آتاہے ، یہ پانی روز مرہ کی زندگی میں استعمال کیا جاسکتاہے؟ یعنی نہانے وضو اور دیگر استعمال کے لیے؟ براہ کرم، اس پرروشنی ڈالیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 281-281/Sd=6/1436-U

سوال میں یہ صراحت نہیں ہے کہ ٹنکی میں چوہا گر کر مرگیا تھا یا اس کو زندہ نکال لیا گیا تھا؟ بہرحال اگر پانی کی ٹنکی میں چوہا گرکر مرگیا تھا، تو اس کی وجہ سے ٹنکی کا پانی ناپاک ہوگیا ، اس پانی سے وضو کرنا درست نہیں ہے، ٹنکی کو پاک کرنے کا طریقہ یہ ہے کہ چوہے کو نکال کر موٹر چلادیا جائے یا اگر موٹر نہ ہو تو جس وقت ٹنکی میں پانی داخل ہو اسی وقت نیچے سے ساری ٹنکیاں کھول دی جائیں یعنی اوپر سے پانی ٹنکی میں داخل ہو اور نیچے سے نکلتا رہے اس طرح یہ پانی مائے جاری کے حکم میں ہوکر پاک ہوجائے گا۔ قال الکاساني: ثم الحیوان إذا مات في المائع القلیل، فلا یخلوا إما إن کان لہ دم سائل أو لم یکن - وإن کان لہ دم سائل فإن کان بریا ینجس بالموت- سواء کان ماءً أو غیرہ - الخ (بدائع الصنائع: ۱/ ۲۳۱، زکریا، احکام الآبار) وقال الحصکفي: ففي الحوض الصغیر إذا کان یدخل فی الماء من جانب ویخرج من جانب، یجب أن یکون ہکذا؛ لأن ہذا ماء جاری والماء الجاری یجوز التوضو فیہ وعلیہ الفتوی (الدر المختار: ۱/۳۳۸، زکریا)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",58471,deoband,عبادات,طہارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/taharah-purity/58437,مذی کےبارے میں معلومات,اگر 100٪تصدیق ہو اپکے ساتھ کہ خواب کے دوران مذی نکلی ہے ،منی نہیں ہے ،خواہ خواب دیکھاہویا نہ دیکھا ہو،خواہ خواب یاد ہو یا نہ ہو ؟تو کیا اس صورت میں غسل جنابت واجب ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 304-269/Sn=5/1436-U

صورتِ مسئولہ میں اگر خواب یاد نہیں ہے یا دیکھا ہی نہیں تو غسل واجب نہیں ہے، اگر خواب (احتلام ہونا) یاد ہے تو غسل واجب ہے، اگرچہ بدن پر لگی ”تَری“ سے متعلق یقین ہو کہ ”مذی“ ہے ”منی“ نہیں ہے؛ اس لیے کہ ”منی“ بسا اوقات بدن کی گرمی یا ہوا کی وجہ سے پتلی ہوکر ”مذی“ معلوم ہونے لگتی ہے؛ لہٰذا جب احتلام جو کہ ”منی“ کے نکلنے کا سبب ہے یاد ہے تو اس ”تری“ کو اس پر محمول کیا جائے گا۔ من استقیظ فوجد علی فراشہ أو ثوبہ أو فخذہ بللاً وہو یتذکّر الاحتلام أن تیقّنَ أنّہ منيّ أو أنّہ مذي أو شکّ فیہ فعلیہ الغسل، أما إذا لم یتذکر الاحتلام وتیقّن أنہ مني أو شک فکذلک، وإن تیقن أنہ مذي فلا غسل علیہ الم (منیة المصلی مع کبیری، ص: ۴۲، ط: سہیل، لاہور)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",58437,deoband,عبادات,طہارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/taharah-purity/58429,معذوری کی وجہ سے تیمم کا حکم ہے۔ حدیث کی روشنی میں یہ بتائیں کہ تیمم پر تییم کرنا جائز ہے مثال کے طور پر نماز کا تیمم کیا پھر قرآن پاک پڑھنے کے لیے علیحدہ تیمم کیا۔ مہربانی فرماکر رہنمائی فرمائیں۔,معذوری کی وجہ سے تیمم کا حکم ہے۔ حدیث کی روشنی میں یہ بتائیں کہ تیمم پر تییم کرنا جائز ہے مثال کے طور پر نماز کا تیمم کیا پھر قرآن پاک پڑھنے کے لیے علیحدہ تیمم کیا۔ مہربانی فرماکر رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 322-287/Sn=6/1436-U

وضو پر وضو کرنا تو فضیلت کی چیز ہے؛ لیکن تیمم پر تیمم کرنا کوئی فضیلت کی چیز نہیں ہے؛ بلکہ ایک فعلِ عبث ہے؛ اس لیے جب تک تیمم کو توڑنے والی کوئی چیز نہ پائی جائے تو دوبارہ تیمم نہ کرنا چاہیے۔ ”البحر الرائق“ میں ہے: الثاني أن التیمّم علی التیمّم لیس بقربة کذا في القنیة، وظاہرہ أنہ لیس بمکروہ، وینبغي کراہتہ لکونہ عبثًا (۱/۲۶۱، مطبوعہ مکتبہ زکریا، دیوبند)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",58429,deoband,عبادات,طہارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/taharah-purity/58409,جناب اس مسلے کے بارے میں کیاحکم ہے کہ ایک آدمی غسل کرکے نمازپڑہ لیں یاوضوکرکے نماز پڑہ لیں اوراسکے بعد خود کودیکہ لیں توپانی جیساسفید لیسدارقطرہ اسکے اندام سے نکلاہواہو جبکہ دوران نمازاسے قطرہ نکلنے کااحساس تک نہ ہوتاہو جب تک کہ وہ خودکودیکہ نہ لیں توسوال یہ ہے کہ اس آدمی پراس غسل اور نمازیا اس وضواورنماز دونوں کااعادہ لازم ہے ؟ نوٹ:محترم میں نے بیس بائس دن پہلے ایک اورمسلہ بہیجاتہا لیکن ابہی تک مجہے اسکاجواب نہیں ملا.,جناب اس مسلے کے بارے میں کیاحکم ہے کہ ایک آدمی غسل کرکے نمازپڑہ لیں یاوضوکرکے نماز پڑہ لیں اوراسکے بعد خود کودیکہ لیں توپانی جیساسفید لیسدارقطرہ اسکے اندام سے نکلاہواہو جبکہ دوران نمازاسے قطرہ نکلنے کااحساس تک نہ ہوتاہو جب تک کہ وہ خودکودیکہ نہ لیں توسوال یہ ہے کہ اس آدمی پراس غسل اور نمازیا اس وضواورنماز دونوں کااعادہ لازم ہے ؟ نوٹ:محترم میں نے بیس بائس دن پہلے ایک اورمسلہ بہیجاتہا لیکن ابہی تک مجہے اسکاجواب نہیں ملا.,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 686-705/L=6/1436-U

پیشاب کی راہ سے جو سفید پانی کلتا ہے وہ ناپاک، نجاست غلیظہ اور ناقض وضو ہے، بدن اور کپڑے پر لگ جائے تو بدن اور کپڑا ناپاک ہوجائے گا۔ (فتاوی رحیمیہ: ۴/۲۳، ط: دار الاشاعت پاکستان)
اگر یہ سفید پانی نماز کے فوراً بعد دیکھا تو وضو اور نماز کا اعادہ لازم ہے، اور اگر کچھ دیر کے بعد دیکھا ، اور یہ یقین نہ ہو کہ نماز اس نے اسی حالت میں پڑھی ہے تو نماز کا اعادہ لازم نہ ہوگا، صرف نقض وضو کا حکم ہوگا، اور بہ ہرصورت غسل واجب نہ ہوگا۔ 
لو وجد في ثوبہ نجاسة مغلظة أکثر من قدر الدرہم ولم یعلم بالإصابة لم یعد شیئًا بالإجماع․ (شامي: ۱/۳۷۸، ط: زکریا دیوبند)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",58409,deoband,عبادات,طہارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/taharah-purity/58385,اگر کلوخ (ڈھیلے ) سے استنجاء کیا گیا ہو تو مقام کو بغیر دھلے وضو کر کے نماز پڑھی جاسکتی ہے؟,اگر کلوخ (ڈھیلے ) سے استنجاء کیا گیا ہو تو مقام کو بغیر دھلے وضو کر کے نماز پڑھی جاسکتی ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 465-493/H=6/1436-U

اگر کلوخ سے نجاست مکمل دور ہوگئی تو نماز ہوجائے گی، مگر اچھا اور بہتر یہی ہے بلکہ آج کل احتیاط اسی میں ہے کہ پانی سے بھی طہارت حاصل کرکے نماز ادا کرے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",58385,deoband,عبادات,طہارت
31-Aug-2020,https://darulifta-deoband.com/home/ur/taharah-purity/58330,كارپیٹ كو پاك كرنے كا طریقہ,(۱) میری بچی کبھی کارپیٹ پر پیشاب کردیتی ہے، میں اس پر پانی ڈالتی ہوں اور صاف کرتی ہوں، کیا یہ کافی ہے؟کیا اس سے ہماری نماز پر اثر پڑے گا؟ (۲) اگر میری بچی پوٹی (بچوں کے پیشاب پاخانہ کرنے کا برتن) پر پیشاب کرتی ہے اور بچی کو صاف کرتاہوں جب کہ میں باوضو ہوتی ہوں تو کیا اس سے وضوپر اثر پڑے گا؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""rtl"" style=""text-align: justify;"">
	Fatwa ID: 308-308/Sd=6/1436-U (۱)</p><p dir=""rtl"" style=""text-align: justify;"">
	صورت مسئولہ میں آپ کارپیٹ کس طرح دھوتی ہیں، یہ بات مکمل طور پر واضح نہیں ہے، صرف ایک مرتبہ پانی ڈال کر بہادیتی ہیں یا تین مرتبہ دھوتی ہیں؟ بہرحال ناپاک کارپیٹ کو جس کو نچوڑنا ممکن نہ ہو، پاک کرنے کا طریقہ یہ ہے کہ تین بار اسے دھویا جائے اور ہرمرتبہ دھوکر اتنی دیر چھوڑدیا جائے کہ اس سے پانی ٹپکنا بند ہوجائے (پوری طرح سوکھنا ضروری نہیں ہے) کارپیٹ کو پاک کرنے کے لیے تین مرتبہ اس طرح دھونا ضروری ہے، اس کے بعد ہی اُس پر نماز پڑھنا درست ہوگا، محض ایک بار پانی بہادینا کافی نہیں ہے، اور اگر کارپیٹ ایسا ہو کہ جس میں پانی جذب نہ ہو، تو ایسا کارپیٹ اوپر سے پانی ڈال کر بہادینے سے پاک ہوجائے گا۔ قال في الہندیة: وما لا ینعصر یطھر بالغسل ثلاث مرات والتجفیف في کل مرة؛ لأن للتجفیف أثرا في استخراج النجاسة وحد التجفیف أن یخلیہ حتی ینقطع التقاطر ولا یشترط فیہ الیبس․ (الہندیة: ۱/۴۲) جی نہیں! بچی کے پیشاب صاف کرنے کی وجہ سے آپ کے وضو پر کوئی اثر نہیں پڑے گا؛ البتہ اگر پیشاب بدن یا کپڑے پر لگ جائے، تو اس کو دھونا ضروری ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",58330,deoband,عبادات,طہارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/taharah-purity/58317,میں جب واش روم سے واپس آتاہے تو پیشاب کے کچھ قطرے رہ جاتے ہیں ،,میں جب واش روم سے واپس آتاہے تو پیشاب کے کچھ قطرے رہ جاتے ہیں ، تو میں ٹشو پیپر رکھ لیتاہوں تاکہ جب قطرے گرے تو وہ کپڑے میں نہ لگے، کبھی یہ قطرے دس یا پندرہ منٹ تک ختم ہو جاتے ہیں تو میں ٹشو اٹھا لیتاہوں، لیکن کبھی کبھی ایسا ہوتاہے کہ میں ٹشو اٹھانے کے تھوڑی دیر بعد جب واش روم جاتاہوں اور استنجاء کرنے لگتاہوں تو اس وقت پشیاب کی جگہ سے کچھ گیلا محسوس ہوتاہے، اور کبھی ایسا ہوتاہے کہ جب میں ہوکہ جب میں کونے پہ ہاتھ لگاتاہوں و کچھ تھوڑا سا پیشاب اندر رہ گیا ہوتاہے، اس پر مجھے شک ہوتاہے کہ اب میرے کپڑے پاک ہیں یا نہیں؟ کیوں کہ جب ابھی چیک کرنے پہ نکلا ہے تو پہلے بھی نکلا ہوگا۔اس کی وجہ سے بہت پریشانی رہتی ہے، کبھی کپڑے دھو لیتاہوں ، کبھی نہیں کہ یہ ہر روز کا کیا دفعہ کا معمول ہے ۔ براہ کرم، اس میں میری رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 375-340/Sn=6/1436-U

صورت مسئولہ میں جب آپ کو اطمینان ہوجائے کہ قطرے بند ہوگئے تو حسب عادت ٹیشو ہٹالیں، اگر ہوسکے تو اس وقت عضو کو دھولیں، اس کے بعد اس کی طرف بالکل دھیان نہ دیں اور نہ ہی ٹٹول کر چھوکر دیکھیں اور بلاشبہ شک میں نہ پڑیں، جب تک بالیقین قطرہ گرنا معلوم نہ ہو تب تک آپ کے کپڑے یا بدن پر ناپاک ہونے کا حکم نہ لگے گا۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",58317,deoband,عبادات,طہارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/taharah-purity/58303,کیا کسی کو برہنہ دیکھنے سے وضو ٹوٹ جاتاہے؟,کیا کسی کو برہنہ دیکھنے سے وضو ٹوٹ جاتاہے؟براہ کرم، قرآن وحدیث کی روشنی میں جواب دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""rtl"" style=""text-align: justify;"">
	Fatwa ID: 557-557/M=6/1436-U</p><p dir=""rtl"" style=""text-align: justify;"">
	کسی شخص کو قصدا برہنہ دیکھنا گناہ ہیں تاہم اس سے وضو نہیں ٹوٹتا ہے، ہاں اگر دیکھنے کی وجہ سے مذی کا خروج ہوگیا تو اس سے وضو ٹوٹ جائے گا۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",58303,deoband,عبادات,طہارت
30-Aug-2020,https://darulifta-deoband.com/home/ur/taharah-purity/58075,واشنگ مشین می کپڑے پاک کرنا,اگر واشنگ مشین میں کپڑے کو دھونے کے بعد تین مرتبہ پانی نکال دیا جائے تو کیا کپڑے پاک ہو جائیں گے یعنی ایک مرتبہ دھویا اور پانی نکال دیا پھر دوسری مرتبہ دھویا اور پانی نکال دیا پھر تیسری مرتبہ دھویا اور پانی نکال دیا یا پھر کپڑے کو نچوڑنا ضروری ہے اور واشنگ مشین دو خانے والا ہے براے کرم مع دلائل جواب ارسال فرمائیں آپ کا احسان ہوگا۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 489-489/M=5/1436-U

نچوڑنا ممکن ہو تو نچوڑدینا چاہیے، ویسے واشنگ مشین میں تین مرتبہ الگ الگ پانی سے دھونے کی وجہ سے کپڑا پاک ہوجاتا ہے، ہرمرتبہ نچوڑنا شرط نہیں۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",58075,deoband,عبادات,طہارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/taharah-purity/58046,اگر آدمی اپنا عضو تناسل عورت کے فرج میں داخل نہ کرے ویسے ہی اوپر سے ٹچ (چھونا) کرے یا استمتاع کرے تو کیا اس صورت میں بھی عورت پر غسل کرنا ضروری ہے؟,اگر آدمی اپنا عضو تناسل عورت کے فرج میں داخل نہ کرے ویسے ہی اوپر سے ٹچ (چھونا) کرے یا استمتاع کرے تو کیا اس صورت میں بھی عورت پر غسل کرنا ضروری ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 533-534/L=5/1436-U

اگر آدمی اپنا عضو تناسل عورت کے فرج میں داخل نہ کرے صرف اوپر سے ٹچ کرے یا استمتاع کرے اور عورت کی منی خارج نہ ہو توعورت پر غسل کرنا ضروری نہیں، غسل کے وجوب کے لیے بقدر حشفہ عضو تناسل کا عورت کی شرمگاہ میں داخل ہونا یا منی کا خارج ہونا ضروری ہے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",58046,deoband,عبادات,طہارت
