issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/world-religions/163729,كیا جس کے پاس ایک دن کی روزی روٹی کا انتظام ہو اس پر صدقہ فطر واجب ہے ؟,کیا فرماتے ہیں علماء دین و مفتیان شرع متین مسئلہ ذیل کے بارے میں ایک مفتی صاحب نے عیدگاہ کے اندر یہ بیان کیا ہے کہ جس کے پاس ایک دن کی روزی روٹی کا انتظام ہو اس پر صدقہ فطر واجب ہے مجھے یہ مسئلہ کسی کتاب میں نہیں ملا آپ بتائیں کہ صدقہ فطر کس واجب ہے اور اس نصاب کیا ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:1307-1132/D=11/1439</span></p><p dir=""RTL"">
	جس شخص کے پاس عید الفطر کے دن اتنا سونا، چاندی، نقد روپئے، مال تجارت، روز مرہ کے استعمال کی ضرورت سے زائد سامان ہو اور ان سب کی قیمت ملاکر ۶۱۲گرام چاندی کی قیمت کے برابر ہوجائے تو اس پر صدقہ فطر واجب ہوتا ہے اپنی طرف سے اور اپنی نابالغ اولاد کی طرف سے ادا کرے۔</p><p dir=""RTL"">
	جس کے پاس ایک دن کی روزی روٹی کا ااتنا انتظام ہو اس پر صدقہ فطر واجب ہوتا ہے، یہ مسئلہ صحیح نہیں ہے جس نے بتلایا غلط بتلایا۔ امام صاحب سے جاکر دوبارہ تحقیق کرلیں اور اپنی غلط فہمی دور کریں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",163729,deoband,عقائد و  ایمانیات,ادیان و مذاہب
01-Sep-2020,https://darulifta-deoband.com/home/ur/world-religions/163660,خاوند كے كہنے سے بیوی كا اپنے محارم سے پردہ كرنا كیسا ہے؟,بخدمت جناب علماء کرام: عرض گذارش ہے کہ حامد نے اپنی بیوی سے کہا کہ اپنے رضاعی بھائیوں سے پردہ کرو اور اس کی بیوی نے دل سے حامد یعنی شوہر کا کہا مان کر اس پر عمل کرلیا یعنی اپنے آپ کو اپنے رضاعی بھائیوں سے پردہ کا پاپند بنادیا جبکہ رضاعی بھائیوں کا حکم بھی حقیقی بھائیوں کی طرح ہے تو حامد کا کہنا ہے کہ اگر میری بیوی نے انکار یا پھر کسی مفتی صاحب نے یہ فتوی دیدیا کہ رضاعی بھائیوں سے پردہ نہیں کرنا چاہئے تو میرا جینا مشکل ہوجائے گا کیوں کہ مجھے 100٪ فیصد یہی لگ رہا ہے کہ میری بیوی کے جو رضاعی بھائی ہیں وہ اس کو اپنی حقیقی بہن کی نگاہ سے نہیں دیکھیں گے اس فتنہ کے دور میں بظاہر حامد کی بیوی کے رضاعی بھائی نہ فاسق ہیں اور نہ ہی فاجر بالفرض اگر میری بیوی نے انکار یا فتوی پر عمل بھی کرلیا تو شاید مجھے اپنی بیوی سے نفرت ہوسکتی ہے یعنی اس میں ان میاں بیوی کا تعلق بھی ختم ہوسکتا ہے وہ تو پابند بن چکی ہے تقریبا ایک سال سے اب تو حامد کی بیوی کا بھی یہی کہنا ہے کہ میرے شوہر نے جو کچھ کیا اچھا کیا میرے لئے اب حامد کی بیوی کو بھی یہی گمان ہو رہا ہے کہ واقع میں وہ مجھے اپنی حقیقی بہن کی طرح نہیں دیکھ تے لیکن جب اس کو حامد نے پردہ کا پاپند بنایا تب اس عورت کا معلوم نہیں کیا گمان تھا لیکن اس نے اپنے شوہر کا کہا فورا مان لیا اس وقت اس کی اپنی رائے کیا تھی وہ بظاہر معلوم نہیں ابھی اس کی رائے اپنے شوہر حامد کی طرح ہے الحمد للہ ان میاں بیوی کے جو تعلقات ہیں تمام ہی اچھے ہیں اب شاید حامد کی بیوی کو جو بھی لاعلم والا شخص کہے گا کہ پردہ نہ کر گناہ ہوگا آپ کو وہ ہرگز اس کا کہا نہیں مانے گی شاید اگر وہ مفتیان کرام کی فتوی پڑھ لے تو پہر وہ پریشانی میں مبتلا ہوجائے گی۔ *نوٹ:یاد رہے حامد کی بیوی نے اپنے فیصلے پر پردہ نہیں کیا بلکہ شوہر کے فیصلے پر*البتہ اب اس کی بھی حامد کی طرح ہی رائے ہے یعنی اب اس کا بھی گمان حامد کی طرح ہی ہے :* آیا کہ مذکورہ صورت حال میں جو پردہ کروا گیا وہ جائز ہے یا نہیں؟ (1) اگر اس نے اپنے شوہر کا کہا مان کے پردہ کرلیا ہے تو اس میں کوئی گناہگار تو نہیں ہوگا نا؟ (2) اور ہاں اس میں حامد کے والدین کی بھی یہی رائے ہے کہ آپ نے جو کچہ کیا درست کیا اور حامد کی بیوی کے والدین کی بھی یہی رائے ہے کہ جو کچہ کیا درست کیا (3) حامد کی بیوی کے ایک رضاعی بھائی نہیں بلکہ کئی سارے ہیں سب بھائی ہی رضاعی نہیں بلکہ والد اور خالو اس طرح کے تمام رشتہ دار ہیں صرف رضاعی بھائی لکھ دیا بطور سمجھانے کے رہنمائی فرمائیں منتظر ہیں۔ والسلام معذرت سوال مختصر نہیں لکھ پایا۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:7473-210T/SN=11/1439</span></p><p dir=""RTL"">
	(۱،۲،۳) اصولی اعتبار سے تو رضاعی بھائی اور والد وغیرہ محارم میں سے ہیں؛ اس لیے ان سے شرعاً پردہ نہیں ہے؛ لیکن اگر کسی طرح کے فتنے کا اندیشہ ہو تو رضاعی بھائیوں سے پردہ کرنا چاہیے اور خلوت وتنہائی سے تو بہرحال احتیاط کرنی چاہیے، الغرض صور ت مسئولہ میں حامد کی بیوی کا از خود یا شوہر کے کہنے سے اپنے رضاعی بھائیوں سے احتیاطاً پردہ کرنا شرعاً درست ہے؛ حامد کی بیوی اس کی وجہ سے گنہ گار نہ ہوگی۔ والخلوة بالمحرمة مباحة إلا الأخت رضعاً والصّہرة الشابة ․․․ وینبغي والأخ من الرضاع أن لا یخلو بأختہ من الرضاع؛ لأن الغالب ہناک الوقوع في الجماع اھ وأفاد العلامة البیری أن ینبغي معناہ الوجوب الخ (در مختار مع الشامي: ۹/۵۳۰، ط: زکریا)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",163660,deoband,عقائد و  ایمانیات,ادیان و مذاہب
01-Sep-2020,https://darulifta-deoband.com/home/ur/world-religions/163300,مسجد کا اندرونی حصہ بند کرکے نماز جمعہ ادا کرنا؟,ہمیں یہ معلوم کرنا ہے کہ ہمارے یہاں مسجد میں ۷/ صف ہے جس میں آگے کی تین صف پیک ہے، اور اس میں تین دروازہ ہے اور اندر اے سی لگی ہوئی ہے جس کی وجہ سے دروازہ کو بنا کنڈی لگائے بند رکھتے ہیں کوئی آتا ہے تو کھول کر اندر جاتا ہے اور پھر واپس بند کر دیتا ہے کہ ٹھنڈا رہے باہر جمعہ کے دن باقی صفوں میں باہر لوگ رہتے ہیں۔ کچھ لوگوں کا کہنا ہے کہ دروازہ بند کرکے اندر خطبہ دینا اور نماز پڑھانا جائز نہیں ہے کیونکہ امام کو خطبہ کے دوران دیکھنا ضروری ہے جب کہ پیچھے لاوٴڈ اسپیکر لگا ہے جس کے ذریعہ آواز سب تک پہونچتی ہے۔ اس کے بارے میں راہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:1307-1148/H=11/1439</span></p><p dir=""RTL"">
	خطیب کا خطبہ کے وقت میں حاضرین کو دکھلائی دینا ضروری نہیں نماز تو اگرچہ صورت مسئولہ میں درست ہوجاتی ہے تاہم اچھا یہ ہے کہ جمعہ میں فرض نماز کے وقت دروازے کھول دیا کریں تاکہ باہر والے مقتدیوں کو اندر اوالے مقتدیوں کی تکبیراتِ انتقالیہ کے وقت انتقالات بھی فی الجملہ دکھلائی دیتے رہیں ورنہ بعض مرتبہ برآمدہ اور صحن میں مقتدیوں کی نماز میں گڑبڑی کا اندیشہ رہتا ہے لاوٴڈاسپیکر کے خراب یا بند ہونے کا بھی اندیشہ رہتا ہے اس لیے فرض کے وقت دروازے کھول دیا کریں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",163300,deoband,عقائد و  ایمانیات,ادیان و مذاہب
31-Aug-2020,https://darulifta-deoband.com/home/ur/world-religions/163100,بیوی جنتی ہو اور شوہر جہنمی تو عورت كو كیا ملے گا؟,جناب تفصیل سے جواب دیں۔ ایک شخص نے جب مجھ سے اس قسم کا سوال پوچھا تو مجھ سے کوئی جواب نہ بن پایا۔ سوال جس کا جواب مطلوب ہے وہ یہ ہے کہ ۱- جنتی آدمیوں کوتو حوریں ملیں گی اور جنتی عورتوں کے بارے میں اس تعلق سے کیا حکم ہے ؟ ۲- کہتے ہیں جنتی عورتوں کو ان کا شوہر ملے گا تو اب ایسی حالت میں......... ایک گنہگار جہنمی شخص کی جنتی بیوی کے بارے میں حکم رہے گا؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:1238-1088/H=10/1439</span></p><p dir=""RTL"">
	عجب نہیں کہ جنتی بیوی کی برکت سے جلد چھٹکارہ جہنم سے مل جائے اور وہ وہاں سے نکل کرجنت میں بیوی سے آملے ورنہ جو کچھ بیوی چاہے گی اللہ پاک اس کی خواہش کے مطابق معاملہ فرمائے گا قرآن شریف میں ہے وَلَکُمْ فِیہَا مَا تَشْتَہِیْ اَنْفُسُکُمْ وَلَکُمْ فِیْہَا مَا تَدَّعُوْنَ نُزُلاً مِّنْ غَفُوْرٍ رَّحِیْم (پ۲۴، سورہٴ حم)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",163100,deoband,عقائد و  ایمانیات,ادیان و مذاہب
01-Sep-2020,https://darulifta-deoband.com/home/ur/world-religions/161890,ابن تیمیہ رحمہ اللہ کتنی رکعات تراویح پڑھا کرتے تھے,ابن تیمیہ رحمة اللہ کتنی رکعات تراویح پڑھا کرتے تھے مکمل مفصل اور مدلل بیان فرمائیں مع حوالات اور ترجمہ۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:1134-957/sd=9/1439</span></p><p dir=""RTL"">
	&nbsp;علامہ ابن تیمیہ<span dir=""LTR""></span>خود کتنی رکعات تراویح پڑھتے تھے ، اس کی صراحت تو نہیں ملی ؛ البتہ اُنھوں نے اپنے فتاوی میں لکھا ہے کہ جب لوگوں کو طولِ قیام دشوار ہوا ، تو حضرت ابی بن کعب رضی اللہ عنہ حضرت عمر رضی اللہ عنہ کے زمانے میں لوگوں کو بیس رکعت تراویح پڑھانے کے لیے کھڑے ہوگئے اور اُس کے بعد الگ سے وتر بھی پڑھاتے تھے اور اُس میں مختصر قیام فرماتے تھے (فتاوی شیخ الاسلام ابن تیمیہ :۱۲۰/۲۳، بحوالہ : مجموعہ مقالات :۲۹۲/۲)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",161890,deoband,عقائد و  ایمانیات,ادیان و مذاہب
01-Sep-2020,https://darulifta-deoband.com/home/ur/world-religions/161617,شادی کے موقع پر مرد وعورت کا ہلدی لگانا,کیا فرماتے ہیں مفتیان کرام و علمائے دین مسئلہ ذیل کے بارے میں شادی کے موقع پر جو ہلدی چندن لڑکے اور لڑکی کو لگا یا جا تا ہے کیا یہ لگانا جائز ہے یا ناجائز؟ قرآن حدیث کی روشنی میں جواب مرحمت فرمائیں ،عین کرم ہوگا۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:1168-1030/L=9/1439</span></p><p dir=""RTL"">
	&nbsp;شادی کے موقع پر مرد وعورت کا ہلدی لگانا ایک غیرشرعی رسم ہے،اس میں بیجا التزام مالا یلزم سے کا کام لیا جاتا بلکہ بعض جگہوں پر تو غیر محرم عورتیں دولہا کو مہندی لگاتی ہیں جس کا حرام ہونا ظاہر ہے؛اس لیے اس طرح کی رسموں سے احتراز ضروری ہے ،باقی اگر دولہا یا دلہن بدن کی صفائی کی غرض سے بغیر کسی التزامِ مالایلزم اور حرام وناجائز کا ارتکاب کیے بغیرہلدی یا کوئی ایسی چیز لگالیں جس سے بدن نرم و ملائم ہوجائے تو فی نفسہ اس کی گنجائش ہوگی۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",161617,deoband,عقائد و  ایمانیات,ادیان و مذاہب
01-Sep-2020,https://darulifta-deoband.com/home/ur/world-religions/161211,داڑھی کے ٹوٹے ہوئے بالوں کا حکم,حضرت، پوچھنا یہ ہے کہ وضو کرتے وقت اور کنگھی کرتے وقت ڈاڑھی کے جو بال ٹوٹتے ہیں ان کا کیا کرنا چاہئے؟ اس کے لئے کیا حکم ہے؟ رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 995-1044/H=9/1439</span></p><p dir=""RTL"">
	کسی پاک صاف جگہ میں ڈال دیں گندی جگہ میں ڈالنے سے حتی المقدرت اجتناب کریں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",161211,deoband,عقائد و  ایمانیات,ادیان و مذاہب
01-Sep-2020,https://darulifta-deoband.com/home/ur/world-religions/161188,بینك كے سودی قرض كی ادائیگی كے بدلے زمین لینا؟,ایک صاحب نے اپنی زمین کا ایک حصہ گروی رکھ کر بینک سے قرض لیا اب وہ ادائیگی قرض سے عاجز ہے ، لہٰذا وہ اپنی جگہ فروخت کرناچاہتا ہے اس طور پر کہ خریدار کو ۳لاکہ ۰۰۰۰۰ ۳زمین مالک کو دینا ہوگا اور بینک کا جو قرض زمین مالک کے ذمہ ہے وہ ادا کرنا ہوگا، کیا خریدی کی یہ صورت جائز ہے ؟ اگر جائز ہے تو اگر بینک کے قرض کی ادائیگی میں خریدار سے تاخیر ہو اور لون میں اضافہ ہو تو کیا خریدار گنہگار ہوگا؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:1094-988/L=9/1439</span></p><p dir=""RTL"">
	اگر بینک کے قرض کی مقدار متعین ہے اور خریدار کو قوی امید ہے کہ وہ ہرقسط کو اس کے وقت پر ادا کردے گا تو خریدار کے لیے زمین خریدنے کی گنجائش ہوگی۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",161188,deoband,عقائد و  ایمانیات,ادیان و مذاہب
30-Aug-2020,https://darulifta-deoband.com/home/ur/world-religions/160505,عصر کی نماز مثل اول پر پڑھ لینا؟,کیا فقہ حنفی کے مطابق عصر کی نماز اہل حدیث کے وقت کے مطابق ہو جاتی ہے؟ اگر کوئی مجبوری ہو تو کیا پڑھ سکتے ہیں؟ شکریہ,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:905-787/H=8/1439</span></p><p dir=""RTL"">
	فتاوی محمودیہ میں ہے ”مستقلاً ہمیشہ مثل واحد پر نمازِ عصر ادا کرنا گویا امام ابوحنیفہ رحمہ اللہ تعالیٰ کے مذہب کو ترک کرنا ہے اس لیے ایسا نہ کیا جائے کبھی اتفاقیہ (سفر وغیرہ کی مجبوری میں) ایسی نوبت آجائے تو امر آخر ہے اھ“ (ج۵/ ۳۳۹، ط: دار المعارف)یعنی کسی مجبوری میں پڑھ لی تو گنجائش ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",160505,deoband,عقائد و  ایمانیات,ادیان و مذاہب
01-Sep-2020,https://darulifta-deoband.com/home/ur/world-religions/159099,متفقہ مسائل كے بارے میں رہنمائی,ائمہ اربعہ کے اتفاقی مسائل جن پر فتاوی ہو کن کن کتب میں ہیں اور اختلافی مسائل کے کتب مع ادلہ بتائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa: 625-568/M=6/1439</span></p><p dir=""RTL"">
	فقہ میں مذاہب اربعہ کو جاننے کے لیے ”الموسوعة الفقہیہ الکویتیہ“ کا مطالعہ کیجیے اور خاص فقہ حنفی کے مفتی بہ مسائل کے لیے امام محمد رحمہ اللہ کی تصنیف کردہ چھ کتابوں (مبسوط، زیادات، جامع کبیر، جامع صغیر، سیر کبیر، سیر صغیر) جن کو ”کتب ظاہر الروایة“ کہا جاتا ہے، کا مطالعہ کیجیے مزید بعد کے متون وشروح معتبرہ میں بدائع، ہدایہ، فتح القدیر، درمختار، شامی وغیرہ دیکھئے اور فقہ حنفی کے علاوہ دیگر مسالک کے مفتی بہ مسائل وکتب کی جانکاری کے لیے ان مسالک کے مفتیان و ادارے سے رجوع کریں۔</p><p dir=""RTL"">
	----------------------------</p><p dir=""RTL"">
	جواب درست ہے اور جن مسائل میں ائمہ اربعہ کا اتفاق ہے ان مسائل کو جاننے کے لیے ”الاجماع لابن المنذر“ کا مطالبہ کرلیا جائے اختلافی مسائل جاننے کے لیے شروحِ حدیث وغیرہ کی طرف مراجعت کی جائے۔ (ل)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",159099,deoband,عقائد و  ایمانیات,ادیان و مذاہب
