issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/false-sects/156132,کل ملکیت وارثوں میں کس طرح تقسیم ہو,محمد فصیح اللہ کی اہلیہ کا بیٹے محمد انور کی پیدائش کے کچھ عرصہ بعد انتقال ہو گیا۔تو انہوں نے دوسرا نکاح کر لیا۔ان کی دوسری اہلیہ قمرالنساں کو تین بیٹیاں فرزانہ، ریحانہ، نورانہ اور تین بیٹے محمد ارشد، محمد دانش،محمد طارق ہوے ۔بیٹی فرزانہ کا لڑکپن میں ہی انتقال ہو گیا۔ محمد فصیح اللہ کا پہلے پھر قمرالنساں کا انتقال ہوا۔اب ان دونوں کی کل ملکیت ان کے وارثوں میں کس طرح تقسیم ہو۔ از راہ کرم رہبری فرمائیں ۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:205-185/M=3/1439</span></p><p dir=""RTL"">
	صورت مسئولہ میں دونوں مرحومین کا ترکہ از روئے شرع ۳۲۰سہام میں منقسم ہوگا جن میں سے محمد انور کو ۵۶/ سہام اور محمد ارشد، محمد دانش اور محمد طارق ان تینوں میں سے ہرایک کو ۶۶، ۶۶سہام اور ریحانہ، اور نورانہ میں سے ہرایک کو ۳۳، ۳۳سہام ملیں گے۔ محمد انور اپنے والد (محمد فصیح اللہ مرحوم) کا تو وارث ہوگا لیکن قمر النساء کے ترکہ سے حصہ نہیں پائے گا۔</p><p dir=""RTL"">
	ارشد = 66</p><p dir=""RTL"">
	دانش = 66</p><p dir=""RTL"">
	طارق = 66</p><p dir=""RTL"">
	انور = 56</p><p dir=""RTL"">
	ریحانہ = 33</p><p dir=""RTL"">
	نورانہ = 33</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",156132,deoband,عقائد و  ایمانیات,فرق باطلہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/false-sects/156125,بچےکی پیدایش کے بعد عورت كا چالیس دن سے پہلے شادی بیاہ میں شركت كرنا,کیافرماتے ہیں علمائے اکرام اورمفتی صاحبان کہ بچے کی پیدایش کے بعد چالیس ایام زچہ اور بچہ کا گھر سے باہر نکلنا بازار جانا اور شادی بیاہ میں شرکت کرنا کیسا ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:202-139/sn=3/1439</span></p><p dir=""RTL"">
	بچے کی پیدائش کے بعد چالیس روز تک زچہ اونر اور بچہ کے لیے گھر سے باہر نکلنا شرعاً ممنوع نہیں ہے، حسب ضرورت باہر نکلنا جائز ہے۔</p><p dir=""RTL"">
	--------------------------</p><p dir=""RTL"">
	نوٹ: البتہ احتیاط بہتر ہے۔ (د)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",156125,deoband,عقائد و  ایمانیات,فرق باطلہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/false-sects/156115,ادائیگی كے وقت كی قیمت كے اعتبار سے ادھار دینا؟,اسلام و علیکم جناب عرض یہ ہے کہ ہم دھان کا کاروبار کرتے ہیں اور کسان ہم سے کھاد لے کر جاتے ہے تاکے جب فصل آے تو اس کھاد کی جتنی رقم بنے اس حساب سے موجودہ قیمت سے جائز قیمت کم کر کے حساب کلیر کر دیا جائے اور اس کے لیے دل کے اندر کوئ سود کا فتور شامل نا ہو تو کیا یہ کام جائز ہے۔۔ جزاک اللہ,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:233-191/B=2/1439</span></p><p dir=""RTL"">
	مذکورہ شکل درست نہیں ہے، آپ جس وقت کھاد کسان کو دیں اس وقت اس کا بھاوٴ متعین کرکے بتادیں اور اپنی رقم ۳/ مہینے یا چار مہینے کی مدت متعین کرکے وصول کرلیں، مطلب یہ ہے کہ کھاد کی قیمت بھی متعین ہونی چاہیے اور اس کی ادائیگی کی مدت بھی متعین ہونی چاہیے۔ اس کے بغیر خرید وفروخت کا معاملہ صحیح نہ ہوگا۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",156115,deoband,عقائد و  ایمانیات,فرق باطلہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/false-sects/156030,کرایہ داری کا معاملہ,حضرت مفتی صاحب! ایک مسئلہ دریافت کرنا ہے۔ زید ایک کرایہ کے گھر میں رہتا ہے جو بہت بڑا ہے اور کرایہ بھی اس کا زیادہ ہے تو وہ اپنا ایک کمرہ کرایہ پر دینا چاہتا ہے۔ علی زید سے ملتا ہے اور کمرہ کی ضرورت ظاہر کرتا ہے، زید کہتا ہے کہ میرے یہاں ایک کمرہ خالی ہے جو چار ہزار کا ہے چھ ماہ کے لیے۔ علی زید کے گھر آکر وہ کمرہ دیکھتا ہے، ا س میں زید کا کچھ سامان ہے اور باقی پرانے خریدار کے جو سامان چھوڑ کر چلے گئے، زید کہتا ہے کہ آپ کمرہ دیکھ لیں یہ کچھ پرانا سامان پرانے خریدار چھوڑ گئے تھے، آپ چاہیں تو استعمال کر سکتے ہیں، علی کہتا ہے نہیں! ہم کو کچھ نہیں چاہئے، بس آپ کمرہ صاف کروا دیجئے، اور ساتھ میں پیشگی کے طور پر پانچ ہزار زید کو دے دیتا ہے، اب علی گھر پر آکر اپنے گھر والوں کے سامنے یہ بات رکھتا ہے کہ چار ہزار پر چھ ماہ کے لیے کمرہ مل گیا۔ گھر والے کہتے ہیں ہم نے چار ہزار پورے سال کا کرایہ سمجھا تھا۔ (نوٹ: علی کو دوسرے لوگ سے پہلے یہ معلوم ہوا تھا کہ چار ہزار میں کمرہ ہے، پر مدت معلوم نہیں ہوئی تھی، اس نے معاملہ ہونے سے پہلے اپنے گھر والوں سے ذکر کر چکا تھا، چار ہزار میں کمرہ مل رہا ہے)۔ بہرحال گھر والوں کو یہ بات منظور نہ ہوئی کہ چار ہزار چھ ماہ کے لیے، اور انہوں نے معاملہ فسخ کرنے کو کہا، علی جاکر زید سے کہتا ہے کہ ہمیں مدت کو لے کر تذبذب میں پڑ گئے تھے، ہمیں آپ وہ پیشگی رقم پانچ ہزار واپس کردیں، زید راضی نہیں ہوتا ہے اور کہتا ہے کہ گھر کو صاف کرانے، اور جو پچھلے کرایہ دار کے سامان تھے اس کے پانچ ہزار ہوگئے ہیں، میں ایک پیسہ واپس نہیں کروں گا۔ یا پھر دوسری شرط یہ رکھی ہے کہ آپ مزید ۳۵۰۰/ لاکر دے دیں، مجھے آپ کی پریشانی سے کوئی تعلق نہیں، آپ چاہیں تو رہیں یا نہ رہیں، مجھے ۳۵۰۰/ دیدیں۔ مفتی صاحب! آپ سے گذارش ہے کہ شریعت کے لحاظ سے بتائیں کہ زید غلط کر رہا ہے یا پھر علی نے غلطی کی۔ جزاک اللہ,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:176-189/N=3/1439</span></p><p dir=""RTL"">
	&nbsp;صورت مسئولہ میں زید اور علی کے درمیان کمرہ کی کرایہ داری کا جو معاملہ ہوا، وہ شرعاً بالکل صحیح ودرست ہے اور ایسا معاملہ لازم ہوتا ہے اور علی کو کوئی ایسا عذر شرعی لاحق نہیں ہوا کہ زید پر اس عذر کی وجہ سے کرایہ داری کا معاملہ فسخ کرنا ضروری ہو ؛ کیوں کہ صاحب معاملہ علی ہے نہ کہ اس کے اہل خانہ اور علی سے کرایہ کی مقدار اور کرایہ داری کی مدت واضح طور پر طے کرلی گئی ہے؛ اس لیے صورت مسئولہ میں علی پر ضروری ہے کہ وہ کرایہ داری کے معاملہ پر برقرار رہتے کرایہ داری کی مدت مکمل کرے ؛ البتہ اگر زیدصورت مسئولہ میں علی کی درخواست پر اپنی مرضی وخوشی سے کرایہ داری کا معاملہ فسخ کردے تو یہ زید کا علی پر احسان ہوگا اور اس صورت میں زید پر ضروری ہوگا کہ علی کاجمع کردہ سارا پیسہ اسے واپس کرے ، زید کے لیے یہ جائز نہ ہوگا کہ کمرہ کی صفائی کے نام پر یا پرانے کرایہ دار کے سامان کے عوض کے نام پر علی کی جمع کردہ رقم میں کچھ کٹوتی کرے ؛ کیوں کہ کرایہ دار کا سامان زید کی ملک نہیں تھا، نیز وہ علی کو نہیں ملا اور صفائی کا نفع بھی علی کو حاصل نہیں ہوگا، وہ جو کچھ ملے گا، زید کو ملے گا: البتہ اگر علی خود اپنی مرضی سے بہ طور تبرع صفائی کے عوض کچھ دیدے تو اس میں کچھ حرج نہیں؛ بلکہ اسے ایسا کرنا چاہیے ؛ تاکہ اس کی جانب سے بھی زید پر کچھ احسان ہوجائے۔</p><p dir=""RTL"">
	وأما صفتھا- صفة الإجارة- فھي عقد لازم إذا کانت صحیحة عاریة عن خیار الشرط والعیب والروٴیة عند عامة العلماء ھکذا فی البدائع (الفتاوی الھندیة، کتاب الإجارة، الباب الأول،۴: ۴۱۱، ۴۱۲، ط: المطبعة الکبری الأمیریة، بولاق، مصر)، وفی الوھبانیة: تصح إجارة الدار المشغولة یعنی: ویوٴمر بالتفریغ وابتداء المدة من حین تسلیمھا (الدر المختار مع رد المحتار، کتاب الإجارة، باب ما یجوز من الإجارة وما یکون خلافاً فیھا، ۹: ۴۰، ط: مکتبة زکریا دیوبند)، حرر محشی الأشباہ أن الراجح صحة إجارة المشغول ویوٴمر بالتفریغ والتسلیم مالم یکن فیہ ضرر فلہ الفسخ (المصدر السابق، کتاب الإجارة، مسائل شتی ، ۹: ۱۲۹)۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",156030,deoband,عقائد و  ایمانیات,فرق باطلہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/false-sects/155946,ہم پر والدہ كے كیا حقوق ہیں؟,(۱) میرا سوال میرے والد صاحب مرحوم کی میراث اور وراثت سے تعلق رکھتا ہے ، پانچ مہینے قبل رمضان مبارک کے پہلے عشرے میں میرے والد صاحب کا انتقال ہوگیا،انتقال سے کچھ مہینے قبل انہوں نے جو انکی موجودہ سیونگ تھی اس کو والد صاحب مرحوم نے ہم چار بھائی بہنوں کے بیچ تقسیم کر دیا اور یہ کہا کہ بچی ہوئی رقم میری ولدہ محترمہ اور ان کی ہے اور اس رقم سے وہ لوگ عمرہ کرنے جای ئیں گے ،جو رقم والد صاحب مرحوم نے ہم ۲بھائی اور ۲بہنوں کے بیچ تقسیم کی تھی وہ ہمارے ہاتھ میں نہیں آئی لیکن ان سارے معاملے کو انہوں نے اپنی ڈائری میں تاریخ کے ساتھ قلم بند کر دیا تھا،اور یہ بھی لکھا ہے کہ اس رقم کی زکات جو کہ ہم بھائی بہنوں کے بیچ تقسیم ہوئی ہے وہ ہم لوگوں کو دینی ہے ،تو میں یہ جاننا چاہتا ہوں کہ شریعت اس طرح کے معاملوں میں کیا حکم دیتی ہے ؟اور میراث کی تقسیم کی کیا شرط اور شکل ہے جس سے کہ مکمّل انصاف ہو سکے اور کسی بھی طرح کی آپس میں بدگمانی نہ ہو۔ میری والدہ کی پنشن آتی ہے ، کونکہ میرے والد صاحب سرکاری ملازم تھے ،ہم چار بھائی بہن ہیں۔(۲ بھائی اور ۲بہن) میں قطعی نہیں چاہتا کہ کسی بھی طرح کی حق تلفی ہو جس سے کہ خدا کے یہاں ہماری پکڑ نہ ہو اور والد صاحب مرحوم کی روح کو تکلیف نہ ہو۔ (۲) دوسری چیز، ہمارے کیا حقوق ہیں ہماری والدہ کے لیے اور ہم ان کو کیسے خوش رکھیں؟ شکریہ,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:127-179/sd=3/1439</span></p><p dir=""RTL"">
	(۱) اگر آپ کے والد مرحوم نے آپ بھائی بہنوں کو رقم تقسیم کر کے مالک و قابض نہیں بنایا تھا ، صرف انھوں نے اپنی ڈائری میں تاریخ کے ساتھ لکھا تھا، تو اس سے اُن کا ہبہ کرنا شرعا صحیح نہیں ہوا، لہذا ُن کے انتقال کے بعد یہ رقم شرعی ورثاء کے درمیان حسب حصص شرعیہ تقسیم ہوگی البتہ اگر ورثاء والد مرحوم کی تقسیم پر راضی ہوں تو اس کے مطابق بھی تقسیم کی جاسکتی ہے۔والدہ کے نام سے جو پنشن آرہی ہے ، اُس کی مالک والدہ ہی ہیں۔</p><p dir=""RTL"">
	(۲) والدہ کے حقوق اداء کیے جائیں، ہر طرح اُن کو آرام اور راحت پہنچانے کی کوشش کی جائے ، خوب خدمت کی جائے ، انشاء اللہ والدہ خوش رہیں گی اور اُن کی دعائیں ملیں گی، حدیث میں ہے کہ والدین میں اگر کوئی بڑھاپے کو پہنچ جائے ، تو اُس کی خوب خدمت کرنی چاہیے ، تاکہ اللہ تعالی اس کے صلہ میں گناہوں کو معاف کردے ، حدیث میں اس کو بڑا خسارہ قرار دیا گیا ہے کہ بوڑھی ماں یا بوڑھے والد کے ہوتے ہوئے بھی آدمی کی مغفرت نہ ہو، یعنی :اُن کی خدمت کر کے گناہوں کو معاف کرانے کا موقع گنوا دیا جائے ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",155946,deoband,عقائد و  ایمانیات,فرق باطلہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/false-sects/155744,مذہبی تعلیم کے اعتبار سے مضبوط ہو اور احکام شریعت کی پوری رعایت کے ساتھ دنیوی تعلیم حاصل كرنا؟,حضرت مفتی صاحب، ایک شخص اپنی لڑکی کو میڈیکل تعلیم حاصل کرنے کے لئے ملیشیاء کی یونیورسٹی میں داخل کرانا چاہتا ہے ، اس کا کہنا ہے کہ وہاں حجاب کے ساتھ تعلیم حاصل کرنے نیز لڑکیوں کے لئے علیحدہ خصوصی رہائش اور اس میں خصوصی نگرانی کا نظم ہے ۔ اورہمارے یہاں کی بہت سی دینداد گھرانے کی لڑکیاں وہاں پڑھ رہی ہیں اور میری لڑکی سے بھی یہ امید ہے کہ وہ پورے پردے کی رعایت اور غیر محرموں سے اجتناب کرتے ہوئے رہے گی۔ محترم مفتی صاحب سے دریافت یہ کرنا ہے کہ کیاشریعت اسلامی میں اس طرح مذکورہ شخص کو اپنی لڑکی کو تعلیم دلانا جائز ہے ؟ یا ناجائز ہے ؟ اگر نا جائز ہے تو صرف دوسرے ملک کی حد تک ناجائز ہے یا ہمارے ملک اور بیرون ملک ہر جگہ کے لئے ناجائز ہونے کا حکم ہے ؟ اگر ہر جگہ لڑکی کو ہوسٹل میں رکھ کر تعلیم دلانا ناجائز ہے تو پھر اگر وہ شخص اپنی لڑکی کو شریعت کی حدود میں رہ کر میڈکل کی تعلیم دلانا چاہتا ہے اور وہ لڑکی بھی چاہتی ہے اور اس کے لئے کسی اور جگہ رہ کر ہی تعلیم حاصل کرنے کا موقع ہو تو شریعت کی روشنی میں اس کی مطلوبہ تعلیم کے لئے کیا نظم ہونا چاہئے ؟ فقط بینوا و توجروا۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:116-122/D=3/1439</span></p><p dir=""RTL"">
	تجربہ سے معلوم ہوتا ہے کہ عام طور پر عصری کالجوں میں دنیوی تعلیم حاصل کرنے والے مسلم طلبہ کے عقائد واخلاق بگڑجاتے ہیں اور ان کی مذہبی تعلیم متأثر ہوجاتی ہے، نتیجةً دنیوی نفع سے کہیں زیادہ دینی نقصان ہوتا ہے جس کی بناء پر فقہائے کرام نے دنیوی تعلیم کے حصول کو ناجائز لکھا ہے؛ لیکن اگر کوئی مذہبی تعلیم کے اعتبار سے مضبوط ہو اور احکام شریعت کی پوری رعایت کے ساتھ دنیوی تعلیم حاصل کرے تو اس کی گنجائش ہے، اسی طرح اگر خواتین ”میڈیکل سائنس“ کی تعلیم اس غرض سے حاصل کریں تاکہ مشروع طریقہ پر عورتوں کی خدمت کرسکیں تو اِن علوم کی تحصیل میں کراہت نہیں بشرطیکہ ان علوم کی تحصیل کے زمانہ میں اور حصول کے بعد ان کے استعمال میں پردہ اور احکام شریعت کی پوری رعایت کریں؛ لیکن موجودہ دور میں کثرت مفاسد کی بناء پر احکام شریعت کی رعایت کے ساتھ دنیوی تعلیم کا حصول ایک مشکل امر بن چکا ہے؛ اس لیے اس کا عمومی مشورہ نہیں دیا جاسکتا اور صورت مسئولہ میں مذکور حجاب کی پابندی ، خصوصا ہاسٹل کی سہولت، اور نگرانی وغیرہ کا نظم یعنی اگرچہ تمام تر احتیاطی تدبیریں موجود ہیں؛ لیکن لڑکی کا گھر سے باہر قدم رکھنا اور کالج کی مخلوط تعلیم یہ دونوں چیزیں بذاتِ خود بے احتیاطی پیدا کرتی ہیں اور فتنہ کے دروازہ کو کھولتی ہیں؛ اس لیے ہرطرح سے چوکنا اور پرحذر رہنے کی ضرورت ہے۔ المرأة عورة فإذا خرجت استشرفہا الشیطان․ (مشکاة: ۲۶۶)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",155744,deoband,عقائد و  ایمانیات,فرق باطلہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/false-sects/155594,سود کے پیسے کو ٹیکس استعمال کرنا,مفتی صاحب، میرے بینک کھاتے میں جو تنخواہ آتی ہے اور وہ پیسے بینک میں ہی رہتے ہیں جس پر کچھ سود کا پیسہ بڑھ جاتا ہے ، کیا اس پیسے کو انکم ٹیکس میں استعمال کرسکتے ہیں کیوں کہ ہمیں سال کے حکم پر ٹیکس دینا ہوتا ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:97-31/sn=3/1439</span></p><p dir=""RTL"">
	اگر آپ کا کھاتا سرکاری بینک میں ہے تو اس سے اپنی رقم پر حاصل شدہ سود کی رقم ”انکم ٹیکس“ میں دینے کی گنجائش ہے۔&nbsp;</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",155594,deoband,عقائد و  ایمانیات,فرق باطلہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/false-sects/155493,بچوں کی اچھی پرورش کرنے کیلئے بچوں پیدائش روکنا ؟,بچوں کی پرورش اچھی طرح سے ہو، اس نیت سے بچوں کی پیدائش کے درمیان وقفہ کرنے کیلئے کسی بھی طرح سے بچوں کی پیدائش روکنا جائز ہے ؟ یعنی ایک بچہ کے درمیان ایک سے دو سال کا وقفہ ہو اس کے بعد دوسرا بچہ ہو؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:79-39/sn=3/1439</span></p><p dir=""RTL"">
	مذکور فی السوال مقصد کے تحت عارضی تبدابیر تدابیر مثلاً کنڈوم، عزل وغیرہ کے ذریعے ایک دو سال کا وقفہ کرنے کی شرعاً گنجائش ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",155493,deoband,عقائد و  ایمانیات,فرق باطلہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/false-sects/155450,بڑا لڑكا جو تنخواہ حاصل کرتا ہے اس کا مالک كون ہے؟,کیفیت : ایک خاندان ہے جس میں ایک ماں اور چار لڑکے اور ایک لڑکی ہے ۔ سن 2000 میں والد کا انتقال ہوگیا تھا ۔والد صاحب سرکاری ملازم تھے ۔اس وقت 2 بڑے لڑکے مدرسے میں تھے ۔بڑے لڑکے کا عالمیت مکمّل ہو چکا تھا ۔اور دوسرے نمبر کے لڑکے کی تعلیم جاری تھی ۔ اور باقی کے تین بچوں کی عصری تعلیم جاری تھی ۔ والدہ نے یہ سوچ کر کہ بڑا لڑکا علم والا ہے ،اور گھر کا بڑا بھی ہے ، اور امام بھی ہے ، بڑے لڑکے کو والد کی جگہ ملازمت کی اجازت دے دی ،لیکن اس بات کا قرار نہیں کیا کے تو والد کی جگہ پر لگا ہے اس لیے تجھے گھر میں خرچ دینا ہوگا ۔ کچھ سال بعد تین بھائیو ں کی اور بہن کی شادی ہو جاتی ہے ۔اور تیسرا لڑکا اعلی تعلیم حاصل کرنے کے بعد کانٹرکٹ پر ملازمت کرتا ہے ۔حالانکہ اس کے پاس قابلیت بڑے بھائی کی بنسبت زیادہ ہے ۔لیکن بڑا بھائی والد کی جگہ لگنے پرمستقل ہے اور تنخواہ میں بھی زیادہ ہے ۔کچھ سال بعد تینوں بھائیوں کو اولاد ہو جاتی ہے ۔ اس کے بعد بڑا لڑکا جو گھر خرچ دیا کرتا تھا اس میں کمی کر دیتا ہے ۔ اور وقت کے ساتھ ساتھ وہ گھر میں، یہ کہہ کر کے مجھ پر اب میری اولاد اور بیوی کی زمہ داری ہے لہذا وہ والدہ کو پیسے دینے سے انکار کر دیتا ہے ۔والدہ اس سے یہ کہہ کر کے تو اپنی زاتی صلاحیت کی بنیاد پر نہیں بلکہ تو اپنے والد کی جگہ ملازمت کرتا ہے حالانکہ تجھ سے زیادہ صلاحیت چھوٹے بھائی میں ہے لیکن وہ مستقل ملازم نہیں ہے ، لہٰذا تجھے سب سے چھوٹے لڑکے کی شادی تک کہ خرچہ دینا ہوگا ۔ سوال :ماں کا بڑے لڑکے سے خرچ کے بارے میں سوال کرنا شرعاً جائز ہے یا نہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:134-108/H=3/1439</span></p><p dir=""RTL"">
	بڑا لڑکا اپنی ملازمت پر کارہائے مفوضہ انجام دے کر جو تنخواہ حاصل کرتا ہے اس کا مالک وہ خود ہی ہے والدہ یا بھائی بہن کا اس میں مالکانہ کچھ حق وحصہ نہیں پس صورت مسئولہ میں والدہ کا مطالبہ درست نہیں، البتہ بڑا بیٹا اپنے خرچہ میں سے کچھ تنگی ترشی برداشت کرکے بچاکر والدہ کی مالی خدمت کرتا رہے تو اس کے حق میں موجب سعات اور دنیا وآخرت میں خیر اور برکات کا سبب ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",155450,deoband,عقائد و  ایمانیات,فرق باطلہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/false-sects/153560,شکیل بن حنیف کے ماننے والوں کو سلام کا جواب دینا,کیا ہم ان لوگوں کے سلام کا جواب دے سکتے ہیں جو شکیل بن حنیف لعنت اللہ کے جھوٹ پر یقین رکھتے ہیں؟ کیسے ہمیں اس طرح کے لوگوں (قادیانی، شکیلی، دین دار انجمن، منکر حدیث)کے ساتھ کیسے پیش آنا چاہئے؟ یعنی ان سے دوستی کرنا،ان کی تقریبات میں شریک ہونا یا ان کے ساتھ بزنس پارٹنر ہونا؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa: </span>1235-1162<span dir=""LTR"">/sd=</span>11/1438</p><p dir=""RTL"">
	شکیل بن حنیف اپنے عقائد کی وجہ سے کافر مرتد اور دائرہ اسلام سے خارج ہے اور جو لوگ اس کو سچا مان کر اسے امام مہدی اور مسیح موعود عیسی علیہ السلام مانتے ہیں یا اس عقیدہ پر اُس کے ہاتھ پر بیعت ہوتے ہیں، وہ بھی بلا شبہہ کافرو مرتد اور دائرہ اسلام سے خارج ہیں ، ایسے لوگوں سے تعلقات ترک کرنا ، اُن سے معاملات اور معاشرت میں دوری اور کنارہ کشی اختیار کرنا ضروری ہے ، ایسے لوگ اگر سلام کریں، تو ان کے جواب میں ہداک اللہ کہدینا چاہیے ۔ شکیل بن حنیف کے سلسلے میں دار العلوم دیوبند کا مفصل و مدلل فتوی دار العلوم کی ویب سائٹ پر موجود ہے ، ملا حظہ فرمالیا جائے ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",153560,deoband,عقائد و  ایمانیات,فرق باطلہ
