issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,kitab,bab,fasal
05-06-2024,https://www.banuri.edu.pk/readquestion/umra-anialgair-ki-surat-mai-hlq-ia-qsar-ks-par-lazm-owga-144511102608/05-06-2024,عمرہ عن الغیر کی صورت میں حلق یا قصر کس پر لازم ہوگا؟,اگر آپ کی جگہ کوئی عمرہ کرےتوکیا یہ عمرہ اداہوتا ہے؟ اور اگر  ہوتا ہے تو کیا جس کے لیے کیا جائے،اس کو اپنا سر منڈوانا چاہیے؟,"<p><p style=""text-align:justify;"">اگرایک شخص کسی دوسرے کی جگہ عمرہ ادا کرتا  ہے تو اس کا ثواب اس دوسرے شخص کو  ملے گا  جس کی جانب سے عمرہ ادا کیاگیا ہے۔</p><p style=""text-align:justify;"">نیز یہ بھی واضح رہے  کہ  عمرے  کے  بعد دوسرے  کی  طرف سےعمرہ  اداکرنے والے پرہی  بال کاٹنا  یا سر منڈوانا لازم ہے ،نہ کہ اس پر جس  کی  طرف سے عمرہ ادا کیا جا رہا ہے ۔</p><p style=""text-align:justify;"">البحرالرائق میں ہے :</p><p class=""indent"" style=""text-align:justify;""><span class=""ar_writing"">""والأصل فيه أن الإنسان له أن يجعل ثواب عمله لغيره صلاة أو صوما أو صدقة أو قراءة قرآن أو ذكرا أو طوافا أو حجا أو عمرة أو غير ذلك عند أصحابنا للكتاب والسنة.""</span></p><p class=""indent"" style=""text-align:left;""><span class=""ar_writing"">( البحرالرائق، باب الحج عن الغیر، 63/3، ط: دارالمعرفة بیروت )</span></p><p class=""indent"" style=""text-align:left;"">فقط واللہ اعلم</p></p>",144511102608,banuri,"('حج', 'haj')","('حج / عمرہ', 'hajj-umrah')","('عمرہ ، فرائض ، واجبات اور سنن', 'umrah-faraidh-wajibat-or-sunan')"
20-05-2024,https://www.banuri.edu.pk/readquestion/aik-kaan-wale-janwar-ki-qurbani-ka-hukam-144511101131/20-05-2024,ایک کان والے جانور کی قربانی کا حکم,کیا ایک کان والے جانور کی قربانی جائز ہے؟,"<p><p style=""text-align:justify;"">صورت ِ مسئولہ میں ایک کان والے جانور کی قربانی جائز نہیں ہے ۔</p><p style=""text-align:justify;"">فتاوی ہندیہ میں ہے :</p><p class=""indent"" style=""text-align:justify;""><span class=""ar_writing"">""ولا تجوز العمياء والعوراء البين عورها، والعرجاء البين عرجها وهي التي لا تقدر أن تمشي برجلها إلى المنسك، والمريضة البين مرضها، <span style=""text-decoration:underline;"">ومقطوعة الأذنين والألية والذنب بالكلية، والتي لا أذن لها في الخلقة، وتجزئ السكاء وهي صغيرة الأذن فلا تجوز مقطوعة إحدى الأذنين بكمالها والتي لها إذن  واحدة خلقة.""</span></span></p><p class=""indent"" style=""text-align:left;""><span class=""ar_writing"">(کتاب الاضحیۃ،الباب الخامس فی بیان محل اقامۃ الواجب،ج:5،ص:297،دارالفکر)</span></p><p class=""indent"" style=""text-align:left;"">فقط واللہ اعلم </p></p>",144511101131,banuri,"('قربانی', 'uzhiyah')","('قربانی کا جانور', 'udhiya-ka-janwar')","('قربانی کے جانور میں عیب', 'qurbani-ke-janwar-men-aib')"
06-06-2024,https://www.banuri.edu.pk/readquestion/pardaisi-shakhad-kay-liy-qurbani-ka-hukan-144511102762/06-06-2024,پردیسی شخص کے لیے قربانی کا حکم,جس بندے پہ قربانی واجب ہو نصاب کے بقدر نقد روپے یا مال موجود ہو لیکن بندہ خود پردیس میں ہو، اور مال یا پیسے وغیرہ اپنے وطن میں ہوں، اور گھر میں کوئی ایسا فرد موجود نہ ہو جو اس کی قربانی کر سکے تو پھر وہ بندہ کیا کرے گا؟,"<p><p style=""text-align:justify;"">واضح رہےکہ  قربانی ہر اُس عاقل ، بالغ ، مقیم، مسلمان، مرد اور عورت پر واجب ہے جو   عید الاضحٰی کے ایام میں نصاب کا مالک  ہو۔</p><p style=""text-align:justify;"">لہٰذا صورتِ مسئولہ میں پردیس میں مقیم شخص صاحبِ نصاب ہے تو  اس  پر قربانی کرنا واجب ہے،اب اگر جہاں رہائش پذیر ہے وہاں قربانی  کی ترتیب بن سکے تو  وہاں قربانی کرے،  ورنہ اپنے وطن میں قربانی کرنے کی ترتیب بنائے،گھر کے افراد میں اگر کوئی ایسا شخص نہ ہو جو اس کی طرف سے قربانی کرسکے تو کسی جگہ اجتماعی قربانی میں ایک حصہ لےکر شریک ہوجائے۔</p><p style=""text-align:justify;"">بہرِ صورت مقیم اور مالدار  ہونے کی صورت میں اس پر قربانی کرنا واجب ہے۔ </p><p style=""text-align:justify;"">تنویر الابصار  مع الدر المختار میں ہے :</p><p class=""indent"" style=""text-align:justify;""><span class=""ar_writing"">""و شرائطها: الإسلام و الإقامة و اليسار الذي يتعلق به) وجوب (صدقة الفطر) كما مر.""</span></p><p style=""text-align:justify;"">رد المحتار میں ہے :</p><p class=""indent"" style=""text-align:justify;""><span class=""ar_writing"">""(قوله: والإقامة) فالمسافر لا تجب عليه وإن تطوع بها أجزأته عنها وهذا إذا سافر قبل الشراء، فإن المشتري شاة لها ثم سافر ففي المنتقى أنه يبيعها ولا يضحي بها أي لا يجب عليه ذلك، وكذا روي عن محمد. ومن المشايخ من فصل فقال: إن كان موسرا لا يجب عليه وإلا ينبغي أن يجب عليه ولا تسقط بسفره، وإن سافر بعد دخول الوقت قالوا ينبغي أن يكون الجواب كذلك اهـ ط عن الهندية ومثله في البدائع.""</span></p><p class=""indent"" style=""text-align:left;""><span class=""ar_writing"">(‌‌كتاب الأضحية ، ج : 6 ، ص : 312 ، ط : سعید)</span></p><p style=""text-align:justify;"">البحر الرائق میں ہے :</p><p class=""indent"" style=""text-align:justify;""><span class=""ar_writing"">""ولها شرائط وجوب وشرائط أداء وصفة فالأول كونه مقيما موسرا من أهل الأمصار والقرى والبوادي والإسلام شرط.""</span></p><p class=""indent"" style=""text-align:left;""><span class=""ar_writing"">(‌‌كتاب الأضحية  ، ج : 8 ، ص : 197 ، ط : دار الكتاب الإسلامي)</span></p><p style=""text-align:justify;"">بدائع الصنائع میں  ہے :</p><p class=""indent"" style=""text-align:justify;""><span class=""ar_writing"">""(ومنها) ‌أنه ‌تجزئ ‌فيها ‌النيابة ‌فيجوز للإنسان أن يضحي بنفسه وبغيره بإذنه؛ لأنها قربة تتعلق بالمال فتجزئ فيها النيابة كأداء الزكاة وصدقة الفطر؛ ولأن كل أحد لا يقدر على مباشرة الذبح بنفسه خصوصا النساء، فلو لم تجز الاستنابة لأدى إلى الحرج.""</span></p><p class=""indent"" style=""text-align:left;""><span class=""ar_writing"">(كتاب التضحية ، فصل في أنواع كيفية الوجوب ، ج : 6 ، ص : 291 ، ط : دار الکتب العلمیة)</span></p><p class=""indent"" style=""text-align:left;"">فقط واللہ اعلم</p></p>",144511102762,banuri,"('قربانی', 'uzhiyah')","('قربانی کا وجوب', 'qurbani-ka-wujoob')","('قربانی کی شرائط، ارکان و احکام', 'qurbani-ki-sharaet-arkaan-o-ahkaam')"
02-04-2024,https://www.banuri.edu.pk/readquestion/awrat-kay-traweeh-parhanay-ka-hukam-144509102312/02-04-2024,عورت كے تراويح پڑهانے كا حكم,کیا عورت تراویح پڑھا سکتی ہے؟,"<p><p style=""text-align:justify;"">عورتوں کی نماز  جماعت کے ساتھ مکروہ ہے،خواہ وہ تراویح کی ہو یا دوسری نمازوں کی ہو،لہذا عورتوں کو  الگ الگ نمازپڑھنا چاہیے ۔</p><p style=""text-align:justify;"">فتاوی شامی میں ہے:</p><p class=""indent"" style=""text-align:justify;""><span class=""ar_writing"">""(و) يكره تحريما (جماعة النساء) ولو التراويح ... قوله: و لو في التراويح) أفاد أن الكراهة في كل ما تشرع فيه جماعة الرجال فرضًا أو نفلًا"".</span></p><p class=""indent"" style=""text-align:left;""><span class=""ar_writing"">(كتاب الصلاة، باب الإمامة، ج:1، ص:565، ط: سعيد)</span></p><p class=""indent"" style=""text-align:left;"">فقط و  اللہ اعلم</p></p>",144509102312,banuri,"('نماز', 'salat')","('امامت کا بیان', 'imamat')","('نیابتِ امام', 'niyabat-e-imam')"
23-05-2024,https://www.banuri.edu.pk/readquestion/haij-ky-painch-dinoun-mien-chamrey-ky-japal-ka-istimal-karny-ka-hukam-144511101429/23-05-2024,حج کے پانچ دنوں میں چمڑے کے چپل استعمال کرنے کا حکم,حج کے پانچ دنوں میں کیا چمڑے کے چپل استعمال کر سکتےہیں؟ اگر نہیں تو کیسے ہونے چاہئیں؟,"<p><p style=""text-align:justify;"">صورتِ  مسئولہ میں اگر چمڑے کے جوتے ایسے ہوں  جو ٹخنوں اور پیروں کے بیچ کی ابھری ہوئی ہڈی کو نہ چھپاتے ہوں، ان کا پہننا درست ہے، اگر ابھری ہوئی ہڈی چھپ جاتی ہو تو پہننا جائز نہیں ہے،لہذا اگر ایک دن یا ایک رات  ایسی چپل پہنی  رکھی ،جس میں ابھری ہوئی ہڈی ڈھکی ہوئی تھی، تو ایک دم واجب ہوگا اور اگر ایک دن یا ایک رات سے  کم ایسی چپل پہنی، تو صدقہ لازم ہوگا اور اگر ایک گھنٹہ سے کم پہنا تو ایک دو مٹھی گیہوں یا اس کی قیمت کا صدقہ واجب ہوگا۔</p><p style=""text-align:justify;"">حج کے پانچ دنوں میں ہوائی چپل استعمال کرنازیادہ بہتر ہے۔</p><p style=""text-align:justify;"">فتاوی شامی میں ہے:</p><p class=""indent"" style=""text-align:justify;""><span class=""ar_writing"">""(وخفين إلا أن لا يجد نعلين فيقطعهما أسفل من الكعبين) عند معقد الشراك.(قوله وخفين) أي للرجال فإن المرأة تلبس المخيط والخفين كما في قاضي خان قهستاني.""</span></p><p class=""indent"" style=""text-align:left;""><span class=""ar_writing"">(کتاب الحج، ج: 2، ص: 490،ط:سعید)</span></p><p style=""text-align:justify;"">درر الحكام شرح غرر الأحكام میں ہے:</p><p class=""indent"" style=""text-align:justify;""><span class=""ar_writing"">""(قوله: فيقطع أسفل من الكعبين) المراد بالكعب هنا المفصل الذي في وسط القدم ‌عند ‌معقد ‌الشراك فيجوز لبس كل شيء في رجله لا يغطي الكعب سرموزة كانت أو مداسًا أو غير ذلك.""</span></p><p class=""indent"" style=""text-align:left;""><span class=""ar_writing"">(کتاب الحج،ج:1،ص:222،ط:دار إحياء الكتب العربية)</span></p><p style=""text-align:justify;"">مناسک ملا  علی قاری میں ہے:</p><p class=""indent"" style=""text-align:justify;""><span class=""ar_writing"">""فإذا لبس مخيطاً يوماً كاملاً أو ليلةً كاملةً فعليه دم، و في أقل من يوم أوليلة  صدقة و كذا لو لبس ساعة فصدقة و في أقل من ساعة قبضة من بر.""</span></p><p class=""indent"" style=""text-align:left;""><span class=""ar_writing"">(باب الجنایات ،ج:1،ص:424۔426، ط: الأمدادیة، مکة المکرمة)</span></p><p class=""indent"" style=""text-align:left;"">فقط واللہ اعلم</p></p>",144511101429,banuri,"('حج', 'haj')","('جنایات', 'jinaayaat')","('جنایت کا دم اور صدقات', 'jinaayaat-ka-dam-or-sadaqaat')"
04-06-2024,https://www.banuri.edu.pk/readquestion/muhammad-aahil-naam-rakna-144511102547/04-06-2024,محمد آہل نام رکھنا,"کیا مسلمان لڑکے کے لیے ""محمد آہل"" نام کا انتخاب کر سکتے ہے؟","<p><p style=""text-align:justify;"">"" آہِل""  کا معنی ہے:  (1)مانوس  (2) کنبہ دار ، (3) آباد  (4)گھریلو جانور اور پالتو جانور</p><p class=""indent"" style=""text-align:left;"">(القاموس الوحید، المادہ: ا، ہ، ل، ص:140، ط:ادارۂ اسلامیات)</p><p style=""text-align:justify;""> محمد آہل نام رکھناابتدائی  تین معنوں کے لحاظ سے  صحیح  ہے لیکن ایک معنی کے لحاظ سے رکھنا صحیح نہیں لہذا بہتر یہ ہے،کہ مذکورہ نام کے بجائے انبیاء کرام ،صحابہ عظام  یا بزرگان دین کے نام پر نام رکھا جائے ، اس میں برکت ہوگی۔یا کوئی اور اچھی نسبت اور اچھے معنی واے نام کا انتخاب کیا جائے ۔</p><p style=""text-align:justify;"">الصحاح تاج اللغة وصحاح العربية میں ہے:</p><p class=""indent"" style=""text-align:justify;""><span class=""ar_writing"">'قال الكسائي: أهلت بالرجل، إذا آنست به.""</span></p><p class=""indent"" style=""text-align:left;""><span class=""ar_writing"">(‌‌باب اللام: ‌‌فصل الالف، أهل، 1629/4، ط: دار العلم للملايين)</span></p><p style=""text-align:justify;"">القاموس المحیط میں ہے:</p><p class=""indent"" style=""text-align:justify;""><span class=""ar_writing"">""أهل الرجل: عشيرته، وذوو قرباه...وأهل به تأهيلا: قال له ذلك. وكفرح: أنس.""</span></p><p class=""indent"" style=""text-align:left;""><span class=""ar_writing"">(باب اللام، ‌‌فصل الهمزة، ص: 953، ط: مؤسسة الرسالة للطباعة والنشر والتوزيع)</span></p><p class=""indent"" style=""text-align:left;""><span class=""ar_writing"">فقط واللہ اعلم</span></p></p>",144511102547,banuri,"('حقوق و آدابِ معاشرت', 'huqooq-muashret')","('حقوق', 'bahmi-huqooq')","('اولاد کے حقوق', 'olad-ky-hoqoq')"
06-07-2021,https://www.banuri.edu.pk/readquestion/qurbani-ki-janwr-ki-rasi-khenchny-ki-waja-se-natny-phtny-ky-bd-qurbani-ka-hukm-144211201354/06-07-2021,قربانی کی جانور کی ناک کی رسی کھینچنے کی وجہ سے نتھنے پٹھنے کے بعد قربانی کا حکم,کچھ لوگوں نے ایک بیل خریدا قربانی کے لیے ،آج اس کی ناک کی رسی کھینچی تو نتھنے پھٹ گئے،  اب آیا اس کی قربانی کرسکتے ہیں یا نہیں ؟اور اگر اس پر ٹانکے لگا دیے جائیں تو پھر قربانی کا کیا حکم ہوگا ۔جلدی جواب ارسال فرما دیں؟,"<p><p style=""text-align:justify;"">بصورتِ مسئولہ قربانی کے جانور کی ناک کی رسی کھینچنے سے ناک کے نتھنے  اگر  ایسے  پھٹے ہوں  کہ جس کی وجہ سے اس کا جمال  مکمل ختم ہو گیا ہو تو  اس صورت میں اس جانور کی قربانی جائز نہیں ہوگی، تاہم اگر نتھنے پٹھنے کی وجہ سے جانور کی خوبصورتی مکمل زائل نہیں ہوئی،  بلکہ معمولی زخم وغیرہ پڑگئے، تو ایسے جانور کو زخم پڑنے کے بعد ٹانکے وغیرہ لگانے سے قربانی ہوجائےگی۔</p><p style=""text-align:justify;"">فتاوی عالمگیری (الفتاوى الهندية ) میں ہے:</p><p class=""indent"" style=""text-align:justify;""><span class=""ar_writing"">""ومن المشايخ من يذكر لهذا الفصل أصلا ويقول: كل عيب يزيل المنفعة على الكمال أو الجمال على الكمال يمنع الأضحية، وما لا يكون بهذه الصفة لا يمنع، ثم كل عيب يمنع الأضحية ففي حق الموسر يستوي أن يشتريها كذلك أو يشتريها وهي سليمة فصارت معيبة بذلك العيب لا تجوز على كل حال، وفي حق المعسر تجوز على كل حال، كذا في المحيط.""</span></p><p class=""indent"" dir=""ltr"" style=""text-align:justify;""><span class=""ar_writing"">(کتاب الاضحیۃ، الباب الخامس في بيان محل إقامة الواجب، ج:5، ص:299، ط:مکتبہ رشیدیہ)</span></p><p class=""indent"" dir=""ltr"" style=""text-align:justify;"">فقط واللہ اعلم</p></p>",144211201354,banuri,"('قربانی', 'uzhiyah')","('قربانی کا جانور', 'udhiya-ka-janwar')","('قربانی کے جانور میں عیب', 'qurbani-ke-janwar-men-aib')"
08-06-2024,https://www.banuri.edu.pk/readquestion/paidaishi-dum-kate-janwar-ki-qurbani-ka-hukam-144512100117/08-06-2024,پیدائشی دم کٹے جانور کی قربانی کا حکم,پیدائشی طور پر بغیر دم والے جانور کی قربانی کاکیا  حکم ہے؟,"<p><p style=""text-align:justify;"">صورت ِ مسئولہ میں پیدائشی طور پر بغیر دم والے جانور کی قربانی جائز نہیں ہے ۔</p><p style=""text-align:justify;"">بدائع الصنائع میں ہے :</p><p class=""indent"" style=""text-align:justify;""><span class=""ar_writing"">""وأما الذي يرجع إلى محل التضحية فنوعان: أحدهما: سلامة المحل عن العيوب الفاحشة؛ فلا تجوز العمياء ولا العوراء البين عورها والعرجاء البين عرجها وهي التي لا تقدر تمشي برجلها إلى المنسك، والمريضة البين مرضها والعجفاء التي لا تنقي وهي المهزولة التي لا نقي لها وهو المخ، ومقطوعة الأذن والألية بالكلية، والتي لا أذن لها في الخلقة.""</span></p><p class=""indent"" style=""text-align:left;"">(کتاب التضحیۃ،فصل فی شرائط جواز اقامۃ الواجب فی الاضحیۃ،ج:5،ص:75،دارالکتب العلمیۃ)</p><p class=""indent"" style=""text-align:left;"">فقط واللہ اعلم</p></p>",144512100117,banuri,"('قربانی', 'uzhiyah')","('قربانی کا جانور', 'udhiya-ka-janwar')","('قربانی کے جانور میں عیب', 'qurbani-ke-janwar-men-aib')"
08-06-2024,https://www.banuri.edu.pk/readquestion/sales-tax-invoice-baichne-ka-hukam-144512100112/08-06-2024,سیلز ٹیکس انوائس بیچنے کا حکم,ہم اپنے مال کی امپورٹ کرتے ہیں،ہمارے پاس سیلز ٹیکس کی انوائس ہوتی ہے،عموماً یہ انوائس مارکیٹ میں 3-5 فیصد میں بکتی ہےیعنی ایک لاکھ کی اگر کوئی  انوائس لےتو اسے 3 ہزار سے 5 ہزار ادا کرنے ہوتے ہیں  ہم  لوگ کسی کو بلا معاوضہ دیتے ہیں اور کبھی کسی سے ایک لاکھ پر 1 ہزار لیتے ہیں تو کیا یہ 1 ہزار روپے لینا مناسب ہے؟,"<p><p style=""text-align:justify;"">صورت مسئولہ میں  سیلز ٹیکس انوائس کی رسید شرعا مال نہیں ہے بلکہ ایک کاغذ کا ٹکڑا ہے جو قانونی ضرورت کو پورا کرنے کے لیے بنایا جاتا ہے ؛لہذا اس رسید کی خرید و فروخت شرعًا  ناجائز ہے اور  اس خرید و فروخت سے حاصل ہونے والی آمدنی شرعًا حلال نہیں ہے۔</p><p style=""text-align:justify;"">بدائع الصنائع میں  میں ہے:</p><p class=""indent"" style=""text-align:justify;""><span class=""ar_writing"">""(ومنها) أن يكون مالا لأن البيع مبادلة المال بالمال.""</span></p><p style=""text-align:justify;""> </p><p class=""indent"" style=""text-align:left;"">(کتاب البیوع، فصل فی  الشرط الذی یرجع  الی المعقود علیہ ج:5 ،ص:140، دار الکتب العلمیۃ)</p><p style=""text-align:justify;"">فتاوی شامی میں ہے:</p><p class=""indent"" style=""text-align:justify;""><span class=""ar_writing"">""(بطل بيع ما ليس بمال) والمال ما ‌يميل ‌إليه ‌الطبع ويجري فيه البذل والمنع درر فخرج التراب ونحوه (كالدم) المسفوح فجاز بيع كبد وطحال (والميتة) سوى سمك وجراد</span></p><p class=""indent"" style=""text-align:justify;""><span class=""ar_writing"">(قوله بطل بيع ما ليس بمال) أي ما ليس بمال في سائر الأديان بقرينة قوله: والبيع به فإن ما يبطل سواء كان مبيعا أو ثمنا ما ليس بمال أصلا بخلاف نحو الخمر فإن بيعه باطل إذا تعين كونه مبيعا، أما لو أمكن اعتباره ثمنا فبيعه فاسد كما علمته من الضابط المذكور آنفا؛ لأن البيع وإن كان مبناه على البدلين لكن الأصل فيه المبيع دون الثمن ولذا ينفسخ البيع بهلاك المبيع دون الثمن، ولأن الثمن غير مقصود بل هو وسيلة إلى المقصود وهو الانتفاع بالأعيان.""</span></p><p class=""indent"" style=""text-align:left;"">(کتاب البیوع، باب البیع الفاسد :5، ص:50، ایچ ایم سعید)</p><p style=""text-align:justify;"">فتاوی شامی میں ہے:</p><p class=""indent"" style=""text-align:justify;""><span class=""ar_writing"">""قوله والمال) أي من حيث هو لا المذكور قبله؛ لأن التعريف المذكور يدخل فيه الخمر فهي مال، وإن لم تكن متقومة، ولذا قال بعده: وبطل بيع مال غير متقوم كخمر وخنزير فإن المتقوم هو المال المباح الانتفاع به شرعا وقدمنا أول البيوع تعريف المال بما يميل إليه الطبع ويمكن ادخاره لوقت الحاجة، وأنه خرج بالادخار، المنفعة فهي ملك لا مال؛ لأن الملك ما من شأنه أن يتصرف فيه بوصف الاختصاص كما في التلويح، فالأولى ما في الدرر من قوله المال موجود يميل إليه الطبع إلخ فإنه يخرج بالموجود المنفعة فافهم.""</span></p><p class=""indent"" style=""text-align:left;"">(کتاب البیوع، باب البیع الفاسد :5،ص:50، ایچ ایم سعید)</p><p style=""text-align:justify;"">فتاوی شامی میں ہے:</p><p class=""indent"" style=""text-align:justify;""><span class=""ar_writing"">""بيع البراءات التي يكتبها الديوان على العمال لا يصح بخلاف بيع حظوظ الأئمة»</span></p><p class=""indent"" style=""text-align:justify;""><span class=""ar_writing"">(قوله: بيع البراءات) جمع براءة وهي الأوراق التي يكتبها كتاب الديوان على العاملين على البلاد بحظ كعطاء أو على الأكارين بقدر ما عليهم وسميت براءة؛ لأنه يبرأ بدفع ما فيها ط. (قوله: بخلاف بيع حظوظ الأئمة) بالحاء المهملة والظاء المشالة جمع حظ، بمعنى: النصيب المرتب له من الوقف أي فإنه يجوز بيعه، وهذا مخالف لما في الصيرفية فإن مؤلفها سئل عن بيع الحظ فأجاب لا يجوز، ط عن حاشية الأشباه قلت: وعبارة الصيرفية هكذا سئل عن بيع الخط قال: لا يجوز؛ لأنه لا يخلو إما إن باع ما فيه أو عين الخط لا وجه للأول؛ لأنه بيع ما ليس عنده ولا وجه للثاني؛ لأن هذا القدر من الكاغد ليس متقوما بخلاف البراءة؛ لأن هذه الكاغدة متقومة.""</span></p><p class=""indent"" style=""text-align:left;"">(کتاب البیوع، ج :4،ص:516،ایچ ایم سعید)</p><p class=""indent"" style=""text-align:left;"">فقط واللہ اعلم </p></p>",144512100112,banuri,"('بیوع', 'buyoo')","('بیع فاسد و باطل', 'bayee-faased-o-baatil')","('بیع باطل اور اس کا حکم', 'bayee-baatil')"
04-06-2024,https://www.banuri.edu.pk/readquestion/shadi-hool-ko-kraye-par-banay-ka-hukhm-144511102568/04-06-2024,شادی ہال کوکرایہ پردیناکیساہے؟,اگر کوئی شخص کسی بینکویٹ کا مالک ہے اور لوگ اپنی تقریبات وغیرہ کے لیے اسکا بینکویٹ کرایہ پر لیتے ہیں اور پھر خلاف شرع کام کرتے ہیں مثال کے طور پر ناچ گانا، مرد و زن کا اختلاط وغیرہ... تو کیا بینکویٹ کا مالک گناہ گار ہوگا؟... کیا بینکویٹ کے مالک کی کمائی جائز ہوگی؟,"<p><p style=""text-align:justify;"">صورت  مسئولہ میں اگربینکویٹ کا مالک ہال کرایہ پرلینےوالوں کےساتھ کسی بھی صورت میں گناہ کےکام پرمددکرےمثلاًمیوزک کے آلات فراہم کرے،یاویڈیوں تصاویرکےلیے آلات فراہم کرے،یاہال کواس طورپرسجائے کہ اس میں مردوزن اکٹھےہوجائیں اورمخلوط ماحول بنے،اسی طرح اگرہال کےمالک کوکرایہ پہ لینےوالوں کےبارےمیں غالب گمان یہ ہوکہ  وہ لوگ ہال میں خرافات کریں گے، ناجائز امورکاارتکاب کریں گے،پھربھی مالک ان کوہال کرایہ پردےگا،ان تمام صورتوں میں گناہ کےکام پرتعاون کرنےکی وجہ سےہال کامالک بھی گناہ گارہوگا۔</p><p class=""indent""><span class=""qr_writing"">""وَلَا تَعَاوَنُوْا عَلَى الْاِثْـمِ وَالْعُدْوَانِ ۚ وَاتَّقُوا اللّـٰهَ ۖ اِنَّ اللّـٰهَ شَدِيْدُ الْعِقَابِٗ""(المائدة،آية:2)</span></p><p class=""indent""><span class=""qr_writing""><span style=""font-family:Nafees,sans-serif;font-weight:400;"">ترجمہ:اورگناہ اورزیادتی میں ایک  دوسرےکی اعانت مت کرو،اوراللہ سےڈراکرو،بلاشبہ اللہ سخت سزادینےوالےہیں۔(بیان القرآن)۔</span></span></p><p>المحیط البرہانی میں ہے:</p><p class=""indent"" style=""text-align:justify;""><span class=""ar_writing"">""وإذا استأجر الذمي من المسلم ‌دارا ليسكنها فلا بأس بذلك؛ لأن الإجارة وقعت على أمر مباح فجازت وإن شرب فيها الخمر أو عبد فيها الصليب أو أدخل فيها الخنازير، <span style=""text-decoration:underline;"">لم يلحق المسلم في ذلك شيء لأن المسلم لم يؤاجر لها إنما يؤاجر للسكنى، وكان بمنزلة ما لو أجر ‌دارا من ‌فاسق كان مباحا، وإن كان ‌يعصي فيها،</span> ولو اتخذ فيها بيعة أو كنيسة أو بيت نار يمكن من ذلك إن كان في السواد.</span></p><p class=""indent"" style=""text-align:justify;""><span class=""ar_writing"">قال شيخ الإسلام رحمه الله: وأراد بهذا إذا استأجرها الذمي ليسكنها، ثم أراد بعد ذلك أن يتخذ كنيسة أو بيعة فيها، فأما إذا استأجرها في الابتداء ليتخذها بيعة أو كنيسة لا يجوز.""</span></p><p class=""indent"" style=""text-align:left;""><span class=""ar_writing"">(كتاب الإجارة،‌‌الفصل الخامس عشر: في بيان ما يجوز من الإجارات، وما لا يجوز،ج:7، ص:483، ط:دار الكتب العلمية)</span></p><p>درر الحکام  میں ہے:</p><p class=""indent"" style=""text-align:justify;""><span class=""ar_writing"">""إذا ‌اجتمع ‌المباشر ‌والمتسبب أضيف الحكم إلى المباشر هذه القاعدة مأخوذة من الأشباه. ويفهم منها أنه إذا اجتمع المباشر أي عامل الشيء وفاعله بالذات مع المتسبب وهو الفاعل للسبب المفضي لوقوع ذلك الشيء ولم يكن السبب ما يؤدي إلى النتيجة السيئة إذا هو لم يتبع بفعل فاعل آخر، يضاف الحكم الذي يترتب على الفعل إلى الفاعل المباشر دون المتسبب وبعبارة أخصر يقدم المباشر في الضمان عن المتسبب.</span></p><p class=""indent"" style=""text-align:justify;""><span class=""ar_writing"">تعريف المباشر - هو الذي يحصل التلف من فعله دون أن يتخلل بينه وبين التلف فعل فاعل آخر.""</span></p><p class=""indent"" style=""text-align:left;""><span class=""ar_writing"">([ ‌‌(المادة 90) ‌إذا ‌اجتمع ‌المباشر ‌والمتسبب أضيف الحكم إلى المباشر]،ج:1، ص:91، ط:دار الجيل)</span></p><p class=""indent"" style=""text-align:left;""><span class=""ar_writing"">فقط والله اعلم</span></p></p>",144511102568,banuri,"('اجارہ', 'ijaarah')","('مستاجر کے تصرفات', 'mustajir-ke-tasarrufaat')","('کرایہ دار کا تصرف کرنا', 'kiraya-dar-ka-tasarruf-karna')"
