issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
30-May-2022,https://darulifta-deoband.com/home/ur/islamic-beliefs/611970,كیا ایسی فلمیں دیكھنا كفر ہے جس میں مردہ كو زندہ كركے دكھایا گیا ہو ؟,سوال : فلمیں دیکھنا حرام ہے لیکن آج کل سائنس کے بارے میں کچھ فلمیں آتی ہیں جن میں وہ مستقبل میں جا کر ٹائم مشین کی مدد سے ماضی کو ٹھیک کر کے مردہ انسان کو زندہ کر دیتی ہیں۔ لیکن ہدایت کار فلموں کے تعارف میں یہ بھی لکھتے ہیں کہ یہ سب افسانہ ہے سچ نہیں۔ اور یہ فلمیں سائنس فکشن (حقیقی نہیں) کیٹیگری کے بارے میں ہیں۔ جسے ہم سب افسانہ بھی سمجھتے ہیں (حقیقی نہیں)۔ 1. کیا ایسی فلمیں دیکھ کر کوئی شخص کافر ہو جائے گا کیونکہ کوئی مردہ کو زندہ نہیں کر سکتا اور اس کے ماضی میں بھی نہیں جا سکتا تاکہ وہ اپنا مستقبل ٹھیک کر سکے۔ اور علاء الدین جیسی فلمیں بھی ہیں جن میں ایک جن ہے جو آپ کی تین خواہشات پوری کر سکتا ہے۔ کیا اس قسم کی فلمیں دیکھنا شرک ہے یا نہیں؟ لیکن، ہم اس قسم کی فلمیں صرف تفریح کے لیے دیکھتے ہیں، ہم سب جانتے ہیں کہ یہ سچ نہیں ہے اور حقیقی زندگی میں ایسا کبھی نہیں ہوگا۔ 2. تو ایسی فلمیں اگر ہم اس یقین کے ساتھ دیکھیں کہ یہ سب فلموں میں ہوتا ہے تو وہ کافر ہو جائے گا یا نہیں؟ اور دیکھنے والے بھی لطف اندوز ہوتے ہیں۔ لیکن صرف فلمی مقصد کے ساتھ۔ اور دیکھنے والوں کا کفر کا ارادہ نہیں ہوتا۔ میں نے سنا ہے کہ بندہ اسی وقت کافر ہوتا ہے جب وہ کفر اور عقیدہ کا ارادہ رکھتا ہو۔ لیکن جب ہم فلمیں دیکھتے ہیں تو ہمارا کفر کی نیت نہیں ہوتی اور یہ فلمیں مختلف ہوتی ہیں۔ فلموں میں وہ کچھ بھی کر سکتے ہیں لیکن ہم اسے صرف فلموں کی منطق کے طور پر قبول کرتے ہیں حقیقت نہیں۔ 'ایسا اصلی میں کہا ہو سکتا ہے یہ تو بس فلمو میں ہوتا ہے' یہ سوال بہت اہم ہے، آج کل تمام نوجوان اس طرح کی فلمیں دیکھتے ہیں۔ اس بارے میں آپ کی کیا رائے ہے کیونکہ فحش دیکھنا فلموں سے کہیں بہتر ہے۔ میرا اصل سوال یہ ہے کہ اس قسم کی فلمیں دیکھنے سے دیکھنے والا کافر ہو جاتا ہے یا نہیں جبکہ اس کی نیت اور عقیدہ نہیں ہوتا؟وہ اسے صرف فلموں کی طرح لیتا ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa: 1219-172T/B=10/1443</p><p>&nbsp;ایسی فلمیں دیكھنا كفر و شرك تو نہیں ہے‏، ایسی فلمیں دیكھنے سے دیكھنے والا مسلمان كافر نہ ہوگا‏، لیكن كمزور ایمان والے اگر ایسی فلمیں دیكھنے كے عادی ہوگئے تو ان كا عقیدہ كفر و شرك تك پہونچ جائے گا‏، اور بعد میں كافر ہی ہوجائے گا۔ كھیت كے پاس جب كوئی جانور گھاس چرتا ہے تو پھر كھیت میں ہی چرنے لگتا ہے۔ لہٰذا ایسی خطرناك فلموں كا دیكھنا ہرگز جائز نہیں‏، ایسی فلم سے دور رہنا چاہئے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",611970,deoband,عقائد و  ایمانیات,اسلامی عقائد
17-May-2022,https://darulifta-deoband.com/home/ur/islamic-beliefs/611694,انبیائے كرام سے مدد طلب كرنا درست ہے یا نہیں؟,سوال : کیا انبیاء کرام سے استغاثہ بعد از وفات جائز ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa: 1154-962/B=10/1443</p><p>&nbsp;اسلام میں اہل سنت والجماعۃ كا یہ عقیدہ ہے كہ غیر اللہ سے استغاثہ یعنی مدد مانگنا جائز نہیں۔ ان كے پردہ فرمانے كے بعد بھی جائز نہیں۔ صرف اللہ سے مدد مانگنی چاہئے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",611694,deoband,عقائد و  ایمانیات,اسلامی عقائد
28-Apr-2022,https://darulifta-deoband.com/home/ur/islamic-beliefs/611445,چاندی کی انگوٹھی میں مختلف پتھر لگواکر پہننا,سوال : محترم ومکرم، مرد کے لیے چاندی کی انگوٹھی میں مختلف پتھر مثلاً یاقوت ، نیلم، عقیق وغیرہ جڑواکر پہننا جائزہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa: 1113-828/M=09/1443</p><p>&nbsp;جی‏، گنجائش ہے۔ ولا يتختم إلا بالفضة لحصول الاستغناء بها فيحرم بغيرها كحجر وصحح السرخسي جواز اليشب والعقيق وعمّم ملاّخسرو (قوله وعمّم ملاخسرو) أي عمّم جواز التختم بسائر الأحجار الخ (درمختار مع الشامي)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",611445,deoband,عقائد و  ایمانیات,اسلامی عقائد
25-Apr-2022,https://darulifta-deoband.com/home/ur/islamic-beliefs/611349,عقائد و توحید كے موضوع پر كتاب,سوال : میں تعلیم سے ایک انجینئر ہوں اور اسلامی کتب ( اردو) کے مطالعہ کا شوق بھی رکھتا ہوں۔ مجھے ایسی کتاب کا تلاش ہے جس میں توحید باری تعالیٰ بالذات والصفا ت کے حوالے سے اہلسنت کے عقائد اور ان کے دلائل، اور توحید باری تعالیٰ بالذات والصفا ت کے حوالے سے فرق ضالہ کا رد بھی جمع کردیا گیا ہو۔ سوال یہ ہے کہ ایسی کتاب کا نام بتا دیجئے ۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa: 1096-819/M=09/1443</p><p>&nbsp;عقائد الاسلام (مؤلفہ: حضرت مولانا ادریس صاحب كاندھلوی رحمہ اللہ) اور كتاب التوحید (ترجمہ: حضرت مولانا عبدالخالق صاحب سنبھلی مرحوم‏، سابق نائب مہتمم دارالعلوم دیوبند) كا مطالعہ كرسكتے ہیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",611349,deoband,عقائد و  ایمانیات,اسلامی عقائد
24-Apr-2022,https://darulifta-deoband.com/home/ur/islamic-beliefs/611278,اسلامی میں بدشگونی كوئی چیزنہیں,"سوال : حضرت میں بہار کے ایک شہر میں رہتا ہوں- مجھے یہ معلوم ہے کہ شگون اور اپ شگون (بد شگون) پر ایمان رکھنا شرک ہے- اب سوال یہ ہے کہ میں نے اپنے بہت سارے رشتہ داروں اور علاقے کے لوگوں کو یہ کہتے ہوئے سنا ہے کہ فلاں چیز شگون ہے- اس کے بعد ہمارے علاقے میں لوگ جب کہیں شادی میں جاتے ہیں تو سلامی کے لفافے پر ایک روپیہ کا سکہ چپکا ہوتا ہے- جب پوچھو تو کہتے ہیں کہ 251 روپیہ, 501 روپیہ, 1101 روپیہ اسی طرح سلامی دی جاتی ہے اور یہ عمل تو ہمارے شہر کہ 99 فیصد لوگ کرتے ہیں اور مجھے اس بات کا علم ہے کہ یہ کفار کا عمل ہے اور وہ اسے 'شگون' قرار دیتے ہیں- اور تو اور اگر کسی کو پچاس ہزار روپیہ مہر دینا ہو تو وہ اس میں ایک ہزار روپے بڈھا دیتا ہے اور پھر اس عمل کو شگون کا نام ملتا ہے- داڑھی ٹوپی والے لوگوں کا بھی یہی حال ہے- برائے مہربانی یہ بتائیں کہ کیا میرے علاقے کے 99 فیصد لوگوں پر کفر کا فتوی لگے گا؟","<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa: 1042-880/B=09/1443</p><p>&nbsp;اسلامی میں بدشگون كوئی چیزنہیں۔ حدیث شریف میں آیا ہے: لَا عَدْوَي وَلَا طِيَرَةَ فِي الإسْلَامِ. اسلام نے اچھی یا بری فال لینے كو منع كردیا ہے‏، ایسا كرنا جائز نہیں ہے‏۔ یہ جاہلیت كے زمانہ كی رسموں میں سے ایك رسم ہے اسے ختم كرنا چاہئے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",611278,deoband,عقائد و  ایمانیات,اسلامی عقائد
13-Apr-2022,https://darulifta-deoband.com/home/ur/islamic-beliefs/611129,عیب چھپانے كے لیے ٹیٹو بنوانا؟,کیا عیب کو چھپانے کے لیے ٹیٹو بنوانا جائز ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa: 995-833/B=09/1443</p><p>&nbsp;جسم كے كسی حصہ پر عیب كو چھپانے كے لیے بھی ٹیٹو بنوانا شرعاً حرام اور گناہ كبیرہ ہے۔ ٹیٹو بنوانے والے پر اللہ كی لعنت آئی ہے جیسا كہ بخاری شریف میں حدیث ہے: عن ابن عمر عن النبي صلى الله عليه وسلم حيث قال: ""لعن الله الواصلة والمستوصلة والواشمة والمستوشمة"". كسی دوسرے ذریعہ عیب كو چھپانے كی كوشش كریں‏، ٹیٹو نہ بنوائیں‏‏، یہ حرام ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",611129,deoband,عقائد و  ایمانیات,اسلامی عقائد
31-Mar-2022,https://darulifta-deoband.com/home/ur/islamic-beliefs/610969,کیا نفل نماز یاروزہ كا ثواب مرحوم كو پہونچایا جاسكتا ہے ؟,"اُمید کرتا ہوں کہ مفتیانِ کرام خیریت سے ہوں گے، مسئلہ یہ پوچھنا ہے کہ مرحومین کے لیے جو نفل نماز پڑھی جاتی ہے تو اس نماز کے لیے کیسے نیّت کریں؟ میں اس طرح نیّت کرتا ہوں میری صحیح ہوتی ہے یا نہیں( میں نیّت کرتا ہوں میرے ابّا کو ثواب پہونچا نے کے لیے دو رکعت نفل نماز واسطے اللہ تعالیٰ کے رخ میرا کعبہ شریف کی طرف اللہُ اکبر ) تو کیا اس طرح نیّت کرنے سے مرحوم کو ثواب پہنچتی ہے یا نہیں؟
۲ -مرحومین کو ثواب پہونچا نے کے لیے نفل روزہ رکھا جا سکتا ہے یا نہیں؟
آپ سبھی حضرات سے میری درخواست ہے کہ آپ میرے والد صاحب کے لیے مغفرت کی دعاء کریں۔","<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa: 1190-899/L=8/1443</p><p>&nbsp;(۱، ۲) نفل نماز یاروزہ كا ثواب مرحوم كو پہونچایا جاسكتا ہے اور ثواب پہونچانے كا طریقہ یہ ہے كہ آپ یا تو شروع میں یہ دل میں ارادہ كرلیں كہ یا اللہ اس كا ثواب میرے والد مرحوم كو پہونچادے یا نماز پڑھنے كے بعد آپ یہ كہدیں كہ یا اللہ اس كا ثواب مرحوم كو پہونچادے ،اللہ تعالی آپ كے والد مرحوم كی مغفرت فرمائے۔</p><p>صرح علماؤنا في باب الحج عن الغير بأن للإنسان أن يجعل ثواب عمله لغيره صلاة أو صوما أو صدقة أو غيرها كذا في الهداية.... والظاهر أنه لا فرق بين أن ينوي به عند الفعل للغير أو يفعله لنفسه ثم بعد ذلك يجعل ثوابه لغيره، لإطلاق كلامهم، وأنه لا فرق بين الفرض والنفل. اهـ. وفي جامع الفتاوى: وقيل: لا يجوز في الفرائض اهـ.</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",610969,deoband,عقائد و  ایمانیات,اسلامی عقائد
06-Apr-2022,https://darulifta-deoband.com/home/ur/islamic-beliefs/610872,کن صورتوں  میں عاملین  کے پاس جانا چاہئے؟,سوال : میرا سوال ہے کہ جو مولانا ہوتے ہیں دعا تعویذ والے اُن کے پاس جانا کن صورت میں جانا چاہئے؟ اور جو اکثر دیکھا گیا ہے کہ ٹرین میں بس میں پوسٹر لگاتے ہیں بابا کرکے جادو وغیرہ کی طرف سے جیسے اُن کے پاس سب چیز کا حل ہو ، ان کے پاس جاناچاہئے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa: 972-730/M=09/1443</p><p>&nbsp;محض اس طرح كے پوسٹروں پر اعتماد نہیں كرنا چاہئے‏، اگر كسی عامل كے بارے میں تحقیق سے معلوم ہوجائے كہ وہ واقعی عملیات كے فن سے واقف ہے اور جائز طریقے پر جھاڑ پھونك كرتا ہے تو بوقت ضرورت اس كے پاس بغرض علاج جایا جاسكتا ہے اور ایك مسلمان كو اپنا ایمان و یقین اللہ كی ذات پر مضبوط ركھنا چاہئے اور بلاوجہ توہمات میں نہیں پڑنا چاہئے اور جو ادعیہ حدیثوں میں مختلف مواقع كی وارد ہیں ان كو خود پڑھنے كا اہتمام ركھنا چاہئے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",610872,deoband,عقائد و  ایمانیات,اسلامی عقائد
17-May-2022,https://darulifta-deoband.com/home/ur/islamic-beliefs/610790,كیا جنت میں ایمان والے اللہ كے سلام كا جواب دیں گے؟,سوال : کیا فرماتے ہیں مفتیان کرام کہ جنت میں جب اللہ مسلمانو ں کو سلام کریں گے تو مسلمان جواب کیا دیں گے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa: 1160-964/B=10/1443</p><p>&nbsp;كسی خاص لفظ كے ساتھ تو جواب نظر سے نہیں گذرا؛ البتہ اللہ كی حمد وثنا بیان كریں گے اور اپنی خوشی كا اظہار كریں گے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",610790,deoband,عقائد و  ایمانیات,اسلامی عقائد
31-Mar-2022,https://darulifta-deoband.com/home/ur/islamic-beliefs/610721,معراج كا واقعہ كس تاریخ میں پیش آیا / اسے مثل شب قدر سمجھنا,"(1)         سوال : آج کل کوچھ لوگ شبِ معراج کی رات کو عبادت کرتے ہیں اور روزہ بھی رکھتے ہیں اور کہتے ہیں کہ یہ رات شب قدر کی رات کی طرح ہے تو آپ وضاحت فرمائیں
(2)              اور شبِ معراج کے بارے میں تفصیل سے بتادیں کہ یہ رات کب آتی ہے کیا اس رات کی کوئی تاریخ متعین ہے یا نہیں؟","<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa: 947-717/D=08/1443</p><p>&nbsp;(1)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; یقیناً وہ رات جس میں واقعہ معراج پیش آیا بابركت اور مبارك تھی لیكن بعد كے سالوں میں اس متعینہ رات كی كوئی خصوصیت یقین كرنا اور ا س كا اعتقاد ركھنا حدیث و قرآن سے ثابت نہیں۔ دن میں روزہ ركھنے رات میں عبادت كرنے كی كوئی فضیلت احادیث سے ثابت نہیں‏، اس رات كو مثل شب قدر باعث فضیلت سمجھنا بھی غلط ہے كیونكہ شب قدر كی فضیلت قرآن پاك اور احادیث سے ثابت ہے۔</p><p>(2)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; شب معراج كے سلسلے میں اصحاب سیر اور محدثین سے مختلف اقوال منقول ہیں‏۔ سن‏، مہینہ اور تاریخ ہر بات میں مختلف روایات ہیں۔ ہجرت سے ایك سال یا ڈیڑھ سال پہلے یہ واقعہ پیش آیا‏۔ مہینے كے سلسلے میں بھی مختلف اقوال ہیں‏، فتاوی دارالعلوم دیوبند‏، ص: 238‏، جلد: 18 میں شامی كے حوالہ سے لكھا ہے۔</p><p>اس پر سب كا اتفاق ہے كہ معراج بعثت كے بعد ہوئی‏، سو ایك جماعت نے اس پر اتفاق كیا كہ ہجرت سے ایك برس پہلے ہوئی‏، اور ابن حزم نے اس پر اجماع نقل كیا‏ اور كہا گیا كہ ہجرت سے پانچ برس پہلے۔ پھر اس میں اختلاف ہے كہ معراج كس مہینہ میں ہوئی‏، سو ابن اثیر اورامام نووی نے اپنے فتاویٰ میں نقل كیا كہ ربیع الاول كی ستائیس (27) تاریخ میں اور بعض نے كہا كہ ربیع الثانی میں اور كہا گیا كہ رجب میں ہوئی امام نووی نے روضہ میں بہ اتباع امام رافعی كے اس پر یقین كیا اور بعض نے كہا كہ شوال میں اور حافظ عبد الغنی قدسی نے سیرت میں اس پر یقین كیا كہ معراج ستائیس (27) رجب كو ہوئی اور اسی پر عمل ہے اہل انصار كا۔</p><p>مذكورہ تفصیل سے معلوم ہوا كہ مختلف اقوال كے ساتھ راجح اور مشہور قول كے مطابق 27 رجب المرجب میں واقعہ معراج كا پیش آیا۔</p><p>واقعہ معراج كی تفصیلات كے لیے نشرالطیب فی ذكر النبی الحبیب میں مذكور واقعہ معراج كا مطالعہ فرمائیں‏، یہ كتاب مولانا اشرف علی تھانوی كی تصنیف كردہ ہے۔</p><p>اسی طرح تنویر السراج فی لیلۃ المعراج (قصہ معراج) مؤلفہ مولانا عبید اللہ اسعدی كا مطالعہ مفید ہوگا۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",610721,deoband,عقائد و  ایمانیات,اسلامی عقائد
