issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/death-funeral/60470,خود کشی کرنے والے کی نماز جنازہ,کیا خود کشی کرنے والے کی نماز جنازہ پڑھی جائے گی؟تفصیلی جواب دیں۔ شکریہ,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1012-806/D=10/1436-U

خودکشی کرنے والے کی نماز جنازہ پڑھی جائے، اور اسی پر فتوی ہے من قتل نفسہ ولو عمدا یغسل ویصلی علیہ بہ یفتی (الدر المختار: ۳/۱۰۸)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",60470,deoband,عبادات,احکام میت
01-Sep-2020,https://darulifta-deoband.com/home/ur/death-funeral/60385,کیا مسجد کے اندر جنازے کی نماز پڑھ سکتے ہیں ؟ اس کے بارے میں تفصیل سے بتائیں۔,کیا مسجد کے اندر جنازے کی نماز پڑھ سکتے ہیں ؟ اس کے بارے میں تفصیل سے بتائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 973-775/D=10/1436-U

مسجد میں نماز جنازہ پڑھنا مکروہ ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",60385,deoband,عبادات,احکام میت
01-Sep-2020,https://darulifta-deoband.com/home/ur/death-funeral/60267,جیسا کہ ہر فرض نماز میں اگلی صف میں نماز پڑھنے کا ثواب زیادہ ہے تو کیا جنازے کی نماز میں پچھلی صف میں پڑھنا زیادہ ثواب ہے؟,جیسا کہ ہر فرض نماز میں اگلی صف میں نماز پڑھنے کا ثواب زیادہ ہے تو کیا جنازے کی نماز میں پچھلی صف میں پڑھنا زیادہ ثواب ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 818-786/N=9/1436-U

جی نہیں! جنازہ کی نماز میں آخری صف سب سے افضل ہوتی ہے۔ قولہ: ”في غیر جنازة“ أما فیہا فآخرہا إظہارًا للتواضع لأنہم شفعاء فہو أحری بقبول شفاعتہم، ولأن المطلوب فیہا تعدد الصفوف فلو فضل الأول امتنعوا عن التأخر عند قلتہم رحمتي (شامي ۲: ۳۱۲، مطبوعہ مکتبہ زکریا دیوبند)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",60267,deoband,عبادات,احکام میت
01-Sep-2020,https://darulifta-deoband.com/home/ur/death-funeral/60008,میں یہ جاننا چاہتاہوں کہ کیا ہم قبروں کو سلام کرسکتے ہیں؟,میں یہ جاننا چاہتاہوں کہ کیا ہم قبروں کو سلام کرسکتے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 888-879/H=8/1436-U

اہل قبور کو مطابق سنت سلام کرنا درست وثابت ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",60008,deoband,عبادات,احکام میت
01-Sep-2020,https://darulifta-deoband.com/home/ur/death-funeral/59753,سوگ كتنے تك,میرا سوال ہے کہ اگر کسی کے والد صاحب کا انتقال ہو جائے پھر خوشی کے ایام آئیں مثلا عیدین یا مرحوم کے لڑکے کی شادی ہو تو وہ لڑکا یا مرحوم کے اھل خانہ ان مواقع پر خوشی منائیں یا نہیں ؟دلائل کے ساتھ اس پر مفصل روشنی ڈالئے ۔ عین نوازش ہوگی۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 896-892/B=9/1436-U

کسی کے انتقال پر مذہب اسلام میں صرف تین دن تک غم منانا جائز ہے، اس کے بعد غم منانا جائز نہیں۔ تین دن کے بعد عیدین کے موقع پر یا شادی کے موقعہ پر اس کے اہل خانہ خوشی مناسکتے ہیں، البتہ کسی عورت کے شوہر کا انتقال ہوجائے تو اس کے لیے چار مہینے دس دن تک غم منانا ضروری ہے، اگر اس کے لیے اس درمیان میں عیدین کا دن آجائے یا شادی کسی رشتہ دار کی ہو تو وہ خوشی نہیں مناسکتی۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",59753,deoband,عبادات,احکام میت
01-Sep-2020,https://darulifta-deoband.com/home/ur/death-funeral/59653,ہمارے ہاں نماز جنازہ میں آواز سے نیت کرنے کو لازم سمجھا جاتا ہے ۔ اگر آواز سے امام نیت نہ کروائے تو لوگ سمجھتے ہیں کہ نماز جنازہ بغیر نیت کے ہوئی۔ اگر کوئی مولوی آواز سے نیت نہیں کرواتا تو پیچھے صف میں کھڑے مولوی بھی ناراضگی کا اظہار کرتے ہیں۔ کیا نماز جنازہ اور نماز عید میں آواز سے نیت کرانا لازم ہے ؟,ہمارے ہاں نماز جنازہ میں آواز سے نیت کرنے کو لازم سمجھا جاتا ہے ۔ اگر آواز سے امام نیت نہ کروائے تو لوگ سمجھتے ہیں کہ نماز جنازہ بغیر نیت کے ہوئی۔ اگر کوئی مولوی آواز سے نیت نہیں کرواتا تو پیچھے صف میں کھڑے مولوی بھی ناراضگی کا اظہار کرتے ہیں۔ کیا نماز جنازہ اور نماز عید میں آواز سے نیت کرانا لازم ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 833-811/H=8/1436-U

آواز سے نیت کرنا اور اس کے لیے امام کو پابند قرار دینا اور نہ کروانے پر اعتراض ونکیر کرنا ناراضگی کا اظہار کرنا خلافِ سنت ہے، اس رقم کا ترک کرنا لازم ہے، ہاں گاہے امام یا کوئی دوسرا بغرضِ تعلیم کرادے تو کچھ مضائقہ نہیں اور بہتر یہ ہے کہ نماز جنازہ کی نیت اور اس سے متعلق مسائل وغیرہ کو پنج وقتہ نمازوں کے بعد مناسب انداز وقتا فوقتا حسب ضرورت نمازیوں کو سمجھاتے رہیں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",59653,deoband,عبادات,احکام میت
01-Sep-2020,https://darulifta-deoband.com/home/ur/death-funeral/59545,میرا سوال آپ سے یہ ہے کہ اگر ایک مسلمان کسی انسان کے قتل میں ملوث ہو یا اس نے خود کیا ہو اور عدالت اس شخص کو پھانسی کا حکم دیدے تو کیا اس کی پھانسی کے بعد نماز جنازہ جائز ہے ؟ اس کی نماز جنازہ پڑھ سکتے ہیں؟,میرا سوال آپ سے یہ ہے کہ اگر ایک مسلمان کسی انسان کے قتل میں ملوث ہو یا اس نے خود کیا ہو اور عدالت اس شخص کو پھانسی کا حکم دیدے تو کیا اس کی پھانسی کے بعد نماز جنازہ جائز ہے ؟ اس کی نماز جنازہ پڑھ سکتے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 897-893/B=9/1436-U

ناحق کسی کو قتل کرنا جُرم عظیم ہے تاہم وہ اسلام سے خارج نہیں ہوتا، انتہائی درجہ کا فاسق وفاجر ہوتا ہے، اگر اسے پھانسی دی گئی تو اس کی نماز جنازہ پڑھی جائے گی، البتہ مقتدا اہل علم، اہل تقوی کو ایسے شخص کی نماز جنازہ میں شرکت نہ کرنی چاہیے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",59545,deoband,عبادات,احکام میت
01-Sep-2020,https://darulifta-deoband.com/home/ur/death-funeral/59473,!نماز جنازہ کن لوگوں کانہیں ھوتا,(۱) نماز جنازہ کن لوگوں کانہیں ھوتا؟ (۲) سنا ھے جن لوگوں کو تین دنوں تک دفن نا کیا گیا ھو انکو بغیر نماز جنازہ کے دفن کر دینا چاھے ؟ برائے مہربانی قران و سنت کی روشنی میں رہنمائی فرمائِیں ۔ شکریہ,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 515-480/Sn=8/1436-U

(۱) کافر اور مرتد پر نمازِ جنازہ نہیں پڑھی جائے گی، اس طرح جو مسلمان حاکمِ برحق سے بغاوت کرتے ہوئے یا ڈاکہ زنی کرتے ہوئے یا قبائلی، وطنی، صوبائی یا لسانی تعصب کے لیے لڑتے ہوئے مارے جائیں ان لوگوں پر بھی نمازِ جنازہ نہیں پڑھی جائے گی۔ ولایصلی علی باغٍ ولا قاطع طریق إذا قتلا حال الحرب ولا یغسلان زجراعن مثل فعلہما․․․ وحکم المقتولین بالعصبیة والمکابرین فی المصر باللیل حکم قطاع الطریق ومن قتل احد ابویہ لا یصلی علیہ اہانة لہ ذکرہ في جوامع الفقہ (حلبي کبیري، ص: ۹۱-۵۹۰،ط: اشرفی) وانظر: احکام میت (ص: ۶۳، باب چہارم) 
(۲) جو کچھ آپ نے سنا ہے، وہ صحیح نہیں ہے، اس پر بھی نماز جنازہ پڑھی جائے گی۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",59473,deoband,عبادات,احکام میت
01-Sep-2020,https://darulifta-deoband.com/home/ur/death-funeral/59447,ہم جو سنت طریقے سے غسل مردے کو دیتے ہیں اور اس کو پورا غسل چادر کے اندر دیتے ہیں اور استنجاء وغیرہ سب اس چادر میں کراتے ہیں اور آخر میں وہ گیلی چادر ہٹا کر پھر پاک صاف چادر اس کے اوپر ڈال دیتے ہیں تو مجھے یہ پوچھنا ہے کہ جب ہم اس کو آخر میں گندی اور گیلی چادر ہٹاکر پھر اس کا جسم نہیں دھوتے اور دوسری پاک صاف ڈال دیتے ہیں تو کیا یہ صحیح ہے؟,میر ا سوال یہ ہے کہ ہم جو سنت طریقے سے غسل مردے کو دیتے ہیں اور اس کو پورا غسل چادر کے اندر دیتے ہیں اور استنجاء وغیرہ سب اس چادر میں کراتے ہیں اور آخر میں وہ گیلی چادر ہٹا کر پھر پاک صاف چادر اس کے اوپر ڈال دیتے ہیں تو مجھے یہ پوچھنا ہے کہ جب ہم اس کو آخر میں گندی اور گیلی چادر ہٹاکر پھر اس کا جسم نہیں دھوتے اور دوسری پاک صاف ڈال دیتے ہیں تو کیا یہ صحیح ہے؟ کیوں کہ وہ تو ناپاک چادر تھی اور گیلی ناپاک کپڑے کو جب تک دھو یا نہ جائے وہ پاک نہیں ہوتا تو مردہ کیسے پاک ہوگا؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 647-694/N=8/1436-U

فقہائے کرام نے لکھا ہے کہ اگر ناپاک کپڑے پر خوب زیادہ پانی ڈال کر بہادیا جائے تو وہ دھوئے اور نچوڑے بغیر پاک ہوجاتا ہے؛ کیونکہ اس طرح کافی مقدار میں پانی ڈالنا اور بہانا کئی بار دھونے اور نچوڑنے کے درجہ میں ہے، صحیح وراجح قول یہی ہے؛ لہٰذا میت کو غسل دیتے وقت اس کے جسم پر جو چادر یا کپڑا ہوتا ہے، اگر وہ میت کے جسم کی حقیقی نجاست کی وجہ سے ناپاک ہوجائے تو چوں کہ غسل میں میت کے جسم پر کافی مقدار میں پانی ڈالا جاتا ہے؛ اس لیے غسل مکمل ہونے پر میت کا جسم اور چادر دونوں پاک ہوجائیں گے۔ گیلی چادر ہٹانے کے بعد میت کے جسم پر مزید پانی ڈالنے کی ضرورت نہ ہوگی، وقد صرح في شرح المنیة عند قولہ: ”روي عن أبي یوسف“ أن الجنب إذا اتزر في الحمام وصب الماء علی جسدہ ثم علی الإزار یحکم بطہارة الإزار وإن لم یعصر،․․․․ ولاشک أن الغسل بالماء الجاري وما في حکمہ من الغزیر أو الصب الکثیر الذي یذہب بالنجاسة أصلاً ویخلفہ غیر مرارًا بالجریات أقوی من الغسل في الإجانة التي علی خلاف القیاس، ․․․․ ولہذا قال الإمام الحلواني علی قیاس قول أبي یوسف في إزار الحمام: إنہ لو کانت النجاسة دمًا أو بولاً وصب علیہ الماء کفاہ إلخ (شامي ۱: ۵۴۲، ۵۴۳ مطبوعہ مکتبہ زکریا دیوبند) وأما حکم الصب فإنہ إذا صب الماء علی الثوب النجس إن أکثر الصبّ بحیث یخرج ما أصاب الثوب من الماء وخلفہ غیرہ ثلاثا فقد طہر لأن الجریان بمنزلة التکرار والعصر، والمعتبر غلبة الظن ہو الصحیح إلخ (البحر الرائق ۱: ۴۱۲، ۴۱۳ مطبوعہ مکتبہ زکریا دیوبند)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",59447,deoband,عبادات,احکام میت
01-Sep-2020,https://darulifta-deoband.com/home/ur/death-funeral/59317,کیا شریعت میں مردہ کے گھر تین دن تک کھانا پکانا جایز ہے۔اور سنت کے بعد اجتماعی دعا بدعت ہےہیں۔,میرا تعلق صوابی خیبر پختون خواہ سے ہیں۔ہمارے علاقے میں ایک مسئلہ پھر اختلاف ہے ۔ کہ جس گھر کوئی فوت ہو جائے اس گھر میں تین دن تک کھانا پکھانا خرام ہے ۔ کیا یہ صحیح ہے ؟دوسری بات یہ کہ کیا جیس نماز کے بعد سنت ہو،اس سنت کے بعد اجتماعی دعا بدعت ہے ،اور صرف فرض نماز کے بعد اجتماعی دعا سنت ہے ۔رہنمائی فرمائے ۔مہربانی ہوگی۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 781-645/D=7/1436-U

میت والے گھر میں تین دن تک کھانا پکانے کی ممانعت نہیں ہے، البتہ میت کے گھر والے چونکہ غم کی وجہ سے کھانے کا اہتمام نہیں کرسکیں گے اس لیے قریبی عزیزوں یا ہمسایوں کی طرف سے میت کے گھروالوں کے یہاں دو وقت کھانا بھیجنا مستحب ہے؛ اس لیے تین دن کھانا پکانے سے رکنا غلط رسم ہے جو قابل ترک ہے۔ قال في الفتح: ویستحب لجیران أہل المیت والأقرباء الأباعد تہیئة طعام لہم یُشبعہ یومہم ولیلتہم (شامي: ۲/۲۴۰، ط: سعید کراچی) 
اجتماعی طور پر سنتوں کے بعد دعا کرنا ثابت نہیں ہے، اس کا التزام بدعت ہے، اس کو ترک کرنا چاہیے۔ عن عائشة قالت: قال رسول اللہ صلی اللہ علیہ وسلم: من أحدث في أمرنا ہذا ما لیس فیہ فہو ردٌ (صحیح البخاری، رقم: ۲۶۹۷ ط: دار طوق النجاة)
فرض نمازوں کے بعد دعا کرے گا تو خود بخود اجتماعی ہیئت بن جائے گی تاہم اس کو سنت نہیں کہا جائے گا۔ عن أبي أمامة رضي اللہ عنہ قال: قیل یا رسول اللہ! أيّ الدعاء أسمع؟ قال جوف اللیل الآخر ودبر الصلوات المکتوبات، ہذا حدیث حسن (جامع الترمذي، رقم: ۳۴۹۹، ط: مصطفی البابي الحلبي،مصر) عن معاذ بن جبل أن رسول اللہ صلی اللہ علیہ وسلم أخذہ بیدہ وقال: یا معاذ واللہ إني لأحبک، واللہ إنی لأحبک، فقال: أوصیک یا معاذ لا تدعنَّ في دبر کل صلاة تقول: اللہم أعني علی ذکرک وشکرک وحسن عبادتک (سنن اپی داوٴد: رقم: ۱۵۲۲، ط: الکمکتبة العصریة، صیدا بروت)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",59317,deoband,عبادات,احکام میت
