issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/sawm-fasting/60590,کمزوری کی وجہ سے روزہ نہیں رکھ سکتا اور نہ وہ مالی اعتبار سے اتنا مضبوط ہے کہ وہ اپنے روزے کا کفارہ کرسکے,حقیقی وجہ کی بنا پر رمضان کے روزہے نہ رکھنے پر کفارہ دینے کے تعلق سے سوال ہے۔ ایک شخص بہت زیادہ کمزوری کی وجہ سے روزہ نہیں رکھ سکتا اور نہ وہ مالی اعتبار سے اتنا مضبوط ہے کہ وہ اپنے روزے کا کفارہ کرسکے ۔ براہ کرم، مشورہ دیں تاکہ وہ اس پر عمل کرے ۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 703-668/Sn=10/1436-U

مذکور فی السوال شخص اگر بہت بوڑھا یا مرض کی وجہ سے انتہائی کمزور ہے، روزے کی سکت نہیں ہے، اس بنا پر اس نے ماہِ رمضان کا روزہ نہیں رکھا تو بعد رمضان جب بھی قوت حاصل ہوجائے اس پر چھوڑے ہوئے روزوں کی قضا ضروری ہے۔ اگر وہ کمزوری دور نہیں ہوئی؛ بلکہ وفات تک باقی رہی تو اس شخص پر روزوں کی قضا لازم نہیں ہے اور نہ ہی اس پر فدیہ دینا یا فدیہ کی وصیت کرنا لازم ہے؛ البتہ اگر رمضان کے بعد قوت حاصل ہونے پر بھی اس نے قضا نہیں کی تو اس پر ضروری ہے کہ ”فدیہ“ کی وصیت کرجائے، ایسی صورت میں وہ جو کچھ ترکہ چھوڑے گا اس کے تہائی سے چھوڑے ہوئے روزوں کا فدیہ ادا کرنا ورثا یا وصی پر ضروری ہے، اگر چند روز قوت رہی پھر دوبارہ کمزوری آگئی تو جتنے یوم وہ روزہ رکھ سکتا تھا ان دنوں کے فدیہ کی وصیت کرنا ضروری ہے، ایک روزے کا فدیہ ایک مسکین کو صبح شام دو وقت پیٹ بھر کھانا کھلانا ہے یا صدقة الفطر کے بہ قدر گیہوں (۱۶۳۳/ گرام) یا اس کی قیمت کسی غریب مستحق زکاة کو دینا ہے۔ وقضوا لزومًا ما قدروا بلا فدیة وبلا ولاء․․․ فإن ماتوا في ذلک العذر فلا تجب علیہم الوصیّة بالفدیة لعدم إدراکہم عدةً من أیام أخر ولو ماتوا بعد زوال العذر وجبت الوصیة بقدر إدراکہم․․․ وفدی عنہ أي عن المیت ولیہ الذی یتصرف ما في مالہ کالفطرة قدرًا بعد قدرتہ أی علی قضاء الصوم وقوتہ أي فوت القضاء بالموت أم لا (درمختار مع الشامي: ۳/۴۰۵، فصل في ا لعوارض المبیحة لعدم الصوم، ط: زکریا)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",60590,deoband,عبادات,صوم
01-Sep-2020,https://darulifta-deoband.com/home/ur/sawm-fasting/60581,کیا سو کلو میٹر کے فاصلے پر جانا ہو تو روزہ رکھنا ہوتاہے یا نہیں؟,کیا سو کلو میٹر کے فاصلے پر جانا ہو تو روزہ رکھنا ہوتاہے یا نہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 523-523/Sd=9/1436-U

سو کلومیٹر کے فاصلے پر اگر جانا ہو اور سفر شروع ہونے کے بعد سحری کا وقت شروع ہو تو ایسے مسافر کے لیے سفر میں روزہ نہ رکھنے کی اجازت ہے؛ البتہ اگر سفر میں مشقت نہ ہو، تو روزہ رکھنا ہی بہتر ہے اور اقامت کی حالت میں سحری کرنے کے بعد سفر کی وجہ سے روزہ توڑنے کی اجازت نہیں ہے خواہ سو کلومیٹر کا سفر ہو، تاہم اگر توڑدیا تو صرف قضا واجب ہوگی، کفارہ نہیں۔ منہا السفر الذي یبیح الفطر، وہو لیس بعذر في الیوم الذي أنشأ السفر فیہ، کذا في الیاثیة، فلو سافر نہارًا، لا یباح لہ الفطر في ذلک الیوم وإن أفطر لا کفارة علیہ بخلاف ما لو أفطر، ثم سافر کذا في محیط السرخسي، (الفتاوی الہندیة: ۱/۲۶۹، الباب الخامس في الإعذار التي تبیح الإفطار، ط: اتحاد، دیوبند) وقال الحصکفي: ویندب لمسافر الصوم لآیة وإن تصوموا -إن لم یضرہ- (الدر المختار مع رد المحتار: ۳/۳۶۱، فصل في العوارض المبیحة لعدم الصوم، ط: دار إحیاء التراث العربي، بیروت)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",60581,deoband,عبادات,صوم
01-Sep-2020,https://darulifta-deoband.com/home/ur/sawm-fasting/60574,کیا فرماتے ہیں مفتیان کرام کہ علامہ انور شاہ کشمیری (رحمتہ اللہ علیہ ) نے ترمذی کے حاشیہ العرف شذی باب صفات صلاة النبی صلی اللہ علیہ وسلم فی اللیل کے اندر فرماتے ہیں کہ ” صحاح میں آپ صلی اللہ علیہ وسلم کی تراویح کی نماز آٹھ رکعت ہے“۔ اس کو لے کر غیر مقلدین حضرات فتنہ مچائے ہوئے ہیں، لہذا آپ سے گذارش ہے کہ معقول جواب مرحمت فرمائیں۔,کیا فرماتے ہیں مفتیان کرام کہ علامہ انور شاہ کشمیری (رحمتہ اللہ علیہ ) نے ترمذی کے حاشیہ العرف شذی باب صفات صلاة النبی صلی اللہ علیہ وسلم فی اللیل کے اندر فرماتے ہیں کہ ” صحاح میں آپ صلی اللہ علیہ وسلم کی تراویح کی نماز آٹھ رکعت ہے“۔ اس کو لے کر غیر مقلدین حضرات فتنہ مچائے ہوئے ہیں، لہذا آپ سے گذارش ہے کہ معقول جواب مرحمت فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 861-954/N=11/1436-U

العرف الشذی میں یہ بات جس روایت کے تحت آئی ہے وہ یہ ہے: عن أبی سلمة أنہ سأل عائشة، کیف کانت صلاة رسول اللہ صلی اللہ علیہ وسلم فی رمضان؟ فقالت: ما کان رسول اللہ صلی اللہ علیہ وسلم یزید فی رمضان ولا فی غیرہ علی إحدی عشرة رکعة، یصلی أربعا، فلا تسأل عن حسنہن وطولہن، ثم یصلی أربعا․ الحدیث (ترمذی شریف ۱:۹۹ مطبوعہ مکتبہ اشرفیہ دیوبند)، یہ روایت بخاری اور مسلم میں بھی آئی ہے جیسا کہ العرف الشذی میں بھی اس کی صراحت ہے اور صحاح کی روایت سے غالبا اسی روایت کی طرف اشارہ کیا گیا ہے۔ اور اس روایت میں جس نماز کا ذکر آیا ہے اس سے مراد نماز تہجد ہے، نماز تراویح مراد نہیں ہے؛ اسی لیے حضرت عائشہ صدیقہ رضی اللہ عنہا نے فی رمضان کے ساتھ ”ولا فی غیرہ“بھی ارشاد فرمایا ہے؛ کیوں کہ تراویح کی نماز صرف رمضان میں مشروع ہے، جب کہ تہجد کی نماز پورے سال پڑھی جاتی ہے، نیز یصلی اربعًا کا متبادر مفہوم یہی ہے کہ چار رکعتیں ایک سلام کے ساتھ پڑھی جاتی تھی، جب کہ تراویح کی نماز دو دو رکعت کرکے پڑھی جاتی ہیں، اگرچہ چار رکعت ایک سلام کے ساتھ بھی جائز ہیں۔
امام بخاری رحمہ اللہ نے اپنی صحیح میں یہ روایت کتاب التہجد میں ذکر فرمائی اور باب کا عنوان یہ قائم فرمایا: باب قیام النبی صلی اللہ علیہ وسلم باللیل فی رمضان وغیرہ، اور ائمہ اربعہ رحمہم اللہ میں سے کسی نے بھی اس روایت سے تراویح کی آٹھ رکعت ہونے پر استدلال نہیں کیا ہے ؛ بلکہ چاروں میں سے کسی کے نزدیک ۲۰/ رکعت سے کم تراویح کی نماز نہیں ہے اور الکوکب الدری (۱:۳۸۸) کے حاشیہ میں فی رمضان کی شرح میں ملا علی قاری رحمہ اللہ کے حوالہ سے ہے: قولہ: فی رمضان أي: في لیالیہ وقت التہجد فلا ینافیہ زیادة ما صلاہا بعد صلاة العشاء من صلاة التراویح اور فتح الباری میں اس حدیث کی شرح میں ہے: وفی الحدیث دلالة علی أن صلاتہ کانت متساویة في جمیع السنة (فتح الباري ۳: ۴۳ مطبوعہ: دار السلام الریاض) مزید تفصیل کے لیے تحفة الالمعی (۲: ۲۸۷- ۲۹۱) اور تحفة القاری (۳: ۴۷۰- ۴۷۵) دیکھیں، الحاصل حضرت عائشہ رضی اللہ عنہا کی اس روایت سے تراویح کی نماز آٹھ رکعت ہونے پر استدلال صحیح نہیں اور علامہ کشمیری رحمہ اللہ نے جو بات ارشاد فرمائی ہے وہ اس پر مبنی ہے کہ تراویح اور تہجد دونوں ایک نماز ہے، اگر یہ شروع میں پڑھی جائے تو تراویح ہے اور اگر آخر رات میں پڑھی جائے تو تہجد ہے جب کہ یہ حضرت کا تفرد ہے اور جمہور علماء کے خلاف ہے جیسا کہ خود علامہ کشمیری رحمہ اللہ نے فیض الباری (۲: ۵۶۷ مطبوعہ دار الکتب العلمیہ بیروت) میں فرمایا ہے اور جمہور کا مذہب نصوص کے اشارات اور دلالات سے موٴید ہے، صحیح بخاری میں حضرت عمر رضی اللہ عنہ کا یہ ارشاد آیا ہے: والتي ینامون عنہا أفضل من التي یقومون بہا، اس سے بھی دونوں میں تغایر ثابت ہوتا ہے اور حضرت مولانا گنگوہی رحمہ اللہ نے اپنے ایک مفصل فتوی میں اسے مدلل طور پر ثابت فرمایا ہے (فتاوی رشیدیہ ص ۳۶۶-۳۹۰) اس لیے علامہ کشمیری رحمہ اللہ کے قول سے استدلال کرنا صحیح ودرست نہیں ہے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",60574,deoband,عبادات,صوم
01-Sep-2020,https://darulifta-deoband.com/home/ur/sawm-fasting/60545,رمضان ماہ میں سحری کا وقت کب تک ہے، کیا اذان فجر کی ختم تک سحری کرسکتے ہیں یا نہیں؟,رمضان ماہ میں سحری کا وقت کب تک ہے، کیا اذان فجر کی ختم تک سحری کرسکتے ہیں یا نہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 849-837/N=10/1436-U

سحری کا وقت طلوع صبح صادق سے پہلے پہلے تک رہتا ہے اور صحیح ومعتبر جنتری میں ختم سحر کا جو وقت لکھا ہو، احتیاطاً اس سے پانچ دس منٹ پہلے ہی سحری سے فارغ ہوجانا چاہیے؛ کیوں کہ جنتریوں میں جو اوقات لکھے ہوتے ہیں وہ محض ظنی وتخمینی ہوتے ہیں، قطعی ویقینی نہیں۔ اور اذان فجر طلوع صبح صادق کے بعد کہی جاتی ہے اور بہت سی جگہ احتیاطاً پانچ دس منٹ کے بعد کہی جاتی ہے؛ اس لیے طلوع صبح صادق کے بعد اذان فجر تک سحری کرنا ہرگز درست نہیں اور ایسے لوگوں کا روزہ نہیں ہوتا، اور اگر اذان فجر صبح صادق سے پہلے کہی گئی ہو تو مفتی بہ قول میں وہ اذان معتبر نہ ہوگی، طلوع صبح صادق کے بعد اذان دوبارہ کہی جائے گی۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",60545,deoband,عبادات,صوم
01-Sep-2020,https://darulifta-deoband.com/home/ur/sawm-fasting/60526,کیا فرماتے ہیں علماء کرام ومفتیان عظام اس مسئلے کے بارے میں کہ مسجد میں تراویح کی بغیر ختم قرآن کی جماعت کے ہوتے ہوئے گھر میں ایک حافظ قرآن تراویح کی جماعت پڑھاویں۔ اور مسجد والے ختم قرآن سے انکار کریں کہ ہم نہیں سنا سکتے ۔ کیا ایسی حالت میں تروایح کی جماعت صحیح ہوجائیگی گھر میں یا نہیں؟,کیا فرماتے ہیں علماء کرام ومفتیان عظام اس مسئلے کے بارے میں کہ مسجد میں تراویح کی بغیر ختم قرآن کی جماعت کے ہوتے ہوئے گھر میں ایک حافظ قرآن تراویح کی جماعت پڑھاویں۔ اور مسجد والے ختم قرآن سے انکار کریں کہ ہم نہیں سنا سکتے ۔ کیا ایسی حالت میں تروایح کی جماعت صحیح ہوجائیگی گھر میں یا نہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 536-536/Sd=10/1436-U

مسجد والے تراویح میں پورا قرآن سننے سے کیوں انکار کررہے ہیں؟ تراویح میں ایک بار پورا قرآن سننا مسنون ہے، بلا عذر اس کا ترک کرنا صحیح نہیں ہے تاہم اس کے باوجود گھر میں تراویح کی جماعت اگر کی جائے گی، تو تراویح صحیح ہوجائے گی خواہ مسجد کی تراویح میں قرآن ختم نہ کیا جائے؛ لیکن مسجد میں تراویح پڑھنے کا جو ثواب ہے وہ نہیں ملے گا، تراویح کی نماز بھی مسجد ہی میں پڑھنا افضل ہے۔ قال ابن عابدین: قراء ة الختم في صلاة التراویح سنة وصحّحہ في الخانیة وغیرہا وعزاہ في الہدایة إلی أکثر المشائخ وفي الکافي إلی الجمہور وفي البرہان وہو المروي عن أبي حنیفة والمنقوف في الآثار، وقال الحصکفي: والجماعة فیہا سنة علی الکفایة - وکل ما شرع بجماعة فالمسجد فیہ أفضل - قال ابن عابدین: وإن صلی أحد في البیت بالجماعة لم ینالوا فضل جماعة المسجد (الدر المختار مع رد المحتار: ۲/۴۳۱، دار إحیاء التراث العربی)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",60526,deoband,عبادات,صوم
01-Sep-2020,https://darulifta-deoband.com/home/ur/sawm-fasting/60506,کیا روزہ کی حالت میں خضاب لگا سکتے ہیں؟,کیا روزہ کی حالت میں خضاب لگا سکتے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1213-1217/L=10/1436-U

روزہ کی حالت میں خضاب لگاسکتے ہیں، خضاب لگانا ممنوع نہیں ہے؛ بشرطیکہ خالص سیاہ رنگ کا خضاب نہ ہو۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",60506,deoband,عبادات,صوم
01-Sep-2020,https://darulifta-deoband.com/home/ur/sawm-fasting/60499,دانت میں درد کی وجہ سے خشک دوا رکہنے سے رمضان کا روزہ ٹوٹ جاتا ہے یا نہیں؟,دانت میں درد کی وجہ سے خشک دوا رکہنے سے رمضان کا روزہ ٹوٹ جاتا ہے یا نہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 899-888/H=9/1436-U

نہیں ٹوٹتا، البتہ اگر دوا کا کوئی جز حلق میں چلا گیا تو روزہ ٹوٹ جائے گا، اس لیے بغیر سخت مجبوری کے روزہ کی حالت میں خشک دوا بھی نہ رکھی جائے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",60499,deoband,عبادات,صوم
01-Sep-2020,https://darulifta-deoband.com/home/ur/sawm-fasting/60489,رمضان میں وتر کی نماز باجمات پڑھی جاتی ھے ھماری مساجدوں میں۔ کیا اللہ کے نبی کے دور میں بھی ایسا ھوتا تھا؟ اگر ھاں تو عام دنوں میں کیو ں نہیں؟ احادیث کی روشنی میں جواب دیں۔,رمضان میں وتر کی نماز باجمات پڑھی جاتی ھے ھماری مساجدوں میں۔ کیا اللہ کے نبی کے دور میں بھی ایسا ھوتا تھا؟ اگر ھاں تو عام دنوں میں کیو ں نہیں؟ احادیث کی روشنی میں جواب دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 687-652/Sn=10/1436-U

نبی اکرم صلی اللہ علیہ وسلم نے جتنے روز تراویح کی نماز باجماعت پڑھائی اتنے روز ”وتر“ بھی باجماعت ادا کرائی، حضرت علامہ ابن الہمام رحمہ اللہ نے ”فتح القدیر“ میں اس کی تصریح کی ہے؛ اس لیے رمضان میں وتر باجماعت ادا کرنا افضل ہے اور عام دنوں میں چوں کہ اللہ کے رسول صلی اللہ علیہ وسلم یا صحابہٴ کرام سے ”وتر“ باجماعت پڑھنا ثابت نہیں ہے، نیز غیر فرائض میں اصل انفراداً نماز ادا کرنا ہے (الا یہ کہ کسی دلیل مستقل سے جماعت ثابت ہو)؛ اس لیے عام دنوں میں ”وتر“ باجماعت ادا کرنے کا حکم نہیں ہے ”ثم یعد عدم کراہة الجماعة فی الوتر فی رمضان اختلفوا فی الأفضل. فی فتاوی قاضی خان: الصحیح أن الجماعة أفضل ․․․․وفی النہایة ․․․ واختار علماؤنا أن یوتر فی منزلہ لا بجماعة، لأن الصحابة لم یجتمعوا علی الوتر بجماعة فی رمضان کما اجتمعوا علی التراویح، ․․․․ وأنت علمت مما قدمناہ فی حدیث ابن حبان فی باب الوتر أنہ - صلی اللہ علیہ وسلم - کان أوتر بہم ثم بین العذر فی تأخیرہ عن مثل ما صنع فیما مضی، فکما أن فعلہ الجماعة بالنفل ثم بیانہ العذر فی ترکہ أوجب سنیتہا فیہ فکذلک الوتر جماعة لأن الجاری فیہ مثل الجاری فی النفل بعینہ، وکذا ما نقلناہ من فعل الخلفاء یفید ذلک إلخ (فتح القدیر، ۱/۴۸۷، ط: زکریا، فصل فی قیام رمضان) وانظر: امداد الأحکام (۱/۵۵ کراچی)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",60489,deoband,عبادات,صوم
01-Sep-2020,https://darulifta-deoband.com/home/ur/sawm-fasting/60448,میں عرض یہ کرنا چاہتاہوں کہ میں الحمد للہ حافظ ہوں ، میں تراویح میں قرآن سنا رہا ہوں ، جن حافظ صاحب کو میں نے قرآن سنانے کے لیے رکھ ہے ان کو تراویح سنانے کے عوض کچھ نہیں دوں گا، لیکن میں روزانہ دن میں انہیں پارے سناتاہوں جو مجھے رات کو تراویح میں سنانے ہیں، تو میں یہ جاننا چاہتاہوں کہ جو پارے میں دن میں انہیں سناتاہوں کیا اس کے عوض میں کچھ معاوضہ دے سکتاہوں؟,میں عرض یہ کرنا چاہتاہوں کہ میں الحمد للہ حافظ ہوں ، میں تراویح میں قرآن سنا رہا ہوں ، جن حافظ صاحب کو میں نے قرآن سنانے کے لیے رکھ ہے ان کو تراویح سنانے کے عوض کچھ نہیں دوں گا، لیکن میں روزانہ دن میں انہیں پارے سناتاہوں جو مجھے رات کو تراویح میں سنانے ہیں، تو میں یہ جاننا چاہتاہوں کہ جو پارے میں دن میں انہیں سناتاہوں کیا اس کے عوض میں کچھ معاوضہ دے سکتاہوں؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 831-819/N=10/1436-U

آپ سامع صاحب کو خارج میں جو تراویح کا پارہ سناتے ہیں، اس پر بھی انھیں کوئی معاوضہ نہ دیں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",60448,deoband,عبادات,صوم
01-Sep-2020,https://darulifta-deoband.com/home/ur/sawm-fasting/60419,رمضان میں روزہ ہو تو کیا ان درج ذیل وجہ سے روزہ ٹوٹ سکتاہے؟ (۱) آنکھ میں دوا ڈالنے سے (۲) کان میں دو ڈالنے سے (۳) ناک میں دو ڈالنے سے,رمضان میں روزہ ہو تو کیا ان درج ذیل وجہ سے روزہ ٹوٹ سکتاہے؟ (۱) آنکھ میں دوا ڈالنے سے (۲) کان میں دو ڈالنے سے (۳) ناک میں دو ڈالنے سے,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 945-945/M=9/1436-U

آنکھ میں دوا ڈالنے سے روزہ نہیں ٹوٹتا، کان میں دوا ڈالنے سے روزہ ٹوٹ جاتا ہے، ناک میں اگر دوا ڈالی اور وہ جوف دماغ تک پہنچ گئی تو اس سے روزہ ٹوٹ جائے گا۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",60419,deoband,عبادات,صوم
