issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/innovations-customs/69099,عید ، بقرعید کے بعد مصافحہ شریعت سے ثابت نہیں ہے,۱)ہماری بستی میں عید الفطر اور عید الاضحی کی نماز کے بعد دعاہوتی ہے اور دعا کے بعد خطبہ ہوتا ہے اسکے بعد امام لوگو ں کو کہتا ہے کہ تکبیر تشریق پڑھتے ہوئے گھر جاؤ، کچھ لوگ پھر امام کو مصافحہ کرتے ہیں اور رقم بھی دیتے ہیں۔ یاد رہے کہ ان لوگوں میں کچھ ایسے لوگ موجود ہوتے ہیں جودوسرے صوبہ جات سے آکر فیکٹریوں میں کام کرتے ہیں اور عید کو ہی ان سے ملاقات ہوتی ہے اور کچھ بنا رقم کے ہی خالی ہاتھ سلام مصافحہ کرتے ہیں اور چلے جاتے ہیں اور کچھ لوگ امام صاحب کو جو کہ ( ہجوم کی وجہ سے نیچے بیٹھ جاتے ہیں ) کے آگے ہی رقم دال دیتے ہیں بعد میں مصافحہ کرتے ہیں اور کچھ بنا مصافحہ کئے رقم ڈال کے چلے جاتے ہیں کیا یہ مصافحہ کرنا اور رقم دینا اور لینا جائز ہے ؟ ۲) اور اگر بنا مصافحہ کے لوگ امام کو عید کے خطبہ کے بعد رقم دیں فرداً فرداً یا کوئی ایک مقتدی جمع کر لے کیا اس صورت میں یہ کام درست ہے یا نہیں۔مدلل جواب سے نوازیں بینواتوجرو والسلام محمد ارشاد امام مسجد اوگلی کالا آنب ہماچل پر دیش ۲۱ جولائی سنہ ۲۰۱۴,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 960-783/D=11/1437

عید ، بقرعید کے بعد مصافحہ شریعت سے ثابت نہیں ہے یہ اہل بدعت و روافض کا طریقہ ہے لہذا اس سے اجتناب کرنا چاہئے مصافحہ کے نام پر ہدیہ بھی ٹھیک نہیں اگر دینا ہی ہوتو الگ جمع کرلی جائے پھر انہیں پیش کردی جائے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",69099,deoband,عقائد و  ایمانیات,بدعات و رسوم
01-Sep-2020,https://darulifta-deoband.com/home/ur/innovations-customs/68761,كسی كی موت كے بعد گھر میں سالہا سال خوشیاں نہ منانا؟,ہمارے یہاں ایک رواج چلتا آیا ہے کہ کسی کے گھر پر کسی کا انتقال ہوجائے تو اس میت کے گھر والے ایک یا دو سال کے عرصے میں کسی طرح کی خوشیاں منانا چاہتے ہیں جیسے کہ شادی وغیرہ کرتے ہیں، کیا یہ شریعت کے دائرہ میں ہے؟ (۱) کیا گھر پر کسی کا انتقال ہوجائے تو ایک یا دو سال کے عرصے میں خوشیاں کرنی ہیں؟ (۲) یا کسی کی شادی ہی کروانی ہے تو کسی اور طرح کی خوشی اورسگائی (engment) بھی کرواسکتے ہیں؟ (۳) اگر میت کے گھر پر ایک یا دو سال کے عرصے میں کسی طرح کی خوشیاں نہ کی جائے تو آنے والے چار سال کچھ بھی خوشیاں میت کے گھر پر نہیں کر سکتے۔ براہ مہربانی شریعت کی روشنی میں اس کا حکم فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>
	Fatwa ID: 1036-1028/SN=11/1437<br>
	<br>
	(۱، ۲، ۳) یہ فاسد خیال پر مبنی لوگوں کابنایا ہوا رواج ہے، کوئی شرعی چیز نہیں ہے، میت کے گھر والے حسبِ مصلحت کبھی بھی نکاح، عقیقہ اور عید جیسی خوشیاں منا سکتے ہیں، ایک دو سال کے اندر اندر ہی ضروری نہیں ہے، یہ اعتقاد قطعاً باطل ہے کہ اگر ایک دو سال کے اندر خوشی نہ منائی جائے تو آنے والے چار سال کچھ بھی خوشیاں نہیں منا سکتے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",68761,deoband,عقائد و  ایمانیات,بدعات و رسوم
01-Sep-2020,https://darulifta-deoband.com/home/ur/innovations-customs/68730,گھر بھرانی(barani ) کے نام پر نئے گھر میں داخل ہونے سے پہلے ایک بكرا کاٹ کر دعوت کی جاتی ہے، کیا یہ دعوت کرنا جائز ہے؟,گھر بھرانی(barani ) کے نام پر نئے گھر میں داخل ہونے سے پہلے ایک بقرہ کاٹ کر دعوت کی جاتی ہے، کیا یہ دعوت کرنا جائز ہے؟ اور اس دعوت میں جاکے کھانا جائز ہے؟ قرآن اور حدیث کی روشنی میں براہ کرم جواب دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 826-826/B=11/1437

یہ محض ایک رسم ہے شریعت اسلام میں اس کی اصل نہیں ہے دو رکعت نفل خیر و برکت کے لیے کسی نیک آدمی سے پڑھوالیں اور پھر اس میں رہنا شروع کردیں گھر میں قرآن کی تلاوت برابر کرتے رہیں نفل نمازیں بھی کبھی کبھی پڑھتے رہیں، اس سے گھر میں برکت رہے گی۔ کھانے کھلانے کی رسم سے برکت نہ ہوگی۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",68730,deoband,عقائد و  ایمانیات,بدعات و رسوم
01-Sep-2020,https://darulifta-deoband.com/home/ur/innovations-customs/68271,طاق راتوں میں اجتماعی دعاکے لیے اعلان کرنا؟,طاق راتوں میں مسجد میں اعلان کرکے لوگوں کو اجتماعی دعا کے لیے مدعو کرنا کیسا ہے ؟ کیا ایسا کرنا صحیح ہے یا غلط؟ برئے کرم مفصل جواب دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1153-1257/H=12/1437

اجتماعی دعاء کے لیے مدعو کرنا مناسب نہیں، ہر شخص اپنے اپنے مقام پر رہ کر نماز، ذکر تلاوت دعاء کا اہتمام کرے او ربوقتِ دعاء موجود لوگ بھی اتفاقاً شریک ہوجائیں جبکہ ان کو جمع کرنے اور بلانے کا کچھ اہتمام نہ کیا گیا ہوتو اس میں کچھ مضائقہ نہیں کہ اجتماعی دعاء کرلیں۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",68271,deoband,عقائد و  ایمانیات,بدعات و رسوم
31-Aug-2020,https://darulifta-deoband.com/home/ur/innovations-customs/68235,ماہ محرم میں ذکر شہادت جائز ہے یا نہیں؟,کیا فرماتے ہیں علمائے دین اس مسئلہ میں ماہ محرم میں ذکر شہادت جائز ہے یا نہیں؟ جب کہ یہ قرآن اور حدیث سے ثابت ہے۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1298-1317/L=12/1437

ماہِ محرم میں ذکر شہادت بوجہ مشابہت ِ روافض کے منع ہے (فتاوی رشیدیہ: ۱۴۸) قرآن کی کس آیت او رکس حدیث سے یہ ثابت ہے اس کا حوالہ لکھ کر سوال کیا جائے پھر ان شاء اللہ جواب دیا جائے گا۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",68235,deoband,عقائد و  ایمانیات,بدعات و رسوم
01-Sep-2020,https://darulifta-deoband.com/home/ur/innovations-customs/66993,خوشی کے وقت تالی بجانا کیسا ہے ؟,خوشی کے وقت تالی بجانا کیسا ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1151-1228/L=11/1437

بوقت خوشی تالی بجانے میں مضایقہ نہیں؛ البتہ خاص محافل وغیرہ کے مواقع میں تالی بجانا اسلامی طریقہ نہیں ہے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",66993,deoband,عقائد و  ایمانیات,بدعات و رسوم
01-Sep-2020,https://darulifta-deoband.com/home/ur/innovations-customs/66922,کیا بچوں کا قرآن پاک مکمل کرنے کا مروجہ طریقہ درست ہے ؟,ہمارے یہاں دیکھا گیا ہے کہ جب بچے قرآن مجید ناظرہ کے ساتھ مکمل کرلیتے ہیں تو اُس کے بعد بچے کے والدین یاسرپرست ایک خصوصی ختم القرآن کا اہتمام کرتے ہیں جس میں عزیز واقارب کو مدعو کیاجاتا ہے اور جس بچے نے قرن مکمل کیا ہے ، اُستاذ اُس کو قرآن مجید کی آخری دس سورتیں پڑھواتا ہے جس کا طریقہ اس طرح ہوتا ہے کہ اُستاذ پہلے پڑھتا ہے اور بچہ اس کے پیچھے پیچھے پڑھتا ہے ، جب سورت مکمل ہوجاتی ہے تو استاذ دوسری سورت شروع کرنے سے پہلے یہ بھی پڑھاتا ہے اللہ اکبر اللہ اکبر لاالٰہ الاللہ واللہ اکبر اکبروللہ الحمد۔پھر دوسری سورت پڑھواتا ہے جب وہ مکمل ہوجاتی ہے تو اس کے بعد پھر مذکورہ کلمات پڑھتا ہے ۔ اب آپ سے معلوم یہ کرنا ہے کہ کیا اس طرح قرآن ختم کرنا قرآن وسنت سے ثابت ہے یا سلف صالحین میں سے کسی نے اس طرح قرآن پاک کا ختم کیا ہے ،حتی کہ امام ابوحنیفہ رحمہ اللہ علیہ نے ایسا کیا ہے یا اس کی تعلیم دی ہے ؟ یہ بھی بتاتا چلوں کہ پچھلے دنوں ایک جگہ ختم قرآن کی ایک محفل میں میں نے دیکھا کہ اُستاذ نے بچوں کو صرف آخری تین سورتیں پڑھائیں اور ہر سورت کے بعد مذکورہ بالا کلمات نہیں پڑھے بلکہ صرف اللہ اکبر کہہ کر دوسری سورت شروع کی۔اس سے ذہن میں مزید الجھن پیدا ہوگئی کہ اگر ختم قرآن کے لئے مذکورہ بالا الفاظ شریعت میں تھے تو پھر اُن الفاظ میں کمی کرکے صرف اللہ اکبر پر کیوں اکتفا کیا گیا؟یا کہیں ایسا تو نہیں کہ سورتوں کے درمیان نہ اول الذکر کلمات کا ثبوت ملتا اور نہ آخر الذکر کا بلکہ یہ ایک بدعت ہے جو لوگوں میں رائج ہوگئی ہے اور سب دیکھا دیکھی اس پر عمل کررہے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 829-153/D=9/1437

ریاو نمود اور تفاخر کے لیے تو کوئی عمل پسندیدہ نہیں ہے اس سے خالی ہوکر ختم قرآن کا مذکورہ طریقہ اختیار کرنے میں حرج نہیں جبکہ زاید رسومات نہ ہوں، لا إلہ إلا اللہ واللہ أکبر الخ کے کلمات کہنا سنت ہے، معارف القرآن میں تفسیر مظہری سے نقل کیا ہے کہ سورہ والضحی سے اخیر قرآن تک ہر سورة کے ساتھ تکبیر کہنا سنت ہے اور اس تکبیر کے الفاظ شیخ صالح مصری نے لا إلہ الا اللہ واللہ اکبر بتلائے ہیں (مظہری) ۔ 
ابن کثیر نے ہر سورت کے ختم پر اور بغوی نے ہر سورت کے شروع میں ایک مرتبہ تکبیر کہنے کو سنت کہا ہے (مظہری) ۔ دونوں میں سے جو صورت بھی اختیار کرے سنت ادا ہوجائے گی، اور جس نے چند سورتوں میں پڑھا اس نے اس حد تک سنت پر عمل کیا۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",66922,deoband,عقائد و  ایمانیات,بدعات و رسوم
01-Sep-2020,https://darulifta-deoband.com/home/ur/innovations-customs/66909,جب ہم نبی کریم صلی اللہ علیہ وسلم کا نام سنیں کیا تو اس وقت اپنے انگوٹھے سے اپنی آنکھوں کو چھونا درست ہے یا نہیں؟,جب ہم نبی کریم صلی اللہ علیہ وسلم کا نام سنیں کیا تو اس وقت اپنے انگوٹھے سے اپنی آنکھوں کو چھونا درست ہے یا نہیں؟ براہ کرم، اس بارے میں وضاحت فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: </span>874-858<span dir=""LTR"">/Sd=</span>10/1437</p><p dir=""RTL"">
	&nbsp;</p><p dir=""RTL"">
	آپ صلی اللہ علیہ وسلم کے نام سننے پر درود شریف پڑھنا چاہیے، اس وقت انگوٹھے سے آنکھوں کا چھونا ثابت نہیں ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",66909,deoband,عقائد و  ایمانیات,بدعات و رسوم
31-Aug-2020,https://darulifta-deoband.com/home/ur/innovations-customs/66616,نماز کی بعد ذکر بالجہر,محترم مفتی، صاحب ہمارے کہاں ہر فرض نماز کے بعد خواہ اس کے بعد سنت ہو یا نہ ہو ، ذکر بالجہر یعنی لاالہ الا اللہ پڑھاجاتاہے ، اس کی ترتیب ذرا یوں ہوتی ہے کہ نماز کے بعد اللہم انت السلام و منک السلام، پڑھ کر اجتماعی دعا پھر امام پوری جہر اور مقتدی نیم جہر یا اخفاء سے لاالہ الا اللہ پڑھتے ہیں ۔ پھر ایک مختصر دعا ہوتی ہے ، اور ہر کوئی اپنی جگہ سے اٹھتاہے ، کبھی کبھی کسی مقتدی کی سنت ختم کرنے سے پہلے یہ کیا جاتاہے ، اور اس کی سنت پڑھنے کے دوران ذکر بالجہر اس کو نماز میں غلط کرتاہے ،یہ کبھی کبھی ہوتاہے ۔ ہم آپ سے یہ سوال کرنا چاہتے ہیں کہ کیا اس طرح ذکر نا سنت سے ثابت ہے یا نہیں؟ اگر ثابت ہے تو تو اس طرح التزام سے کرنا افضل ہے یا ترک کرنا ؟ جب کہ یہ ذکر نہ کرنے پر ہمارے یہاں ایک امام کو امامت سے برطرف کردیا گیا۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1107-1192/L=11/1437

ہر نماز کے بعد مذکورہ بالا طریقہ پر ذکر بالجہر کا التزام ثابت نہیں ثانیاً اس کی وجہ سے مسبوقین وغیرہ کی نماز میں خلل بھی پڑتا ہے؛ اس لیے اس کا ترک ضروری ہے، ذکر نہ کرنے پر امام کو برطرف کردینا درست نہ تھا مسجد کی انتظامیہ نے برطرف کرکے سخت غلطی کی ہے۔ اس سے رجوع کرے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",66616,deoband,عقائد و  ایمانیات,بدعات و رسوم
01-Sep-2020,https://darulifta-deoband.com/home/ur/innovations-customs/66199,شب برأت کو حلوا پکانے کے بارے میں کیا حکم ہے؟,شب برأت کو حلوا پکانے کے بارے میں کیا حکم ہے؟کیاشب برأت کو حلوا کھانے کا رجحان درست ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: 922-870/N=9/1437</span></p><p dir=""RTL"">
	&nbsp;</p><p dir=""RTL"">
	شب براء ت میں حلوا بنانے اور کھانے کی رسم غلط ہے، جاہلوں کی ایجاد کردہ ہے، قرآن وحدیث اور شریعت سے اس کا کچھ تعلق نہیں؛ اس لیے اس موقعہ پر حلوا پکانے اور کھانے کی رسم سے بچنا چاہیے (فتاوی محمودیہ ۳: ۲۶۷-۲۶۹، سوال: ۹۳۵، ۹۳۶، مطبوعہ: ادارہ صدیق ڈابھیل، احسن الفتاوی ۱: ۳۸۵، مطبوعہ: دار الاشاعت کراچی، وغیرہ)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",66199,deoband,عقائد و  ایمانیات,بدعات و رسوم
