issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
22-Sep-2023,https://darulifta-deoband.com/home/ur/oaths-vows/151365,عمرہ کی نذر ماننا,گذارش ہے کہ ایک آدمی نے منت مانی کہ میرا فلاں کام ہوجائے تو میں عمرہ کروں گا، جب اُس کا وہ کام ہو گیا تو وہ نذر کا عمرہ کرنے کی بجائے نفلی حج تمتع نذر کے عمرے کی نیت سے کرنے چلا جائے تو کیا اس کا نذر والا عمرہ ادا ہوجائے گا یا الگ سے عمرہ کرنا پڑے گا؟ (2) اگر حج نفلی کرنے چلا جائے اور وہاں جاکر مسجد عائشہ یا جعرانہ سے نذر کی نیت سے عمرہ کرے تو کیا عمرہ ادا ہوجائے گا؟ (3) یا مدینہ منورہ سے واپسی پر جو عمرہ کرے تو اس کو نذر کی نیت سے کرلے تو کیا نذر والا عمرہ ادا ہوجائے گا؟ برائے مہربانی تفصیلاً اور واضح رہنمائی فرمائیں تاکہ نذر والا عمرہ صحیح ادا ہوجائے ؟ اللہ تعالیٰ آپ کو جزائے خیر عطا فرمائیں ، اور آپ کے علم و معرفت میں ترقی عطا فرمائے ۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL""><span dir=""LTR"">Fatwa: 1074-1122/M=10/1438</span></p><p dir=""RTL"">(۱،۲،۳) صورت مسئولہ میں اگر وہ شخص (ناذر) مذکورہ صورتوں میں نذر والے عمرے کی نیت کرکے عمرہ کرلے تو اس کا نذر کرنے والا عمرہ ادا ہوجائے گا۔ ولو قال: إن برأت فعلي حجة، فبرأ وحج جاز عن حجة الإسلام (ہندیة: ۱/۳۲۷)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",151365,deoband,عبادات,قسم و نذر
28-Aug-2020,https://darulifta-deoband.com/home/ur/oaths-vows/151197,’’میں تمہارے ساتھ لطف اندوز ہوا تو اپنی سگی ماں کے ساتھ لطف اندوز ہوں گا‘‘ كہنے كا كیا حكم ہے؟,زید ایک شادی شدہ انسان ہے ، ایک رات جب زید اپنی بیوی سے لطف اندوز ہونا چاہا تو کسی عذر کی وجہ سے زیر کی بیوی نے زید کو ہم بستری سے انکار کر دیا، اس پر زید نے جبراً اپنی بیوی سے ہم بستری کرنا چاہا لیکن زید کی بیوی پھر ہم بستری نہیں کرنے دی(جب کہ وہ حیض کی حالت میں نہیں تھی) ، اس پر زید نے اسی وقت قسم کھائی کہ آج کے بعد اگر میں تمہارے ساتھ لطف اندوز ہوا تو اپنی سگی ماں کے ساتھ لطف اندوز ہوں گا،اور یہ قسم کھانے کے بعد زید اپنی اس قسم کو تقریباً ایک سال تک نبھایا، اب زید پھر اپنی بیوی کے ساتھ لطف اندوز ہونا چاہتا ہے ، اب اس کی کیا صورت ہوگی؟ برائے مہربانی جلد جواب دیں مکمل تفصیل کے ساتھ..... شکریہ,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: 901-923/B=9/1438</span></p><p dir=""RTL"">
	صورت مذکورہ میں قسم نہیں ہوئی البتہ اس طرح کا جملہ کہنے سے وہ گنہگار ہوگا۔ بیوی سے لطف اندوز ہونے کے بعد اس سے کفارہ واجب نہ ہوگا۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",151197,deoband,عبادات,قسم و نذر
01-Sep-2020,https://darulifta-deoband.com/home/ur/oaths-vows/150850,قسم میں ان شاء اللہ کہنا,میں نے ایک بار قسم کھائی کہ ان شاء اللہ آئندہ میں مشت زنی نہیں کروں گا، کچھ دن بعد مجھ سے مشت زنی کا گناہ ہو گیا۔ پھر میں نے قسم کھائی کہ ان شاء اللہ میں آئندہ مشت زنی نہیں کروں گا۔ اس طرح کئی بار ہوا اور ہر دفعہ قسم کے ساتھ میں نے ان شاء اللہ کے الفاظ کہے تھے۔ کیا یہ قسم صحیح ہے؟ اور مجھ پر کفارہ لازم ہے؟ مجھے صحیح تعداد معلوم نہیں، تو کتنا کفارہ ادا کرنا ہوگا؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa: 942-851/sn=8/1438</span></p><p dir=""RTL"" style=""text-align: justify;"">
	صورت مسئولہ میں کفارہ تو واجب نہیں؛ کیوں کہ ان شاء اللہ متصلاً کہنے کی وجہ سے یمین باطل ہوگئی؛ لیکن بار بار اللہ سے وعدہ کرنا پھر آپ کا اس کے خلاف کرنا بہت بری بات ہے، آئندہ ہمت سے کام لیں، ایسا ہرگز نہ کریں، شہوت کو ابھارنے والی چیزوں سے مکمل احتراز کریں، وصل بحلفہ إن شاء اللہ بطل یمینہ وکذا یبطل بہ أي بالاستثناء المتصل کل ما تعلق بالقول عبادة أو معاملة․ (درمختار مع الشامي: ۵/۵۲۷، ط: زکریا)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",150850,deoband,عبادات,قسم و نذر
01-Sep-2020,https://darulifta-deoband.com/home/ur/oaths-vows/150796,كیا قرآن کی قسم کھانے سے قسم منعقد ہوجاتی ہے؟,ایک لڑکے نے غصہ میں کہا ہے کہ قرآن کی قسم میں اپنی بہن کی شادی میں بھی شرکت نہیں کروں گا؟ کیا اس پر کفارہ ادا کرنا ہوگا؟ اگر کرنا ہوگا تو کتنا؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"" style=""text-align: justify;"">
	<span dir=""LTR"">Fatwa: 1076-1094/L=9/1438</span></p><p dir=""RTL"" style=""text-align: justify;"">
	&nbsp;</p><p dir=""RTL"" style=""text-align: justify;"">
	قرآن کی قسم کھانے سے قسم منعقد ہوجاتی ہے،لہذااگر وہ اپنے بہن کی شادی میں شرکت کرتا ہے تو اس کو قسم کا کفارہ دیناہوگا۔اورقسم کاکفارہ یہ ہے کہ دس مسکینوں کو دونوں وقت پیٹ بھرکر کھانا کھلایا جائے یا دس مسکینوں کو کپڑا دیا جائے، اگر ان میں سے کسی پر قادر نہیں ہے تو تین روزے رکھنا ضروری ہے۔</p><p dir=""RTL"" style=""text-align: justify;"">
	&nbsp;قال فی الشامی: ولا یخفی أن الحلف بالقرآن الآن متعارف فیکون یمینًا (درمختار مع الشامي: ۵/۴۸۴، ط: زکریادیوبند)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",150796,deoband,عبادات,قسم و نذر
01-Sep-2020,https://darulifta-deoband.com/home/ur/oaths-vows/150489,قسم ٹوٹنے كا كفارہ,مفتیان عظام و علماء کرام کیا فرماتے ہیں کہ میں نے اپنے دفتر میں ایک چپڑاسی کو غصہ میں کہا کہ خدا کی قسم آج کے بعد تم میرا موٹر سائکل نہیں چلاو گے ۔ تمہیں موٹر سائیکل نہیں دوں گا۔ اس کو کافی عرصہ گزر گیا اور غصہ تو وقتی تھا مگر اس کے ساتھ تعلقات بھی اچھے ہو گئے ہیں ۔ کیا اب میں موٹر سائیکل اس کو چلانے اور استعمال کیلئے دے سکتا ہوں؟ اگر دے سکتا ہوں تو کیا قسم کھائی ہوئی ہے اس کا کیا ہوگا؟ براہ مہربانی رہنمائی فرمائیں ۔ خیر,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa: 960-923/M=8/1438</span></p><p dir=""RTL"">
	صورت مسئولہ میں آپ اگر اس چپراسی کو موٹر سائیکل چلانے اوراستعمال کے لیے دیں گے تو آپ کی قسم ٹوٹ جائے گی اور حانث ہونے (قسم ٹوٹنے) پر قسم کا کفارہ دینا ہوگا، کفارہ دس مسکین کو دو وقت پیٹ بھر کر کھانا کھلانا یا کپڑے دینا ہے اگر اس کی استطاعت نہ ہو تو لگاتار تین روزے رکھنا ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",150489,deoband,عبادات,قسم و نذر
01-Sep-2020,https://darulifta-deoband.com/home/ur/oaths-vows/150003,اگر متعینہ لڑکے سے شادی ہونے پر ایک مہینہ روزہ رکھنے کا خود سے وعدہ کیا تو کیا پورا کرنا ضروری ہے؟,حضرت! میں نے کچھ سال پہلے وعدہ کیا تھا اپنے دل میں خود سے کہ اگر مجھے اس لڑکے سے شادی ہو جائے گی تو میں ایک مہینہ کے روزے رکھوں گی، اب میری اس سے شادی ہوگئی ہے تو کیا اب مجھے یہ روزے رکھنے ضروری ہیں؟ یا ایسے وعدہ نہیں ہوتا؟ تفصیل سے بتائیں۔ شکریہ,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"" style=""text-align: justify;"">
	<span dir=""LTR"">Fatwa: </span>852-748<span dir=""LTR"">/H=</span>7/1438</p><p dir=""RTL"" style=""text-align: justify;"">
	واجب تو اگرچہ نہیں ہیں مگر اچھا یہ ہے کہ ایک ماہ کے روزے بطور شکرانہ رکھ لیں خواہ تھوڑے تھوڑے کرکے ہی رکھیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",150003,deoband,عبادات,قسم و نذر
01-Sep-2020,https://darulifta-deoband.com/home/ur/oaths-vows/148846,مشت زنی کا گناہ ہونے پر 1000رکعات نفل پڑھنے کی قسم کھائی تھی، میں اپنی قسم میں حانث ہوگیا میرے لیے کیا حکم ہے؟,مفتی صاحب میں نے قسم کھا کر کہا کہ اگر میں نے دوبارہ مشت زنی کی تو میں 1000 نفل پڑھوں گا۔ اب میں حانث ہو گیا ہوں، اسلام میں میرے لئے کیا حکم ہے ؟ نیز میں گردوں کا مریض بھی ہوں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p align=""left"" dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: </span>623-538<span dir=""LTR"">/H=</span>5/1438</p><p align=""left"" dir=""RTL"">
	جب کہ قسم کھاکر لازم کرلیں تو حانث ہوجانے کی صورت میں ان نوافل کا پڑھنا واجب ہوگیا اگر مرض کی وجہ سے طویل رکعات نہ پڑھ سکیں تو مختصر مختصر یعنی چھوٹی چھوٹی سورتوں سے حسب سہولت پڑھ کر پوری ایک ہزار رکعات ادا کرلیں: فرکن النذر ہو الصیغة الدالة علیہ وہو قولہ للہ عز شانہ علي کذا أو علي کذا اھ بدائع الصنائع ج۱ص۳۳۳ (دار الکتب العلمیہ بیروت)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",148846,deoband,عبادات,قسم و نذر
01-Sep-2020,https://darulifta-deoband.com/home/ur/oaths-vows/148797,نتیجہ اچھا آنے پر ۱۰۰/ رکعات کی منت مانی مگر ایک سبجکٹ کا نتیجہ اچھا نہیں تو کیا منت پوری کرنا ضروری ہے؟,حال ہی میں میں نے اللہ کے لیے نظر مانی تھی کہ اگر اللہ کی ذات سے میرے تمام ایم ٹیک (M.tech) کے مضامین کے نتائج اچھے رہے تو میں ۱۰۰/ رکعت بطور شکرانہ کے ادا کروں گا، لیکن نتیجہ آنے کے بعد جب میں نے دیکھا کہ میرا نتیجہ ایک مضمون (subject) میں اچھا نہیں تھا، شروع سے ہی میں شکرانہ کی نماز پڑھنا شروع کردیا تھا، میں نے دس رکعت پڑھا تھا کہ جس کے بعد سستی آگئی، میں باقی ۹۰/ رکعتوں کو ادا نہ کرسکا۔ براہ کرم اس معاملہ میں میری رہنمائی فرمائیں۔ کیا مجھے باقی ۹۰/ رکعتوں کی نمازیں مکمل کرنا ضروری ہے؟ اور کیا میں اس کے ادا نہ کرنے پر گنہگار ہوں گا؟ جزاک اللہ خیر,"<p>بسم الله الرحمن الرحيم</p><p> </p><p align=""left"" dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: </span>662-633<span dir=""LTR"">/M=</span>5/1438</p><p align=""left"" dir=""RTL"">
	صورت مسئولہ میں جب کہ ایک مضمون میں نتیجہ اچھا نہیں تھا تو آپ کے ذمہ بقیہ ۹۰/ رکعتوں کی ادائیگی واجب نہیں، ادا نہ کرنے کی صورت میں گناہ نہ ہوگا لیکن احتیاط یہ ہے کہ ادا کرلیں، یکبارگی دشوار ہو تو تھوڑی تھوڑی کرکے ادا کرسکتے ہیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",148797,deoband,عبادات,قسم و نذر
01-Sep-2020,https://darulifta-deoband.com/home/ur/oaths-vows/148641,کیا زبان سے یہ الفاظ ادا کرنے سے شرعی منت لازم ہو جاتی ہے ؟,۱۔ میں وعدہ کرتا ہوں کہ اگرآئندہ میں نے نماز نہ پڑھی تو 500 روپے صدقہ کروں گا۔ ۲۔ میں وعدہ کرتا ہوں کہ اگرآئندہ میں نے فلاں گناہ کیا تو 5000 روپے صدقہ کروں گا۔اگر یہ الفاظ زبان سے ادا کرنے کے بعد کئی نمازیں بھی نہ پڑھیں اور وہ گناہ بھی کئی بار کیا، تو اس کا کفارہ کیا بنے گا؟ ہر نماز نہ پڑھنے پر 500 روپے صدقہ کرنا ہو گا اور ہر بار وہ گناہ کرنے پر 5000 روپے صدقہ کرنا ہو گا؟ خیراً,"<p>بسم الله الرحمن الرحيم</p><p> </p><p align=""left"" dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: </span>624-630<span dir=""LTR"">/M=</span>5/1438</p><p align=""left"" dir=""RTL"">
	(۱،۲) مذکورہ الفاظ کے ذریعہ منت منعقد ہوگئی اس کے بعد آپ نے نماز نہیں پڑھی تو آپ پر لازم ہے کہ ۵۰۰/ روپئے صدقہ کریں اور گناہ کا ارتکاب بھی ہوا تو ۵۰۰۰/ روپئے صدقہ کردیں، اور چونکہ الفاظ میں تکرار نہیں ہے اس لیے ایک مرتبہ صدقہ کردینا کافی ہے۔&nbsp;</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",148641,deoband,عبادات,قسم و نذر
01-Sep-2020,https://darulifta-deoband.com/home/ur/oaths-vows/148210,مسجد میں پیسے دینے کی منت ماننا,ایک آدمی نے کہا کہ منت مانتا ہوں کہ اگر میرا فلاں کام ہوگیا تو پانچ ہزار روپے اس مسجد میں دوں گا۔کیا کام ہونے پر اس طرح کی منت پورکرنا لازم ہے ؟اگر منت پوری کرنا لازم ہے تو اس متعین مسجد میں ہی دینا لازم ہے یا کسی اور مسجد میں بھی دے سکتا ہے یا کسی غریب کو بھی دے سکتا ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p align=""left"" dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: </span>527-521<span dir=""LTR"">/M=</span>5/1438</p><p align=""left"" dir=""RTL"">
	صورت مسئولہ میں کام پورا ہونے پر منت کی تکمیل لازم ہے، لیکن مسجد کی تعیین لازم نہیں، ناذر کو اختیار ہے چاہے روپیہ اس مسجد میں دیدے یا کسی دوسری مسجد میں دیدے، کسی غریب کو دینے سے بھی منت پوری ہوجائے گی، البتہ جس مسجد کو متعین کیا ہے اسی میں دیدینا اچھا ہے۔ نذر لفقراء مکة جاز الصرف لفقراء غیرہا (درمختار مع شامی) مستفاد محمودیہ ۱۴/ ۷۴، ڈابھیل واحسن الفتاوی ۵/ ۴۸۰)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",148210,deoband,عبادات,قسم و نذر
