issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/waqf-mosque-madrasa/39393,اوقاف مسجد,۱- مساجد کا چندہ جلسہ کے کرنے کے دوران مہمانون کی خدمت میں کن کن امور میں استعمال کرنا جائز ہے؟ جیسے کرایہ ، کھانا وغیرہ وغیرہ ۲- ایک دوست عالم نے کھا تھا کہ امام اعظم کے قول کے مطابق دینی امور کی تنخواہ لینا مکمل طور پر نا جائز ہے۔ کیا یہ صحیح ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1060-217/D=7/1433

(۱) مساجد کے لیے جو چندہ کیا گیا انھیں مساجد کے مصرف میں خرچ کرنا ضروری ہے، دوسرے مصارف مہمانوں کی خدمت، کرایہ، کھانا وغیرہ میں خرچ کرنا جائز نہیں، مذکورہ مسجد کے مصارف نہیں ہیں۔
(۲) دینی امور سے کون سے امور مراد ہیں؟ ان کی وضاحت کرکے سوال کریں، طاعات پر امام اعظم ابوحنیفہ رحمہ اللہ کے یہاں اجرت لینا مطلقا ناجائز ہے، البتہ متاخرین فقہاء نے بعض امور دینیہ میں اجرت لینے کو جائز قرار دیا ہے، مثلاً امامت، اذان، تعلیم اور بعض دوسرے حضراتِ فقہاء نے وعظ کو بھی اس میں شامل کیا ہے، ان کے علاوہ دیگر امور میں فقہائے احناف کا متقدمین اور متاخرین سب کے نزدیک اجرت لینا ناجائز ہے۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",39393,deoband,عبادات,اوقاف ، مساجد و مدارس
31-Aug-2020,https://darulifta-deoband.com/home/ur/waqf-mosque-madrasa/39259,مسجد میں دوسری مساجد ومدرسے كے لیے چندہ كرنا؟,آیا در مسجد چندا گرفتن برای مساجد دیگر و مدرسہ دینی و غیرہ درست است؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 966-966/M=6/1433

مسجد میں بوقت ضرورت دیگر مساجد اور دینی مدرسے کا چندہ کیا جاسکتا ہے، بشرطیکہ نمازیوں کا اور آداب مسجد کا پورا خیال رکھا جائے، اور اچھا یہ ہے کہ داخل مسجد حصہ میں نہ کیا جائے۔ 

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",39259,deoband,عبادات,اوقاف ، مساجد و مدارس
01-Sep-2020,https://darulifta-deoband.com/home/ur/waqf-mosque-madrasa/39154,ہر مسجد كا وقف علیحدہ ہوتا ہے,اگر کسی زمین کو ایک مسجد کے لیے وقف کیا گیا، جو زمین اصل مسجد سے کافی دور ہے، اس کے بعد مسجد کے متولی اور کمیٹی نے مل کر کچھ مصلی کے ساتھ اختلاف ہونے کی وجہ سے اس وقف شدہ زمین میں دوسری مسجد بنا لی ، اور یہاں باقاعدہ جماعت اور جمعہ پڑھنے لگے، کچھ مہینوں کے بعداب ان دو فریقوں میں میل جول ہو گیا:اب سوال یہ ہے: ۱- مسجد کی وقف شدہ اس دوسری جگہ پر بنی ہوئی مسجد کیا شرعی مسجد بن گئی ؟ 2- اس مسجد کو اب منہدم کرکے کہاں لے کر جانا جائز ہوگا؟فقہی حنفی کے رو سے رہنائی فرمائیں ۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1212-225/B=7/1433

ہروقف علیحدہ ہوتا ہے، مسجد کا وقف علیحدہ، مدرسہ کا وقف علیحدہ قبرستان کا وقف علیحدہ، حتی کہ ہرمسجد کا وقف علیحدہ ہوتا ہے، ایک وقف کی آمدنی دوسری مسجد میں لگانا جائز نہیں۔ جن لوگوں نے ایک مسجد کی زمین دوسری مسجد میں استعمال کرلی ہے ان کے ذمہ لازم ہے کہ وہ اس زمین کا کرایہ پہلی مسجد کو دیتے رہیں یا پھر اس کی قیمت سے دوسری زمین خریدکر پہلی مسجد کے لیے وقف کریں۔ یہ مسجد مسجد شرعی نہیں ہوئی، اس میں نماز پڑھنے والوں کو مسجد کا ثواب نہیں ملے گا۔ یہ مسئلہ تو دوسری مسجد بنانے سے پہلے پوچھنا چاہیے تھا۔ 

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",39154,deoband,عبادات,اوقاف ، مساجد و مدارس
01-Sep-2020,https://darulifta-deoband.com/home/ur/waqf-mosque-madrasa/38829,مسجد میں نماز جنازہ پڑھنا؟,کیا نماز جنازہ اس طرح مسجد میں ہوسکتی ہے کہ جنازہ مسجد سے باہر ہو اور امام بھی باہر ں؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1018-843/B=6/1433

احناف کے یہاں نماز جنازہ بلا کسی مجبوری کے مسجد میں پڑھنا مکروہ ہے، خواہ جنازہ مسجد سے باہر ہو اور نمازی مسجد میں ہوں۔ فتاویٰ عالمگیری میں مسئلہ مذکور ہے۔ نیز حدیث میں آیا ہے لو صلی في المسجد فلا صلاة لہ یعنی جس شخص نے مسجد میں نماز جنازہ پڑھی اس کی نماز کامل نہیں۔ البتہ اگر مسلسل بارش ہورہی ہے، یا بہت تیز دھوپ ناقابل برداشت ہے یا بارش کی وجہ سے ہرجگہ پانی ہی پانی اور کیچڑ ہی کیچڑ ہے تو ایسی مجبوری میں مسجد میں نماز جنازہ پڑھنے کی گنجائش ہے۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",38829,deoband,عبادات,اوقاف ، مساجد و مدارس
01-Sep-2020,https://darulifta-deoband.com/home/ur/waqf-mosque-madrasa/38807,نیچے كا حصہ مسجد میں دے كر خود اوپر رہائش اختیار كرنا كیسا ہے؟,اگر کوئی شخص اپنے مکان کے نیچے کا حصّہ مسجد کے لئے دے اور اوپر کا حصّہ اپنے استعمال میں رکھے تو یہ مسجد ہوگی یا نہیں یعنی اوپر کا حصّہ استعمال کر سکتا ہے یا نہیں ؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 297-811/N=10/1433

مسجد شرعی وہ ہے جو اوپر ظاہر آسمان تک اور نیچے تحت الثری تک مسجد ہی ہو، اس کی بالائی یا تحتانی کسی بھی منزل کے ساتھ بندے کا حق وابستہ نہ ہو اس لیے اگر آپ اپنے مکان کا بالائی حصہ اپنے لیے مختص رکھیں گے تو یہ مسجد شرعی نہ ہوگی، مسجد شرعی بننے کے لیے ہرحصہ سے اپنا حق ختم کرلینا ضروری ہوگا: قال في الدر (مع الرد کتاب الصلاة باب ما یفسد الصلاة وما یکرہ فیہا: ۲/۴۳۸، ط: مکتبہ زکریا دیوبند): وکرہ تحریما الوطء فوقہ والبول والتغوط لأنہ مسجد إلی عنان السماء اھ وفي الرد: قولہ: ”إلی عنان السماء“․․ وکذا إلی تحت الثری کما في البیري عن الإسبیجابي اھ وقال فيالبحر الرائق (کتاب الوقف: ۵/۴۲۱ط: مکتبة زکریا دیوبند): قولہ: ومن جعل مسجدا تحتہ سرداب أو فوقہ بیت وجعل بابہ إلی الطریق وعزلہ ․․․ فلہ بیعہ ویورث عنہ“ لأنہ لم یخلص للہ تعالی لبقاء حق العبد متعلقا بہ․․․ وحاصلہ أن شرط کونہ مسجدا أن یکون سفلہ وعلوہ مسجدا لینقطع حق العبد عنہ لقولہ تعالی: ”وأن المساجد للہ”․․․ اھ
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",38807,deoband,عبادات,اوقاف ، مساجد و مدارس
01-Sep-2020,https://darulifta-deoband.com/home/ur/waqf-mosque-madrasa/38681,کیا مسجد کے اندرونی حصّے جہاں نماز ادا کی جاتی ہے ، گیس سلنڈر لے جاسکتے ہیں؟,کیا مسجد کے اندرونی حصّے جہاں نماز ادا کی جاتی ہے ، گیس سلنڈر لے جاسکتے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 837-837/M=5/1433

گیس سلنڈر اگر صحیح سے بند نہ ہو تو گیس کی بدبو مسجد میں پھیلے گی، اور استعمال کے وقت بھی اس کی بو ہوتی ہے، فرشتوں کو اس سے اذیت ہوگی، اس لیے مسجد کے حصے میں گیس سلنڈر لے جانے سے احتیاط کی جائے، ہاں اگر سلنڈر مسجد ہی کا ہو اور اسے اندرون مسجد لے جانے کی ضرورت ہو تو اس کا خیال رکھے کہ گیس کی بو مسجد میں نہ ہونے پائے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",38681,deoband,عبادات,اوقاف ، مساجد و مدارس
01-Sep-2020,https://darulifta-deoband.com/home/ur/waqf-mosque-madrasa/38527,مہمانوں کی تواضع مسجد کے پیسوں یعنی چندے سے کی جا سکتی ہے؟,نہایت احترام سے ایک سوال کی بابت پوچھنا چاہتا ہوں کہ آجکل مساجد میں جو جلسے وغیرہ ہوتے ہیں، تو آئے ہوئے مہمانوں کی تواضع مسجد کے پیسوں یعنی چندے سے کی جا سکتی ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 852-700/B=5/1433

جی نہیں، مسجد کے پیسوں سے مہمانوں کی خاطر تواضع کرنا جائز نہیں، جو جلسہ کرانے کے ذمہ دار ہیں وہ اپنے پیسوں سے خاطر تواضع کریں۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",38527,deoband,عبادات,اوقاف ، مساجد و مدارس
01-Sep-2020,https://darulifta-deoband.com/home/ur/waqf-mosque-madrasa/38516,قدیم محراب کو ہٹایا جاسکتا ہے یانہیں,ہمارے شہر میں ایک قدیم مسجد ہے فی الوقت اس کے بازو حصّے پر تعمیر کی گئی جس کے وجھ سے محراب کو ہٹانا پڑرہا ہے، سوال یہ ہے کہ قدیم محراب کو ہٹایا جاسکتا ہے یانہیں اس محراب میں کافی برسوں سے خطبہ دیا جارہا ہے۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 806-806/M=5/1433

اگر وقتی طور پر تعمیر کی ضرورت کی بنا پر محراب کو ہٹانا پڑرہا ہے تو اس میں حرج نہیں، البتہ اسکا خیال رکھا جائے کہ نماز کے وقت امام وسط میں کھڑا ہو یعنی دائیں اور بائیں دونوں طرف کا حصہ برابر رہے، اور اگر مستقل طور پر قدیم محراب ختم کرکے جدید بنانے کا ارادہ ہے تو وسط کو ملحوظ رکھ کر بنایا جاسکتا ہے۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",38516,deoband,عبادات,اوقاف ، مساجد و مدارس
01-Sep-2020,https://darulifta-deoband.com/home/ur/waqf-mosque-madrasa/38406,مسجد میں وقف کی گئی زمین دوبارہ مدرسہ میں وقف کر سکتے ہیں یا نہیں؟,کیا مسجد میں وقف کی گئی زمین دوبارہ مدرسہ میں وقف کر سکتے ہیں یا نہیں؟اگر دے سکتے ہیں تو دینے کا حق کس کا رہے گا اور کسی کے ذاتی نام پر لکّھا جا سکتا ہے یا نہیں؟مہربانی فرماکر جلد جواب دینے کے تکلیف فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 819-682/5/1433

جب ایک زمین واقف نے مسجد کے لیے وقف کردی اور مسجد کے متولی کے حوالہ کردی، تو وہ زمین واقف کی ملکیت سے نکل کر اللہ کی ملکیت میں چلی گئی، وقف مکمل ہونے کے بعد اس میں کسی طرح کا تغیر جائز نہیں، خود وقف کرنے والے کو بھی اس میں ردّ وبدل کرنا جائز نہیں۔ اب دوبارہ مدرسہ میں اسے وقف نہیں کرسکتے ہیں۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",38406,deoband,عبادات,اوقاف ، مساجد و مدارس
01-Sep-2020,https://darulifta-deoband.com/home/ur/waqf-mosque-madrasa/38287,امامت,کیا فرماتے ہیں علماء دین وشرع متین کہ ھمارے محلے کی مسجد میں امام محترم بحمد اللہ دیوبندی عقائد کے حامل ہیں اور امت کی صحیح رہبری فرمارہے ہیں۔ جب موصوف کا تقرر عمل میں آیا تو بعض ذمہ داران نے یہ کہا تھا کہ امام کتنا قابل ہی کیوں نہ ہو تین سال اسکی مدت امامت ہوگی جبکہ موذنین وخدام مسجد کے لئے یہ شرط نہیں ہے۔ ہمارا آپ سے یہ سوال ہے کہ کیا اس طرح سے شرط لگا نا اور بلا وجہ امام کو سبکدوش کردینا عقلا و شرعا درست ہے؟ جبکہ امام صاحب امت کی غلط رہبری نہیں کر رہے ہیں اور کلام پاک بھی عمدہ ہے ۔ ہاں اتنا ضرور ہے کہ باطل فرقوں کا جب تعاقب ہوتا تو بالکل کھلا کھلا کہتے ہیں اور مبطلین کو ان کے اسماء کے ساتھ نشان دہی کرتے ہیں۔ یہ شاید بعض ذمہ داروں کو پسند نہیں آرہا ہے، آپ سے موَدبانہ التماس ہے کہ ہماری رہبری فرمائیں اور اماموں کے تقرر کے سلسلے میں شرعی اعتبارات ارشاد فرمائیں تاکہ آئندہ اس طرح سے ائمہ کا استحصال نہ ہو۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 766-766/M=5/1433

بلاوجہ امام کو سبکدوش کرنا تو صحیح نہیں ہے، لیکن اگر مسجد کمیٹی اتفاقِ رائے سے یہ ضابطہ بناتی ہے کہ مدت امامت صرف تین سال ہوگی تو یہ ضابطہ غلط نہیں کہا جائے گا لیکن تنہا کسی ایک ممبر کے شرط لگانے کا اعتبار نہیں؛ بلکہ اتفاقِ رائے سے وہ ضابطہ بنا ہوا ہونا چاہیے، اور امام کے تقرری کے وقت ان کو ضابطہ بتلادینا چاہیے تاکہ ان کے علم میں رہے، تین سال کی میعاد پوری ہونے کے بعد کمیٹی کو اختیار ہوگا، چاہے دوبارہ بحال کردے یا معزول کردے، اگر کوئی موجب عزل شکایت نہ ہو تو دوبارہ بحال کردینا چاہیے۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",38287,deoband,عبادات,اوقاف ، مساجد و مدارس
