issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/qurbani-slaughtering/69049,ہاسپٹل کھولنے کے لیے قربانی کی کھال دینا ؟,مجھے یہ معلوم کرنا ہے کہ ہمارے میرٹھ میں ایک سمیتی ہے جس کا نام ہے ”یووا سیوا سمیتی (yuwa sewa samity) ، وہ ایک ہاسپیٹل کھولنے جارہی ہے، اس کے لیے وہ قربانی کی کھال لینا چاہتی ہے تو کیا ہم اسے قربانی کی کھال دے سکتے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>
	Fatwa ID: 1253-1267/N=11/1437<br>
	<br>
	اگر خود قربانی کرنے والا یا اس کا وکیل قربانی کی کھال فروخت کردے تو اس کا پیسہ واجب التصدق ہوتا ہے، یعنی: زکوة اور صدقہ فطر کی طرح وہ پیسہ بھی کسی مسلمان غریب ومسکین کو دے کر اسے مالک با اختیار بنانا ضروری ہوتا ہے، کسی رفاہی کام میں لگانا جائز نہیں ہوتا؛ اس لیے کسی شخص، تنظیم یا ادارہ وغیرہ کو ہاسپٹل کھولنے کے لیے قربانی کی کھالیں دینا جائز نہ ہوگا (فتاوی دار العلوم دیوبند ۱۵: ۵۸۶، ۵۸۷، سوال: ۲۷۲، مطبوعہ: مکتبہ دار العلوم دیوبند) ، قال اللہ تعالی: إنما الصدقت للفقراء والمساکین الآیة (سورہ توبہ آیت: ۶۰) ، وقال الحصکفي فی الدر (مع الرد، کتاب الزکاة، باب المصرف۳: ۲۹۱ ط مکتبة زکریا دیوبند) : یصرف المزکي إلی کلھم أو إلی بعضھم، …… ویشترط أن یکون الصرف تملیکا، …، لا یصرف إلی بناء نحو مسجد اھ، وفی الرد: قولہ: ”نحو مسجد“ : کبناء القناطر والسقایات وإصلاح الطرقات وکري الأنھار والحج والجھاد وکل ما لا تملیک فیہ۔ زیلعي اھ ومثلہ في مجمع الأنھر (کتاب الزکوة ۱: ۳۲۷، ۳۲۸ ط: دار الکتب العلمیة، بیروت) ، حیث قال: ولاتدفع الزکوة لبناء مسجد؛ لأن التملیک شرط فیھا ولم یوجد، وکذا بناء القناطیر وإصلاح الطرقات وکري الأنھار والحج وکل ما لا تملیک فیہ اھ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",69049,deoband,عبادات,ذبیحہ وقربانی
01-Sep-2020,https://darulifta-deoband.com/home/ur/qurbani-slaughtering/69026,زکوة اور قربانی کے نصاب میں فرق تفصیل سے بتائیں۔,زکوة اور قربانی کے نصاب میں فرق تفصیل سے بتائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1175-1106/SN=12/1437<br> وجوبِ زکوة کے لیے ”مال“ کا نامی (خواہ خلقةً نامی ہو جیسے سونا، چاندی یا آدمی کے عمل سے نامی ہو جیسے مالِ تجارت) ہونا نیز اس پر سال گذرنا شرط ہے، جب کہ وجوبِ قربانی کے لیے نہ تو مال کا نامی ہونا شرط ہے یا نہ ہی اس پر سال گذرنا، اگر کسی کے پاس حوائجِ اصلیہ سے زائد زمین، جائداد یا اثاثہ ہو تب بھی شرعاً قربانی واجب ہوجاتی ہے بہ شرطے کہ قدرِ نصاب کو پہنچ جائے حالانکہ اس کی وجہ سے زکوة لازم نہیں ہوتی۔</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",69026,deoband,عبادات,ذبیحہ وقربانی
01-Sep-2020,https://darulifta-deoband.com/home/ur/qurbani-slaughtering/69025,ایک شخص کے پاس کتنی نقدی ہوتو قربانی واجب ہوگی؟,ایک شخص کے پاس کتنی نقدی ہوتو قربانی واجب ہوگی؟ اور کیا اس میں ماہانہ تنخواہ بھی شامل کرنی ہوگی؟ اور اگر ماہانہ تنخواہ شامل کرنی ہے تو کیا پورے مہینے کا خرچ نکال کر شامل کرنی ہے؟ قربانی کے مسائل کے لیے کوئی مستند اور آسان فہم کتاب کا نام بھی بتائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 946-778/D=11/1437

چھ سو بارہ گرام تین سو ساٹھ ملی گرام ( 612.360) چاندی یا اس کی قیمت کے برابر نقد روپئے یا سونا موجود ہو یا یہ سب چیزیں مل کر 612.360 چاندی کی قیمت کے برابر ہوجائے یا ضرورت سے زاید سامانوں اور ضرورت سے زاید مکان و زمین کی قیمت بھی ملا کر 612.360 گرام چاندی کے برابر بقرعید کے دنوں میں آدمی کے پاس موجود ہوتو اس پر قربانی واجب ہے تنخواہ کی جو رقم اس وقت (بقرعید کے دنوں میں) موجود ہو اسے بھی حساب میں شامل کرلیا جائے خواہ بقرعید کے بعد انہیں ضروریات میں خرچ کرنا ہو، قربانی کے ضروری مسائل بہشتی زیور میں لکھے ہوئے ہیں انہیں پڑھ لیں اس میں صدقہ فطر اور قربانی کا نصاب بھی لکھا ہوا ہے۔ 
(۲) مسائل قربانی: مرتبہ مولانا رفعت صاحب قاسمی 
(۳) کتاب المسائل حصہ دوم: مرتبہ مفتی محمد سلمان صاحب منصور پوری کا مطالعہ فرمالیں۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",69025,deoband,عبادات,ذبیحہ وقربانی
01-Sep-2020,https://darulifta-deoband.com/home/ur/qurbani-slaughtering/69024,اگر کسی کے پاس صرف چار تولہ سونا ہے تو کیا اس پر قربانی واجب ہے؟,(۱) اگر کسی کے پاس صرف چار تولہ سونا ہے تو کیا اس پر قربانی واجب ہے؟ (۲) اگر کسی کے پاس چار تولہ سونا ہے اور دوہزار نقد اسے عید کے دن ہدیہ ملا ہے تو پھر کیا اس پر قربانی واجب ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 832-832/B=11/1437

(۱) اگر کسی کے پاس صرف چار تولہ سونا ہے چاندی نہیں ہے نہ ہی نقد روپئے ہیں اور نہ ہی تجارتی مال ہے اور زائد از ضرورت اثاثہ ہے تو اس کے اوپر قربانی واجب نہیں، اور اگر ۴/ تولہ سونا کے ساتھ اس کے پاس دس بیس روپئے نقد بھی ہیں تو سونے کی قیمت اور نقد دونوں کا مجموعہ اگر نصابِ چاندی کو پہنچ جاتا ہے تو پھر اس کے اوپر قربانی واجب ہے۔ 
(۲) اگر کسی کے پاس نقدی بھی دوہزار ہے اور چار تولہ سونا بھی ہے تو اس پر قربانی واجب ہوگی۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",69024,deoband,عبادات,ذبیحہ وقربانی
01-Sep-2020,https://darulifta-deoband.com/home/ur/qurbani-slaughtering/68802,کتنی زمین کا مالک قربانی کرے گا؟,زکوة کے لیے تو سونے چاندی نقدی اور جانوروں میں نصاب مقرر ہے اور زمین میں پیداوار پر زکوة ہے قربانی کے لیے بقیہ نصاب تو وہی ہے لیکن زمین کی کتنی مقدار مقرر ہے قربانی کے لیے یعنی کتنی زمین کا مالک قربانی کرے گا؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1060-991/SN=11/1437

اگر کسی کے پاس اتنی زائد زمین (یعنی جس کی پیداوار پر گذارہ موقوف نہ ہو یاوہ زمین جو ایسے ہی خالی پڑی ہو) ہے جس کی مالیت ساڑھے باون تولہ (۶۱۲/ گرام ۳۶۰/ ملی گرام ) چاندی کے برابر یا اس سے زائد ہو شرعاً اس پر قربانی واجب ہے۔ (مستفاد از بہشتی زیور: ۳/۳۴، مسئلہ: ۳، اختری، فتاوی ہندیہ ۱/۲۱۸، الباب الأول في تفسیر الحج، ط: زکریا) 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",68802,deoband,عبادات,ذبیحہ وقربانی
01-Sep-2020,https://darulifta-deoband.com/home/ur/qurbani-slaughtering/68520,کیا ہم قربانی کے جانورکے ساتھ عقیقہ کرسکتے ہیں؟,(۱) کیا ہم قربانی کے جانورکے ساتھ عقیقہ کرسکتے ہیں؟ (۲) تین شوال کو اللہ کے فضل سے بیٹا ہواہے، اس کا نام حمزہ یا ابو حمزہ رکھنا مناسب ہے؟ (۳) ابھی میں ایک کرائے کے کمرے میں منتقل ہوا ہوں جہاں بیت الخلاء اور باتھ روم ایک ساتھ ہیں تو کیا طہارت اور پاگیزکے حوالے سے بیت الخلاء اور باتھ روم کا ایک ساتھ ہونا جائزہے؟اگر ہا ں تو ہمیں اس بارے میں کیا احتیاط کرنی چاہئے؟ (۴) مشترکہ باتھ روم اور بیت الخلاء میں جاتے وقت کیا دعا پڑھنی چاہئے؟یعنی بیت الخلاء میں داخل ہونی کی دعا پڑھنی چاہئے یا کوئی دعا پڑھنی چاہئے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>
	Fatwa ID: 1135-1201/B37=1/1438<br>
	(۱) جی ہاں! بڑے جانور میں ایک حصہ قربانی کا اور دوسرا حصہ عقیقہ کا لے سکتے ہیں۔<br>
	(۲) حمزہ نام رکھئے اس کے معنی شیر کے آتے ہیں۔ حضور صلی اللہ علیہ وسلم کے چچا کا نام بھی حمزہ تھا۔<br>
	(۳) دونوں کا ایک ساتھ ہونا جائز ہے احتیاط یہ ہے کہ درمیان میں پلاسٹک کا ایک پردہ لٹکا دیں۔<br>
	(۴) وہی دعا پڑھی جائیگی جو بیت الخلاء میں داخل ہوتے وقت پڑھی جاتی ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",68520,deoband,عبادات,ذبیحہ وقربانی
31-Aug-2020,https://darulifta-deoband.com/home/ur/qurbani-slaughtering/68156,قربانی كتنے دنوں تك كرسكتے ہیں؟,میری نظر سے روایات گذریں ہیں جن میں4 روز تک قربانی کر سکتے ہیں یعنی 10،11،12 اور13 ذوالحج ،جبکہ احناف کے مطابق قربانی کے ایام 3 ہیں۔کیا 3 دن قرآن ،صحیح حدیث اور سنت سے ثابت ہیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1168-1169/N=11/1437

احناف ؛ بلکہ جمہور علما کے نزدیک قرآن وحدیث کے دلائل کی روشنی میں راجح یہ ہے کہ ایام قربانی صرف تین ہیں، چار نہیں ، اور آپ نے ایام قربانی چار ہونے کے جو دلائل پڑھے ہیں وہ ضعیف ومرجوح ہیں، ان سے استدلال درست نہیں، اگر آپ مستند ومعتبر کتابوں میں ان دلائل کی اسنادی اور استدلالی حیثیت بھی ملاحظہ فرمالیں تو بہتر ہوگا، قال اللّٰہ تعالیٰ لِیَشْہَدُوْ مَنَافِعَ لَہُمْ وَیَذْکُرُوْا سْمَ اللّٰہِ فِیْ اَیَّامٍ مَعْلُوْمَاتٍ (الحج، رقم الآیة۲۸) ۔ وعن عبد اللہ بن عمر: فالمعلومات یوم النحر ویومان بعدہ (تفسیر ابن بي حاتم ۶: ۲۶۱) ، ومثلہ فی الدر المنثور (۴: ۶۴۱) ، ”واذکروا اللّٰہ فی أیام معدودات“ : ولا خلاف أن المراد بہ النحر وکان النحر فی الیوم الاول وہو یوم الأضحی والثانی والثالث ولم یکن فی الرابع نحر فکان الرابع غیر مراد فی قولہ تعالیٰ ”معدودات“ لا ینحر فیہ (کتاب الأحکام للقاضي أبي بکر ممد بن عبد اللہ المالکي ۱: ۵۹) ۔ عن سلمة بن الأکوع قال: قال النبی صلی اللّٰہ علیہ وسلم: مَنْ ضَحّٰی مِنْکُمْ فَلاَیُصْبِحَنَّ بَعْدَ ثَالثةٍ وَبَقِیَ فِیْ بَیْتِہ مِنْہُ شَیءٌ (صحیح البخاري، باب ما یوٴکل من لحوم الأضاحي ص ۸۳۵) ، عن ابن عمر ”الأضحی یومان بعد یوم النحر، وقال مالک: إنہ بلغہ عن علی بن طالب مثل ذلک (موطأ الإمام مالک ص ۱۸۸۔ ۱۸۹) ، مزید دلائل اور تفصیلات کے لیے اعلاء السنن ملاحظہ فرمائیں۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",68156,deoband,عبادات,ذبیحہ وقربانی
01-Sep-2020,https://darulifta-deoband.com/home/ur/qurbani-slaughtering/66190,قربانی کے گوشت سے شادی کے لیے دعوت کرسکتے ہیں؟,قربانی کے گوشت سے شادی کے لیے دعوت کرسکتے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 775-775/Sd=9/1437

قربانی کے گوشت سے شادی کی دعوت کرسکتے ہیں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",66190,deoband,عبادات,ذبیحہ وقربانی
31-Aug-2020,https://darulifta-deoband.com/home/ur/qurbani-slaughtering/66151,اہل سنت مسلک کے لیے باقی مسلک کا ذبیحہ کیساہے؟,اہل سنت مسلک کے لیے باقی مسلک کا ذبیحہ کیساہے؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 911-897/N=9/1437

دوسرے مسلک والوں میں جن لوگوں کے عقائدکفر تک پہنچے ہوئے نہیں ہیں، یعنی: ان پر کفر کا فتوی نہیں ہے، جیسے: غیر مقلد، مودودی اور بریلوی وغیرہ، ان کا ذبیحہ جائز ہے بشرطیکہ وہ جان بوجھ کر بسم اللہ ترک نہ کریں اور جن رگوں کا کٹنا ضروری ہے، وہ ساری رگیں کٹ جائیں۔ اور جن لوگوں کے عقائد کفر تک پہنچے ہوئے ہیں اور ان پر کفر کا فتوی ہے جیسے: قادیانی، بوہری، پرویزی وغیرہ، ان کا ذبیحہ جائز نہیں اگر چہ وہ بسم اللہ پڑھ کر ذبح کریں اور وہ سب رگیں کٹ جائیں، جن کا کٹنا ضروری ہے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",66151,deoband,عبادات,ذبیحہ وقربانی
01-Sep-2020,https://darulifta-deoband.com/home/ur/qurbani-slaughtering/66097,کیا دل میں دعا پڑھنے سے ذبیحہ حلال ہوجائے گا؟,مذبح خانے میں جہاں روزانہ سیکڑوں جانور ذبح ہوتے ہیں وہاں جب ایک قصائی سے دریافت کیا گیا کہ کیا اس نے ذبح کرنے کی دعاپڑھی، مگر ہم نے اسے ذبح کرتے وقت خاموش دیکھا ۱- یا تو اسنے دل میں دعاپڑھی ہو ۲- یا وو ایک بار دعا پڑھ کر اکتفا کر لیتا ہو اور جانور ذبح کرتا جا رہا ہو؟ کیا اس کے اس قول کو کہ اس نے ذبح کی دعا پڑھ لی، جانور کے ذبح ہونے کو حلال قرار دیا جا سکتا ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 693-580/D=9/1437

قصائی کا ہر جانور کو ذبح کرتے وقت بسم اللہ اللہ اکبر کہہ کر ذبح کرنا ضروری ہے اس کے بغیر ذبح شرعی نہیں ہوگا، زبان سے تلفظ کرنا ضروری ہے محض دل ہی دل میں پڑھ لینا کافی نہیں۔ قال في البدائع وأما الذي یرجع إلٰی محل الذکاة فمنہا تعیین المحل بالتسمیة ․․․․ومنہا أن برید بہا التسمیة علی الذبیحة․ مذکورہ تفصیل سے آپ کی دونوں باتوں کا جواب معلوم ہوگیا یعنی ․․․․․
(۱) دل میں پڑھنا کافی نہیں۔ 
(۲) ایک مرتبہ پڑھنے سے صرف وہی ذبح صحیح ہوگا جس پر پڑھا گیا ہے۔ 
(۳) اگر وہ شخص طور طریقے سے قابل اطمینان معلوم ہورہا ہے اور ذبح میں بسم اللہ پڑھنے کی تشریح بھی سمجھتا ہے (جیسا کہ اوپر لکھا گیا) تو اس کی بات پر اطمینان کر لینا جائز ہے۔ لیکن اس سے کہا جائے کہ اتنی زور سے پڑھے کہ پاس کھڑا یا بیٹھا شخص سن لے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",66097,deoband,عبادات,ذبیحہ وقربانی
