issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
08-Mar-2022,https://darulifta-deoband.com/home/ur/taqleed-fighi-schools/610161,حنفیہ احادیث میں جمع و تطبیق كا راستہ اختیار كرتے ہیں,سوال : میں ایک طالب علم ہوں ، حضرت مفتی صاحب ، میرا سوال یہ ہے کہ جب کوئی حدیث ایسی سامنے آتی ہے کہ ہمارا یعنی احناف کا عمل اس کے خلاف ہے تو اس کا جواب یہ دیا جاتا ہے کہ اس کی سند کمزور ہے کوئی راوی ضعیف ہیں جب کہ امام اعظم ابو حنیفہ کے دور کے بعد تدوین حدیث عمل میں آئی ہے تو یہ جواب کیسے دیا جاسکتا ہے اور فقہ حنفی اس سے پہلے مرتب ہو چکا تھا، اس تفصیلی جواب دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa: 836-621/D=08/1443</p><p>&nbsp;واضح رہے كہ احناف متعدد متعارض روایات میں جمع و تطبیق كو ترجیح دیتے ہیں اور حتی الوسع ان كی كوشش یہی ہوتی ہے كہ وہ دوسری روایات كا كوئی نہ كوئی محمل تلاش كریں تاكہ دوسری روایت كو بھی ترك نہ كرنا پڑے اور وہ بھی كسی نہ كسی درجہ میں معمول بہا بن جائے۔ اب اگر كوئی حدیث احناف كے خلاف آئے تو ضروری نہیں كہ اسے ضعیف و موضوع كہہ كر رد كردیں‏، بلكہ ایسا ہوسكتا ہے كہ وہ كسی آیت قرآنی یا كسی دوسری قوی حدیث كے مقابلے میں راجح نہ ہو‏، ایسے وقت میں احناف اس حدیث كو ترك كردیتے ہیں‏، یہاں یہ بات بھی قابل غور ہے كہ جس حدیث كے تعلق سے احناف یہ كہتے ہیں كہ وہ ضعیف ہے تو وہ واقعتاً ضعیف ہوتی ہے؛ اس لیے كہ احادیث كی صحت و ضعف كا فیصلہ محدثین‏ نقاد وائمہ جرح و تعدیل كرتے ہیں خواہ ان كا رجحان فقہ كے كسی مسلك كی طرف ہو‏، لہٰذا یہ بات سراسر غلط ہے كہ احناف اپنے مسلك كے خلاف آنے والی ہر روایت كو ضعیف نہ ہونے كے باوجود ضعیف كہہ كر رد كردیتے ہیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",610161,deoband,عقائد و  ایمانیات,تقلید ائمہ ومسالک
02-Mar-2022,https://darulifta-deoband.com/home/ur/taqleed-fighi-schools/609922,قیاس شرعی كو شیطان كا ابلیس كا عمل كہنا,"کیا یہ کہنا صحیح ہے کہ مخلوقات میں سے سب سے پہلے ابلیس نے قیاس سے کام لیا تھا جب اس نے خود کو آدم علیہ السلام سے افضل تصور کیا تھا۔ اور بنیاد یہ گمان رکھا تھا کہ آگ مٹی سے افضل ہےاور وہ آگ سے تخلیق شدہ ہے جبکہ آدم علیہ السلام مٹی سے ۔
۲۔ میں نے ایک مفتی صاحب کا یہ فتویٰ بھی پڑھا ہے کہ قیاس حرام ابدی ہے۔ جو زندگی میں قیاس کی مدد لے کر شرعی مسائل و عقائد میں اصول و تشریحات کرے گا وہ روز حشر ابلیس کی امامت میں کھڑا ہو گا۔ مندرجہ بالا سوالات کے جوابات عنایت فرمائیں۔ شکریہ۔","<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa: 661-326/TB-Mulhaqa=7/1443</p><p>&nbsp;شرعی اصطلاح میں ‏، اشتراكِ علت كی بنا پر‏، غیر منصوص واقعہ(فرع) پر منصوص(اصل) كا حكم لگانے كو ’’قیاس‘‘ كہاجاتا ہے۔ قیاس كا ثبوت نصوص شرعیہ سے ہے‏،نیے پیش آمدہ مسائل كے احكام‏ حضرات صحابہٴ كرام كے زمانے سے لے كر آج تك&nbsp;&nbsp; كے علماء اسی ’’قیاس شرعی‘‘ كی مدد سے استنباط كرتے آرہے ہیں‏، اس قیاس شرعی(جو كہ ادلہٴ اربعہ میں سے ایك دلیل ہے)كو ابلیس كی ہٹ دھرمی كے ساتھ تشبیہ دیناانتہائی خطرناك اور ضلالت كی بات ہے۔</p><p>(2) یہ&nbsp;&nbsp; بھی حد درجہ گمراہی اور عناد پر مشتمل بات ہے۔</p><p>والقياس في اللغة التقدير، وفي الشرع: تقدير الفرع بالأصل في الحكم والعلة. (نور الأنوار،ص: 394 مطبوعة: دارالفاروق، عمان)3250 - أخبرنا أبو بكر محمد بن الحسن بن فورك، أنا عبد الله بن جعفر، أنا يونس بن حبيب، أنا أبو داود، أنا شعبة، أخبرني أبو عون الثقفي، قال: سمعت الحارث بن عمرو، يحدث، عن أصحاب معاذ من أهل حمص قال: وقال مرة عن معاذ أن رسول الله صلى الله عليه وسلم لما بعث معاذا إلى اليمن قال له: «كيف تقضي إذا عرض لك قضاء؟» قال: أقضي بكتاب الله قال: «فإن لم تجد في كتاب الله؟» قال: أقضي بسنة رسول الله صلى الله عليه وسلم قال: «فإن لم تجد في سنة رسول الله صلى الله عليه وسلم؟» <strong>قال: أجتهد برأيي ولا آلو قال: فضرب رسول الله صلى الله عليه وسلم بيده في صدري وقال: «الحمد لله الذي وفق رسول رسول الله صلى الله عليه وسلم لما يرضي رسول الله صلى الله عليه وسلم»</strong>[السنن الصغير للبيهقي 4/ 130]</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",609922,deoband,عقائد و  ایمانیات,تقلید ائمہ ومسالک
20-Feb-2022,https://darulifta-deoband.com/home/ur/taqleed-fighi-schools/609850,چاروں فقہی مسالک اختلاف کے باوجود صحیح کیوں؟,سوال : میں ہمیشہ یہ سنتا ہوں کہ جب تک آپ سنی ہیں اور چار فقہوں میں سے کسی ایک کا استعمال کرتے ہیں، آپ کے لیے اچھا ہے۔ جو بات میری سمجھ میں نہیں آئی وہ یہ ہے کہ چارمذہب اپنے احکام میں مختلف اور ایک ہی وقت میں صحیح کیسے ہوسکتے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 796-161T/M=07/1443</p><p>&nbsp;چاروں فقہ میں اختلاف کے باوجود وہ برحق ہوسکتے ہیں، اس کی دلیل یہ ہے کہ رسول اللہ صلی اللہ علیہ وسلم کے ایک فرمان پر عمل کے سلسلے میں ایک مرتبہ صحابہ میں اختلاف ہوگیا، ایک گروہ نے رسول اللہ صلی اللہ علیہ وسلم کے ظاہری فرمان پر عمل کیا اور دوسرے گروہ نے منشاء مبارک کو سمجھتے ہوئے عمل کیا، جب یہ معاملہ بارگاہ اقدس میں پیش ہوا تو آپ صلی اللہ علیہ وسلم نے دونوں کی تصویب فرمائی اور کسی پر ناگواری کا اظہار نہیں فرمایا کیوں کہ دونوں نے اپنے اپنے اجتہاد کے مطابق منشاء نبوی (صلی اللہ علیہ وسلم) کی تعمیل کی۔ ان کے درمیان جواز و عدم جواز کا اختلاف بھی ہوا ہے، اس اختلاف کو بعض روایت میں رحمت بھی فرمایا گیا ہے نیز اس اختلاف کا برحق ہونا روز مرہ کی مثال سے بھی سمجھا جاسکتا ہے کہ ایک ملزم کی گرفتاری کو ایک عدالت جائز قرار دیتی ہے اور دوسری ناجائز، قانون کی کتاب دونوں کے سامنے ایک ہی ہے مگر اس خاص واقعے پر قانون کے انطباق میں اختلاف ہوتا ہے اور آج تک کسی نے اس اختلاف کو ”مہمل بات“ قرار نہیں دیا، چاروں ائمہ اجتہاد ہمارے دین کے ہائی کورٹ ہیں، جب کوئی متنازعہ فیہ مقدمہ ان کے سامنے پیش ہوتا ہے تو کتاب و سنت کے دلائل پر غور کرنے کے بعد وہ اس کے بارے میں فیصلہ فرماتے ہیں ایک کی رائے یہ ہوتی ہے کہ یہ جائزہے دوسرے کی رائے یہ ہوتی ہے کہ یہ ناجائز ہے اور تیسرے کی رائے یہ ہوتی ہے کہ یہ مکروہ ہے اور چونکہ سب کا فیصلہ اس امر کے قانونی نظائر اور کتاب و سنت کے دلائل پر مبنی ہوتا ہے اس لیے سب کا فیصلہ لائق احترام ہے گوعمل کے لیے ایک ہی جانب کو اختیار کرنا پڑے گا۔ (مستفاد آپ کے مسائل اور ان کا حل، جلد اول)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",609850,deoband,عقائد و  ایمانیات,تقلید ائمہ ومسالک
02-Mar-2022,https://darulifta-deoband.com/home/ur/taqleed-fighi-schools/609406,مسلک اہل حدیث کب وجود میں آیا؟,اہل حدیث حضرات یے دعویٰ کرتے ہیں کہ ہم صحابہ کے زمانے سے ہیں اور اس پر تفسیر ابن کثیر کے اور تدریب الراوی وغیرہ کے حوالے دیتے ہیں ان دلائل کی کیا حقیقت ہے اور اہل حدیث کب سے ہیں مدلل جواب دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa: 865-712/L=7/1443</p><p>&nbsp;سابقہ ادوار میں اہل حدیث کا لقب کسی فروعی مسلک کے لیے نہیں ؛ بلکہ حدیث پڑھنے پڑھانے والوں کے لیے ہوتا تھا، حدیث سے شغف ركھنے والوں كو ‘‘اہلِ حدیث’’ كہا جاتا تھا ، خاص ایك مسلكی شناخت كے طور پر اس طبقہ كا تعارف ۱۸۵۷ ء كے بعدہوا۔انظر للتفصیل:( محاضرہ رد غیر مقلدیت/1/23/24)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",609406,deoband,عقائد و  ایمانیات,تقلید ائمہ ومسالک
24-Feb-2022,https://darulifta-deoband.com/home/ur/taqleed-fighi-schools/609266,تقلید سے متعلق چند سوالات,"1) ہم امام ابو حنیفہ رحمہ اللہ کی مسلک پر کیوں ہے ؟ 2)ہم باقی تین اماموں کو کیوں فالوں نہیں کر سکتے ؟ 3)کیا امام ابو حنیفہ رحمہ اللّٰہ سب سے افضل ہے ؟
4) کیا امام ابو حنیفہ رحمہ اللہ امام جعفر صادق علیہ السلام کے شاگرد تھے ؟ اگر ہے تو ہم امام جعفر صادق علیہ السلام کو فالو کر سکتے ہیں؟ 5) کیا ہم غیر پیغمبر کو علیہ السلام کہہ سکتے ہے ۔ مثلاً حسین علیہ السلام۔ امام جعفر صادق علیہ السلام وغیرہ۔ 6) شیعہ کہتے ہیں کہ ہم طویل سلسلہ اماموں کو فالو کرتے ہیں۔ کیا ان کا ہمارے چار اماموں کا فالو کرنا باعث کفر ہے ؟ اگر ہے تو کیا ان کے امام راہ راست پر نہیں ہے ؟","<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa: 400-163/TD-Mulhaqa=7/1443</p><p>(۱‏،۲‏،۳) چاروں امام : حضرت امام اعظم ابو حنیفہ ؒ، حضرت امام مالکؒ، حضرت امام شافعی ؒ اور حضرت امام احمد ؒ برحق ہیں، ان میں سے کسی ایک متعین امام کی تقلید لازم اور ضروری ہے اور ہم حضرت امام اعظم ؒ کی تقلید ان کی خصوصیات کی بناء پر کرتے ہیں ، حضرت امام اعظم ابوحنیفہؒ تابعی تھے اور حضرت جعفر صادق ؒ سے بھی آپ نے حدیثیں روایت کی ہیں ، حضرت امام اعظم ؒ کا مذہب آج مدون و مرتب شکل میں موجود ہے، جبکہ امام جعفر صادق ؒ اور دوسرے محدثین و فقہاء کا مذہب آج مرتب شکل میں موجود نہیں ہے؛ اس لیے ان کی تقلید نہیں کی جاتی ۔ اس موضوع پر تفصیل کے لیے دیکھیے: تقلید کی شرعی حیثیت ، مؤلفہ : حضرت مفتی تقی عثمانی صاحب اور الکلام المفید فی اثبات التقلید وغیرہ</p><p>(۲)غیر پیغمبر میں جو صحابہ کرام ہیں ، ان کے نام کے ساتھ رضی اللہ عنہ لکھنا اور بولنا چاہیے اور جو صحابی نہیں ہیں، ان کے نام کے ساتھ رحمۃ اللہ علیہ۔</p><p>(۳) شیعہ حضرات حقیقت میں کسی کی پیروی نہیں کرتے ہیں، وہ اپنے اماموں&nbsp;کی طرف جھوٹی اور من گھڑٹ باتیں منسوب کرتے ہیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",609266,deoband,عقائد و  ایمانیات,تقلید ائمہ ومسالک
16-Feb-2022,https://darulifta-deoband.com/home/ur/taqleed-fighi-schools/609249,اجماع اور قیاس کی شریعت میں کیا ا ہمیت ہے ؟,"اہل سنت والجماعت کے کے چار اصول ہیں 1۔ قرآن 2 حدیث 3اجماع 4 قیاس
درج بالا عنوان میں آ خری دو کو تفصیل کے ساتھ بیان کر دو ان کا کیا کردار ہے اسلام میں ؟","<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:541-296/B-Mulhaqa=7/1443</p><p>&nbsp;”اجماع“ لغت میں، عزم کو کہتے ہیں اوراصطلاح میں ”اجماع“ ائمہ مجتہدین کا کسی زمانے میں کسی دینی امر پر اتفاق کرلینے کو اجماع کہتے ہیں،اجماع کی دو صورتیں ہیں: اول یہ کہ امت کے قابل قدر علما متفق ہوکر یہ کہیں کہ ہم نے اس مسئلہ پر اجماع کرلیا ہے ( جب کہ مسئلہ کا تعلق قول سے ہو) یا( اگر مسئلہ کا تعلق کسی فعل سے ہے ) تو وہ اس فعل پر عمل شروع کردیں۔دوسری صورت یہ ہے کہ امت کے کچھ بڑے علما مذکورہ بالا طریقہ پر اجماع کریں اور دوسرے قابل قدر علماء اس پر سکوت کریں اور اس پر ان کی طرف سے کوئی رد نہ ہو، اس کو اجماعِ سکوتی کہتے ہیں، اجماع کی یہ دونوں صورتیں معتبر ہیں۔” قیاس“ کے لغوی معنی ہیں اندازہ کرنا، ناپنا اور علمائے اصول فقہ کے نزدیک اشتراک علت کی بنا پر، غیر منصوص واقعہ(فرع) پر منصوص(اصل) کا حکم لگانے کو ”قیاس“ کہاجاتا ہے ۔ بہت سے نیے پیش آمدہ مسائل کے احکام، علما نے اسی ”قیاس شرعی“ کی مدد سے استنباط کیے ہیں ۔</p><p>الإجماع: اتفاق مجتہدین صالحین من أمة محمد فی عصر واحد علی أمر قولی أو فعلی، رکن الإجماع نوعان: عزیمة وھو التکلم منھم بما یوجب الاتفاق أی اتفاق الکل علی الحکم بأن یقولوا أجمعنا عملی ھذا، إن کان ذلک الشیء من باب القول أو شروعھم فی الفعل إن کان من بابہ، ورخصة : و ھو أن یتکلم أو یفعل البعض دون البعض و سکت الباقون منھم، ولا یردون بعد مضی مدة التأمل، وھی ثلاثة أیام ومجلس العلم، ویسمی ھذا إجماعا سکوتیًا وھو مقبول عندنا.. (نور الأنوار،ص:385، مطبوعة: دارالفاروق، عمان)</p><p>والقیاس فی اللغة التقدیر، وفی الشرع: تقدیر الفرع بالأصل فی الحکم والعلة․ ( المصدر السابق، ص:394)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",609249,deoband,عقائد و  ایمانیات,تقلید ائمہ ومسالک
14-Dec-2021,https://darulifta-deoband.com/home/ur/taqleed-fighi-schools/607704,شرعی اعذار کے بغیر دوسرے امام کے مسلک پر عمل کرنا,کیا فرماتے ہیں علمائے کرام اس مسئلہ کے بارے میں، ایک حنفی مسلک کا امام شافعی مسلک میں امامت کرنا ہے اور بسم اللہ بالجہر پڑھتا ہے اور فجر کی نماز میں روزانہ قنوت پڑھتا ہے کیا اس آدمی کا روزانہ یہ عمل کرنا جائز ہے ، کیونکہ امام صاحب حنفی مسلک کے ہے اور باقی مقتدی شافعی ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:146-111/D-Mulhaqa=5/1443</p><p>&nbsp;کسی حنفی شخص کے لیے شافعی مسلک کے مطابق بلاضرورت نماز پڑھنا جائز نہیں ہے؛ اس لیے کہ ایک امام کے مقلد کے لیے شرعی اعذار کے بغیر دوسرے امام کے مسلک پر عمل کرنا جائز نہیں ہے؛ البتہ اگر کوئی واقعی ضرورت ہو تو اس کی تفصیل لکھ کر دوبارہ سوال کریں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",607704,deoband,عقائد و  ایمانیات,تقلید ائمہ ومسالک
14-Dec-2021,https://darulifta-deoband.com/home/ur/taqleed-fighi-schools/607582,متاخرین فقہاء کا امام صاحب کے قول کے خلاف فتوی دینا کیاتقلید شخصی کے خلاف ہے ؟,یہ تو امر مسلم ہے کہ ہم جیسے لوگوں کے لیے تقلید کے بغیر کوئی چارہ نہیں ہے اس لیے نہ صرف آج سے بلکہ دور صحابہ سے تقلید چلی آرہی ہے اور فقہ مدون ہونے کے بعد علمائے امت کا چار اماموں کی تقلید پر اجماع ہوگیا ہے اور چار میں سے بھی ایک امام کی تقلید لازم ہے ۔ جسکو تقلید شخصی کہاجاتا ہے تاکہ تشہی پیدا نا ہوجائے اب سوال یہ ہے کہ جب غیر منصوص مسائل میں امام اعظم ابو حنیفہ کی تقلید ضروری ہے تو بعضے مسائل میں ہم حنفی خود امام صاحب کی رائے سے انحراف کرتے نظر آتے ہیں۔ پھر ہی تقلید شخصی کہاں رہی۔ مثلاً۔ امام صاحب تعلیم قرآن پر اجرت کے عدم جواز کے قائل ہیں پھر متاخرین ضرورت زمانہ کی وجہ سے جائز قرار دیتے ہیں اب ہم متاخرین کے قول کو لیکر امام صاحب کے قول کو نہیں لیتے ہیں تو کیا یہ تقلید شخصی سے انحراف ہوا یا نہیں۔ الحمداللہ میں حنفی ہوں ، غیر مقلدین کی طرف سے یہ سوال کیا جاتا ہے برائے مہربانی جواب دیکر قلب کو اطمینان بخشیں۔ اللہ تعالیٰ آپ کی محنتوں کو قبول فرمائے ۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:141-64/T/D-Mulhaqa=5/1443</p><p>&nbsp;آپ نے سوال میں جو مثال پیش کی ہے یہ تقلید شخصی کے معارض نہیں ہے ؛ اس لیے کہ احوال زمانہ کے بدلنے کی وجہ سے متاخرین فقہائے احناف نے تعلیم قرآن پر اجرت کے مسئلے میں حضرت امام شافعی  کے مسلک پر فتوی دیاہے اور مذہب حنفی میں یہ اصول خود موجود ہے کہ تغیر زمانہ کی وجہ سے چند شرائط کے ساتھ دوسرے امام کے مسلک پر فتوی دیا جاسکتا ہے ، اصول افتاء میں ایسے مسائل کی تعبیر اس طرح کی جاتی ہے کہ اگر صاحب مذہب متاخرین کے زمانے میں موجود ہوتے تو وہ بھی یہی فتوی دیتے ، اسی طرح اگر یہ تغیرات صاحب مذہب کے زمانے میں پیش آجاتے تو ان کا جواب بھی مشائخ متاخرین کے جواب سے مختلف نہ ہوتا ، حاصل یہ ہے کہ جن مسائل میں متاخرین فقہائے احناف نے کسی دوسرے امام کے مسلک پر فتوی دیا ہے ، ان مسائل کو مذہب حنفی سے خارج نہیں مانا جائے گا اور اس کو تقلید شخصی کے معارض نہیں کہا جائے گا ، علامہ شامی کی شرح عقود رسم المفتی میں تفصیل موجود ہے ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",607582,deoband,عقائد و  ایمانیات,تقلید ائمہ ومسالک
23-Nov-2021,https://darulifta-deoband.com/home/ur/taqleed-fighi-schools/607261,غیرمقلدین سے کے فتنے سے کیسے بچیں؟,سوال : ۔ سوال پوچنا تھا کہ غیر مقلدین لوگوں کو جو دھوکہ دیتے ہیں یا جو ان دھوکوں میں پھنس چکے ہیں ان کو ہم کس طرح سمجھائیں کہ مختصر طور پر ہر ایک ان نئے فرقوں سے بچیں اور دوسروں کو بچائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 381-329/B=04/1443</p><p>&nbsp;ایسی صورت حال میں عوام پر لازم ہے کہ وہ علماء حق سے اپنا رابطہ مضبوط کریں، اور علماء حق کی یہ ذمہ داری بنتی ہے کہ وہ عوام کو اپنے علاقہ میں موجود فتنوں سے بچائیں، اور ان فتنوں کا تعاقب کریں، نیز اہل سنت والجماعت کی معتبر کتب کا مطالعہ فرمائیں، جن کے اسماء تحریر کئے جاتے ہیں۔</p><p>(۱) مطالعہٴ غیر مقلدیت۔ (۲) ادلّہ کاملہ۔ (۳) غیر مقلدین کے چھپن (56) اعتراضات اور ان کے جوابات وغیرہ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",607261,deoband,عقائد و  ایمانیات,تقلید ائمہ ومسالک
13-Nov-2021,https://darulifta-deoband.com/home/ur/taqleed-fighi-schools/607180,دیوبندی مسلک کے بارے میں ایک سوال,سوال : مجھے نہیں پتا کہ میرا مسلک کیا ہے ۔ لیکن میں اپنے آپ کو دیوبندی کے قریب پاتا ہوں۔ الحمداللہ میں مسلمان ہوں مسلمان گھرانے میں پیدا ہوا۔بدعت والا کام نہیں کرتا۔ نماز پڑھتا ہوں۔ روزانہ کچھ تلاوت کرتا ہوں۔ میں سب کی مسجدوں میں نماز پڑھ لیتا ہوں۔ نماز کے وقت جو قریب ملے ۔ مسلک کیوں ضروری ہے ؟ کیا اللہ مسلک کے حساب سے سزا جزا دے گا؟ میرا مسلک وہ ہے جو رسول اللہ صلی اللہ علیہ وسلم کا ہے ۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 348-79T/D=04/1443</p><p>&nbsp;(۱) آنحضرت صلی اللہ علیہ وسلم کے طریقے کے مطابق زندگی گذارنے اور آخرت میں اللہ تعالی کی رضا اور خوشنودی حاصل کرنے کا طریقہ صحابہ کرام کا طریقہ ہے جسے رسول اللہ صلی اللہ علیہ وسلم نے نجات یافتہ ہونے کی بشارت دی اور اس طریقہ کی نشاندہی ”ما انا علیہ واصحابی“ کے الفاظ سے فرمائی۔ بعد میں آنحضرت صلی اللہ علیہ وسلم اور ان کے اصحاب کا طریقہ اپنانے والے اہل السنة والجماعة کے نام سے موسوم ہوئے۔ ”دیوبندی“ کوئی مسلک نہیں ہے؛ بلکہ آخری دور میں ”علماء دیوبند“ اہل سنت والجماعت کے طریقے کو اختیار کرنے والی جماعت تھی۔ پس خاص پس منظر میں عوام و خواص انھیں دیوبندی کہنے لگے ورنہ درحقیقت یہ اہل سنت والجماعت کا ہی گروہ ہے۔ آپ بھی ان علماء کے طریقے کو پسند کرتے اور اختیار کرتے ہیں یہ بہت اچھی بات ہے نماز کا اہتمام تلاوت و ذکر کی پابندی بدعات سے نفرت اللہ تعالی اور اس کے رسول صلی اللہ علیہ وسلم سے محبت و اتباع مشائخ کاملین (بزرگان دین) سے عقیدت و محبت اہل سنت والجماعت کا شعار ہے اور حضرات علماء دیوبند باحسن وجوہ ان باتوں کے ماننے اور اختیار کرنے والے ہیں۔</p><p>(۲) فقہی مسائل کے اعتبار سے چار امام ممتاز و معروف ہیں: امام اعظم ابوحنیفہ رحمہ اللہ، امام مالک رحمہ اللہ، امام شافعی رحمہ اللہ، امام احمد بن حنبل رحمہ اللہ، جنہوں نے عبادات معاملات، نکاح و طلاق کے سلسلے میں قرآن و حدیث سے مسائل نکال کر احکام بیان کئے ہیں ایسے احکام میں کسی ایک امام کی تقلید اور پیروی ضروری ہوتی ہے اس تقلید کا مطلب یہ ہے کہ قرآن و حدیث کا مطلب سمجھ کر جو تفصیل امام ابوحنیفہ رحمہ اللہ نے بیان کی ہے ہم ان کی بیان کردہ تشریح کے مطابق عمل کرتے ہیں جو شافعی مسلک کو اختیار کرتا ہے وہ امام شافعی رحمہ اللہ کی بیان کردہ تشریح کے مطابق عمل کرتا ہے۔ تقلید یعنی کسی امام کا مسلک اختیار کرنا اس لیے ضروری ہے کہ آیات قرآنی اور ان سے نکلنے والے سارے احکام اسی طرح تمام احادیث معنویہ اور ان سے نکلنے والے احکام و مسائل میں ہر شخص کو مہارت حاصل نہیں ہوسکتی پس وہ اپنے سے بڑے عالم کے بتائے ہوئے مطلب کی پیروی کرے گا جیسا کہ قرآن پاک میں اللہ تعالی نے ارشاد فرمایا: فاسألوا أہل الذکر إن کنتم لاتعلمون جاننے والوں سے معلوم کرو اگر تم نہیں جانتے۔</p><p>ائمہ کی تقلید صرف تین قسم کے مسائل میں کی جاتی ہے اور ان میں تقلید کے بغیر چارہ نہیں، باقی شریعت میں کسی امام کی تقلید نہیں کی جاتی، اللہ اور اس کے رسول ہی کی پیروی کی جاتی ہے۔ (مزید تفصیل کے لیے چند اہم عصری مسائل: 1/36، علمی خطبات مفتی سعید احمد پالن پوری: 1/96، کا مطالعہ مفید ہوگا)۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",607180,deoband,عقائد و  ایمانیات,تقلید ائمہ ومسالک
