issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/nikah-marriage/29823,میں جب اپنی لڑکی کو دیکھتاہوں یا پھراس اوپر اٹھاتاہوں یعنی ہاتھ میں لیتاہوں (جو تین مہینے کی ہے) اچھی نیت سے کہ یہ میری بیٹی ہے، پھتو میرے دل میں شہوت کا خیال آجاتاہے اور تھوڑے جذبات بدل جاتے ہیں، منہ میں پانی بھی آجاتاہے اور اسی جذبات میں اس لڑکی کو کبھی بوسہ دیتا ہوں، اس سے زیادہ اور کچھ نہیں کیا ہوں ۔براہ کرم، بتائیں کہ کیا میرا نکاح میری بیوی کے ساتھ باقی ہے؟ اگر نہیں تو اس کا کچھ کفارہ ہے؟ براہ کرم، ہماری رہنمائی فرمائیں۔,میں جب اپنی لڑکی کو دیکھتاہوں یا پھراس اوپر اٹھاتاہوں یعنی ہاتھ میں لیتاہوں (جو تین مہینے کی ہے) اچھی نیت سے کہ یہ میری بیٹی ہے، پھتو میرے دل میں شہوت کا خیال آجاتاہے اور تھوڑے جذبات بدل جاتے ہیں، منہ میں پانی بھی آجاتاہے اور اسی جذبات میں اس لڑکی کو کبھی بوسہ دیتا ہوں، اس سے زیادہ اور کچھ نہیں کیا ہوں ۔براہ کرم، بتائیں کہ کیا میرا نکاح میری بیوی کے ساتھ باقی ہے؟ اگر نہیں تو اس کا کچھ کفارہ ہے؟ براہ کرم، ہماری رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(م): 313=313-3/1432<br><br>صورت مسئولہ میں آپ کا نکاح آپ کی بیوی کے ساتھ برقرار ہے، تین ماہ کی بیٹی کو بوسہ لینے سے حرمت کا ثبوت نہ ہوگا، البتہ اگر دل میں شہوت کا خیال آجاتا ہے اور جذبات بدل جاتے ہیں تو تقبیل (بوسہ) وغیرہ کے عمل سے احتیاط رکھیں۔<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",29823,deoband,معاشرت,نکاح
01-Sep-2020,https://darulifta-deoband.com/home/ur/nikah-marriage/29796,میری بیوی کو ماہواری کا مسئلہ تھا ، آپریشن ہوا ہے اور ڈاکٹر نے کہا ہے کہ روزانہ ہمبستری لازمی ہے۔ اب مسئلہ یہ ہے کہ اب اس کے ایام ہیں اور خون بھی آرہا ہے ، یہ تو پتا نہیں کہ وہ آپریشن کا زخم ہے یا ماہواری کا ہے تو کیا ہمبستری کر سکتے ہیں؟۔ جب کہ ڈاکٹر نے کہاہے کہ اگر ہمبستری نہ کی تو راستہ پھر بند ہوجائے گا؟ براہ کرم، ہماری رہنمائی فرمائیں۔,میری بیوی کو ماہواری کا مسئلہ تھا ، آپریشن ہوا ہے اور ڈاکٹر نے کہا ہے کہ روزانہ ہمبستری لازمی ہے۔ اب مسئلہ یہ ہے کہ اب اس کے ایام ہیں اور خون بھی آرہا ہے ، یہ تو پتا نہیں کہ وہ آپریشن کا زخم ہے یا ماہواری کا ہے تو کیا ہمبستری کر سکتے ہیں؟۔ جب کہ ڈاکٹر نے کہاہے کہ اگر ہمبستری نہ کی تو راستہ پھر بند ہوجائے گا؟ براہ کرم، ہماری رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(م): 264=264-2/1432<br><br>مسلمان ماہر دین دار ڈاکٹر سے تحقیق فرمالیں وہ کیا کہتے ہیں: خون آپریشن کا ہے یا ماہواری کا ہے؟ سوال میں پوری صورت حال واضح نہیں کہ ماہواری سے متعلق کیا مسئلہ درپیش ہے، خون بالکل نہیں آتا یا بلوغ کے بعد ایک دو مرتبہ آکر بند ہوگیا، اگر ماہواری خون آتا ہے تو اس کی عادت کے ایام کیا ہیں؟ وغیرہ، ان امور کی وضاحت کے بغیر حتمی بات نہیں لکھی جاسکتی، اگر ثابت ہوجائے کہ ماہواری کا خون نہیں ہے تو ہمبستری کی گنجائش ہے۔<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",29796,deoband,معاشرت,نکاح
01-Sep-2020,https://darulifta-deoband.com/home/ur/nikah-marriage/29792,عورت سے ملاعبہ کے دوران پیچھے مقام پر اگر مرد اپنے عضو خاص کو لمس کرائے یا اندر داخل کردے ، پورا اندر نہ جائے اور کپڑا بیچ میں ہو اور مرد کو ڈسچارج ہوجائے تو اس صورت میں کیا دونوں میاں بیوی کو غسل کرنا پڑے گا یا صرف مرد کو غسل کرنا پڑے گا؟ اس لیے کہ مرد کو ڈسچارج ہوا ہے ؟ براہ کرم، رہنمائی فرمائیں۔,عورت سے ملاعبہ کے دوران پیچھے مقام پر اگر مرد اپنے عضو خاص کو لمس کرائے یا اندر داخل کردے ، پورا اندر نہ جائے اور کپڑا بیچ میں ہو اور مرد کو ڈسچارج ہوجائے تو اس صورت میں کیا دونوں میاں بیوی کو غسل کرنا پڑے گا یا صرف مرد کو غسل کرنا پڑے گا؟ اس لیے کہ مرد کو ڈسچارج ہوا ہے ؟ براہ کرم، رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(م): 278=27/2/1432<br><br>صورت مسئولہ میں جب کہ مرد کو انزال ہوا تو صرف مرد پر غسل واجب ہے اور عورت کے پیچھے کے مقام میں ادخال جائز نہیں ہے، حدیث میں اس پر سخت وعید آئی ہے، مرد کو اس سے احتراز لازم ہے۔<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",29792,deoband,معاشرت,نکاح
01-Sep-2020,https://darulifta-deoband.com/home/ur/nikah-marriage/29669,میری عمر 54/ سال ہے اور میری بیوی کی عمر 50/ سال ہے ۔ وہ ڈھائی سال سے ایاس میں مبتلاء ہے اور مجھے چھونے کے لیے نہیں دے رہی ہے۔ میں اپنی جنسی خواہش کی تسکین کے لیے کیا کرسکتاہوں؟ کیا میں اپنے ہاتھ سے منی نکال سکتاہوں؟ براہ کرم، رہنمائی فرمائیں۔,میری عمر 54/ سال ہے اور میری بیوی کی عمر 50/ سال ہے ۔ وہ ڈھائی سال سے ایاس میں مبتلاء ہے اور مجھے چھونے کے لیے نہیں دے رہی ہے۔ میں اپنی جنسی خواہش کی تسکین کے لیے کیا کرسکتاہوں؟ کیا میں اپنے ہاتھ سے منی نکال سکتاہوں؟ براہ کرم، رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(ل): 264=76-3/1432<br><br>استمنا بالید (ہاتھ سے منی نکالنا) حرام ہے،اس لیے اس کی اجازت نہیں دی جاسکتی جب آپ کی بیوی موجود ہے تو آپ اسی سے جنسی تسکین حاصل کریں، آپ کی بیوی کا آپ کو اپنے قریب نہ آنے دینا سخت گناہ کا کام ہے، اگر شوہر اپنی بیوی کو صحبت کے لیے بلائے تو بغیر کسی عذر کے بیوی کا منع کرنا جائز نہیں، ایسا کرنے پر بیوی گنہ گار ہوگی، بہتر یہ ہے کہ آپ ”تحفہٴ دلہن“ کتاب خریدکر بیوی کو دیدیں تاکہ وہ شوہر کے حقوق پہچانے، اگر وہ کسی بھی طرح آمادہ نہ ہو تو آپ شہوت کم کرنے کے لیے روزے رکھا کریں۔<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",29669,deoband,معاشرت,نکاح
01-Sep-2020,https://darulifta-deoband.com/home/ur/nikah-marriage/29626,کیا نکاح میں خطبہ ضروری ہے ؟ نہیں تو پھر کیا کیا ضروری ہے؟کیا کوئی خود اپنا نکاح عورت کی موجودگی میں پڑھاسکتاہے؟ اور کیا گواہی ٹیلفون پر لی جاسکتی ہے؟یا نکاح سے پہلے یا بعد میں لی جاسکتی ہے؟براہ کرم، رہنمائی فرمائیں۔,کیا نکاح میں خطبہ ضروری ہے ؟ نہیں تو پھر کیا کیا ضروری ہے؟کیا کوئی خود اپنا نکاح عورت کی موجودگی میں پڑھاسکتاہے؟ اور کیا گواہی ٹیلفون پر لی جاسکتی ہے؟یا نکاح سے پہلے یا بعد میں لی جاسکتی ہے؟براہ کرم، رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(د): 356=187-3/1432<br><br>نکاح کے اندر خطبہ سنت ہے، نکاح کے اندر دومسلمان مرد یا ایک مسلمان مرد اور دو مسلمان عورتوں کی موجودگی میں ایجاب وقبول کا ہونا ضروری ہے۔ کوئی بھی آدمی عورت کی موجودگی میں اپنا نکاح کرسکتا ہے، البتہ گواہوں کی موجودگی ضروری ہوگی، ٹیلیفون پر گواہی معتبر نہیں ہے؛ کیوں کہ گواہی کے لیے مسجد عقد میں گواہ کا موجود ہونا ضروری ہے، اور گواہی نکاح سے پہلے یا بعد میں نہیں ہوسکتی، بلکہ گواہوں کے لیے مجلس عقد میں موجود ہونا ضروری ہے۔<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",29626,deoband,معاشرت,نکاح
01-Sep-2020,https://darulifta-deoband.com/home/ur/nikah-marriage/29606,میری شادی ہوئے دوسال ہوگئے ہیں اور میرا ایک سالہ بیٹاہے ، میرا شوہر مکمل اہل حدیث ہے، وہ پورے طورپر قرآن کریم پر عمل کرتاہے۔ اس کی ماں اور بہن مجھے بہت زیادہ ذہنی اذیت دیتی ہیں۔جب میں اس بارے میں اپنے شوہر سے کہتی ہوں تو وہ کہتاہے کہ تم صبر کرو اور ان سے بحث نہ کرو۔ وہ اپنی ماں اور بہن سے بہت زیادہ پیار کرتاہے اور ان کی موجودگی میں مجھے نظر انداز کردیتاہے۔ اگر میں اس سے بحث کروں تو وہ دھمکی دیتاہے کہ میں تمہارے ساتھ زندگی بسر نہیں کرسکتاہوں۔ میں اپنے والد کے جنازہ میںآ ئی تھی اور دو مہینے سے یہی ٹھہری ہوں۔ ذہنی الجھن اور کمزوری کی وجہ سے میں نے شوہر کے کہنے باجود اپنے بیٹے کو دودھ پلانا بند کردیا ہے۔ ٹیلیفون پر اپنے شوہر سے بات چیت / بحث کے دوران، میں نے غصہ سے کہا کہ تمہاری بہن میری سوتن بن گئی ہے۔ یہ اس لیے کہ وہ اپنے بھائی کے سامنے میری توہین کرتی ہے جب کہ وہ خاموش رہتاہے۔ میرے شوہر نے مجھے طلاق دینے کا فیصلہ کرلیا ہے ان وجوہات کی وجہ سے؛ (۱) میری والدہ کے رشتہ دار نے اس سے میری کمزوری کے بارے میں پوچھا تو وہ اسے اپنی توہین سمجھتاہے۔ (۲) اس کے کہنے کے باوجود میں نے بیٹے کو دودھ پلانا بند کردیاہے۔ (۳) میں نے اس کی بہن کو سوتن ہونے کا الزام لگایا ہے۔ براہ کرم، اس سلسلے میں قرآنی آیات کے حوالہ سے میری مدد کریں۔,میری شادی ہوئے دوسال ہوگئے ہیں اور میرا ایک سالہ بیٹاہے ، میرا شوہر مکمل اہل حدیث ہے، وہ پورے طورپر قرآن کریم پر عمل کرتاہے۔ اس کی ماں اور بہن مجھے بہت زیادہ ذہنی اذیت دیتی ہیں۔جب میں اس بارے میں اپنے شوہر سے کہتی ہوں تو وہ کہتاہے کہ تم صبر کرو اور ان سے بحث نہ کرو۔ وہ اپنی ماں اور بہن سے بہت زیادہ پیار کرتاہے اور ان کی موجودگی میں مجھے نظر انداز کردیتاہے۔ اگر میں اس سے بحث کروں تو وہ دھمکی دیتاہے کہ میں تمہارے ساتھ زندگی بسر نہیں کرسکتاہوں۔ میں اپنے والد کے جنازہ میںآ ئی تھی اور دو مہینے سے یہی ٹھہری ہوں۔ ذہنی الجھن اور کمزوری کی وجہ سے میں نے شوہر کے کہنے باجود اپنے بیٹے کو دودھ پلانا بند کردیا ہے۔ ٹیلیفون پر اپنے شوہر سے بات چیت / بحث کے دوران، میں نے غصہ سے کہا کہ تمہاری بہن میری سوتن بن گئی ہے۔ یہ اس لیے کہ وہ اپنے بھائی کے سامنے میری توہین کرتی ہے جب کہ وہ خاموش رہتاہے۔ میرے شوہر نے مجھے طلاق دینے کا فیصلہ کرلیا ہے ان وجوہات کی وجہ سے؛ (۱) میری والدہ کے رشتہ دار نے اس سے میری کمزوری کے بارے میں پوچھا تو وہ اسے اپنی توہین سمجھتاہے۔ (۲) اس کے کہنے کے باوجود میں نے بیٹے کو دودھ پلانا بند کردیاہے۔ (۳) میں نے اس کی بہن کو سوتن ہونے کا الزام لگایا ہے۔ براہ کرم، اس سلسلے میں قرآنی آیات کے حوالہ سے میری مدد کریں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(ل): 236=58-2/1432<br><br>شریعت نے کچھ حقوق بیوی کے شوہر پر اور کچھ شوہر کے بیوی پر لازم کیے ہیں، زوجین (میاں بیوی) کو ان کے دائرہ میں رہ کر زندگی گذارنی چاہیے۔ اگر زوجین اللہ تعالیٰ کے قائم کردہ حقوق پر قائم نہیں رہتے تو آپسی انتشار وافتراق تک کی نوبت پہنچ جاتی ہے، بہرحال ابھی آپ دونوں کا معاملہ ابتدائی ہے اس لیے کوشش یہی کریں کہ کسی طرح نبھاوٴ ہوسکے اس کے لیے حقوق الزوجین نامی کتاب منگاکر آپ دونوں مطالعہ کریں، طلاق اللہ تعالیٰ کے نزدیک مباح چیزوں میں سے مبغوض اور ناپسندیدہ ہے، اس لیے کوشش یہی کریں کہ معاملہ طلاق تک نہ پہنچے آپ اس کے لیے دعاوٴں کا اہتمام بھی کرتی رہیں۔ اللہ تعالیٰ آپ کی پریشانیوں کو دور فرمائے۔<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",29606,deoband,معاشرت,نکاح
01-Sep-2020,https://darulifta-deoband.com/home/ur/nikah-marriage/29389,زید اور بکر دو لڑکے ہیں جو آپس میں بدکاری کرتے ہیں تو کیا زید کی بہن کی شادی بکر کے بھائی سے ہوسکتی ہے؟,زید اور بکر دو لڑکے ہیں جو آپس میں بدکاری کرتے ہیں تو کیا زید کی بہن کی شادی بکر کے بھائی سے ہوسکتی ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(م): 203=203-2/1432<br><br>زید کی بہن کی شادی بکر کے بھائی سے ہوسکتی ہے، بشرطیکہ ان دونوں کے درمیان نکاح سے مانع کوئی امر (حرمت رضاعت وغیرہ) نہ ہو۔<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",29389,deoband,معاشرت,نکاح
31-Aug-2020,https://darulifta-deoband.com/home/ur/nikah-marriage/29345,"میں ہندوستان کا رہنے والا ہوں اور ایتھوپیا (حبشہ) میں کسی یونیورسٹی میں اسسٹنٹ پروفیسر کی پوسٹ پر میرا تقرر ہواہے۔ میرا معاہدہ 17/ مہینے کا ہے۔(۱) اگر یونیورسٹی نے میرے معاہدہ میں توسیع کردی اور مجھے کوئی دوسری ملازمت نہیں ملی تب میرا دوبارہ آنے کا ارادہ ہے (۲) اگر یونیورسٹی نے میرے معاہدہ کو بڑھا دیا اور مجھے کوئی اچھی ملازمت مل گئی تب تو خیر میں آنہیں سکتا۔
 میں جس شہر میں رہتاہوں ، اس میں 95/ فیصد مسلم آبادی ہے ۔ یہاں کے حالات یہ ہیں کہ زنا بالکل عام ہے ، زناکرنا ایساہے جیسے پانی پینا۔ رات کو دس بجے دروازہ کھٹکھٹاکر لڑکیاں زنا کی درخواست کرتی ہیں۔ یہاں جو ہندوستانی ہیں وہ یا تو روزانہ بار جاتے ہیں یا رکھیل رکھتے ہیں ۔ یہاں کی زیادہ تر لڑکیاں نیم برہنہ لباس پہنتی ہیں ۔ میں ایک غیر شادی شدہ اور پوری طرح سے بالغ ہوں۔ مجھے اپنے آپ کو زنا سے بچانامشکل ہورہا ہے ۔ ان حالات میں کیا میں یہاں نکاح کرسکتاہوں؟ اگر چہ میرا اس لڑکی کو جسے میں نکاح کروں گا ہندوستان لے جانے کا کوئی ارادہ نہیں ہے۔ا ب اگر وہ لڑکے چاہئے تو میرے جانے کے بعد میری بیوی بن کر رہ سکتی ہے یا اگر چاہے تو میں طلاق دے سکتاہوں۔ ان حالات میں قرآن وحدیث کی روشنی میں مجھے بتائیں کہ میں ان صورتوں کے ساتھ نکاح کرسکتاہوں؟","میں ہندوستان کا رہنے والا ہوں اور ایتھوپیا (حبشہ) میں کسی یونیورسٹی میں اسسٹنٹ پروفیسر کی پوسٹ پر میرا تقرر ہواہے۔ میرا معاہدہ 17/ مہینے کا ہے۔(۱) اگر یونیورسٹی نے میرے معاہدہ میں توسیع کردی اور مجھے کوئی دوسری ملازمت نہیں ملی تب میرا دوبارہ آنے کا ارادہ ہے (۲) اگر یونیورسٹی نے میرے معاہدہ کو بڑھا دیا اور مجھے کوئی اچھی ملازمت مل گئی تب تو خیر میں آنہیں  میں جس شہر میں رہتاہوں ، اس میں 95/ فیصد مسلم آبادی ہے ۔ یہاں کے حالات یہ ہیں کہ زنا بالکل عام ہے ، زناکرنا ایساہے جیسے پانی پینا۔ رات کو دس بجے دروازہ کھٹکھٹاکر لڑکیاں زنا کی درخواست کرتی ہیں۔ یہاں جو ہندوستانی ہیں وہ یا تو روزانہ بار جاتے ہیں یا رکھیل رکھتے ہیں ۔ یہاں کی زیادہ تر لڑکیاں نیم برہنہ لباس پہنتی ہیں ۔ میں ایک غیر شادی شدہ اور پوری طرح سے بالغ ہوں۔ مجھے اپنے آپ کو زنا سے بچانامشکل ہورہا ہے ۔ ان حالات میں کیا میں یہاں نکاح کرسکتاہوں؟ اگر چہ میرا اس لڑکی کو جسے میں نکاح کروں گا ہندوستان لے جانے کا کوئی ارادہ نہیں ہے۔ا ب اگر وہ لڑکے چاہئے تو میرے جانے کے بعد میری بیوی بن کر رہ سکتی ہے یا اگر چاہے تو میں طلاق دے سکتاہوں۔ ان حالات میں قرآن وحدیث کی روشنی میں مجھے بتائیں کہ میں ان صورتوں کے ساتھ نکاح کرسکتاہوں؟


سکتا۔","<p>بسم الله الرحمن الرحيم</p><p> فتوی(ب): 229=218-2/1432<br><br>نکاح کرتے وقت اگر نکاح کی مدت متعین نہ کریں تو نکاح کرنا جائز ہے، ولیس منہ ما لو نکحہا علی أن یطلقہا بعد شہر أو نوی مکثہ معہا مدة متعینة․۰درمختار: ۴/۱۴۹، زکریا)<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",29345,deoband,معاشرت,نکاح
01-Sep-2020,https://darulifta-deoband.com/home/ur/nikah-marriage/29315,میرا حال ہی میں نکاح ہوا ہے ، ابھی رخصتی نہیں ہوئی ہے ۔ میرے شوہر مجھے اپنے ساتھ گھمانے کے لیے جانا چاہتے ہیں، لیکن میرے والد محترم اس کی اجازت نہیں دے رہے ہیں۔ میرے شوہر کہتے ہیں کہ میری بات ماننا تم پر فرض ہے اور والد کا ماننا ہے کہ جب تک میرے گھر میں ہو تم پر میری فرمانبرداری فرض ہے ۔ براہ کرم، میری رہنمائی فرمائیں کہ ایسی صورت میں مجھے کس کی فرمانبرداری کرنی چاہئے؟,میرا حال ہی میں نکاح ہوا ہے ، ابھی رخصتی نہیں ہوئی ہے ۔ میرے شوہر مجھے اپنے ساتھ گھمانے کے لیے جانا چاہتے ہیں، لیکن میرے والد محترم اس کی اجازت نہیں دے رہے ہیں۔ میرے شوہر کہتے ہیں کہ میری بات ماننا تم پر فرض ہے اور والد کا ماننا ہے کہ جب تک میرے گھر میں ہو تم پر میری فرمانبرداری فرض ہے ۔ براہ کرم، میری رہنمائی فرمائیں کہ ایسی صورت میں مجھے کس کی فرمانبرداری کرنی چاہئے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(م): 184=184-2/1432<br><br>شوہر آپ کو اپنے ساتھ کہاں گھمانے کے لیے جانا چاہتا ہے؟ اگر کوئی مخدوش جگہ لے جانا چاہتا ہے جہاں شریعت گھومنے کی اجازت نہیں دیتی تو والد صاحب کی بات پرعمل کریں لقولہ علیہ السلام: لا طاعةَ لمخلوقٍ في معصیة الخالق، اور اگر وہ اپنے والدین وغیرہما سے ملاقات کرانے کے لیے لے جانا چاہتا ہے تواس میں مضائقہ نہیں، شوہر لے جاسکتا ہے، والد صاحب کو منع نہ کرنا چاہیے۔<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",29315,deoband,معاشرت,نکاح
01-Sep-2020,https://darulifta-deoband.com/home/ur/nikah-marriage/29249,کیا میں اپنی بڑی سالی کی بیٹی سے نکاح کرسکتاہوں؟ ایک نے کہا کہ وہ بھانجی ہے ، نکاح نہیں ہوسکتاہے، تو دوسرنے کہا کہ وہ سگی بھانجی نہیں ہے ، اس سے نکاح ہوسکتاہے۔ براہ کرم، اس بارے میں ہماری رہنمائی فرمائیں۔,کیا میں اپنی بڑی سالی کی بیٹی سے نکاح کرسکتاہوں؟ ایک نے کہا کہ وہ بھانجی ہے ، نکاح نہیں ہوسکتاہے، تو دوسرنے کہا کہ وہ سگی بھانجی نہیں ہے ، اس سے نکاح ہوسکتاہے۔ براہ کرم، اس بارے میں ہماری رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(ھ): 245=176-2/1432<br><br>بیوی کی بھانجی سے بھی نکاح حرام ہے، البتہ بیوی کا انتقال ہوجائے یا بیوی کو طلاق دیدے اور بیوی کی عدت گذرجائے تو بعد عدت بیوی کی بھانجی سے نکاح جائز ہوجاتا ہے۔<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",29249,deoband,معاشرت,نکاح
