issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/talaq-divorce/39257,باپ دادا کا کیا ہوا نکاح بہر صورت اور ہمیشہ لازم اور ناقابل فسخ نہیں ہوتا,اگر ایک لڑکی کا نکاح اس کے والد نے کسی سے کرایا، لڑکی نے بعد از بلوغ خلاف احناف خیار بلوغ کے لئے عدالت سے رجو کیا ، پاکستان کے قانون کے مطابق اسے خیار بلوغ دے کر آزاد کردیاگیا، قابل توجہ امر یہ ہے کہ عدالت کا یہ حکم نافذ ہے یا نہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 312-324/N=6/1433

باپ دادا کا کیا ہوا نکاح بہر صورت اور ہمیشہ لازم اور ناقابل فسخ نہیں ہوتا بلکہ بعض صورتوں میں باپ دادا کے کیے ہوئے نکاح میں بھی خیارِ بلوغ حاصل ہوتا ہے۔ کذا فی الدر والرد (کتاب النکاح باب الولی: ۴/۱۷۲، ط: زکریا دیوبند) وجواہر الفقہ: ۲/۱۱۶-۱۲۰) اس لیے جب تک یہ معلوم نہ ہو کہ اس سلسلہ میں عدالت پاکستان کا قانون کیا ہے؟ اور عدالت نے کس بنیاد پر باپ کے کیے ہوئے نکاح کو فسخ کیا ہے؟ عدالت پاکستان کے فیصلہ کی صحت اور عدم صحت کے متعلق کچھ نہیں کہا جاسکتا۔ 

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",39257,deoband,معاشرت,طلاق و خلع
01-Sep-2020,https://darulifta-deoband.com/home/ur/talaq-divorce/39234,زبردستی طلاق,میرا زبردستی کا طلاق برائے خلع ہوا ہے ۔زبردستی کاخلع کہ پہلے سے ہی کورٹ میں ہو اور مجھ سے بعد میں دستخط لیا جائے تو کیا ہوگا؟ اور میں دینا نہیں چاہ رہا تھا بلکہ زبردستی لیا گیا اور خلع کر لیا گیا کہ خلع ہے ، طلاق نہیں ہے، دھمکی دے کر لیا گیا ہے تو اس میں تین طلاق بھی لکھی ہوں تو کیا حکم ہوگا؟ میرے دو چھوٹے بچے ہیں میں نے زبانی طور پر کچھ نہیں کہا، صرف تیار شدہ کاغذات پر دستخط کیا بس ، آپ کی مہر بانی ہوگی رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1178-988/B=6/1433

بہتر یہ ہوگا کہ اس مسئلہ کو آپ اپنے یہاں کے علماء ومفیتان کرام کے ذریعہ حل فرمائیں، ہمارے سامنے خلع کی تفصیل نہیں ہے، زبانی ہوا یا تحریری ہوا، بغیر تفصیلی معلومات کے اور بغیر دونوں فریق کی مسل دیکھے ہوئے ہم کچھ نہیں لکھ سکتے ہیں۔ آپ اپنے یہاں کے مفتیانِ کرام کے پاس پوری مسل پیش کرکے اپنی رہنمائی حاصل کریں۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",39234,deoband,معاشرت,طلاق و خلع
01-Sep-2020,https://darulifta-deoband.com/home/ur/talaq-divorce/39198,تین طلاقوں كے بعد كسی طرح كا تعلق باقی نہیں رہتا,ارشاد نے اپنی بیوی تبسم کو تین طلاق دیدی ہے، اس کے بعد وہ لڑکی اسی گھر میں عدت گذارری ہے جس میں شوہر رہتاہے، تبسم عدت گذارنے کے بعد بھی ارشاد کے گھر رہ رہی ہے ، نہ اس لڑکی کے گھروالے اسے آکر لے جاتے ہیں اور نہ ہی ارشاد یا اس کے گھر والے اسے پہنچاتے ہیں، تبسم کے گھر والے اس سے بیزار ہیں۔ تبسم کہتی ہے کہ اگر کوئی بھی مجھے اس گھر سے نکالے تو میں زہر کھالوں گی، نیز تبسم جس طرح طلاق سے پہلے اپنے شوہر کے ساتھ رہتی تھی اسی طرح طلاق کے بعد بھی رہ رہی ہے۔ آں جناب سے التجاہے کہ تشفی بخش جواب سے نوازیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1240-478/L=8/1433

صورت مسئولہ میں اگر واقعی ارشاد نے اپنی بیوی تبسم کو تین طلاق دیدی ہے تو ان دونوں کا باہم زوجیت کا رشتہ بالکلیہ ختم ہوگیا، اب بغیر حلالہ شرعی کے ان دونوں کے باہم نکاح ہونے اور ساتھ رہنے کی کوئی صورت نہیں ہے، تین طلاق کے باوجود تبسم کا ارشاد کے ساتھ حسب سابق رہنا قطعا ناجائز وحرام ہے، اگر دونوں میں صحبت ہوتی ہے تو صحبت زنا شمار ہوگی، ارشاد اور تبسم پر اب فرض ہے کہ اللہ کے حدود پر قائم رہیں اور فوراً علاحدگی اختیار کرلیں اگر یہ دونوں علاحدگی اختیار نہیں کرتے تو اہل محلہ کی یہ ذمہ داری ے کہ وہ کسی بھی طرح دونوں میں علاحدگی کرادیں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",39198,deoband,معاشرت,طلاق و خلع
01-Sep-2020,https://darulifta-deoband.com/home/ur/talaq-divorce/39167,کیا 3 طلاق ایک ساتھ دینے سے طلاق ہو جاتی ہے؟,اسلام ۳ طلاق کے بارے میں کیا کہتاہے؟ کیا 3 طلاق ایک ساتھ دینے سے طلاق ہو جاتی ہے؟ براہ کرم، قرآن یا احادیث کی روشنی میں بتائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1128-948/B=6/1433

سنت طریقہ طلاق دینے کا یہ ہے کہ صرف ایک طلاق اور وہ بھی پاکی کی حالت میں دے اور پھر چھوڑدے جب عدت گذرجائے گی تو اس کے بعد وہ جہاں چاہے نکاح کرسکتی ہے، شوہر کو بھی آئندہ سوچنے سمجھنے کا موقعہ مل سکتا ہے کہ اگر اسے اپنی حماقت سمجھ میں آئی تو عدت کے اندر رجعت کرسکتا ہے۔
=======================
ایک ساتھ تین طلاق دینا خلافِ سنت طریقہ ہے لیکن اگر کوئی دیتا ہے تو تینوں واقع ہوجائیں گی۔(م)

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",39167,deoband,معاشرت,طلاق و خلع
31-Aug-2020,https://darulifta-deoband.com/home/ur/talaq-divorce/39100,حضرت عویمر عجلانی رضی اللہ عنہ نے رسول اللہ صلی اللہ علیہ وسلم کے سامنے ایک وقت میں تین طلاقیں اپنی بیوی کو دیں، تو رسول اللہ صلی اللہ علیہ وسلم نے ان تینوں کو نافذ فرمادیا,میرا ایک دوست ہے اور اس دوست نے اپنی بیوی کی بدزبانی اور بدتمیزی کی وجہ سے اپنے غصہ کو قابو نہ کرسکا اور اس نے صاف الفاظ میں تین مرتبہ طلاق کہہ دیا۔ بعد میں میرے دوست کے والد نے بتایا کہ رجوع کرسکتے ہو کیوں کہ ایک نشست میں تین دفعہ کہو یا سو دفعہ کہو طلاق ایک ہی مانی جائے گی، اس طرح میرے دوست نے رجو ع کرلیا اور اس معاملات کو گذرے ہوئے دس سال ہوگئے اور اب رجوع کے بعد اس کی اولاد بھی ہیں۔ میرا دوست یہ جاننا چاہتاہے کہ اس کا رجوع شریعت کی روشنی میں صحیح رہا یا غلط ؟اس لیے آپ سے گذارش ہے کہ قرآن وحدیث کی روشنی میں رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1221-209/B=7/1433

جب آپ کے دوست نے غصہ میں تین طلاقیں اپنی بیوی کو دیدیں تو یہ تینوں واقع ہوکر مغلظہ ہوگئیں، اس میں حلالہ شرعی کے بغیر بیوی سے رجوع کرنا جائز نہیں، قرآن میں صاف موجود ہے: فَاِنْ طَلَّقَہَا فَلاَ تَحِلُّ لَہ مِنْ بَعْدُ حَتَّی تَنْکِحَ زَوْجًا غَیْرَہ اور بخاری شریف مسلم شریف ابوداوٴد شریف میں صراحت کے ساتھ حدیث موجود ہے کہ حضرت عویمر عجلانی رضی اللہ عنہ نے رسول اللہ صلی اللہ علیہ وسلم کے سامنے ایک وقت میں تین طلاقیں اپنی بیوی کو دیں، تو رسول اللہ صلی اللہ علیہ وسلم نے ان تینوں کو نافذ فرمادیا، آپ کے دوست کے والد نے قرآن وحدیث کے خلاف مسئلہ بتایا۔ ان کو ایک مجلس میں اگر کوئی تین روپے دے تو وہ ایک ہی شمار کریں گے؟ انھوں نے آپ کے دوست کو غلط مسئلہ بتاکر دس سال سے حرام کاری اور زنا کاری کرارہے ہیں، جو اولاد اس دس سال کے اندر ہوئی ہے وہ آپ کے دوست کے وارث نہ ہوں گے۔ دس سال کے بعد آپ پوچھ رہے کہ یہ رجوع صحیح رہا یا غلط؟ یہ تو اسی وقت پوچھنے کا مسئلہ تھا۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",39100,deoband,معاشرت,طلاق و خلع
01-Sep-2020,https://darulifta-deoband.com/home/ur/talaq-divorce/38980,طلاق كی عدت كی مدت كیا ہے؟,میرے شوہر باہر رہتے ہیں اور انہوں نے مجھے فون پہ پہلی طلاق دی ہے اور میں اس وقت میں حالت حیض میں تھی۔اب وہ مجھ سے نارمل بات کر رہے ہیں اس صورت میں رجوح کرنے کی کیا صورت ہوگی؟اور پھر عدّت کی مدت کیا ہوگی؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 947-655/D=6/1433

اگر آپ کے شوہر نے واقعةً ایک ہی طلاق دی تھی اور طلاق کے بعد سے آپ کو مکمل ۳/ حیض (جس حیض میں طلاق دی تھی اس کے علاوہ) آچکے ہیں؛ تو اب دوبارہ نکاح کرنا ضروری ہے اور اگر طلاق کے بعد سے ابھی (جس حیض میں طلاق دی تھی اس کے علاوہ) مکمل ۳/ ماہ واری نہیں آئی ہیں اور شوہر رجوع کرنا چاہتا ہے تو ۳/ ماہ واری کے آنے سے پہلے پہلے شوہر کو رجعت کا حق حاصل ہے، اس کا طریقہ یہ ہے کہ وہ (شوہر) زبان سے کہہ دے کہ میں رجعت کرتا ہوں۔ یا شوہر وہ معاملہ کرے جو شوہر اور بیوی کے ساتھ مخصوص ہے اور اس سے حرمت مصاہرت ثابت ہوجاتی ہے، ایسا کرنے یا کہنے سے نکاح قائم رہے گا، دوبارہ نکاح کی ضرورت نہ ہوگی اور رجوع کے بعد عدت کی بھی کوئی ضرورت نہیں، وإذا طلّق الرجل امرأتہ تطلیقة رجعیة فلہ أن یراجعہا في عدتہا (الہندیة: ۱/۴۷۰)

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",38980,deoband,معاشرت,طلاق و خلع
01-Sep-2020,https://darulifta-deoband.com/home/ur/talaq-divorce/38928,میں نے طلاق دی تین مرتبہ لکھا ۔کیا تین ماہ کی عدت میں دوبارہ رجوع کیا جاسکتا ہے یانہیں؟,ایک شخص نے اپنی بیوی کو یک مشت تین طلاق کا نوٹس یونین کونسل کی طرف سے دے دیا ہے ۔جس میں یہ تحریر کی ہے کہ میں نے طلاق دی تین مرتبہ لکھا ۔کیا تین ماہ کی عدت میں دوبارہ رجوع کیا جاسکتا ہے یانہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 250-254/N=6/1433

شریعت نے مرد کو صرف تین طلاق کا اختیار دیا ہے، تین طلاق دیدینے کے بعد بیوی شوہر پر ایسی حرام ہوجاتی ہے کہ حلالہ شرعی سے پہلے وہ دوبارہ اس شوہر کے نکاح میں نہیں آسکتی، قال اللہ تعالیٰ: فَاِنْ طَلَّقَہَا فَلاَ تَحِلُّ لَہ مِنْ بَعْدُ حَتَّی تَنْکِحَ زَوْجًا غَیْرَہ․ الآیة (سورٴ بقرہ، آیت: ۲۳۰) وقال الفتاوی الہندیة: (کتاب الطلاق، باب في الرجعة فصل في ما تحل بہ المطلقة وما یتصل بہ: ۱/۴۷۳): وإن کان الطلاق ثلاثاً في الحرة․․․ لم تحل لہ حتی تنکح زوجا غیرہ نکاحا صحیحا ویدخل بہا ثم یطلقہا أو یموت عنہا کذا في الہدایة إھ اس لیے بشرط صحت سوال صورت مسئولہ میں سوال میں مذکور شخص کی بیوی پر تین طلاقیں واقع ہوگئیں اور اب وہ حلالہٴ شرعی سے پہلے عدت میں رجعت کرنے یا بعد از عدت نکاح جدید کرنے یا کسی اور طریقہ سے اس کی زوجیت میں نہیں آسکتی۔ 

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",38928,deoband,معاشرت,طلاق و خلع
01-Sep-2020,https://darulifta-deoband.com/home/ur/talaq-divorce/38824,شوہر بیوی سے پوچھے کی کیا تم طلاق چاہتے ہو اور بیوی کہے کی ہاں,اگر شوہر اور بیوی کی درمیان یہ باتیں ہوجائے تو کیا طلاق واقع ہوجاتی ہے یا نہیں؟ الفاظ کچھ ایسے ہیں کہ غصے کے حالت میں بیوی شوہر سے کہے کے مجھے طلاق چاہیے ، پھر شوہر بیوی سے پوچھے کی کیا تم طلاق چاہتے ہو اور بیوی کہے کی ہاں میں طلاق چاہتی ہوں پھر شوہر بولیکہ ٹھیک ہے ، پہلے تم اپنے ماں باپ سے کہو اور وجہ بھی بتانا، تو اگر بیوی ماں باپ سے کہے کہ میں طلاق چاہتی ہوں اور وجہ بھی بتائے تو کیا طلاق واقع ہوجاتی ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> 
فتوی: 1044-868/B=6/1433

جی نہیں! ان باتوں سے طلاق واقع نہیں ہوتی، ان باتوں میں شوہر کی طرف سے کوئی جملہ بھی ایقاعِ طلاق کا نہیں ہے۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",38824,deoband,معاشرت,طلاق و خلع
01-Sep-2020,https://darulifta-deoband.com/home/ur/talaq-divorce/38595,کلما طلاق کا مسلہ,ایک آدمی کی ایک عورت کے ساتھ منگنی ہوئی اور کچھ عرصے کے بعدکسی کے سامنے ا سں شخص سے مذکورہ عورت کے بارے میں بات چل رہی تھی اس نے کہا کہ میں اس سے نکاح کرو تو کلما طلاق اور اس نے نیت باقیوں کی کی کہ اگر اس سے نکاح کروں تو باقی عورتوں کو طلاق اور اب اس کا کیا حکم ہے؟کیا اس عورت سے نکاح جائز ہے یا نہیں؟ اور باقی عورتوں کے بارے میں کیا حکم ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1021-846/B=6/1433

”کلما طلاق“ شریعت اسلام میں کوئی طلاق نہیں، یہ لغو کلام ہے اس کہنے سے نہ اس عورت پر طلاق واقع ہوگی نہ باقی عورتوں پر طلاق واقع ہوگی ۔ 

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",38595,deoband,معاشرت,طلاق و خلع
01-Sep-2020,https://darulifta-deoband.com/home/ur/talaq-divorce/38218,ایک صحابی نے حضور صلی اللہ علیہ وسلم کے سامنے اپنی بیوی کو ایک مجلس میں تین طلاقیں دیں، تو حضور صلی اللہ علیہ وسلم نے تینوں طلاقوں کو نافذ کردیا,میری بہن جو سعودی عرب میں رہتی ہیں ان کو ان کے شوہر نے تین طلاق دیدی ہے ، کیا یہ طلاق ہوگئی ہے یا نہیں؟کچھ لوگوں کا کہناہے کہ ایک بار میں تین طلاق نہیں ہوتی۔ اس بارے میں شریعت محمد ی کی روشنی میں جو احکامات ہیں وہ بتائیں۔ میری بہن کو سعودی میں کسی نے کہا ہے کہ وہ اپنے سابق شوہر سے دوبارہ شادی کرسکتی ہے بغیر کسی حلالہ کے ۔ براہ کرم، جواب دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 721-621/B=5/1433

جی ہاں وہ تینوں طلاقیں واقع ہوکر مغلظہ ہوگئی، اب حلالہٴ شرعی کے بغیر دوبارہ بیوی کو اپنی زوجیت میں رکھنا جائز نہیں، ابوداود شریف میں حدیث صحیح موجود ہے کہ ایک صحابی نے حضور صلی اللہ علیہ وسلم کے سامنے اپنی بیوی کو ایک مجلس میں تین طلاقیں دیں، تو حضور صلی اللہ علیہ وسلم نے تینوں طلاقوں کو نافذ کردیا۔ اس حدیث کو علامہ شوکانی نے صحیح قرار دیا ہے۔ کسی حدیث میں تینوں طلاقوں کے بعد دوبارہ بیوی کو رکھنے کا ذکر نہیں آیا ہے، آپ صلی اللہ علیہ وسلم نے کسی کو اجازت نہیں دی ہے۔ ”فَاِنْ طَلَّقَہَا فَلاَ تَحِلُّ لَہ‘ مِنْ بَعْدُ حَتَّی تَنْکِحَ زَوْجًا غَیْرَہ (الآیة، سورہٴ بقرہ آیت: ۲۳۰) میں صاف صراحت موجود ہے کہ تیسری طلاق کے بعد وہ حلالہ کے بغیر بیوی حلال نہیں ہوگی۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",38218,deoband,معاشرت,طلاق و خلع
