issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
14-Sep-2021,https://darulifta-deoband.com/home/ur/food-drinks/605898,مچھلی کے کون کون سے اجزاء حلال ہیں؟,مچھلی کے جو گلفد ہے، کیا یہ حلال ہوتے ہیں اور مچھلی کے کون کون سے اجزاء حلال ہوتے ہیں ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 5-74/H=02/1443</p><p>&nbsp;مچھلی مائی المولد ہے اس کا کوئی جزو ناپاک نہیں ہوتا پس اس کے تمام اجزاء (گلفد گلپھڑا وغیرہ) حلال ہیں (امداد الفتاوی: 1/97، وص: 4/104) البتہ مچھلی کے پیٹ میں جو آلائش ہوتی ہے اور اُس کا کھانا مضر بھی ہے لہٰذا اس کا کھانا جائز نہیں ہے۔ حاصل یہ کہ مچھلی کے تمام اجزاء حلال ہیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",605898,deoband,معاشرت,ماکولات ومشروبات
16-Aug-2021,https://darulifta-deoband.com/home/ur/food-drinks/605340,کھیتی میں شراب ڈالنے اور اس سے پیدا ہونے والے غلے كا كیا حكم ہے؟,کیا کھیتی میں شراب ڈالنا جائز ہے تاکہ کھیتی کو مرض نا لگے ، ہمارے یہاں کھیتی میں شراب ڈالی جاتی ہے تاکہ کھیتی کو مرض نا لگے جس کی نوعیت کچھ اس طرح ہے کہ ایک پاؤ ۲۵۰گرام یا آدھی کلو ۵۰۰گرام نالی میں بہتے ہوئے پانی میں ڈال دی جاتی ہے یا اسپرے کردی جاتی ہے تو کیا اس طرح کرنا جائز ہے اور کھیتی کی پیداوار کو مثلا گنا یا سبزی وغیرہ کو کھانا استعمال کرنا اور خرید و فروخت کرنا جائز ہے یا نا جائز؟ برائے مہربانی مدلل جواب دیکر شکریہ کا موقع دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:918-682/sd=1/1443</p><p>&nbsp;کھیتی میں شراب ڈالنا جائز نہیں ہے،یہ حرام وناپاک چیز سے فائدہ اٹھانا ہے۔(دیکھیے:اختری بہشتی زیور، جلد نہم ، صفحہ ۱۰۶) لیکن ایسی کھیتی کی پیدا وار کا استعمال اور اس کی خرید وفروخت درست ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",605340,deoband,معاشرت,ماکولات ومشروبات
08-Aug-2021,https://darulifta-deoband.com/home/ur/food-drinks/605158,حرام و حلال چیز کی پہچان كیسے ہو؟,آج کل کسی بھی کمپنی کے سامان کو حرام اور نجس کہنا عام ہوگیاہے، اس لیے کسی پر اور کسی سامان پر بھروسہ کرنا مشکل ہوگیاہے، سوال یہ ہے کہ میں کیسے تحقیق کرسکتاہوں کہ یہ چیز حرام ہے یا حلال؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:881-659/sd=12/1442</p><p>&nbsp;اگر کسی مصنوع کے بارے میں یقینی علم ہو جائے کہ اس میں حرام یا ناپاک اجزاء شامل ہیں تو اس کا کھانا ناجائز ہو گا،لیکن جب تک کسی چیز میں حرام جز کے شامل ہونے کا یقینی علم نہ ہو اس کے کھانے کو ناجائز اور حرام نہیں کہہ سکتے، افواہ اور سنی سنائی بات کی وجہ سے حرمت کا حکم نہیں لگتا ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",605158,deoband,معاشرت,ماکولات ومشروبات
07-Jul-2021,https://darulifta-deoband.com/home/ur/food-drinks/604901,کھاتے وقت لقمہ گرجائے تو كیا كرنا چاہیے؟,بعض لوگ کھانے آداب میں یہ کہتے ہیں کہ اگر لقمہ ہاتھ سے گر جاتے تو اسے بائیں ہاتھ سے اٹھاکر دائیں ہاتھ میں ڈال کر کھا لینا چاہیے کیونکہ ہاتھ سے جو گرتا ہے وہ شیطان گرا تا ہے ۔ اور منہ سے جو گرتا ہے وہ فرشتہ گرا تا ہے اس لئے منہ سے گرا ہوا نہیں کھانا چاہیے ، کیا اس طرح بات کسی حدیث وغیرہ میں منقول ہے ؟ رہنمائی فرمائیں جزاکم اللّہ خیرا۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 1050-760/B=11/1442</p><p>&nbsp;مسلمان جب کھانا کھاتا ہے تو اس کے کھانے میں برکت ہوتی ہے اور شیطان یہ کوشش کرتا ہے کہ برکت والا حصہ ہماری حلق کے اندر نہ پہونچے، لہٰذا وہ کبھی ہاتھ سے اور کبھی منہ سے لقمہ گرادیتا ہے (فرشتہ نہیں گراتا ہے)۔ وہ لقمہ داہنے ہاتھ سے اٹھاکر کھالینا چاہئے تاکہ برکت والے حصہ سے ہم محروم نہ رہیں۔ یہ جو کچھ ہم نے لکھا ہے حدیث کی روشنی میں لکھا ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",604901,deoband,معاشرت,ماکولات ومشروبات
30-Jun-2021,https://darulifta-deoband.com/home/ur/food-drinks/604895,حلال جانور کا چمڑا کھانا کیسا ہے ؟,جہاں تک مجھے معلوم ہے تو حلال جانوروں کا چمڑا کھانا بھی اسلام میں حلال ہے ، مگر ہمارے سماج میں اس کے کھانے کا رواج نہیں، یہاں تک کہ عوام الناس میں زیادہ تر لوگ اسے ناجائز سمجھتے ہیں۔ اب جبکہ حکومت کی دخل اندازی سے جلد کی اچھی قیمت نہیں ملتی تو لوگ اسے ضائع کر دیتے ہیں۔ معلوم یہ کرنا چاہتا ہوں کہ، کیا حلال جانوروں کے چمڑے کو کھانے کا رواج دینا بہتر ہوگا؟ کیا اس میں کسی بھی طرح کی کوئی کراہت ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:803-150T/sd=11/1442</p><p>&nbsp;شریعتِ اسلام میں جانور کے گوشت اور کھال کا ایک ہی حکم ہے ، جس طرح گوشت کھانا حلال ہے اسی طرح اس کی کھال کھانا بھی حلال ہے ، بالوں کو صاف کرکے چمڑے کو پکاکر کھانا بلاکراہت جائز ہے ۔ وذکر بکر رحمہ اللہ تعالیٰ أن الجلد کاللحم۔ (الفتاوٰی البزازیة علی الفتاویٰ الہندیة، کتاب الاضحیة، ۶ / ۲۹۴، رشیدیة، فتاوی محمودیہ: ۲۱۱/۲۶، میرٹھ ) بعض علاقوں میں اس کے کھانے کا رواج بھی ہے ؛ لیکن یہ کوئی ضروری نہیں ہے کہ ہر حلال چیز ہر شخص کو مرغوب اور پسند ہو، جیسے جانور کی زبان وغیرہ ،پس چمڑا کھانے کی ترغیب دینے میں ہمیں کوئی فائدہ نظر نہیں آتا جب کہ بہت سے افراد چمڑے کو دوسرے مفید کاموں میں بھی استعمال کرتے ہیں ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",604895,deoband,معاشرت,ماکولات ومشروبات
10-Jun-2021,https://darulifta-deoband.com/home/ur/food-drinks/604890,جس حلال جانور پر حكومت كی طرف سے پابندی ہو اس كا گوشت كھانا كیسا ہے؟,خرگوش کھانے سے حکومت کی طرف پابندی ہے ، اس سلسلے میں کیا ہمارے لیے جائز ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:805-562/sd=10/1442</p><p>&nbsp;خرگوش کا گوشت شریعت کی رو سے حلال ہے، کھاسکتے ہیں،حضور ﷺ اور حضراتِ صحابہٴ کرام رضی اللہ عنہم اجمعین سے خرگوش کا گوشت تناول فرمانا ثابت ہے۔</p><p>وحل …الأرنب ( تنویر الأبصار مع الدر المختار: ۹/ ۴۴۶، کتاب الذبائح، زکریا، دیوبند) ولا بأس بأکل الأرنب لأن النبی صلی اللہ علیہ وسلم أکل منہ حین أہدی إلیہ مشویًا وأمر أصحابہ بالأکل منہ ولأنہ لیس من السباع ولا من أکلة الجیف فأشبہ الظبی۔ ( ہدایہ)</p><p>باقی اگر قانونا پابندی ہے تو اپنی عزت و آبرو کو خطرے میں ڈالنا دانشمندی کے خلاف ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",604890,deoband,معاشرت,ماکولات ومشروبات
03-Apr-2021,https://darulifta-deoband.com/home/ur/food-drinks/603453,سویابین كھانا كیسا ہے؟,یوجد فی کثیر من المأکولات الہندیة صویبین مثلا فی Indian pasta فہل یجوز تناول الصویبین ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:576-529/N=8/1442</p><p>&nbsp;نعم! یجوز تناول الصویا بین الذي یوجد في بلادنا الھند أیضاًوھو مما یزرع في الأرض بشرط أن لا یثبت شوب شیٴ من الحرام أو النجس في مرحلة من مراحل جعلہ علی ھیئة ما یوجد في الدکانین ویوکل علیھا، فإن ثبت فیکون الحکم الشرعي بحسبہ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",603453,deoband,معاشرت,ماکولات ومشروبات
20-Feb-2021,https://darulifta-deoband.com/home/ur/food-drinks/602994,حرام آمدنی والے کے یہاں کھانا,"میری ساس اور میرے بہنوئی حرام کماتے ہیں۔ اگر مجھے ان کے گھر بلایا گیا تو ، کیا میں ان کی دعوت قبول کرسکوں گا؟ کیا ان کا کھانا میرے لئے حلال ہوگا؟
2 ، حرام کی آمدنی میرے سسرال کے گھر حلال آمدنی میں شامل ہے ، اس معاملے میں یا میری بیوی اس گھر میں کھا سکتے ہو؟ کیا حلال ہوگا؟","<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:567-400/sn=7/1442</p><p>&nbsp;(1) آپ کے بہنوئی کی غالب آمدنی اگر حرام ہو ،مثلا: سود، جوا، سٹہ یا ناجائز ملازمت سے حاصل شدہ ہو تو آپ ان کے یہاں کھانا نہ کھائیں، جائز نہیں؛ ہاں اگر وہ یہ صراحت کرے کہ کھانے کا نظم حلال رقم سے یا کسی سے قرض لے کر کیا ہے تو پھر کھانے کی گنجائش ہے ۔(2) مدار غالب کمائی پر ہے ، آپ کے سسرال کے اخراجات میں جورقم استعمال ہوتی ہے اگر اس کا غالب حصہ حلال آمدنی کاہے توکھانا کھانے کی گنجائش ہے ، اگر غالب حصہ حرام کمائی سے حاصل شدہ ہے تو آپ کے لئے یا آپ کی بیوی کے لئے وہاں کھانا کھانا شرعا جائز نہیں ہے الا یہ کہ کھانے کا نظم حلال آمدنی سے یا کسی سے قرض لے کر کیا گیا ہو۔</p><p>آکل الربا وکاسب الحرام أہدی إلیہ أو أضافہ وغالب مالہ حرام لا یقبل، ولا یأکل ما لم یخبرہ أن ذلک المال أصلہ حلال ورثہ أو استقرضہ، وإن کان غالب مالہ حلالا لا بأس بقبول ہدیتہ والأکل منہا، کذا فی الملتقط.[الفتاوی الہندیة 5/ 343، مطبوعة: مکتبة زکریا، دیوبند، الہند)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",602994,deoband,معاشرت,ماکولات ومشروبات
11-Mar-2021,https://darulifta-deoband.com/home/ur/food-drinks/602907,اگر باپ كا مال حرام ہو تو اس سے كھاسكتے ہیں؟,اگر کسی کا باپ حرام مال کماتاہے اور اس کی عمر ۱۹سال ہو تو اور کام سیکھ رہا ہو انٹرنیٹ سے تو کیا باپ کا مال اس کے لیے جائز ہے؟ باپ اس کی یونیورسٹی کی فیس اورکھانے پہننے کا خرچ دیتا ہے تو کیا یہ مال اس پر حرام ہوجائے گا؟ یا اگر وہ اس چیز کی نیت کرلے کہ یہ قرض ہے جو بعد میں باپ کو ادا کردیا جائے گا تو کیا اس صورت میں یہ مال حلال ہوسکتاہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 581-482/B=07/1442</p><p>&nbsp;اگر باپ کی کمائی کا اکثر حصہ حلال کا ہے اور تھوڑا بہت حصہ حرام کا ہے تو باپ کی کمائی بیٹے کے لئے کھانا درست ہے۔ اور اگر باپ کی کل کمائی حرام کی ہے یا اکثر حصہ کمائی حرام کا ہے اور پورے یقین کے ساتھ معلوم ہے تو بیٹا اگر ابھی باپ کی کفالت میں ہے اور کوئی کام نہیں سیکھا ہے تو کام سیکھنے تک اس کے لئے باپ کی کمائی کھانے کی گنجائش ہے۔ اور اگر بیٹے نے کام سیکھ لیا ہے تو اسے چاہئے کہ اپنی حلال کمائی کماکر کھائے اور باپ کو حرام کمائی چھوڑنے کی گاہے گاہے تلقین کرتا رہے۔</p><p>---------------------------------------</p><p>جواب صحیح ہے اور اگر کام سیکھنے تک باپ کا پیسہ بطور قرض استعمال کرے تو اس کے بہتر ہونے میں کچھ شبہ نہیں۔ (ن)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",602907,deoband,معاشرت,ماکولات ومشروبات
09-Mar-2021,https://darulifta-deoband.com/home/ur/food-drinks/602823,بینک ملازم کی کمائی سے کھانا کھانا,ایک طالب علم ہے جس کا بھائی بینک کا ملازم ہے کیا بھائی کی پیسے سے طالب علم اپنی ضروریات پوری کرسکتا ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:540-162T/sn=7/1442</p><p>&nbsp;اگر بینک میں بھائی کے ذمے سودی لکھا پڑھی یا سودی دستاویزات کی تکمیل وتوثیق جیسے کام ہیں تو ایسی ملازمت شرعاجائز نہیں ہے ، اگر (بھائی) کی غالب کمائی اسی ملازمت سے حاصل شدہ ہے تو طالب علم بھائی کے لئے ان سے ضروریات کے لئے پیسہ لینا شرعا جائز نہیں ہے ، طالب علم بھائی کو چاہئے کہ اپنی ضروریات کے لئے کوئی الگ نظم کرے ۔(مثلا والد صاحب اگر حیات ہوں توان سے تعاون کی درخواست کرے ، اگر ان کا انتقال ہوگیا ہے تو ترکہ والد سے اسے جوحصہ ملا ہے اس سے اخراجات پوری کرے یا پھر بینک ملازم بھائی سے درخواست کرے کہ وہ کسی سے قرض لے کر اس کی ضروریات کا نظم کرے ، نیز وہ ایسا بھی کرسکتا ہے کہ وہ خودکچھ کماکر اپنے اخراجات کا بندوبست کرے )</p><p>نوٹ: اگر آپ غریب ومستحق زکاة ہیں اور بھائی آپ کو بہ طور تصدق رقم دیں تو لے سکتے ہیں۔</p><p>آکل الربا وکاسب الحرام أہدی إلیہ أو أضافہ وغالب مالہ حرام لا یقبل، ولا یأکل ما لم یخبرہ أن ذلک المال أصلہ حلال ورثہ أو استقرضہ، وإن کان غالب مالہ حلالا لا بأس بقبول ہدیتہ والأکل منہا، کذا فی الملتقط․ (الفتاوی الہندیة 5/ 343، مطبوعة: مکتبة زکریا، دیوبند، الہند)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",602823,deoband,معاشرت,ماکولات ومشروبات
