issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/clothing-lifestyle/38199,کیا داڑھی رکھنا سننت ہے,کیا فرماتے ہیں علما ء کرام مسئلہ ذیل کے بارے میں کیا داڑھی کٹانا حرام ہے یا داڑھی رکھنا ایک سنت ہیبراہ ، کرم، صحیح حدیث سے مسئلہ واضح کریں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 713-713/M=5/1433

ڈاڑھی رکھنا اسلامی شعار ہے، سنت کے مطابق ڈاڑھی رکھنا واجب ہے، ڈاڑھی مونڈانا حرام اور ناجائز ہے، صحیح حدیث میں ہے: ”قال رسول اللہ صلی اللہ علیہ وسلم: خالفوا المشرکین أوفروا اللحی وأحفوا الشوارب“ (متفق علیہ مشکاة شریف: ص۳۸۰) اور مسلم شریف کی روایت میں ہے: ”عن أبي ہریرة قال قال رسول اللہ صلی اللہ علیہ وسلم: جزّوا الشوارب وأرخوا اللحی خالفوا المجوس“ (مسلم شریف: ۱/۱۲۹)

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",38199,deoband,معاشرت,لباس و وضع قطع
31-Aug-2020,https://darulifta-deoband.com/home/ur/clothing-lifestyle/38061,سنتی لباس,مجھے یہ معلوم کرنا ہے کہ سنتی لباس کون سا ہے؟ اور اگر ہم پنٹ-شرط کو سنّت کے مطابق پہنے تو کیا وہ سنّت کے دائرے میں آ جائے گا؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 611-532/B=5/1433

بزرگان دین، علمائے حق جو لباس پہنتے ہیں کرتا پاجامہ ٹوپی یہی سنتی لباس ہے، پینٹ، شرٹ یہ فساق وفجار کا اور غیرقوموں کا لباس ہے، یہ سنتی لباس نہیں ہے، پینٹ کو ٹخنوں سے اوپر رکھا جائے تو بحق عوام یہ مباح ہوجائے گا، مگر سنتی لباس نہ ہوگا۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",38061,deoband,معاشرت,لباس و وضع قطع
01-Sep-2020,https://darulifta-deoband.com/home/ur/clothing-lifestyle/38059,کیا پینٹ-قمیض پہننا جائز ہے؟,کیا پینٹ-قمیض پہننا جائز ہے؟اور کیا اس لباس کو پہننے والا کسی وعید میں داخل ہے یا نہیں؟اور سر پر ٹوپی لگانا ضروری ہے یا نہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 807-686/B=5/1433

قمیض پہننا جائز ہے مگر بہتر نہیں ہے کیونکہ یہ صلحاء کا لباس نہیں ہے، اگر کوئی کسی غیرکا قومی یا مذہبی شعار اپنائے تو وہ حدیث من تشبَّہ بقومٍ فہو منہم میں داخل ہوکر وعید کا مستحق ہوگا۔ قمیص خاص قم کا قومی یا مذہبی لباس نہیں رہا بلکہ عام ہے، اس لیے وہ وعید کا مستحق نہ ہوگا۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",38059,deoband,معاشرت,لباس و وضع قطع
31-Aug-2020,https://darulifta-deoband.com/home/ur/clothing-lifestyle/38058,ایک مشت سے کم داڑھی چھوٹی کرنا کیسا ہے؟اگر والدہ یہ کہے کہ داڑھی چھوٹی کرا دو اور ضد کرے تو کیا کرے؟داڑھی کے بارے میں شریعت ہمیں کیا حکم دیتی ہے؟,ایک مشت سے کم داڑھی چھوٹی کرنا کیسا ہے؟اگر والدہ یہ کہے کہ داڑھی چھوٹی کرا دو اور ضد کرے تو کیا کرے؟داڑھی کے بارے میں شریعت ہمیں کیا حکم دیتی ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 602-512/B=5/1433

اللہ کے رسول صلی اللہ علیہ وسلم کا ارشاد ہے أنہکوا الشوارب وأعفوا اللحی، موچھیں بارک کراوٴ اور ڈاڑھی کو بڑھاوٴ، اس کی مقدار بعض دوسری حدیثوں سے ایک مشت تک معلوم ہوتی ہے، لہٰذا ایک مشت تک ڈاڑھی کا رکھنا واجب او راسلام کے شعار میں داخل ہوا۔ اس سے کم ڈاڑھی رکھنا فسق وفجور میں داخل ہے۔ والدین کا کہنا ماننا واجب ہے، لیکن اگر اللہ اور اس کے رسول کے فرمان کے خلاف والدین کوئی حکم دیں تو اس کا ماننا واجب نہیں ہے۔ لا طاعة لمخلوق في معصیة الخالق․

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",38058,deoband,معاشرت,لباس و وضع قطع
01-Sep-2020,https://darulifta-deoband.com/home/ur/clothing-lifestyle/37998,پلكیں اور بھنویں بنوانا,میرا مفتی صاب سے یہ سوال ہے کہ مرد حضرات اپنی پلکو کو تراش سکتے ہیں کہ نہیں؟ میری پلکیں کچھ ضررت سے زادی بھری ہیں۔ یہاں تک کہ اس کے کچھ بال میری ناک کے اوپر والے حصے پر بھی ہیں، کیا میں ان کو تراش کرسکتے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 591-502/B=4/1433

اگر پلکوں یا بھووں کے بال اوپر آجاتے ہیں یا آنکھوں میں آجاتے ہیں اس سے آپ کو پریشانی ہوسکتی ہے تو زائد بڑھے ہوئے بال کو تراش سکتے ہیں، ویسے فیشن کے طور پر بھویں باریک کرنا درست نہیں۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",37998,deoband,معاشرت,لباس و وضع قطع
01-Sep-2020,https://darulifta-deoband.com/home/ur/clothing-lifestyle/37826,میں نے سنا ہے کہ شیونگ کرنا مطلب داڑھی بنانا رسول اللہ صلی اللہ علیلہ وسلم کے دل پر خنجر چلانے کے برابر ہے، کیا یہ بات درست ہے؟ کیا کوئی ایسی حدیث موجود ہے؟,میں نے سنا ہے کہ شیونگ کرنا مطلب داڑھی بنانا رسول اللہ صلی اللہ علیلہ وسلم کے دل پر خنجر چلانے کے برابر ہے، کیا یہ بات درست ہے؟ کیا کوئی ایسی حدیث موجود ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 554-469/B=5/1433

خنجر چلانے کا مطلب یہ ہے کہ ڈاڑھی منڈانے کا عمل جب آپ صلی اللہ علیہ وسلم کے سامنے پیش ہوگا تو آپ کو اپنے اس امتی سے تکلیف ہوگی کیونکہ یہ عمل آپکے حکم کے خلاف کیا گیا ہے، آپ کا ارشاد ہے ”أنہکوا الشوارب وأعفوا اللحی“ مونچھوں کو باریک کراوٴ اور ڈاڑھی کو بڑھاوٴ۔ تمام ہی ائمہ کے نزدیک ڈاڑھی کا بڑھانا واجب اور اس کا منڈانا حرام ہے، آپ صلی اللہ علیہ وسلم کے حکم کی خلاف ورزی کرکے جو امتی حرام کام کرے گا، یقینا حضور صلی اللہ علیہ وسلم اس سے ناراض ہوں گے۔

</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",37826,deoband,معاشرت,لباس و وضع قطع
31-Aug-2020,https://darulifta-deoband.com/home/ur/clothing-lifestyle/37694,کیا جسم کے سینے کے بال صاف کرنا جائز ہے؟,کیا جسم کے سینے کے بال صاف کرنا جائز ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 456-384/B=4/1433

سینے کے بال کو صاف کرنا بہتر نہیں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",37694,deoband,معاشرت,لباس و وضع قطع
01-Sep-2020,https://darulifta-deoband.com/home/ur/clothing-lifestyle/37071,كوئی اگر ختنہ نہ كرائے تو كیا مسلمانی میں كوئی فرق ہوگا؟,میری عمر تقریباً 25/ سال ہے۔ بچپن میں میرے والدین نے درد کی وجہ سے میرا ختنہ نہیں کرائے۔ اب میں تو سوچتاہوں کہ یہ تو ضروری ہے تو میں بہت پریشان ہوجاتاہوں کہ پتا نہیں میں ٹھیک سے مسلمان ہوں یا نہیں؟ الحمد للہ، میں حافظ بھی ہوں اورنماز بھی پابندی سے پڑھتاہوں۔ میں اس عمر میں تکلیف برداشت نہیں کرسکتاہوں اورنہ مجھ میں ختنہ کروانے کی ہمت ہے۔براہ کرم، اس معاملہ میری مدد کریں اور بتائیں کہ میرے مسلمان ہونے پر اس سے کوئی فرق پڑے گا یا نہیں؟ اور میں جو بھی عبادت کرتاہوں وہ قابل قبول ہے یا نہیں ؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(ب): 289=228-3/1433

ختنہ کرانا سنت ہے، یہ مسلم کی پہچان ہے، افسوس ہے کہ ۲۵/ سال کی عمر ہوگئی اور اب تک آپ نے ختنہ نہیں کرائی، ختنہ بالغ ہونے سے پہلے پہلے کرالینی چاہیے تھی، اب بالغ ہونے کے بعد کسی کے سامنے ستر کا کھولنا بھی حرام ہے۔ اور اب آپ لکھتے ہیں کہ مجھ میں ختنہ کرانے کی ہمت نہیں، آپ اس عمر میں ختنہ کرانے کی تکلیف بھی برداشت نہیں کرسکتے، لہٰذا ایسے ہی غیرمختون رہنے دیجیے، آپ عقائدواعمال کے اعتبار سے پکے اور صحیح ہیں تو آپ مسلمان ہیں، آپ کی مسلمانی میں کوئی فرق نہیں آئے گا، البتہ ترک سنت کا گناہ ملے گا۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",37071,deoband,معاشرت,لباس و وضع قطع
01-Sep-2020,https://darulifta-deoband.com/home/ur/clothing-lifestyle/36884,اقرب الى السنۃ لباس,میں جدہ، سعودی عرب میں رہتاہوں، پوچھنا یہ ہے کہ یہاں پر سعودی ثوب کے خلاف افواہیں اڑی ہیں کہ یہ اقرب الی السنت نہیں ہیکیوں کہ اس میں چاک نیں ہے، اس لیے کہ اس میں نصاری کے پوپ ورہبان سے مشابہت ہیجنہوں نے دنیا چھوڑ دی تھی، پینٹ شرٹ تو یہودی لباس ہے مگر ہندوستانی کرتا کو لوگ سنت کے قریب کہتے ہیں چاک ہونے کی وجہ سے ۔ براہ کرم، اس وضاحت فرمائیں کہ کون اقرب الی السنت ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(م): 395=395-3/1433

آنحضور صلی اللہ علیہ وسلم سے جبہ کا پہننا ثابت ہے، عن المغیرة بن شعبة أن النبي صلی اللہ علیہ وسلم لبس جبة رومیة ضیقة الکمین․ متفق علیہ۔ (مشکاة شریف: ۳۷۳، کتاب اللباس الفصل الأول) اورجبہ اس لمبے چوڑے کرتے کو کہتے ہیں جو آگے سے کھلا ہو اور پنڈلی کے مابین تک ہو۔ الجبة: ثوب سابغ واسع الکمین مشقوق المقدم․․․ موصل ما بین الساق والفخذ (المعجم الوسیط: ۱۰۴) اورملا علی القاری نے مذکورہ بالا حدیث کی تشریح میں ایک روایت نقل کی ہے کہ آپ علیہ الصلاة والسلام کو ایک صحابی وضو کرارہے تھے، جب ہاھ دھلنے کی باری آئی تو ہاتھ آسینل تنگ ہونے کے سبب نیچے سے نکالا۔ اس سے معلوم ہوتا ہے کہ آپ صلی اللہ علیہ وسلم کا (جبہ) چاک نہ تھا۔ بلکہ پورا گول، ملا ہوا تھا۔ لہٰذا سعودی عرب کے جبے کو اقرب الی السنہ نہ کہنا محض افواہ ہے اور اس کو یورپ وغیرہ کے جبے سے تشبیہ دینا غلط ہے۔ وقال علي القاري․․․ ضیقة الکمین عن المغیرة قال: کنت مع النبي صلی اللہ علیہ وسلم في سفر فأفرغت علیہ الإداوة فغسل ویدیہ وعلیہ جبة شامیة من صوف فلم یستطع أن یخرج ذراعیہ منہا حتی أخرجہا من أسفل الجبة․ (مرقات: ۸/۲۳۵، کتاب اللباس الفصل الأول، ط: امدادیة ملتان، پاکستان)</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",36884,deoband,معاشرت,لباس و وضع قطع
31-Aug-2020,https://darulifta-deoband.com/home/ur/clothing-lifestyle/36631,ڈاڑھی رکھنا سنّت موَ کدہ ہے یا غیر موَکدہ ہے ؟,ڈاڑھی رکھنا سنّت موَ کدہ ہے یا غیر موَکدہ ہے ؟حدیث کا حوالہ دیجئے۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(م): 307=307-2/1433

ڈاڑھی رکھنا سنت موٴکدہ ہے، بلکہ اس سے اوپر وجوب کا درجہ ہے، متعدد روایات میں آپ صلی اللہ علیہ وسلم نے ڈاڑھی بڑھانے کا حکم فرمایا ہے: حدیث میں ہے، قال رسول اللہ صلی اللہ علیہ وسلم: خالفوا المشرکین أوفروا اللّٰحی وأحفوا الشوارب، وفي روایة أنہکوا الشوارب وأعفوا اللّٰحی․ متفق علیہ (مشکاة شریف: ۳۸۰)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",36631,deoband,معاشرت,لباس و وضع قطع
