issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/rights-etiquettes/65495,اگر کوئی کسی سے دینی یا دنیاوی مصلحت سے بات چیت نہ کرے تو كیا یہ درست ہے؟,میرا سوال معاشرے سے متعلق ہے اور اُس حدیث کی روشنی میں جواب مطلوب ہے جو کہ حضرت مولانا زکریا صاحب نے فضائل رمضان میں باب شب برات کی فضیلت میں حدیث نمبر5 کی تفصیل و تشریح بیان فرماتے ہوئے چند احادیث کے حوالہ سے یہ تحریر فرمایا ہے کہ: ۱۔ نبی کریم صلی اللہ علیہ وسلم کا ارشاد ہے کہ جو شخص اپنے مسلمان بھائی سے ۳ دن سے زیادہ چھوٹ چھٹاوَ رکھے اگر اس حالت میں مرگیا تو سیدھا جہنم میں جاوے گا۔ ۲۔ ایک حدیث میں ارشاد ہے کہ ہر پیر اور جمعرات کے دن اللہ کی حضوری میں بندوں کے اعمال پیش ہوتے ہیں۔ اور اللہ جلّ شانہ کی رحمت سے)نیک اعمال کی بدولت( مشرکوں کے علاوہ اوروں کی مغفرت ہوتی رہتی ہے ۔ مگر جن دو میں جھگڑا ہو تا ہے ان کی مغفرت کے متعلق ارشاد ہو تا ہے کہ ان کو چھوڑے رکھو جب تک صلح نہ ہو۔ ۳۔ایک حدیث پاک یں ارشاد ہے کہ ہر پیروجمعرات کو اعمال کی پیشی ہوتی ہے اس میں توبہ کرنے والوں کی توبہ قبول ہوتی ہے اور استغفار کرنے والوں کی استغفار قبول کی جاتی ہے مگر آپس میں لڑنے والوں کو ان کے حال پر چھوڑ دیا جاتا ہے ۔ ۴۔ایک جگہ ارشاد ہے کہ شب برات میں اللہ کی رحمت عامہ خلقت کی طرف متوجہ ہوتی ہے او ر ذرا ذرا سے بہانے سے ( مخلوق کی مغفرت فرمائی جاتی ہے مگر دو شخصوں کی مغفرت نہیں ہوتی، ایک کافر دوسرا وہ جو کسی سے کینہ رکھے ۔)کتاب فضائل رمضان باب شب قدر کے بیان میں تشریح حدیث نمبر ۵ ( اسی طرح سے فضائل صدقات میں کسی حدیث کی بحث میں حضرت شیخ نے کہیں یہ بات بھی تحریر فرمائی ہے کہ ظالم ، جابر اور متکبر مزاج شخص کو سلام کرنا مناسب نہیں کہ اس عمل سے اُس شخص کے دل میں اور کبر پیدا ہوگا اور غرور و گھمنڈی ہوجائے گا اور اس کا ذریعہ یہ بنے گا۔ کیا فرماتے ہے ہیں علماء اکرام مفتیان شرع متین مندرجہ زیل مسلہ میں سوال۱۔ کینہ اور بغض کسے کہتے ہیں ؟ اس کی کیا تعریف ہے ؟اور ان دونوں میں کیا فرق ہے ؟ سوال ۲۔ اگر کوئی انسان کسی مصلحت کے تحت جس میں مصلحت دنیا وی اور دینی دونوں شامل ہوں کسی شخص سے اظہار ناراضگی میں بات چیت سلام و کلام بند کردے اور نہ اس کے دل میں کسی قسم کا دوسرے شخص کو نقصان پہوں چانے کا جزبہ ہو اور نہ وہ اس سے حثد رکھتا ہو اور نہ ہی اسکا برا چاہتا ہو تو ایسا عمل کیا کہلائے گا؟ سوال ۳۔میرا سوال قطعہ تعلقی اور سلہ رحمی سے متعلق ہے ۔میں اور میرے بڑے بھائی الگ الگ مکانان میں رہتے ہیں۔ میرے بڑے بھائی کی اہلیہ دین کے اعتبار سے پختہ نہیں ہیں۔مثلاً سر کھلا رکھنا،بے حیائی کے ساتھ بڑوں کے سامنے بیٹھنا، کبھی کبھی گھر کے دروازے تک مہمانوں کو چھوڑ نے کے لئے ے بے پردہ باہر نکل آنا و غیرہ وغیرہ ، جسکی اور زیادہ تفسیل مناسب معلوم نہیں ہوتی۔ کیونکہ میرا مزاج الحمد اللہ شروع ہی سے دینی و مذہبی ہے اس لئے مجھے یہ ساری باتیں تیر کی طرح سے چبھتی ہیں اور نا مناسب معلوم ہوتی ہیں ۔ بلکہ بچپن سے ہی اگر کوئی گھر میں مہمان بے پردہ آتا تھا تو مجھے اُس کا اس طرح سے آنا ناگوار گذرتا تھا۔ اوربے دینی کی باتوں پر بہت غصّہ بھی آتا ہے لیکن کچھ کہ نہیں کہہ پاتا اورضبط کر کے رہ جاتا ہوں۔اسی سلسلہ میں اپنے بڑے بھائی سے سر ڈھانے کے اور پردے کے متعلق یہ بات غالباً کہی لیکن اُن کی اہلیہ نے اُن کی بات نہیں مانی۔ میری بات چیت میری بھابی صاحبہ سے سوائے سلام کے اورکچھ بھی نہیں وہ بھی جب کبھی میرا اُن کا آمنا سامنا ہو ۔ لیکن ان تمام باتوں کو لے کر اب اظہارِ ناراضگی میں سلام کرنے کو بھی جی نہیں چاہتا۔ کیا یہ میرا عمل درست ہے ؟ یا نہیں۔اور مجھے ایسا کرنا چاہئے کہ نہیں؟یہ قطعہ تعلقی تو نہیں کہلائے گی ؟کیوں کہ میرے ناقص علم کے مطابق حیاةِ صحابہ سے دین کی خلاف وردی اور خلاف دین باتوں پر بولنا چھوڑدینا ثابت ہے ۔ جیسا کہ حضرت مولانا زکریا صاحب نے فضائل اعمال میں کتاب حکایات صحابہ میں ﴾باب نہم ۹﴿ میں حضور صلی اللہ علیہ وسلّم کی فرما برداری اور اتثال حکم میں یہ قصہ نمبر ۶ میں حضرت ابن عمررضی اللہ تعالی عنہم کا اپنے بیٹے سے ہمیشہ کے لئے نہ بولنا ثابت ہوتا ہے ۔ اسی طرح اسی باب کے دوسرے واقعہ نمبر ۸ اسی کتاب کے ا حضرت ابن مغفل رضی اللہ تعالی عنہم خذف کی وجہ سے کلام چھوڑدینا ثابت ہوتا ہے ۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1042-1042/M=11/1437

کینہ اور بغض دونوں مترادف ہیں دشمنی، عداوت، حسد، جلن کے معنی میں مستعمل ہیں، کسی سے کینہ اور بغض رکھنا تو شرعاً ممنوع ہے ہاں اگر کوئی کسی دوسرے سے دینی یا دنیاوی مصلحت سے بات چیت نہ کرے جبکہ اس شخص کے دل میں دوسرے کے خلاف کوئی دشمنی، حسد، جلن نہ ہو اور نہ اس کا برا چاہتا ہو نہ اس سے قطع تعلق مقصود ہو بلکہ اصلاح و تنبیہ کی غرض سے ہو یا اس کے شر سے بچنا مقصود ہو تو شرعاً اس میں حرج نہیں اور اعلی بات یہ ہے کہ اگر کوئی برائی سے پیش آئے تو ہم اس کے ساتھ احسان کا معاملہ کریں، اگر کوئی ظلم کرے تو ہم معاف کردیں اگر کوئی قطع رحمی کرے تو ہم اس کے ساتھ صلہ رحمی کریں حدیث میں ہے: صل من قطعک واعف عمن ظلمک وأحسن إلی من أساء إلیک․ اور ایک روایت میں ہے: لیس الواصل بالمکافی ولکن الواصل الذي إذا قطعت رحمہ وصلہا یعنی وہ شخص صلہ رحمی کرنے والا نہیں ہے جو برابر سرابر کا معاملہ کرنے والا ہو بلکہ صلہ رحمی کرنے والا دراصل وہ ہے جو دوسرے کے توڑنے پر صلہ رحمی کرے۔ حضرت شیخ الحدیث زکریا رحمتہ اللہ علیہ اس حدیث کے تحت فائدہ کے ذیل میں لکھتے ہیں: بالکل ظاہر اور بدیہی بات ہے جب آپ ہر بات میں یہ دیکھ رہے ہیں کہ جیسا برتاوٴ دوسرا کرے گا ویسا ہی میں بھی کردوں گا تو آپ نے کیا صلہ رحمی کی؟ یہ بات توہر اجنبی کے ساتھ بھی ہوتی ہے کہ جب دوسرا شخص آپ پر احسان کرے گا تو آپ خود اس پر احسان کرنے میں مجبور ہیں۔ صلہ رحمی تو درحقیقت یہ ہے کہ اگر دوسرے کی طرف سے بے التفاتی بے نیازی قطع تعلق ہو تو تم اس کے جوڑنے کی فکر میں رہو، اس کو مت دیکھو کہ وہ کیا برتاوٴ کرتا ہے۔ اس کو ہر وقت سوچو کہ میرے ذمہ کیا حق ہے؟ مجھے کیا کرنا چاہئے؟ دوسروں کے حقوق ادا کرتے رہو، ایسا نہ ہو کہ اس کا کوئی حق اپنے ذمہ رہ جائے جس کا قیامت میں اپنے سے مطالبہ ہوجائے اور اپنے حقوق کے پورا ہونے کا واہمہ بھی دل میں نہ لو بلکہ اگر وہ پورے نہیں ہوتے تو اور بھی زیادہ مسرور ہوکہ دوسرے عالم میں جو اجرو ثواب اس کا ملے گا وہ اس سے بہت زیادہ ہوگا جو یہاں دوسرے کے ادا کرنے سے وصول ہوتا، ایک صحابی نے حضور صلی اللہ علیہ وسلم سے عرض کیا یا رسول اللہ! میرے رشتہ دار ہیں میں ان کے ساتھ صلہ رحمی کرتا ہوں وہ قطع رحمی کرتے ہیں، میں ان پر احسان کرتا ہوں وہ میرے ساتھ برائی کرتے ہیں میں ہر معاملے میں تحمل سے کام لیتا ہوں وہ جہالت پر اترے رہتے ہیں۔ حضور صلی اللہ علیہ وسلم نے ارشاد فرمایا اگر یہ سب کچھ صحیح ہے تو تو ان کے منہ میں خاک ڈال رہا ہے (یعنی خود ذلیل ہوں گے) اور تیرے ساتھ اللہ جل شانہ کی مدد شامل حال رہے گی جب تک تو اپنی اس عادت پر جمع رہے گا“ (مشکوة) اور جب اللہ جل شانہ کی مدد کسی کے شامل حال رہے تو نہ کسی کی برائی سے نقصان پہنچ سکتا ہے نہ کسی کا قطع تعلق، نفع پہنچنے سے مانع ہو سکتا ہے“ (فضائل صدقات، ص:۲۱۶) پس آپ کا اور آپ کی اہلیہ وغیرہ کا بھابھی اور جٹھانی وغیرہ کے ساتھ یہی معاملہ ہونا چاہئے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",65495,deoband,معاشرت,اخلاق و آداب
01-Sep-2020,https://darulifta-deoband.com/home/ur/rights-etiquettes/65473,مچھر یا مکھی وغیرہ كو كرنٹ سے جلاكر مارنا؟,اللہ رب العزت آپ پر ، مجھ پر اور سارے مسلمانوں پر دنیا و آخرت میں عافیت و رحمت و فضل کا معاملہ فرمائے۔ عرض یہ ہے کہ آج کل کچھ بجلی والے آلات ملتے ہیں جن کے اندر کرنٹ ہوتاہے، جب کوئی مچھر یا مکھی وغیرہ اس سے ٹکراتی ہے تو تیز کرنٹ یا بجلی لگنے سے جل کر مرجاتی ہے۔ اس طرح ان کو جلا کر مارنا جائز ہے یا نہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 762-885/SN=9/1437

جلا کر مارنے کو فقہاء نے مکروہ لکھا ہے، مچھر یا مکھی وغیرہ بھگانے کی اس زمانے میں جلانے کے علاوہ بھی مختلف تدبیریں ہیں، انہیں اپنایا جائے، بجلی کے آلات کے ذریعہ جلانے سے احتیاط کیا جائے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",65473,deoband,معاشرت,اخلاق و آداب
01-Sep-2020,https://darulifta-deoband.com/home/ur/rights-etiquettes/65456,دوسرے مذاہب كے لوگوں كے ساتھ ایک برتن میں کھانا وغیرہ کھا سکتے ہیں؟,میں سرکاری ملازم ھوں اور ھمارے ساتھ عیسائی، ھندو جیسے دوسرے مذھب کے لوگ بھی ہیں، کیا ھم ایک ساتھ ایک برتن میں کھانا وغیرہ کھا سکتے ہیں نیز کیا شیعہ کے ساتھ بھی کھا سکتے ہیں؟تسلی بخش جواب دیں ..جزاک اللہ,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 907-1502/H=01/1438
کھانا حلال و پاک ہو کسی مفسدہ او رخرابی کا اندیشہ نہ ہو کبھی کبھار کھالیں عادت نہ بنائیں تو گنجائش ہے، شیعہ کا حکم عام غیر مسلموں سے الگ ہے اپنے عقائد اور اعمال کی حفاظت کی خاطر کبھی کبھار ان کے ساتھ نہ کھایا جائے۔ 
-----------------------------------
شیعہ اہل سنت حضرات کو کبھی نجس بھی کھلا دیتے ہیں اس لیے شیعوں کے یہاں کھانے میں حد درجہ احتیاط ضروری ہے۔ (ل) 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",65456,deoband,معاشرت,اخلاق و آداب
01-Sep-2020,https://darulifta-deoband.com/home/ur/rights-etiquettes/65011,کیا ماں باپ کے ساتھ رہنے کے لیے بیوی کو مجبور کیا جاسکتا ہے؟,ماں باپ حیات ہیں، ماں کی طبیعت خراہے پانچ مہینے سے ، میں خود ہی سعودی رہتاہوں اور ان کی عیادت کے لیے چار مہینے رہ کے آیا پر اب نوکری اور پیسے کے سوال کو لے کر میں پھر سعودی آگیا ہوں ، میں جب تک گھر پہ تھا تو میری بیگم سا تھ تھی اور میرے آتے ہی اس کی طبیعت خراب ہوگئی ، اس کے گھروالوں نے اس کو میرے گھر والوں سے پوچھ لے کر چلے گئے ، پہلے ہی سے اس کا میرے گھر والوں سے نہیں بنتا تھا ،وہ کہتی رہتی تھی کہ میں اکیلی ان لوگوں کے ساتھ نہیں رہوں گی ، آپ رہیں ساتھ میں تو مجھے کوئی پریشانی نہیں ، آپ سعودی تو میں یہاں اکیلی نہیں رہوں گی ، ابھی وہ ایک مہینے سے اپنے میکے ہے اور اور میرے گھروالے اسے بلانا چاہ رہے ہیں ، کیوں کہ ماں کی طبیعت ٹھیک نہیں ہے اور کوئی کرنے والا نہیں ہے گھر پہ تو وہ کہتی ہے کہ میں نہیں جاؤں گی ان کی خدمت میرے اوپر لازم نہیں ، آپ دیکھیں یا آکے مجھے ساتھ لے جائیں میں اگر نوکری چھوڑ کے آگیا تو کھانے کے لالے پڑ جائیں گے، اب ایک طرف میرے ماں باپ ہیں اورایک طرف میری بیوی اور سب سے بڑامسئلہ پیسے کا ہے۔ اب میرا سوال یہ ہے کہ کیا میں اپنی بیوی کے ساتھ زبردستی کرسکتاہوں ماں باپ کے پاس اکیلے رہنے کے لیے؟ اس میں ٹینش یہ ہے کہ وہ کچھ بھی اپنا نقصان کرسکتی ہے ۔ براہ کرم ، مجھے صحیح راستہ دکھائیں کہ مجھے کیا کرنا چاہیے؟تاکہ قیامت کے دن کوئی میرا دامن نہ پکڑے ؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 657-657/Sd=8/1437

صورت مسئولہ میں اگر آپ کی اہلیہ آپ کے بغیر آپ کے گھر والوں کے ساتھ رہنے کے لیے تیار نہیں ہے، تو شرعا آپ کو اس پر مجبور کرنے کا حق نہیں ہے؛ لیکن اخلاق اور رشتہ کا تقاضہ یہ ہے کہ بیوی اپنی ساس کی خدمت کو سعادت سمجھے، خصوصا جب کہ اُن کو خدمت کی ضرورت بھی ہو، حکیم الامت حضرت مولانا اشرف علی صاحب تھانوی  عورتوں سے فرماتے ہیں: ”جب تک ساس خسر زندہ رہیں، اُن کی خدمت کو، اُن کی تابعداری کو فرض جانو اور اسی میں اپنی عزت سمجھو، ساس نندوں سے الگ ہوکر رہنے کی ہر گز فکر مت کروکہ ساس نندوں سے بگاڑ ہوجانے کہ یہی جڑ ہے، خود سوچو کہ ماں باب نے اسے پالا پوسا اور اب بڑھاپے میں اس آسرے پر اُس کی شادی بیاہ کیا کہ ہم کو آرام ملے اور جب بہو آئی، تو۔ ۔ ۔ ۔ ۔ یہ فکر کرنے لگی کہ ”میاں“ آج ہی ماں باپ کو چھوڑ دیں، پھر جب ماں کو معلوم ہوتا ہے کہ یہ بیٹے کو ہم سے چھڑاتی ہے، تو فساد پھیلتا ہے“۔ (اختری بہشتی زیور، چوتھا حصہ، ص: ۴۰، ۴۱، میاں کے ساتھ نباہ کرنے کا طریقہ) آپ کو بھی چاہیے کہ حکمت، نرمی اور حسن تدبیر سے بیوی کو سمجھانے کی کوشش کرتے رہیں اور جب تک وہ اپنی خوشی سے آپ کی غیر موجود گی میں آپ کے گھر رہنے پر آمادہ نہیں ہے، اُس پر زور زبردستی نہ کریں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",65011,deoband,معاشرت,اخلاق و آداب
01-Sep-2020,https://darulifta-deoband.com/home/ur/rights-etiquettes/64847,اہل تشیع حضرات کو سلام کرنا یا جواب دینا کیساہے؟,اہل تشیع حضرات کو سلام کرنا یا جواب دینا کیساہے؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 540-436/D=7/1437

جو شیعہ اپنے عقائد وافکار سے فاسق ہیں کافر نہیں ہیں ان سے شریعت کے مطابق سلام کرنا یا ان کے سلام کے جواب میں وعلیکم السلام کہہ دینا جائز ہے، ایسا کرسکتے ہیں اور جو شیعہ کافر یا مرتد ہیں انھیں سلام کرنے میں السلام علی من اتبع الہدی اور جواب میں صرف وعلیکم کہنا چاہیے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",64847,deoband,معاشرت,اخلاق و آداب
01-Sep-2020,https://darulifta-deoband.com/home/ur/rights-etiquettes/64221,اگر چھینکنے والا الحمدلللہ کہے اور سننے والا جواب نہ دے تو کیا گنہگار ہوگا؟,اگر چھینکنے والا الحمدلللہ کہے اور سننے والا جواب نہ دے تو کیا گنہگار ہوگا؟ (کیونکے جواب دینا مسلمان کے حقوق میں سے ہے ),"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 585-566/N=6/1437

جی ہاں! اگر چھینکنے والے نے الحمد للہ کہا اور سننے والے نے (بلاعذر شرعی) جواب نہیں دیا تو وہ گنہگار ہوگا، البتہ اگر مجلس میں ایک سے زائد لوگ موجود ہوں تو ہرایک کا جواب دینا واجب نہیں، صرف ایک کا جواب دیدینا کافی ہے، اور اگر سبھی حاضرین جواب دیدیں تو یہ افضل ہے، قال النبي صلی اللہ علیہ وسلم: ”إن اللہ یحب العطاس ویکرہ التثاوٴب، فإذا عطس فحمد اللہ فحق علی کل مسلم سمعہ أن یشمتہ“ رواہ البخاری․․․․ وإنما یستحق العطاس التشمیت إذا حمد اللہ تعالی إلخ (شامي ۹: ۵۹۳، مطبوعہ: مکتبة زکریا دیوبند)، ولو شمتہ بعض الحاضرین أجزأ عنہم، والأفضل أن یقول کل واحد منہم لظاہر الحدیث،․․․ وإذا عطس من وراء الجدار فحمد اللہ تعالی یجب علی کل من سمعہ التشمیت (حوالہ بالا ص: ۵۹۴)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",64221,deoband,معاشرت,اخلاق و آداب
30-Aug-2020,https://darulifta-deoband.com/home/ur/rights-etiquettes/64123,جن اوراق پر اللہ رحمن وغیرہ لكھا ہو انھیں ردی میں نہ پھینكا جائے,ہم لوگ جس آفس میں کام کرتے ہیں وہاں پر اکثر جو آفس کے خطوط آتے ہیں جن پر محمد ، رحمن اور اللہ اور حضور صلی اللہ علیہ وسلم کے نام لکھے ہوتے ہیں جن میں سے اکثر پڑھنے کے بعد پھاڑ دیتے ہیں اور ان کو کوڑا دان میں پھینک دیتے ہیں اور انہیں بعد میں آگ لگا دیتے ہیں، کیوں کہ ان کو سنبھال کے رکھنا مشکل کام ہے۔ اس بارے میں علماء کیا کہتے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID:501-499/H=6/1437

اگر کسی محفوظ جگہ میں دفن کردیا کریں تو بہتر ہے، اگر اس کی بسہولت کوئی سبیل نہ ہوسکے اور جلاکر راکھ کو پاک پانی میں بہادیں یہ بھی درست ہے، اور پاک جگہ میں دفن کردیں یہ بھی صحیح ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",64123,deoband,معاشرت,اخلاق و آداب
31-Aug-2020,https://darulifta-deoband.com/home/ur/rights-etiquettes/63903,بیت الخلاء میں وضو کرتے ہوئے کیا مسنون دعائیں پڑھی جاسکتی ہیں؟,بعد سلام دعا عرض ھے کہ کیا بیت الخلاء میں ھم وضو شروع کرنے اور وضو کے اختتام پر مسنون دعایئں پڑھ سکتے ہیں اور وہاں آئینہ بھی لگا ھے تو کیا ھم آئینہ دیکھنے وقت کی مسنون دعا پڑھ سکتے ہیں ۔جبکہ بیت الخلاء ایک نجاست والی جگہ ھے . جزاک اللہ,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 539-541/N=6/1437

اگر بیت الخلاء میں غسل خانہ بھی ہے،یعنی: اٹیچ لیٹرین باتھ روم ہے اور دونوں ایک دوسرے سے واضح طور پر ممتاز ہیں ، مثلاً دونوں کے درمیان کوئی چھوٹی دیوار ہے اور غسل خانہ کے حصہ میں بیت الخلاء کی بدبو وغیرہ محسوس نہیں ہوتی تو غسل خانہ والے حصے میں وضو کرتے وقت وضو کی دعائیں پڑھ سکتے ہیں ،البتہ ہلکی آواز سے پڑھے،زور سے نہ پڑھے۔اسی طرح اگر آئینہ غسل خانے کے حصہ میں ہے تو آئینہ دیکھتے وقت آئینہ کی دعا بھی پڑھ سکتے ہیں۔ اور اگر بیت الخلاء اورغسل خانہ دونوں واضح طور پر ممتاز نہیں ہیں یا وہ در اصل صرف بیت الخلاء ہے اور ہاتھ منھ دھونے کے لیے کسی جگہ کنارے کوئی چھوٹا سا واش بیسن لگادیا گیا ہے جیسے عام طور پر ٹرینوں میں ہوتا ہے تو وہاں اگر کوئی شخص وضو کرے یا آئینہ میں چہرہ دیکھے تو وہ صرف دل دل میں دعا پڑھ سکتا ہے، زبان سے نہیں،مستفاد: ویدخل الخلاء… والمراد بیت التغوط برجلہ الیسری …، و…یستعیذ …باللہ من الشیطان الرجیم قبل دخولہ وقبل کشف عورتہ (مراقی الفلاح مع حاشیة الطحطاوی ص ۵۱، مطبوعہ:دار الکتب العلمیة بیروت)،قولہ:”قبل دخولہ“:الأولی التفصیل، وھو إن کان المعد لذلک یقول قبل الدخول، وإن کان غیر معد کالصحراء ففي أوان الشروع کتشمیر الثیاب مثلاً قبل کشف العورة، وإن نسي ذلک أتی بہ في نفسہ لا بلسانہ(حاشیة الطحطاوی علی المراقی )،وفي مسألتنا المکان کلہ غیر معد للخلاء بل المعد لہ ھو البعض من ذلک وھو ممتاز عن الآخر، وقال فی الفتاوی الھندیة :قال عین الأئمة الکرابیسي:لا تکرہ الصلاة في بیت فیہ بالوعة کذا فی القنیة(فتاوی عالمگیری قدیم ۵: ۳۱۵، مطبوعہ: مکتبہ زکریا دیوبند)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",63903,deoband,معاشرت,اخلاق و آداب
30-Aug-2020,https://darulifta-deoband.com/home/ur/rights-etiquettes/63833,والدہ کا رویہ بہوٴوں کے ساتھ ٹھیک نہیں ہے مجھے كیا كرنا چاہیے,میرا سوال والدین کے بارے ہے . میں اور میرا چھوٹا بھائی شادی شدہ ہیں. ہم دونوں کی بیویاں آپس میں بہنیں ہیں اور میری والدہ کی بھانجیاں ہیں. میری والدہ کو شادی سے پہلے ان سے بہت پیار اور محبّت کا رشتہ تھا لیکن جب سے ہماری شادیاں ہوئی ہیں میری والدہ کا اپنی بہوؤں سے رویہ کچھ ٹھیک نہیں ہے . وہ اپنی بہوؤں کی باتیں دوسرے رشتہ داروں کے سامنے کرتی ہیں. اور وہ لوگ آگے باتیں پھیلاتے ہیں. جب ہمیں پتا چلتا ہے اور ہم اپنی والدہ کو کہتے ہیں کہ آپ ہم سے کہ لیا کریں ہمیں جوتے مار لیں اگر ہم سے غلطی ہو تو لیکن آپ باہر بات نہ کیا کریں . لیکن وہ کہتی ہیں کہ میں نے تو کی ہی نہیں. اس سب میں میری دو شادی شدہ بہنیں بھی شامل ہیں. ویسے سب ٹھیک رہتے ہیں لیکن بہوؤں کے بارے میں پتا نہیں ایسا رویہ کیوں ہے . حالانکہ ہم نے کبھی اپنے والدین سے گستاخی بھی نہیں کی بلکہ اپنی بیویوں کو صبر کی تلقین کرتے ہیں . لیکن اس طرح کب تک چلے گا؟ جب کبھی والدہ سے آرام سے بھی پوچھیں تو وو غصّہ کرتی ہیں کہ ایسی کوئی بات نہیں ہے . ہم نے تو کوئی بات کی ہی نہیں. ہماری بیویاں بھی کہتی ہیں کہ ہم سب یہ برداشت کیوں کریں اور کب تک کریں. میں بحرین میں رہتا ہوں اور باقی والدین اور بھائی سب لوگ پاکستان میں ہیں پھر بھی مسائل حل نہیں ہو رہے . آپ سے مشورے کی درخوست ہے ۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 490-438/Sn=5/1437

والدہ بہرحال قابل احترام ہیں، آپ لوگ مزید صبر سے کام لیں، اگر صبر نہ ہوسکے اور ساس بہو کا نزاع حد سے تجاوز کرنے کا اندیشہ ہو تو آپ لوگ اپنی بیویوں کے لیے رہائش کا الگ انتظام کرسکتے ہیں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",63833,deoband,معاشرت,اخلاق و آداب
01-Sep-2020,https://darulifta-deoband.com/home/ur/rights-etiquettes/63290,اگر شوہر گھر پر موجود نہ ہو ،کام کے سلسلے میں باہر گیا ہو تو اسکی بیوی کسی رشتے دار مرد مریض کی عیادت کر سکتی ؟شریعت میں کیا حکم ہے ؟,اگر شوہر گھر پر موجود نہ ہو ،کام کے سلسلے میں باہر گیا ہو تو اسکی بیوی کسی رشتے دار مرد مریض کی عیادت کر سکتی ؟شریعت میں کیا حکم ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 356-349/H=4/1437-U

بذریعہ موبائل فون یا کسی اور ذریعہ سے شوہر سے صاف اور صحیح بتلاکر اجازت لے لے اور جس کی عیادت کرنا ہو وہ محرم شرعی ہو مثلاً باپ بھائی چچا وغیرہ ہو تو عیادت کرنا جائز ہے۔ وللزوج أن یأذن بالخروج إلی سبعة مواضع زیارة الأبوین وعیادتہما وتعزیتہما أو أحدہما وزیارة المحارم اھ فتاوی بزازیہ ج۱ ص ۱۵۶ علی ہامش الفتاوی الہندیة ج۴ ص ۱۵۶۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",63290,deoband,معاشرت,اخلاق و آداب
