issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/education-upbringing/59292,بچے کی پیدائش پر دوسروں کو میٹھائی جیسے چاکلیٹ یا کجھور تقسیم کرنے کی اجازت ہے؟,بچے کی پیدائش پر دوسروں کو میٹھائی جیسے چاکلیٹ یا کجھور تقسیم کرنے کی اجازت ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 713-713/H=7/1436-U

پیدائش پر خوشی میں مٹھائی وغیرہ تقسیم کردے تو کچھ حرج نہیں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",59292,deoband,معاشرت,تعلیم و تربیت
01-Sep-2020,https://darulifta-deoband.com/home/ur/education-upbringing/59226,کیا نوزائدہ بچے کے کان میں موبائل کے ذریعہ اذان دی جا سکتی ہے؟,کیا نوزائدہ بچے کے کان میں موبائل کے ذریعہ اذان دی جا سکتی ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 705-000/H=7/1436-U

اگر کوئی اذان پڑھنے والا شخص نوزائیدہ بچہ کے پاس ایسا نہ ہو کہ جو بغیر موبائل فون کے براہ راست اذان معہود طریقہ پر پڑھ دے تو مجبوری میں موبائل فون سے اس کے کان میں اذان واقامت پڑھ دی تو گنجائش ہے، اذان واقامت ہوجائے گی۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",59226,deoband,معاشرت,تعلیم و تربیت
31-Aug-2020,https://darulifta-deoband.com/home/ur/education-upbringing/59209,بچے کی پیدائش پر جو شھد چٹانے کی سنت ادا کی جاتی ھے وہ کس کو ادا کرنی چھائے ؟ باپ کو یا ماں کو؟ اگر باپ کے ھوتے ھوئے ماں ضد کرے کہ میں چٹاوں گی تو کیسا ھے ؟,بچے کی پیدائش پر جو شھد چٹانے کی سنت ادا کی جاتی ھے وہ کس کو ادا کرنی چھائے ؟ باپ کو یا ماں کو؟ اگر باپ کے ھوتے ھوئے ماں ضد کرے کہ میں چٹاوں گی تو کیسا ھے ؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 750-597/D=7/1436-U

دونوں چٹادیں، پہلے ماں پھر باپ۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",59209,deoband,معاشرت,تعلیم و تربیت
01-Sep-2020,https://darulifta-deoband.com/home/ur/education-upbringing/58813,زید نے گود لیکر ایک بچہ کی پرورش کی تو کیا شریعت اس کی اجازت دیتی ہے کہ وہ اسکو اپنا نام دے سکتا ہے بطور والد کے ؟,(۱) زید نے گود لیکر ایک بچہ کی پرورش کی تو کیا شریعت اس کی اجازت دیتی ہے کہ وہ اسکو اپنا نام دے سکتا ہے بطور والد کے ؟ (۲) دوسری صورت یہ ہے کہ بچہ کے والدیں کا علم ہی نہں ہے تو اسکو کیا نام دیا جاے ؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 342-342/Sd=7/1436-U

(۱) بچے کو گود لے کر پرورش کرنے کی وجہ سے اس کے لیے حقیقی بیٹے کے احکام ثابت نہیں ہوتے، لہٰذا صورت مسئولہ میں زید کے لیے جائز نہیں ہے کہ وہ اپنے نام کو گود لیے ہوئے بچے کے والد کے طور پر استعمال کرے، بچے کے جو حقیقی والد ہیں، انھیں کی طرف بچے کو منسوب کرنا چاہیے۔
(۲) اگر بچے کے والدین کا علم نہیں ہے، تو بچے کو اسی کے نام سے پکارنا چاہیے۔ قال في التفسیرات الأحمدیة: أدعوہم لآبائہم أی: أدعوا کل أحد باسم آبائہم، ہو أقسد وأعدل عند اللہ، فإن لم تعلموا أسماء آبائہم، فلا تدعوہم ببنوة من یتبناہم؛ بل فإخوانکم في الدین وموالیکم، أي تدعوہم بہذا أخی ومولاي في الدین أو سموہ باسم أخوانکم في الدین، مثل: عبد اللہ وعبد الرحمن (التفسیرات الأحمدیہ: ص: ۵۹۵، الأحزاب)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",58813,deoband,معاشرت,تعلیم و تربیت
01-Sep-2020,https://darulifta-deoband.com/home/ur/education-upbringing/58725,من یک سوال دارم: زید فرزند خود را بہ عمرو داد و گفت کہ این دیگر فرزند تو است بہ خاطر کہ تو فرزند نداری و عمرو ھم او را قبول کرد بعد عمرو بہ آن بچہ شیر مادر خانم خود را داد کہ بچہ ھم برادر زادہ اش است و ھم برادر رضعی خانم آش ،مردم خبر استند کہ او فرزند زید است ولی عمرو میگوید کہ او فرزند من است ،در قرآن واحادیث منع از گفتن بہ کسی دیگر آمدہ لطفا اگر وضاحت بدھید اجرکم علی اللہ جواب اگر اوردو باشد ھم مشکل ندارد ؟,من یک سوال دارم: زید فرزند خود را بہ عمرو داد و گفت کہ این دیگر فرزند تو است بہ خاطر کہ تو فرزند نداری و عمرو ھم او را قبول کرد بعد عمرو بہ آن بچہ شیر مادر خانم خود را داد کہ بچہ ھم برادر زادہ اش است و ھم برادر رضعی خانم آش ،مردم خبر استند کہ او فرزند زید است ولی عمرو میگوید کہ او فرزند من است ،در قرآن واحادیث منع از گفتن بہ کسی دیگر آمدہ لطفا اگر وضاحت بدھید اجرکم علی اللہ جواب اگر اوردو باشد ھم مشکل ندارد ؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 635-507/D=6/1436-U

تبَنِّیت از جملہ رسوم جاہلیت بود آں را اسلام باطل قرار داد؛ لہٰذا براں عمر و جائز نیست کہ پسرِ مذکور را فرزندِ حقیقی خود گوید بلکہ پدر حقیقی وے زید است، البتہ عمرو وی را فرزند رضاعی خود گفتہ میتواند، لکن او بحیثیت فرزند رضاعی بودن از عمرو حق وراثت بردہ نمیتواند، وعنہ قال: إن زیدَ بن حارثة مولی رسول اللہ صلی اللہ علیہ وسلم ما کنا ندوعوہ إلا زیدَ بن محمدٍ حتی نزل القرآن: ادعوہم لآبائہم (الأحزاب: ۵) متق علیہ․ قال العلی القاري: قال النووي: کان صلی اللہ وسلم تبنّی زیدًا ودعاہ ابنہ،وکانت العرب تتبنّی موالیَہم وغیرہم فیصیر ابنا لہ یوارثہ وینسب إلیہ حتی نزل القرآن أی الآیة منہ ”ادعوھم لآبائھم“ أی: انسبوھم لآبائھم ھو أقسط، أی: أعدل عند اللہ ”فإن لم تعلموا آبائھم فإخوانکم في الدین وموالیکم“ (الأحزاب:۵) فرجع کل إنسان إلی نسبہ․ (مرقاة المفاتیح: ۹/۳۹۷۴، کتاب المناقب، باب مناقب أہل بیت النبي صلی اللہ علیہ وسلم: ط: دار الفکر بیروت، لبنان) 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",58725,deoband,معاشرت,تعلیم و تربیت
01-Sep-2020,https://darulifta-deoband.com/home/ur/education-upbringing/58331,تعلیم و تربیعت,میرا بیٹا جسکی عمر تقریباً ساڑھے تین سال ہے اسے میں حافظ ،قاری عالم ،مفتی کی تعلیم دلوانا چاہتا ہوں اور اللہ سے دعا کرتا ہوں کی اللہ اسے عالم با عمل بنا دیں - آپ سے درخواست ہے کی اس بارے میں رہنمائی فرمائیں- یہ بھی بتا دیں کی بچچے کی تعلیم کی کیا ترتیب ہونی چاہئے اسے میں ابھی سے کس طرح سے لے کر چلوں -ابتدائی تعلیم کے لئے مہینے اسے مکتب مے داخلہ کرا دیا ہے - کیا میں اسے دو-چار کلاس پڑھنے کے لئے کسی اسکول میں بھیج سکتا ہوں- اسکے لئے آپ سے دعاؤں کی درخواست ہے -,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 511-511/M=6/1436-U

اپنے بیٹے کو حافظ وعالم بنانے کا جذبہ لائق تحسین ہے، اللہ تعالیٰ آپ کے نیک ارادے کو قبول فرمائے اور بیٹے کو عالم باعمل بنائے (آمین) ابتدائی تعلیم کے لیے آپ نے بچے کو مکتب میں داخلہ کرادیا ہے یہ اچھا کیا، اسکول بھیجنا مناسب نہیں، بچہ جب ناظرہ قرآن پڑھ لے تو اس کا حفظ شروع ہوجائے اور حفظ کی تکمیل کے بعد فارسی اور عربی کی ابتدائی تعلیم شروع ہوجائے، اگر مکتب میں عربی تعلیم کا نظم نہ ہو تو کسی مدرسے میں داخل کرایا جاسکتا ہے، دو تین سال بعد جب ابتدائی تعلیم پختہ ہوجائے تو دارالعلوم دیوبند میں داخلہ کرادیا جائے۔  
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",58331,deoband,معاشرت,تعلیم و تربیت
01-Sep-2020,https://darulifta-deoband.com/home/ur/education-upbringing/57827,کیا میں انٹرنیٹ پر قرآن پڑھ سکتی ہوں؟ میں جن سے قرآن پڑھ رہی ہوں وہ بہت سارے طلبہ کو قرآن پڑھا رہی ہیں اور میرا قرآن بھی بہت بہتر ہوگیا ہے,(۱) کیا میں انٹرنیٹ پر قرآن پڑھ سکتی ہوں؟ میں جن سے قرآن پڑھ رہی ہوں وہ بہت سارے طلبہ کو قرآن پڑھا رہی ہیں اور میرا قرآن بھی بہت بہتر ہوگیا ہے ، لیکن (۲) وہ کہتی ہیں ایام کے دوران میں قرآن نہیں پڑھ سکتی ۔ براہ کرم، حدیث کے حوالے سے رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 434-469/N=6/1436-U

(۱) جی ہاں! آپ کسی معلّمہ خاتون سے انٹرنیٹ پر قرآن پڑھ سکتی ہیں، بشرطیکہ اس میں صرف آڈیو کی شکل ہو، ویڈیو کی شکل نہ ہو، نیز پڑھنے والی خاتون صحیح العقیدہ ہو (مثلاً ڈاکٹر فرحت ہاشمی صاحبہ نہ ہو) ورنہ اجازت نہ ہوگی۔ 
(۲) حیض کے ایام میں قرآن پڑھنا ممنوع ہے، حضرت ابن عمر رضی اللہ عنہ کی روایت ہے کہ رسول اللہ صلی اللہ علیہ وسلم نے فرمایا کہ حائضہ عورت اور جنبی شخص کچھ بھی قرآن نہیں پڑھ سکتے۔ (ترمذی شریف، ابن ماجہ شریف اور شرح معانی الآثار)
اس روایت کو منذری نے حسن قرار دیا ہے اور نووی رحمہ اللہ نے صحیح قرار دیا ہے (البحر الرائق ۱: ۳۴۵ مطبوعہ مکتبہ زکریا دیوبند) اور حافظ ابن حجر عسقلانی رحمہ اللہ نے فرمایا کہ حق بات یہ ہے کہ یہ روایت از قبیل حسن ہے، حجت بن سکتی ہے (معارف السنن ۱: ۴۴۶)؛ کیوں کہ ا سماعیل بن عیاش اس روایت میں منفرد نہیں ہیں؛ بلکہ موسی بن عقبہ سے مغیرہ بن عبد الرحمن نے بھی یہ روایت نقل کی ہے (حوالہ بالا)۔ اور تمام فقہائے احناف، شوافع، حنابلہ اور اکثر علما کا یہی مسلک ہے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",57827,deoband,معاشرت,تعلیم و تربیت
01-Sep-2020,https://darulifta-deoband.com/home/ur/education-upbringing/57341,کسی یتیم بچی کو گود لینے کے بارے میں اور اسکی وراثت کی تقسیم کے بارے میں,میرا سوال یہ ہے کہ کہ میری اہلیہ کی بڑی بہن ہیں ، ان کے شوہر حیات نہیں ہیں ان کے چھ بچوں میں سب سے چھوٹی ایک بیٹی ہے جس کی عمر 13 سال ہے میں اس کو (Adopt)کرنا چاہتا ہوں اس کا شرعی طریقہ کیا ہے ، اور adopt کرنے کے بعد اس بچی کا میرے ورثہ میں حصہ ہوگا کہ نہیں اگر ہوگا تو اسکی شرعی مقدار اور تقسیم کا کیا طریقہ رہییگا جبکہ پہلے سے میرے حقیقی دو بچے ہیں ایک بیٹا عمر (5) سال ایک بیٹی عمر (8) سال۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 273-226/D=3/1436-U

متبنّی (لے پالک) بنانا شرعاً غیر معتبر ہے، اس طرح بیٹی بنالینے سے وہ حقیقت میں بیٹی نہیں ہوگی اور نہ ہی حقیقی بیٹے کے احکام اس پر جاری ہوں گے؛ اس لیے آپ کے ترکہ میں شرعاً اس کا کوئی حصہ نہیں ہے، لیکن اگر آپ اپنی زندگی میں اس کو کچھ مال ہبہ کرنا چاہیں یا 1/3(تہائی) کی حد تک اس کے لیے وصیت کرنا چاہیں تو یہ جائز ہوگا، نیز آپ کا اپنی طرف سے اس کی تعلیم وتربیت اور کفالت کی ذمہ داری لینا باعث اجر وثواب ہوگا، البتہ اس کا خیال رہے کہ بالغ ہونے کے بعد یہ بچی آپ کے لیے نامحرم ہوگی اور آپ کے لیے اس سے پردہ کرنا ضروری ہوگا۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",57341,deoband,معاشرت,تعلیم و تربیت
31-Aug-2020,https://darulifta-deoband.com/home/ur/education-upbringing/57297,میرے والدین اتنے مالدار نہیں ہیں کہ وہ دونوں بچوں کی دیکھ بھال کرلیں۔ میں بھی ان دونوں کی دیکھ بھال نہیں کرسکتی۔ میں کیا کروں؟ میں کیا کرسکتی ہوں؟,میں انڈیا کی رہنے والی ہوں۔ میں نے MCAکررکھا ہے۔ میں ایک معزز گھرانہ سے تعلق رکھتی ہوں۔ میرے والدین نے بتایا کہ انھوں نے میرے لیے ایک لڑکا تلاش کیا ہے جس نے ہم کو بتایا کہ وہ میکینکل انجینئر ہے اور میں نے فروری 2014میں شادی کی۔ میں ابتدائی چند دنوں میں اس کے ساتھ خوش تھی ۔ لیکن چند دنوں کے بعد اس نے مجھے پریشان کرنا شروع کردیا۔ وہ ذہنی طور پر تھوڑا بیمار تھا۔ وہ عام طور پر مجھ کو بلا وجہ مارتا تھا اور وہ ہمیشہ مجھ سے کہا کرتا تھا کہ وہ مجھ کومعمولی وجہ سے طلاق دے دے گا۔ میں اس کے ساتھ رہنے کی کوشش کررہی تھی کیوں کہ میرے والدین نے بہت مشکل سے میری شادی کی تھی۔ اس کی ماں بھی مجھ کو پریشان کررہی ہے۔ اس کے بعد میں حاملہ ہوگئی ایک ماہ میں۔ میں نہیں جانتی تھی کہ یہ سب اتنی جلدی ہوجائے گا۔ لیکن میرا شوہر میرے حاملہ ہونے سے بہت خوش تھا کیوں کہ اس کا منصوبہ تھا کہ اگر بچہ ہوجاتا ہے تو میں اس کو کبھی چھوڑ کر نہیں جاوٴں گی۔ نیز اس کا یہ بھی ماننا تھا کہ اگر میرے لڑکا ہوجاتا ہے تو میں اس سے صحیح طرح سے برتاوٴ کروں گی۔ اس لیے میں سوچ رہی تھی کہ اگر میرے بچہ ہوجاتاہے تو وہ صحیح ہوجائے گا۔ اس کے بعد میں گھر آئی اور سب کچھ اپنے والدین کو بتایا اس کے بعد انھوں نے اس نے جو کچھ میرے ساتھ کیا تھا اس کے بارے میں سوال کیا۔ اس نے ان کے ساتھ لڑائی کی اور چلا گیا اور ڈلیوری تک مجھ سے بات نہیں کی اس نے میری دیکھ بھال نہیں کی۔ اس کے بعد میرے یہاں دو جڑواں لڑکیاں پیدا ہوئیں میرے والد نے اس کو اطلاع دی اور وہ آیا اور بچوں کودیکھ کر خوش تھا۔ اس کے بعد چلا گیا۔ میں بھی خوش تھی کہ اس میں تبدیلی آگئی ہے۔ لیکن وہ پہلے جیسا ہی تھا اس میں تبدیلی نہیں آئی تھی یہاں تک کہ پہلے سے بھی زیادہ خراب ہوگیا۔ اب اس نے مجھ کواور میرے والدین کو گالی دینابھی شروع کردیا۔وہ میرے والدین کے لیے بہت برے الفاظ استعمال کررہا تھا کہ میں اس کو برداشت نہیں کرسکی۔ اب میں سمجھی کہ وہ جھوٹا ہے اور اب ہم کو معلوم ہوا کہ وہ دھوکے باز بھی ہے۔ اس نے کہا کہ اس نے انجینئرنگ کی ہے لیکن وہ ایک PUہولڈر ہے۔ ان تمام کو سن کر میرے والدین پریشان ہوگئے اور یہ فیصلہ کیا کہ اب اس کے ساتھ زندگی گزارنا مشکل ہے۔ لیکن بچوں کا کیا ہوگا۔ میرے والدین اتنے مالدار نہیں ہیں کہ وہ دونوں بچوں کی دیکھ بھال کرلیں۔ میں بھی ان دونوں کی دیکھ بھال نہیں کرسکتی۔ میں کیا کروں؟ میں کیا کرسکتی ہوں؟ براہ کرم جلد مشورہ دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 176-175/H=3/1436-U

آپ کے حق میں بہتر صورت یہ ہے کہ علیحدگی کا فیصلہ لینے میں جلدی نہ کریں دو تین با اثر معاملہ فہم سنجیدہ مزاج حضرات کو بیچ میں ڈال کر مصالحت اور نباہ کی کوئی مناسب شکل اختیار کرنے میں وہ حضرات کوشش کریں گے، جیسا کچھ وہ حضرات طے کرادیں اس کے مطابق آئندہ عمل کریں، ان شاء اللہ آپ کے بچوں نیز آپ کے والدین کے حق میں نباہ کی یہ صورت ہرطرح بہتر ہوگی۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",57297,deoband,معاشرت,تعلیم و تربیت
01-Sep-2020,https://darulifta-deoband.com/home/ur/education-upbringing/57278,بچے کے کان میں اذان کیسے دی جائے؟,(۱) بچے کے کان میں اذان کیسے دی جائے؟ (۲) اور کون سی اذان دی جائے صبح کیا یا کوئی بھی؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 197-183/H=3/1436-U

(۱) بچہ کو نہلا دھلاکر پاک صاف کپڑے پہنادیں اذان پڑھنے والا شخص قبلہ رخ ہوکر اتنی زور سے اذان پڑھے کہ بچہ کے کان میں آواز پہنچ جائے بہت زیادہ آواز کو بلند نہ کرے، داہنے کان میں اذان اور بائیں کان میں اقامت (تکبیر) کے الفاظ پڑھ دے۔ 
(۲) صبح (فجر) کی اذان نہ پڑھے چونکہ ”الصلاة خیر من النوم“ یہ الفاظ اذانِ فجر کے ساتھ مخصوص ہونا احادیث سے ثابت ہوتا ہے اوراذان مولود میں کہیں صراحت نہیں ملتی کہ یہ کلمہ (الصلاة خیر من النوم) بھی پڑھا جائے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",57278,deoband,معاشرت,تعلیم و تربیت
