issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/business/146116,تصاویر والی نوٹ بك بیچنا خریدنا؟,ہمارے یہاں سرکاری اور غیر سرکاری اسکول کی کتابوں اور نوٹ بک پر جاندار کی تصویریں چھپی ہوئی ہوتی ہیں، ایسی چیزوں کا دوکان پر بیچنا یا خریدنا جائز ہے یا نہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: 181-132/H=2/1438</span></p><p dir=""RTL"">
	ایسی کتابیں اور نوٹ بک کہ جن پر جاندار کی تصاویر نہ ہوں اُن کے بیچنے خریدنے کا انتظام کرلیں تو اُس کا بہتر ہونا تو ظاہر ہے ورنہ صورت مسئولہ میں چونکہ تصاویر تبعاً ہوتی ہیں اور اصالةً کتابوں اور نوٹ بکس کی بیع و شراء ہوتی ہے اس لیے ان کے بیچنے خریدنے کی بھی گنجائش ہے اس کی آمدنی پر حرام وناجائز ہونے کا حکم نہ ہوگا۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",146116,deoband,معاملات,بیع و تجارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/business/146053,سونے کے کارو بار میں گاہک مجبور,سونے کے کاروبار کی ایک کمپنی ہے جس سے لوگ سونا خرید تے ہیں،لوگ پیسہ دیتے ہیں اور سونا پر قبضہ کرلیتے ہیں، لیکن سونا پورے بازار میں ارزاں قیمت پر فروخت ہوجاتاہے ،اس لیے گاہک مجبور ہیں کہ یہ سونا پھر سے اسی کمپنی پر فروخت کرے ، کیوں کہ گولڈ کمپنی انٹرنیشنل قیمت لیتی ہے ، کیا یہ بیع صحیح ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: </span>156-118<span dir=""LTR"">/H=</span>2/1438</p><p dir=""RTL"">
	کمپنی سے سونا خرید کر نقد پیسے (قیمت) ادا کردیتے ہیں اور سونے پر قبضہ کرلیتے ہیں پھر کسی وقت میں وہی سونا کمپنی کو نقد فروخت کرکے سونا کمپنی کو دے دیتے ہیں اور قیمت کمپنی سے لے لیتے ہیں یہ دونوں بیع و شراء درست ہیں کچھ آپ کو اشکال ہوتو اس کو صاف و واضح لکھ کر سوال دوبارہ کریں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",146053,deoband,معاملات,بیع و تجارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/business/145896,آن لائن خریداری پر خیار رؤیت؟,آن لائن کپڑا خریدنے کی صورت میں صرف تصویر دیکھ کر کپڑا خرید لیا جاتاہے ، جب کپڑا کورئیر سروس کے ذریعے وصول ہو جائے اور مشتری کو پسند نہ آئے تو کیا واپس کرنے کا اختیار ہو گا؟ نیز واپسی کورئیر سروس کے چارجز کس کے ذمہ ہوں گے ؟ بائع کے یا مشتری کے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: 109-89/N=2/1438</span></p><p dir=""RTL"">
	(۱، ۲): آن لائن کپڑے کی خریداری میں مشتری نے نیٹ پر کپڑے کی تصویر دیکھی اور کپڑا خریدلیا تو مشتری کو جب کوریئر سروس سے یا بائع کے پہنچانے سے یا کسی اور طرح کپڑا وصول ہوگا تو اسے خیار رویت حاصل ہوگا، یعنی: مشتری کو کپڑا دیکھنے کے بعد پسند نہ آنے کی وجہ سے کپڑا واپس کرنے کا اختیار ہوگا؛ کیوں کہ کپڑے کا فوٹو وغیرہ دیکھنے سے اگرچہ ایک حد تک مبیع کی کیفیت معلوم ہوجاتی ہے؛لیکن یہ عین شی کا دیکھنا نہیں ہے؛ البتہ واپسی کوریئر سروس کا چارج مشتری کے ذمہ ہوگا، بائع کے ذمہ نہ ہوگا۔ لا - یکفي- روٴیة دھن في زجاج لوجود الحائل (الدر المختار مع رد المحتار، کتاب البیوع، باب خیار الروٴیة، ۷: ۱۵۹، ط: مکتبة زکریا دیوبند)، قولہ:”لوجود الحائل“:فھو لم یر الدھن حقیقة، وفی التحفة: لو نظر فی المرآة فرأی المبیع، قالوا: لا یسقط خیارہ؛ لأنہ ما رأی عینہ بل مثالہ (رد المحتار)، من اشتری شیئاً لم یرہ فلہ الخیار إذا رآہ إن شاء أخذہ بجمیع الثمن وإن شاء ردہ سواء رآہ علی الصفة التي وصفت لہ أو علی خلافھا کذا في فتح القدیر (الفتاوی الھندیة، کتاب البیوع، الباب السابع في خیار الروٴیة ۳:،۵۷، ۵۸، ط: مکتبة زکریا دیوبند)، ولو رأی ما اشتراہ من وراء زجاجة أو في مرآة أو کان المبیع علی شفا حوض فنظرہ فی الماء فلیس ذلک بروٴیة وھو علی خیارہ کذا فی السراج الوھاج (المصدر السابق، ص ۶۳)، وموٴونة رد المبیع بعیب أو بخیار شرط أو روٴیة علی المشتری (المصدر السابق ، ص: ۶۱، ورد المحتار، ۷: ۱۵۱عن البحر عن جامع الفصولین)۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",145896,deoband,معاملات,بیع و تجارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/business/145890,زکات میں کپڑے، قیمت خرید کے اعتبار سے دینا؟,"زید نے آن لائن کپڑوں کی خریداری صرف کپڑوں کی تصاویر دیکھ کر کی, جب کپڑے گھر پہنچے تو ایسا معلوم ہوا کہ مقامی مارکیٹ کی بنسبت کافی مہنگے داموں پڑے ہیں, اب جس قیمت پر زید کو پڑے ہیں, کیا اسی قیمت کا اعتبار کر کے ان کپڑوں کو بطور زکوة دے سکتا ہے یا نہیں؟دکاندار نے کورئیر سروس کے ذریعے کپڑے بھیجے ہیں،اور کہا ہے کہ سروس کے پیسے میں نے اس قیمت میں نہیں وصول کیے حالانکہ غالب گمان ہے کہ وہ اس نے وصول کر لیے ہوں گے ,تو کیا زکوة ادا کرتے وقت اس سروس کی قیمت الگ کی جائے گی یا نہیں؟","<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: 122-134/L=2/1438</span></p><p dir=""RTL"">
	زکوٰة ادا کرتے وقت ان کپڑوں کی جو بازاری قیمت ہوگی، اس قیمت کے اعتبار سے زکوٰة کاحساب لگایا جائے گا، جس قیمت پر آپ نے خریدا ہے اس کا اعتبار نہیں ہوگا، اور نہ الگ سے کورئیر کی رقم ا س میں شامل کی جائے گی پس اس کپڑے کی جو بازار میں ویلو ہے کپڑے سے زکوٰة ادا کرنے کی صورت میں صرف اتنی مالیت کی زکوٰة ادا ہو جائے گی۔ وذکر محمد فی الرقیات: أنہ یقوم فی البلد الذي حال الحول علی المتاع بما یتعارفہ أہل ذلک البلد نقداً فیما بینہم یعنی غالب نقد ذلک البلد، ولاینظر إلیٰ موضع الشراء ولا إلیٰ موضع المالک وقت حولان الحول۔ (التاتارخانیہ: ۳/۱۶۵)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",145890,deoband,معاملات,بیع و تجارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/business/145838,پراپرٹی خرید وفروخت کی صورتیں؟,آج کل پراپرٹی کی خرید وفروخت کی مختلف شکلیں رائج ہیں جن کے متعلق آپ حضرات کی تفصیلی اور مدلل رائے درکار ہے ان صورتوں کوبالترتیب ذکر کیا جاتا ہے : #:نئی سوسائٹیز بنانے والے اپنی سوسائٹی کی تشہیر کرتے ہیں اور مختلف رقبہ کے پلاٹس کی فائلز بناتے ہیں جن کی خرید وفروخت کا معاملہ شروع ہو جاتا ہے ۔ الف:فائلز کا خریدنا جب کہ سوسائٹی کا کوئی نقشہ نہیں بنا ہو کیسا ہے ؟نیزان فائلز کا آگے بیچنے کیسا ہے ؟ ب:اگر نقشہ بنا ہو تو ایسی صورت میں فائلز کا خریدناا ور ان کو آگے بیچنا اور اس کا کاروبار کرنا کیسا ہے ؟جبکہ فی الحال پوری رقم کی ادائیگی کی وجہ سے سوسائٹی پلاٹ حوالے نہیں کر رہی۔یا کسی انتظامی مجبوری کی وجہ سے مکمل ادائیگی ہونے کے باوجود بھی سوسائٹی پلاٹس کا عملی قبضہ نہیں دے سکتی مثلا،عملی طور پر پلاٹ کی حد بندی ہی نہ ہوئی ہوصرف نقشہ بنا ہوا ہو۔ ج:پلاٹ کا نقشہ بنا ہو اور خریدار نے بعض قسطیں بھی ادا کر دی ہوں لیکن وہ پلاٹ کا قبضہ نہیں لے سکتا کیونکہ سوسائٹی والے قبضے دینے کے لئے پوری ادائیگی مانگتے ہیں ایسی صورت میں اس پلاٹ کو آگے بیچنا کیسا ہے ،جائز یا نا جائز؟جبکہ عملی طور پر پلاٹس کی حد بندی بھی ہو چکی اور گاہک کسی بھی مجبوری کی وجہ سے فی الفور ادائیگی بھی نہیں کر سکتا؟ایسی صورت میں گاہک پر اس پلاٹ کی زکوٰة کا کیا حکم ہے ؟ # پلاٹس کی خرید وفروخت کی ایک صورت یہ بھی ہوتی ہے کہ کوئی سوسائٹی مختلف رقبے کے پلاٹس کے فائلز بیچتی ہے جس کا کوئی نقشہ نہیں ہوتا اور مخصوص رقم کی وصولی کے بعد وہ پلاٹس کا نقشہ بناتی ہے اور پھر قرعہ اندازی کے ذریعے مطلوبہ رقبے کے پلاٹس گاہگوں کے حوالے کرتی ہے اس صورت میں پہلے سے پلاٹ کی جگہ کی کوئی تعیین نہیں ہوتی قرعہ اندازی کے بعد جگہ متعین ہوتی ہے اور جگہ کی نوعیت کے اعتبار سے قیمتی پلاٹ نکلنے پر سوسائٹی گاہگ سے مزید رقم کا مطالبہ کرتی ہے ۔کیا یہ صورت جائز ہے ؟ جبکہ پلاٹ متعین نہیں ہوتا،متعین قیمت میں اضافے کا بھی امکان ہوتا ہے تاہم یہ اضافہ گاہگ کی مرضی کے مطابق ہوتا ہے اگر وہ نہ لے تو اسے دوسری جگہ پر مقررہ قیمت کا پلاٹ بھی دیدیا جاتا ہے ۔کیا قرعہ اندازی سے پہلے گاہک اور سوسائٹیز والوں کا یہ معاملہ بیع کہلائے گا؟اگر یہ بیع نہیں تو اس معاملے کی فقہی تکییف کیا ہو گی،یعنی گاہک کا فائل خریدنا ،سوسائٹی کو ادائیگی کرنا،اس کے بعد پلاٹ نکل آنے پر مزید ادائیگی کرنا وغیرہ۔اگر قیمت میں کوئی اضافہ نہ ہو تو کیا ایسا معاملہ کرنا جائز ہو گا جبکہ ابتداءً جگہ کی کوئی تعیین نہیں ہوتی؟ #پلاٹ نکلنے سے پہلے کا معاہدہ بیع ہو گا یا وعدہ بیع؟نقشہ بننے سے پہلے یا نقشہ بننے کے بعد گاہک کا اس پلاٹ کو آگے بیچنا غیر مقدور التسلیم،مجہول،یا ملک الغیر میں سے کون سے صورت ہو گی؟فقہاء کرام نے غیر مقدور التسلیم کی کیا تشریح کی ہے ؟کیا غیر مقدور التسلیم اور ملک غیر میں کوئی فرق ہے ؟یا غیر مقدور التسلیم سے مراد اپنی ملک کی وہ اشیاء جو دسترست سے باہر ہو جیسے بھاگا ہوا غلام۔ # پلاٹ خریدنے کی کن کن صورتوں میں ملکیت آ جاتی ہے ؟کیا محض پلاٹس کا نقشہ بننے کے بعد جبکہ عملی طور پر کوئی حد بندی نہ ہوئی ہو اس کو مالک کی طرف سے تخلیہ کہا جائے گا اور یہ گاہک کا قبضہ کہلائے یا یا عقار وغیرہ میں عملی قبضہ کی طرح تخلیہ کی بھی ضرورت نہیں محض تعیین کافی ہے ؟ براہ کرم ان سوالات کا مدلل جواب عنایت فرما کر رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: 233-201/M=2/1438</span></p><p dir=""RTL"">
	(۱) جب پلاٹس کا نقشہ تیار نہیں ہے تو اس کی فائلز خریدنے کی کیا شکل ہوتی ہے؟ نیز اس فائلز میں کیا رہتا ہے؟ اور اس کی خریداری کیسے ہوتی ہے؟ وضاحت کے ساتھ دوبارہ لکھیں۔</p><p dir=""RTL"">
	(۲) جب نقشہ تیار ہو گیا اور بائع و مشتری کے درمیان مبیع کے تمام اوصاف، مبیع کی سپردگی کا وقت اور ثمن کی تعیین و میعاد اور ادائیگی ثمن کی صورت وغیرہ متعین ہوگئے، پھر باضابطہ ایجاب و قبول اور عملی طور پر پلاٹ کی حد بندی ہو چکنے کے ذریعہ معاملہ تام ہو جائے ، توپلاٹ مشتری کی ملک سمجھا جائے گا، اور صورتِ مسئولہ میں جب ثمن کی مکمل ادائیگی ہو چکی ہے تو پلاٹ کی عملی طور پر حد بندی کے بعد مشتری اس پلاٹ کو آگے فروخت کرسکتا ہے محض نقشہ تیار ہونے کی شکل میں عملی طور پر حد بندی سے قبل اُسے فروختگی کی اجازت نہ ہوگی۔ وإذا حصل الایجاب والقبول لزم البیع (ویثبت الملک لکل منہما) ہدایة: ۳/۲۰، اشرفی بکڈپو دیوبند۔ وبتأ جیل الثمن بعد البیع ․․․․․ قبل قبض الثمن فلیس لہ بعدہ ردہ إلیہ / ردمختار: ۷/۹۳، زکریا۔ اور گاہک نے جتنی قسطیں ادا کردی ہیں اُن کے بقدر پلاٹ کی جو مالیت حولانِ حول کے بعد ہوگی اس کی زکوٰة گاہک پر واجب ہے بشرطے کہ گاہک نے تجارت کی غرض سے خریدا ہو، اور پلاٹ کا بقیہ حصہ جس کی قسط ابھی ادا نہیں کی گئی ہے اس کی زکوة مشتری پر نہیں ہے۔</p><p dir=""RTL"">
	(۴) نقشہ تیار ہونے سے قبل فائلز خریدنے کی کیا شکل ہوتی ہے؟ اس کی وضاحت کریں، اور قرعہ اندازی سے پہلے جو مخصوص رقم گاہک سے وصول کی جاتی ہے اس کی کیا حیثیت ہے؟ کیا قرعہ اندازی کے بعد پلاٹس اور ثمن کی تعیین کے وقت اُس مخصوص وصول کردہ رقم کو ثمن میں شمار کرکے منہا کیا جاتا ہے یا نہیں؟ اگر نہیں، تو اُس مخصوص رقم کے وصول کرنے کی کیا وجہ ہے؟ کس چیز کے عوض وہ وصول کی جاتی ہے، نیز اگر کسی گاہک کا قرعہ اندازی میں حصہ نہ نکلے تو وہ مخصوص وصول کردہ رقم اُسے لوٹائی جاتی ہے یا نہیں؟ ہر ایک شق کو واضح طور پر لکھ کر دوبارہ سوال کریں۔</p><p dir=""RTL"">
	(۵) پلاٹ نکلنے سے معاہدے کی کیا شکل ہوتی ہے؟ مندرجہ بالا قرعہ اندازی ہی کی شکل مراد ہے یا کوئی اور؟ جو بھی ہو اس کی وضاحت کریں، جب پلاٹ کا نقشہ ابھی تیار نہیں ہوا تو اُسے آگے فروخت کرنے کی کیا شکل ہے جب کہ ابھی یہ معلوم نہیں کہ مبیع کیسی ہے؟ کتنی ہے؟ کہاں ہے؟ اس کو لکھیں اور نقشہ تیار ہونے کے بعد فروخت کرنے کا حکم اوپر (۲) کے تحت آچکا ہے۔</p><p dir=""RTL"">
	(۶) عقار (جائداد) میں منقولات کی طرح قبضے کی شرط نہیں ہے بلکہ جائداد میں اگر عرفاً نقشہ تیار ہونے اور مبیع کے حدودِ اربعہ کے متعین ہونے کے بعد بایں طور کہ اس میں ضرر یا غرر کا اندیشہ نہ ہو بائع کی جانب سے قبضہ دلانا سمجھا جاتا ہو تو مشتری کا قبضہ سمجھا جائے گا/ مطلب: في التصرف في المبیع والثمن قبل القبض: صحّ بیع عقار لایخشی ہلاکہ قبل قبضہ من بائعہ لعدم الغرر لندرة ہلاک العقار/ الدرالمختار: ۲/ ۲۶۸، ۲۶۹، زکریا۔</p><p dir=""RTL"">
	الأصل: أن کل عقد ینفسخ بہلاک العوض قبل القبض لم یجز التصرف في ذلک العوض قبل قبضہ کالمبیع في البیع ․․․․․․․ ومالا ینفسخ بہلاک العوض فالتصرف فیہ قبل القبض جائز/ شامی: ۷/۳۸۰، زکریا دیوبند۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",145838,deoband,معاملات,بیع و تجارت
30-Aug-2020,https://darulifta-deoband.com/home/ur/business/145835,1لاکھ میں زمین کی بیع، 10 نقد ادا، اس کے بعد اقالے پر زیادہ رقم کا مطالبہ؟,بعد سلام کے معلوم ہوکہ علی احمد کی عمرتقریباً9 5 سال ہے ، ان کے تین لڑکے ہیں عمر 30،27،25سال جو تقریباً 15 سال سے کوئی کاروبار نہیں کرتے اور کثرت سے نشہ کی گولی بھانگ کا استعمال کرتے ہیں اور گھر میں آئے دن اپنے بچوں اور بیوی کے ساتھ پیسے کے لئے گالی گلوج کرتے چلے آئے ہیں اورکئی بار گھر میں رکھا زیور گروی رکھنے کی کوشش کی اور گھر والوں کی برائی کر کے دوسروں سے مدد کی درخواست کرتے رہتے ہیں جس کے نتیجے میں گھر کے لوگ پریشان ہیں، اور ان کے نام سے ایک زمین جو والد صاحب سے وراثت میں ملی ہے ، جو منہدی حسن کے مکان کے بغل میں ہے ، منہدی حسن بھی نشہ کے عادی ہیں، سن 2008 میں علی احمد کی زمین کو منہدی حسن نے ایک لاکھ روپئے میں بات کر لیا علی احمد کے گھر کے کس افراد کو بتائے ، اور ایک لاکھ میں سے 10000 دس ہزار دیا باقی 4مہینے کے بعد دینے کے لیے کہا جب شام علی احمد اپنے گھر مچھلی اور ٹھیلے کا چار رم یعنی پہیا لے کر آئے تو گھر کے لوگ حیرت میں پڑ گئے کہ ان کو پیسے کہاں سے ملے ،بہت زور دے کر پوچھنے پر ہم نے زمین بیچ دی، مزیدمعلومات کے بعد دوسرے دن ہی علی احمد کے گھر والے منہدی حسن سے 10000 واپس لینے اور زمین نہ بیچنے کی بات کی تو منہدی حسن نے 10000 واپس لینے سے انکار کر دیا، اور اسی زمین پر ایک ٹرالی اینٹ گرا دیا، تو علی احمد کے گھر والوں نے اور لوگوں سے کہ کر 10000 واپس کرنے کی بات کی تقریباً 15دن بعد ایک اورصاحب محمد حسن کے گھر پر بات ہوئی، یہ طے پایا کہ منہدی حسن 10000 لینے پر راضی ہو گئے اور مقررہ وقت سے پہلے ہی 10000 علی احمد کی بیوی کی طرف سے محمد حسن صاحب کو دیا گیا تو محمد حسن صاحب نے کہا کہ اس نے 10000 لینے سے انکار کر دیا ہے ، اس کے بعد منہدی حسن نے ایک مقدمہ 40000 دینے کی بات کہہ کر دائر کر دیا اور قبضہ کرنے کی کوشش کر نے میں کئی مقدمات ہو گئے ۔ میرا سوال یہ ہے کہ علی احمدکو منہدی حسن کو زمین دینی چاہیے یا بعد میں منہدی حسن کو 10000 واپسی کی بات پر قائم رہنا چاہیے ؟ کیا علی احمد سے منہدی کو بغیر ان کے گھر والوں سے پوچھے 10000 دینا چاہیے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: </span>136-149<span dir=""LTR"">/M=</span>2/1438</p><p dir=""RTL"">
	&nbsp;</p><p dir=""RTL"">
	صورت مسئولہ میں اگر علی احمد اور مہندی حسن کے درمیان مذکورہ زمین کی بیع و شراء کا معاملہ ایجاب وقبول کے ذریعہ تام ہوگیا تھا اور مہندی حسن نے زمین کی قیمت ایک لاکھ میں سے دس ہزار روپئے ادا بھی کر دیئے تھے تو علی حسن کو چاہئے کہ بقیہ قیمت وصو ل کرلے اور زمین مہندی حسن کے حوالے کردے لیکن اگر مہندی حسن کی جانب سے چالیس ہزار کی ادائیگی کا جھوٹا دعویٰ دائر کیا گیا ہے اور ناجائز قبضے کی کوشش کی گئی ہے تو علی احمد کو حق ہے کہ مہند حسن کے پیسے واپس کردے اور زمین حوالے نہ کرے اور معاملہ ختم کردے اور جب مہندی حسن اپنے دس ہزار روپئے واپس لینے پر راضی ہوگیا تھا تو اس پر قائم رہنا چاہئے تھا اور اسے پیسے واپس لے لینا چاہئے تھا لیکن اگر وہ دس ہزار روپئے واپس لینے پر کسی حال میں آمادہ نہ ہوتو دس ہزار کے بقدر زمین اس کو دے کر بقیہ میں معاملہ ختم کیا جا سکتا ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",145835,deoband,معاملات,بیع و تجارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/business/145322,جانوروں کی شکل والے کھلونوں کی تجارت؟,کیا ٹڈی، بھالو، شیر اور بلی وغیرہ جو کھلونے کپڑے وغیرہ کے بنے ہوتے ہیں اور ان کے اندر کپاس بھری ہوتی ہے ان کی تجارت کرنا جائز ہے یا ناجائز ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p align=""left"" dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: 31-261/N=4/1438</span></p><p align=""left"" dir=""RTL"">
	ٹڈی، بھالو، شیر اور بلی وغیرہ کی شکل کے جو کھلونے مارکیٹ میں فروخت ہوتے ہیں، ان میں اصل وبنیادی چیز تصویر ہوتی ہے، ان میں تصویر محض ضمنی وتبعی نہیں ہوتی؛ اس لیے راجح ومفتی بہ قول کے مطابق ایسے کھلونوں کی خرید وفروخت درست نہ ہوگی، مسلمانوں کو ایسے کاروبار سے بچنا چاہیے۔ (فتاوی رشیدیہ، ص ۴۹۴، مطبوعہ: گلستاں کتاب گھر دیوبند اور کفایت المفتی جدید ۹: ۲۳۵، ۲۴۳وغیرہ)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",145322,deoband,معاملات,بیع و تجارت
30-Aug-2020,https://darulifta-deoband.com/home/ur/business/131126,بکروں کو کلو کے حساب سے بیچنا؟,ممبئی میں بہت سے بکرے بیچنے والے کلو کے حساب سے بکرے بیچتے ہیں یعنی خریدنے سے پہلے ریٹ طے ہوجاتاہے، مثال کے طورپر فی کلو 450روپئے پڑتے ہیں اور بکرے کا کل وزن پچاس کلو ہے تو بکرے کا فائنل ریٹ 22500روپئے ہوا، مگر بہت سارے لوگ کہتے ہیں کہ پہلے سے طے شدہ کلو کے حساب سے ریٹ پر بکرے خریدنا یا بیچنا حرام ہے۔براہ کرم، اس بارے میں رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: 1114-900/D=01/1438</span></p><p dir=""RTL"">
	بعض علماء نے وزن کرکے بکرے کی بیع کو جائز قرار دیا ہے۔ دیکھئے فقہ المعاملات: ۱/۱۱۸، پھر بھی بہتر ہے کہ وزن کے ذریعہ ریٹ متعین ہوجانے کے بعد دو بارہ ایجاب و قبول کرلے تاکہ بیع کی صحت میں کوئی شبہ باقی نہ رہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",131126,deoband,معاملات,بیع و تجارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/business/69961,بینک میں کرایہ پر گاڑی لگانا,کیا فرماتے ہیں علماء دین وشرع متین مسئلہ ذیل کے بارے میں نے کہ بینک میں کرائے پر گاڑی لگانا کیسا ہے ؛ بینک جو کرایہ دے گی وہ ہمارے لیے حلال ہوگا کہ نہیں؟ براہ کرم قرآن و حدیث کی روشنی میں مدلل جواب عنایت فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1048-869/D=12/1437

بینک میں کرائے پر گاڑی لگانے کی گنجائش ہے بینک سے ملنے والا کرایہ حلال ہوگا۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",69961,deoband,معاملات,بیع و تجارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/business/69838,اللہ کی راہ میں مال خرچ کرنا,میں نے اپنا بزنس دو سال پہلے شروع کیا تھا اور یہ آن لائن سیلنگ بزنس (selling business) تھا اور اس وقت میں نے سوچاتھا کہ کچھ متعین رقم پر آرڈر میں اللہ کی راہ میں خرچ کروں گا، اور میں ایسا کرتا رہا لیکن پھر بعد میں competition (مقابلہ) بہت زیادہ ہوگیا اور منافع فیصدبہت زیادہ گر گیا جس کی وجہ سے وہ رقم نکالنا میرے لیے مشکل ہوگئی، لیکن میں کچھ پیسے اس میں سے اسی نیت کی بنیاد پر خرچ کرتا ہوں لیکن وہ جو درحقیقت میں نے سوچا تھا شروعات میں وہ پورا نہیں کر پارہا ہوں، اب ایک بات جو میرے ذہن میں آتی ہے کہ میں نے جو پہلے فیصلہ کیا تھا اس کو پورا نہیں کر پارہا ہوں توایک خواہش ہمیشہ رہتی ہے میرے ذہن میں، اس کے کفارے کی سبیل ہو سکتی ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>
	Fatwa ID: 1490-1504/L37=2/1438<br>
	اگر آپ نے صرف دل میں ارادہ کیا تھا باقاعدہ طور پر آپ نے نذر نہیں مانی تھی تو ہرآرڈر پر متعین رقم نکالنا آپ پر لازم نہیں لیکن چونکہ آپ نے ایک کارِ خیر کا ارادہ کیا تھا اس لیے حسب سہولت جتنا ہوسکے نکال دیا کریں اور کبھی کسی وجہ سے نہ نکال سکیں تو اس میں بھی کوئی حرج نہیں ہے، اس کا کوئی کفارہ نہیں ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",69838,deoband,معاملات,بیع و تجارت
