issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/shares-investments/152289,شریك كی اجازت كے بغیر كسی كو شریك كرنا,السلام علیکم ورحمۃ اللہ وبرکاتہ درج ذیل مسئلہ میں رہنمائی مطلوب ہے: دو شخص مثلاً زید اور عمر کاروبار میں شریک ہیں ، اور آپس میں باہمی معاہدہ ہے کہ بغیر شریک کی اجازت کے تیسرے آدمی کو کاروبار میں شریک نہیں کریں گے ، اب ایک شخص جو کہ زید کا عزیز ہے ، زید اس کے پیسے کاروبار میں شریک کرنا چاہتا ہے تاکہ اس کے عزیز کو نفع ہو، اور چونکہ عمر کی طرف سے اس کی اجازت نہیں ہے ، اس لئے زید اپنے عزیز سے پیسے لے کر اس کو کاروبار میں شریک کرنے کے لئے ان پیسوں کو اپنا ظاہر کرکے کاروبار میں لگادیتا ہے ، جس کی عملی صورت یہ اختیار کرتا ہے کہ مثلاً زید اور عمر 50،50 لاکھ کے شریک ہیں ، زید اپنے عزیز سے دس لاکھ لے لیتا ہے ، اور اپنے استعمال میں لے آتا ہے اور ان دس لاکھ کے بدلے میں اپنے دس لاکھ جو کہ کاروبار میں لگے ہوئے ہیں ، اپنے عزیز کے تصور کرتا ہے ، چنانچہ نفع آنے پر اپنے پچاس لاکھ میں سے 40 لاکھ کا نفع خود رکھے گا اور 10 لاکھ کا نفع اپنے عزیز کو دے گا۔ جواب طلب امر یہ ہے کہ کیا شرکت کی مذکورہ صورت جائز ہے ؟ اور زید کے عزیز کے لئے اس نفع کو لینا حلال ہے یا نہیں ، مذکورہ صورت کے جواز کی کیا شکل ہوسکتی ہے ؟ اب جبکہ یہ معاملہ ہوچکا ہے تو اس کے بارے میں کیا حکم ہے کیا اس کو ختم کرنا ضروری ہے۔ والسلام بینوا توجروا,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa: 952-909/sd=10/1438</span></p><p dir=""RTL"">
	صورتِ مسئولہ میں اگر زید اور عمر کے درمیان یہ معاہدہ ہوچکا تھا کہ دونوں ایک دوسرے کی اجازت کے بغیر کسی تیسرے شخص کو کاروبار میں شریک نہیں کریں گے ، تو اب زید کے لیے عمر کی اجازت کے بغیر اپنے عزیز کو کاروبار میں شریک کرنا جائز نہیں ہے اور زید کے عزیز کے لیے بھی دس لاکھ کا نفع لینا جائز نہیں ہے ،جواز کی شکل یہ ہے کہ زید عمر سے اپنے عزیز کو شریک کرنے کی اجازت لے لے ، اس کے بغیر جواز کی کوئی شکل نہیں ہے۔قال الحصکفی : (لا) یملک الشریک (الشرکة) إلا بإذن شریکہ ۔ ( الدر المختار مع رد المحتار : ۳۱۷/۴، ط: دار الفکر، بیروت )قال الکاسانی : ولیس لہ أن یشارک إلا أن یوٴذن لہ بذلک؛ لأن الشیء لا یستتبع مثلہ،۔۔۔۔۔ہذا إذا لم یقل کل واحد منہما لصاحبہ: اعمل فی ذلک برأیک، فأما إذا قال ذلک، فإنہ یجوز لکل واحد منہما المسافرة والمضاربة والمشارکة،( بدائع الصنائع : ۶۹/۶۔۔۷۱، ط: دار الکتب العلمیة ، بیروت )</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",152289,deoband,معاملات,شیئرز وسرمایہ کاری
31-Aug-2020,https://darulifta-deoband.com/home/ur/shares-investments/149572,کفار کے ساتھ شرکت یا مضاربت جائز ہے ؟,کفار کے ساتھ شرکت یا مضاربت جائز ہے اگر اس میں دینی خطرہ نہ ہو؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"" style=""text-align: justify;"">
	<span dir=""LTR"">Fatwa: </span>770-685<span dir=""LTR"">/H=</span>7/1438</p><p dir=""RTL"" style=""text-align: justify;"">
	اصول واحکامِ شرکت ومضاربت کو ملحوظ رکھ کر تمام امور انجام دیئے جائیں اور کوئی دینی خطرہ بھی نہ ہو تو یہ معاملہ کفار کے ساتھ بھی جائز ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",149572,deoband,معاملات,شیئرز وسرمایہ کاری
01-Sep-2020,https://darulifta-deoband.com/home/ur/shares-investments/149364,روزانہ کی بنیاد پر شيرز كی خرید و فروخت کرنا,شیرز کے کاروبار میں sharia compliant shares (شرعی حکم کی تعمیل کرنے والے شیرز) ملتے ہیں، میں اس میں تجارت کرتا ہوں، رقم دے کر شیرز کی کرنٹ ویلو میں خرید و فروخت ہوتی ہے، فائدہ اور نقصان دونوں ہوتے ہیں، نصیب کی بات ہے۔ میرا دل مطمئن ہے الحمد للہ۔ میں کچھ دنوں سے دیکھ رہا ہوں کہ کچھ لوگ کہہ رہے ہیں کہ شیرز کو خرید کر اسی دن بیچ نہیں سکتے یہ حرام ہے، کیونکہ وہ تجارت کے دو دن بعد آپ کے نام پر آتی ہے، میں نے تو تجارت پیسے دے کر کیا ہے اور خریدے ہوئے شیرز میرے اکاوٴنٹ میں دکھا بھی رہے ہیں، جب مرضی میں انہیں فائدہ یا نقصان میں بیچ سکتا ہوں۔ براہ کرم آپ سے رہنمائی کی گذارش ہے۔ جزاک اللہ,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"" style=""text-align: justify;"">
	<span dir=""LTR"">Fatwa</span>: 532-458<span dir=""LTR"">/sd=</span>6/1438</p><p dir=""RTL"" style=""text-align: justify;"">
	شیئر خریدنے کے بعد جب رسک (ضمان) منتقل ہوجائے، تو شیئر کو آگے فروخت کرنا جائز ہے، خواہ ڈیلیوری نہ ہوئی ہے؛ تاہم احتیاط کا تقاضہ یہ ہے کہ ڈیلیوری کے بعد آگے فروخت کیا جائے۔( تفصیل کے لیے دیکھیے : اسلام اور جدید معاشی مسائل : ۳/۱۵)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",149364,deoband,معاملات,شیئرز وسرمایہ کاری
01-Sep-2020,https://darulifta-deoband.com/home/ur/shares-investments/149310,پرسنٹ كے حساب سے منافع پر انویسٹ كرنا كیسا ہے؟,میں نیپال سے ہوں، ایک فارم ہاؤس ہے اس نے مجھے پارٹنر شپ کا آفر کیا کہ آپ جتنا پیسہ انویسٹ کروگے آپ کو اتنا پر سینٹ منافع دیا جائے گا، تو کیا درست ہے ، کیوں کہ پارٹنر شپ، میں گھٹا نقصان دونوں ہوتا ہے ، لیکن یہ فارم ہاوَس ایک ہندو کا ہے ، تو کایا ہم اس کے ساتھ بزنس کرسکتے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p align=""left"" dir=""RTL"">
	<span dir=""LTR"">Fatwa: </span>827-774<span dir=""LTR"">/L=</span>7/1438</p><p align=""left"" dir=""RTL"">
	شرکت کے صحیح ہونے کے لیے ضروری ہے کہ دونوں شریک رأس المال (پونجی) میں شریک ہوں اور نفع کا تعین تمام منافع سے فیصد کے اعتبار سے متعین ہو مثلاً سو روپے نفع کے ہوں گے تو پچاس فیصد (۵۰٪) روپئے فلاں کے اور ۵۰/ ہی فیصد فلاں کے ہوں گے، اگر کوئی شریک رقم کے ساتھ محنت بھی کررہا ہے تو اس کے فیصد کو زیادہ بھی کیا جاسکتا ہے اور اگر خدانخواستہ نقصان ہوجائے تو دونوں شریک نقصان میں پونجی کے اعتبار سے شریک ہوں یعنی دونوں شریکوں کے دو لاکھ (ایک ایک لاکھ ہرشریک کے) تو نقصان کی صورت میں آدھا آدھا میں دونوں شریک رہیں گے اگر اس طور پر شرکت کا معاملہ ہوجائے تو غیرمسلم کے ساتھ بھی شرکت کرنا درست ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",149310,deoband,معاملات,شیئرز وسرمایہ کاری
01-Sep-2020,https://darulifta-deoband.com/home/ur/shares-investments/149083,آن لائن شیر کاروبار کا کیا حکم ہے؟,(۱) آن لائن شیر کاروبار کا کیا حکم ہے؟ اگر جائز ہے تو کن کن صورتوں کے ساتھ، تفصیل سے جواب دیجئے۔ جزاک اللہ,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"" style=""text-align: justify;"">
	<span dir=""LTR"">Fatwa: </span>765-748<span dir=""LTR"">/L=</span>7/1438</p><p dir=""RTL"" style=""text-align: justify;"">
	شیئرز کی خرید وفروخت مندرجہ ذیل شرائط کے ساتھ جائز ہے۔</p><p dir=""RTL"" style=""text-align: justify;"">
	(۱) شیئرز ایسی کمپنی کے ہوں جو حرام کاوربار میں ملوث نہ ہوں۔</p><p dir=""RTL"" style=""text-align: justify;"">
	(۲) اس کمپنی کے پاس منجمد اثاثے بھی ہوں محض نقدی شکل میں روپئے نہ ہوں۔</p><p dir=""RTL"" style=""text-align: justify;"">
	(۳) اگر اس کمپنی کا حرام کاروبار میں ملوث ہونا شیرز خریدنے کے بعد معلوم ہو تو اس کی سالانہ میٹنگ میں اس کے خلاف آواز اٹھائی جائے۔</p><p dir=""RTL"" style=""text-align: justify;"">
	(۴) نفع کا جتنا حصہ حرام کاروبار کے نتیجے میں حاصل ہو اس کو بلاینت ثواب فقراء مساکین وغیرہ پر صدقہ کردیا جائے۔</p><p dir=""RTL"" style=""text-align: justify;"">
	(۵) محض نفع نقصان برابر کرکے نفع کمانا مقصود نہ ہو کیونکہ یہ سٹہ بازی کی شکل ہے جو حرام ہے۔</p><p dir=""RTL"" style=""text-align: justify;"">
	(۶) اگر شیئرز کو آگے فروخت کرنا ہو تو شیئرز پر قبضہ یعنی رسک (ضمان) کی منتقلی کے بعد اس کو آگے فروخت کیا جائے، رسک کی منتقلی سے پہلے اس کو آگے فروخت کرنا بیع قبل القبض کی وجہ سے ناجائز ہوگا۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",149083,deoband,معاملات,شیئرز وسرمایہ کاری
01-Sep-2020,https://darulifta-deoband.com/home/ur/shares-investments/147392,شئرز بیچ كر پھر اسی دن خریدنا؟,میرے قبضے میں ایک شریعہ(shariah ) کے مطابق کام کرنے والی کمپنی کے 1000شیئر ز(حصص) ہیں، میرا سوال یہ ہے کہ کیامیں انہیں ریٹ بڑھنے پر بیچ سکتاہوں؟اور جس دن بیچوں اُسی دن ریٹ کم ہونے پر واپس خرید لوں؟ دن ختم ہونے پر میرے پاس ۱۰۰۰/ شیئر ز موجود ہوں، کیا ایسا جائز ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p align=""left"" dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: 248-362/sn=248-362</span></p><p align=""left"" dir=""RTL"">
	شیئرز کو آگے فروخت کرنے کی ایک بنیادی شرط یہ ہے کہ اس کا رسک آپ کی طرف منتقل ہوجائے، اس سلسلے میں لکھی گئی تحریریں پڑھنے سے معلوم ہوا کہ ایک دن میں ”رسک“ منتقل نہیں ہوتا، اگر واقعہ بھی یہی ہو تو صورت مسئولہ میں آپ کے لیے فروختگی کے دن ہی انھیں خریدلینا شرعاً جائز نہ ہوگا؛ ہاں جب شیئرز کا رسک خریدار کی طرف منتقل ہوجائے اوراس کے ہاتھ آپ نے نقد فروخت کیا ہو تو آپ قیمت گھٹ جانے پر واپس خریدسکتے ہیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",147392,deoband,معاملات,شیئرز وسرمایہ کاری
01-Sep-2020,https://darulifta-deoband.com/home/ur/shares-investments/145493,کموڈیٹی ٹریڈنگ ؟,کموڈیٹی ٹریڈنگ میں کیا انٹراڈے ٹریڈنگ (جیسے ہم تیل، سونا، چاندی، دھات صبح خرید یں شام کو ضرور بیچ دیں) حلال ہے؟مارکیٹ ریٹ کی بنیاد پر نفع و نقصان کا اعتبار ہوتاہے، نیز لین دین حسی نہیں ہوتاہے۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: 95-219/N=4/1438</span></p><p dir=""RTL"">
	&nbsp;</p><p dir=""RTL"">
	کموڈیٹی ٹریڈنگ میں جو انٹرڈے ٹریڈنگ ہوتی ہے، اس میں چوں کہ عام طور پر اشیا کی خرید وفروخت شرعی قبضہ کے بغیر ہوتی ہے، نیز اس میں مبیع کا موجود، بائع کی ملکیت وقبضہ میں ہونا اور اس کا معلوم ومتعین وغیرہ ہونا ضروری نہیں ہوتا؛ جب کہ شریعت اسلامیہ کی رو سے تیل، سونا، چاندی وغیرہ کی خرید وفروخت میں ان سب چیزوں کی رعایت ضروری ہوتی ہے؛ اس لیے خرید وفروخت کا یہ طریقہ شرعاً درست نہیں، اس میں سٹہ بازی کا پہلو پایا جاتا ہے۔ وشرط المعقود علیہ ستة: کونہ موجودًا مالا متقوماً مملوکًا في نفسہ وکون الملک للبائع فیما یبیعہ لنفسہ،․․․․․․، فلم ینعقد بیع المعدوم،․․․․․․․ ، ولا بیع ما لیس مملوکا لہ وإن ملکہ بعدہ، الخ، ․․․․․ ․ وأما الثالث وہو شرائط الصحة فخمسة وعشرون، منہا عامة ومنہا خاصّة، فالعامّة لکل بیع: شروط الانعقاد المارة؛ لأن ما لا ینعقد لا یصح، وعدم التوقیت ومعلومیة المبیع ومعلومیة الثمن بما یرفع المنازعة فلا یصح بیع شاة من ہذا القطیع، ․․․․․ ، نعم یزاد في شروط المعقود علیہ إذا لم یریاہ الإشارة إلیہ أو إلی مکانہ (رد المحتار ۷: ۱۵، ۱۶، ط: مکتبة زکریا دیوبند)، والذي یظہر من کلامہم تفریعًا وتعلیلاً أن المراد بمعرفة القدر والوصف ما ینفي الجہالة الفاحشة وذلک بما یخصص المبیع عن أنظارہ وذلک بالإشارة إلیہ لو حاضرًا في مجلس العقد وإلا فبیان مقدارہ مع بیان وصفہ لو من المقدرات کبعتک کر حنطة بلدیة مثلاً بشرط کونہ في ملکہ أو ببیان مکانہ الخاص الخ (رد المحتار ۷: ۵۱)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",145493,deoband,معاملات,شیئرز وسرمایہ کاری
01-Sep-2020,https://darulifta-deoband.com/home/ur/shares-investments/69965,شریعت کے مطابق کوموڈٹی تجارت کے بارے میں شرائط اور اصول بتائیں۔,براہ کرم، شریعت کے مطابق کوموڈٹی تجارت کے بارے میں شرائط اور اصول بتائیں۔ میں روزانہ کی بنیاد پر کوموڈتی تجارت کرنا چاہتاہوں،اس کا طریقہ یہ ہوگاکہ اگر میں ستمبر کی پہلی تاریخ کو سونے کی ایک مقدار 31000روپئے میں خریدوں ایک مہینہ کے معاہدہ کے ساتھ تو میں تیس ستمبر تک منافع کے لیے قیمت بڑھنے تک انتظار کرسکتا ہوں؟ اور سونے کی یہ مقدار خریدنے پر مذکورہ رقم میرے اکاؤنٹ سے وضع ہوجائے گی۔اور سونا میرے تجارتی اکاؤنٹ میں آجائے گا۔اس کے بعد اگر قیمت گھٹ جاتی ہے تو مجھے نقصان کی بھرپائی کرنی پڑے گی اور اگر میں قیمت بڑھنے پر اس کو بیچ دوں تو مجھے اصل رقم 31000کے ساتھ منافع ملیں گے۔ اس میں حسی قبضہ نہیں ہوتاہے تو کیا میں یہ بزنس کرسکتاہوں؟یا اس بارے میں کوئی اصول و ضوابط ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>
	Fatwa ID: 1149-930/D=2/1438<br>
	کوموڈٹی تجارت کے بارے میں آپ نے جو تفصیل بیان کی ہے اس کی رو سے یہ تجارت دو وجہ سے ناجائز ہے:<br>
	پہلی وجہ سونا خریدنے والا سونے پر قبضہ کرنے سے پہلے سونا بیچ دیتا ہے یہ بیع قبل القبض ہے جو کہ ناجائز ہے ومن اشتری شیئاً مما ینقل ویحول لم یجز بیعہ حتی یقبضہ لأنہ نہی عن بیع مالم یقبض (ہدایہ: ۳/۷۷) وقال رسول اللہ صلی اللہ علیہ وسلم من ابتاع طعاماً فلا یبعہ حتی یقبضہ قال ابن عباس وأحسب کل شيء بمنزلة الطعام (مسلم شریف: ۲/۵)۔<br>
	دوسری وجہ یہ ہے کہ خریدنے کے بعد آدمی کواختیار ہے کہ اسے ہمیشہ اپنے پاس رکھے یا بیچ دے، اس کو کسی مدت کے ساتھ اس طرح مقید کرنا کہ اس مدت کے اندر بچنا&nbsp; پڑے گا چاہے خریدی ہوئی چیز کی قیمت کم ہو یا زیادہ یہ شرط فاسد ہے نیز اس میں کبھی سٹے کی صورت پیدا ہوجاتی ہے اس لیے آپ ایسی تجارت نہ کریں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",69965,deoband,معاملات,شیئرز وسرمایہ کاری
01-Sep-2020,https://darulifta-deoband.com/home/ur/shares-investments/60991,میں نے ایک بینک کے شیئرز میں پیسے لگائے تھے جس میں مجھے منافع ملا، میں یہ پوچھنا چاہتاہوں کہ یہ ربا تو نہیں ہے کیوں کہ بینک لون اور سودی لین دین کرتاہے اور یہ منافع اس سود سے ہو ؟ براہ کرم، جواب دیں۔,میں نے ایک بینک کے شیئرز میں پیسے لگائے تھے جس میں مجھے منافع ملا، میں یہ پوچھنا چاہتاہوں کہ یہ ربا تو نہیں ہے کیوں کہ بینک لون اور سودی لین دین کرتاہے اور یہ منافع اس سود سے ہو ؟ براہ کرم، جواب دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 681-681/Sd=11/1436-U

بینک کے شیرز سے ملنے والا نفع عموماً سود ہی کے ذریعے حاصل کیا جاتا ہے اسی لیے سودی بینک کے شیئرز خریدنا ناجائز ہے، لہٰذا آپ کے لیے سود سے حاصل شدہ منافع کا استعمال جائز نہیں ہے، ہاں اگر بینک کسی جائز کاروبار میں رقم لگاکر جائز طریقے پر نفع حاصل کرتا ہے تو اس کی تفصیل لکھ کر دوبارہ سوال کریں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",60991,deoband,معاملات,شیئرز وسرمایہ کاری
01-Sep-2020,https://darulifta-deoband.com/home/ur/shares-investments/60909,محترم علمائے کرام اور مفتیان کرام سے موٴدبانہ درخواست ہے کمپنیوں کے حصص کی فہر ست فراہم کریں جو شریعت کے مطابق ہو۔ نیز بتائیں کہ کس قسم کے شیئر میں پیسے لگانا شریعت میں ممنوع ہے؟,محترم علمائے کرام اور مفتیان کرام سے موٴدبانہ درخواست ہے کمپنیوں کے حصص کی فہر ست فراہم کریں جو شریعت کے مطابق ہو۔ نیز بتائیں کہ کس قسم کے شیئر میں پیسے لگانا شریعت میں ممنوع ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 982-970/N=11/1436-U

کسی کمپنی کے حصص خریدنے کے لیے درج ذیل پانچ امور کی رعایت ضروری ہے، ورنہ اس کے حصص خریدنے کی اجازت نہ ہوگی:
(۱):وہ کمپنی وجود میں آچکی ہو ؛لہٰذا اگر ابھی اس کا وجود نہیں ہوا؛بلکہ صرف اسٹاک ایکسچینج میں اس کا اندراج ہوا ہے یا وہ صرف کاغذوں میں ہے تو اس کے حصص خریدنا جائز نہ ہوگا؛کیوں کہ اس صورت میں غیر مملوک شی کا خریدنا ہوگا، جو اسلام میں درست نہیں۔
 (۲):کمپنی کا سارا اثاثہ اگر صرف سیال ہے، یعنی: نقد اور دیون کی شکل میں ہے تو حصص کی خریداری فکس ویلیو پر ہی ضروری ہے ، اس صورت میں فکس ویلیو سے کم وبیش پر خریداری جائز نہ ہوگی ؛کیوں کہ یہ سودی شکل ہے۔ البتہ اگر اس کا کچھ یا سارا اثاثہ منجمد ہے،یعنی: بلڈنگ ، مشینری وغیرہ کی شکل میں ہے تو فکس ویلیو سے کم وبیش پر بھی خریداری کرسکتے ہیں۔ 
(۳): کمپنی کا اصل کاروبار حلال ہو ؛لہٰذا اگر اس کا اصل کاروبار حرام ہے، جیسے شراب کی کمپنی ہے تو اس کے حصص خریدنا جائز نہ ہوگا ؛کیوں کہ یہ حرام کاروبار میں شراکت داری ہے۔
(۴): اگر کمپنی کا اصل کاروبار حلال ہے، لیکن وہ بینک سے سودی قرض لیتی ہے یا زائد سرمایہ بینک میں رکھ کر سود حاصل کرتی ہے تو اس شرط کے ساتھ اس کے حصص خریدنے کی اجازت ہوگی کہ آدمی اس کی سالانہ جمعیت میں سودی لین دین کے خلاف آواز اٹھائے اور یہ کہے کہ میں اس پر راضی نہیں ہوں اگر چہ اس کی آواز پر کوئی دھیان نہ دیا جائے اور کوئی اس کی حمایت نہ کرے، ایسا کرنے سے آدمی سودی معاملہ کے گناہ سے بچ جائے گا ؛کیوں کہ اس کی جانب سے سودی لین دین کی وکالت ختم ہوگئی، البتہ بینک سے سود لینے کی صورت میں اس کے حصہ میں جو سود آئے وہ اپنے استعمال میں نہ لاکر بلا نیت ثواب کسی غریب کو دیدے۔
(۵):اور حصص کی خریداری کا مقصد سرمایہ کاری ہو، محض ڈیفرنس برابر کرنا نہ ہو ؛کیوں کہ محض ڈیفرنس برابر کرنے کے مقصد سے حصص کی خریداری میں سٹہ بازی کے معنی پائے جاتے ہیں ۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",60909,deoband,معاملات,شیئرز وسرمایہ کاری
