issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/interest-insurance/160839,كاروباری ضرورت كے پیش نظر بینك سے لین دین كرنا؟,جی ایس ٹی کی وجہ سے کاروبایوں کو پیسہ ایک نمبر (سرکار کے مطابق) کا چاہتی ہیں جس کی وجہ سے بینک سے لین دین کرنا پڈ تا ہے ۔ بینک سے لین دین کرنے (بینک بیاج کا لین دین کرتی ہے ) پر بینک بیاج کا لین دین کرتی ہے اس کے لیئے ہمیں یا کرنا چاہئے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:946-699/sn=8/1439</span></p><p dir=""RTL"">
	سوال میں یہ واضح نہیں ہے کہ آپ کے پیشِ نظر کس طرح کے لین دین ہیں؟ بہرحال اگر کاروباری ضرورت کے تحت بینک میں رقم جمع رکھنی پڑے یا بینک کے توسط سے رقم منتقلی کرنا پڑے تو علماء نے ضرورت کے پیش نظر اس طرح کے کاموں کی اجازت دی ہے؛ البتہ یہ بات ملحوظ رہے کہ اگر بینک میں رقم جمع رکھنے پر بیاج (سود) ملے تو اس کا استعمال اپنی ذاتی ضروریات میں جائز نہیں ہے، ”سود“ کی رقم بینک سے نکال کر غریب پریشان حال لوگوں پر بلانیت ثواب صدقہ کردینا ضروری ہے؛ ہاں اگر کھاتہ سرکاری بینک میں ہو تو اس سے حاصل شدہ سود کی رقم انکم ٹیکس میں بھی بھرنے کی گنجائش ہے؛ لہٰذا آپ مذکورہ بالا نوع کے لین دین بینک سے کرسکتے ہیں؛ البتہ سود کے بارے میں اوپر ذکر کردہ اصول کے مطابق عمل درآمد کریں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",160839,deoband,معاملات,سود و انشورنس
01-Sep-2020,https://darulifta-deoband.com/home/ur/interest-insurance/160783,ذاتی مکان یا فلیٹ کے لیے بینک سے ہوم لون لینے کا حکم,محترم جناب معاشی تنگی اور ۳ اولادیں بھی کرائے کا گھر ناکافی بھی اور سال ہونے پر گھر مالک کے ریٹ بھی بڑھتے ہیں ایک مستقل گھر کا مسئلہ بنا ہوا ہے کیا اس صورت میں بینک لون لیکر گھر کا انتظام کر سکتا ہوں، برائے مہربانی شریعت کی خوبصورتی میں اس مسئلے پر کیا کیا جائے جواب مرحمت فرمائے خیرا۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:852-941/N=11/1439</span></p><p dir=""RTL"">
	اسلام میں جس طرح سود لینا حرام ہے، اسی طرح سود دینا بھی حرام ہے اور اللہ کے رسول صلی اللہ علیہ وسلم نے سود لینے والے اور سود دینے والے دونوں پر لعنت فرمائی ہے اور جب آپ بینک سے ہوم لون لیں گے تو آپ بینک کو سود ادا کریں گے اور سوال میں جو مسائل وپریشانیاں ذکر کی گئی ہیں، وہ ضرورت واضطرار کے درجے کی نہیں ہیں کہ ان کی وجہ سے سود ی قرض کی اجازت ہوجائے؛ اس لیے صورت مسئولہ میں بینک سے سودی قرض لے کر ذاتی مکان یا فلیٹ خریدنے کی اجازت نہ ہوگی، آپ کو چاہیے کہ کرایہ کے مکان یا فلیٹ سے کام چلاتے رہیں اور اپنی تنخواہ سے ماہانہ کچھ پیسے جمع کرتے رہیں اور اللہ تعالی سے دعا بھی کرتے رہیں، إن شاء اللہ دیر سویر ذاتی مکان یا فلیٹ کا نظم ہوجائے گا۔</p><p dir=""RTL"">
	قال اللّٰہ تعالی:وأحل اللہ البیع وحرم الربا الآیة (البقرة: ۲۷۵)،عن جابر بن عبد اللّٰہ رضي اللّٰہ عنہما قال: لعن رسول اللّٰہ صلی اللّٰہ علیہ وسلم آکل الربوا وموٴکلہ وکاتبہ وشاہدیہ، وقال: ہم سواء (الصحیح لمسلم، ۲: ۷۲، ط: المکتبة الأشرفیة دیوبند)، الربا فضل خال عن عوض بمعیار شرعي مشروط لأحد المتعاقدین في المعاوضة (تنویر الأبصار مع الدر والرد،کتاب البیوع، باب الربا، ۷: ۳۹۸- ۴۰۰، ط: مکتبة زکریا دیوبند)، فالضرورة بلوغہ حداً إن لم یتناول الممنوع ھلک أو قارب وھذا یبیح تناول الحرام، والحاجة کالجائع الذي لو لم یجد ما یأکلہ لم یھلک غیر أنہ یکون في جھد ومشقة، وھذا لا یبیح الحرام ویبیح الفطر فی الصوم (غمز عیون البصائر شرح الأشباہ والنظائر لابن نجیم<span dir=""LTR""> </span>، ۱: ۲۷۷، ط: دار الکتب العلمیة بیروت)،الضرورة ھي الحالة الملجئة لتناول الممنوع شرعاً، والحاجة: أما الحاجة فإنھا وإن کانت حالة جھد ومشقة فھي دون الضرورة ولا یتأتی معھا الھلاک فلذا لا یستباح بھا الممنوع شرعاً، مثال ذلک: الصائم المسافر بقاوٴہ صائماً یحملہ جھداً ومشقة فیرخص لہ الإفطار لحاجتہ للقوة علی السفر (درر الحکام شرح مجلة الأحکام، ۱: ۳۸، ط: دار عالم الکتب الریاض)، الضرورة ھي خوف الضرر بترک الأکل إما علی نفسہ أو علی عضو من أعضائہ (أحکام القرآن للجصاص، باب في مقدار ما یأکل المضطر،۱: ۱۶۰)، وإن ھذا التعریف وإن کان مختصاً بضرورة أکل المحرم ولکنہ یشمل تعاطي کل محظور بشرط أن یکون ھناک خوف علی النفس أو العضو کارتکاب الکذب أو المحظورات الأخری في حالة الإکراہ الملجیٴ، ویجب لتحقق الضرورة أمور: الأول أن یکون ھناک خوف علی النفس أو علی العضو، الثاني: أن تکون الضرورة قائمة لا منتظرة بمعنی أن یقع خوف الھلاک أو التلف بغلبة الظن حسب التجارب لا مجرد وھم بذلک، الثالث: أن لا یکون لدفع الضرر وسیلة أخری من المباحات ویغلب علی ظن المبتلی بہ أن دفع الضرر متوقع بارتکاب بعض المحرمات الخ (أصول الإفتا وآدابہ، ص ۲۶۸، ۲۶۹،ط:المکتبة الأشرفیة دیوبند)، وأما المنھیات التي تباح عند الضرورة کإتلاف مال الغیر وشرب المسکر فإنھا تحل بل تجب بالملجیٴ لا بغیر الملجیٴ (شرح القواعد الفقہیة،ص: ۱۵۹، ط: دار القلم للطباعة والنشر والتوزیع، دمشق) ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",160783,deoband,معاملات,سود و انشورنس
01-Sep-2020,https://darulifta-deoband.com/home/ur/interest-insurance/160671,کاروباری ضرورت یا رقم کی حفاظت کی غرض سے بینک میں اکاوٴنٹ کھلوانا؟,جی ایس ٹی (G.S.T) کی وجہ سے پارٹیز (لوگوں) کو پیسہ ایک نمبر میں چاہئے، جس کی وجہ سے بینک سے لین دین کرنا پڑتا ہے، اور بینک کے لین دین پر بیاج لگ جاتا ہے، (اس کے لئے ہمیں کیا کرنا ہے) لون لینا جائز ہوگا؟ یا اس کے لئے کیا کرنا ہے؟ بغیر لون لئے کاروبار کرنا مشکل پڑ رہا ہے۔ مہربانی کرکے اس کے متعلق رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 813-742/D=8/1439</span></p><p dir=""RTL"">
	کاروباری ضرورت یا رقم کی حفاظت کی غرض سے بینک میں اکاوٴنٹ کھلوانے کی گنجائش ہے۔ لیکن بینک کی طرف سے اکاوٴنٹ میں جو سود کی رقم آجائے اسے نکال کر صدقہ کرنا بلانیت ثواب ضروری ہے خود اپنے استعمال میں لانا جائز نہیں۔</p><p dir=""RTL"">
	(۲) لون لینے میں سود ادا کرنا ہوگا جس طرح سود کا لینا حرام ہے اسی طرح سود دینا بھی حرام ہے پس لون لینا جائز نہیں ۔ پھر سود کی وجہ سے کاروبار میں بے برکتی پیدا ہوتی ہے اس لئے بہت احتیاط کی ضرورت ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",160671,deoband,معاملات,سود و انشورنس
01-Sep-2020,https://darulifta-deoband.com/home/ur/interest-insurance/160597,بینک میں جمع شدہ رقم کے سود کے بہ قدر اپنے پاس سے غریبوں کو دینا؟,کیا فرماتے ہیں مفتیان کرام مسئلہ ذیل کے متعلق زید کے اکاؤنٹ میں کچھ سود کی رقم رہتی ہے ، زید اس سودی رقم کو اپنی ملکیت سے نکالنے کے لئے اپنے پاس موجود نقد سے نکال دیتا ہے ، یعنی بنک کے اکاؤنٹ سے سود کی رقم نہ نکال کر اپنے پاس موجود نقد سے اس سود کی رقم کی نیت سے نکال دیتا ہے ، کیا اس طرح نکالنے سے سود کی رقم سے خلاصی ہو جاتی ہے ؟ اسی طرح زکوة کا مال بنک اکاؤنٹ میں ہے لیکن بنک سے کیش نہ نکال کر اپنے پاس موجود کیش سے زکوة کی ادائیگی کر دیتا ہے اور پھر اکاؤنٹ میں جمع زکوة کی رقم سے ادا کی ہوء رقم کے بقدر گھٹا دیتا ہے ، کیا اس طرح زکوة ادا ہو جاتی ہے ؟ بینوا توجروا,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:898-728/sn=8/1439</span></p><p dir=""RTL"">
	(۱) جی ہاں ! اکاوٴنٹ میں موجود ”سودی رقم“ کا حساب کرکے اگر اپنے پاس موجود رقم میں سے اتنی رقم سود کی رقم کی نیت سے صدقہ کردے تو ذمہ فارغ ہوجائے گا۔</p><p dir=""RTL"">
	(۲) اگر صاحب نصاب شخص کا پیسہ (جس کی زکات ادا کی جانی ہے) بینک میں ہو اور وہ شخص بینک میں جمع شدہ پیسوں میں سے رقم نہ نکالے؛ بلکہ اپنے پاس موجود دیگر رقم سے زکات ادا کردے تو زکات بلاشبہ ادا ہوجائے گی؛ کیونکہ ادائیگیٴ زکات کی صحت کے لیے قابل زکات مال واثاثہ کا اپنے ہاتھ میں ہونا ضروری نہیں ہے۔</p><p dir=""RTL"">
	نوٹ: اس سوال کا منشأ کچھ اور ہو تو پوری وضاحت کے ساتھ دوبارہ سوال کرلیا جائے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",160597,deoband,معاملات,سود و انشورنس
31-Aug-2020,https://darulifta-deoband.com/home/ur/interest-insurance/160446,سرمایہ کے فیصد کے اعتبار سے نفع ملنا سود ہے,"ایک برازیل کی کمپنی ہے جس کا نام ہے ""پے ڈائمنڈ""۔ کمپنی والوں کے بقول یہ کمپنی ساؤتھ افریقہ میں ڈائمنڈ نکالتی ہے اور ان کی پروڈکٹس تیار کر کے دنیا میں فروخت کرتی ہے ۔ اس کمپنی کی ایک سکیم ہے جس میں ہم لوگ انویسٹ کر سکتے ہیں۔ یعنی ان کے چار پیکج ہیں۔ مثال کے لیے میں ان کا پہلا پیکج بتاتا ہوں جس میں دو سو ڈالر ان کو دینا ہوتا ہے اور کمپنی ہمارے پیسے کو کاروبار میں لگاتی ہے اور ہمیں ہر ہفتے دس ڈالر دیتی رہتی ہے ۔ اور ہمارے پیسے پانچ مہینوں میں واپس مل جاتے ہیں لیکن یہ کمپنی دس ڈالر ایک سال تک دیتی رہتی ہے ۔ یعنی ہمیں ایک سو پچاس ڈالر کا نفع ملتا ہے ۔ اس کے بعد دوبارہ ہمیں پیسے دینے ہوتے ہیں اور دوبارہ ہر ہفتے ہمیں نفع ملتا رہتا ہے ۔ تو کیا اس کمپنی میں پیسہ انویسٹ کرنا حلال ہے یا حرام؟ کیا یہ پیسہ سود میں تو نہیں آتا؟ یعنی کمپنی ہمیں نفع میں سے نہیں دیتی بلکہ ہماری انویسٹ مینٹ پر ہی نفع دیتی ہے ۔ ایک اور بات کہ کمپنی ایک سال بعد اپنے پرافٹ کا حساب کرتی ہے ۔ اگر تو ان کو نفع ہوا ہو تو یہ کام جاری رہتا ہے ۔ لیکن اگر ان کو ان کی امید کے مطابق نفع نہ ہو تو وہ ہمارا پرافٹ کم بھی کر دیتے ہیں لیکن ہمیں پھر بھی کوئی نقصان نہیں ہوتا۔ ہمیشہ فائدہ ہی ہوتا ہے ۔ پلیز جواب ضرور دیجیے گا۔","<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:787-705/D=8/1439</span></p><p dir=""RTL"">
	مذکورہ کمپنی کی جو تجارتی اسکیم آپ نے لکھی ہے یہ ناجائز ہے اس طرح کی اسکیم میں شریک ہونا جائز نہیں۔</p><p dir=""RTL"">
	(۱) سرمایہ لگاکر کسی کا روبار میں شرکت کے جائز ہونے کے لیے ضروری ہے کہ نفع حاصل ہونے والے منافع میں فیصد کے اعتبار سے طے ہو، متعین (فکس) نفع طے کرنا جائز نہیں مثلاً ہرہفتہ بیس ڈالر نفع ملے گا۔</p><p dir=""RTL"">
	(۲) نیز سرمایہ لگانے والے کے لیے یہ بھی طے ہونا ضروری ہے کہ اگر نقصان ہوگیا تو اس کا ذمہ دار کون ہوگا شرعی نقطہٴ نظر سے سرمایہ کے تناسب سے دونوں شریک نقصان کے بھی ذمہ دار ہوتے ہیں۔</p><p dir=""RTL"">
	(۳) جی ہاں مذکور فی السوال صورت سود ہی کی ہے کیونکہ کمپنی حاصل ہونے والے نفع میں سے فیصد کے اعتبار سے آپ کو منفعت نہیں دے رہی ہے بلکہ آپ کے سرمایہ کے تناسب سے منفعت دے رہی ہے یہ یقینا سود ہے، اس لیے اس کمپنی میں سرمایہ کاری کرنا جائز نہیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",160446,deoband,معاملات,سود و انشورنس
01-Sep-2020,https://darulifta-deoband.com/home/ur/interest-insurance/160375,بینک کے سود کو بینک ہی کے اخراجات پر استعمال کرنا کیسا ہے ؟,میں نے ویب سائٹ پر فتاویٰ کا مطالعہ کیا تو الحمدللہ یہ بات واضح ہوئی کہ انٹرسٹ کے رقم کو گورنمنٹ ٹیکس، انکم ٹیکس، غریب حاجت مند مسلمانوں اور غیر مسلموں کی مدد میں استعمال کیا جاسکتا ہے ۔ میرا سوال یہ ہے کہ کیا اس انٹرسٹ کے رقم کو بینک کے منیمم بیلینس مینٹیننس، ٹرینسیکشن چارج یا کئی پروسیسنگ فیس جیسا کہ سالانہ اے ٹی ایم چارج، ایس ایم ایس الرٹ چارج وغیرہ پر استعمال کیا سکتا ہے یا نہیں؟ براہ کرم وضاحت کر دیں۔ خیرا!,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:889-786/H8/1439</span></p><p dir=""RTL"">
	منیمم بیلنس کے متعلق تحقیق یہ ہوئی کہ کھاتہ میں جو رقم جمع رکھنا قانوناً لازم ہے اگر زیادہ رقم نکالنے پر وہ مقدار گھٹ گئی تو بینک جرمانہ کی رقم عائد کردیتا ہے اسے منیمم بیلنس کہتے ہیں اگر اس جرمانہ والی رقم کو اداء کرنے کے لیے بینک کا سود دیدیا تو اس کی گنجائش ہے اس کے علاوہ جتنے چارجز آپ نے لکھے ہیں وہ سب کھاتہ داروں کے فوائد حاصل کرنے میں لگائے جاتے ہیں، پس ان میں بینک سے حاصل شدہ سودی رقم دینا جائز نہیں ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",160375,deoband,معاملات,سود و انشورنس
01-Sep-2020,https://darulifta-deoband.com/home/ur/interest-insurance/160359,دائے قرض میں دس روپئے زائد لینا دینا؟,خالد نے زید اور عمر سے سو سو روپیہ قرض لیا، اس کے بعد زید نے بکر کو ایک کتاب سو روپیہ میں بیچی، اب اگر بکر زید کو نقد سو روپیہ فوراًدیدیتا ہے تب تو معاملہ صاف ہے ، لیکن خالد نے زید سے یہ کہا کہ کہ زید تیرا میرے اوپر سو روپیہ قرض ہے ، میں اس میں سے بکر کو کتاب کی قیمت دیدیتا ہوں، ایک سو دس روپیہ دوں گا۔ دریافت طلب چیز یہ ہے کہ مقروض خالد کی طرف سے زید اور بکر کو جو دس دس روپیہ بلا کسی عوض مل رہے ہیں، وہ حلال ہیں یا حرام؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:886-785/H=8/1439</span></p><p dir=""RTL"">
	خالد (مقروض) اپنے مُقرض (زید) کو نہ دے کر سو روپئے کتاب کی قیمت اور زائد دس روپئے بکر (مشترئ کتاب) کو دے گا تو خالد کی طرف سے زید اور بکر کو دس دس روپئے ملنے کی کیا شکل ہے؟ بکر سو روپئے زید کو دیدے گا تو دس روپئے اُس کے پاس بچے، زید کو دس روپئے زائد کس طرح ملیں گے؟ اُس کو اضح کرکے دوبارہ معلوم کریں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",160359,deoband,معاملات,سود و انشورنس
01-Sep-2020,https://darulifta-deoband.com/home/ur/interest-insurance/160332,ایس بی آئی کی طرف سے کمیشن پر كام كرنا؟,میں ایس بی آئی کسٹمر سروس سینٹر چلاتا ہوں، جس کے اندر یہ تین طرح کے کام ہوتے ہیں۔ (۱) کیش وِدھرال (رقم نکلوانا)۔ (۲) ڈپوزٹ (جمع کرنا) ۔ (۳) منی ٹرانسفر (رقم کی منتقلی) ۔ یہ سب کرنے پر مجھ کو ایس بی آئی کی طرف سے کمیشن ملتا ہے، میں یہ سب ٹرانزیکشن (منتقلی) اپنے خود کے پیسے سے کرتا ہوں، یہ کام کرنے کے لئے مجھ کو ایک کمپنی نے آفر کیا، جس میں کمپنی کو ۳۰/ فیصد اور مجھ کو ۷۰/ فیصد منافعہ ملتا ہے، کیا یہ کام درست ہے؟ نوٹ: یہ سب کام میں اپنے پیسوں سے کرتا ہوں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:872-724/sd=7/1439</span></p><p dir=""RTL"">
	صورت مسئولہ میں مذکورہ کام کرنے پر اگر ایس بی آئی کی طرف سے کمیشن متعین ہوتا ہے ، تو آپ کے لیے کمیشن پر یہ کام کرنا جائز ہے اورجس کمپنی نے آپ کو مذکورہ کام کرنے کا آفر دیا ہے ، اگر اس کی صورت یہ ہے کہ ایس بی آئی کی طرف سے کمپنی کو کام دیا گیا ہے ، کمپنی وہ کام آپ سے لے گی اور ایس بی آئی کی طرف سے جو کمیشن ملے گا، وہ کمپنی اور آپ کے درمیان تیس اور ستر فیصد کے تناسب سے تقسیم ہوگا، تو شرعا یہ صورت بھی جائز ہے ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",160332,deoband,معاملات,سود و انشورنس
01-Sep-2020,https://darulifta-deoband.com/home/ur/interest-insurance/160317,بہت سے علمائے یورپ گھر لینے كے لیے سودی قرض كی اجازت دے رہے ہیں، كیا یہ صحیح ہے؟,حضرت، بہت سارے علماء یورپ میں فتوی دے رہے ہیں کہ لوگوں کو مجبوری کی حالت میں اجازت ہے کہ وہ سود پر گھر لیں۔ میرے حالات ایسے ہیں کہ ہم لوگ صحیح گھر میں رہ رہے ہیں۔ میری الحمد للہ دو بیٹیاں ہیں۔ شوہر کام کرتے ہیں۔ گھر کا کرایہ اتنا ہے کہ بالکل تنگ ہوتا ہے لیکن پھر بھی ہم سود میں پڑنا نہیں چاہتے۔ آنے والے سالوں میں اِدھر ہالینڈ میں اور زیاد کرایے بڑھ جائیں گے۔ تو میرا سوال یہ ہے کہ ان حالات میں ہم کیا کریں؟ ہم سود پر گھر لے سکتے ہیں؟ یابہتر ہے کہ میں بھی کام کروں اور پھر ڈبل آمدنی کی وجہ سے ہم کرایہ بآسانی دے سکیں گے۔ یا پھر سود پر گھر لے کر ساتھ میں میں بھی کام کروں اور جلد سے جلد سود کو ختم کردیں (جس بینک سے قرض لیا)۔ آپ کی بہت مہربانی ہوگی ۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:887-713/sd=7/1439</span></p><p dir=""RTL"">
	سودی قرض لینا ناجائز و حرام ہے ، احادیث میں سودی لین دین پر سخت وعیدیں آئی ہیں، گھر کے لیے بھی سودی لون لینا جائز نہیں ہے ،جو علما گھر خریدنے کے لیے لون کی اجازت دے رہے ہیں، ان کے فتاوی منسلک کیے جائیں، صورت مسئولہ میں اگر آپ لوگ صحیح مکان میں کرایہ پر رہ رہے ہیں،تو گھر خریدنے کے لیے سودی لون نہ لیں، خواہ تھوڑی تنگی کا سامنا کیوں نہ کرنا پڑے ؛ البتہ گھر میں رہتے ہوئے آپ بھی کوئی ذریعہ آمدنی اختیار کرسکتی ہیں ، اس میں کوئی قباحت نہیں ہے ؛ لیکن سودی قرض سے بچنا ضروری ہے ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",160317,deoband,معاملات,سود و انشورنس
01-Sep-2020,https://darulifta-deoband.com/home/ur/interest-insurance/160056,كیا سودی لون لینا جائز ہے؟,زید اور بکر دونوں اچھے دوست ہیں۔ زید کسی وجہ سے بہت زیادہ مالی پریشان کا شکار ہوگیا ہے۔ بکر کی حالت تھوڑی اچھی ہے لیکن ابھی وہ اس حال میں نہیں کہ وہ زید کی کوئی مدد کرسکے۔ بکر کے پاس ایک کریڈیٹ کارڈ ہے جس پر بینک سے لون لینے کی گنجائش ہے۔ زید کا کھانا ہے کہ بکر کریڈیٹ کارڈ سے لون لے کر اس کو دیدے، وہ اس کی قسطیں خود بھرے گا، جیسے ہی حالات صحیح ہوتے ہیں وہ پورا لون ایک ساتھ واپس کردے گا، لیکن راضی نہیں ہورہا ہے۔ بکر کا کہنا ہے کہ وہ لون لے کر سود کے گناہ میں شامل نہیں ہونا چاہتا، جب کہ زید کا کہنا ہے کہ وہ صرف ذریعہ بن رہا ہے اس کی ذمہ داری زید پر ہوگی۔ سوال یہ ہے کہ ذمہ دار بکر ہوگا یا زید؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:834-154T/sn=8/1439</span></p><p dir=""RTL"">
	سود پر مبنی لون لینا شرعاً جائز نہیں ہے الّا یہ کہ شدید ضرورت پیش آجائے مثلاً فاقہ کی نوبت آجائے اور اپنی ملکیت میں قابل فروخت کوئی ایسی چیز نہ ہو جسے فروخت کرکے ضرورت پوری کی جائے، صورتِ مسئولہ میں زید کو کس درجہ پریشانی ہے وہ سوال سے واضح نہیں ہے، اگر اس طرح کی کوئی شدید ضرورت نہیں ہے تو اس کے لیے بکر کے ذریعہ بھی لون لینا جائز نہیں ہے اور نہ ہی بکر کے لیے یہ جائز ہے کہ زید کو اپنے کریڈٹ کارڈ کے بیس پر لون لینے کی اجازت دے، اجازت دینے کی صورت میں بکر بھی گناہ میں شامل ہوگا۔ قال اللہ تعالیٰ : وَأَحَلَّ اللَّہُ الْبَیْعَ وَحَرَّمَ الرِّبٰو (البقرة: ۲۷۵) وفي الأشباہ: ما حرم أخذہ حرم إعطاوٴہ کالربا ومہر البغي الخ (۱/۳۲، قاعدہ: ۱۴) وقال اللہ تعالی: وَلَا تَعَاوَنُوا عَلَی الْإِثْمِ وَالْعُدْوَانِ (المائدہ)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",160056,deoband,معاملات,سود و انشورنس
