issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/the-holy-quran/61818,حفظ کی حالت میں بیٹھنا,عرض ہے کہ میں نے اپنے بیٹے کو حفظ کرنے کے لئے ایک مدرسے میں داخل کروایا ہے ۔ مدرسے میں تمام بچوں کو تما م دن ایک ہی حالت میں بٹھاتے ہیں جس میں دائیں پاوں کا ٹخنہ زمین سے ٹکراتا ہے اور سارے بدن کا زور اُٹھاتا ہے ۔میرا بچہ اس حالت میں بیٹھا تو اس کے ٹخنے میں زخم ہو گیا۔ مدرسے والے کہتے ہیں کہ اسی پوزیشن میں بیٹھنا ضروری ہے ۔ میرا سوال یہ ہے کہ کیا اس سلسلے میں قرآن و حدیث میں کوئی واضح ہدایت موجود ہیں اورکیا اس حالت میں بیٹھنا ضروری ہے اور کیا اس حالت کہ علاوہ کوئی ایسی بیٹھنے کی صورت ہے جس میں بیٹھ کر قرآن مجید حفظ کیا جا سکتا ہے ۔ براہ مہربانی راہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 822-822/Sd=1/1437-U

حفظ قرآن کے لیے ایک ہی حالت میں بیٹھنا ضروری نہیں ہے؛ البتہ قرآن کریم کا ادب و احترام ضروری ہے، مدرسوں میں عموماً بچوں کو ایک ہی حالت پر بیٹھنے کو لازم قرار نہیں دیا جاتا، ہاں بچوں کو ایسی ہیئت سے بیٹھنے پر زور دیا جاتا ہے جس میں قرآن پاک کا ادب اور اُس کی عظمت زیادہ ظاہر ہو اور اُس حالت میں سستی، کاہلی اور نیند وغیرہ نہ آئے تاکہ بچہ بشاشت اور پوری توجہ کے ساتھ قرآن پاک یاد کر سکے، صورتِ مسئولہ میں اگر مذکورہ مدرسے میں واقعی بچوں پر ایک ہی ہیئت پر بیٹھنا لازم ہے، دوسری ہیئت پر بیٹھنے کی بالکل اجازت نہیں ہے اور ایک ہی ہیئت پر بیٹھتے بیٹھتے آپ کے بچے کے ٹخنے میں زخم ہو گیا ہے، تو آپ مدرسہ کے ذمہ داران کو اس کی اطلاع کریں، وہ ان شاء اللہ آپ کے بچے کے لیے دوسری ہیئت پر بیٹھنے کی جس میں سہولت و آسانی ہو اجازت دیدیں گے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",61818,deoband,عقائد و  ایمانیات,قرآن کریم
31-Aug-2020,https://darulifta-deoband.com/home/ur/the-holy-quran/61776,قرآن پاک کو کم از کم کتنے دن میں ختم کرلینے کی اجازت ہے ۔,ایک حدیث میں آیا ہے کہ جس نے تین دن میں قرآن مجید ختم کیا اس نے کچ نہ پایا کیا یہ بات واقعی کسی صحیح حدیث میں آئی ہے یا کسی نے اپنی طرف سے کہہ دیا ہے ؟ اگر یہ ٹھیک ہے تو اس کا کیا مطلب ہے ؟ قرآن پاک کو کم از کم کتنے دن میں ختم کرلینے کی اجازت ہے ۔ (۴) ایک عام قاری کو ایک دن میں کتنا قرآن پڑھنا چاہیے ؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 891-856/Sn=1/1437-U

(۱، ۲) تین دن میں نہیں؛ بلکہ تین دن سے کم میں قرآن کریم ختم کرنے والے سے متعلق اس طرح کی بات آئی ہے، حدیث کے الفاظ یہ ہیں: لا یفقہ من قرأہ في أقلّ من ثلاث یعنی جو شخص تین دن سے کم میں قرآن کریم ختم کرے گا وہ اس کے ظاہری معنی کو بھی سمجھ نہ سکے گا؛ اس لیے کہ جلد بازی کی وجہ سے معنی کی طرف دھیان نہ دے سکے گا۔ (ابودادوٴ مع بذل المجہود، ۷/۱۸۱، ط: دار الکتب العلمیہ، بیروت) ہکذا فی غنیة المتملی (ص: ۴۹۶، ط: اشرفی)
(۳) تین دن میں، اس سے کم وقت میں قرآن کریم ختم کرنا عامةً پسندیدہ نہیں ہے، ولا یستحب أن یختم في أقل من ثلاثة أیام إلخ (کبیری، ۴۹۶) 
(۴) شرعاً اس کی کوئی تحدید نہیں ہے، جتنی توفیق ہو، اتنا پڑھ لے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",61776,deoband,عقائد و  ایمانیات,قرآن کریم
01-Sep-2020,https://darulifta-deoband.com/home/ur/the-holy-quran/61424,تلاوت قرآن کے بعد تالی بجانا,بعدہ عرض خدمت یہ ہے کہ کیا فرماتے ہیں علمائے دین و مفتیان شرع متین مسًلہً ذیلہ کے بارے میں ایک ادارہ میں روزانہ صبح مناجات کی مجلس منعقد ہوتی ہے جسمیں سب سے پہلے ایک تالب علم تلاوت کلام اللہ کرتا ہے اسکے بعد اسمائے حسنی اجتماعی طور پر پڑھے جاتے ہیں اسکے بعد ایک نعت اور اسکے بعد استاد کچھ نصیحت فرماتے ہیں ۔ اور مجلس ختم ہوجاتی ہے ۔ دریافت طلب امر یہ ہے کہ شروع میں جو تلاوت ہوتی ہے اسکے بعد تمام طلبہ اجتماعی طور پر تالیاں بجاتے ہیں کیا قرآن کی تلاوت کے بعد تالیاں بجانا درست ہے ؟ اگر درست نہیں تو اسکا کیا درجہ ہے مکروہ تحریمی ہے یا تنزیہی یا حرام ؟ براہ کرم مدلل و مفصل جواب عنائت فرمائیں نوازش ہو گی۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1188-965/D=11/1436-U

تلاوت قرآن کے بعد تالی بجانا سخت بے ادبی ہے کہ محفلوں میں تالی بجانا خود غیرقوموں کا شعار یا فساق کا طریقہ ہے، پس اس طریقہ کو بند کرنا چاہیے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",61424,deoband,عقائد و  ایمانیات,قرآن کریم
01-Sep-2020,https://darulifta-deoband.com/home/ur/the-holy-quran/61415,کیا گھر میں موجود قرآن پاک اور سپارے کے تمام نسخوں کو پڑھنا ضروری ہے؟ جو نہ پڑھے جاتے ہوں ان کو مسجد میں رکھوایا جائے؟ جن نسخوں کو کافی سال تک پڑھنے کی نوبت نہ آئے تو گناہ ہوگا؟,کیا گھر میں موجود قرآن پاک اور سپارے کے تمام نسخوں کو پڑھنا ضروری ہے؟ جو نہ پڑھے جاتے ہوں ان کو مسجد میں رکھوایا جائے؟ جن نسخوں کو کافی سال تک پڑھنے کی نوبت نہ آئے تو گناہ ہوگا؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1112-1089/H=11/1436-U

قرآن کریم کا ایک حق یہ بھی مسلمانوں پر ہے کہ اُس کی تلاوت کا اہتمام کیا جائے، سالہا سال تک گھروں میں یوں ہی قرآن شریف رکھا رہے اور اس میں تلاوت کی نوبت ہی نہ آئے یعنی گھر میں تلاوت ہی نہ کی جائے یہ ایک درجہ میں ناقدری سی ہے جو کراہت سے خالی نہیں، اگر قرآن شریف گھر میں ہو مگر گھر میں تلاوت کرنے والا کوئی نہ ہو اور اس کو مسجد میں رکھ دیں تاکہ نمازی اس میں تلاوت کرتے رہیں تو اس میں کچھ مضائقہ نہیں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",61415,deoband,عقائد و  ایمانیات,قرآن کریم
01-Sep-2020,https://darulifta-deoband.com/home/ur/the-holy-quran/60855,تعلیم قرآن پر معاوضہ لینا,کوئی شخص بچوں کو اور بڑوں کو قرآن پڑھاتا ہو اور اس کے لیے کوئی معاوضہ نہ لیتاہو اور نہ کسی قسم کا کوئی ہدیہ لینے کی نیت ہو اور اس نے باقاعدہ کہہ بھی رکھا ہو کہ کسی قسم کا ہدیہ نہ لایا جائے پھر بھی بچے یا بڑے کبھی کوئی چیز یا بیماری کی صورت میں کچھ کھانے کی چیز یا رمضان میں افطار کے لیے آئیں تو کیا ایسے ہدیہ کالینے کا جائز ہے؟ حتی کہ لینے والا مسلسل انکار کرے پھر بھی وہ زبردستی دیدے تو؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 648-648/Sd=11/1436-U

تعلیم قرآن پر معاوضہ لینا ناجائز نہیں ہے، ہاں اگرکوئی شخص بغیر معاوضہ کے تعلیم دے تو یہ اس کی عزیمت کی بات ہے اور قرآن کی تعلیم دینے کی وجہ سے تعلیم حاصل کرنے والوں سے ہدیہ قبول کرنا یا ان سے افطار کی کوئی چیز لینا ناجائز نہیں ہوجاتا؛ البتہ تعلیم قرآن میں نیت صرف رضائے الٰہی کی ہونی چاہیے، طلبہ سے کسی طرح کی دنیاوی منفعت اور مادی فائدے کا حاصل کرنا مقصود نہیں ہونا چاہیے، نیت کو خالص کرکے تعلیم دینے کے بعد اگر کوئی طالب علم ہدیہ پیش کرے اور اس کا ہدیہ قبول کرنا مصلحت کے خلاف نہ ہو، تو قبول کرلینے میں مضائقہ نہیں ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",60855,deoband,عقائد و  ایمانیات,قرآن کریم
01-Sep-2020,https://darulifta-deoband.com/home/ur/the-holy-quran/60627,قرآن کی تلاوت,میری دادی کی عمر تقریبا 70 سال ہے اور بہت ضیف العمر ہے .اس نے قرآن کی تجوید اور صحیح تلفظ کے ساتھ قرآن سیکھنے کی بہت کوشش کی لیکن یادداشت کمزور. ہونے کی وجہ سے نہ سیکھ سکی.جبکہ انہیں پہلے سے قرآن مجید کی ٹوٹی پوٹی تلفظ کے ساتھ تلاوت آتی ہے جس میں بقول انکے بیشمار ختم قرآن کیے ہیں۔ تو میرا سوال یہ ہے کہ کیا وہ اسی ٹوٹی پوٹی تلفظ کے ساتھ. قرآن مجید کی تلاوت جاری رکھ سکتی ہیں، یا غلط تلفظ کی وجہ سے قرآن کی تلاوت چھوڑنے مین ہی انکی عافیت ہے . برائے مہربانی مفصل جواب دیجے گا۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 565-565/Sd=10/1436-U

انسان کوشش ہی کا مکلف ہے، آپ کی دادی کو قرآن کریم کی تلاوت جاری رکھنی چاہیے، صحیح تلفظ کے ساتھ پڑھنے کی حتی الامکان کوشش کریں، کوشش کے باوجود تلفظ میں کمی ان شاء اللہ معاف ہوگی۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",60627,deoband,عقائد و  ایمانیات,قرآن کریم
01-Sep-2020,https://darulifta-deoband.com/home/ur/the-holy-quran/60576,اگر ہم قرآن پڑھتے ہوئے غلطی سے کچھ غلط پڑھ جائیں اور بعد میں توبہ کریں کہ اگر ہم سے کوئی غلطی ہوئی ہو تو اللہ ہمیں معاف کرے، تو اس میں کچھ حرج تو نہیں ہے؟,اگر ہم قرآن پڑھتے ہوئے غلطی سے کچھ غلط پڑھ جائیں اور بعد میں توبہ کریں کہ اگر ہم سے کوئی غلطی ہوئی ہو تو اللہ ہمیں معاف کرے، تو اس میں کچھ حرج تو نہیں ہے؟میں بہت وہم اور وسوسے کا شکار رہتاہوں ، اس بارے میں میں اردو میں دینی کتابیں اور قرآنی آیات اور احادیث کا ترجمہ پڑھتے ہوئے بھی بہت ڈرتاہوں ۔ براہ کرم، مجھے ب تائیں کہ کیا میں ایسا کرسکتاہوں کہ میں اپنی طرف سے صحیح پڑھ لیا کروں اور بعد میں یا پہلے ہی اللہ سے توبہ کرلیا کروں؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 992-992/M=10/1436-U

زیادہ وہم اوروسہ میں نہ پڑیں اور جان بوجھ کر قرآن غلط نہ پڑھیں، اگر قرآن پڑھتے ہوئے بلاقصد وارادہ غلطی ہوجائے تو اس کو صحیح پڑھ لیا کریں، آداب کی پوری رعایت رکھیں ان سب کے باوجود کچھ کمی کوتاہی ہوسکتی ہے، لہٰذا اخیر میں توبہ واستغفار کرلیا کریں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",60576,deoband,عقائد و  ایمانیات,قرآن کریم
01-Sep-2020,https://darulifta-deoband.com/home/ur/the-holy-quran/60402,اگر میں قرآن کی کوئی سورة یا آیت کسی مقصد سے پڑھتی ہوں اور یہ سنت سے ثابت نہ ہو تو کیا یہ گناہ ہوا؟,ہر عبادت سنت کے مطابق ہی کرنی چاہئے، اگر میں قرآن کی کوئی سورة یا آیت کسی مقصد سے پڑھتی ہوں اور یہ سنت سے ثابت نہ ہو تو کیا یہ گناہ ہوا؟جزاک اللہ خیرا,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 912-938/H=10/1436-U

فی نفسہ تلاوت قرآنِ کریم کی برکت سے دنیا وآخرت کی حوائج کے پورا ہونے کی دعا کرنا اور حاجات کا پورا ہونا نصوص سے ثابت ہے پس آپ کسی نیک مقصد سے کوئی سورت یا آیت پڑھیں گی تو وہ خلافِ سنت نہ ہوگا نہ باعث گناہ ہوگا، چونکہ اس کی اصل ثابت ہے سورت اور آیتِ مبارکہ اور ان کے پڑھنے کا جو طریقہ اختیار کریں نیز کس مقصد کے لیے پڑھنا چاہتی ہیں؟ اور جو طریقہ اختیار کریں؟ ان سب امور کو صاف صاف لکھ کر معلوم کرلیں تو بہتر تھا۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",60402,deoband,عقائد و  ایمانیات,قرآن کریم
01-Sep-2020,https://darulifta-deoband.com/home/ur/the-holy-quran/59955,غیر عربی رسم الخط میں قرآن,کیا فرماتے ہیں مفتیان کرام اس مسئلے کے بارے میں کہ کیا غیر عربی رسم الخط میں قرآن پاک کو لکہنا اور اس کی تلاوت کرنا جائز ہے ؟ اگر مسجدوں میں ایسے غیر عربی رسم الخط قرآن ہو تو ان کا کیا حکم ہے ؟ اور کیا عوام کا یہ بہانہ کہ وہ عربی نہیں جانتے کس حد تک درست ہے ؟ برائے کرم مع دلائل جواب ارسال فرما کر احسان فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 867-863/B=9/1436-U

عربی رسم الخط میں قرآن کا لکھنا واجب ہے، اور اسی رسم الخط کی تلاوت کرنا واجب ہے، کسی دوسرے رسم الخط میں قرآن لکھنا اور پڑھنا جائز نہیں، یہ توقیفی چیز ہے۔ اس میں کسی کو عقلی گدا لگانے کی ضرورت نہیں، اگر کوئی عربی نہیں جانتا ہے تو قرآن پڑھنا سیکھیں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",59955,deoband,عقائد و  ایمانیات,قرآن کریم
01-Sep-2020,https://darulifta-deoband.com/home/ur/the-holy-quran/59945,بعض لوگ کہتے ہیں کہ قرآن مجید کو بغیر ترجمہ کے حفظ کرلینے کا کوئی فائدہ نہیں ، کیا یہ ٹھیک ہے؟,بعض لوگ کہتے ہیں کہ قرآن مجید کو بغیر ترجمہ کے حفظ کرلینے کا کوئی فائدہ نہیں ، کیا یہ ٹھیک ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p style=""text-align: right;"">
	Fatwa ID: 951/947/B=10/1436-U</p><p dir=""RTL"">
	جو لوگ ایسی بات کہتے ہیں صحیح نہیں ہے، حدیث شریف میں آیا ہے ”من قرأ حرفا من کتاب اللہ فلہ بہ حسنة، والحسنة بعشر أمثالہا“ إلخ یعنی جس نے قرآن کا ایک حرف پڑھا اس کو اس پر ایک نیکی ملے گی اور وہ ایک نیکی دس نیکوں کے برابر ملے گی، ان لوگوں کی بات حدیث کے خلاف ہے۔ نیز دنیا کے چار متفق علیہ بڑے اماموں میں ایک امام ہیں حضرت امام احمد بن حنبل، تو ان سے پوچھا گیا کہ قرآن سمجھ کر پڑھنے سے ثواب ملتا ہے یا بغیر سمجھے ہوئے پڑھنے پر بھی ثواب ملتا ہے تو انھوں نے جواب میں فرمایا کہ بفہمٍ أو بِدُونِ فَہمٍ یعنی سمجھ کر پڑھویا بغیر سمجھے پڑھو دونوں صورتوں میں ثواب ملتا ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",59945,deoband,عقائد و  ایمانیات,قرآن کریم
