issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/dawah-tableeg/161316,مروجہ دعوت وتبلیغ کا کام كیا ہے فرض، واجب یا سنت؟,دعوت و تبلیغ کا کام جماعت والا کیا ہے سنت ہے یا فرض کفایہ یا مستحب ؟ منتخب احادیث پڑھنا تعلیم کیسا ہے ؟ اور کسی کو جماعت کا کام کرنا ہے تو کس کے ساتھ رہ کر کام کرنا زیادہ بہتر ہے کون زیادہ حق پر ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:969-818/B=9/1439</span></p><p dir=""RTL"">
	مروجہ دعوت وتبلیغ کا کام نہ تو فرض ہے نہ واجب نہ سنت، ہاں یہ کام بہتر ہے بشرطیکہ حضرت مولانا الیاس رحمہ اللہ کے طریقہٴ کار پر کیا جائے اور غلو سے کام نہ لیا جائے، اور ایک دوسرے کی تکفیر وتفسیق نہ کی جائے (جیسا کہ آج کل دونوں گروہ ایک دوسرے کی برائی بیان کرتے رہتے ہیں) دعوت تبلیغ کا کام اللہ کے لیے کرنا چاہیے۔ دارالعلوم اس مسئلہ میں غیرجانبدار ہے۔ جو طریقہ اوپر بتایا گیا اسی طریقہ پر کام کرنا چاہیے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",161316,deoband,عقائد و  ایمانیات,دعوت و تبلیغ
01-Sep-2020,https://darulifta-deoband.com/home/ur/dawah-tableeg/161053,ایك ہی علاقے میں وقت لگانے والی جماعت قصر كرے یا اتمام؟,آپ حضرات خیر و عافیت سے ہوں گے مجھے کچھ باتیں دریافت کرنی تھی۔ (۱) سرہند میں جو مزار ہے وہ کیا واقعی سید احمد رحمہ اللہ کی ہے اور اگر ان کی ہے تو کیا ان کے مزار پر قرآن پڑھنے پر جو بات مشہور ہے کہ اگر ان کے مزار پر قرآن پڑھنے سے بھولتے نہیں ہے وہ کیا واقعی صحیح ہے اور اگر صحیح ہے تو کیا حفص پڑھے یا دیکھ کر اور ایک مجلس میں یا متعدد مجلس میں برائے کرم جواب دے کر مشکور فرمائیں۔ (۲) قرآن کریم کے ختم پر جو حرم شریف میں ھدایا دییے جاتے ہے ان کی کیا حقیقت ہے ؟ (۳) میں چار مہینے جماعت میں ہو اور ہمارے چار مہینے ایک ہی علاقے میں لگے ہے اور ہم کو ہر اتوار کو الگ مسجد کا روٹ ملتا ہے اور ان لوگو نے یہ کہ دیا ہے آ پ کو چار ماہ اسی بستی میں پورے کرنے کے ہے تو کیا ہمیں نماز قصر پڈھنی ہوگی یا پوری؟ (۴) مسافر امام کے پیچھے مقیم کی باقی ماندہ نماز کا طریقہ کیا ہے کیا وہ سورة فاتحہ پڑھے گا اور کیا وہ رکوع سے اتھتے وقت تحمید کہے گا وغیرہ وغیرہ ؟ (۵) مرد کا اپنی عورت کے حیض یا نفاس کی حالت میں اس کے پستان کے درمیان اپنی شرمگاہ کو داخل کر کے انزال کرنا اس حال میں کہ بچہ دودھ پیتا ہو یا نہ پیتا ہو کیا حکم ہے ؟ (۶)وڈیو بیانات کا ریکارڈ کرنے اور سننے کا کیا حکم ہے اور موبائل میں وڈیو و تصویر کھینچنے کا کیا حکم ہے ؟ برائے مہربانی ان سوالات کا جواب دے کر مشکور فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:1045-116T/sd=8/1439</span></p><p dir=""RTL"">
	(۱) حضرت سید احمد جو مجدد الف ثانی سے معروف ہیں، ان کا مزار سرہند میں ہے۔ (حضرت امام ربانی مجدد الف ثانی، ص: ۳۳) اور ان کے مزار پر قرآن پڑھنے سے متعلق جو بات مشہور ہے، ہمیں کسی معتبر کتاب میں وہ نہیں ملی، باقی مزار پر رسم ورواج اور بدعا سے بچتے ہوئے حسب موضع قرآن پڑھ کر ایصالِ ثواب کرنا مستحسن ہے۔</p><p dir=""RTL"">
	(۲) یہ سوال واضح نہیں ہے، اگر ختم قرآن سے تراویح یا ایصالِ ثواب کے طور پر ختم قرآن کے عوض ہدایا لینا مراد ہے، تو یہ جائز نہیں ہے اور اگر بچوں کے قرآن کریم مکمل حفظ کرنے پر ان کو اور بعض علاقوں میں بچے کے استاد کو جو ہدایا دیے جاتے ہیں، اس سے متعلق سوال کرنا ہے، تو شرعاً یہ ہدیہ قبول کرنا جائز ہے اور اگر منشا سوال کچھ اور ہو تو دوبارہ وضاحت کے ساتھ سوال کرلیں۔</p><p dir=""RTL"">
	(۳) اگر پندرہ دن یا اس سے زیادہ ایک علاقے میں رہنے کی نیت ہو خواہ وہ علاقہ شہر کا ہو یا دیہات کا، تو ایسی صورت میں جماعت مقیم ہوگی اور قصر کرنا جائز نہیں ہوگا اور اگر کسی ایک علاقے میں پندرہ دن ٹھہرنے کی نیت نہ ہو، ایک ہفتہ ایک علاقے میں رہنے کی نیت ہو اور دسرے ہفتے کے بارے میں یقینی طور پر کوئی نیت نہ ہو، اُسی علاقے کی دوسری مسجد میں بھی جماعت کا قیام ہوسکتا ہو اور قریب کے کسی گاوٴں یا بستی میں بھی جانے کا امکان ہو تو ایسی صورت میں جماعت قصر کرے گی، اقامت کے لیے ایک ہی بستی میں کم ازکم پندرہ دن ٹھہرنے کی نیت ضروری ہے۔</p><p dir=""RTL"">
	(۴) مسافر امام کے سلام پھیرنے کے بعد مقیم اپنی دو رکعت پوری کرے گا اور ان دو رکعتوں میں قرأت نہیں کرے گا، نہ سورہ فاتحہ پڑھے گا اور نہ ہی سورہ پڑھے گا؛ بلکہ صرف اتنے دیر کھڑے ہوکر خاموش رہے گا جس میں سورہٴ فاتحہ پڑھی جاسکتی ہو اور تحمید کے سلسلے میں حضرت فقیہ الامت<span dir=""LTR""></span>فرماتے ہیں کہ کوئی صریح جزئیہ نہیں دیکھا، حکما مقتدی ہونے کا تقاضا یہ ہے کہ تحمید پر کفایت کرے اور مسبوق ہونے کا تقاضا ہے کہ جمع کرے، یعنی تسبیح اور تحمید دونوں کہے۔ (فتاوی محمودیہ: ۶/ ۵۷۳) اور ہدایہ فتاوی ہندیہ کی عبارت سے بھی معلوم ہوتا ہے کہ مقیم مقتدی باقی دو رکعتوں میں منفرد کی طرح تسبیح اور تحمید دونوں کہے گا۔ وإن صلی المسافر بالمقیمین رکعتین سلم وأتم المقیمون صلاتہم، کذا فی الہدایة وصاروا منفردین کالمسبوق (ہندیہ: ۱/۱۴۲)</p><p dir=""RTL"">
	(۵) گنجائش ہے۔</p><p dir=""RTL"">
	(۶) ویڈیو بیانات جس میں جاندار کی تصویر نظر آئے، ان کو تصویر کے ساتھ رکارڈ کرنا صحیح نہیں ہے اور موبائل میں ویڈیو بنانا اور تصویر کھینچنا جائز نہیں ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",161053,deoband,عقائد و  ایمانیات,دعوت و تبلیغ
01-Sep-2020,https://darulifta-deoband.com/home/ur/dawah-tableeg/160900,کیا جماعتوں میں نکلنا جہاد کا درجہ رکھتا ہے؟,کیا جماعتوں میں نکلنا جہاد کا درجہ رکھتا ہے؟ جیسا کہ ہمارے بھائی کہتے ہیں کہ جماعتوں میں نکل کر محنت کرنا جہاد اصغر اور مقام پر رہ کر محنت کرنا جہاد اکبر ہے۔ براہ کرم، اس معاملہ میں صحیح رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 955-817/B=9/1439</span></p><p dir=""RTL"">
	اصل جہاد کا لفظ جب بو لاجاتا ہے تو اس سے جہاد بالسیف مراد ہوتا ہے، یعنی اسلام کا کلمہ بلند کرنے کے لئے اپنی جان کو ہتھیلی پر رکھ کر آدمی اپنے گھر سے نکلتا ہے اگر فتح ہوئی تو غازی کہلاتا ہے اور مال غنیمت حاصل کرکے لوٹتا ہے ورنہ پھر اپنی جان کو قربان کرکے شہادت کا درجہ حاصل کرتا ہے ، یہ سنت کٹھن اور مشکل کام ہے۔ مروجہ تبلیغی جماعت میں نکلنا جہاد نہیں ہے۔ نہ اس کو جہاد کہنا درست ہے۔ جو لوگ اہل باطل سے مقابلہ کرتے ہیں اور اسلام کو اونچا کرنے کے لئے انہیں منہ توڑ جواب دیتے ہیں اور ان سے مناظرہ کرتے ہیں اور اسلام کی حقانیت کو واضح کرتے ہیں ان کے اس فعل کو جہاد باللسان مجازاً کہہ سکتے ہیں یا جو لوگ زبان کے ذریعہ دین پر محنت کرتے ہیں تعلیم دیتے ہیں یا وعظ و تقریر کرتے ہیں تو ان کو بھی مجازاً جہاد باللسان کہہ سکتے ہیں لیکن اس کا ثواب حقیقی جہاد کے برابر نہیں ہوسکتا۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",160900,deoband,عقائد و  ایمانیات,دعوت و تبلیغ
01-Sep-2020,https://darulifta-deoband.com/home/ur/dawah-tableeg/160185,نبوت 40سال کی عمر میں ملی تو پھر ہم خلافِ سنت پہلے ہی کیوں دعوت وتبلیغ میں لگ جاتے ہیں؟,کیا فرماتے ہیں مفتیان کرام مسئلہ ذیل کے بارے میں کے حضور صلی علیہ وسلم نے دعوت و تبلیغ کا کام 40 سال کے بعد یانی نبوت ملنے کے بعد شروع کیا تھا تو ہم اتباع سنت کے خلاف 40 سال سے پہلے ہی کیوں دعوت وتبلیغ کے کام میں لگ جاتے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:771-705/B=8/1439</span></p><p dir=""RTL"">
	اللہ تعالیٰ کی عادت یہی رہی ہے کہ ایک دو نبی کو چھوڑکر باقی تمام انبیائے کرام کو ۴۰/ سال کی عمر کے بعد نبوت عطا فرمائی، یہ معاملہ انبیاء کے ساتھ خاص رہا ہے، ہم بندوں کو اللہ نے بالغ ہونے کے بعد سے فرائض وواجبات کا مکلف بنایا، اس لیے ہمیں اپنے آپ کو انبیائے کرام پر قیاس نہ کرنا چاہیے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",160185,deoband,عقائد و  ایمانیات,دعوت و تبلیغ
30-Aug-2020,https://darulifta-deoband.com/home/ur/dawah-tableeg/159241,دعوت وتبلیغ کا کام فرض کفایہ کیوں ہے؟,تبلیغی جماعت کے کام کے بارے میں کا کہنا ہے کہ یہ کام فرض کفایہ ہے یعنی کرو گے تو اجر ملے گا اور نہیں کرو گے تو کوئی گناہ نہیں ہے اور نہ ہی اس کے بارے میں قیامت کے دن کوئی پوچھ ہوگی جبکہ نبوت کا مقصد اصلی یہی دعوت کا کام تھا اور ختم نبوت کے طفیل یہ دعوت والی مبارک محنت امت کی طرف منتقل ہوئی ہے اور اللہ کے آخری نبی حضرت محمد صلی اللہ علیہ وسلم نے خطبہ کے اندر ارشاد بھی فرمایا ہے جس کا مفہوم ہے کہ حاضرین غائبین تک میرے پیغام کو پہچا دیں تو کیا وجہ ہے جو نے اس کو فرض کفایہ کہا ہے حضرت یہ بات بھی آپ یاد رکھیں کہ میں کا مخالف نہیں بلکہ موافق ہوں ۔میں نے یہ سوال صرف اپنی رہنمائی کے لیے پوچھا ہے ، برائے مہربانی رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:656-657/B=8/1439</span></p><p dir=""RTL"">
	جی ہاں! فی نفسہ دعوت وتبلیغ کا کام فرض کفایہ ہے اور جس حدیث کا آپ نے حوالہ دیا ہے اس میں تبلیغ سے پورے دین کی تبلیغ مراد ہے نہ کہ صرف یہی مروجہ دعوت وتبلیغ کا کام، چنانچہ اللہ تعالیٰ کا ارشاد ہے: وَلْتَکُنْ مِنْکُمْ أُمَّةٌ یَدْعُونَ إِلَی الْخَیْرِ وَیَأْمُرُونَ بِالْمَعْرُوفِ وَیَنْہَوْنَ عَنِ الْمُنْکَرِ․ ترجمہ: اور تم میں ایک جماعت ایسی ہونا ضروری ہے کہ (اور لوگوں کو بھی) خیر کی طرف بلایا کریں اور نیک کاموں کے کرنے کو کہا کریں اور برے کاموں سے روکا کریں) یہ الگ بات ہے کہ تبلیغ دین کے مختلف اہم شعبوں میں مثلاً تعلیم وتدریس، تزکیہ نفوس، وعظ وتقریر کی طرح دعوت وتبلیغ بھی ایک شعبہ ہے، نیز اگر تمام لوگ دعوت وتبلیغ سے جڑجائیں تو دین کے دیگر شعبوں اور دنیوی ضروری امور مثلاً تجارت، کھیتی باڑی، ملازمت، علاج ومعالجہ وغیرہ کیسے انجام پائیں گے، اس لیے جس طرح دیگر شعبوں سے جڑنا فرضِ عین نہیں اسی طرح دعوت وتبلیغ سے جڑنا بھی فرض عین نہیں ہے۔</p><p dir=""RTL"">
	وفي مرقاة المفاتیح: ”ألا ہل بغلت“ أي أعلمتکم ما أنزل إلیّ من ربّي․ فلیبلغ أي لیخبر الشاہد أي الحاضر الغائب أي حقیقةً أو حکمًا․ (۵/۵۶۴، مکتبہ اشرفیہ دیوبند)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",159241,deoband,عقائد و  ایمانیات,دعوت و تبلیغ
31-Aug-2020,https://darulifta-deoband.com/home/ur/dawah-tableeg/159132,تزكیہ نفس كے لیے كیا تبلیغی محنت كافی ہے؟,کیا فرماتے ہیں علمائے کرام ومفتیان عظام اس مسئلہ کے بارے میں کہ مجھے اللہ سبحانہ وتعالی نے تبلیغ کی محنت میں ۴/ مہینے لگانے کی توفیق دی۔ اور پچھلے تین سالوں سے اس محنت سے جڑا ہوا ہوں۔ پوچھنا یہ ہے کہ مسجد کے ساتھیوں میں سے کچھ ساتھی جب بیان / ترغیب دیتے ہیں تو دل ان کی بات سننے کو نہیں کرتا، دل میں جنگ شروع ہو جاتی ہے کہ یہ یہی بات کیوں کر رہا ہے، پتا نہیں یہ خود پسندی کی وجہ ہے یا کوئی اور، اس کے بارے میں بتائیں۔ (۲) دوسرا یہ کہ جیسے جیسے وقت گذرتا جارہا ہے مجھے یہ ڈر لگا رہتا ہے کہ میں عجب، خود پسندی، کینہ اور کبر وغیرہ جیسی بیماریوں میں مبتلا نہ ہو جاوٴں (ہر نیا دن عذاب بنا رہتا ہے)، کیا ان بیماریوں سے بچنے کے لیے یہی تبلیغ کی محنت کافی ہے، یا ان کے لیے کوئی اور محنت بھی ضروری ہے؟ (کیونکہ ہر بیماری کے بارے میں خود سے پتا چلانا بھی مشکل ہے اور علاج بھی تو خود کرنا ناممکن ہے)۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa: 604-547/M=6/1439</span></p><p dir=""RTL"">
	اصول وآداب کی رعایت کے ساتھ تبلیغی محنت بھی جاری رکھیں، اس محنت کے ذریعے بھی صفاتِ حمیدہ پیدا ہوتی ہیں اور مذکورہ باطنی امراض (عُجب، کینہ کبر وغیرہ) کے علاج کے لیے روحانی معالج کسی پیر ومرشد، صاحب نسبت اور متبع سنت بزرگ سے بھی اصلاحی تعلق قائم کرلیں اور اپنے احوال سے مطلع کریں اور ان کی تجویز کردہ ہدایات ووظائف پر عمل کریں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",159132,deoband,عقائد و  ایمانیات,دعوت و تبلیغ
01-Sep-2020,https://darulifta-deoband.com/home/ur/dawah-tableeg/159084,اہل سنت كی مسجد میں نماز پڑھنا؟,حضرت، ہم مہاراشٹر کے ایک شہر میں رہتے ہیں اور الحمد للہ! تبلیغی جماعت سے تعلق رکھتے ہیں۔ ہم جس محلے میں رہتے ہیں وہاں کی مسجد میں اہل سنت کی مسجد ہے۔ اس مسجد میں اہل سنت کے حساب سے نماز ادا ہوتی ہے اور امام کی قرأت کا تلفظ بھی مخرج کے حساب سے نہیں۔ ہمارے گھر سے ۱۵/ منٹ کی دوری (پیدل کا فاصلہ) پر الحمد للہ! تبلیغی جماعت کی مسجد ہے۔ مسئلہ یہ ہے کہ ہمارے والد کو اہل سنت کی مسجد میں نماز ادا کرنے میں دقت ہوتی ہے، وہ کہتے ہیں کہ ان کا نماز میں دھیان نہیں لگتا اور تبلیغی جماعت میں والد صاحب ہر بار جانہیں سکتے کیونکہ ان کو ہارٹ کی تکلیف ہے اور پیدل چلنے سے ڈر بھی لگتا ہے۔ اسی کشمکش میں ان کی نماز فوت ہو رہی ہے۔ برائے مہربانی جلد از جلد اس کا کوئی حل بتائیں، کرم ہوگا۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa: 623-529/sd=6/1439</span></p><p dir=""RTL"">
	&nbsp;اہل سنت کی مسجد سے مراد اگر بریلوی کی مسجد ہے ، تو اگر اس کے امام کے عقائد شرکیہ نہیں ہیں، وہ نماز میں کوئی ایسی غلطی نہیں کرتا ہے ، جس سے نماز فاسدہوجاتی ہے ، تو آپ کے والد صاحب کو تنہا نماز پڑھنے کے بجائے اسی کے پیچھے جماعت سے نماز پڑھنی چاہیے ، ایسا بھی کیا جاسکتا ہے کہ جتنی نمازیں صحیح العقیدہ امام کے پیچھے دوسری مسجد میں پڑھی جاسکتی ہیں، اسی میں پڑھیں اور جس نماز میں دوسری مسجد جانا دشوار ہو، اس میں قریب کی مسجد میں پڑھ لیں اور مطلق نماز چھوڑدینے کی تو بالکل گنجائش نہیں ہے ۔&nbsp;</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",159084,deoband,عقائد و  ایمانیات,دعوت و تبلیغ
01-Sep-2020,https://darulifta-deoband.com/home/ur/dawah-tableeg/158879,مستورات کا دعوت وتبلیغ کے لیے جماعت نکلنا اور اس سے متعلق چند سوالات,(۱) کیا عورتوں کا جماعت میں جانا صحیح ہے؟ (۲) کیا عورت پر تبلیغ فرض ہے؟ (۳) سنا ہے کہ آپ نے عدم جواز کا فتوی دیا ہے۔ (۴)کیا اس کی پی ڈی ایف فائل مل سکتی ہے؟ (۵) لوگ کہتے ہیں کہ پاکستان کے علماء آخر کیوں اس چیز کے خلاف نہیں ہیں؟ یعنی عورتوں کی تبلیغی جماعت میں جانے کے خلاف کیوں نہیں ہیں اگر یہ غلط ہے تو؟ جواب عنایت فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:581-533/N=6/1439</span></p><p dir=""RTL"">
	&nbsp;(۱، ۴): مستورات کا دعوت وتبلیغ کے لیے جماعت میں نکلنا اور اس کے لیے سفر کرنا دار العلوم دیوبند اور مظاہر علوم سہارن پور کے متفقہ فتوے کے مطابق منع ہے اگر چہ وہ اپنے محارم ودیگر شرائط کے ساتھ نکلیں،اس سلسلہ میں دار العلوم دیوبند کے سابق صدر مفتی: حضرت مولانا مفتی سید مہدی حسن صاحب شاہ جہاں پوری نور اللہ مرقدہ کا تحریر کردہ اور حضرت مولانا مفتی سعید احمد صاحب اجراڑوی<span dir=""LTR""></span>سابق صدر مفتی مظاہر علوم سہارن پور اور حضرت مولانا عبد اللطیف صاحب<span dir=""LTR""></span>ناظم مظاہر علوم سہارن پور کاتصدیق کردہ فتوی منسلک ہے، اسے ملاحظہ فرمالیں۔</p><p dir=""RTL"">
	(۲): جی نہیں! عورتوں پر گھر سے نکل کر تبلیغ کرنا فرض نہیں؛ البتہ گھر اور محلہ کی مستورات آپس میں ایک دوسرے کو دین کی باتیں بتائیں اور گھروں کا ماحول دینی بنانے کی کوشش کریں۔</p><p dir=""RTL"">
	(۳): آپ نے صحیح سنا۔</p><p dir=""RTL"">
	(۵): یہ بات آپ پاکستان ہی کے علما سے معلوم کریں ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",158879,deoband,عقائد و  ایمانیات,دعوت و تبلیغ
01-Sep-2020,https://darulifta-deoband.com/home/ur/dawah-tableeg/158790,نماز کے فوراً بعد حدیث اور ترجمہ سنانا؟,کیا فرماتے ہیں علمائے کرام اور مفتیان عظام درج ذیل مسئلے کے بارے میں کہ زید تعلیم کی غرض سے لکھنئو میں مقیم ہے اور جہاں وہ رہتا ہے وہاں ایک مدرسہ ہے اور اسی سے متصل مسجد ہے وہاں فجر اور عصر میں دعا کے بعد حدیث پڑھنے کا معمول ہے اور اب ایک نئی روایت یہ شروع ہوئی ہے کہ فجر اور عصر کے علاوہ ہر نماز میں سلام پھیرنے فوراً بعد مدرسہ کا ایک بچہ صف کے آگے کھڑا ہوکر پہلے عربی میں حدیث پڑھتا ہے اور پھر اس کا اردو میں ترجمہ کرتا ہے اس میں پریشانی یہ ہے کہ اگر کوئی چھوٹی ہوئی رکعت پوری کرتا ہے تو اس کو خلل واقع ہوتی ہے تو کیا اس حالت میں یہ حدیث پڑھنا ضروری ہے یا یہ قرآن و حدیث یا صحابہ کے عمل سے ثابت ہے یا پھر ہمارے فقہا نے اس کی کہیں اجازت دی ہے ۔ برائے مہربانی اس سوال کا جواب دے کر امت کی صحیح رہنمائی کریں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa: 534-435/SD=5/1439</span></p><p dir=""RTL"">
	&nbsp;سلام پھیرنے کے فورا بعد حدیث پڑھنا اور اس کا ترجمہ سنانا جس میں مسبوق کی نماز میں خلل واقع ہو؛ صحیح نہیں ہے ،اگر مسجد میں اصلاح و تربیت کا کوئی نظام بنانا ہو،تو جن نمازوں کے بعد سنتیں نہیں ہیں ، اُن میں دعا کے بعد اور جن نمازوں کے بعد سنتیں ہیں، اُن میں سنتوں سے فارغ ہونے کے بعد بنانا چاہیے ۔ ( مستفاد : فتاوی محمودیہ :۳۲۰/۴، ط: ڈھابیل )&nbsp;</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",158790,deoband,عقائد و  ایمانیات,دعوت و تبلیغ
01-Sep-2020,https://darulifta-deoband.com/home/ur/dawah-tableeg/158766,کیا تبلیغ میں نکلنا توبہ کی شرط ہے؟,کیا توبہ کے لئے تبلیغ جماعت میں نکلنا توبہ کی شرط ہے ؟ کیونکہ بہت سارے جماعت کے احباب مذکورہ بات پر مصر ہیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa: 549-540/D=6/1439</span></p><p dir=""RTL"">
	توبہ کی حقیقت ہے اپنے گناہوں سے لوٹنا واپس آنا اور اللہ تعالیٰ کی طرف متوجہ ہونا اس کی چار شرطیں ہیں:</p><p dir=""RTL"">
	(۱) توبہ کرنے والا اس گناہ کو بالکل ترک کردے۔ (۲) اس پر دل سے نادم اور شرمندہ ہو (۳) آئندہ پختہ ارادہ کرے کہ اب کبھی ایسا گناہ نہیں کریں گے (۴) اگر شیطان کے بہکانے سے پھر اس گناہ کا ارتکاب ہوجائے تو جلد سے جلد توبہ کرلے، گناہ کو بالکلیہ ترک کرنے کے لیے کبھی یہ بھی مناسب ہوتا ہے کہ آدمی اس ماحول اور جگہ سے بھی الگ ہوجائے جہاں گناہ ہوا ہے یا ان ساتھیوں سے بھی دوری اختیا کرلے جن کے ساتھ گناہ ہوا ہے، اس کے لیے ہرشخص اپنے حال کے مطابق یا شیخ ومصلح کے مشورہ کے مطابق ماحول اور جگہ تبدیل کرسکتا ہے لیکن یہ توبہ کے لیے شرط نہیں ہے بلکہ سبب مفید کے درجہ میں ہے۔ متعین طور پر تبلیغ میں نکلنے کو توبہ کی شرط کہنا درست نہیں ہے، گو عمومی حکم کے ایک فرد کی حیثیت سے یہ بھی داخل ہو۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",158766,deoband,عقائد و  ایمانیات,دعوت و تبلیغ
