issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
10-Mar-2021,https://darulifta-deoband.com/home/ur/halal-haram/603119,فائبر انٹرنیٹ کا کاروبار جائز ہے یا ناجایز ؟,فائبر انٹرنیٹ کا کاروبار جائز ہے یا ناجائز ؟میرے بھائی چاہتے ہیں کہ ہم دونوں مل کر یہ کاروبار کریں؟ کیا اس میں نوکری کر سکتے ہیں ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:538-424/N=7/1442</p><p>&nbsp;(۱ - ۳): جائزمقاصد کے ساتھ فائبر انٹرنیٹ کا کاروبار جائز ہے، آپ دونوں بھائی مل کر یہ کاروبار کرسکتے ہیں اور اس میں نوکری بھی جائز ہے ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",603119,deoband,متفرقات,حلال و حرام
15-Mar-2021,https://darulifta-deoband.com/home/ur/halal-haram/603089,سود کے پیسوں سے حلال کاروبار کرنا درست ہوگا یا نہیں ؟,میرے والد نے مھجے 50000 روپے دیے ھیں یہ 50000 سود کے پیسے ہیں، کیا میں ان پیسوں سے اپنے دوست کے ساتھ انوسمینٹ کر کے کاروبار کرسکتا ہوں ؟ پھر یہ 50000 والد کو واپس کردوں گا نفع آنے پر۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 643-497/B=07/1442</p><p>&nbsp;آپ ان پیسوں سے تجارت کرسکتے ہیں۔ مگر بہتر نہیں ہے۔</p><p>----------------------------</p><p>جواب صحیح ہے؛ البتہ سود کے پیسے جلد از جلد اس کے مصرف میں لگاکر سبکدوش ہونا چاہئے، اس میں تاخیر نہیں کرنی چاہئے، نیز ان سے کسی طرح کا فائدہ اٹھانا بھی کراہت سے خالی نہیں۔ (ن)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",603089,deoband,متفرقات,حلال و حرام
16-Mar-2021,https://darulifta-deoband.com/home/ur/halal-haram/603088,سودی پيسوں سے كیا گیا كاروبار حلال ہوگا یا نہیں؟,میرے والد بینک میں نوکری کرتے تھے اب وہ ریٹائرڈ ھو گئے ہیں تو اب ان کو بینک سے پیسے ملے ہیں کیا میں ان پیسوں سے حلال کاروبار کرسکتا ہوں ؟ میری نیت یہ ہے کہ جتنے پیسے میں ان سے لوگا بعد میں ان کو وہ سب پیسے واپس کردوں گا اس صورت میں میرا کاروبار حلال ہو گا یا نہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 671-507/B=07/1442</p><p>&nbsp;جب آپ اس نیت سے پیسے لے رہے کہ کاروبار کرنے کے بعد اس کی آمدنی میں سے وہ پیسے واپس دے دوں گا تو اس صورت میں بینک کے پیسوں سے آپ کاروبار جائز و حلال رہے گا اور اس سے حاصل شدہ آمدنی آپ کے لئے حلال ہوگی۔ کتب فقہ میں ایسا ہی لکھا ہوا ہے۔</p><p>-----------------------------</p><p>جواب صحیح ہے؛ البتہ مزید یہ عرض ہے کہ اگر آپ بینک سے ملے ہوئے پیسوں سے احتراز کریں تو بہتر ہے۔ (ن)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",603088,deoband,متفرقات,حلال و حرام
21-Feb-2021,https://darulifta-deoband.com/home/ur/halal-haram/603081,جعلی سرٹیفکٹ بنوانا,زید بالکل اسکول نہیں گیا اب اسے سرکاری کاغذات بنوانا ہے جس میں 8یا10ویں کلاس کے سرٹیفکیٹ کی ضرورت پڑتی ہے اس کے بغیر کوئی چارہ نہیں تو کیا ایسی صورت میں وہ پیسے دیکر سرٹیفکیٹ بنوا سکتا ہے یا نہیں ؟ اور کیا وہ گنہگار ہوگا ؟براہ کرم رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 519-432/M=07/1442</p><p>&nbsp;صورت مسئولہ میں جب زید اسکول نہیں گیا اور اس نے آٹھویں یا دسویں کلاس کی تعلیم حاصل نہیں کی تو ایسی صورت میں آٹھویں یا دسویں کی جعلی سرٹیفکٹ بنوانا ناجائز اور غلط ہے اور ناجائز کام کا ارتکاب گناہ ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",603081,deoband,متفرقات,حلال و حرام
28-Feb-2021,https://darulifta-deoband.com/home/ur/halal-haram/603076,کیا اسلامی ویڈیوز دیکھنا جائز ہے ؟,شیخ کیا اسلامی ویڈیوز دیکھنا جائز ہے ؟ دستاویزات کے ساتھ سوال کا جواب دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:520-408/N=7/1442</p><p>&nbsp;اسلامی ویڈیوز (جان دار کی تصاویر کے ساتھ دینی بیانات) اگر معتبر علمائے کرام کی ہوں تو انھیں سافٹ ویئر کے ذریعے صرف آڈیوز میں تبدیل کرلیا جائے یا کرالیا جائے، پھر ان سے استفادے میں کچھ حرج نہیں، اور اگر کسی کے لیے ویڈیو کو آڈیو میں تبدیل کرنا یا کرانا مشکل ہو اور کوئی ضروری بیان ہو تو ایسی صورت میں تصویر دیکھے بغیر صرف آواز سن کر استفادہ کرے اور لیپ ٹاپ یا موبائل وغیرہ کی اسکرین پر کوئی کپڑا وغیرہ ڈال دے ؛ کیوں کہ شریعت میں بلا ضرورت شرعیہ بالقصد وارادہ جان دار کی تصویر دیکھنا بھی ناجائز وممنوع ہے (جواہر الفقہ،۷:۲۶۴، ۲۶۵، رسالہ: تصویر کے شرعی احکام ، مطبوعہ: مکتبہ دار العلوم کراچی، احسن الفتاوی (۸: ۱۸۹، ۱۹۰مطبوعہ :ایچ، ایم سعید کراچی، اور مسائل خواتین، موٴلفہ: حضرت مولانا محمد یوسف صاحب لدھیانوی۲: ۵۹۰وغیرہ)۔</p><p>وھذا کلہ مصرح في مذھب المالکیة وموٴید بقواعد مذھبنا، ونصہ عن المالکیة ما ذکرہ العلامة الدردیر فی شرحہ علی مختصر الخلیل، حیث قال:یحرم تصویر حیوان عاقل أو غیرہ إذا کان کامل الأعضاء إذا کان یدوم، وکذا إن لم یدم علی الراجح کتصویرہ من نحو قشر بطیخ، ویحرم النظر إلیہ إذ النظر إلی المحرم لحرام اھ( از بلوغ القصد والمرام، ص :۱۹)۔ (جواہر الفقہ، ۷: ۲۶۵، مطبوعہ: مکتبہ دار العلوم کراچی)۔</p><p>وفي حاشیة الفتال:وذکر الفقیہ أبو اللیث في تأسیس النظائر أنہ إذا لم یوجد في مذھب الإمام قول في مسألة یرجع إلی مذھب الإمام مالک؛ لأنہ أقرب المذاھب إلیہ اھ (رد المحتار، کتاب الطلاق، باب الرجعة، مطلب: مال أصحابنا إلی بعض أقوال مالک رحمہ اللّٰہ ضرورةً، ۵: ۴۲، ط: مکتبة زکریا دیوبند، ۹: ۶۵۱، ۶۵۲، ت: الفرفور، ط: دمشق)۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",603076,deoband,متفرقات,حلال و حرام
08-Mar-2021,https://darulifta-deoband.com/home/ur/halal-haram/603070,گوبر سے گھر مسجد یا مدرسہ کے صحن کو لیپنا کیسا ہے ؟,ہمارے ایک ساتھی ہیں وہ اپنا ایک مکتب کے فرش کو گوبر سے لیپوا رہے تھے تو میں نے انہیں گوبر سے لیپنے سے منع کیا تو وہ کہنے لگے سوکھنے کے بعد گوبر پاک ہوتا ہے اب سوال یہ ہے کیا گوبر سے گھر مکتب یا پھر مسجد وغیرہ کا صحن لیپ سکتے ہیں برائے مہربانی مدلل جواب عنایت فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 676-561/H=07/1442</p><p>&nbsp;مسجد یا مکتب کو گوبر سے نہ لیپنا چاہئے کہ یہ جائز نہیں گھر میں اگر لپائی کرلیں تو گنجائش ہے گوبر سوکھ جانے کے بعد پاک نہیں ہوتا بلکہ وہ ناپاک ہی رہتا ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",603070,deoband,متفرقات,حلال و حرام
20-Sep-2023,https://darulifta-deoband.com/home/ur/halal-haram/603065,احساسات كی عكاسی كرنے والی تصاویر / كارٹون كا استعمال كرنا كیسا ہے؟,"حضرات مفتیانِ اکرام ایک مسئلہ دریافت کرنا ہے وہ یہ کہ ہم لوگ اپنی تصاویر یا وڈیو تو الحمد للہ نہیں بناتے مگر اپنے علمائے اکرام کے اصلاحی بیانات اگر ان کے چہرے پر نہ دیکھا جائے تو کیا سنا جا سکتا ہے ؟یعنی گیلری میں وڈیو بیان رکھا جا سکتا ہے ؟
2 کچھ علماء اکرام کی دینی ایپز ہیں ان کے اوپر ان حضرات کی تصاویر ہوتی ہیں تو وہ ایپ ڈاؤنلوڈ کرنا جائز ہے یا ناجائز ؟ 3 موبائل میں چھوٹی چھوٹی ایموجیز emojies ہوتی ہیں جو انسان کی فیلنگز ظاہر کرتی ہیں ان کی آنکھوں کے اور منہ کا نشان ہوتا ہے اس طرح محسوس ہوتا ہے کہ یہ کوئی جاندار کا منہ اور آنکھیں ہیں لیکن حقیقت میں وہ جاندار پورا کوئی نہیں ہوتا تو کیا یہ استعمال کرنا جائز ہے یا نہیں؟","<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 671-545/H=07/1442</p><p>&nbsp;(۱) ویڈیو میں تصاویر کو گیلری میں رکھنا بھی کراہت سے خالی نہیں۔</p><p>(۲) ایسے اَیپ کو ڈاوٴن لوڈ کرنا بھی نہ چاہئے۔</p><p>(۳) اِن (ایموجیز) سے احتراز چاہئے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",603065,deoband,متفرقات,حلال و حرام
16-Mar-2021,https://darulifta-deoband.com/home/ur/halal-haram/603046,کالج کے لیکچرار اور پروفیسرز کااسباق پڑھانے كے بعد كالج میں نہ ركنا؟,"میں ایک کالج میں لیکچرار ہوں ہمارے ہاں کالج میں کلاسز کا آغازصبح 9 بجے سے ہوتی ہے ، اور تقریبا 1:30 pm پر ختم ہوتی ہے ، کالج کے استاتذہ تو صبح 9 بجے سے پہلے حاضر ہوتے ہیں لیکن پھر ہر ایک اپنے اپنے اسباق پڑھا کر واپس جاتے ہیں کوئی 12 بجے تو کوئی 12:30 پر وغیرہ۔ یاد رہے کہ اپنا کلاس چھوڑ کے کوئی نہیں جاتا، اور جب کبھی پرنسپل کی طرف سے کسی کام یا میٹنگ کیلئے کہی جائے تو تب بھی کالج سے نہیں جاتے تو اب پوچھنا یہ ہے کہ؛
1- اساتذہ کا اس طرح 2 بجے سے پہلے کالج سے جانا شرعا جائز ہے جبکہ کالج میں ٹھرنے کا کوئی فائدہ بھی بظاہرنہیں ہے ؟
2- حکومت کے طرف سے وقت صبح 8 سے دو بجے تک چھ گھنٹے ہے جبکہ کالج انتظامیہ موسم کے مطابق صبح کلاسز کے آغاز میں تبدیلی کرتی ہے تو کلاسز 9 بجے شروع ہوتی ہے تو اساتذہ کیلئے 8 بجے پہنچنا لازمی ہے یا 9 بجے ؟ جبکہ پرنسپل یا منیٹرنگ ٹیم کی طرف سے 9 بجے سے پہلے نہ انے پر کوئی ناگواری کا اظہار نہیں کی جاتی۔","<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 661-628/H=07/1442</p><p>&nbsp;(۱، ۲) جب کہ کالج میں ٹھہرنے کا کوئی فائدہ نہیں اور اپنے اپنے کارہائے مفوضہ پوری طرح انجام دے کر نیز متعلقہ اسباق پڑھا کر جاتے ہیں تو اس میں کچھ حرج نہیں۔ الغرض مقررہ ڈیوٹی میں کچھ کوتاہی نہ ہو اور ذمہ داران کی طرف سے اجازت ہے تو اسباق پڑھا کر چھٹی سے پہلے چلے جانے میں کچھ مضائقہ نہیں ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",603046,deoband,متفرقات,حلال و حرام
11-Mar-2021,https://darulifta-deoband.com/home/ur/halal-haram/603031,رقم ٹرانسفر كرنے اوراس پر اجرت لینے كا حكم؟,بعد سلام عرض ہے کہ اگر کوئی شخص دکان پر آن لائن روپیوں کو کسی کو نکال کر دے اور اس پر کمیشن لے فرض کرو کسی نے ۱۰۰۰۰دس ہزار روپیے نکالے اور دکاندار ۱۰۰۰۰دس ہزار نکالنے کے اس سے ۲۰۰دوست سو روپیے کمیشن کے طور پر لیے اسی طرح کسی دوسرے کو ۱۰۰۰۰دس ہزار روپیے بھیجے تو دکاندار نے روپیے بھیجنے کے ۲۰۰دو سو روپیے کمیشن کے طور پر لیے تو کیا یہ روپیے لینا درست ہوگا؟ مہربانی کرکے رہبری فرمائے عین نوازش ہوگی آپ کی۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 647-601/H=07/1442</p><p>&nbsp;اگر قانونی اعتبار سے آن لائن روپئے نکالنے اور بھیجنے میں کوئی جرم نہ ہو اور کوئی شخص اپنی اجرت (کمیشن) صاف طے کرکے الگ سے لے تو اس میں کچھ حرج نہیں، روپئے نکالنے اور بھیجنے پر اجرت لے لینا درست ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",603031,deoband,متفرقات,حلال و حرام
16-May-2021,https://darulifta-deoband.com/home/ur/halal-haram/603027,پی ایم سوندھی یوجنا كا كیا حكم ہے؟,میں ایک گلی فروش ہوں ٹھیلا لگاتا ہوں ۔ مرکزی حکومت نے ایک اسکیم لائی ہے جس کا نام پی ایم سودھان یوجنا { Pm svanidhi yojna } ،کیا میں اس اسکیم کو لے سکتا ہوں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:560-678/L=9/1442</p><p>&nbsp;مذکورہ بالا صورت میں اگر اس اسکیم کے تحت رقم لینے کی صورت میں سود کی ادائیگی کرنی پڑے گو اس کی شرح کم ہو تو اس اسکیم سے فائدہ اٹھانے کی اجازت نہیں ہوگی ؛ لیکن اگر کوئی ایسی صورت بنے کہ جس میں جتنی رقم حکومت کی طرف سے ملی ہے اتنی ہی یا اس سے کم ادا کرنی پڑے تو پھر اس اسکیم سے فائدہ اٹھانے کی گنجائش ہوگی ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",603027,deoband,متفرقات,حلال و حرام
