issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
14-Jul-2021,https://darulifta-deoband.com/home/ur/dua-supplications/605543,مجھے لگا كسی جن نے پریشان كیا؟,میں یہ بات معلوم کرنا چاہتا ہوں کہ ایک بار میں سونے کے لئے لیٹا۔تو عجیب احساس ہوا۔اور جنسی لذت محسوس ہوئی۔لگا کوئی جن ہے ۔مگر یقین نہیں۔ اور تقریبا پوری رات جاگتا رہا۔کئی بار اب ہو چکا ہے ۔آیت الکرسی ،سورہ فاتحہ ،فلق،ناس دم کرنے کے بعد بھی فائدہ نہیں ہوا۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:966-613/sd=12/1442</p><p>&nbsp;مسنون دعائیں اور منزل پڑھتے رہیں اور کسی اچھے عامل سے رجوع کرلیں ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",605543,deoband,متفرقات,دعاء و استغفار
13-Aug-2021,https://darulifta-deoband.com/home/ur/dua-supplications/605447,والدہ کی بیماری کے لئے دعا کی درخواست؟,میری والدہ بیمار ہیں، اپ سے دعا کی خاص درخواست ہے ، میری والدہ کافی وقت سے بیمار رہتی تھی۔ ایک ۰۲۰۲میں رمضان کے بعد بیت الخلاء سے نکلنے کے بعد چل کر آئیں اورگر کر بیہوش ہو گئیں، اس کے بعد کئی بار بیہوش ہوئیں۔ داکٹر سے علاج چلتا رہا اور بلڈ کی جانچ کرائی (.hemoglobin (4 ٹھا ۔ لیکن ۱۲۰۲کے شروع رمضان میں پھر سے والدہ بیہوش ہوئیں تین بار۔پھر جانچ کرئی (hemoglobine (3.9 نکلا۔ ڈاکٹر نے بلڈ چڑانے کو کہا ہم نے تین بوتل چڑھوادیا ۔ لیکن عید کے بعد پھر والدہ بیہوش ہونے لگی ہم نے جانچ کرائی تو(hemoglobine (3.3 نکلا۔ہم دیکھ کر حیران ہوگئے ، خون بڑھنے کے بجائے اور کم ہو گیا۔ میری والدہ چل پھر نہیں رہی ہیں۔ہر وقت لیٹی رہتی ہیں۔بہت کمزوری ہے ، ڈاکٹر نے پھر بلڈ چڑھانے کو کہا اور جانچ کرنے کو کہا ہے ۔ خون بن نہیں رہا ہے یا کوئی وقت ہے ، کچھ لوگوں نے مجھے بہت ڈرا دیا ہے والدہ کی بیماری کو لیکر ۔میں ایک غریب مسلمانوں میں سے ہوں ۔۔ میں بہت پریشان ہوں اللہ کے سوا میں نے کسی سے اپنی پریشانی نہیں کہی۔۔ مہربانی کرکے کچھ دعا وغیرہ بتائیں ۔ میری والدہ کو جلد شفاء ہو جائے ۔۔۔ ۲۸۷۱۵۶۶۹۶۹ - نمبر 9696651782.,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 1188-855/B=01/1443</p><p>&nbsp;آپ کی والدہ محترمہ کی بیماری کا حال پڑھ کر ہمیں بھی بہت صدمہ ہوا۔ ہم دل سے ان کی صحت و شفاء کے لئے دعا کرتے ہیں۔ اللہ تعالی انھیں اس بیماری سے عافیت تامہ اور دائمہ عطا فرمائے۔ گھر کے سب لوگ یَا سَلاَمُ یَا سَلاَمُ پڑھتے رہیں۔ والدہ اگر پڑھ سکتی ہیں تو وہ بھی پڑھتی رہیں۔ اور یہ دعا سات مرتبہ پڑھ کر ان پر دم کردیا کریں۔ أَسْألُ اللّٰہَ الْعَظِیْمَ رَبَّ الْعَرْشِ الْعَظِیْمِ أن یَّشْفِیَہَا۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",605447,deoband,متفرقات,دعاء و استغفار
07-Jun-2021,https://darulifta-deoband.com/home/ur/dua-supplications/605337,دعا دینی ہو تو مرد كے لیے جزاكَ اللہ اور عورت كے لیے جزاكِ اللہ كہنا چاہیے؟,اگر ہم کسی کو جزاک اللہ کہتے ہیں تو کیا یہ مرد اور عورت کے لیے دونوں کے لیے صحیح ہے یا پھر عورت کے لیے جزاک اللہ(jazakillah) استعمال کرسکتے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 1005-645/B=10/1442</p><p>&nbsp;اگر کسی کام کے کرنے پر مرد کو دعا دینی ہے اور عربی میں دعا دینی ہے تو جَزَاکَ اللّٰہُ خَیْراً کہے، اور جب عورت کو دعا دی جائے تو جَزَاکِ اللّٰہُ خَیْراً کہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",605337,deoband,متفرقات,دعاء و استغفار
30-Jul-2021,https://darulifta-deoband.com/home/ur/dua-supplications/605217,توبہ کی قبولیت کے بارے میں شكوك وشبہات,"حضرت مفتیان کرام، امید کرتا ہوں اپ سب بخیریت ہوں گے ۔میرے توبہ کے بارے میں2 سوالات ہیں ایک یہ کہ میں نے کسی سے سنا ہے توبہ کرنے کے بعد تین دفعہ سے زیادہ اس گناہ کو یاد کرنا گناہ ہے تو کیا اب بار بار اس گناہ کے توبہ کے قبولیت کے بارے میں سوچنا اور بار بار اس گناہ کے قبولیت کے شک ہونے میں اس گناہ پر توبہ کرنا خود ایک گناہ بن جائیگا؟
دوسرا سوال یہ کہ سورت نساء کی ایت نمبر 110 اور 116 کی مکمل اور جامع تفسیر چاہیے کیونکہ 110 میں ہر طرح کی گناہ کی معافی کی یقین دہانی کا بیان ہے لیکن ساتھ میں 116 میں فرمایا جاتا ہے کہ اللہ جس گناہ کو چاہے معاف کریگا، تو مہربانی فرماکر میری ان شکوک وشبہات کو دور کریں۔","<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:1050-879/L=12/1442</p><p>&nbsp;توبہ کرلینے کے بعد اسے مکرر سہ کرر یاد کرناگناہ نہیں ہے ؛ البتہ جب آدمی صدق دل سے توبہ کرلے اور آئندہ نہ کرنے کا عزم کرلے اور وہ اسی پر برقرار رہے تو اس کو امید رکھنی چاہیے کہ میری توبہ قبول ہوگئی ، اگر توبہ کی قبولیت کے بارے میں وساوس آئیں تو ان کی طرف توجہ نہ دینی چاہیے ، جہاں تک سورہ نساء کی آیت نمبر ۱۱۰اور آیت نمبر ۱۱۶میں تعارض کا مسئلہ ہے تو اس میں کوئی تعارض نہیں بلکہ پہلی آیت مومنین کے بارے میں کہ آدمی مومن رہتے ہوئے کوئی بھی گناہ کرلے خواہ صغیرہ ہو یا کبیرہ اور پھر توبہ کرلے تو اللہ تعالی اس کو معاف فرمادیں گے ؛ البتہ اگر آدمی شرک کرکے اسلام سے خارج ہوجائے یا پہلے سے ہی کوئی مشرک ہو اوروہ اسی حال پر باقی رہے تو اس شرک کواللہ تعالی معاف نہیں فرمائیں گے، ہاں! اگر وہ دنیا میں رہتے ہوئے شرک سے تائب ہوجائے اور مسلمان ہوجائے تو اللہ تعالی اس کے اسلام کوبھی قبول فرمالیں گے ۔</p><p>وَمَنْ یَعْمَلْ سُوئًا أَوْ یَظْلِمْ نَفْسَہُ ثُمَّ یَسْتَغْفِرِ اللَّہَ یَجِدِ اللَّہَ غَفُورًا رَحِیمًا (النساء:110) إِنَّ اللَّہَ لَا یَغْفِرُ أَنْ یُشْرَکَ بِہِ وَیَغْفِرُ مَا دُونَ ذَلِکَ لِمَنْ یَشَاءُ وَمَنْ یُشْرِکْ بِاللَّہِ فَقَدْ ضَلَّ ضَلَالًا بَعِیدًا (النساء:116) إِنَّ اللَّہَ لا یَغْفِرُ أَنْ یُشْرَکَ بِہِ فیموت عَلَیْہ یعنی الیہود وَیَغْفِرُ مَا دُونَ ذلِکَ الشرک لِمَنْ یَشاءُ لمن مات موحدا فمشیئتہ- تبارک وتعالی- لأہل التوحید․ (تفسیر مقاتل بن سلیمان 1/ 377)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",605217,deoband,متفرقات,دعاء و استغفار
07-Aug-2021,https://darulifta-deoband.com/home/ur/dua-supplications/605145,وظائف برائے زیادتی مال,کیا فرماتے ہیں علمائے کرام و مفتیان عظام کہ قرآن مجید کی کسی سورة کو بطورِ وظیفہ دنیاوی مال یا کاروباری ترقی کے لیے پڑھا جائے ، کیا ایسا کرنا جائز ہے ؟ یا اس سے اجتناب کیا جائے ۔دوسرا یہ کہ خواتین زیادہ تر اس عمل میں مبتلا ہیں اور کافی لمبے لمبے وظائف کرتی رہتی ہیں،جو کہ انکے لئے بھی کرنا مشکل ھوجاتا ہے ،لیکن وظیفہ چھوڑنے کو اس لئے تیار نہیں ھوتی کہ اگر چھوڑا تو نقصانات شروع ھوجائیں گے ۔ اس بارے میں تفصلا جواب مرحمت فرمائیں۔شکریہ,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 1021-838/D=12/1442</p><p>&nbsp;(۱) قرآن کریم کے کسی سورة کو بطور وظیفہ پڑھنا دنیاوی مقاصد کے لئے جائز ہے۔</p><p>(۲) لیکن بہتر یہ ہے کہ اور یہی اَوراد و وظائف سے مقصود ہونا چاہئے کہ انھیں محض رضاء الٰہی کے لئے پڑھا جائے دنیوی مقاصد خود بخود حاصل ہوجائیں گے۔</p><p>(۳) کسی کا اِن اَوراد و وظائف میں محض دنیوی مقاصد حاصل ہونے کے لئے اس قدر مشغول ہوجانا کہ اپنے آپ کو مشکلات میں ڈال دے مناسب نہیں اسی طرح یہ بھی مناسب نہیں کہ اس قدر وظائف کو لازم کرلیا جائے جس کی وجہ سے آئندہ پابندی کرنے میں دشواری ہو۔</p><p>(۴) وظیفہ کسی متبع سنت عالم سے پوچھ کر شروع کرنا چاہئے وہ اسی قدر بتائے گا جو ا س کے لئے مناسب ہوگا پھر چھوڑنے سے نقصانات پیش نہیں آئیں گے۔</p><p>(۵) نماز اور دیگر فرائض و واجبات ترک کرکے صرف وظائف اختیار کرنا ٹھیک نہیں۔ جو دعائیں قرآن و احادیث میں آئی ہیں ان کے پڑھنے کا معمول بنایا جائے۔ اور صلاة الحاجة پڑھ کر یا فرض نمازوں کے بعد بہت اہتمام سے اللہ تعالی سے خشوع خضوع کے ساتھ دعا کی جائے۔</p><p>ارشاد خداوندی ہے: ادعونی استجب لکم۔ تم مجھ سے دعا کرو میں قبول کروں گا۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",605145,deoband,متفرقات,دعاء و استغفار
30-Jun-2021,https://darulifta-deoband.com/home/ur/dua-supplications/605001,معمولات كے لیے مستند دعائیں اور قرآنی آیات پر مشتمل تعویذات كی کتابوں كے نام بتائیں؟,ہر قسم کی قرآنی دعاؤں، منزل ،درود، اسماء الحسنٰی اور بالخصوص شفاء اور جنات،جادو اور تعویزگنڈوں سے نجات، وسوسوں ، برے خیالات اور وسوسوں سے بچنے کی دعائیں، صبح وشام کے اذکار اور وظائف و معمولات نیز کی ہر چیز کی مستند دعائیں اور قرآنی آیات پر مشتمل تعویذات کے متعلق کتابیں یا کتاب تجویز کریں یا کوئی پی ڈی ایف کی شکل میں کتاب تصنیف کریں کرکے ارسال کریں تاکہ پورے امت مسلمہ کا فائدہ ہوسکیں کیونکہ بازار میں کتب تو بہت ہیں مگر سب کی تصدیق اور قوت خرید کی طاقت ہر کوئی نہیں اور ناہی اتنی دیر ساری کتابوں کا ایک دن میں مطالعہ کرنا اور چن چن کر دعائیں پڑھنا آسان ہے ۔ آپ کے جواب کا بے صبری سے انتظار رہے گا۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:866-604/sd=11/1442</p><p>&nbsp;چند کتابوں کی نام لکھے جاتے ہیں: مناجات مقبول اور اعمال قرآنی ( حضرت تھانوی ) الحزب الاعظم، مومن کا ہتھیار (حضرت مولانا یونس صاحب پالن پوری ) بیان الدعا (حضرت مولانا عاقل صاحب ) پر نور دعائیں ( حضرت مفتی محمد تقی عثمانی صاحب ) معارف الحدیث کی پانچویں جلد (حضرت مولانا منظور نعمانی  ) ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",605001,deoband,متفرقات,دعاء و استغفار
10-Jun-2021,https://darulifta-deoband.com/home/ur/dua-supplications/604945,كام میں مہارت پیدا كرنے كے لیے وظیفہ,اپنے کام یا فیلڈ میں مہارت حاصل کرنے کے لئے کچھ بتا دین کہ ذہن کھلتا جائے اس کام میں اور وہ سمجھ میں آنے لگ جائے کوئی دعا بتا دیں ۔ مجھے بہت ضرورت ہے حلال اور طیب ذرئعہ معاش کی کیا روزگار یا زرئعہ معاش کے لئے یا غنی یا مغنی 1100 بار والا وظیفہ کر سکتی ہوں ؟ یا کوئی اور دعا یا وظیفہ جو آپ فرما دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 807-676/M=10/1442</p><p>&nbsp;جی یَا مُغْنِیْ کا وظیفہ گیارہ سو (1100) مرتبہ پڑھ سکتی ہیں اس کے علاوہ یَا فَتَّاح کا وظیفہ ایک سو ایک (101) مرتبہ پڑھ سکتی ہیں۔ اسی طرح سورہ الم نشرح پڑھ سکتی ہیں۔ اور ہر نماز کے بعد آیة الکرسی پڑھ لیا کریں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",604945,deoband,متفرقات,دعاء و استغفار
26-Jun-2021,https://darulifta-deoband.com/home/ur/dua-supplications/604821,حل مشكلات كے لیے سوال میں مذكور اَوارد میں سے كونسا وِرد زیادہ اچھا ہے؟,مفتی صاحب! 1) مشکلات کے حل اور حاجت روائی کے لیے ان میں سے کونسا ورد کرنا زیادہ بہتر ہو گا۔ (الف) استغفر اللّٰہ۔ (ب) الحمدللّٰہ۔ (ج) صلی اللّٰہ علیہ وسلم۔ (د) سبحان اللّٰہ وبحمدہ۔ (ہ) سبحان اللّٰہ وبحمدہ سبحان اللّٰہ العظیم۔ (و)لا الہ الا انت سبحانک انی کنت من الظالمین۔ (ز)حسبنا اللّٰہ و نعم الوکیل۔ (ق) یا حی یا قیوم برحمتک استغیث۔ (ر) لا حول ولا قوة الا باللہ العلی العظیم۔ (ش) ایاک نعبد و ایاک نستعین۔ (ت) سورة اخلاص۔ 2) ان اوراد کے فضائل بھی بتا دیں۔ 3)میں اپنے نکاح کے لیے درج ذیل وظائف پڑھ رہا ہوں۔ (الف) ہر سوموار 4 رکعات نفل پہلی رکعت میں سورة الفاتحہ کے بعد 10 مرتبہ، دوسری رکعت میں 20 مرتبہ، تیسری رکعت میں 30 اور چوتھی رکعت میں 40 مرتبہ سورة اخلاص۔ اور نوافل کے بعد 75 مرتبہ اللھم اغفرلی اور 70 مرتبہ درود ابراہیمی۔ (سات سوموار تک). (ب) روزانہ دو رکعت نفل۔ اور 100 مرتبہ یا لطیف بمع اول آخر درود شریف۔ (40 روز تک)۔ (ج) 300 مرتبہ یا لطیف یا ودود بمع اول و آخر درود شریف روزانہ۔ (د)100 مرتبہ لاحول ولا قوة الا باللہ العلی العظیم بمع اول و آخر درود شریف روزانہ۔ لیکن ان وظائف سے ابھی تک کچھ فرق نظر نہیں آ رہی۔(روزے رکھنے اور نوافل سے بھی میری شہوت ختم نہیں ہو رہی)۔ 4) زیارت رسول صلی اللّٰہ علیہ وسلم کے لیے میں نے درج ذیل وظائف کیے تھے لیکن ان سے کچھ ظاہری اثر نظر نہیں آ رہا۔ (الف) 3 جمعے دو رکعات نفل بعد نماز مغرب۔ ہر رکعت میں سورة فاتحہ کے بعد 11 مرتبہ آیت الکرسی اور 11 مرتبہ سورة اخلاص۔ نوافل کے بعد 1000 مرتبہ صلی اللّٰہ علی محمد النبی الامی و علی آلہ وصحبہ وبارک وسلم۔ (ب) شب جمعہ دو رکعت نفل۔ دونوں رکعات میں سورة فاتحہ کے بعد 35 مرتبہ سورة اخلاص۔ نماز کے بعد 1000 مرتبہ صلی اللّٰہ علی محمد النبی الامی۔ 5) دعا میں توجہ اور اخلاص کے لیے کیا کیا جائے ۔ 6) روزگار کے لیے کوئی وظیفہ بتا دیں۔ 7) میرے لیے خصوصی دعا کی درخواست ہے ۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 1161-306T/H=11/1442</p><p>&nbsp;(۱) جتنے اوراد آپ نے لکھے ہیں سب درست ہیں۔ جس وقت جس ورد میں استحضار قلبی زیادہ محسوس کریں اُس وقت میں مذکورہ فی السوال وردوں میں سے اُسی کو اختیار کرلیا کریں۔</p><p>(۲) مجھے ان اوراد کے فضائل کی تحقیق مستحضر نہیں ہے۔</p><p>(۳) صرف وظائف ہی پڑھ رہے ہیں یا نکاح کے لئے دیگر مناسب اور ضروری کوششیں بھی انجام دے رہے ہیں؟</p><p>(۴) حضرت اقدس شیخ الحدیث مولانا محمد زکریا صاحب مہاجر مدنی رحمہ اللہ تعالی رحمة واسعہ کی مشہور کتاب ”فضائل درود شریف“ میں اس موضوع سے متعلق پوری بحث بغور کئی مرتبہ مطالعہ کریں پھر کوئی اشکال رہے تو لکھیں۔</p><p>(۵) حلال پاکیزہ غذا و لباس تقویٰ طہارت اداءِ حقوق اللہ و حقوق العباد اتباع سنت قلب و نظر اور زبان کی حفاظت حضراتِ سلف صالحین اولیاء کرام سے ربط قوی اور ان کی ہدایات ونصائح پر عمل کو حرزِجان بنالیں اور ہر چھوٹے بڑے گناہ سے اپنے آپ کو بچاتے رہیں، متقی نیک لوگوں سے مشورہ کرکے نیز استخارہ مسنون طریق پر کرلیں اور کسی متبع سنت شیخ کامل کی صحبت اختیار کریں اُن کی ہدایات پر عمل کریں۔</p><p>(۶) سورہٴ الم نشرح اور سورہٴ قریش ہر نماز کے بعد اور سونے سے قبل سات (7) مرتبہ اور اول و آخر درود شریف سات سات (7-7) دفعہ پڑھ کر دعاء کا اہتما کرتے رہیں۔</p><p>(۷) اللہ پاک آپ کو تمام مقاصد حسنہ میں پوری کامیابی عطاء فرمائے، ہر خیر سے نوازے اور ہر شر سے حفاظت فرمائے۔ آمین</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",604821,deoband,متفرقات,دعاء و استغفار
13-Jun-2021,https://darulifta-deoband.com/home/ur/dua-supplications/604770,ٹینش اور ڈپریشن کیلئے وظیفہ,میں اکثر بہت زیادہ ٹینشن میں ہوں اور ڈپریشن کا شکار ہوں، معمولی بات پر بہت زیادہ غصہ آتاہے اور بات جھگڑے تک پہنچ جاتی ہے جس کی وجہ سے معاشرے میں میرا اسٹیٹس گرتا جا رہاہے ۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 1045-711/B=10/1442</p><p>&nbsp;آپ کثرت سے حَسْبُنَا اللَّہُ وَنِعْمَ الْوَکِیْلُ کثرت سے پڑھتے رہیں، ان شا ء اللہ آپ کی یہ کیفیت جاتی رہے گی۔ درود شریف کا زیادہ پڑھنا بھی اس کے لئے مفید ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",604770,deoband,متفرقات,دعاء و استغفار
02-Jun-2021,https://darulifta-deoband.com/home/ur/dua-supplications/604625,خوف ودہشت دور كرنے كے لیے دعا بتائیں؟,میں بچپن سے ہی خوف میں مبتلا ہوں۔میری عمر 18سال ہے لیکن میں اپنے کمرے میں اکیلا نہیں سو سکتا ۔میرے دل میں ہر وقت ایک عجیب سا خوف رہتا ہے ۔برائے مہربانی میری پریشانی کا حل بتادیں ۔ جزاک اللہ,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 1019-648/B=10/1442</p><p>&nbsp;آپ کثرت سے یہ دعا پڑھتے رہیں۔ یہ حدیث شریف کی دعا ہے۔ اس کے پڑھنے سے آپ کا خوف ان شاء اللہ جاتا رہے گا۔</p><p>اَللّٰہُمَّ اسْتُرْ عَوْرَاتِيْ، وَآمِنْ رَوْعَاتِيْ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",604625,deoband,متفرقات,دعاء و استغفار
