issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/65692,"محمد (Muhammad ) کو اختصاراً ""Mohd"" لکھنے کی گنجائش تو ہے؛ لکین اچھا نہیں",میرا نام محمد انس(Muhammad Anas) ہے ، لیکن اسکول سرٹیفیکیٹ میں یہ Mohd Anas لکھا ہواہے۔ میرا سوال یہ ہے کہ کیا کسی بندے کا نام (Muhammad)کے بجائے اختصار میں (Mohd)لکھنا درست ہے؟میں ایک اسکول میں ملازم ہوں اور اکثر ماں باپ اپنے بچے کے نام Muhammad کی جگہ Mohdلکھ کر لاتے ہیں تومجھے کیا کرنا چاہئے؟شکریہ,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 839-842/SN=9/1437

محمد (Muhammad ) کو اختصاراً ""Mohd"" لکھنے کی گنجائش تو ہے؛ لکین اچھا نہیں؛ اس لئے جب تک کوئی خاص مصلحت (مثلاً فارم وغیرہ میں جگہ کی تنگی ) نہ ہو پورا ہی لکھنا چاہئے، آپ اسکول سرٹیفکیٹ میں اگر بآسانی تبدیلی کراسکیں تو کرالیں، ورنہ ضروری نہیں۔ 
(۲) والدین کا مناسب طریقے سے یہ بتلادیں کہ ” محمد “ پیارے نبی کا نام ہے؛ اس لئے بہتر ہے کہ ہم ” محمد “ پر مشتمل ناموں میں ” محمد“ کو مکمل لکھیں؛ تاکہ اس کی اہمیت میں کوئی کمی محسوس نہ ہو۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",65692,deoband,متفرقات,اسلامی نام
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/65655,کیا میں اس کا نام محمد ابو بکر صدیق رکھ سکتا ھوں؟,مجھے اللہ تعالی نے بیٹے سے نوازا ہے ، کیا میں اس کا نام محمد ابو بکر صدیق رکھ سکتا ھوں؟ جزاک اللہ,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 675-675/B=9/1437

جی ہاں رکھ سکتے ہیں۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",65655,deoband,متفرقات,اسلامی نام
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/65326,کیا زنیرہ (ZUNAIRA )نام رکھا جاسکتاہے؟ کیا اس کا مطلب جنت کا پھول ہے ؟,کیا زنیرہ (ZUNAIRA )نام رکھا جاسکتاہے؟ کیا اس کا مطلب جنت کا پھول ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: 910-1047/L=9/1437</span></p><p dir=""RTL"">
	&nbsp;</p><p dir=""RTL"">
	مجھے کسی لغت میں ”زنیرہ“ کے معنی جنت کا پھول نہیں مل سکا؛ البتہ ”زنیرہ“ نام کی ایک صحابیہ گذری ہیں، مدینہ ہجرت کرنے سے پہلے حضرت ابوبکر صدیق رضی اللہ عنہ نے جن سات غلاموں کو آزاد کیا ان میں سے ایک حضرت زنیرہ بھی تھیں، آزاد ہوجانے کے بعد ان کی بینائی جاتی رہی تو ان سے قریش نے کہا کہ زنیرہ کی بینائی لات و عزہ نے ختم کردی، حضرت زنیرہ نے جب یہ بات سنی تو فرمایا قریش غلط کہہ رہے ہیں اللہ کی قسم لات و عزی نہ کوئی نقصان پہنچا سکتے ہیں نہ کوئی نفع، یہ بات ایسے ایمان و یقین کے ساتھ فرمائی کہ اللہ تعالی نے ان کی بینائی لوٹادی۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",65326,deoband,متفرقات,اسلامی نام
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/65281,ہم نے اپنے پوتے کا نام زیان رکھا ہے، یہ نام كیسا ہے ؟,ہم نے اپنے پوتے کا نام زیان (Ziyan) رکھاہے، اس وقت اس کی عمر 18مہینے ہے، زیان کے معنی مختلف کتابوں اور اسلامی ویب سائٹوں میں ” کوئی نفیس شئی، شائستگی ، زینت، زیور، نفاست “ لکھاہے، یہ نام اسلام کے ممنوعہ ناموں کی فہرست میں نہیں ہے۔ جب وہ پیدا ہوا تھا تو اس کے پیٹ میں درد رہتا تھا نیز اس جسم کی جلد خشک تھی، ہم صرف دعا کرسکتے ہیں ، اب یہ بیماری تقریباً 97پرسینٹ ختم ہوگئی ہے۔ مقامی سرکاری کاغذات میں اس کا یہی نام لکھاگیاہے، سوال یہ ہے کہ کیا یہ نام رکھنا درست ہے؟اور کیا اس کی صحت پر اس نام کا کوئی اثرپڑا ہے جیساکہ اوپر مذکور ہوا؟ کیا ہم یہ نام رکھیں یا اور اس کو بدل دیں؟براہ کرم، جواب دیں۔ نوٹ؛ یہ سوال ی13 /اپریل 2016کو آیا تھا جس کا جواب ابھی تک نہیں آیاہے۔ اس لیے دوبارہ ارسال ہے۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p align=""left"" dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: </span>510-406<span dir=""LTR"">/D=</span>6/1438</p><p align=""left"" dir=""RTL"">
	آپ نے اس کا جو ترجمہ لکھا ہے صحیح ہے، اس کے معنی سجاوٹ، اور زینت کی چیز کے ہیں، لڑکے کا نام رکھنے میں کوئی حرج نہیں۔ البتہ کسی صحابی، نبی کے نام پر نام رکھنا یا اللہ تعالیٰ کی صفت کی طرف عبدیت کی اضافت کرکے رکھنا زیادہ بہتر ہے مثلاً عبد الرحمن۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",65281,deoband,متفرقات,اسلامی نام
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/65254,میں اپنی بیٹی کا نام” سید فقیہہ فاطمہ“ رکھنا چاہتاہوں,میں اپنی بیٹی کا نام” سید فقیہہ فاطمہ“(Syed Faqiha Fathima) رکھنا چاہتاہوں۔ براہ کرم، بتائیں کہ کیا یہ نام درست ہے یا نہیں؟ نیز اس کے معنی بھی بتائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: 812-973/L=9/1437</span></p><p dir=""RTL"">
	&nbsp;</p><p dir=""RTL"">
	”فاطمہ“ رسول مقبول صلی اللہ علیہ وسلم کی بیٹی حضرت فاطمہ الزہراء کا اسم گرامی ہے، یہ انتہائی بابرکت نام ہے، البتہ ”سید“ ہمارے عرف میں حضرت فاطمہ<span dir=""LTR""></span>کی اولاد کے ساتھ خاص ہے، اس لیے اگر آپ سادات گھرانے سے نہیں ہیں تو سید کا استعمال کرنا درست نہیں، اسی طرح فقیہہ کے معنی ”دین کا علم رکھنے والی“، ”علم فقہ سے واقفیت رکھنے والی“ کے ہیں، اس نام میں تزکیہ نفس اور بڑائی کے معنی پائے جاتے ہیں؛ لہذا فقیہہ نام رکھنا بھی مناسب نہیں ہے، قرآن میں ہے: ”لاتزکوا أنفسکم“ (النجم : ۳۲) شامی میں ہے: ” ولا یسمی بما فیہ تزکیة بنحو ”الرشید“ ”والأمین“ ․․․․․ ”ومن قولہ ولابما فیہ تزکیة المنع عن نحو فحي السدین وشمس السدین مع ما فیہ من کذب“ (الرد مع الدر: ۹/۵۹۹: زکریا) ․</p><p dir=""RTL"">
	آپ اپنی بیٹی کا نام صرف ” فاطمہ “ یا فاطمہ الزہراء “ رکھ دیں ’فقیہہ ‘ نہ لگائیں اور اگر آپ سید نہیں ہیں تو ”سیدہ“ بھی نہ لگائیں تاکہ کسی کو شبہ نہ رہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",65254,deoband,متفرقات,اسلامی نام
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/65248,ندرة فاطمہ كیسا نام ہے؟,میں اپنی بیٹی کا نام ” ندرة فاطمہ “ (Nudrath fathima) یا” فریحہ فاطمہ “(Fariha fathima.) رکھنا چاہتاہوں۔ براہ کرم، بتائیں کہ کیا یہ نام درست ہے؟ کونسا نام زیادہ اچھاہے؟ نیز ان کے معنی بھی بتائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: 865-876/L=9/1437</span></p><p dir=""RTL"">
	&nbsp;</p><p dir=""RTL"">
	” ندرہ “ کے معنی عمدگی، انوکھاپن، کم یابی کے ہیں۔ البتہ بچی کا نام رکھنے کے لئے ” ندرہ “ کے بجائے ” نادرہ “ کا لفظ زیادہ مناسب ہے۔ کہتے ہیں : ”ہو نادرة عصرہ“ وہ اپنے زمانے کی منفرد شخصیت ہے۔ ” فرحہ “ (بغیر یای کے ) کے معنی ” خوش “ اور ”شاداں “ کے ہیں۔ آپ اپنی بیٹی کا نام ” نادرہ فاطمہ “ یا ” فرحہ فاطمہ “ رکھ سکتے ہیں۔ یہ دونوں نام مناسب ہیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",65248,deoband,متفرقات,اسلامی نام
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/65219,ہمارا بیٹا ہواہے، میں اس کا نام ”صفوان انس“ رکھنا چاہتاہوں,ہمارا بیٹا ہواہے، میں اس کا نام ”صفوان انس“ رکھنا چاہتاہوں ۔ میں یہ جاننا چاہتاہوں کہ کیا یہ نام مناسب ہے یا نہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa ID: 811-972/L=8/1437</span></p><p dir=""RTL"">
	&nbsp;</p><p dir=""RTL"">
	” صفوان “ اور ” انس “ یہ دونوں صحابہ کے نام ہیں، ان ناموں کے رکھنے میں کوئی حرج نہیں ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",65219,deoband,متفرقات,اسلامی نام
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/65143,کیا ”ارحم خان“ نام رکھ سکتے ہیں؟,کیا ”ارحم خان“ نام رکھ سکتے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 697-679/H=8/1437

ارحم خان نام رکھ دینے کی گنجائش ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",65143,deoband,متفرقات,اسلامی نام
30-Aug-2020,https://darulifta-deoband.com/home/ur/islamic-names/64534,اطروبہ نام رکھنا,حضرت مفتی ساحب! میں یہ پوچھنا چاھتا ہوں کہ لڑکیوں کا نام اطروبہ رکھنا کیسا ہے ؟ اس کے کیا معنی ہیں اور اگر ممکن ہو تو لغت کا حوالہ بھی ضرور دیں۔ جزاکم اللہ خیرا,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 570-561/H=7/1437

اطروبہ کے بجائے بغیر الف کے طَرُوْبَہ رکھ دیں طروبہ کے معنی ہیں بہت زیادہ خوش ہونے والی کذا فی مصباح اللغات۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",64534,deoband,متفرقات,اسلامی نام
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/64242,اسوہ، عروہ، یسرہ اور نعمان نام کے معنی اور صحیح تلفظ اور صحیح کیسے لکھناہے، بتائیں۔جزاک اللہ خیرا,میرا سوال یہ ہے کہ اسوہ، عروہ، یسرہ اور نعمان نام کے معنی اور صحیح تلفظ اور صحیح کیسے لکھناہے، بتائیں۔جزاک اللہ خیرا,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 556-556/M=6/1437

”اُسْوَہْ“ کے معنی ہیں: نمونہ، مثال۔ ”عُرْوَہْ“ کے معنی ہیں: گرفت، کاج، کونہ، دستہ۔ ”یُسْرَی“ کے معنی ہیں: آسانی، خوشحالی۔ ”نُعْمَان“ کے معنی ہیں: حیرہ کے ہربادشاہ کا لقب، خون، ”شقائق النعمان“ گلِ لالہ۔ (مصباح اللغات: ص۸۹۰، ط: مکتبہ برہان، جامع مسجد دہلی) صحیح تلفظ کے لیے ناموں پر اعراب لگادیا گیا ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",64242,deoband,متفرقات,اسلامی نام
