issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/deviant-sects/25077,آپ کے نزدیک بریلوی کافر ہیں یا مسلمان؟,آپ کے نزدیک بریلوی کافر ہیں یا مسلمان؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(ھ): 1817=1329-9/1431<br><br>جن بریلویوں کی بریلویت بدعات کی حد تک ہو، اُن پر کفر کا حکم نہیں اور جو بریلوی ضروریاتِ دین سے منکر ہو یا عقائد شرکیّہ رکھتا ہو۔ یا حضراتِ امہات الموٴمنین رضی اللہ عنہن میں سے کسی کے حق میں گستاخانہ بکواس بکتا ہو، یا اہل حق علماء اہل سنت والجماعت کے کلام میں دجل وتلبیس مکر وفریب، فراڈ وکتروبیونت کرکے زبردستی کفر کشید کرتا ہو وغیرہ وغیرہ اُس بریلوی کی سلامتیٴ ایمان واسلام مشکل ہے اور جس بریلوی کے کلام میں تاویل کی گنجائش نکل سکتی ہو، اس کے کلام میں حقیقی اہل سنت والجماعت اکابر علماء تاویل کرکے اُس کے ایمان کو بچانے کی کوشش کرتے ہیں اور جو بریلوی کفر کو اختیار کرلے خواہ اس کو کوئی کافر کہے یا نہ کہے بلکہ چاہے کچھ لوگ اس کو بزرگ بھی سمجھتے ہوں، مگر عند اللہ تعالیٰ وہ دائرہٴ اسلام سے باہر ہے۔<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",25077,deoband,عقائد و  ایمانیات,فرق ضالہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/deviant-sects/24920,کیا شیعہ سے مسجد کے لیے چندہ مانگ سکتے ہیں؟ براہ کرم، جواب دیں۔,کیا شیعہ سے مسجد کے لیے چندہ مانگ سکتے ہیں؟ براہ کرم، جواب دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(م): 1318=1318-9/1431<br><br>دینی حمیت وغیرت کے خلاف ہے، نہیں مانگنا چاہیے۔<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",24920,deoband,عقائد و  ایمانیات,فرق ضالہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/deviant-sects/24630,میں ہندوستانی ہوں ، حنفی مذہب پر عمل کرتاہوں اور عمان میں کام کررہا ہوں۔ براہ کرم، مذہب اباضی کے بارے میں کچھ بتائیں ، کیااباضی امام کے پیچھے نماز پڑھنا جائز ہے؟,میں ہندوستانی ہوں ، حنفی مذہب پر عمل کرتاہوں اور عمان میں کام کررہا ہوں۔ براہ کرم، مذہب اباضی کے بارے میں کچھ بتائیں ، کیااباضی امام کے پیچھے نماز پڑھنا جائز ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(م): 1259=1259-8/1431<br><br>احسن الفتاویٰ میں لکھا ہے کہ: ”مسقط میں جو اباضی فرقہ ہے، ان کے صحیح عقائد کیا ہیں؟ اس کی ہمیں تحقیق نہیں، ان کے متعلق صحیح فیصلہ جب ہوسکے گا جب کہ ان کے عقائد بھی ذکر کیے جائیں، البتہ عبداللہ بن اباض کی جانب منسوب جو فرقہٴ اباضیہ ہے اور جو خوارج ہی کی شاخ ہے، ان کے عقائد کتابوں میں ملتے ہیں، اگر یہ فرقہ بعینہ وہی ہے یا ان کے عقائد ان کے مطابق ہیں تو ان کے پیچھے نماز نہیں ہوتی، اس لیے ان کے پیچھے نماز نہ پڑھی جائے“۔ (احسن الفتاویٰ: ۱/۱۹۸)<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",24630,deoband,عقائد و  ایمانیات,فرق ضالہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/deviant-sects/24611,کیا میرے لیے ( ایک عالم ہونے کے ناطے ) اہل حدیث کے ساتھ اٹھنا ، بیٹھنا کرنا درست ہے ؟ میرے چھوٹے ٹاؤن میں اہل حدیث ہیں، جن کے عقائد شرکیہ نہیں ہیں چونکہ تحقیق کا مطلب ان کے لیے تقلید کے سلسلے میں صحیح علم کو اجاگر کرنا، غیر ضروری جھگڑے اور فتنہ سے احتراز کرنا اور ان کے ساتھ اچھے تعلقات رکھنا ہے( ان میں سے اکثر وں کو صحیح طورپر پتا نہیں ہے کہ تقلید کیوں ہے؟ براہ کرم، میری رہنمائی فرمائیں۔,کیا میرے لیے ( ایک عالم ہونے کے ناطے ) اہل حدیث کے ساتھ اٹھنا ، بیٹھنا کرنا درست ہے ؟ میرے چھوٹے ٹاؤن میں اہل حدیث ہیں، جن کے عقائد شرکیہ نہیں ہیں چونکہ تحقیق کا مطلب ان کے لیے تقلید کے سلسلے میں صحیح علم کو اجاگر کرنا، غیر ضروری جھگڑے اور فتنہ سے احتراز کرنا اور ان کے ساتھ اچھے تعلقات رکھنا ہے( ان میں سے اکثر وں کو صحیح طورپر پتا نہیں ہے کہ تقلید کیوں ہے؟ براہ کرم، میری رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(ل): 1313=965-10/1431<br><br>مذکورہ بالا مقصد کی خاطر ان کے ساتھ اٹھنا بیٹھنا درست ہے: الکلام المفید في إثبات التقلید کا مطالعہ دونوں طرف کے منصف مزاج لوگوں کے حق میں ان شاء اللہ بیحد مفید ہوگا۔<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",24611,deoband,عقائد و  ایمانیات,فرق ضالہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/deviant-sects/24313,میرا تعلق پاکستان سے ہے کچھ دنوں پہلے میں نے یوٹیوب پر ایک ویڈیو دیکھی جس میں مولانا گنگوہی صاحب کے فتوے کا مذاق اڑایا گیا تھا فتویٰ : ایک شخصنے مولانا سے پوچھا کہ جس علاوقے میں کوے کو حرام مانتے ہوں اور کھانے والے کو برا سمجھتے ہوں تو اس علاقے میں کوا کھانے پر عزاب ہو گا یا ثواب ؟؟ مولانا کا جواب تھا : ثواب ہو گا (فتاویٰ رشیدیہ صفحہ 130 جلد 2 ) اس پر بریلوی حضرات نے بہت واویلا مچھا رکھا ہے کہ کوا کھانا دیوبند کے ہاں کوے کھائے جاتے ہیں میرا آپ سے سوال ہے کہ کیا واقعی کوا کھانا ثواب کا کام ہے ؟ یا صرف جس علاقے میں کوا کھانا برا خیال کیا جائے صرف وہاں ثواب ہو گا ؟؟ کیا عام حالات میں اگر کوئی کوا کھا لے تو اسے ثواب ہو گا یا نہیں ؟ پلز جلدی جواب دینے کی کوشش کریں اللہ تعالیٰ آپ کا کرم کرے شکریہ,میرا تعلق پاکستان سے ہے کچھ دنوں پہلے میں نے یوٹیوب پر ایک ویڈیو دیکھی جس میں مولانا گنگوہی صاحب کے فتوے کا مذاق اڑایا گیا تھا فتویٰ : ایک شخصنے مولانا سے پوچھا کہ جس علاوقے میں کوے کو حرام مانتے ہوں اور کھانے والے کو برا سمجھتے ہوں تو اس علاقے میں کوا کھانے پر عزاب ہو گا یا ثواب ؟؟ مولانا کا جواب تھا : ثواب ہو گا (فتاویٰ رشیدیہ صفحہ 130 جلد 2 ) اس پر بریلوی حضرات نے بہت واویلا مچھا رکھا ہے کہ کوا کھانا دیوبند کے ہاں کوے کھائے جاتے ہیں میرا آپ سے سوال ہے کہ کیا واقعی کوا کھانا ثواب کا کام ہے ؟ یا صرف جس علاقے میں کوا کھانا برا خیال کیا جائے صرف وہاں ثواب ہو گا ؟؟ کیا عام حالات میں اگر کوئی کوا کھا لے تو اسے ثواب ہو گا یا نہیں ؟ پلز جلدی جواب دینے کی کوشش کریں اللہ تعالیٰ آپ کا کرم کرے شکریہ,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(ک): 1210=247-8/1431<br><br>مولانا رشید احمد گنگوہی علیہ الرحمة نے جو حکم تحریر فرمایا ہے وہ فقہاء احناف کے روایات وعبارات کے عین موافق ہے، کوّا کئی طرح کا ہوتا ہے، ایک وہ کہ صرف مردار کھاتا ہے، یہ حرام ہے، دوسرا وہ کہ صرف دانہ کھاتا ہے یہ حلال ہے، تیسرے وہ جو دانہ اور مردار دونوں کھاتا ہے اس کو عقعق کہتے ہیں، یہ بھی امام ابوحنیفہ رحمہ اللہ کے نزدیک حلال ہے کیونکہ یہ مرغ کی طرح ہے کہ دانہ ونجاست دونوں کھاتا ہے اور امام ابویوسف رحمہ اللہ کے نزدیک یہ تیسری قسم مکروہ ہے، مکر امام ابوحنیفہ رحمہ اللہ کا مذہب احق ہے (زیلعی شرح کنز) (تکملہ بحر الرائق: ۱/۱۷۲) (مجمع الأنہر: ۴/۱۵۴)<br>کوئے کو ارد و میں کوا فارسی میں زاغ اور عربی میں غراب کہتے ہیں چنانچہ فتاویٰ عالمگیری میں ہے: والغراب الذي یأکل الحب والزرع ونحوہا حلال بالإجماع کذا في البدائع عن أبی یوسف رحمہ اللہ تعالیٰ قال سألت أبا حنیفة رحمہ اللہ عن العقعق فقال لا بأس بہ فقلت إنہ یأکل النجاسات فقال إنہ یخلط النجاسة بشيء آخر ثم یأکل فکان الأصل عندہ أن ما یخلط کالدجاجة (اسی طرح قاضی خاں میں ہے) اور مبسوط میں ہے کہ جو کوا صرف دانہ کھاتا ہے وہ مباح اور طیب ہے، اور جو کوا دانہ کے ساتھ مردار بھی کھاتا ہے وہ امام ابویوسف رحمہ اللہ کے نزدیک مکروہ ہے اور امام اعظم ابوحنیفہ کے نزدیک اس کا کھانا جائز وحلال ہے اور یہی بات زیادہ صحیح ہے، مرغ پر قیاس کرتے ہوئے فتاویٰ عالمگیری: ۵/۲۹۰۔<br>مذکورہ عبارات اور کتب فقہ کی دیگر عبارات سے یہ ثابت ہوتا ہے کہ جو کوا دانہ اور مردار دونوں کھاتا ہے اس کا کھانا امام اعظم ابوحنیفہ رحمہ اللہ کے نزدیک جائز ہے، پس معلوم ہوا کہ مولانا رشید احمد گنگوہی رحمہ اللہ کا کوے کے کھانے کے جواز کا فتویٰ فقہائے احناف کے عین موافق ہے۔ اور اصولاً یہ بات ثابت ہے کہ کسی حلال چیزکو حرام سمجھنا سخت گناہ ہے، لہٰذا جس جگہ لوگ کوے کو حرام مانتے ہوں اور کھانے والے کو برا سمجھتے ہوں وہاں حکم شرعی کو واضح کرنے کی نیت سے کوئی شخص حلال کوا کھائے گا تو وہ مستحق ثواب ہوگا۔ اس لیے نہیں کہ کوّا کھانا فی نفسہ مستوجب ثواب چیز ہے بلکہ اس موقعہ پر اظہار حکم اور احقاق حق کی نیت کی وجہ سے مستوجب ثواب ہوجائے گا۔<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",24313,deoband,عقائد و  ایمانیات,فرق ضالہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/deviant-sects/22739,کیا حضرت شاہ اسماعیل شہید (رحمتہ اللہ علیہ ) کی کتاب ” تقوية الایمان“ ٹھیک ہے؟ کیا یہ قرآن وحدیث کے مطابق ہے؟,کیا حضرت شاہ اسماعیل شہید (رحمتہ اللہ علیہ ) کی کتاب ” تقوية الایمان“ ٹھیک ہے؟ کیا یہ قرآن وحدیث کے مطابق ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(م):880=880-6/1431<br>&nbsp;<br>جی ہاں، ”تقویة الایمان“ (موٴلفہ حضرت شاہ اسماعیل شہید) معتبر اور مستند کتاب ہے، اور قرآن وحدیث کے مطابق ہے۔<br><br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",22739,deoband,عقائد و  ایمانیات,فرق ضالہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/deviant-sects/22617,آپ حضرات ڈاكٹر ذاكرنائك كے سلسلے میں كیا فرماتے ہیں؟ وضاحت فرماویں؟,آپ حضرات ڈاكٹر ذاكرنائك كے سلسلے میں كیا فرماتے ہیں؟ وضاحت فرماویں؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(ھ):592=392-3/1432<br><br>یہ شخص ضالّ ومضلّ ہے، منصوبہ بند طریق پر جدید مواصلتی آلات کے ساتھ اِس کی سرگرمیوں کا خلاصہ یہ ہے کہ (الف) پوری امت کو حضراتِ ائمہ مجتہدین ائمہ اربعہ رحمہم اللہ تعالیٰ رحمة واسعہ کی تقلید سے نکال کر لامذہبیت پر کھڑا کردیا جائے۔(ب) عامة المسلمین کا اعتماد علمائے اعلام پر نہ رہے، اس اعتماد کو مجروح کرنے کی خاطر جو ہتھگنڈے اور حربے استعمال کیے جاسکتے ہوں ان کو استعمال میں لایا جائے۔ (ج) فسق وفجور کے شعائر نیز فساق وفجار کی ہیئت ووضع قطع کی جو نفرت عام مسلمانوں کے ذہن میں ہے اس کو کھرچ دیا جائے۔ (د) شریعت مطہرہ کے احکام ومسائل عقائد واعمال کی تحقیق کرنے اور ان پر عمل پیرا ہونے کے سلسلہ میں عام مسلمان جو علمائے اعلام سے جڑے ہوئے ہیں، ان مسلمانوں کا رشتہ علمائے کرام سے کاٹ کر ذاکر نائک او ران کے ہی قماش کے ڈاکٹروں سے جوڑدیا جائے، وغیرہ وغیرہ ”حقیقت ذاکر نائک“ ایک کتاب ہے، حضرت مولانا سید خلیق ساجد صاحب مدظلہ بخاری کی تصنیف ہے، پاکستان کے کتب خانوں میں قیمتاً دستیاب ہے، اس کو حاصل کرکے اطمینان سے دو چار مرتبہ مطالعہ کریں، اس کے بعد کوئی اشکال رہے تو اس کو لکھیں، اس وقت ان شاء اللہ مزید تفصیل سے جواب لکھ دیا جائے گا۔&nbsp;<br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",22617,deoband,عقائد و  ایمانیات,فرق ضالہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/deviant-sects/22230,مفتی صاحب عرض خدمت یہ ہے کہ کیا مہدی جونپوری کے باپ کا نام تاریخی مستند حوالوں سے عبداللہ تھا اور اس کی والدہ کا نام آمنہ تھا مستند حوالوں سے وضاحت فرمائیں سنا ہے انھوں نے احادیث کی علامت اپنے اوپر چسپاں کرنے کے لیے والد کا نام عبداللہ کرلیا تھا، تحقیقی جواب عنایت فرمائیں,مفتی صاحب عرض خدمت یہ ہے کہ کیا مہدی جونپوری کے باپ کا نام تاریخی مستند حوالوں سے عبداللہ تھا اور اس کی والدہ کا نام آمنہ تھا مستند حوالوں سے وضاحت فرمائیں سنا ہے انھوں نے احادیث کی علامت اپنے اوپر چسپاں کرنے کے لیے والد کا نام عبداللہ کرلیا تھا، تحقیقی جواب عنایت فرمائیں,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(د):715=553-5/1431<br><br>مہدی جونپوری کے والد کا نام یوسف اور ماں کا نام آغا ملک تھا، بعد میں دونوں کا نام بدل کر مہدویوں نے عبداللہ اور آمنہ رکھ دیا تاکہ جوعلامتیں نبی کریم صلی اللہ علیہ وسلم کی احادیث میں وارد ہوئی ہیں وہ اپنے اوپر چسپاں کرسکے، اس نے امراء وسلاطین کے دعوتی خطوط میں اسکا دعویٰ بھی کیا ہے: چناں چہ وہ کہتا ہے: ”اے لوگو! اس امر کو سمجھ لو کہ میں محمد بن عبداللہ رسول اللہ صلی اللہ علیہ وسلم کا ہم نام ہوں، مجھے اللہ تعالیٰ نے ولایت محمدیہ کا خاتم اور اپنے نبی کی بزرگ امت پر خلیفہ بنایا ہے“، اس کے ہمعصر مصنفین میں سے کوئی بھی اس کے والد کا نام عبداللہ اور والدہ کا نام آمنہ نہیں لکھتا: السید محمد الکاظمي الحسیني بن سید خان المعروف بڈھ اویسی اور والدہ آقا ملک إلخ (دائرہ معارف اسلامیہ اودھ: ۷/۵۲۱، دانشگاہ پنجاب لاہور بحوالہ احسن الفتاوی: ۱/۱۹۱)<br>علامہ عبدالحی بن فخرالدین الحسینی اپنی مشہور کتاب ”نزہة الخواطر“ کے سلسلہ نمبر ۴۸۶ میں لکھتے ہیں: ”الشیخ الکبیر محمد بن یوسف الحسیني الجونپوري المتمہدي، اس کتاب میں آگے چل کر لکھتے ہیں: قال أبورجاء الشاہ جہان پوری: في الہدیة المہدویة: إن الجونپوري لم یمنع أصحابہ عن ذلک (أي عن نسبتہ إلی المہدي الموعود) وبدّل اسم أبیہ بعبد اللہ، واسم أمہ بآمنة، وأشاعہا في الناس“ (نزہة الخواطر: ۴/۳۲۴، ط: دائرة المعارف حیدرآباد بہ حوالہ احسن الفتاوی: ۱/۱۹۲)<br>ملا عبدالقادر بدایونی کی فارسی تاریخ ”منتخب التواریخ“ کے مترجم محمود احمد فاروقی نے حاشیہ میں لکھا ہے: سید محمد جونپور کے رہنے والے تھے، ان کے والد کا نام یوسف تھا۔ (ترجمہ منتخب التواریخ: ۲۱۰، بہ حوالہ احسن الفتاویٰ: ۱/۱۹۲)<br><br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",22230,deoband,عقائد و  ایمانیات,فرق ضالہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/deviant-sects/22106,کیا مہدوی فرقے کے بانی نے کہیں خدا ہونے کا دعوی بھی کیا تھا؟ تفصیل کے ساتھ مستند حوالہ نقل کریں۔,کیا مہدوی فرقے کے بانی نے کہیں خدا ہونے کا دعوی بھی کیا تھا؟ تفصیل کے ساتھ مستند حوالہ نقل کریں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(ب):1025=833-6/1431<br><br>اس فرقے کے بانی کے ایک واقعہ سے پتہ چلتا ہے کہ ان کو اپنے متعلق خدا ہونے کا گمان تھا چنانچہ اس فرقے کے بانی سید محمد جونپوری معروف بمیراں صاحب ایک مرتبہ اپنے ایک مرید کو قرآن کی تلاوت کروارہے تھے اسی دوران ایک اور معتقد ملاقات کے لیے آئے تو میراں صاحب نے اشارہ سے انھیں روک دیا اور پھر بعد میں اس کی وجہ بیان کرتے ہوئے کہا کہ ”تم جس وقت آئے تھے اس وقت خدا اپنے بندے کو اپنی زبان سے (قرآن کی) تعلیم دے رہا تھا اگر تم چند قدم اور آگے آتے تو (جلال الٰہی سے) یقینا جل جاتے“ (کتاب پنج فضائل: ۶۸، بحوالہ مطالعہ مہدویت) اسی طرح ان کے مریدین کی باتوں سے بھی پتہ چلتا ہے کہ انھوں نے ان کو خدا مان رکھا تھا چنانچہ ایک معتقد ان کی شان میں کہتا ہے کہ&nbsp;<br>اے مہدی آخر زمان معنًا محمد آئے تم		بارک اللہ مرحبا مانند احمد آئے تم<br>مہر ولایت نامور پشت پر لیے ہوئے		بحرِ حقائق میں رواں بے میم احمد آئے تم<br>نیز ان کے ایک مرید میراں صاحب کی تعریف کرتے ہوئے کہتے ہیں کہ ”پھوٹ جائیں وہ آنکھیں (جو یہ سمجھتی ہیں کہ انھوں نے) مہدی کو دیکھا ہے بندے نے تو ذات مہدی میں اپنے خدا کو دیکھا (شواہد الولایت: ۳۵۸، بحوالہ مطالعہ مہدویت)<br><br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",22106,deoband,عقائد و  ایمانیات,فرق ضالہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/deviant-sects/22104,کیا مہدوی حضرات کے نزدیک احادیث حجت ہیں یا وہ احادیث کا انکار کرتے ہیں۔,کیا مہدوی حضرات کے نزدیک احادیث حجت ہیں یا وہ احادیث کا انکار کرتے ہیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی(ب):1084=898-6/1431<br><br>مہدوی حضرات اپنے عقائد باطلہ کی وجہ سے جو ان کی کتابوں میں ملتے ہیں وہ نصوصِ قطعیہ کے خلاف ہیں، اس لیے وہ دائرہٴ ایمان سے خارج ہیں، مثلاً وہ لوگ اپنے پیشوا میراں سید جونپوری کو مامور من اللہ مانتے ہیں، انھیں مثل نبی کے تمام خطاوٴں سے معصوم مانتے ہیں، اور انھیں مفترض الطاعة یعنی ان کی اطاعت کرنا واجب مانتے ہیں۔ یہ قرآن وحدیث کے خلاف ہے اور صریح کفر ہے۔ وہ لوگ نبوت وولایت میں سید محمد جونپوری کو نبی اکرم صلی اللہ علیہ وسلم کے ساتھ ایسا شریک ، ہمسر جانتے ہیں کہ ان پر درود شریف بھیجتے ہیں۔ ان کی بیویوں کو ازواج مطہرات کہتے ہیں، ان کے معتمدین کو خلفائے راشدین کہتے ہیں، ان کے احباب کو صحابہٴ کرام کہتے ہیں، وغیرہ وغیرہ۔ اور بہت سارے ان کے غلط عقائد ہیں، آپ اس کے لیے ”مطالعہٴ مہدویت“ دیکھئے، ایسے کافر ومرتد کے بارے میں آپ یہ سوال کرتے ہیں کہ ان کے نزدیک احادیث حجت ہیں یا وہ احادیث کا انکار کرتے ہیں۔ احادیث کو ماننے والا کیا ایسا عقیدہ رکھ سکتا ہے؟<br><br></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",22104,deoband,عقائد و  ایمانیات,فرق ضالہ
