issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
31-Aug-2020,https://darulifta-deoband.com/home/ur/others/43518,سنگ مرمر دیكھنا,میں نے خواب میں سفید سنگ مرمر سے بنی ہوئی قبر دیکھی جس کے پاؤں کی طرف کچی اینٹوں سے بنی ہوئی کرسی جس پر ایک اینٹ کو کھڑا کیا تھا، مجھے بتایا گیا کہ قبر وہ جگہ ہے جہاں پر حضرت محمد صلی اللہ علیہ وسلم بیماری کے دوران لیٹے ہوئے تھے اور اس کرسی پر فاطمہ رضی اللہ عنہا ان کے پاس بیٹھی ہوئی تھیں ، کسی نے کرسی پر وہ اینٹ ٹھیک کردی اور میں اس پر بیٹھ گئی ، مجھے اس جگہ کو دیکھ کر بہت رونا آیا ،لیکن میں اسی وجہ سے نہیں روئی کیوں کہ وہاں لوگ تھے اور میں نے سوچا کہ یہ ریا میں آتاہے ، اسی لیے کسی تنہادن آکے خوب رؤں گی۔ براہ کرم، تعبیر بتائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 135-107/H=3/1434

تعبیر یہ ہے کہ آپ کے اندر اتباع سنت کے مطابق زندگی گذارنے کا جذبہ بہت کمزور ہے، اس کمزوری کو دور کرنے کی فکر کریں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",43518,deoband,متفرقات,دیگر
27-Aug-2020,https://darulifta-deoband.com/home/ur/others/43463,میرے جوتوں كی جگہ دوسرے جوتے ملے تو كیا میں پہن سكتا ہوں,میں سات مہینے کے لیے ملک سے باہر گیا وہاں میرے جوتے ایسی جگہ پر تھے جہاں نماز ی کم ہوتے ہیں اور ہم سب ساتھیوں کے جوتے تھے ، میرے اچھے والے جوتے کوئی لے گیا اور اس جگہ پلاسٹک کے جوتے چھوڑ گیا ، دو دن وہ جوتے وہیں پڑے رہے ،مسجد خالی بھی ہوئی ، دو دن بعد وہ جوتے میں پاکستان پہن کر آگیا ، کیایہ میرے لیے جائز ہے اگر نہیں تو پھر کیا کروں؟ وہاں بھیجنا بھی مشکل ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 349-349/M=3/1434

صورت مسئولہ میں جب کہ اس جوتے کے مالک کا پتہ لگانا اور اس کے پاس بھیجنا نہایت دشوار ہے تو اس کو صدقہ کردیں اوراگر آپ محسوس کرتے ہیں کہ مالک نے اس خیال سے چھوڑدیا ہے کہ کوئی پہن لے تو آپ کے لیے استعمال کی گنجائش ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",43463,deoband,متفرقات,دیگر
29-Aug-2020,https://darulifta-deoband.com/home/ur/others/43440,وضو بناکر قرآن پڑھنا ضروری ہے یا اگر کوئی شخص بغیر وضو کے قرآن چھو سکتے ہیں کہ نہیں؟,وضو بناکر قرآن پڑھنا ضروری ہے یا اگر کوئی شخص بغیر وضو کے قرآن چھو سکتے ہیں کہ نہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 176-176/M=2/1434

قرآن پڑھنے کے لیے باوضو ہونا ضروری نہیں بغیر وضو کے بھی قرآن پڑھ سکتے ہیں، البتہ بلاوضو قرآن کو چھونا درست نہیں ہے، لقولہ تعالی: ”لَا یَمَسُّہُ اِلَّا الْمُطَہَّرُوْنَ“ (القرآن)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",43440,deoband,متفرقات,دیگر
31-Aug-2020,https://darulifta-deoband.com/home/ur/others/43324,غیر مسلم کا ہمارے گھر کام کرنا,میں سعودی میں کام کرتا ہوں، ہم (میں & ایک پاکستانی) نے ایک ہندو کو صفائی کرنے کے لئے رکھا ہے لیکن ہمارے پاکستانی بھائی کہتے ہیں کہ اگر کوئی ہندو ہمارے برتن کو ہاتھ لگائے تو وہ ناپاک ہوجاتا ہے ۔ اس پر کلمہ پڑھکر پھونکنا پڑتا ہے ، نہیں تو ہم برتن استمال نہیں کر سکتے۔ اور انکا کہنا ہے کہ غیر مسلم الگ ہے اور ہندو الگ ہے۔ وہ غیر مسلم کا مطلب اہل کتاب کو سمجھتے ہیں ، میں نے انکو بہت سمجھایا لیکن وہ مانا نہیں۔ وہ سمجھتے ہیں کہ ہندوستان میں کیوں کی ہندو حکومت ہے ۔ وہاں پر الگ قانون ہے۔ براہ کرم، جلد جواب دیجئے۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 136-94/L=2/1434

ہندو کے ہاتھ میں اگر ناپاکی لگی ہوئی نہ ہو تو اس کے برتن چھوں نے سے برتن ناپاک نہ ہوگا، غیرمسلم یہ لفظ عام ہے اور اس میں ہرشخص داخل خوہ وہ یہودی یا عیسائی ہو یا ہندو ہو، آپ کے پاکستان بھائیوں کی رائے درست نہیں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",43324,deoband,متفرقات,دیگر
01-Sep-2020,https://darulifta-deoband.com/home/ur/others/43321,خرچ کا مسالا,میرے ابّا کی دکان ہے اس دکان میں ہی ہم دونوں بھائی رہتے ہیں ،دونوں شادی شدہ ہیں ۔ اگر ہم اس میں سے اپنے خرچ کے لئے روپیہ وغیرہ اپنے خرچ کے لئے لیتا ہوں تو کیا یہ جائز ؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 147-147/M=2/1434

اگر والد صاحب حیات ہیں اور انھوں نے اجازت دے رکھی ہے تو خرچ لے سکتے ہیں اور اگر والد صاحب مرحوم ہوچکے ہیں تو وہ دوکان ترکہ شمار ہوگی اس میں آپ دونوں بھائیوں کا برابر حصہ ہوگا اور اگر دیگر ورثہ بھی ہوں تو ان کا بھی حصہ ہوگا، ایسی صورت میں پہلے ترکہ کی تقسیم شرعی ورثہ کے درمیان ہوجانی چاہیے، اس سے پہلے خرچ وغیرہ لینا درست نہیں۔ اور اگر کوئی اور صورت ہو تو واضح کرکے سوال کیا جاسکتا ہے؟
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",43321,deoband,متفرقات,دیگر
01-Sep-2020,https://darulifta-deoband.com/home/ur/others/43307,کیا اسلام میں والدین،انکے شادی شدہ بیٹے ،بہن ، پوتی پوتے وغیرہ کو ایک گھر میں ایک فیملی کی طرح رہنے کی اجازت ہے ؟ کیاتائی ، چچی ،ساس کو ماں کہنے کی بھی اجازت ہے ؟,کیا اسلام میں والدین،انکے شادی شدہ بیٹے ،بہن ، پوتی پوتے وغیرہ کو ایک گھر میں ایک فیملی کی طرح رہنے کی اجازت ہے ؟ کیاتائی ، چچی ،ساس کو ماں کہنے کی بھی اجازت ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 54-40/H=2/1434

تمام گھروں میں بھی یکسانیت نہیں ہوتی بعض بہت چھوٹے ہیں بعض بہت بڑے اور بعض درمیانی ہوتے ہیں، پھر گھر میں رہنے والے سب افراد کے حالات برابر نہیں ہوتے، اس کے علاوہ ایک دوسرے کے ساتھ رشتہ میں یکسانیت نہیں ہوتی، بعض سے بعض کا رشتہٴ محرمیت ہوتا ہے بعض سے نہیں، اگر حدودِ شرعیّہ کا پاس ولحاظ رکھتے ہوئے میل محبت سے رہیں اور کسی قسم کی خرابی کا اندیشہ نہ ہو ایک دوسرے کے حقوق کی ادائیگی میں کوتاہی نہ ہو سب کا ایک گھر میں رہنا جائز ہے۔ 
(۲) ان کے لیے بطور مجاز لفظِ ”ماں“ کہنے کی شروعا وعرفاً گنجائش ہے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",43307,deoband,متفرقات,دیگر
01-Sep-2020,https://darulifta-deoband.com/home/ur/others/43283,برابر ایصال ثواب كرتے رہیں,میرا سوال یہ ہے کہ میں پچھلے ہفتے سے اپنے والد اور والدہ کو برابر روز خواب میں دیکھ رہا ہوں، ان دونوں کا بھی انتقال ہو چکا ہے،بات یہ معلوم کرنی تھی کہ اسکا مطلب کیا ہوگا اگر کوئی انسان کو آپ بار بار خواب میں دیکھ رہے ہیں اور انکا انتقال ہوگیا ہے؟اور اگر میں نیند سے جاگتاہوں ،پھر سوتاہوں اور پھر خواب آتاہے ۔ براہ کرم، جلد سے جلد جواب ارسال فرمائیں اور کوئی وظیفہ بتائیں ۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 178-145/B=2/1434

اس میں اس بات کی طرف اشارہ ہے کہ آپ اپنے والد صاحب کے لیے برابر دعائے مغفرت اور ایصال ثواب کرتے رہیں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",43283,deoband,متفرقات,دیگر
01-Sep-2020,https://darulifta-deoband.com/home/ur/others/43282,صرف آدھی ندی پار كرپاتا ہے,میرا سوال یہ ہے کہ میرا ایک دوست کافی عرصے سے خواب میں یہی دیکھتاہے کہ اس کو ایک ندی پار کرتاہے ، وہ آدھی ندی پار کرتاہے ، لیکن پانی کا بہاؤ کہیں اور لے جاتاہے ،وہ خواب میں مچھلی پکڑتا ہے جب تک دوسری مچھلی پکڑتا ہے پہلی پانی میں گر جاتی ہے،اور وہ خواب میں کئی لوگوں کے ساتھ ہاتاپائی کرتاہے ، وہ کافی پریشان ہے اس خواب کو لیکر۔ مہربانی فرما کر جلد سے جلد جواب دیں ۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 179-144/B=2/1434

اپنے دوست سے فرمادیں کہ وہ شریعت کے احکام پر پابندی کے ساتھ عمل کریں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",43282,deoband,متفرقات,دیگر
29-Aug-2020,https://darulifta-deoband.com/home/ur/others/43260,کیا کوئی جن کسی انسان پر حاوی ہو سکتا ہے؟ اسلامی عقائد کی روشنی میں جن کے بارے میں بتائیں ۔,کیا کوئی جن کسی انسان پر حاوی ہو سکتا ہے؟ اسلامی عقائد کی روشنی میں جن کے بارے میں بتائیں ۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 117-70/L=2/1434

جی ہاں! جن انسان پر حاوی ہوسکتا ہے، قرآن شریف میں خود اس کی صراحت موجود ہے، قال تعالی: ”الَّذِیْنَ یَأْکُلُوْنَ الرِّبَا لَا یَقُوْمُوْنَ اِلَّا کَمَا یَقُوْمُ الَّذِیْ یَتَخَبَّطُہُ الشَّیْطَانُ مِنَ الْمَسِّ“ ”جو لوگ سود کھاتے ہیں وہ نہیں کھڑے ہوں گے، مگر اس شخص کی طرح جس کو شیطان نے لپٹ کر خبطی بنادیا ہو“ احادیث میں بھی کچھ اس طرح کے واقعات ہیں جس سے اس کی تائید ہوتی ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",43260,deoband,متفرقات,دیگر
01-Sep-2020,https://darulifta-deoband.com/home/ur/others/43247,دوسری كمپنیوں كی مصنوعات كی برائی كرنا,(۱) کچھ کمپنیاں ہوتی ہیں جس کا کام ہوتاہے منصوعات بنا کے دکانوں کو فروخت کرنا اور ا سے فروخت کرنے کے لیے کچھ بڑی بڑی دکانیں ، سپر مارکیٹ پہ جیسے امتیاز سپر مارکیٹ ․․․․․․․․․․․․میں لڑکوں کوماہانہ تنخواہ پر مستقل طورپر ملازم رکھتی ہیں جس پہ وہ اچھا معاوضہ دیتی ہیں اپنے منصوعات کی تشہیر کے لیے ، وہاں وہ ملازمین اپنے سامانوں کو بیچنے کے لئے اس کے مد مقابل جو دوسری کمپنیاں کے مصنوعات ہوتی ہیں ان کی برائی کرتے ہیں اور اپنے سامان کی تعریف کرتے ہیں صرف اس لیے کہ ا س کا سامان زیادہ بکے، سوال یہ ہے کہ کیا ایسا کرنا صحیح ہے؟ (۲) اسی سے متعلق پوچھنا چاہوں گا کہ کہ میں بھی ایک ایک ” فروزین فوڈ کمپنی “ کی طرف سے ایک دکان پہ اس کے سامان کی تشہیر کرتاہوں، میں سات گھنٹے کام کرتاہوں اور اگر میں زیادہ فروخت کروں تو کمپنی تنخواہ بڑھادے گی ،اسی دکان میں ایک لڑکا کام کرتاہے ، وہ کہتا ہے کہ تمہارے پیچھے میں تمہارا سامان میں فروخت کروں گا جس کے بدلے تھوڑا خرچہ پانی دیدینا تو کیا میں خوشی سے اس سے پیسہ کمیشن طورپر دے سکتاہوں؟ کیا خوشی سے ایسا کرنا صحیح ہے؟جواب کا انتظار رہے گا۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 123-235/N=3/1434

(۱) دوسری کمپنیوں کا نام لے کر ان کی مصنوعات کی برائی کرنا تو مناسب نہیں البتہ اپنی کمپنی کی تیارکردہ مصنوعات واقعی فوائد وخصوصیات ذکر کرکے انھیں فروخت کرنا جائز ودرست ہے، بشرطیکہ اس میں بھی مبالغہ آرائی اور دھوکہ دہی وغیرہ سے پرہیز کیا جائے۔
(۲) اگر گھنٹوں کی شکل میں کام کا وقت اور اس کی اجرت متعین کردی جائے او رکمپنی کی طرف سے اس کی اجازت بھی ہو تو یہ معاملہ شرعاً بھی درست ہوگا۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",43247,deoband,متفرقات,دیگر
