issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
29-Aug-2020,https://darulifta-deoband.com/home/ur/taharah-purity/155429,ناپاک کپڑا کو کیسے پاک کریں,کیا ناپاک اور پاک کپڑا ایک ساتھ واشنگ مشین میں ڈال کر دھونے سے سارا کپڑا پاک ہو جائے گا؟ برائے مہربانیرہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:119-85/B=2/1439</span></p><p dir=""RTL"">
	اگر باربار انہیں مشین کے اسپنر کے ذریعہ نچوڑا جائے اور پھر نیا پانی ڈال کر واشنگ مشین کے اسپنر میں دھویا جائے تو وہ پاک ہوجائے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",155429,deoband,عبادات,طہارت
31-Aug-2020,https://darulifta-deoband.com/home/ur/taharah-purity/155428,ناپاک کپڑا کیسے پاک کریں گے ؟,ناپاک کپڑا کیسے پاک کریں گے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:118-84/B=2/1439</span></p><p dir=""RTL"">
	اگر نجاست دکھائی دیتی ہے تو پہلے اسے تین مرتبہ دھوئیں پھر پورا کپڑا دھوکر نچوڑیں، نہ معلوم ہو تو کپڑے کو تین دفعہ خوب اچھی طرح رگڑکر دھوئیں پھر نچوڑیں اسی طرح تین دفعہ کریں، کپڑا پاک ہوجائے کا۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",155428,deoband,عبادات,طہارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/taharah-purity/155364,غسل کرنے کے بعد بدن پوچھ لیا اس كے بعد یاد آتا کہ فلاں حصہ دھونے سے رہ گیا ہے تو کیا حکم ہے؟,میرا سوال یہ ہے کہ غسل کرنے کے بعد بدن پوچھنے کے بعد یاد آتا ہے کہ فلاں حصہ دھونے کو رہ گیا ہے تو کیا حکم ہے؟ کیا اتنا حصہ ہی دھونا چاہئے یا غسل پھر سے کرنا ہوگا؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:104-73/L=2/1439</span></p><p dir=""RTL"">
	جو حصہ دھونے سے رہ گیا ہے اسی حصہ کو دھو لینا کافی ہے ازسرِنو غسل کی ضرورت نہیں۔ عن عبداللہ بن مسعود ۔رضی اللہ عنہ۔أن رجلاً جاء الی النبی ۔صلی اللہ علیہ وسلم ۔ فسئلہ عن رجل یغتسل من الجنابة ،فیخطئی بعض جسدہ الماء ،فقال رسول اللہ ۔صلی اللہ علیہ وسلم۔ :”یغتسل ذلک المکان ثم یصلی“․رواہ الطبرانی فی الکبیر ورجالہ موثقون․(اعلاء السنن:۱/۲۱۶ط:أشرفیہ دیوبند)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",155364,deoband,عبادات,طہارت
29-Aug-2020,https://darulifta-deoband.com/home/ur/taharah-purity/155259,غسل جنابت کے دوران قطرے آنا,میں غسل جنابت میں شروع میں استنجا کے بعد کلی کرکے ناک میں پانی ڈالتا ہوں، اس کے بعد بدن کو دہوتے ہوئے غسل کے بیچ میں پیشاب کے قطرے آتے ہیں تو مجھے از سر نو کلی کرکے غسل شروع کرنا ضروری ہے یا نہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:44-75/sn=3/1439</span></p><p dir=""RTL"">
	کلی وغیرہ کرنے کے بعد بدن دھوتے وقت اگر پیشاب کا قطرہ نکل جائے تو اس کی وجہ سے از سر نو کلی کرکے غسل شروع کرنا ضروری نہیں ہے، شروع میں جو کلی کی تھی غسل میں فرض کلی کی طرف سے وہی کافی ہے۔</p><p dir=""RTL"">
	----------------------------</p><p dir=""RTL"">
	جواب صحیح ہے البتہ اگر دوبارہ کلی وغیرہ کرلے تو بہتر ہے۔ (ن)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",155259,deoband,عبادات,طہارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/taharah-purity/155143,لنگی پہنے ہوئے نجاست کو اچھی طرح دھولیا جائے تو كیا پاك ہوجائے گی؟,غسل جنابت میں کیا لنگی پہنے پہنے مختلف داغ دھونے میں لنگی پاک ہو جائے گی ؟اس لئے کہ لنگی دھوتے ہوئے پوری لنگی تقریبا بھیگ جاتی ہے اور اس طرح اس کے نا پاک ہو نے کا اندیشہ رہتا ہے ، عام طور سے لوگ ایسا ہی کر تے ہیں اور لنگی الگ سے نہیں دھلتے ۔ وضاحت کے ساتھ جواب تحریر فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:37-46/sd=2/1439</span></p><p dir=""RTL"">
	جی ہاں ! اگر لنگی پہنے ہوئے نجاست کو اچھی طرح دھولیا جائے ، جس سے نجاست کا اثر زائل ہوجائے ، تو لنگی پاک ہوجائے گی، الگ سے دھونے کی ضرورت نہیں ہے ۔</p><p dir=""RTL"">
	<span dir=""LTR"">-------------------------</span></p><p dir=""RTL"">
	نوٹ: لیکن احتیاط اس میں ہے کہ لنگی الگ سے پوری دھولی جائے کہیں نجاست دوسرے حصے میں لگی ہو اورمحسوس نہ ہو۔ (د<span dir=""LTR"">)</span></p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",155143,deoband,عبادات,طہارت
30-Aug-2020,https://darulifta-deoband.com/home/ur/taharah-purity/155017,فرائض غسل كے بارے میں,غسل میں تین فرض ہیں، ان کو کرنے سے ہماری نماز ہوگی یا نہیں یا وضو کرنا پڑے گا ؟ براہ کرم جواب جلد ارسال فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa: </span>19-11<span dir=""LTR"">/N=</span>1/1439</p><p dir=""RTL"">
	&nbsp;اگر سوال کا مطلب یہ ہے: فرائض غسل کی رعایت کے ساتھ جو غسل کیا جائے، اس سے نماز پڑھ سکتے ہیں یا غسل کے بعد مستقل وضو کرنا ہوگا ؟ تو جواب یہ ہے کہ جب فرائض غسل کی رعایت کے ساتھ غسل کیا گیا تو غسل کے ساتھ وضو بھی ہوگیا ، اب غسل کے بعد دوبارہ وضو کرنے کی ضرورت نہیں، حضرت عائشہ صدیقہ<span dir=""LTR""></span>فرماتی ہیں کہ حضرت نبی کریم صلی اللہ علیہ وسلم غسل کے بعد وضو نہیں فرماتے تھے۔</p><p dir=""RTL"">
	عن عائشة رضي اللّٰہ عنہا قالت: ”کان النبي صلی اللّٰہ علیہ وسلم لا یتوضأ بعد الغسل“، رواہ الترمذي وأبو داود والنسائي وابن ماجة (مشکاة المصابیح ، کتاب الطھارة، باب الغسل، الفصل الثاني۱:۴۸، ط: المکتبة الأشرفیة دیوبند)،”کان النبي صلی اللّٰہ علیہ وسلم لا یتوضأ بعد الغسل“أي اکتفاء بوضوئہ الأول في الغسل وہو سنة، أو باندراج ارتفاع الحدث الأصغر تحت ارتفاع الأکبر بإیصال الماء إلی جمیع أعضائہ وہو رخصة۔……، قال ابن حجر: وقالوا: ولا یشرع وضوء ان اتفاقاً للخبر الصحیح :”کان علیہ السلام لا یتوضأ بعد الغسل من الجنابة“۔(مرقاة المفاتیح ۲:۱۳۶، ۱۳۷،ط: دار الکتب العلمیة بیروت)۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",155017,deoband,عبادات,طہارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/taharah-purity/154917,ایسی نجاست جو نظر نہ آتی ہو اسے كیسے پاك كریں؟,رقیق نجاست اگر کپڑے پر لگ جائے اور پانی اور صابن سے اچھی طرح دھونے سے اس کا اثر زائل بھی ہوجائے ،مگر کپڑے کو پوری طاقت سے نچوڑا نہ جائے ۔ تو کیا یہ کپڑا پاک ہوجائے گا؟ یا تین بار پوری طاقت سے نچوڑنا ضروری ہے ؟ بعض اوقات کپڑا بہت نازک سا ہوتا ہے اور طاقت سے نچوڑنے میں پھٹ جانے کا اندیشہ ہوتا ہے ، ایسی صورت میں کیا کیا جائے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa:14-43/B=2/1439</span></p><p dir=""RTL"">
	اگر وہ رقیق نجاست نظر آتی ہو اور کپڑے میں سرایت نہ کی ہو تو عینِ نجاست کو زائل کردینا ہی کافی ہے اس سے کپڑا پاک ہوجائے گا نہ اس میں عدد شرط ہے اور نہ نچوڑنا، ہاں اگر وہ نجاست نظر نہ آتی ہو تو اسے تین مرتبہ اس طرح دھونا کہ نجاست زائل ہونے کا غلبہٴ ظن ہوجائے تو کافی ہے اگر کپڑا پھٹنے کا اندیشہ ہو تو آہستہ آہستہ تین مرتبہ نچوڑدے طاقت سے نچوڑنے کی ضرورت نہیں، کپڑا پاک ہو ہاجائے گا۔ وظہارة المرئي بزوال عینہ ویعفی أثر شق زوالہ، وغیر المرئي بالغسل ثلاثاً والعصر کل مرة إذا أمکن (مجمع الأنہر: ۱/۹۱، مکتبہ فقیہ الامت)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",154917,deoband,عبادات,طہارت
31-Aug-2020,https://darulifta-deoband.com/home/ur/taharah-purity/154691,عورت كو نیند میں بغیر كسی خواب یا ہمبستری كے منی نكلے تو كیا غسل كرنا واجب ہے؟,حضرت، میری بیوی کو بیماری کی وجہ سے ہمیشہ منی نکلتی رہتی ہے، تو اگر رات میں نیند کی حالت میں نکلے بنا کوئی خواب دیکھے اور بنا ہمبستری کئے تو کیا غسل کرنا واجب ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa : 1443-1380/SN=1/1439</span></p><p dir=""RTL"">
	یہ رطوبت منی نہ ہوگی؛ بلکہ لیکوریا کی رطوبت ہوگی اگر واقعہ بھی یہی ہے تو صورت مسئولہ میں غسل واجب نہیں ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",154691,deoband,عبادات,طہارت
01-Sep-2020,https://darulifta-deoband.com/home/ur/taharah-purity/154597,وضو كرلینے كے بعد پیشاب كے قطرے آنا؟,میرا سوال یہ ہے کہ مجھے پیشاب میں قطرہ آتے ہیں، کئی بار غسل کے وقت جب میں ناپاکی سے پاک ہونے کے باد جب وضو بنا لیتا ہوں تو مجھے بار بار پیشاب کے قطرہ آتے ہیں، میں پھر استنجاء کر کر دوبارہ وضو بناتاہوں، لیکن کئی بار کرنے کے باد قطرہ آنا بند نہیں آتا، اگر میں غسل کر بھی لوں اور پھر نماز پڑھتا ہوں تو رکوع یا سجدہ میں جب جاتا ہوں تو پھر قطرہ نکل جاتا ہے ، ایسے میں پاجامہ کے اس حصے کو دھو لیتا ہوں۔ برائے کرم کوئی بہتر صورت بتائیں کہ میں ایسی حالت میں کیا کروں اور مجھے شک کی زیادہ بیماری ہے ۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p style=""text-align: right;"">
	<span dir=""LTR"">Fatwa: </span>1346-1104<span dir=""LTR"">/D=</span>1/1439</p><p dir=""RTL"">
	پیشاب کے قطرات بند ہونے کا علاج نہ غسل کرنا ہے نہ بار بار وضو کرنا، بلکہ آپ پیشاب وضو کرنے سے کچھ پہلے کرلیا کریں، پھر کچھ دیر چل پھر کر، یا آرام کرکے اطمینان کرلیا کریں کہ اب قطرات رک گئے ہوں گے، چاہے پیشاب کے مقام پر ٹیشوپیپر رکھ لیا کریں اور ۵-۷/ منٹ بعد ضرورت ہو تو دوبارہ پیشاب کے لیے چلے جایا کریں جو قطرات رکے ہوں گے وہ نکل جائیں گے پھر کچھ دیر بعد وضو کرکے نماز پڑھیں۔ حاصل یہ کہ وضو کرنے سے کچھ پہلے پیشاب کے لیے جایا کریں اور چل پھر کر قطرات کے نہ آنے کا اطمینان کرلیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",154597,deoband,عبادات,طہارت
31-Aug-2020,https://darulifta-deoband.com/home/ur/taharah-purity/154551,ناف کے نیچے کے بال جن کا کاٹنا ضروری ہے ، اُس کی ابتدا كہاں سے ہوتی ہے؟,حضرت، ناف کے نیچے کا بال کہاں تک صاف کرنا چاہئے؟ کسی تصویر وغیرہ سے سمجھا دیں۔ اور یہ بھی بتادیں کہ اس کا حکم شادی شدہ اور غیر شادی شدہ دونوں کے لیے یکساں ہے یا الگ الگ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p dir=""RTL"">
	<span dir=""LTR"">Fatwa: 1379-1359/sd=1/1439</span></p><p dir=""RTL"">
	ناف کے نیچے کے بال جن کا کاٹنا ضروری ہے ، اُس کی ابتدا پیڑو کی ہڈی سے ہوتی ہے ، جہاں سے مخصوص قسم کے گھنے بال اگتے ہیں، یہاں سے لے کر اعضائے ثلاثہ اور اُس کے ارد گرد ، نیز رانوں کے وہ بال جن کے ملوث ہونے کا اندیشہ ہے ، اُن کا صاف کرنا ضروری ہے ، اسی طرح دبر کے بالوں کو بھی صاف کرنا چاہیے ، اس میں شادی شدہ اور غیر شادی شدہ میں کوئی فرق نہیں ہے ۔قال ابن عابدین : والعانة الشعر القریب من فرج الرجل والمرأة ومثلہا شعر الدبر بل ہو أولی بالإزالة لئلا یتعلق بہ شیء من الخارج عند الاستنجاء بالحجر ۔ ( الدر المختار مع رد المحتار : ۴۸۱/۲، کتاب الحج، ط: دار الفکر، بیروت )قال الطحطاوی : ثم العانة ہی الشعر الذی فوق الذکر وحوالیہ وحوالی فرجہا ویستحب إزالة شعر الدبر خوفا من أن یعلق بہ شیء من النجاسة الخارجة فلا یتمکن من إزالتہ بالاستجمار۔ ( حاشیة الطحطاوی : ۵۲۷/۱، باب الجمعة، ط: دار الکتب العلمیة، بیروت )</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",154551,deoband,عبادات,طہارت
