issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
17-Feb-2022,https://darulifta-deoband.com/home/ur/salah-prayer/609714,مجبوری میں جماعت چھوڑنا؟,سوال : ملازمت کے دوران جماعت کا وقت ہو جائے اور منیجر اجازت نہ دے تو اس وقت کیا حکم ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p class=""Mufti"" dir=""RTL""><span dir=""LTR"">Fatwa : 848-713/B=07/1443</span></p><p class=""Mufti"" dir=""RTL""><span lang=""AR-SA"">&nbsp;</span>اگر ملازم کو اس کا مینیجر نماز باجماعت پڑھنے کی اجازت نہ دے تو مینیجر کے حکم کی تعمیل کرتے ہوئے اس وقت کے کام کو پہلے انجام دیدے اس کے بعد اپنی نماز بغیر جماعت کے پڑھ لے۔ اس مجبوری میں ممکن ہے کہ ترک جماعت کا گناہ نہ ہو لیکن آئندہ اس بات کی پوری کوشش لازم ہے کہ جماعت نہ چھوٹنے پائے اس کے لیے ممکنہ سعی کرے پھر بھی اجازت نہ ملے تو کسی دوسری جگہ ملازمت کی تلاش رکھے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",609714,deoband,عبادات,صلاة
24-Feb-2022,https://darulifta-deoband.com/home/ur/salah-prayer/609712,وتر کی تیسری رکعت میں کوئی اردو جملہ زبان سے نکل جانا,"ایک شخص وتر کی تیسری رَکْعَت کے لئے کھڑا ہوا اور الحمد کی جگہ بے خیالی میں اس کے منہ سے یہ الفاظ نکلے ‘ نیت کرتا ہوں تِین رَکْعَت نماز وتر ‘ پِھر اچانک یاد آیا کہ یہ وتر کی تیسری رَکْعَت ہے فوراً اس نے بسم اللہ پڑھی اور الحمد پڑھی قل ھو اللہ پڑھی اور تکبیر کہہ کر دعائی قنوت پڑھی اور آخر میں سجدہ سہو کیا تو کیا اس کی یہ وتر نماز ہوگئی؟یا اس کو یہ وتر دوہرانی ہوگی؟
اَز رہے کرم جلد سے جلد جواب دیں ۔ جزاک اللہ خیر","<p>بسم الله الرحمن الرحيم</p><p> </p><p class=""Mufti"" dir=""RTL""><span dir=""LTR"">Fatwa : 777-586/D=07/1443</span></p><p class=""Mufti"" dir=""RTL""><span lang=""AR-SA"">&nbsp;</span>صورت مسئولہ میں نماز فاسد ہوگئی، لہٰذا اس کو دہرانا ضروری ہے۔</p><p class=""Mufti"" dir=""RTL""><span lang=""AR-SA"">في تبیین الحقائق: لا یشترط في کلام الناس المخاطبة، ألا تری أن من قال: قرأت الفاتحة أو نحو ذلک من کلام الناس تبطل صلاتہ، وإن لم یکن خطاباً لآدمي بأن لم یکن بحضرتہ أحد یخاطبہ۔ (1/321، ط: زکریا، الصلاة / باب صفة الصلاة) </span></p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",609712,deoband,عبادات,صلاة
24-Feb-2022,https://darulifta-deoband.com/home/ur/salah-prayer/609693,محراب كے پاس كھڑے ہوكر اذان دینا,سوال : کیا فرماتے ہیں علمائے کرام و مفتیان عظام مسئلہ ذیل کے بارے میں کہ موٴذن محراب میں اذان دے سکتا ہے یا نہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa: 629-313/B-Mulhaqa=7/1443</p><p>&nbsp;محراب میں بھی اذان دے سكتا ہے؛البتہ بہتر یہ ہے كہ اذان خارج مسجد كسی جگہ سے دی جائے۔ وينبغي أن يؤذن على المئذنة أو خارج المسجد ولا يؤذن في المسجد كذا في فتاوى قاضي خان.[الفتاوى الهندية 1/ 55] امداد الفتاوی میں ہے&nbsp;&nbsp; (جمعہ كا اذانِ ثانی كے علاوہ) بقیہ اذانیں مسجد میں كہنا كراہت تنزیہیہ یعنی خلاف اولی ہونے سے خالی نہیں ہے الخ (1/703‏، مطبوعہ: مكتبہ زكریا‏، دیوبند) نیز دیكھیں: فتاوی دارالعلوم دیوبند1/67‏، مطبوعہ: كراچی)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",609693,deoband,عبادات,صلاة
20-Sep-2023,https://darulifta-deoband.com/home/ur/salah-prayer/609666,جوتے پہن کر اذان دینا اور نماز جنازہ پڑھنا؟,سوال : میرا سوال یہ ہے کہ اذان اور جنازہ میں جوتے پہننے کا کیا حکم ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 927-644/H=07/1443</p><p>&nbsp;جنازہ سے مراد غالباً نمازِ جنازہ ہے۔ جوتے پہن کر اذان و نمازِ جنازہ پڑھ لی تو درست ہوجائے گی؛ البتہ اگر جوتے ناپاک ہوں تو جوتے پہننے کی حالت میں نمازِ جنازہ صحیح نہ ہوگی۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",609666,deoband,عبادات,صلاة
08-Feb-2022,https://darulifta-deoband.com/home/ur/salah-prayer/609651,نماز لوٹانے کا اصول,"سوال : جماعت میں نکل کر ایسی مساجد میں امام کے پیچھے نماز پڑھنی پڑھتی ہے جس کی ڈاڑھی نہ ہو یا ڈاڑھی ایک مدسے کم ہو یا جس کی قرات ٹھیک نہ ہو یارکوع سجدہ بھی ٹھیک نہ اادا کرتاہو، (نماز مکروہ تحریمی ہو جائے جس کا دوہرانا ضروری ہو)، تو بعض پرانے احباب کہتے ہے کہ تبلیغ والوں کی نماز ہم نے بڑوں سے سنا سب کے پیچھے ہو جاتی ہے دوہرانے کی ضرورت نہیں یہ دوہرانا عام مجمع کے لیے ہے، تبلیغ والوں کے لیے اور مسافر کے لیے نہیں یہ بات کہاں تک ٹھیک ہے؟
سوال۲: میں جماعت میں جب کبھی ایسے امام کے پیچھے نماز پڑھنی پڑے جس کے بعد نماز دوہرانی ہو، اگر موقعہ ہو تو وقت کے اندر (یہ نیت کر کے پڑھتا ہو جو آج کی فلاح ادا نماز میرے ذمہ ہے وہ ادا کر رہا ہو) اور اگر مقامی ہو تو اگلی نماز کے بعد قضاء کرنی پڑتی ہے(جس کی نیت بھی یہ کرتا ہو جو ادا نماز میرے ذمہ ہے وہ ادا کرتا ہو)۔ میری یہ نیت ٹھیک ہے یا نہیں؟ قضاء کرنے کا وبال تو مجھ پر نہ ہوگا؟ ایسی صورت میں کے (میں مسافر) اور امام مقیم تھا ادانماز پوری پڑھنی ہو گی یا قصر کروں؟ ایسی نماز جس کا دوہرانا ضروری ہو تکبیر اولیٰ کا ثواب ملے گا یا نہیں؟ کوئی اور طریقہ نماز ادا کرنے کا ہو جس کی وجہ سے نماز قضاء بھی نہ ہو اور دوہرانی بھی نہ پڑے آپ کو معلوم ہو تو بتا دے؟","<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 826-104T/B=07/1443</p><p>&nbsp;جس صورت میں نماز فاسد ہوجاتی ہو مثلاً قرأة میں غلطی کی جس سے معنی بالکل الٹا ہوگیا تو اس صورت میں سب کی نماز فاسد ہوجائے گی خواہ وہ تبلیغی لائن کا ہو یا کسی اور لائن کا ہو۔ اور جس صورت میں نماز فاسد نہیں ہوتی صرف مکروہ ہوتی ہے مثلاً بے داڑھی والے نے نماز پڑھادی یا ایک مشت سے کم داڑھی والے نے نماز پڑھادی تو اس صورت میں نماز ہوجاتی ہے؛ البتہ مکروہ ہوتی ہے تو اس صورت میں بھی تبلیغی غیر تبلیغی سب کی مکروہ ہوتی ہے دہرانے کی ضرورت نہیں۔ مسئلہ سب کے لیے ایک ہی ہے تبلیغ والوں کے لیے کوئی مخصوص مسئلہ نہیں ہے۔ تبلیغ والے اکثر مسافر ہوتے ہیں نئی نئی مسجدوں میں روزانہ نماز پڑھتے ہیں اور اکثر عالم نہیں ہوتے لہٰذا جب تک کسی عالم سے نماز کے فاسد ہونے کا یقینی طور پر معلوم نہ ہوجائے نماز دہرانے کی ضروررت نہیں ہے۔</p><p>(۲) نماز دہرانے کی دو صورتیں ہوتی ہیں: ایک تو نماز میں کوئی واجب چھوٹ گیا اور سجدہٴ سہو نہیں کیا تو نماز ناقص ہوتی ہے اس کو کامل بنانے کے لیے لوٹایا جاتا ہے۔ اور دوسری صورت یہ ہے کہ کوئی فرض، نماز میں چھوٹ گیا یا پھر قرآن پڑھنے میں غلطی کی جس سے معنی الٹا ہوگیا تو اس صورت میں نماز فاسد ہوجاتی ہے تو اس نماز کو پھر سے پڑھا جاتا ہے۔ پچھلی صورت میں تکمیل ثواب کے لیے نماز دہرائی جاتی ہے اور دوسری صورت میں نماز ہی نہیں ہوئی، اس لیے دہرایا جاتا ہے۔ ان دونوں کو نیتوں کے ساتھ دہرانا چاہئے۔</p><p>اگر آپ مسافر ہیں اور امام مقیم ہیں تو آپ کا فرض چار رکعت کی شکل میں تبدیل ہوجائے گا۔ آپ امام کے ساتھ پوری نماز پڑھیں گے قصر نہیں کریں گے، اور دونوں صورتوں میں تکبیر اولیٰ کا ثواب ملے گا۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",609651,deoband,عبادات,صلاة
08-Feb-2022,https://darulifta-deoband.com/home/ur/salah-prayer/609650,قصر واتمام کا ضابطہ کیا ہے؟,"سوال : تبلیغ جماعت سے متعلق(مقیم اور مسافر) سوال۱: جماعت میں ایسے علاقوں پر جہاں پہاڑہو تشکیل ۵۱ دن سے زیادہ ہوں،بعض جماعت میں جڑے علماء اکرام اور پرانے ساتھی کہتے ہیں کہ ہم مسافر ہی ہے مقیم نہیں ہمیں نماز قصر کرنی چاہیے، وجہ یہ بتلاتے ہیں کہ اگر کسی جگہ تشکیل ہو کہ ایک مسجد سے دوسری مسجد تک اذان کی آواز آتی ہو تو ہم مقیم ہے نماز قصر نہیں کرے گے اور اگر اتنا فاصلہ ہو کے ایک مسجد کی اذان دوسری مسجد تک نہ آتی ہو تو ہم مسافر ہے چاہے۔
۲۔۰۴ دن سے بھی زیادہ دن کی تشکیل ہو نماز قصر کرے گے یا پوری پڑھی جائے گی؟ قرآن حدیث کی روشنی میں رہنمائی فرمائے ۲۔۱ور جو جماعتیں سال پیدل چلتی ہیں، انہیں ۷یا ۸ ماہ کے لیے ایک پٹی کا رخ ملتا ہے، تو یہ جماعت مسافر ہے یا مقیم؟","<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 825-103T/B=07/1443</p><p>&nbsp;شرعی مسافر کے لیے اصول یہ ہے کہ جب کسی بستی میں پندرہ رات گزارنے کی نیت کرلی تو وہ مقیم ہوجائے گا یعنی پوری چار رکعت نماز پڑھے گا۔ اور اگر اس سے کم کی نیت کی ہے تو وہ شرعی مسافت کی صورت میں روزانہ مسافر ہی رہے گا، اپنی نماز پڑھے گا تو قصر کرے گا یعنی دو رکعت فرض پڑھے گا اور مقامی امام کے پیچھے پڑھے گا تو پوری نماز پڑھے گا۔ یہ سمجھنا کہ ایک مسجد سے دوسری مسجد تک اذان کی آواز آتی ہو تو قصر نہیں کرے گا اور اگر اذان کی آواز نہیں آتی ہوتو ہم مسافر ہیں، صحیح نہیں ہے۔</p><p>(۲) چالیس دنوں سے زیادہ کی تشکیل ہوتو قصر کیا جائے گا اس سے کم میں قصر نہیں کیا جائے گا،ایسا کچھ نہیں ہے۔ اصول وہی رہے گا جو ہم پہلے لکھ چکے ہیں یعنی کسی بستی میں پندرہ رات گزارنے کی نیت کرنے پر مقیم ہوگا۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",609650,deoband,عبادات,صلاة
17-Feb-2022,https://darulifta-deoband.com/home/ur/salah-prayer/609649,مسبوق اپنی چھوٹی ہوئی نماز کس طرح پوری کرے,سوال : اگر ایک مسافر جا رہا ہوں اور نماز کا ٹائم آ جائے اور جماعت پہلی جماعت ہو چکی ہو اور دوسری جماعت کے ساتھ شامل ہو جائے لیکن اسے یہ پتا نہیں ہے کہ یہ مقامی طور پر تھا امام اور آخری رکعت میں شامل ہوا تو وہ کس طرح اپنا نماز پورا کرے گا دو رکعت یا چار رکعت پوری پڑھے گا؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 824-710/B=07/1443</p><p>&nbsp;صورت مسئولہ میں اگر کوئی مسافر ایسے شخص کی اقتداء کرلے جس کے بارے میں بوقت اقتداء معلوم نہ ہوکہ وہ مقیم ہے یا مسافر تو اس مسافر کا اقتداء کرنا ردست ہے، اس لیے کہ امام اگر مسافر ہوتو اس کے لیے دو رکعت پر سلام پھیرنے کے بعد یہ بتلانا مستحب ہے کہ میں مسافر ہوں، آپ لوگ اپنی نماز مکمل کرلیں، تب مقتدی کو امام کا حال معلوم ہوجائے گا، او راگر امام اعلان نہ کرے تو موضع اقامت کی حالت سے ظاہر یہی ہے کہ وہ مقیم ہے، لہٰذا ظاہر پر بناء کرتے ہوئے مسافر مقتدی چار رکعت پڑھے گا، پس اگر لوگوں کے دریافت کرنے پر امام نے اپنے مسافر ہونے کی خبر دی تب بھی ان کی نماز ہوجائے گی۔</p><p>وخلاصة الکلام أنہ یستحب الإعلام بعد السلام للإتمام لاحتمال أن یکون خلفہ من لا یعرف حالہ ولا تیسّر لہ الاجتماع بہ قبل ذہابہ، فیحکم حینئذٍ بفساد صلاة نفسہ بناءً علی ظن إقامتہ، ثم إفسادہا بسلامہ علی رکعتین، وہذا محمل ما فی الفتاوی: إذا اقتدی بإمام لایدري أمسافر ہو أم مقیم، لا یصحّ، لأن العلم بحال الإمام شرط الأداء بجماعة، لا أنہ شرط فی الابتداء لما في المبسوط: رجل صلی بقوم الظہر رکعتین فی قریة وہم لا یدرون أمسافر ہو أم مقیم، فصلاتہم فاسدة، سواء کانوا مقیمین أو مسافرین، لأن الظاہر من حال من فی موضع الإقامة أنہ مقیم، والبناء علی الظاہر واجب، حتی یتبین خلافہ، فإن سألوہ فأخبرہم أنہ مسافر جازت صلاتہم (فتح باب العنایة شرح النقایة: 1/402، ط: دارالکتب العلمیة)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",609649,deoband,عبادات,صلاة
08-Feb-2022,https://darulifta-deoband.com/home/ur/salah-prayer/609639,نماز کے دوران پنجابی زبان میں دعائیں کرنا,سوال : کیا میں نماز فرضی یا نفلی کے کسی بھی حصہ میں اپنی پنجابی زبان میں دعائیں مانگ سکتا ہوں۔برائے کرم رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 756-581/M=07/1443</p><p>&nbsp;نماز (خواہ فرض ہو یا نفل) کے اندر پنجابی زبان میں دعا مانگنا درست نہیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",609639,deoband,عبادات,صلاة
24-Feb-2022,https://darulifta-deoband.com/home/ur/salah-prayer/609627,سردی سے بچنے کے لیےپیشانی ڈھک کر اس پر سجدہ کرنا ؟,کیا فرماتے ہیں علماء کرام و مفتیان عظام مسئلہ ذیل کے بارے میں میں کہ اگر کوئی شخص سردی سے بچنے کے لیے اس طرح ٹوپا اوڑھے کہ اس کی پیشانی چھپ جائے اور اس حال میں سجدہ کر ے، تو نماز میں کوئی کراہت آئے گی کہ نہیں؟ بینوا و توجروا,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa: 447-168/TD-Mulhaqa=7/1443</p><p>&nbsp;عام حالات میں نماز میں پیشانی ڈھک کر اس پر سجدہ کرنا مکروہ ہے ،آج کل مسجدوں میں اور گھروں میں عموما سردی سے بچنے کے انتظامات ہوتے ہیں، اس لیے پیشانی کھول کر ہی نماز پڑھنی چاہیے؛ ہاں اگر سردی زیادہ ہو اور پیشانی کے حصہ سے ٹھند لگ جانے کا اندیشہ ہو تو پھر گنجائش ہے ۔</p><p>قال الحصکفی: (كما يكره تنزيها بكور عمامته) إلا بعذر (وإن صح) عندنا (بشرط كونه على جبهته) كلها أو بعضها كما مر۔ ( الدر المختار مع رد المحتار: ۱/۵۰۰، دار الفکر، بیروت )ويكره ""السجود على كور عمامته"" من غير ضرورة حر وبرد أو خشونة أرض والكور دور من أدوارها بفتح الكاف إذا كان على الجبهة لأنه حائل لا يمنع السجود۔قال الطحطاوی : قوله: ""ويكره السجود على كور عمامته"" الظاهر أن الكراهة تنزيهية لما نقل عن النبي صلى الله عليه وسلم من السجود على كور العمامة تعليما للجواز فلم تكن تحريمية كذا في الشرح۔ ( حاشیۃ الطحطاوی علی مراقی الفلاح :۱/۳۵۵، دار الکتب العلمیۃ، بیروت )عن عیاض بن عبداللہ القرشی قال: رأی النبی صلی اللہ علیہ وسلمرجلاً یسجد علی کور العمامة فأومأ بیدہ أن أرفع عمامتک فأومأ الی جبہتہ(مصنف ابن ابی شیبة:۱/۲۶۷)وعن علی رضی اللہ عنہ قال: اذاصلی أحدکم فلیحسر العمامة عن جبہتہ(مصنف ابن ابی شیبة:۱/۲۶۷)</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",609627,deoband,عبادات,صلاة
20-Feb-2022,https://darulifta-deoband.com/home/ur/salah-prayer/609616,نماز کی رکعتوں میں شک اور وسوسہ,مجھ کو نماز میں بہت شک ہونے لگا ہے کہ کتنی رکعت ہوئیں؟ کبھی دو رکعت والی نماز میں شک ہوتاہے کہ ایک رکعت پڑھی یا دو رکعت پڑھیں کبھی چار رکعت والی نماز میں شک ہوتاہے تین رکعت ہوئی یا چار ہوئیں کبھی قعدہ اولی بھول جاتا ہوں کہ کیا یا نہیں کیا خصوصاً وتر کی نماز میں بہت شک ہوتا ہے قعدہ اولی ہوا ہے کیا نہیں ہوا دعا?قنوت پڑھی کیا نہیں پڑھی نیز تشہد ایک مرتبہ سے زیادہ ہو جاتاہے بھول کی وجہ سے جس کی وجہ سے مجھے کئی مرتبہ نماز دو ہرانا پڑتی ہے اس سلسلے میں میں بہت پریشان ہوں۔ لہذا آپ میری اس میں مدد فرمائیں اور بتائیں کہ میں نماز کو کس طرح مکمل کروں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa: 448-157/D-Mulhaqa=7/1443</p><p>&nbsp;سوال کی تفصیلات سے معلوم ہوتا ہے کہ آپ کو وسوسہ کی بیماری ہے، اس لیے آپ ہرگز اس کی طرف توجہ نہ کریں، نماز میں شیطان وسوسہ ڈالتا ہے ،اس سے پریشان نہیں ہونا چاہیے، جس طرف دل کا رجحان زیادہ ہو اسی پر عمل کرنا چاہیے، فقہائے کرام نے لکھا ہے کہ جس شخص کو نماز میں زیادہ شک ہو اس کو غالب گمان پر عمل کرنا چاہیے اگر کسی طرف غالب گمان نہ ہو تو اقل پر عمل کرنا چاہیے، مثال کے طور پراگر اس بارے میں شک ہو کہ تین رکعات پڑھی ہیں یا چار رکعات تو اگر کسی جانب گمان غالب ہو، اسی پر عمل کرنا چاہیے اور ایسی صورت میں سجدہ سہو کی ضرورت نہیں ہے اور اگر کسی جانب رجحان نہ ہو تو اقل یعنی تین رکعت مان کر نماز مکمل کرنی چاہیے اور ایسی صورت میں حکم یہ ہے کہ تیسری رکعت پر بیٹھ کر التحیات پڑھی جائے ، پھر چوتھی رکعت پڑھی جائے اور سجدہ سہو بھی کیا جائے ۔</p><p>قال الحصکفی: (وإن كثر) شكه (عمل بغالب ظنه إن كان) له ظن للحرج (وإلا أخذ بالأقل) لتيقنه ۔ قال ابن عابدین: (قوله وإن كثر شكه) بأن عرض له مرتين في عمره على ما عليه أكثرهم، أو في صلاته على ما اختاره فخر الإسلام. وفي المجتبى: وقيل مرتين في سنة، ولعله على قول السرخسي بحر ونهر.(قوله للحرج) أي في تكليفه بالعمل باليقين.(قوله وإلا) أي وإن لم يغلب على ظنه شيء، فلو شك أنها أولى الظهر أو ثانيته يجعلها الأولى ثم يقعد لاحتمال أنها الثانية ثم يصلي ركعة ثم يقعد لما قلنا ثم يصلي ركعة ويقعد لاحتمال أنها الرابعة ثم يصلي أخرى ويقعد لما قلنا، فيأتي بأربع قعدات قعدتان مفروضتان وهما الثالثة والرابعة، وقعدتان واجبتان؛ ولو شك أنها الثانية أو الثالثة أتمها وقعد ثم صلى أخرى وقعد ثم الرابعة وقعد، وتمامه في البحر وسيذكر عن السراج أنه يسجد للسهو.۔ ( الدر المختار مع رد المحتار: ۲/۹۳، دار الفکر، بیروت )</p><p>نوٹ(۱) ہم نے تیسری اور چوتھی رکعت میں شک کا حکم لکھدیا ہے، اگر پہلی اور دوسری رکعت یا دوسری اور تیسری رکعت میں شک ہو تو اس کا حکم جاننے کے لیے دیکھیے:بہشتی زیور ، ص: ۱۵۱، حصہ دوم، سجدہ سہو کا بیان ، دار الاشاعت، کراچی ۔</p><p>نوٹ (۲) اگر قعدے کے بارے میں شک ہو یا وتر میں دعائے قنوت کے بارے میں شک ہو یا نماز کے کسی بھی جزء کے بارے میں شک ہو تو غالب گمان ہی پر عمل کرنا چاہیے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",609616,deoband,عبادات,صلاة
