issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/false-sects/64076,بوہرہ فرقہ کے لوگ مسلمان ہیں یا نہیں؟ ان کے بنیادی عقائد کیا ہیں؟,بوہرہ فرقہ کے لوگ مسلمان ہیں یا نہیں؟ ان کے بنیادی عقائد کیا ہیں؟ تفصیل سے ان کے مذہب کے بارے میں بتائیں ۔ کچھ لوگوں کا کہنا ہے کہ یہ مسلمان نہیں ہیں جب کہ یہ نماز بھی پڑھتے ہیں ، حج بھی کرتے ہیں ، قرآن بھی پڑھتے ہیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 620-642/L=7/1437

بوہرہ فرقہ اپنے عقائد کفریہ کی بنا پر کافر ومرتد اور دائرہٴ اسلام سے خارج ہے؛ اس سلسلے میں بعض لوگوں کی بات درست ہے، مسلمان ہونے کے لیے صرف نماز پڑھ لینا یا حج کرلینا کافی نہیں بلکہ اسلام لانے کے بعد ضروریاتِ دین کو تسلیم کرنا بھی ضروری ہے اور عقائد کفریہ وشرکیہ سے براء ت ضروری ہے، ان کے بنیادی عقائد درج ذیل ہیں:
(۱) اس جماعت کے بانی محمد برہان الدین طیب کی نسل میں برابر امامت کا سلسلہ چل رہا ہے، اگرچہ امام طیب خود غائب ہیں مگر وہ داعی کو برابر ہدایات دیتے رہتے ہیں اور اماموں کے بارے میں ان کا عقیدہ ہے کہ ائمہ کرام اللہ تعالیٰ کا نور، مفترض الطاعة اور معصوم ہوتے ہیں، دنیا وآخرت ان کی ملکیت میں ہے جس کو چاہیں دیدیں اور جس چیز کو چاہیں حلال کردیں اور جس چیز کو چاہیں حرام کردیں۔ 
 ظاہر ہے کہ دنیا وآخرت کے خزائن کا مالک ہونا حلال وحرام کرنا یہ اللہ رب العزت کی صفت ہے، غیر اللہ کے لیے اس کو ثابت کرنا شرک ہے۔
(۲) سود لینا جائز ہے۔ (۳) دیوالی (مندر سوار) پر بھی وہ روشنی کرتے ہیں۔ (۴) مسجد، جماعت خانہ، قبرستان سب ان کا جدا ہے۔ (۵) کلمہ میں اضافہ اس طرح کرتے ہیں لا إلہ إلا اللہ محمد رسول اللہ مولا علي ولي اللہ وصي رسول اللہ۔ (۶ اذان میں ”اشہد ان محمدا رسول اللہ“ کے بعد ”اشہد أن مولا علیا ولی اللہ“ اور حی ”علی الفلاح“ کے بعد ”حی علی خیر العمل محمد وعلی خیر البشر وعشرتہا علی خیر العمل“ کا اضافہ ضروری سمجھتے ہیں۔ 
ان عقائد کی بنا پر جن میں بعض کفریہ وشرکیہ ہیں، یہ فرقہ دائرہٴ اسلام سے خارج ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",64076,deoband,عقائد و  ایمانیات,فرق باطلہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/false-sects/61006,کیا زیدی شیعہ مسلمان ہیں؟ براہ کرم، ان کے عقائد کے بارے میں بتائیں؟ان کے اور دوسرے شیعوں کے درمیان کیا فرق ہے؟,کیا زیدی شیعہ مسلمان ہیں؟ براہ کرم، ان کے عقائد کے بارے میں بتائیں؟ان کے اور دوسرے شیعوں کے درمیان کیا فرق ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1315-1423/L=1/1437-U

شیعہ مذہب کے تمام فرقوں میں یہ فرقہ زیدیہ اہل سنت والجماعت کے زیادہ قریب تھا، یہ فرقہ اپنی نسبت زید بن علی بن حسین بن علی (رض) کی طرف کرتا ہے، ان کے عقیدے کے مطابق ائمہ عام انسان ہی ہوتے ہیں مگر حضرت علی آنحضرت صلی اللہ علیہ وسلم کے بعد سب سے ا فضل ہیں، یہ فرقہ اصحاب رسول صلی اللہ علیہ وسلم میں سے کسی کی تکفیر نہیں کرتا اور نہ تبرا کرتا ہے، ان کا عقیدہ ہے کہ حضرت علی خود اپنے حق سے خلفائے ثلاثہ کے حق میں دست بردار ہوگئے تھے، اور ان کی بیعت درست تھی، اس لیے کہ حضرت علی اس پر راضی تھے اور معصوم خطا اور باطل پر راضی نہیں ہوسکتا، لیکن بعد میں ان میں اختلاف ظاہر ہوا تو اس کے نو فرقے ہوگئے، جن میں سے ”زیدیہ“ نامی فرقے کے علاوہ تمام فرقے غلاة میں شمار ہوتے ہیں، پھر صحیح العقیدہ زیدیہ بھی یمن وغیرہ میں قلیل تعداد میں رہ گئے ہیں، ان کے اور دوسرے شیعی فرقوں کے درمیان فرق یہی ہے کہ وہ بارہ اماموں کو انبیاء کی طرح معصوم مفترض الطاعة سمجھتے ہیں بلکہ ان کی کتابوں میں صراحت کے ساتھ اماموں کو انبیاء سے بالاتر بلکہ خدائی اوصاف مخصوصہ کا حال گردانا گیا ہے، سبحانہ وتعالی عما یشرکون، نیز اصحابِ رسول کی تکفیر کرتے ہیں اور موجودہ قرآن میں نعوذ باللہ تحریف کے قائل ہیں اور خلفائے ثلاثہ رضوان اللہ علیہم اجمعین کی بیعت کو ظلم وجور مانتے ہیں بلکہ بعض تو حضرت علی کی الوہیت کے قائل ہیں یا ان میں روحِ خداوندی کے حلول کا عقیدہ رکھتے ہیں اور بعض ایسے بھی ہیں جو حضرت علی کو آں حضرت صلی اللہ علیہ وسلم سے افضل اور نبوت کا زیادہ مستحق سمجھتے ہیں۔ نعوذ باللہ من ذلک۔ (المحاضرات العلمیہ/ رد شیعیت: ۱۳ تا ۲۶۔ جواہر الفتاوی: ۱/ ۲۸۴)
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",61006,deoband,عقائد و  ایمانیات,فرق باطلہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/false-sects/59785,کیا ہم عبادی امام کے پیچھے نماز پڑھ سکتے ہیں؟,میں مسقط ، عمان میں رہتاہوں۔ آپ کو معلوم ہوگا کہ عمانیوں کا اپنا سرکاری فقہ اباضیہ ہے ،اس کو عبادی بھی کہا جاتاہے ، مگر عربی زبان میں اس کو اباضیہ کہا جاتاہے۔میں حنفی مسلک کے مطابق پوچھنا چاہتاہوں کہ : (۱) کیا ہم عبادی امام کے پیچھے نماز پڑھ سکتے ہیں؟ (۲) کسی نے کہا کہ جہری نمازوں میں تو کوئی مسئلہ نہیں ہے، مگر سری نمازوں جیسے ظہر، عصر میں وہ فاتحہ کے بعد کوئی سورة نہیں پڑھتے ہیں،اس طرح ہو وہ ہر نماز میں واجب ترک کردیتے ہیں، تو کیا ان کے پیچھے یہ نمازیں پڑھنا درست ہے؟ براہ کرم، جواب دیں ۔ ہم میں سے بہت لوگ نماز پڑھ لیتے ہیں، کیوں کہ وہ کہتے ہیں کہ وہ جماعت نہیں چھوڑنا چاہتے ۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1159-1181/L=10/1436-U

اباضیہ فرقہ جو عقائد کتابوں میں مذکور ہیں ان سے پتہ چلتا ہے کہ یہ لوگ خوارج ہیں؛ لہٰذا ان کی اقتداء میں نماز درست نہیں، نہ سری اور نہ جہری۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",59785,deoband,عقائد و  ایمانیات,فرق باطلہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/false-sects/59741,شیعہ كی نماز جنازہ,میں عبدا للہ فقہ حنفی اہل سنت و الجماعت سے تعلق رکھتاہوں، جس مقام پہ میں رہتاہوں ، وہاں شیعہ انثا عشری (فقہ جعفری) کے لوگ بھی آباد ہیں، تو کیا میں شیعہ کی نماز جنازہ پڑھ سکتاہوں؟ براہ کرم، فتوی دیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 612-577/Sn=9/1436-U

نہیں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",59741,deoband,عقائد و  ایمانیات,فرق باطلہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/false-sects/58972,قادیانی سے مفت اشیاء لینے کاکیاحکم ہے ؟ایساکرناجائز ہے کہ نہیں؟,قادیانی سے مفت اشیاء لینے کاکیاحکم ہے ؟ایساکرناجائز ہے کہ نہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 620-620/H=7/1436-U

جائز نہیں، اس سے مفت لینا تو ویسے بھی حمیتِ ایمانی اور غیرتِ اسلامی کے بھی سخت خلاف ہے، قادیانیوں کا جھوٹا نبی مرزا غلام احمد قادیانی علیہ ما یستحقہ آپ کے یعنی مسلمانوں کے بارے میں کہتا ہے کہ ”میرے دشمن (اہل اسلام واہل ایمان) جنگلوں کے سور ہیں اور اُن (مسلمانوں) کی عورتیں بدترین کتّیاں ہیں (مرزا غلام احمد قادیانی کی کتاب نجم الہدی: ص۳۵ در روحانی خزائن ج۱۴ ص۱۵۳) دوسری جگہ لکھتا ہے ”جو میرے مخالف تھے اُن کا نام عیسائی یہودی اورمشرک رکھا گیا (نزول المسیح حاشیہ ص۴ مندرجہ روحانی خزائن: ج۱۸ ص۳۸۲ از مرزا غلام احمد قادیانی) 
حاصل یہ کہ مرزا غلام احمد قادیانی اور اُس کے متبعین باوجودیکہ خود مرتد اور کافر ہیں مگر یہ دھوکہ باز خود کو تو مسلمان اور دنیا بھر کے مسلمانوں اور اہل ایمان کو کافر، حرام زادے، اور مسلمان عورتوں کو بدترین کتّیاں یہودی اور شرک کہتے ہیں جیسا کہ ان جیسی گالیوں اور امورِ خبیثہ سے ان کی کتابیں بھری پڑی ہیں، ایسی صورت میں کیا کسی حقیقی مسلمان کی ایمانی واسلامی غیرت کسی بھی طرح آمادہ ہوسکتی ہے کہ مفت اشیاء کسی قادیانی علیہ ما علیہ سے لی جائے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",58972,deoband,عقائد و  ایمانیات,فرق باطلہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/false-sects/58697,مولانا وحید الدین خان کے عقائد کیسے ہیں؟ کیا وہ اہل سنت الجماعت سے خارج ہیں؟ میں نے ان کی ساری کتابیں پڑھ لی ہیں، میں الرسالہ کا قاری ہوں، وہ کہتے ہیں کہ آپ صلی اللہ علیہ وسلم کی سیرت اسوة حسنہ ہے ، نہ کہ اسوة کاملہ ، ان کی ایک کتاب قیامت کا الآرام جس میں انہوں نے لکھا ہے کہ عیسی (علیہ السلام) اور امام مہدی ایک شخص ہیں، ایسی بہت سی باتیں ہیں جو کہ خلاف عقیدہ اہل سنت و الجماعت کے خلاف ہیں۔ کتاب کا حوالہ میں یہاں نہیں دے سکتا ۔ براہ کرم، اس پرروشنی ڈالیں۔,مولانا وحید الدین خان کے عقائد کیسے ہیں؟ کیا وہ اہل سنت الجماعت سے خارج ہیں؟ میں نے ان کی ساری کتابیں پڑھ لی ہیں، میں الرسالہ کا قاری ہوں، وہ کہتے ہیں کہ آپ صلی اللہ علیہ وسلم کی سیرت اسوة حسنہ ہے ، نہ کہ اسوة کاملہ ، ان کی ایک کتاب قیامت کا الآرام جس میں انہوں نے لکھا ہے کہ عیسی (علیہ السلام) اور امام مہدی ایک شخص ہیں، ایسی بہت سی باتیں ہیں جو کہ خلاف عقیدہ اہل سنت و الجماعت کے خلاف ہیں۔ کتاب کا حوالہ میں یہاں نہیں دے سکتا ۔ براہ کرم، اس پرروشنی ڈالیں۔,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 921-942/L=7/1436-U

وحید الدین خان کے بہت سے عقائد ونظریات جمہور اہل سنت والجماعت کے خلاف ہیں، مثلاً: رسول اللہ صلی اللہ علیہ وسلم کی ذاتِ اقدس پر اگر کوئی شتم کرے تو مولانا کے نزدیک وہ قتل نہیں کیا جائے گا جب کہ اہل سنت والجماعت کے نزدیک ایسا شخص واجب القتل ہے، تقلید سے راہِ فرار اختیار کرنا، فقہائے کرام پر بے جا تنقید وتعریض کرنا، قرآن کریم کی من پسند تشریحات کرنا اور جہاد والی آیات واحادیث کی غلط تاویلیں کرنا ان کا مشغلہ ہے، پوری امت مسلمہ کا یہ حتمی عقیدہ ہے کہ آنحضرت صلی اللہ علیہ وسلم کی ذاتِ اقدس ہراعتبار سے بلا کسی استثناء کے انسانیت کے لیے آخری نمونہ ہے جس سے صرف نظر قطعا روا نہیں ہے، نیز سیدنا حضرت عیسی علی نبینا علیہ الصلاة والسلام کے آسمان پر زندہ اٹھائے جانے اور قیامت کے قریب دنیا میں دوبارہ تشریف لانے کے متعلق قرآن کریم اور احادیث شریف میں واضح نصوص موجود ہیں، اسی طرح دجال اور یاجوج ماجوج کے متعلق بھی ایسی بے غبار تفصیلات موجود ہیں جن میں شبہ کرنے یا جن کو محض تمثیل قرار دینے کی گنجائش نہیں ہے۔ وحید الدین خان کا سیدنا حضرت عیسی علیہ السلام کے رفع ونزول کا انکار، علامات قیامت کے بارے میں بے بنیاد شکوک وشبہات کا اظہار کرنا بلاشبہ زیغ وضلال اور کھلی ہوئی گمراہی ہے، اس لیے وحید الدین خان کی کتابوں کو پڑھنے اور ان کے لٹریچوں کو پھیلانے سے احتراز ضروری ہے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",58697,deoband,عقائد و  ایمانیات,فرق باطلہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/false-sects/55556,آغاخانیوں کے خلاف آگاہی,میں پہلے آغاخانی تہا۔ اب الحمدُاللہ مُسلمان ہوں ۔ ایک بڑی تکلیف یہ ہے کہ عام مسلمان، آغاخانیوں کو محظ اسلام کا ایک فرقہ سمجہتے ہیں۔ کچھ تو سمجھتے ہیں کہ آغاخانی لڑکیوں سے نکاح جائز ہے ، جبکہ آغاخانیوں کا اسلام سے کوئ تعلق نہیں کیونکہ وہ کلمہ، نماز، روزہ، زکوٰة اور حج سب کے منکر ہیں۔ علماے کرام نے انہیں کافر، زندیق اور واجب القتل کہا ہے ۔ اب جب میں کھلے عام، محفلوں میں، انٹرنیٹ پر، آغاخانیوں کے راز افشاں کرتا ہوں،اور علماے کرام کے فتٰویٰ بتاتا ہوں، تو میرے مسلمان دوست مجھے منع کرتے ہیں کہ تم ان کی دل آزاری کرتے ہو اور یہ طریقہ درست نہیں۔ براے مہربانی یہ بتایں کہ میرا یہ عمل امر بالمعروف کے تحت ہے یا نہیں؟ کیا کفار کی دل آزاری کے مدِنظر رسول اللہﷺ اور اصحاب رسول نے خاموشی اختیار کی؟ کیا ان کے خلاف کھل کر جنگ اور قتال نہیں کیا؟ کیا علماے کرام نے فتوے شاع نہیں کیے ؟ کیا یہ سب خاموش رہ کر ممکن تھا؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 1470-1000/L=11/1435-U

اس میں کوئی شک نہیں کہ آغا خانی اپنے عقائد باطلہ کی رو سے خارج از اسلام ہیں، ان کا اسلام سے کوئی تعلق نہیں، آپ کا ان کے عقائد باطلہ کا افشا کرنا اور لوگوں کوعلمائے کرام کے فتویٰ بتانا درست ہے، آپ کا یہ عمل نہی عن المنکر میں داخل ہے جس کا امت محمدیہ کو حکم ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",55556,deoband,عقائد و  ایمانیات,فرق باطلہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/false-sects/53000,"""عقیدہ امامت ""","شیعہ اثنا عشری کا ""عقیدہ امامت ""جو ان کی اساسی کتب میں کچھ اس طرح بیان کیا گیا ہے جیسا کہ اماموں کا پہچاننا اور اُن کا ماننا شرطِ ایمان ہے ۔اصول کافی، ص:105، ائمہ کی اطاعت رسولوں کی ہی طرح فرض ہے ۔اصول کافی، ص:110،ائمہ کو اختیار ہے جس چیز کو چاہیں حلال یا حرام قرار دیں۔اصول کافی، ص:278، ائمہ انبیاء کی طرح معصوم عن الخطائیعنی گناہوں اور عیوب سے پاک اورمبرا ہوتے ہیں۔اصول کافی، ص:121، ائمہ کو ما کان وما یکون کا علم حاصل ہوتا ہے ۔اصول کافی، ص:160، ائمہ منصو ص و مامور من اللہ ہوتے ہیں۔ سوالات یہ ہیں کہ! 1 شیعہ کا"" عقیدہ امامت ""اسلام کے کون سے بنیادی عقیدہ سے متصادم ہے ؟ 2 کیا صرف""عقیدہ امامت ""کے حامل شیعہ جو باقی خرافات سے پاک و مبرا ہوں وہ اپنے عقیدہ امامت کی بنیاد پر کافر ہوں گے ؟ 3 اثنا عشری شیعہ کفر کی کس قسم کے حکم میں آتے ہیں؟ عام کافر،مرتد ،یا زندیق 4 اثنا عشری شیعوں سے سماجی تعلقات (شادی بیاہ، خوشی غمی، میل جول، کھانا پینا، لین دین، قربانی کے جانور کی حصہ داری ، بچوں کی تعلیم و تربیت کے لیے شیعہ ٹیچر کا منتخب کرنا)وغیرہ کے بارے میں کیا شرعی حکم ہے ؟","<p>بسم الله الرحمن الرحيم</p><p> (۱) اثنا عشری شیعہ اپنے بارہ اماموں کو مُفترضُ الطاعة مانتے ہیں یعنی ان پر ایمان لے آنا ضروری ہے، اگر ان پر کوئی ایمان نہیں لے آیا تو وہ شیعوں کے یہاں مومن نہیں ہے،جب کہ قرآن وحدیث میں اللہ پر،اسکے رسولوں اور نبیوں پر، اسکے فرشتوں پر، اس کی طرف سے آئی ہوئی تمام آسمانی کتابوں پر، تقدیر پر، مرنے کے بعد دوبارہ اٹھائے جانے پر ایمان لانا فرض ہے، ان کا یہ عقیدہ اسلام کے بنیادی عقیدہ سے اور قرآن وحدیث سے متصادم ہے۔(۲) ان کے ائمہ کو اختیار ہے کہ جس کو چاہیں حلال یا حرام کردیں یہ عقیدہ بھی قرآن سے متصادم ہے۔ یہ پاور تو کسی نبی کو بھی حاصل نہیں ہے۔ گویا ائمہ کا درجہ انھوں نے نبیوں سے بھی آگے بڑھادیا۔(۳) شیعوں کے یہاں ائمہ معصوم ہوتے ہیں۔ یہ عقیدہ بھی قرآن وحدیث سے متصادم ہے، معصوم صرف نبی ہوتا ہے اور کوئی معصوم نہیں ہوتا۔ (۴) وہ شیعوں کے عقیدہ کے مطابق جمیع ما کان ومایکون کا علم رکھتے ہیں۔ یہ قرآن کے ساتھ متصادم ہے کیونکہ یہ صرف اللہ کے ساتھ خاص ہے دوسروں کو اس میں شریک گردانتا درست نہیں۔ 
(۲) جی ہاں ان عقائد باطلہ کی وجہ سے وہ کافر ومرتد ہیں، صرف عقیدہ امامت ہی کی وجہ سے بھی وہ اسلام سے خارج ہیں، وہ لوگ اپنے ۱۲/ اماموں کے بارے میں یہ بھی عقیدہ رکھتے ہیں کہ ان کے پاس اللہ کی طرف سے نئی شریعت اور نئی کتاب بھی آتی ہے۔ یہ عقیدہ ختم نبوت کے عقیدہ سے متصادم ہے، اور یہ بالکل کھلی ہوئی بات ہے کہ جو لوگ اپنے ۱۲/ اماموں کو غیب دانی میں خدا کے برابر ٹھہرائیں یا انھیں نبی کریم صلی اللہ علیہ وسلم کے برابر ٹھہرائیں یا ان سے بھی زیادہ پاور والا اپنے نبی کو مانیں، یا ان کو آخری نبی نہ مانیں وہ بلاشبہ کافر ہیں۔
(۳) وہ کافر ہوتے ہوئے اپنے اسلام کا ڈھنڈورا پیٹتے ہیں اس لیے وہ کافر مرتد کے حکم میں ہیں۔
(۴) جس طرح مرتد سے میل جول رکھنا درست نہیں۔ اسی طرح مذکورہ بالا صورتوں میں میل جول رکھنا ان کے ساتھ درست نہیں۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",53000,deoband,عقائد و  ایمانیات,فرق باطلہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/false-sects/51883,میں پاکستانی ہوں، حنفی مذہب پر عمل کرتا ہوں اور عمان میں کام کررہا ہوں۔ براہ کرم، مذہب اباضی کے بارے میں کچھ بتائیں، کیا اباضی امام کے پیچھے نماز پڑھنا جائز ہے؟,میں پاکستانی ہوں، حنفی مذہب پر عمل کرتا ہوں اور عمان میں کام کررہا ہوں۔ براہ کرم، مذہب اباضی کے بارے میں کچھ بتائیں، کیا اباضی امام کے پیچھے نماز پڑھنا جائز ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 836-688/B=6/1435-U

فرقہ اباضیہ کے بارے میں علماء محققین کا فیصلہ ہے کہ وہ خوارج کا ایک فرقہ ہے جن کے عقائد قرآن وحدیث اور اہل السنة والجماعة کے خلاف ہے، مثلاً؛ ان کا یہ عقیدہ ہے کہ قرآن پاک جو اللہ کا کلام ہے، وہ مخلوق ہے اور قیامت کے دن اللہ تعالیٰ کا دیدار نہیں ہوگا اسی طرح ان کا عقیدہ ہے کہ ایک مسلمان گناہوں کی وجہ سے جب دوزخ میں جائے گا تو پھر وہ دوبارہ جنت میں نہیں جائے گا، لہٰذا یہ فرقہ گمراہ ہے او راہل السنة والجماعة سے خارج ہے ان کے پیچھے نماز پڑھنا جائز نہیں ہے، مزید تفصیل کے لیے نفائس الفقہ ج۴ کا مطالعہ کیجیے۔ 
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",51883,deoband,عقائد و  ایمانیات,فرق باطلہ
01-Sep-2020,https://darulifta-deoband.com/home/ur/false-sects/49702,قادیانیوں كے ساتھ بود وباش اختیار كرنا,ہمارے ساتھ کالج میں یا محلے میں قادیانی رہتا ہے، زندگی کی مختلف معاملات میں ان سے تعلق قائم رکھا جاسکتا ہے؟ اور ان معاملات کی حدود وقیود کیا ہوں گی؟,"<p>بسم الله الرحمن الرحيم</p><p> Fatwa ID: 79-56/L=1/1435-U

قادیانی باِجماع امت کافر اور زندیق ہیں ان سے تعلقات اور میل جول رکھنا جائز نہیں، اسی طرح ان سے خندہ پیشانی سے پیش آنا،مصافحہ کرنا، ملنا جلنا، اور ان کے ساتھ کھانا پینا ناجائز اور ممنوع ہے، قال اللہ تعالی: وَلَا تَرْکَنُوْا اِلَی الَّذِیْنَ ظَلَمُوْا فَتَمَسَّکُمُ النَّارُ الآیة، وفي الجلالین: ولا ترکنوا تمیلوا إلی الذین ظلموا بموادة أو مداہنة أو رضي بأعمالہم فتمسّکم تصبکم النار (جلالین: ۱/ ۱۸۹) وفي الکشّاف: والنہي تناول للانحطاط في ہواہم والانقطاع إلیہم ومصاحبتہم ومجالستہم وزیارتہم ومداہنتہم والرضی بأعمالہم والتشبہ لہم والتزي بزیہم ومدّ العین إلی زہرتہم وذکرہم بما فیہ تعظیم لہم (کشاف: ۲/۹۵) قادیانی چونکہ اپنے آپ کو مسلمان ظاہر کرکے مسلمانوں کو دھوکہ دینے کی کوشش کرتے ہیں جس سے بسا اوقات ان کے کفریہ عقائد مخفی رہ جاتے ہیں اور ساتھ رہنے والا ان کو حق پر سمجھنے لگتا ہے جس سے اس کے عقائد کے خراب ہوجانے کا قوی اندیشہ رہتا ہے،اس لیے ان سے زندگی کے ہرمعاملات میں تعلق قائم کرنے سے احتراز ضروری ہے۔ (گو غیرمسلموں سے دنیاوی معاملات کرنے میں کوئی حرج نہیں) مگر ان کا معاملہ غیرمسلموں سے بھی سخت ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",49702,deoband,عقائد و  ایمانیات,فرق باطلہ
