issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,kitab,bab,fasal
2024-11-24,https://usmaniapsh.com/read_question/14468217,گری پڑی رقم کا مالک نہ ملنے کے بعد بیٹے کو صدقہ دینا,مجھے ایک سال قبل بہت ساری رقم ملی تھی۔ میں نے مالک کو تلاش کرنے کی بہت کوشش کی لیکن مالک نہیں ملا، تو کیایہ  رقم  اپنے بیٹے کو بطور صدقہ دے سکتا ہوں؟,"<div class=""sawal_jawab"">
<p>واضح رہے کہ راستے سے ملی ہوئی رقم 'لقطہ' (گری پڑی چیز) کے حکم میں ہے، لہٰذا ضروری ہے کہ اس وقت  تک اس چیز کی تشہیر کی جائے کہ جب تک اس کے بارے میں یہ خیال ہو کہ اس کا مالک اپنی گمشدہ چیز کی تلاش میں ہوگا۔ اگر اس کا مالک مل جائے، تو اسے اس کی چیز (رقم وغیرہ) واپس کر دی جائے، لیکن اگر اتنی مدت تک اس کے مالک کا پتہ نہ چل سکے، تو پھر اختیار ہوگا کہ چاہے تو اسے اپنے پاس محفوظ رکھے، یا چاہےتو وہ چیز (رقم وغیرہ) اصل مالک کی طرف سے کسی غریب مستحق زکوٰۃ کو صدقہ کر دے۔ اور اگر اس چیز (رقم وغیرہ) کو اٹھانے والا خود ہی مستحق زکوٰۃ ہو، تو وہ خود بھی رکھ سکتا ہے اور اگر بیٹا مستحق زکوٰۃ ہو تو اسے بھی دے سکتا ہے۔ تاہم اگر بعد میں اس چیز کا مالک آ جائے، تو اسے اختیار ہوگا کہ چاہے تو وہ اپنی چیزکا مطالبہ کرے، یا وہ اس کی طرف سے کیے گئے صدقہ پر راضی ہو جائے اور اجر و ثواب حاصل کرے۔</p>
<p>صورتِ مسئولہ کے مطابق ملی ہوئی رقم مالک تک پہنچانا ممکن ہو تو اس تک پہنچانا لازم ہے ورنہ اصل مالک کو ثواب پہنچانے کی نیت سے کسی فقیر کو بطور  صدقہ دیا جائے، اور اگر سائل کا بیٹا مستحقِ زکوۃ ہو تو اس کو بھی بطورِ صدقہ یہ رقم دی جا سکتی ہے۔</p>
<p> </p>
<p><span class=""marker"">يعرف الملتقط اللقطة في الأسواق والشوارع مدة يغلب على ظنه أن صاحبها لا يطلبها بعد ذلك هو الصحيح، كذا في مجمع البحرين ولقطة الحل والحرم سواء، كذا في خزانة المفتين، ثم بعد تعريف المدة المذكورة الملتقط مخير بين أن يحفظها حسبة وبين أن يتصدق بها فإن جاء صاحبها فأمضى الصدقة يكون له ثوابها وإن لم يمضها ضمن الملتقط أو المسكين إن شاء لو هلكت في يده فإن ضمن الملتقط لا يرجع على الفقير وإن ضمن الفقير لا يرجع على لملتقط وإن كانت اللقطة في يد الملتقط أو المسكين قائمة أخذها منه، كذا في شرح مجمع البحرين.(الفتاوى الهندية، كتاب اللقطة، ج: 2، ص: 299)</span></p>
<p><span class=""marker"">وللملتقط أن ينتفع باللقطة بعد التعريف لو فقيرا وإن غنيا تصدق بها ولو على أبويه أو ولده أو زوجته لو فقراء وإن كانت حقيرة كالنوى وقشور الرمان والسنبل بعد الحصاد ينتفع بها بدون تعريف وللمالك أخذها ولا يجب دفع اللقطة إلى مدعيها إلا ببينة ويحل إن بين علامتها من غير جبر. (مجمع الأنهر في شرح ملتقى الأبحر، كتاب اللقطة،ص:531)</span></p>
</div>",6119/297/328,usmaniapsh,کتاب اللقطۃ واللقيط(گری پڑی چیزيابچےکے متعلق احکام),,
2024-11-24,https://usmaniapsh.com/read_question/14468208,مسجد کی محراب والی دیوار کے سامنے بیت الخلا بنانا,ہماری مسجد کے اندرونی ہال کے سامنے مسجد کی خالی زمین ہے ،جس کا راستہ باہر کی طرف سے ہے، مسجد کے ہال سے اس کا کوئی تعلق نہیں  ۔ یہ خالی زمین اندرونی ہال میں نماز پڑھنے والوں کے سامنے قبلہ کی جانب ہے۔ مسجد کی کمیٹی اس جگہ  با تھ روم اور استنجا خانےبنانے کا ارادہ رکھتی ہے، جس کی ترتیب کچھ یوں سوچی ہے کہ محراب والی دیوار کے ساتھ متصل باتھ روم نہیں بنائیں  گے،بلکہ محراب والی دیوار کے ساتھ  خالی زمین چھوڑ کر دوسری طرف پانچ ،چھ با تھ روم بنائیں گے ۔ کیا ایسے با تھ روم بنانا جس میں کموڈ کا رخ شمالاً جنوباً ہو لیکن اندرونی  ہال میں نماز پڑھنے والوں کے سامنے والی دیوار کے پار قبلہ کی جانب میں ہوجائز ہے یا نہیں؟,"<div class=""sawal_jawab"">
<p>مسجد کی صفائی  اور احترام   کا  خیال  رکھنا  ہر مسلمان  کا دینی فریضہ ہے،لیکن نماز یوں  کی  ضرورت کے لیے اگر مسجد  کے قریب استنجا خانے یا بیت الخلا بنائے  جائیں جس کی  بدبو  سے مسجد کی صفائی اور تقدس پامال نہ ہو اور نمازیوں کو تکلیف  نہ ہو ہو تو اس میں   کوئی قباحت نہیں ۔ البتہ اگر اس کی بدبو سے نمازیوں کو حرج اور مسجد کی صفائی و تقدس پامال ہو ، تو ایسی صورت میں اس سے گریز کرنا چاہیے۔</p>
<p>صورت مسئولہ کے مطابق  اگر مسجد ہال سے باہر قبلہ کی طرف  خالی جگہ ہو اور وہاں بیت الخلا بنانے سے اگر نمازیوں کوبدبوکی تکلیف  نہ ہوتو اس جگہ استنجا خانے  وبیت الخلاء وغیرہ بنانے  میں  کوئی حرج نہیں ۔ </p>
<p> </p>
<p><span class=""marker"">عن واثلة بن الأسقع «أن النبي صلى الله عليه وسلم قال جنبوا مساجدكم صبيانكم ومجانينكم وشراءكم وبيعكم وخصوماتكم ورفع أصواتكم وإقامة حدودكم وسل سيوفكم واتخذوا على أبوابها المطاهر وجمروها في الجمع.</span></p>
<p><span class=""marker"">قوله (جنبوا) من التجنيب أي بعدوا هذه الأشياء عن المساجد إذ الكل لا تليق بالمساجد. قوله (المطاهر) محل يتوضأ فيها المحتاج ويقضي حاجته<span dir=""LTR"">"".</span>(سنن ابن ماجة، کتاب المساجد، باب ما يكره في المساجد، ج:1، ص:253)</span></p>
<p><span class=""marker"">يكره أن تكون قبلة المسجد إلى المتوضأ، كذا في السراجية. قال محمدرحمه الله تعالى -: أكره أن تكون قبلة المسجد إلى المخرج والحمام والقبر، ثم تكلم المشايخ في معنى قول محمد - رحمه الله تعالى -: أكره أن تكون قبلة المسجد إلى الحمام، قال بعضهم: لم يرد به حائط الحمام، وإنما أراد به المحم وهو الموضع الذي يصب فيه الحميم وهو الماء الحار؛ لأن ذلك موضع الأنجاس واستقبال الأنجاس في الصلاة مكروه، فأما إن استقبل حائط الحمام فلم يستقبل الأنجاس، وإنما استقبل الحجر والمدر فلا يكره، وكذلك تكلموا في معنى قوله: أكره أن تكون قبلة المسجد إلى المخرج، قال بعضهم: أراد به نفس المخرج، وقال بعضهم: أراد به حائط المخرج.(الفتاوى الهندية، كتاب الكراهية، الباب الخامس في آداب المسجد والقبلة والمصحف وما كتب فيه شيئ من القرآن، ج:5، ص:319)</span></p>
<p><span class=""marker"">وكره الوطء فوق المسجد والبول والتخلي لا فوق بيت فيه مسجد.... وتكره المضمضة والوضوء في المسجد إلا أن يكون ثمة موضع أعد لذلك ولا يصلي فيه وله أن يتوضأ في إناء.(الفتاوى الهندية، كتاب الصلوة، الباب الثامن في صلاة الوتر، ج:1، ص:110،109)</span></p>
</div>",6117/297/328,usmaniapsh,کتاب الوقف,احکام مسجد,
2024-11-24,https://usmaniapsh.com/read_question/14468203,دوران قراءت  امام کا  کوئی لفظ  چھوڑنا,اگر کوئی امام ﴿وَإِنْ يَكَادُ الَّذِينَ كَفَرُوا لَيُزْلِقُونَكَ بِأَبْصَارِهِمْ لَمَّا سَمِعُوا الذِّكْرَ وَيَقُولُونَ إِنَّهُ لَمَجْنُونٌ﴾ میں یقولون لفظ چھوڑدے تو اس سے نماز فاسد ہوتی ہے یا نہیں ؟,"<div class=""sawal_jawab"">
<p>قراءت میں غلطی کی وجہ سے نماز مطلقا فاسد نہیں ہوتی ، بلکہ اس کے بارے میں قاعدہ یہ ہے کہ اگر غلطی ایسی ہو جس سے معنی میں ایسا تغیر پیدا ہو جائے جس کا اعتقاد کفر ہو تو اس سے نماز فاسد ہوگی ، لیکن اگر غلطی کی وجہ سے معنی تبدیل نہ ہو یا معنی تو تبدیل ہو لیکن تغیر فاحش نہ ہو تو اس سے نماز فاسد نہ ہوگی۔</p>
<p>صورت مسئولہ میں <span class=""marker"">﴿وَإِنْ يَكَادُ الَّذِينَ كَفَرُوا لَيُزْلِقُونَكَ بِأَبْصَارِهِمْ لَمَّا سَمِعُوا الذِّكْرَ وَيَقُولُونَ إِنَّهُ لَمَجْنُونٌ﴾</span> میں یقولون لفظ چھوڑنےسے معنی میں تغیر فاحش نہ ہونے کی وجہ سے نماز فاسد نہیں ہوتی۔</p>
<p> </p>
<p> <span class=""marker"">ولو زاد كلمةً أو نقص كلمةً أو نقص حرفاً، أو قدمه أو بدله بآخر نحو من ثمره إذا أثمر واستحصد - تعالى جد ربنا - انفرجت بدل - انفجرت - إياب بدل - أواب - لم تفسد ما لم يتغير المعنى، إلا ما يشق تمييزه كالضاد والظاء فأكثرهم لم يفسدها، وكذا لو كرر كلمةً؛ وصحح الباقاني الفساد إن غير المعنى نحو: رب رب العالمين للإضافة، كما لو بدل كلمةً بكلمة وغير المعنى نحو: إن الفجار لفي جنات؛ وتمامه في المطولات<span dir=""LTR"">.</span></span></p>
<p><span class=""marker"">(قوله: أو نقص كلمةً) كذا في بعض النسخ ولم يمثل له الشارح. قال في شرح المنية: وإن ترك كلمة - من آية - فإن لم تغير المعنى مثل - وجزاء سيئة - مثلها - بترك سيئة الثانية لا تفسد وإن غيرت، مثل - فما لهم يؤمنون - بترك لا، فإنه يفسد. عند العامة؛ وقيل: لا، والصحيح الأول<span dir=""LTR"">‘‘.</span>(رد المحتار علی الدر المختار، كتاب الصلاة، باب ما يفسد الصلاة وما يكره فيها، ‌فروع مشى المصلي مستقبل القبلة هل تفسد صلاته، ج:1، ص:632)</span></p>
</div>",10316/297/321,usmaniapsh,کتاب الصلوۃ,نمازتوڑنے والے کام,
2024-11-24,https://usmaniapsh.com/read_question/14468198,"اقامت میں ""قد قامت الصلاۃ""بھول جانا","آج مغرب کی نماز میں مؤذن نے اقامت میں ""قد قامت الصلاۃ""بھول کر باقی اقامت مکمل کر لی اور کسی نے بھی نہیں بتایا، پھر امام صاحب نے مغرب کی نماز پڑھا لی۔ تو کیا اقامت میں ""قد قامت الصلاۃ""کا نہ پڑھنا نماز کے ادا ہونے پر اثر ڈالے گا؟","<div class=""sawal_jawab"">
<p>اگر اقامت میں <span class=""marker"">""قد قامت الصلاۃ""</span> کہنا بھول جائے تو اقامت کے دوران یا اقامت ختم ہونے کے بعد یاد آنے پر بھولے ہوئے کلمات دہرا کر باقی اقامت پوری کر لینی چاہیے، نئے سرے سے دوبارہ اقامت کہنے کی ضرورت نہیں۔ البتہ اگر  بھولے گئے الفاظ دہرائے بغیر جماعت ہوجائےتو نماز ہو جائے گی۔</p>
<p> </p>
<p><span class=""marker"">ويرتب ‌بين ‌كلمات ‌الأذان والإقامة كما شرع. كذا في محيط السرخسي.وإذا قدم في أذانه أو في إقامته بعض الكلمات على بعض نحو أن يقول: أشهد أن محمدا رسول الله قبل قوله: أشهد أن لا إله إلا الله فالأفضل في هذا أن ما سبق على أوانه لا يعتد به حتى يعيده في أوانه وموضعه وإن مضى على ذلك جازت صلاته  كذا في المحيط۔ (الفتاوى الهندية، كتاب الصلاة، الباب الثاني في الأذان، ج:1، ص:56)</span></p>
</div>",10317/297/321,usmaniapsh,کتاب الصلوۃ,اذان واقامت کے احکام,
2024-11-24,https://usmaniapsh.com/read_question/14468197,قبر پر کتبہ لگانا,ہمارےیہاں جب کسی کو دفن کرتے ہیں تو قبر کے سرہانے ایک کتبہ بطور نشانی  لگا دیتے ہیں جس پر اس کا نام اور تاریخ وفات لکھی ہوتی ہے۔ تو سوال یہ ہے کہ قبر پر کتبہ لگانا کیسا  ہے؟,"<div class=""sawal_jawab"">
<p>ضرورت کی وجہ سے قبر پر تختی لگاکر بطور نشانی اس پر  نام اور تاریخ وفات لکھنا جائز ہے مگر کلمہ طیبہ، قرآنی آیت ،شعر یا میت کی مدح میں کچھ  لکھنا مکروہ ہے۔ لہذاصورت مسئولہ کے مطابق بطور نشانی قبر کے سرہانے  کتبہ لگانا جس پر میت کا نام اور تاریخ وفات لکھی ہو، جائز ہے۔</p>
<p> </p>
<p><span class=""marker"">لا ‌بأس ‌بالكتابة ‌إن ‌احتيج إليها حتى لا يذهب الأثر ولا يمتهن۔۔۔۔فأما الكتابة بغير عذر فلا اهـ حتى إنه يكره كتابة شيء عليه من القرآن أو الشعر أو إطراء مدح له ونحو ذلك۔ (ردالمحتارعلى الدرالمختار، كتاب الصلاة، مطلب في دفن الميت، ج:2، ص:238)</span></p>
</div>",6111/297/328,usmaniapsh,کتاب الحظروالاباحۃ(حلال وحرام کے احکام),دیگرمتفرق مسائل,
2024-11-24,https://usmaniapsh.com/read_question/14468196,احرام کے اوپر بیلٹ باندھنا,ہمارے خاندان کے لوگ جب حج یا عمرہ کرنے جاتے ہیں تو احرام کے اوپر ایک بیلٹ باندھتے ہیں جس میں رقم، پاسپورٹ وغیرہ رکھتے ہیں تو پوچھنا یہ ہے کہ کیا احرام کے اوپر بیلٹ باندھنا درست ہے یا نہیں؟,"<div class=""sawal_jawab"">
<p>واضح رہے کہ احرام کی حالت میں بیلٹ باندھنا جائز ہے ۔لہذا دورانِ احرام رقم، پاسپورٹ وغیرہ کی حفاظت کے لئے بیلٹ باندھنے میں کوئی حرج نہیں۔</p>
<p> </p>
<p><span class=""marker"">ولا ‌بأس ‌بشد الهميان أو المنطقة للمحرم سواء كان في الهميان نفقته أو نفقة غيره، وسواء كان شد المنطقة بالإبريسم أو بالسيور هكذا في البدائع والسراج الوهاج۔ (الفتاوى الهندية، كتاب المناسك، الباب الخامس في كيفية أداء الحج، ج:1، ص:223)</span></p>
</div>",10318/297/321,usmaniapsh,کتاب الحج,شرائطِ حج,
2024-11-24,https://usmaniapsh.com/read_question/14468195,قرض لے کر اس پر منافع دینا,"ایک شخص قسطوں پر موبائل بیچتا ہے۔ اس کے پاس ایک شخص زید آتا ہے اور کہتا ہےکہ""مجھے فلاں موبائل چاہیے، جس کی قیمت پچاس ہزار روپے ہے،لیکن آپ مجھے پیسے دے دیں تاکہ میں خود خرید لوں، اور آپ کو میں قسطوں میں منافع کے ساتھ پیسے ادا کرتا رہوں گا۔"" تو اس معاملہ کی جائز صورت کیا ہوگی؟","<div class=""sawal_jawab"">
<p>قرض دینا احسان کا معاملہ ہےاس لیے اس پر کسی قسم کا  مشروط منافع حاصل کرنا سود کے زمرے میں آتا ہے جو کہ جائز نہیں۔  </p>
<p>صورت مسئولہ کے مطابق زید کا یہ کہنا کہ ""مجھے فلاں موبائل چاہیے، جس کی قیمت پچاس ہزار روپے ہے،لیکن آپ مجھے پیسے دے دیں تاکہ میں خود خرید لوں، اور آپ کو میں قسطوں میں منافع کے ساتھ پیسے ادا کرتا رہوں گا۔"" یہ سودی معاملہ ہے کیونکہ اس میں قرض لے کر  قسطوں میں منافع کے ساتھ واپس کرنے کی پیشکش ہے۔ البتہ اس کی جائز صورت یہ ہوسکتی ہے کہ زید اس سے پیسے لینے کی بجائے موبائل خریدے۔ اگر موبائل قسطوں میں خریدنا ہو تو اس میں یہ ضروری  ہوگی کہ قسطوں کی تاریخیں متعین کی جائیں اور مقررہ تاریخ سے تاخیر کی صورت میں کوئی جرمانہ لازم نہ کیا جائے۔</p>
<p> </p>
<p><span class=""marker"">كل قرض ‌جر ‌نفعا حرام. (الدر المختار، کتاب البیوع، باب المرابحۃ والتولیۃ،ص:430)</span></p>
<p><span class=""marker"">القرض ‌هو ‌عقد ‌مخصوص يرد على دفع مال مثلي لرد مثله۔ (مجمع الأنهرفي شرح ملتقى الأبحر، كتاب البيوع، باب المرابحة والتولية، ج:2، ص:82)</span></p>
<p><span class=""marker"">البيع مع تأجيل ا لثمن وتقسيطه صحيح يلزم أن تکون المدّة معلومة في البيع بالتأجيل والتقسيط<span dir=""LTR"">.</span> (شرح المجلة لسليم رستم باز،ج:1، ص:124، المادة:245)</span></p>
</div>",3691/297/322,usmaniapsh,کتاب الربا(سودکے احکام),,
2024-11-24,https://usmaniapsh.com/read_question/14468194,ماہواری کے دوران کوئی سورۃ، درود شریف یا مسنون ذکر پڑھنا,کیا عورت مخصوص ایام یعنی ماہواری کے دوران میں کوئی سورۃ، درود شریف یا کوئی اور مسنون ذکر پڑھ سکتی ہے؟,"<div class=""sawal_jawab"">
<p>عورتوں کے لیے مخصوص ایام میں بطور تلاوت قرآن کریم کی کوئی بھی سورۃ پڑھنا جائز نہیں، البتہ درود شریف، ذکر و اذکار، دعائیہ کلمات اور اسی طرح ذکر و دعا پر مشتمل قرآنی آیات کو بطور دعا پڑھنا جائز ہے۔</p>
<p> </p>
<p><span class=""marker"">(ومنها) ‌حرمة ‌قراءة ‌القرآن لا تقرأ الحائض والنفساء والجنب شيئا من القرآن والآية وما دونها سواء في التحريم على الأصح إلا أن لا يقصد بما دون الآية القراءة مثل أن يقول الحمد لله يريد الشكر أو بسم الله عند الأكل أو غيره فإنه لا بأس به۔۔۔۔ ويجوز للجنب والحائض الدعوات وجواب الأذان ونحو ذلك في السراجية. (الفتاوی الهنديه، كتاب الطهارة، الفصل الرابع في أحكام الحيض والنفاس والاستحاضة، ج:1،ص:38)</span></p>
<p><span class=""marker"">(ولا بأس) لحائض وجنب (‌بقراءة ‌أدعية ومسها وحملها، وذكر الله تعالى، وتسبيح). (ردالمحتارعلى الدرالمختار، كتاب الطهارة،  باب الحيض، ج:1، ص:293)</span></p>
</div>",10308/297/321,usmaniapsh,کتاب الطّہارۃ,نجاسات اوران سے پاکی,
2024-11-24,https://usmaniapsh.com/read_question/14468193,نگینہ نام رکھنا,نگینہ نام رکھنا کیسا ہے اور اس کا کیا معنی ہے؟,"<div class=""sawal_jawab"">
<p>""نگینہ "" فارسی زبان کا لفظ ہے، جس کا معنیٰ قیمتی پتھر اور جواہر کے آتے ہیں۔ لہٰذا لڑکیوں کا یہ نام رکھنے میں کوئی حرج نہیں ہے، البتہ بہتر یہ ہے کہ صحابیات اور بزرگ و دین دار خواتین کے نام پر بچیوں کے نام رکھے جائیں، تاکہ ان کی شخصیت کے اثرات بچیوں کی زندگیوں میں ظاہر ہوں۔</p>
<p>‌</p>
<p><span class=""marker"">وفي ‌الفتاوى ‌التسمية ‌باسم ‌لم ‌يذكره ‌الله تعالى في عباده ولا ذكره رسول الله صلى الله عليه وسلم ولا استعمله المسلمون تكلموا فيه والأولى أن لا يفعل كذا في المحيط. <strong>(</strong>الفتاوى الهنديه، كتاب الكراهية، الباب الثاني والعشرون في تسمية الأولاد، ج:5، ص:362)</span></p>
<p><span class=""marker"">نگینہ: (نَ- گی- نہ) [ف- ا- مذ] نگ، جواہر، قیمتی پتھر۔  (فيروزالغات، ص:1377)</span></p>
</div>",6112/297/328,usmaniapsh,کتاب الحظروالاباحۃ(حلال وحرام کے احکام),ناموں کابیان,
2024-11-19,https://usmaniapsh.com/read_question/14468179,عزرائیل علیہ السلام کا ایک وقت میں مختلف جگہوں پر روح قبض کرنا,کیا  اللہ تعالیٰ نے حضرت عزرائیل علیہ السلام کو اکیلے  روح قبض کرنے کے لیے مقرر کیا ہے یا ان کے ساتھ اور بھی فرشتے روح قبض کرتے ہیں ؟نیز ایک وقت میں مختلف جگہوں پر روح  کیسے قبض کرتے ہیں ؟,"<div class=""sawal_jawab"">
<p> واضح رہے کہ  حضرت عزرائیل علیہ السلام کے لیے دنیا اس طرح نہیں، جس طرح انسانوں کے سامنے ہوتی ہے، بلکہ دنیا ان کے لیے اللہ کے حکم سے سمٹ گئی ہے۔ اس لیے حضرت  عزرائیل علیہ السلام کا ایک وقت میں دنیا کی مختلف جگہوں پر روح قبض کر نا  کوئی مشکل نہیں۔ ان کے سامنے تما م ارواح  موجود ہیں جس کو چاہیں  اللہ تعالیٰ کے حکم سے قبض کر لیں ۔نیز اللہ تعالیٰ نے ان کے لیے کئی مددگار فرشتے بھی مقرر کیے ہیں، اور ان سب کے سربراہ عزرائیل علیہ السلام کو مقرر کیا ہے، دیگر فرشتے  بھی روحوں کو قبض کرتے ہیں، لیکن نسبت عزرائیل علیہ السلام کی طرف اس لیے کی جاتی ہے، کیوں کہ ان کے حکم سے وہ روحوں کو قبض کرتے ہیں۔</p>
<p> </p>
<p><span class=""marker"">عن ابن عباس في قوله: "" {توفته رسلنا وهم لا يفرطون}"" قال: ‌أعوان ‌ملك ‌الموت ‌من ‌الملائكة.( المصنف ابن أبي شيبة، كتاب الزهد،‌‌كلام ابن عباس رضي الله عنه،رقم الحديث:٣٤٧٨٢)</span></p>
<p><span class=""marker"">فإن ‌قيل: ‌المتولي ‌لقبض ‌الروح ‌ملك ‌الموت ، وقد بين ذلك بقوله تعالى: قل يتوفاكم ملك الموت الذي وكل بكم.  فكيف قال: توفته رسلنا والرسل جمع. قيل: لأن الله أعان ملك الموت بأعوان من عنده يتولون ذلك بأمره ، فصار التوفي من فعل أعوانه ، وهو مضاف إليه لمكان أمره .(تفسير الماوردي،ج:٢،ص:١٢٣)</span></p>
<p><span class=""marker"">واخرج ابن ابى الدنيا وابو الشيخ عن اشعث بن اسلم قال سأل إبراهيم عليه السلام ‌ملك ‌الموت ‌واسمه ‌عزرائيل ‌وله عينان فى وجهه وعينان فى قفاه فقال يا ملك الموت ما تصنع إذا كانت نفس بالمشرق ونفس بالمغرب ووقع الوباء بأرض والتقى الزحفان كيف تصنع قال ادعوا الأرواح بإذن الله فيكون بين إصبعي هاتين قال ودحيت له الأرض فتركت كالطست يتناول منها حيث يشاء واخرج ان ملك الموت قال ليعقوب حين سأله ان الله سخر لى الدنيا فهى كالطست يوضع قدام أحدكم فيتناول من اى أطرافه شاء كذلك الدنيا عندى واخرج فى الزهد وابو الشيخ وابو نعيم عن مجاهد قال جعلت الأرض لملك الموت مثل الطست يتناول من حيث شاء وجعل له أعوانا يتوفى الأنفس ثم يقبضها منهم<span dir=""LTR"">.</span> واخرج ابن حبان وابو الشيخ عن الربيع بن انس انه سئل عن ملك الموت ‌هل ‌هو ‌وحده ‌الذي ‌يقبض ‌الأرواح ‌قال هو الذي يلى امر الأرواح وله أعوان على ذلك غير ان ملك الموت هو الرئيس وكل خطوة منه من المشرق الى المغرب.(التفسير المظهري،ج:٣،ص:٢٤٧)</span></p>
</div>",6103/297/328,usmaniapsh,کتاب العقائد,عقائد کابیان,
